date,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyDilutedAverageShares,quarterlyCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyIncomeTaxPayable,quarterlyAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyEndCashPosition,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment
2009-03-31,3202046166,395209631,1327733718.0,314628845,87709754.0,-7998015.0,118632565,,501981180,121215619,54274127.0,,27521402.0,1.07,,82127314,-98129691.0,541219393,0.0,157307059,-93699779,-219843980,,1064346152.0,,291082250,-21814774,94618811,14011811,,-936578169.0,-70274987.0,260327617,,151892668,6725536019.0,1504301719,1294312753,3069675.0,53977786.0,-30213049,53977786,122925582.0,5788957850,40483637,1.07,380765561,150129305.0,84814346,583318121.0,7741212770,708437407.0,788406528.0,-16797217.0,9245514489,980835632.0,1937353776.0,97914882,113641198,58097420,3036078887.0,167427942,236270009,54274127.0,-88977318.0,54375236,373394857,49590760,36555577,-188442612,4330391640,-100135684.0,478931580,58097420,275939624,0.0,
2009-06-30,3328704991,373394857,1314310895.0,308930859,-16562279.0,27146749.0,89453553,,603784652,129771679,,,3571795.0,,,121543468,-195220841.0,459622456,8219187.0,106937430,25460014,-246652274,,1021703756.0,,353557843,67131970,159696904,-56228827,,-964947641.0,-14355551.0,125683236,,216752746,6956171308.0,1566848454,1396234193,3023363.0,44257606.0,-39858829,44257606,246054722.0,5991223667,-120969038,,474012973,173314675.0,84206944,579276743.0,7862105685,716164359.0,825312773.0,0.0,9428954139,995278164.0,1887460688.0,172495140,84463775,138072708,2970468238.0,153290434,385204098,,37992817.0,52598153,440526827,27757215,150959215,-84011280,4366702431,-98961820.0,407271828,138072708,196390983,0.0,
2009-09-30,3390174433,440526827,1314310895.0,303232873,-76565251.0,-10628835.0,125229765,,728750330,146757245,,,21413516.0,,,117221020,-31251763.0,526275054,20986167.0,103427178,-69384478,-253056201,,1300262147.0,,241583493,92739656,187853746,5584078,,-1054254624.0,0.0,289440672,,102386948,7246288463.0,1816765185,1589433421,2977050.0,31232016.0,-15602539,31232016,304582496.0,6192033839,36384471,,581993085,204883429.0,85131088,574255940.0,7826110191,754789481.0,1071605204.0,0.0,9642875376,1030210767.0,1812615588.0,71154932,120208962,58527774,2919418499.0,142276209,433728088,,-12802734.0,54065457,533266483,46032806,42201891,-127316538,4508851920,127191487.0,210017483,58527774,228656943,0.0,
2009-12-31,3336677959,533266483,1314310895.0,297564513,199038402.0,-1096593.0,172144970,,625740345,158043109,,,65638688.0,,,28187020,-86336972.0,505832717,138591381.0,23672464,-191177360,-255342653,,707758916.0,,136150772,-97415472,36099997,443861,,-1063077419.0,0.0,286602592,,-781926,7356580895.0,1668272469,1428273423,,,185766518,30735064,248849684.0,6293503476,31259939,,467697236,237135526.0,84456887,569252345.0,7894261457,579618129.0,511941482.0,0.0,9562533926,1290747908.0,1703992392.0,-31516990,148129949,-39961081,3069160539.0,114162417,367450270,,-22010501.0,52475811,435851011,42628748,24049464,-192840704,4497433962,-47509825.0,170674025,-39961081,195817434,0.0,
2010-03-31,3344146449,435851011,1314310895.0,285198714,-96518952.0,9474482.0,142314057,,721397069,196509524,58596872.0,,14510364.0,0.1,,17224583,-135769526.0,542027901,210032922.0,96773549,57160403,-138633250,,1040199763.0,,168575814,132957526,31321860,9550836,,-990583195.0,0.0,198090962,,43205407,7225913597.0,1937481728,1593927122,,,9154853,26649725,254081836.0,6235330402,59457712,0.09,524887545,230757933.0,83912749,588434184.0,7853786355,701753248.0,801112157.0,-15771731.0,9791268083,1348054705.0,1705698595.0,16555682,137359848,5232152,3129947858.0,329486992,488877542,52572436.0,-15395536.0,41457658,568808537,32643258,-18750994,-122293839,4723874980,30028768.0,156698463,5232152,239087606,0.0,
2010-06-30,3259186419,568808537,1314310895.0,279260489,-101476606.0,1677356.0,129884102,,693072141,117793706,,,2061879.0,,,18644917,-187453476.0,508676880,994601788.0,83493161,121437867,-156581419,,1233535152.0,,77165143,-59279412,36565432,10136300,,-1034359648.0,0.0,8597167,,-56540352,7385458326.0,2024134188,1658452122,,,-149121304,26847378,395428767.0,6351098678,-147984252,,575278435,69485513.0,88020766,582720560.0,7875493925,,1020157889.0,0.0,9899628113,1457472923.0,1746626511.0,-83387730,124883662,-87196368,3284490437.0,121626848,646182112,,-55005211.0,45684729,509529125,28484028,-106536524,-189314446,4942942559,-19968198.0,68822719,-87196368,213377263,0.0,
2010-09-30,3261541864,509529125,1314310895.0,273536490,-97120458.0,-2854333.0,151594614,,631665774,109227619,,,12285001.0,,,48458375,-175755713.0,583306140,1176514257.0,65449927,-56867249,-137378147,,1364562705.0,,150552168,-61029099,19058375,4724176,,-1022116494.0,0.0,132005031,,16106626,7039410567.0,2205257929,1780103134,,,-2489495,13556937,395547874.0,6017294073,-5373116,,522438155,22376142.0,86295888,577707122.0,7917741466,,1147518164.0,0.0,10122999395,1577906614.0,1699971170.0,2549689,146587816,119107,3356427985.0,762203023,765480549,,-59965291.0,48149654,448500026,29349130,-16956193,-136166881,5136531119,76145583.0,79740631,119107,217044541,-12391027.0,
2010-12-31,3280951067,448500026,1314310895.0,268206304,32687123.0,-1190375.0,173050566,,1170254287,208715476,,,81217896.0,,,-34026037,-26169015.0,651057807,128091604.0,36397623,205471798,-135667254,,1228627809.0,,197507243,460197833,53404585,20212887,,-903274140.0,0.0,321530607,,34922164,7466439933.0,2443708713,1839179636,,,225819563,7226566,412720739.0,6563165793,185863353,,961538811,,92282976,572704466.0,7979202149,793417597.0,1019179620.0,0.0,10422910862,1638766747.0,1994572167.0,27695598,168047920,35284069,3715326768.0,90925107,668299691,,16112779.0,70302103,908697859,29678642,13237599,-66804572,5554506404,58688637.0,481680,35284069,209448189,880513307.0,
2011-03-31,3298268448,908697859,1314310895.0,303775070,-27854969.0,1312135.0,176562636,,827057129,305042502,61633310.0,,73166675.0,0.2875,,68733262,-348287353.0,781199172,128135605.0,138825126,448360903,-95079512,,1575538098.0,,218207786,-224533072,219088036,21330737,,-985604737.0,,263664609,,29427947,9464217178.0,2373180574,2843669913,,,24535228,14884012,400404989.0,8478612441,168585097,0.245,522014627,266372731.0,97445599,23466921.0,10091224357,1069963736.0,1260150336.0,-18111204.0,12464404931,1066103552.0,2659757107.0,14543935,173015291,15081043,4501184375.0,84953383,1222010544,52572436.0,-1102565134.0,91334240,684164787,31947182,-31124681,-936558584,7344854288,-80364403.0,541182562,15081043,315387762,0.0,
2011-06-30,3204570687,684164787,1314310895.0,295755225,-6864161.0,-78341.0,221893969,,685602125,243018981,52572435.0,,5878164.0,-2.235773,,-811654,-260176631.0,865541185,128949754.0,-93209900,-8178173,-183275052,,1415127327.0,,7670290,-131715892,163001823,-67990780,,-1080881150.0,,173076521,,-211984470,9642155727.0,2265257798,3006107586,,,65541694,-56442948,382822063.0,8561274577,-10198531,-2.235773,442583144,,111640823,18040343.0,10228420119,1116924993.0,1286443258.0,0.0,12493677917,1241183635.0,2608256554.0,-155541522,195504145,-117540021,4532230570.0,79158935,1386697800,52572435.0,-123629451.0,108013937,552448895,33483946,11506851,-296614240,7538338156,63390437.0,656251218,-117540021,128684069,0.0,
2011-09-30,3104415420,552448895,1314310895.0,288416454,-14697039.0,-5619942.0,185514827,,582884809,164301653,52572435.0,,762106.0,-1.67013,,-903775,-85014529.0,879630873,128119945.0,548136,-147330663,-207620131,,1644909757.0,,95845044,-64572048,158893448,-100498005,,-1171590048.0,,290968564,,-138854633,9851791334.0,2168145094,2771554843,,,124778172,-40864669,202079285.0,8680201286,83348433,-1.67013,418583156,320328500.0,108764976,11508364.0,10379123925,1070919343.0,1458846794.0,0.0,12547269019,1252784477.0,2918594543.0,-97989964,189539107,-87802796,4935016049.0,73237322,1073617261,52572435.0,-16416.0,125934701,487876847,38807235,-31466410,-208209949,7706570892,17434687.0,653839551,-87802796,186062963,0.0,
2011-12-31,2358768426,487876847,1314310895.0,270923058,-356895629.0,-7641047.0,319809730,,524697025,158071597,,6726857.0,132397751.0,,82823849.0,111713345,-417756608.0,1014511374,96387567.0,-36246428,110084872,-281262985,,1548418157.0,,-589176050,-33831547,240297219,152298046,,-1291312913.0,,-90506209,,-872165233,8959225469.0,2447809595,2783733904,56036765.0,,-257881424,17872959,-545804047.0,7667912556,-371769194,,366625428,77923989.0,138599286,-255276795.0,9001533854,1159362760.0,1264854855.0,0.0,11449343449,1391582521.0,2770919436.0,-890038192,317494101,-747883332,4884425789.0,67554270,835582499,,1217403159.0,144389897,454045300,39009916,-620392081,-53410210,7668159693,262586339.0,685457154,-747883332,283563302,38628593.0,
2012-03-31,2394414771,345467864,1314310895.0,1689735143,,-12833206.0,230267693,778080480.0,497638813,455362256,58926796.0,,0.0,-0.8975,271093480.0,32131978,-701504145.0,1314781553,44935000.0,-7481800,-76309658,-119966304,,1610382508.0,,116671569,109894392,1426481,29173016,,,,273895463,0.0,-101080279,,2243482228,2928478069,96965000.0,-5632932.0,175715748,-5632932,-727749073.0,5918413465,153929159,-0.8975,42276557,390385880.0,100498221,,10021275543,,1387596615.0,0.0,12264757771,1489161785.0,2459715961.0,-95447347,202040425,-47191787,5987954698.0,1262154606,933001769,52572436.0,,117253627,455362256,41928410,52705971,-87691413,8916432767,,862648819,-47191787,222785893,0.0,
2012-06-30,2296014856,455362256,1314310895.0,1705980840,,340508.0,263205102,747266034.0,570934778,491442862,52572435.0,,87480293.0,-1.91424,245933025.0,-93109802,189187919.0,1217849695,52314262.0,-144714591,-174015678,-216216501,,2046281587.0,,-23651354,36429725,0,36419470,,,,417967982,0.0,-244053788,,2214078286,3119361176,192815586.0,994535.0,414589779,994535,-282581280.0,5951209934,201751481,-1.91424,79491916,356149229.0,100162721,,9180936527,1049950039.0,1927791076.0,0.0,11395014813,928599964.0,2290970873.0,-245048323,241550220,-100636253,5179757717.0,105826293,1034261135,52572435.0,,120239713,491442862,80027979,84500537,-208904394,8299118893,,921914030,-100636253,118490511,-1307116.0,
2012-09-30,2064686564,491442862,1314310895.0,1704503207,,-32646020.0,263693537,681753660.0,286668882,284575111,52572435.0,7912168.0,,-4.44272,,128219281,-281582806.0,1521634259,177768537.0,-157058556,-370543141,-178134243,,2102054697.0,,-190037762,-252075181,0,155941526,,-251628344.0,,120854345,,-394387640,6171696453.0,1990475431,3023521957,211060951.0,,90095015,-52416104,-516145910.0,5920068109,-57279898,-4.44272,2093771,392591943.0,89910471,,8860127804,1418009993.0,1995419716.0,0.0,10850603235,1787638768.0,2114908248.0,-341971536,269294545,-233564630,5079849133.0,363313432,893843004,52572435.0,-316719096.0,114439407,239367681,105560322,-159629341,-1004570,8103371090,,335180850,-233564630,106634981,-92943485.0,
2012-12-31,1800500000,239367681,1314300000.0,1802883805,,2329067.0,365200000,636000000.0,393300000,279900000,52582068.0,41458188.0,,-5.1025,239600000.0,-143887300,-170023284.0,1688000000,85000000.0,-230400000,-31369910,-262483799,,1805900000.0,,-222800000,40514190,155836523,130533549,,-1434974047.0,,531736352,,-419500000,7458877479.0,2123100000,3224100000,264400000.0,,383354523,-44800000,-771800000.0,6023900000,269252553,-5.1025,113400000,469700000.0,110174991,5627370.0,9207800000,1318979621.0,1671100000.0,0.0,11330900000,100000.0,2218500000.0,-374700000,286800000,-268300000,5776600000.0,237300000,790900000,52582068.0,-325035477.0,196700000,279881871,103300000,7500000,-496899697,9000700000,,628600000,-268300000,134800000,88439364.0,
2013-03-31,1416200000,156647003,1314300000.0,936500000,,-9381792.0,222100000,504400000.0,576300000,484700000,52580755.0,,85342188.0,-7.3525,-10800000.0,-82186959,-117351706.0,2061600000,700000.0,-323000000,66940392,-202528840,,1392000000.0,,-268512799,110983156,952500000,681556448,,,,282526455,-205386.0,-550800000,,3498300000,4501200000,34400000.0,-73648770.0,-56436130,-72800000,-1158400000.0,6118000000,79997615,-7.3525,91600000,393400000.0,87687201,,8258700000,1445100000.0,1492900000.0,0.0,11757000000,-100000.0,2379400000.0,-478000000,247700000,-386600000,5528100000.0,2000000,799100000,52580755.0,-136399358.0,194600000,283841761,68900000,-4700000,-241741188,10029300000,17892819.0,643600000,-386600000,-100900000,0.0,
2013-06-30,2350244036,283841761,1314310895.0,931605903,,-11697790.0,-1975020028,477937695.0,811902182,702503333,52572435.0,8082000.0,114813970.0,17.725004,-10753372.0,85807513,-152542646.0,2420860805,119409.0,1899255116,210501769,-321535718,,1138384738.0,,2011441986,285532841,205395729,-2657954319,,,,324646064,0.0,1828924683,,3749004658,4193054313,34365761.0,110886040.0,820086267,110011165,545252494.0,6376857455,3110346,17.725004,109398849,382409596.0,90672489,,8447092510,1275142663.0,1214149650.0,,12196097168,362283121.0,2705072668.0,1718913518,300708097,931846646,4612114897.0,1955703,646770100,52572435.0,23038119.0,91844814,702503333,81417626,-193771332,-264054495,8805169210,967185941.0,674284291,931846646,-75764912,0.0,
2013-09-30,2191870369,702503333,1314310895.0,926745099,,4109821.0,224906082,454709674.0,895336760,794312622,52572435.0,8689500.0,42894670.0,-3.055023,-10753372.0,773491,-171592533.0,3102572122,349865.0,-248449438,-140885066,-276779809,,1430597824.0,,-110664538,85968884,247457787,1932592421,,,,499359345,0.0,-531421404,,3975067156,5098536748,34365761.0,-160017969.0,-1087084362,-156441473,384642489.0,6566383530,222579536,-3.055023,101024138,426013714.0,96812679,,8907163284,1378924830.0,1454141180.0,,12882230440,900252562.0,2646201706.0,-374979931,277145515,-160610005,4786528040.0,1945499,840651897,52572435.0,-26951913.0,323944187,794312622,77307805,135602,-280196395,9885064788,-916732214.0,799249480,-160610005,-23543356,0.0,
2013-12-31,2098900000,794312622,1314300000.0,901800000,,-33432618.0,431400000,416600000.0,1185900000,341700000,52586667.0,0.0,121390212.0,-1.875,235000000.0,223296,-338090811.0,3098500000,600000.0,-490600000,-259644916,-396909713,,1376300000.0,,202300000,-359807353,0,-975332374,,-1713855268.0,,689282052,0.0,-13800000,8616516627.0,3558100000,4614200000,33700000.0,114101206.0,1319715740,110500000,286100000.0,6902800000,292372339,-1.875,844200000,510000000.0,96119364,5627370.0,9004500000,1640172633.0,1435500000.0,,12562600000,670000000.0,2924400000.0,-124300000,368000000,-98600000,5073500000.0,13900000,753600000,52586667.0,-495404143.0,216100000,341668865,113700000,912800000,-789444489,9687700000,1414849251.0,756100000,-98600000,-59200000,0.0,
2014-03-31,1724363715,341668865,1314310895.0,888853389,,-30384630.0,352700086,407952469.0,1139588171,201230938,52572436.0,,70040644.0,-7.42,-24385321.0,-100609289,-362975087.0,3769684865,780202.0,-239467871,-313812365,-285610411,,1431407198.0,,-415698737,-169586517,0,1004835840,,-1807361745.0,,499509866,0.0,-766952931,8905321706.0,3823211625,5392528526,33474797.0,-47183816.0,-243411652,-47183816,-104021425.0,7097959961,213899455,-7.42,938357233,426701285.0,102795722,5627370.0,9359863787,1908065020.0,1318174983.0,0.0,13183075412,1147698971.0,3168225958.0,-719769115,313396122,-390105226,5531910682.0,1925092,749056115,52572436.0,-139733090.0,248458472,201230938,144966915,-367605450,-355284018,10924439208,81973744.0,871455658,-390105226,113232215,101373141.0,
2014-06-30,2097190897,201230938,1314310895.0,881487838,,-10271987.0,-336343083,369280098.0,1830693201,512314870,52572435.0,763684.0,200178735.0,5.89074,261698480.0,-164669323,-138792834.0,3830505859,83170.0,332331564,536144463,-405418906,,1489949751.0,,709698685,309938613,0,-765450661,,-1901503374.0,,469086800,0.0,303719385,9579436085.0,4272015960,5858026755,32520192.0,-61952630.0,944599440,-20841922,-80414685.0,7677932711,63667894,5.89074,1318378331,553666732.0,102297620,5627370.0,10074758852,1995617069.0,1493961270.0,0.0,14346774812,1163139139.0,3489932961.0,324561307,382205516,309690541,5852290057.0,1914889,1033579018,52572435.0,-505715254.0,303681680,512314870,155200293,28199083,-695292650,11710316812,1027328829.0,1005933781,309690541,-4011519,66480394.0,
2014-09-30,2199357348,512314870,1314310895.0,874122282,,-13514612.0,439529228,364183540.0,1704801308,250465232,52572435.0,12181923.0,777328977.0,1.818389,261698480.0,-12300000,-423554570.0,4725136510,147145.0,-391387743,-460907561,-890575209,,1621298406.0,,324054907,-266332025,3685000,2146955109,,-2077054262.0,,1001630419,0.0,-87736464,10492732904.0,4479343288,6424236285,96333031.0,99539616.0,-790113120,99539616,15182431.0,8415678642,111055210,1.818389,1454336076,651363268.0,128587206,5627370.0,10930514046,2058626967.0,1573156921.0,0.0,15409857334,1680590301.0,3836661403.0,-187276080,397157872,95597116,6529373575.0,1904685,517274987,52572435.0,-681811033.0,283204165,250465232,168700067,100563309,-807054883,12953609860,-772750194.0,1192195988,95597116,48141485,0.0,
2014-12-31,2920400000,250465232,1314300000.0,872400000,,33085365.0,649800000,470600000.0,1363800000,335200000,52572435.0,800000.0,213951600.0,0.555,520000000.0,-314911352,-1328239379.0,4535500000,200000.0,-632100000,90887186,-749462848,,1662000000.0,,1452400000,80395154,47800000,-660239169,,-2201943220.0,,645732567,-250000.0,1180900000,11420043195.0,4396400000,6432600000,109100000.0,68898399.0,84013411,68900000,743200000.0,9218100000,-103730281,0.4925,1028600000,752100000.0,133479600,5627370.0,12464000000,2896800000.0,1644300000.0,-19432044.0,16860400000,-100000.0,3731300000.0,1112000000,452700000,728000000,6874000000.0,1900000,839300000,52572435.0,194447646.0,271500000,335234106,135600000,166000000,-656224599,13306600000,-365998483.0,1323100000,728000000,17700000,5858809.0,
