date,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyBasicAverageShares,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyCashDividendsPaid
1996-06-30,-300000.0,0.01,,38400000.0,,,,,-400000,,,18400000.0,,,,90000000.0,32400000,-9700000,,2600000,1400000,-8000000.0,1700000,,,0.0,27400000.0,48200000.0,,2100000,1900000,-6500000,,800000.0,,-100000.0,1600000.0,600000.0,,12100000.0,800000,,-8000000.0,19800000.0,,,29000000.0,,-7600000,,68000000.0,0.01,700000.0,900000,900000,,,2200000.0,,-7000000,-100000,-10000000,,100000.0,,,,29600000.0,,900000,,3400000,1500000.0,100000.0,27800000.0,90000000.0,
1996-09-30,-2000000.0,,,40800000.0,,200000.0,14100000.0,,-7000000,,,18700000.0,2300000.0,,17300000.0,,38500000,-2400000,,2500000,1300000,-8900000.0,1000000,,,12400000.0,28700000.0,47500000.0,,1200000,1400000,-1700000,1700000.0,200000.0,,-2000000.0,2100000.0,1300000.0,,12700000.0,400000,,3500000.0,24700000.0,,34200000.0,35800000.0,,-1200000,1400000.0,72200000.0,,1100000.0,600000,600000,,100000.0,2700000.0,11000000.0,-8700000,-200000,-4300000,9700000.0,200000.0,,1200000.0,,31400000.0,,600000,,2700000,1300000.0,-400000.0,7100000.0,,
1996-12-31,-200000.0,0.01,,42100000.0,,,,,-8700000,,,18700000.0,,,,100000000.0,42100000,-2100000,,3500000,400000,-8900000.0,2000000,,,0.0,34500000.0,54200000.0,,-300000,2200000,-2200000,,500000.0,,-2900000.0,300000.0,200000.0,,13700000.0,1000000,,-8900000.0,25000000.0,,,38100000.0,,-2400000,,79200000.0,0.01,1300000.0,1000000,1000000,,,2600000.0,,-10800000,-100000,-2300000,,200000.0,,,,37100000.0,,1000000,,4000000,1800000.0,100000.0,33900000.0,100000000.0,
1997-03-31,-500000.0,0.01,,44200000.0,,,,,-10800000,,,18700000.0,,,,150000000.0,46600000,-1200000,,4800000,1000000,-8900000.0,3000000,,,0.0,39100000.0,60900000.0,,-6500000,3400000,-7200000,,700000.0,,-10200000.0,600000.0,600000.0,,15200000.0,1500000,,-8900000.0,25200000.0,,,41100000.0,,-7700000,,86100000.0,0.01,1400000.0,1500000,1500000,,,2800000.0,,-18100000,-200000,-1700000,,200000.0,,,,41900000.0,,1500000,,5500000,2100000.0,400000.0,34100000.0,150000000.0,
1997-06-30,-3600000.0,0.02,,67200000.0,,,,,-18100000,,,18700000.0,,,,120000000.0,70800000,-40700000,,8200000,40100000,-8900000.0,4300000,,,0.0,52100000.0,68000000.0,,8600000,4900000,4300000,,900000.0,,2200000.0,20600000.0,700000.0,,17600000.0,1900000,,-8900000.0,76500000.0,,,61700000.0,,-32100000,,144500000.0,0.02,3300000.0,2400000,2400000,,,25200000.0,,-13800000,0,-44300000,,600000.0,,,,77300000.0,,2400000,,9100000,4200000.0,0.0,85400000.0,120000000.0,
1997-09-30,-4500000.0,,,72300000.0,,200000.0,40700000.0,,-13800000,,,18400000.0,4500000.0,,33000000.0,,72400000,-5100000,,8600000,1800000,-11900000.0,4300000,,,27400000.0,56500000.0,73400000.0,,6600000,4900000,-1100000,5200000.0,1000000.0,,-2500000.0,2200000.0,2400000.0,,20400000.0,1400000,,15500000.0,80700000.0,,54900000.0,62800000.0,,1500000,24900000.0,154100000.0,,3700000.0,2900000,2900000,,-100000.0,24800000.0,14000000.0,-14800000,0,-9500000,18300000.0,700000.0,,,,81300000.0,,2900000,,9600000,4700000.0,100000.0,24500000.0,,
1997-12-31,-3200000.0,0.03,,241000000.0,,200000.0,128200000.0,,-14800000,9900000.0,9900000.0,18400000.0,6100000.0,,66900000.0,166666667.0,115800000,-132600000,,15500000,142600000,-11900000.0,8800000,,,42600000.0,75200000.0,123800000.0,,17900000,8700000,24700000,5200000.0,1200000.0,,3300000.0,,3000000.0,,25400000.0,3800000,,30700000.0,197500000.0,,93800000.0,99100000.0,,-114700000,4800000.0,321300000.0,0.03,6800000.0,5000000,5000000,,0.0,4800000.0,14000000.0,9900000,100000,-135800000,3100000.0,200000.0,,,,80000000.0,,5000000,,16700000,8000000.0,0.0,38600000.0,166666667.0,
1998-03-31,-7200000.0,0.03,,247200000.0,,200000.0,126500000.0,,9900000,16100000.0,16100000.0,18400000.0,7300000.0,,76100000.0,203333333.0,142900000,-4900000,,19500000,2100000,-11900000.0,10800000,,,44300000.0,90000000.0,141400000.0,,16300000,11000000,6300000,10000000.0,1400000.0,,1900000.0,,0.0,,31500000.0,4700000,,32400000.0,202000000.0,,107700000.0,122000000.0,,11400000,6000000.0,343400000.0,0.03,8500000.0,6100000,6100000,,0.0,6000000.0,10300000.0,16100000,-100000,-12100000,3900000.0,200000.0,,,,96000000.0,,6100000,,20900000,9900000.0,163900000.0,43100000.0,203333333.0,
1998-06-30,-7700000.0,0.04,,259400000.0,,200000.0,124900000.0,,16100000,20300000.0,20300000.0,18400000.0,6200000.0,,81600000.0,192500000.0,157800000,-6600000,,23500000,5700000,-11900000.0,14400000,,,45800000.0,103300000.0,162100000.0,,12700000,14600000,4100000,16800000.0,1600000.0,,-4000000.0,4600000.0,200000.0,,39100000.0,6700000,,33900000.0,206700000.0,,125200000.0,132700000.0,,6100000,6100000.0,368800000.0,0.04,8800000.0,7700000,7700000,,0.0,6100000.0,10400000.0,20300000,0,-14300000,4900000.0,200000.0,,,,109400000.0,,7700000,,25100000,10500000.0,0.0,47900000.0,192500000.0,
1998-09-30,-3782173.0,,,474215761.0,,,288140780.0,,20300000,121346595.0,121346595.0,,10711553.0,,213925019.0,,324533435,-199128768,,42800689,197878500,-20504973.0,30216297,,,74674828.0,264881408.0,328844682.0,,104744989,28186075,101089748,45447590.0,1767865.0,,74545983.0,198600230.0,-598623.0,,55241010.0,14027238,,54169855.0,416067330.0,,,279964881.0,,-94383779,5661821.0,744912012.0,,14614614.0,16189059,16189059,,153022.0,5814843.0,12241775.0,0,2242311,-201533741,5508799.0,218133.0,,,,270696251.0,,16189059,,44568554,16382479.0,-1.0,73756695.0,,
1998-12-31,-6811146.0,0.0768,,492414861.0,,,284365325.0,,121362229,117647059.0,117647059.0,,9287925.0,,206965944.0,237841849.0,334365325,-7120743,,48606811,1702786,-20743034.0,34674923,,,75232198.0,246284830.0,329721362.0,,8513932,33436532,-3715170,33281734.0,2012384.0,,-17027864.0,,-7894737.0,,73529412.0,16408669,,54489164.0,416099071.0,,,283746130.0,,1393189,6965944.0,745820433.0,0.0768,15170279.0,18266254,18266254,,154799.0,7120743.0,6501548.0,0,1547988,-13931889,6037152.0,154799.0,,,,253405573.0,,18266254,,50619195,17182663.0,0.0,77244582.0,237841849.0,
1999-03-31,-7226589.0,0.07564,,518037736.0,,,299018868.0,,0,107018868.0,107018868.0,,9509434.0,,235924528.0,281372541.0,338716981,-31218880,,52754249,4033063,-22490566.0,39396227,,,80754717.0,268226415.0,352301887.0,,23787955,37584905,-10624453,25509434.0,2264151.0,,-15877797.0,,3215492.0,,94792453.0,18113208,,58264151.0,439849057.0,,,283773585.0,,-7430925,6037736.0,792150943.0,0.07564,15169344.0,21283019,21283019,,-150944.0,5886792.0,18867925.0,0,1962264,-38445469,6792453.0,301887.0,,,,274113208.0,,21283019,,54943396,17358491.0,4226415.0,82566038.0,281372541.0,
1999-06-30,-39937037.0,0.0888,,540041068.0,,,295101203.0,,0,109416251.0,109416251.0,,9386917.0,,175858023.0,244450968.0,342329129,-2728139,,56468173,44425489,-21853916.0,39747727,,,75828689.0,259313582.0,339982400.0,,552322,38721033,2312636,31974186.0,2346729.0,,-40722970.0,320373.0,1892504.0,,116456439.0,18040481,,53974773.0,464799061.0,,,283514227.0,,-2175817,5280141.0,804781461.0,0.0888,17621656.0,21707246,21707246,,146670.0,5426811.0,28307422.0,0,1026694,-42665176,51481373.0,146671.0,,,,264740393.0,,21707246,,58814902,20093869.0,0.0,115723085.0,244450968.0,
1999-09-30,-4866020.0,,,563022744.0,,293470.0,358767425.0,,0,42259721.0,42259721.0,0.0,13499633.0,,204402054.0,,394137373,-110656376,,56562437,3250254,-28319883.0,39375121,,,91415995.0,246661775.0,344093910.0,,43594801,39666783,-67209990,37123991.0,2937672.0,,73481896.0,442207.0,15112493.0,,139104916.0,16897656,,63096112.0,522377109.0,,,334637263.0,,-67061575,54585473.0,866471020.0,,16895654.0,22477465,22477465,,0.0,56786500.0,79970653.0,42259721,-4693459,-113321369,5135730.0,880669.0,,2201027.0,,303448276.0,,22477465,,59500110,19833327.0,0.0,100513572.0,,
1999-12-31,-2025463.0,0.08708,,587818287.0,-15769676.0,144676.0,346064815.0,,42245370,,,0.0,25752315.0,,187210648.0,264164814.0,404658565,-7089120,,60329862,5063657,-27922454.0,42534722,,,88831019.0,236834491.0,382378472.0,,-40219907,42245371,-44560185,42679399.0,2748843.0,,,6944444.0,2459491.0,-83912037.0,150462963.0,19531250,,60908565.0,519675926.0,,,341579861.0,,-47309027,53819444.0,902054398.0,0.08708,18084491.0,23003472,23003472,,0.0,77401620.0,95630787.0,-2314815,289352,-8969907,6944444.0,1157407.0,,23582176.0,,314236111.0,,23003472,,63078704,20833333.0,0.0,112702546.0,264164814.0,
2000-03-31,-8934375.0,0.08711,,614330868.0,4186379.0,133391.0,340753951.0,,-2314815,37395969.0,37395969.0,0.0,31958822.0,,169224300.0,270154613.0,380533565,-2593351,,58292194,2290265,-27983181.0,42011019,,,87868638.0,200955488.0,373856749.0,,51736508,41654342,39727649,26976947.0,2650428.0,,,3203446.0,-926941.0,12823158.0,173861099.0,18599391,,59885457.0,519466435.0,,,319972452.0,,49143157,52850515.0,893323184.0,0.10163,16637852.0,23411628,23411628,,1450.0,78036828.0,91483254.0,37395969,14499,-14267733,4754241.0,943889.0,,25184863.0,,278992315.0,,23411628,,60561113,18906771.0,0.0,118827027.0,270154613.0,
2000-06-30,-4248094.0,0.02963,,623238123.0,19743723.0,1815895.0,336961669.0,,37395969,33291402.0,33291402.0,0.0,38227023.0,,129997040.0,270300026.0,330701495,-5597979,,29155117,-14977128,-28562972.0,12228799,,,85826551.0,162150363.0,342492230.0,,18996941,12430072,-4104862,27362735.0,2299837.0,,-29.0,349372.0,-834015.0,-4086495.0,180737013.0,5352967,,57263579.0,508339500.0,,,299538257.0,,13398962,37488530.0,850831730.0,0.02963,16725045.0,6875832,6875832,,1480.0,65443244.0,71738937.0,33291402,13320,-9307868,4790588.0,799171.0,,27953234.0,,227593607.0,,6875832,,31163238,18733166.0,0.0,114114252.0,270300026.0,
2000-09-30,517520.0,,,677300872.0,23564852.0,2336940.0,395903216.0,,33291402,49341749.0,49341749.0,0.0,36977758.0,,142754734.0,,320101949,-2809421,,25142297,-3553530,-79648332.0,8971737,,,138548242.0,181998798.0,346623084.0,,37036804,9058876,16048910,33474602.0,2248901.0,,,433006.0,1515171.0,16422744.0,183155996.0,6552975,,58899910.0,574250075.0,,,292710752.0,,34227383,37643523.0,920873159.0,,16083421.0,2418762,2418762,,1503.0,61573490.0,49116321.0,49341749,985,-17785120,5769462.0,893396.0,,23928464.0,,243572287.0,,2418762,,27391197,18332321.0,-1.0,119446949.0,,
2000-12-31,-133473.0,0.04506,,690227954.0,16751650.0,3669766.0,446154769.0,,49341632,51453209.0,51453209.0,0.0,51558189.0,,147790942.0,275663540.0,334179664,-2987403,,42234553,19001200,-79649070.0,23495801,,,139008698.0,186972106.0,338386323.0,,40373425,23845231,2111578,33345831.0,2489502.0,,1499.0,173965.0,941812.0,9497600.0,193578284.0,13074385,,59359628.0,619025195.0,,,289455609.0,,37386022,57744451.0,957411518.0,0.04506,18389322.0,10421416,10421416,,0.0,80211458.0,25910318.0,51453209,7499,-57591482,5835333.0,899820.0,,22467007.0,,267183563.0,,10421416,,44724055,20878824.0,0.0,113510798.0,275663540.0,
2001-03-31,-10241743.0,0.04724,,815987703.0,-21612126.0,7058174.0,521094120.0,,51453209,28190131.0,28190131.0,0.0,61245467.0,,168027747.0,288261784.0,373982343,-7589611,,54370172,-30210407,-79648431.0,32371118,,,160342109.0,239281097.0,370534447.0,,16131383,32727416,-23262453,64453728.0,3028535.0,,-3076.0,311610.0,-2813166.0,-18870137.0,208784487.0,17165379,,80693678.0,736716065.0,,,316583636.0,,8541772,38079773.0,1107250512.0,0.04724,21642209.0,15205739,15205739,,-1577.0,51981712.0,48702507.0,28190131,1577,-10483561,6799622.0,1089390.0,,13903516.0,,291262809.0,,15205739,,57398707,24671291.0,0.0,134928267.0,288261784.0,
2001-06-30,-25883484.0,0.06025,,849615734.0,3896785.0,23340393.0,529075643.0,,28190131,53314675.0,53314675.0,0.0,70440243.0,,200995461.0,290069819.0,404136157,-10450217,,61482841,22765939,-79649017.0,36759455,,,176113465.0,334239032.0,404659607.0,,101862817,36898638,25123644,127540091.0,3361573.0,,64.0,4591.0,8294955.0,49131992.0,226124054.0,19419062,,96464448.0,901163389.0,,236048411.0,339293495.0,,91412600,61978820.0,1305822995.0,0.06025,24584203.0,17340393,17340393,,32780635.0,121968230.0,44856278.0,53314675,-1513,-98003626,5703480.0,1113464.0,,27208775.0,,456207262.0,,17340393,,64842662,27944024.0,0.0,275623298.0,290069819.0,
2001-09-30,-12377879.0,,,1481917311.0,-11313412.0,22431750.0,1114792489.0,,53314675,46007575.0,46007575.0,0.0,978381.0,,315901846.0,,469017982,-2965194,,100122633,-27378099,-101952028.0,42327124,,,225343223.0,429605492.0,519420862.0,,15634269,70155757,-7305576,1.0,3704335.0,,-65.0,53715294.0,26165952.0,-59921992.0,245944453.0,22506968,,123391195.0,1543370680.0,,257669244.0,393778673.0,,12669075,32752091.0,2062791542.0,,29966876.0,19820156,19820156,,74811425.0,151268739.0,84838252.0,46007575,-1252,8327367,7527221.0,1491657.0,,43705223.0,85163326.0,580874231.0,,19820156,,75239309,5083552.0,0.0,272401766.0,,
2001-12-31,-39805794.0,0.08029,,1662040751.0,1117479.0,48148679.0,1142066221.0,,46007641,155829354.0,155829354.0,0.0,7020057.0,,312672716.0,369406415.0,520783190,-20286533,,76943648,142410060,-101951608.0,52144222,,,234514486.0,427914677.0,641631646.0,,27553327,52559694,109821713,1592.0,4304362.0,,,127593123.0,1814709.0,-15764088.0,272757084.0,21532951,,132562878.0,1633530723.0,,313387456.0,439535180.0,,7266794,54740528.0,2275162369.0,0.08029,24383954.0,30611270,30611270,,84953836.0,185206940.0,83707418.0,155829354,-1591,-60092327,5856415.0,826170.0,,45512576.0,87895575.0,613121617.0,,30611270,,81248010,28688316.0,-5499841.0,322948106.0,376944733.0,
2002-03-31,-9692293.0,0.09014,,1698758764.0,-8548964.0,49990440.0,1137066603.0,,155829354,152549395.0,152549395.0,0.0,-1594.0,,281864245.0,379617757.0,539198534,-7901804,,80205545,-14197823,-101951880.0,56864245,,,231311345.0,415476418.0,651779796.0,,28585934,57085723,-3280923,3046526.0,4276609.0,,,1689860.0,12594150.0,-28780208.0,305943276.0,23677502,,129359465.0,1629717973.0,,337514340.0,454716380.0,,20684130,38604207.0,2281497769.0,0.09014,23119233.0,33186743,33186743,,76185468.0,167262588.0,91795730.0,152549395,1,-18895882,6115360.0,490758.0,,52472913.0,99958572.0,582739006.0,,33186743,,84482154,27396431.0,-478.0,328271191.0,379617757.0,
2002-06-30,-80580713.0,0.10038,,1711245643.0,,37369298.0,1102854978.0,,152549395,122927716.0,122927716.0,0.0,-1515.0,,265073496.0,380103092.0,553355054,-12699676,,86933849,-2400750,-97904228.0,62729201,,,230451584.0,347808759.0,563956660.0,,69808610,62395818,-29621560,19248371.0,4412790.0,,,339687.0,4054545.0,17047706.0,342420064.0,26252462,,132547356.0,1674582513.0,,262504925.0,469272617.0,,57108934,36379755.0,2238539173.0,0.10038,24538031.0,36476739,36476739,,61747234.0,179484770.0,89851493.0,122927716,-1516,-98278043,5676618.0,695560.0,,81357781.0,38331565.0,527293529.0,,36476739,,84082437,21686619.0,1001.0,413979391.0,380103092.0,
2002-09-30,7175625.0,,,1779614286.0,,69050794.0,1133852381.0,,122927716,104220635.0,104220635.0,0.0,0.0,,261509524.0,,571860008,-16310400,,88627014,-32917836,-147614286.0,60828525,,,292995238.0,358136508.0,559255556.0,,51499748,60104740,-18706532,5126984.0,4615131.0,,,2113838.0,17138183.0,-18239918.0,377944444.0,25305911,,145380952.0,1741636508.0,,295190476.0,479329192.0,,35189348,4328571.0,2300892063.0,,28522274.0,35524129,35524129,,65117461.0,163141270.0,98904762.0,104220635,1517,-38336923,4171429.0,398685.0,,93695238.0,61026984.0,521277778.0,,35524129,,92530816,32426076.0,-2269.0,433742858.0,,
2002-12-31,-28501731.0,0.10038,,1803265659.0,,54812716.0,1130985206.0,,104220963,97433113.0,97433113.0,0.0,-1573.0,,305022033.0,380796242.0,588983318,-30577589,,89784389,27255272,-147615675.0,61394397,,,315881334.0,394321687.0,576717029.0,,30132200,60733397,-6787850,755430.0,4992131.0,,,684608.0,7839156.0,-32990242.0,414963802.0,24373623,,168265659.0,1802574756.0,,300616934.0,501301542.0,,-445389,30873466.0,2379291785.0,0.10038,29050992.0,37020774,37020774,,53418319.0,181704438.0,98830658.0,97433113,0,-63153919,4065156.0,253384.0,,97412653.0,54924457.0,576026125.0,,37020774,,87681776,26948379.0,0.0,474507397.0,380796242.0,
