date,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyAccumulatedDepreciation,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyTaxProvision,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyInventory,quarterlyChangeInInventory
2015-09-30,-33800000,14600000,-6500000,4800000.0,64999000.0,-100000.0,-4000000,67500000,0,221500000.0,11500000.0,-5200000,,-2500000,78700000,38300000,0.0,934000000.0,,256800000,1043200000.0,900000,144000000,6200000.0,142800000.0,44900000,200000.0,289400000,-0.04,64999000.0,327700000.0,333100000.0,900000.0,728200000.0,3470100000.0,-2500000,2786400000.0,-800000,800000,,40600000,10300000,30300000,2838900000.0,,478500000.0,28900000.0,267100000,,411100000,,148700000,3000000,327700000,-33800000,0.0,10000000,,50900000,5400000.0,363800000.0,1725400000.0,-32300000.0,0.0,-4300000,683700000.0,1113500000.0,0,1662300000.0,35800000.0,-2700000,0.0,-0.04,,,,
2015-12-31,-22500000,14500000,16200000,4200000.0,66244000.0,0.0,-3200000,69000000,300000,225000000.0,12100000.0,-500000,-236000000.0,100000,61300000,20300000,0.0,937700000.0,,267600000,1039800000.0,-900000,145000000,4800000.0,146600000.0,38800000,200000.0,327700000,0.00151,66244000.0,348000000.0,352500000.0,3200000.0,735300000.0,3498800000.0,100000,2804900000.0,0,900000,,42400000,12800000,6100000,2832100000.0,,478500000.0,39400000.0,280400000,,425400000,461000000.0,156200000,4500000,348000000,-57100000,-800000.0,11900000,,55500000,4500000.0,425800000.0,1704200000.0,-32200000.0,0.0,-1400000,693900000.0,1127900000.0,-35500000,1663400000.0,34300000.0,-2800000,0.0,0.00151,,,,
2016-03-31,-12000000,14300000,-5700000,4200000.0,67834000.0,,-4200000,71700000,-3900000,223800000.0,10500000.0,-18300000,,-10500000,105300000,83700000,0.0,994200000.0,,278000000,1038700000.0,1400000,154400000,6100000.0,126100000.0,93300000,200000.0,348000000,-0.15,67834000.0,431700000.0,440100000.0,1400000.0,711400000.0,3596800000.0,-10500000,2785000000.0,-3900000,0,,38900000,1300000,68300000,2922500000.0,,504300000.0,60900000.0,279300000,,433700000,,167400000,4400000,431700000,-15900000,-5100000.0,12000000,,36300000,8400000.0,436800000.0,1727700000.0,-42700000.0,0.0,-16900000,811800000.0,1194800000.0,0,1663400000.0,32100000.0,-2800000,0.0,-0.15,,,,
2016-06-30,-14600000,14300000,5100000,4100000.0,79872000.0,,-3400000,70200000,-6900000,233300000.0,6700000.0,-11100000,,-8900000,92400000,40400000,0.0,1026800000.0,,284400000,1037700000.0,-400000,162100000,7400000.0,129000000.0,77800000,200000.0,431700000,-0.11,79872000.0,472100000.0,481700000.0,2900000.0,727700000.0,3670700000.0,-8900000,2810000000.0,-6600000,5400000,,39300000,9700000,49800000,3016800000.0,,518200000.0,66300000.0,294100000,,456200000,,174900000,3600000,472100000,-57100000,-5700000.0,10800000,,42100000,9600000.0,441200000.0,1783700000.0,-51600000.0,0.0,-11500000,860700000.0,1233100000.0,-41300000,1664900000.0,33900000.0,-2700000,0.0,-0.11,,,,
2016-09-30,-16200000,14400000,17200000,4100000.0,83733000.0,,-2700000,72300000,600000,230800000.0,6600000.0,8300000,,4800000,99700000,84100000,0.0,1043300000.0,,281700000,1036700000.0,-900000,169200000,10800000.0,124600000.0,83500000,200000.0,472100000,0.05,96743000.0,556200000.0,565800000.0,2700000.0,705500000.0,3741200000.0,4800000,2800600000.0,0,0,,43400000,21200000,25100000,3038900000.0,,528400000.0,63200000.0,302900000,,472100000,,166000000,5400000,556200000,-32800000,0.0,17500000,,65200000,9600000.0,504100000.0,1803700000.0,-46800000.0,0.0,7400000,940600000.0,1235200000.0,-16600000,1678100000.0,39100000.0,-2700000,0.0,0.06,,,,
2016-12-31,-20000000,14200000,-1500000,4000000.0,87774000.0,,-4800000,73600000,-4200000,231000000.0,11100000.0,-800000,-278000000.0,-1900000,89100000,9900000,0.0,1043500000.0,,295900000,1035700000.0,300000,172100000,8000000.0,143000000.0,69100000,200000.0,556200000,-0.02,87774000.0,566100000.0,572700000.0,2700000.0,716500000.0,3786900000.0,-1900000,2854100000.0,0,3000000,,38500000,17900000,19100000,3072700000.0,,532700000.0,61700000.0,313800000,,485900000,509000000.0,183800000,19600000,566100000,-77600000,-8000000.0,16500000,,52200000,6600000.0,542700000.0,1810500000.0,-48700000.0,-1300000.0,-500000,932800000.0,1262200000.0,-60600000,1718400000.0,39500000.0,-2800000,0.0,-0.02,,,,
2017-03-31,-19800000,12800000,-4900000,6000000.0,89600000.0,,-11800000,80200000,5000000,228100000.0,12100000.0,-3100000,,600000,126600000,92100000,0.0,1111800000.0,,307200000,1031400000.0,1000000,176800000,8400000.0,132200000.0,106800000,200000.0,566100000,0.01,100242000.0,658200000.0,670600000.0,700000.0,701100000.0,3889900000.0,600000,2843700000.0,-6400000,600000,,31600000,5700000,79000000,3150500000.0,,559100000.0,70000000.0,312900000,,489700000,,195400000,2700000,658200000,-29600000,-7000000.0,16400000,,42300000,12400000.0,598600000.0,1827500000.0,-48100000.0,0.0,-2100000,1046200000.0,1323000000.0,-4000000,1718400000.0,39400000.0,0,0.0,0.01,,,,
2017-06-30,-16700000,22000000,1689400000,580800000.0,101800000.0,,-33300000,90100000,34700000,297000000.0,12000000.0,23400000,,20800000,113300000,-79400000,126500000.0,1217000000.0,180600000.0,355300000,2419100000.0,-4600000,196400000,17400000.0,333400000.0,96600000,200000.0,658200000,0.1,176716000.0,578800000.0,591200000.0,-22800000.0,1332300000.0,6253900000.0,20800000,4648900000.0,0,0,,55500000,6100000,58900000,5758900000.0,,584300000.0,66400000.0,361400000,,557800000,,209700000,-38200000,578800000,-1883900000,-3000000.0,19000000,,96300000,12400000.0,385400000.0,3434800000.0,-27300000.0,0.0,18800000,1605000000.0,2324100000.0,-1867200000,2820900000.0,64500000.0,-2700000,562100000.0,0.2,,,,
2017-09-30,-23700000,24400000,-590500000,16100000.0,114836000.0,-8800000.0,-2600000,91000000,-3600000,296300000.0,11300000.0,7100000,,22400000,131400000,-41900000,184900000.0,1254300000.0,172600000.0,349800000,2415800000.0,-3000000,200300000,17300000.0,430600000.0,107700000,100000.0,578800000,0.17,175219000.0,536900000.0,553300000.0,-51600000.0,1316800000.0,5695000000.0,22400000,4691400000.0,-9900000,6000000,,60000000,32100000,58100000,5225800000.0,,594800000.0,49500000.0,381900000,,582200000,,198800000,9100000,536900000,415600000,0.0,19800000,0.0,88500000,16400000.0,395100000.0,3475300000.0,-5000000.0,0.0,4100000,1003600000.0,1750500000.0,-4500000,2882000000.0,72000000.0,-602900000,0.0,0.2,,,,
2017-12-31,-75000000,23800000,13500000,16700000.0,128388000.0,800000.0,-2400000,94500000,86800000,297900000.0,14200000.0,98300000,-348100000.0,92600000,104300000,45800000,206400000.0,1264800000.0,145500000.0,377200000,2410800000.0,-12300000,202000000,18400000.0,469600000.0,29300000,100000.0,536900000,0.54,176732000.0,582700000.0,595000000.0,-85700000.0,1326000000.0,5738300000.0,92600000,4678800000.0,-12000000,16000000,,58700000,23000000,27900000,5191800000.0,,596800000.0,59600000.0,400200000,-18600000.0,602200000,646000000.0,224000000,-83500000,582700000,-72200000,-275000000.0,21200000,-10000000.0,168500000,12300000.0,486500000.0,3381100000.0,87700000.0,-52000000.0,86000000,1059500000.0,1810700000.0,-1200000,2859900000.0,75000000.0,-6300000,0.0,0.72,,,,
2018-03-31,-16100000,23800000,11900000,16700000.0,137841000.0,,-2600000,102000000,900000,295300000.0,13800000.0,4200000,,3300000,148400000,128000000,246300000.0,1345600000.0,147000000.0,391100000,2406600000.0,-300000,215300000,24000000.0,492300000.0,132300000,100000.0,582700000,0.02,178787000.0,710700000.0,729500000.0,-80400000.0,1317400000.0,5931000000.0,3300000,4709700000.0,-6900000,400000,,57800000,26800000,53000000,5334700000.0,,622900000.0,57900000.0,417900000,,633200000,,231300000,1900000,710700000,-33500000,0.0,31500000,,85500000,18800000.0,548300000.0,3422200000.0,91000000.0,,3900000,1221300000.0,1912500000.0,-10900000,2898300000.0,78100000.0,-6200000,,0.02,,,,
2018-06-30,-19800000,24700000,10000000,16700000.0,152577000.0,,-10600000,105100000,200000,281000000.0,22800000.0,20200000,,18100000,128900000,99000000,159800000.0,1385200000.0,136500000.0,386800000,2402500000.0,-1200000,221300000,23600000.0,400300000.0,109100000,200000.0,710700000,0.11,180881000.0,809700000.0,828500000.0,-67800000.0,1251300000.0,5927900000.0,18100000,4577100000.0,0,0,,57000000,43500000,31800000,5253600000.0,,628700000.0,51900000.0,430300000,,651600000,,224700000,-8300000,809700000,-37300000,,28200000,,100700000,18800000.0,631600000.0,3399500000.0,109100000.0,,19000000,1350800000.0,1854100000.0,-7500000,2837500000.0,52600000.0,-6300000,,0.12,,,,
2018-09-30,-19400000,25000000,12100000,16700000.0,162359000.0,,-800000,112200000,700000,273100000.0,15400000.0,14100000,,13200000,154000000,41500000,157300000.0,1399700000.0,125700000.0,415100000,2398400000.0,-900000,226900000,22500000.0,438800000.0,134600000,200000.0,809700000,0.08,182392000.0,851200000.0,852200000.0,-66000000.0,1252800000.0,6037300000.0,13200000,4692100000.0,0,18000000,,61300000,37500000,51400000,5307500000.0,,629800000.0,45700000.0,452600000,,679500000,,241600000,15700000,851200000,-124500000,,30600000,,99500000,1000000.0,695700000.0,3406600000.0,122300000.0,,13200000,1345200000.0,1900900000.0,-133100000,2966600000.0,63400000.0,-6200000,,0.08,,,,
2018-12-31,-41700000,24900000,13000000,16600000.0,167753000.0,0.0,-3100000,114700000,20000000,299000000.0,14000000.0,43500000,-440900000.0,42500000,128500000,81200000,120500000.0,1393700000.0,117200000.0,423600000,2394200000.0,-6600000,230400000,26400000.0,414300000.0,86800000,200000.0,851200000,0.24,182244000.0,932400000.0,951300000.0,-72100000.0,1211500000.0,6083400000.0,42500000,4656100000.0,-17900000,100000,,58000000,41800000,8300000,5258900000.0,,623800000.0,61600000.0,465400000,-7100000.0,695800000,739900000.0,250900000,-9400000,932400000,-59500000,,35200000,0.0,119800000,18900000.0,792700000.0,3372700000.0,164800000.0,,36900000,1427300000.0,1886200000.0,0,2948000000.0,63200000.0,-6300000,,0.24,,,,
2019-03-31,-29400000,24400000,-11900000,16500000.0,171001000.0,,-22200000,124000000,14900000,406800000.0,15300000.0,13200000,,12900000,199700000,157900000,93900000.0,1474600000.0,113100000.0,454800000,2390000000.0,-3900000,236400000,35400000.0,379900000.0,170300000,200000.0,932400000,0.07,183148000.0,1090300000.0,1109000000.0,-86300000.0,1179900000.0,6350600000.0,12900000,4738800000.0,-17900000,18300000,,57200000,18800000,86900000,5427200000.0,,648100000.0,99500000.0,473600000,,710000000,406800000.0,273600000,-4500000,1090300000,-29000000,,46900000,,90900000,18700000.0,910400000.0,3456700000.0,181000000.0,,9300000,1611800000.0,1970500000.0,0,2948300000.0,11300000.0,-7300000,,0.08,,,,
2019-06-30,-16500000,23100000,6500000,19200000.0,176007000.0,,-22200000,127200000,-9300000,408400000.0,15500000.0,-12700000,,-12600000,161300000,108500000,122900000.0,1521300000.0,107500000.0,463700000,2387700000.0,-800000,254600000,24800000.0,396700000.0,144800000,200000.0,1090300000,-0.07,176007000.0,1198800000.0,1222400000.0,-117600000.0,1153100000.0,6448900000.0,-12600000,4728500000.0,-22700000,18000000,,53800000,18900000,56900000,5492200000.0,,652400000.0,82900000.0,482600000,,737200000,408400000.0,282700000,7200000,1198800000,-59500000,,41600000,,63400000,23600000.0,945100000.0,3472100000.0,168400000.0,,-13500000,1720400000.0,2020100000.0,-37000000,2965800000.0,14900000.0,-607300000,,-0.07,,,,
2019-09-30,-25200000,22900000,-402000000,19100000.0,174820000.0,,-4200000,116400000,5600000,445800000.0,14300000.0,76800000,,76200000,200200000,-232100000,60600000.0,1539900000.0,100400000.0,404100000,2383100000.0,-2700000,265000000,29000000.0,338900000.0,175000000,200000.0,1198800000,0.42,181654000.0,966700000.0,990200000.0,-98500000.0,1108600000.0,6167600000.0,76200000,4683000000.0,-23500000,23600000,,49900000,91400000,45800000,5487700000.0,,656200000.0,71400000.0,495500000,,760500000,445800000.0,237800000,10000000,966700000,-28900000,,17700000,,146900000,23500000.0,667900000.0,3518400000.0,-155000000.0,-500000.0,74100000,1484600000.0,1969300000.0,-3300000,2932200000.0,19400000.0,-7200000,,0.44,,,,
