date,quarterlyEbitda,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyBasicEPS,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2002-09-30,42399000,1169848000,30487000,188700000,15988000,30771000,-120982000,,857062000.0,2474000,0.34,412518000.0,501218000.0,291672000.0,,,,,8330000.0,,693724000.0,981148000,550110000.0,-1218000.0,,,,158213000,369500000.0,,0.0,15988000,15988000,-724000.0,51221000.0,444544000.0,56119000.0,-13993000,0.36,,83046000,4631000,-276000.0,214887000.0,96770000,,8118000.0,75044000.0,38704000,768000,44736000.0,-106468000.0,9592000,25580000,291672000.0,125291000.0,,1550786000.0,199668000.0,1049568000.0,24711000,30771000.0,30771000.0,,11912000,,231108000.0,30003000,52220000.0,,,,,,,,
2002-12-31,45615000,1203578000,33535000,196819000,17454000,33660000,-30533000,,902848000.0,19428000,,448064000.0,529146000.0,293994000.0,9098000.0,222004000.0,,,-44322000.0,,714869000.0,1006759000,575464000.0,-33000.0,220676000.0,125265000.0,,163284000,370095000.0,,0.0,17454000,17454000,-555000.0,17869000.0,454784000.0,77263000.0,-15763000,,,22491000,5391000,-217000.0,239846000.0,-90877000,,13616000.0,84689000.0,10931000,2889000,,-15586000.0,10473000,27927000,293994000.0,0.0,,1617717000.0,205497000.0,1088571000.0,-4832000,33660000.0,33660000.0,,12080000,,236438000.0,30771000,,453000.0,,,,,,,
2003-03-31,42637000,1269105000,30404000,199338000,16420000,39190000,-25403000,,910589000.0,439000,0.35,471182000.0,543605000.0,303978000.0,,,,,35142000.0,,735452000.0,1069767000,585474000.0,0.0,228461000.0,,,168934000,351763000.0,,0.0,16420000,16420000,-707000.0,34386000.0,439407000.0,59207000.0,-20208000,0.36,,-33301000,4790000,869000.0,241568000.0,-32594000,,9637000.0,87644000.0,64234000,5530000,45345000.0,-9704000.0,10063000,26483000,303978000.0,147380000.0,,1646041000.0,203347000.0,1102436000.0,44026000,39190000.0,39190000.0,4500000.0,12233000,,264595000.0,33660000,52452000.0,,,,,,,,
2003-06-30,56250000,1366883000,43746000,215004000,23944000,44355000,-34276000,,911392000.0,1745000,0.49,474329000.0,551762000.0,326149000.0,,,,,-1819000.0,,761395000.0,1151879000,584917000.0,16000.0,237196000.0,,,171258000,349419000.0,,0.0,23944000,23944000,-784000.0,32532000.0,437063000.0,63709000.0,-32913000,0.53,,3067000,4955000,-171000.0,237679000.0,3851000,,8598000.0,87644000.0,36374000,5165000,45451000.0,-1657000.0,14676000,38620000,326149000.0,148998000.0,,1672787000.0,201361000.0,1121025000.0,3461000,44355000.0,44355000.0,0.0,12504000,,261622000.0,39190000,52817000.0,,,,,,,,
2003-09-30,52654000,1388334000,39826000,215384000,21604000,36099000,-16095000,,874295000.0,2189000,0.44,473756000.0,542102000.0,331588000.0,,,,,3466000.0,,790715000.0,1172950000,582396000.0,0.0,222565000.0,,,175558000,303423000.0,,0.0,21604000,21604000,-705000.0,36754000.0,400539000.0,71471000.0,-16388000,0.47,,-32248000,4714000,-266000.0,246684000.0,-31543000,,9696000.0,97116000.0,40087000,-8256000,45681000.0,182000.0,13242000,34846000,331588000.0,143467000.0,,1665010000.0,199228000.0,1122908000.0,23699000,36099000.0,36099000.0,0.0,12828000,,258818000.0,44355000,53186000.0,,,,,,,,
2003-12-31,38418000,1495489000,24754000,224810000,12223000,38916000,-45967000,,932653000.0,-19388000,,468924000.0,581875000.0,363052000.0,0.0,296195000.0,,,-44600000.0,,803815000.0,1270679000,582966000.0,0.0,242340000.0,150377000.0,,200056000,353919000.0,,0.0,12223000,12223000,-355000.0,14790000.0,463729000.0,83155000.0,-43310000,,,62442000,4664000,-376000.0,257198000.0,55759000,,11761000.0,109810000.0,-13658000,2817000,,-2777000.0,7491000,19714000,363052000.0,0.0,,1736468000.0,196814000.0,1154593000.0,-56968000,38916000.0,38916000.0,0.0,13664000,,235392000.0,36099000,,459000.0,,,,,,,
2004-03-31,30739000,1465067000,16755000,218518000,7476000,51514000,-21385000,,958629000.0,1169000,0.16,541123000.0,613452000.0,372168000.0,,,,,28984000.0,,816308000.0,1246549000,582668000.0,0.0,247872000.0,,,201763000,310528000.0,,0.0,7476000,7476000,-43517000.0,33510000.0,417506000.0,104688000.0,-21134000,0.16,,-17630000,4749000,52000.0,280556000.0,4228000,,12230000.0,106978000.0,51613000,12598000,45999000.0,-300000.0,4582000,12058000,372168000.0,154172000.0,,1774937000.0,194419000.0,1161485000.0,30479000,51514000.0,51514000.0,0.0,13984000,,282263000.0,38916000,47067000.0,,,,,,,,
2004-06-30,49523000,1555722000,35303000,235401000,18796000,55123000,-22207000,,952613000.0,2957000,0.39,544378000.0,622152000.0,381437000.0,,,,,8644000.0,,841016000.0,1320321000,584016000.0,0.0,250040000.0,,,200098000,290161000.0,,0.0,18796000,18796000,-20466000.0,31468000.0,408235000.0,103665000.0,-21765000,0.41,,-18801000,4786000,-132000.0,285521000.0,2589000,,14032000.0,118074000.0,44617000,3609000,46344000.0,-761000.0,11589000,30385000,381437000.0,164779000.0,,1793629000.0,191992000.0,1171477000.0,22852000,55123000.0,55123000.0,0.0,14220000,,275934000.0,51514000,53325000.0,,,,,,,,
2004-09-30,48487000,1547783000,33756000,231405000,17763000,49033000,-16789000,,969269000.0,1189000,0.37,551024000.0,657209000.0,384357000.0,,,,,-44592000.0,,863891000.0,1316378000,584900000.0,0.0,263904000.0,,,197649000,289366000.0,,0.0,17763000,17763000,-1017000.0,40117000.0,418245000.0,122211000.0,-15691000,0.38,,21608000,4732000,-328000.0,304155000.0,3857000,,15788000.0,128879000.0,-10909000,-6090000,46523000.0,-1176000.0,10933000,28696000,384357000.0,169694000.0,,1833160000.0,190906000.0,1175951000.0,-26600000,49033000.0,49033000.0,0.0,14731000,,259119000.0,55123000,53270000.0,,,,,,,,
2004-12-31,42896000,1580351000,27132000,234540000,8523000,52322000,-24893000,,953452000.0,913000,,561095000.0,645919000.0,394701000.0,,348753000.0,,,1652000.0,,874313000.0,1345811000,586510000.0,0.0,245755000.0,164423000.0,,207408000,278584000.0,,0.0,8523000,8523000,-137528000.0,15628000.0,392357000.0,129015000.0,-24881000,,,-2471000,2562000,-11033000.0,314835000.0,1507000,,15764000.0,113773000.0,30653000,3289000,,-849000.0,5014000,13537000,394701000.0,0.0,,1827765000.0,184871000.0,1181846000.0,5772000,52322000.0,52322000.0,0.0,15764000,,267657000.0,49033000,,468000.0,,,,,,,
2005-03-31,15855000,1422807000,9426000,179916000,13695000,49710000,-19784000,,970683000.0,420000,0.29,674093000.0,1226295000.0,214247000.0,,,,,52431000.0,,891305000.0,1242891000,354037000.0,0.0,197498000.0,,,170490000,255719000.0,,0.0,4683000,13695000,-57849000.0,691990000.0,296590000.0,54900000.0,-18546000,0.29,,-54804000,973000,-842000.0,287097000.0,3045000,,14004000.0,40871000.0,63963000,-2612000,46872000.0,-1255000.0,2928000,7611000,214247000.0,331402000.0,,1861988000.0,53405000.0,635693000.0,45417000,49710000.0,49710000.0,,6429000,,287791000.0,52322000,47403000.0,,,,,,,,
2005-06-30,28556000,1456735000,21951000,189392000,203795000,647058000,-19738000,,695427000.0,-180224000,4.28,648757000.0,1142665000.0,228301000.0,162880000.0,,,,35542000.0,,1096673000.0,1267343000,353963000.0,0.0,179921000.0,,,167441000,3536000.0,,0.0,12246000,203795000,-201647000.0,34864000.0,46670000.0,55436000.0,-19813000,4.34,,-200614000,1540000,-594000.0,280822000.0,1033000,,14883000.0,43134000.0,55127000,597348000,46955000.0,0.0,7571000,19817000,228301000.0,142663000.0,,1792100000.0,52288000.0,649435000.0,35314000,647058000.0,647058000.0,,6605000,,287778000.0,49710000,47608000.0,,,,,,,,
2005-09-30,24205000,1401780000,17623000,185868000,11447000,149491000,-20178000,,520917000.0,183508000,0.27,477926000.0,673443000.0,240867000.0,16318000.0,,,,-72396000.0,,816652000.0,1215912000,355836000.0,0.0,198092000.0,,,168245000,3396000.0,,0.0,11911000,11447000,27072000.0,34518000.0,42991000.0,82648000.0,-18326000,0.27,,-266712000,324000,-1311000.0,291342000.0,7429000,,16090000.0,39595000.0,-51353000,-497567000,42316000.0,-1903000.0,7295000,19206000,240867000.0,132294000.0,,1337569000.0,51333000.0,664126000.0,-69679000,149491000.0,149491000.0,,6582000,,246666000.0,647058000,42906000.0,,,,,,,,
2005-12-31,28242000,1440050000,21478000,192230000,18201000,99461000,-21653000,,535773000.0,-204334000,,489124000.0,632318000.0,255816000.0,,595891000.0,-60505000.0,,-15214000.0,,776517000.0,1247820000,356597000.0,-150000.0,190481000.0,122885000.0,,170752000,3250000.0,,0.0,12924000,18201000,231727000.0,10115000.0,46649000.0,100908000.0,-20891000,,,-42111000,409000,-1542000.0,303073000.0,280000,,16346000.0,43399000.0,8433000,-50030000,,-759000.0,7534000,20458000,255816000.0,6540000.0,,1312290000.0,51213000.0,679972000.0,-12458000,99461000.0,99461000.0,,6764000,,258791000.0,149491000,,356000.0,,,,,,,
2006-03-31,17585000,1469493000,10722000,187254000,5642000,84265000,-11870000,,552360000.0,916000,0.16,504599000.0,613632000.0,261695000.0,,,-39617000.0,-1918000.0,18377000.0,,747083000.0,1282239000,356597000.0,0.0,201894000.0,,,176532000,3105000.0,,0.0,5674000,5642000,-153000.0,31359000.0,47761000.0,97708000.0,-12041000,0.16,,-39269000,354000,-1550000.0,296114000.0,501000,,17246000.0,44656000.0,29912000,-15196000,34404000.0,0.0,3616000,9290000,261695000.0,136623000.0,,1299443000.0,50273000.0,685811000.0,17871000,84265000.0,84265000.0,,6863000,,270268000.0,99461000,34919000.0,,,,,,,,
2006-06-30,28683000,1448027000,21530000,193203000,12181000,98658000,-13359000,,529680000.0,1475000,0.35,482278000.0,601031000.0,268813000.0,,,0.0,250000.0,7826000.0,,763546000.0,1254824000,356597000.0,0.0,186830000.0,,,171673000,2961000.0,,0.0,12168000,12181000,-137000.0,31662000.0,47402000.0,93682000.0,-13460000,0.36,,-1349000,370000,-1796000.0,283881000.0,-1212000,,17439000.0,44441000.0,28872000,14393000,34191000.0,0.0,7586000,19754000,268813000.0,132401000.0,,1293226000.0,49346000.0,692195000.0,15412000,98658000.0,98658000.0,,7153000,,256195000.0,84265000,34797000.0,,,,,,,,
2006-09-30,27394000,1429765000,20111000,194353000,12043000,76028000,-8946000,,542047000.0,2086000,0.35,482533000.0,619177000.0,279655000.0,,,0.0,-1476000.0,-33620000.0,,779461000.0,1235412000,356509000.0,0.0,197384000.0,,,174242000,11814000.0,,0.0,12175000,12043000,-137000.0,36127000.0,59514000.0,91023000.0,-8998000,0.35,,-211000,394000,-1782000.0,309638000.0,-74000,,17721000.0,47700000.0,-13552000,-22630000,34369000.0,0.0,6578000,18753000,279655000.0,130649000.0,,1321508000.0,48446000.0,702331000.0,-22550000,76028000.0,76028000.0,,7283000,,260861000.0,98658000,34624000.0,,,,,,,,
2006-12-31,30317000,1479447000,22747000,199825000,12919000,75087000,-19051000,,564966000.0,2470000,,504720000.0,645465000.0,291947000.0,,638677000.0,0.0,-1422000.0,-1060000.0,,794809000.0,1279622000,356509000.0,0.0,226058000.0,141162000.0,,177078000,11664000.0,,0.0,12883000,12919000,-149000.0,2267000.0,60246000.0,88606000.0,-19189000,,,-2548000,614000,-1872000.0,308901000.0,9913000,,18279000.0,48582000.0,20441000,-941000,,0.0,7862000,20745000,291947000.0,5362000.0,,1359775000.0,47575000.0,714310000.0,1252000,75087000.0,75087000.0,,7570000,,269590000.0,76028000,,349000.0,,,,,,,
2007-03-31,20331000,1529744000,12846000,195406000,6925000,125728000,8883000,,588226000.0,1702000,0.2,528918000.0,696080000.0,276809000.0,,,0.0,-1423000.0,26033000.0,,806361000.0,1334338000,356509000.0,0.0,215516000.0,,,182560000,9577000.0,,0.0,6873000,6925000,-2610000.0,37120000.0,59308000.0,90127000.0,-6976000,0.2,,2783000,575000,-1806000.0,317716000.0,3349000,,18510000.0,49731000.0,40670000,50641000,34534000.0,,4435000,11308000,276809000.0,147975000.0,,1394587000.0,46679000.0,698507000.0,33694000,125728000.0,125728000.0,,7485000,,290816000.0,75087000,34907000.0,,,,,,,,
2007-06-30,30372000,1564652000,23039000,206528000,12835000,115488000,-14797000,,560871000.0,2489000,0.36,500543000.0,679537000.0,285025000.0,,,0.0,-293000.0,-14555000.0,,825637000.0,1358124000,356509000.0,0.0,211909000.0,,,183489000,9562000.0,,0.0,13081000,12835000,-14000.0,38010000.0,60328000.0,84150000.0,-14828000,0.37,,-1904000,524000,-1864000.0,314130000.0,154000,,19587000.0,50766000.0,8055000,-10240000,34744000.0,,8431000,21512000,285025000.0,140895000.0,,1386508000.0,45850000.0,706971000.0,-6773000,115488000.0,115488000.0,,7333000,,275498000.0,125728000,35312000.0,,,,,,,,
2007-09-30,32527000,1578888000,25196000,207913000,16037000,97524000,-30652000,,589344000.0,1626000,0.46,526497000.0,702430000.0,309103000.0,,,0.0,9372000.0,-34275000.0,,843584000.0,1370975000,356509000.0,0.0,224840000.0,,,182717000,9546000.0,,0.0,16081000,16037000,-14000.0,36598000.0,62847000.0,96426000.0,-30700000,0.46,,12597000,521000,-1907000.0,343468000.0,4271000,,19846000.0,53301000.0,135000,-17964000,34843000.0,,7660000,23741000,309103000.0,138533000.0,,1432928000.0,45040000.0,730498000.0,-30565000,97524000.0,97524000.0,,7331000,,291538000.0,115488000,35230000.0,,,,,,,,
2007-12-31,33626000,1631607000,26087000,214699000,15059000,87711000,-21352000,,591346000.0,1043000,,519340000.0,707348000.0,318264000.0,,689074000.0,0.0,5064000.0,-20709000.0,,860694000.0,1416908000,356509000.0,953000.0,256306000.0,147063000.0,,188612000,9529000.0,,3530000.0,15092000,15059000,-16000.0,22463000.0,72006000.0,96697000.0,-22427000,,,448000,528000,-1150000.0,329686000.0,194000,,25681000.0,58947000.0,8029000,-9813000,,,9948000,25040000,318264000.0,0.0,,1452040000.0,44238000.0,744692000.0,-14398000,87711000.0,87711000.0,,7539000,,275580000.0,97524000,,355000.0,,,,,,,
2008-03-31,24882000,1671895000,16223000,210149000,4095000,95087000,-10108000,,607085000.0,1973000,0.12,534981000.0,731837000.0,318387000.0,,,,-572000.0,-305000.0,,868094000.0,1461746000,356509000.0,0.0,253100000.0,,,193926000,9030000.0,,4057000.0,4292000,4095000,-555000.0,34833000.0,72104000.0,99357000.0,-10108000,0.12,,3634000,592000,-1412000.0,348817000.0,1465000,,25569000.0,59017000.0,14047000,7376000,34937000.0,,2801000,7093000,318387000.0,139452000.0,,1475179000.0,42877000.0,743342000.0,3939000,95087000.0,95087000.0,,8659000,,296172000.0,87711000,35434000.0,,,,,,,,
2014-06-30,80003000,3642440000,45645000,447873000,12411000,5310000,-21598000,-47345000.0,2805679000.0,2114000,,1170428000.0,1727321000.0,895424000.0,,-153956000.0,,-2142000.0,13982000.0,170000.0,434108000.0,3194567000,663868000.0,0.0,834769000.0,208700000.0,2940000.0,402228000,1418110000.0,,79377000.0,12411000,12411000,-25549000.0,0.0,1635251000.0,7500000.0,-23615000,,,-45468000,20604000,201000.0,848995000.0,-8000,-325515000.0,37408000.0,103847000.0,60429000,-6637000,,-17000.0,12831000,25242000,569909000.0,124424000.0,7345000.0,3239787000.0,241281000.0,1512466000.0,36814000,5310000.0,5310000.0,,34157000,-5691000.0,826790000.0,11947000,,1791000.0,,,,,,,
2014-09-30,62700000,3697600000,32700000,449400000,6600000,7600000,-20300000,24100000.0,,2500000,0.08,,,,,,,-2300000.0,-121300000.0,200000.0,,3248200000,,-3200000.0,,,-43600000.0,416700000,,,,6600000,6600000,-2600000.0,,,,-17300000,0.08,,105300000,21200000,-200000.0,,3300000,,,,-82700000,2300000,86874101.0,0.0,4700000,11300000,,,-84300000.0,,,,-100000000,,,,30200000,,,5300000,87600174.0,,,,,,,,
2014-12-31,75200000,3792500000,47100000,457300000,12800000,5500000,-21600000,-33700000.0,,2300000,0.15,,,,,,,-4500000.0,-13900000.0,300000.0,,3335200000,,0.0,,,5700000.0,410200000,,,,12800000,12800000,-4400000.0,,,,-21600000,0.15,,-13700000,21800000,-2700000.0,,100000,,,,33200000,-2100000,86874101.0,-400000.0,9800000,22600000,,,-13900000.0,,,,11600000,,,,30800000,,,7600000,87637135.0,,,,,,,,
2015-03-31,57482000,3795500000,27100000,451600000,2900000,6758000,-24420000,61388000.0,2919907000.0,2554000,0.03,1236634000.0,1895908000.0,,,-131706000.0,,4193000.0,35802000.0,350000.0,457368000.0,3343900000,663990000.0,-51000.0,953718000.0,195471000.0,5604000.0,424500000,1458916000.0,,87966000.0,2900000,2900000,-2595000.0,0.0,1683273000.0,7500000.0,-24830000,0.03,,-52223000,21600000,-300000.0,881392000.0,-153000,,40662000.0,101342000.0,77891000,1248000,86874101.0,48000.0,2300000,5200000,577017000.0,152116000.0,-26901000.0,3377275000.0,199698000.0,1481367000.0,53061000,6758000.0,6758000.0,,30682000,-5531000.0,878578000.0,5500000,87706396.0,1791000.0,,,,,,,
