date,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOperatingIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockBasedCompensation
2000-09-30,49400000,-14100000,8000000,7000000,0,137200000,78100000,-909000000,0.51,,1071600000,20200000.0,66700000.0,,-21300000,-74600000,107500000,,19100000,53200000,598300000,11200000,548000000,700000.0,,1702900000,67400000.0,2404900000,-88700000,145700000,,33000000.0,21600000,-148900000.0,117800000,167000000,145700000,800000.0,394700000,,75800000,54200000,145700000,-18100000,34100000,,161700000,2291300000,,0.51,1507300000,,702000000,,715200000,-109400000,,,-33800000.0,-7900000.0,,113600000,,,-2400000,,233000000,-100000.0,258400000.0,74700000,34100000,34100000,,1576100000,218400000,1297500000,
2000-12-31,421900000,-23400000,7900000,-191500000,0,144200000,110000000,-935400000,,,1175200000,20200000.0,,,46200000,-46500000,111500000,,17900000,-164700000,601700000,12400000,547900000,0.0,,1811000000,,2584900000,-69900000,191900000,,34100000.0,21900000,-151500000.0,123100000,145700000,191900000,800000.0,453200000,,56600000,34700000,191900000,-19300000,-182600000,,146200000,2656200000,,,1537100000,,773900000,,1092900000,-116700000,,,-216400000.0,-4300000.0,,-71300000,,,1800000,,307000000,-4400000.0,,77200000,-182600000,-182600000,,1563300000,240600000,1543100000,
2001-03-31,518600000,-11300000,9000000,14100000,0,162700000,143700000,-942700000,0.22,,766200000,19600000.0,65300000.0,,-76100000,-148600000,122800000,,11900000,26800000,603400000,10200000,459600000,,,1837000000,65300000.0,2509100000,-159900000,115800000,,66000000.0,21900000,-169500000.0,93800000,191900000,115800000,800000.0,414500000,,60600000,38700000,115800000,-66400000,14600000,,161500000,2583400000,-22000000.0,0.22,1546100000,,672100000,,1072000000,-167300000,,,-201800000.0,,,-74300000,207100000.0,,-2300000,,253000000,-17900000.0,,90700000,14600000,14600000,,1511400000,102300000,1491800000,
2001-06-30,7500000,-15500000,12700000,2000000,0,158800000,58000000,-954000000,0.35,,782000000,20000000.0,65300000.0,,26800000,-14900000,111200000,,19300000,47500000,583600000,10700000,107800000,,,1878000000,65400000.0,2636900000,-30400000,142600000,,71200000.0,20700000,-174600000.0,83500000,115800000,142600000,800000.0,456600000,,80900000,60200000,142600000,-14700000,23000000,,171400000,2693100000,-4100000.0,0.35,1537600000,,758900000,,198800000,-83200000,,,-178800000.0,,,-56200000,352600000.0,,200000,,285200000,4900000.0,75000000.0,79800000,23000000,23000000,,2494300000,72500000,2399300000,
2001-09-30,14000000,-9500000,8300000,500000,0,178000000,-24400000,-985000000,0.3,,814300000,21100000.0,65300000.0,,33200000,87100000,120400000,,16200000,41000000,584600000,11400000,155100000,,,1891200000,65400000.0,2713300000,77600000,175800000,200000.0,73400000.0,21800000,-162500000.0,96900000,142600000,175800000,800000.0,448100000,2400000.0,65800000,44000000,175800000,-32800000,19800000,,164400000,2737500000,,0.3,1569600000,,822100000,,266000000,25900000,,,-159000000.0,,,-24200000,346700000.0,,1500000,,283700000,-17600000.0,50100000.0,87200000,19800000,19800000,,2471500000,71900000,2400300000,
2001-12-31,7800000,-26600000,7100000,-100000,-600000,174800000,-54100000,-995300000,,,821200000,20800000.0,,,5500000,82800000,114800000,,16300000,24100000,589000000,11800000,142300000,,,1968900000,,2717000000,56200000,181300000,0.0,55800000.0,24600000,-300700000.0,99000000,175800000,181300000,800000.0,429100000,,67900000,43300000,181300000,-19400000,21200000,,158100000,2858700000,,,1584300000,,748100000,,249100000,19500000,,,-137800000.0,,,-141700000,302100000.0,,-900000,,271000000,-600000.0,,78400000,21200000,21200000,,2609600000,67400000,2588800000,
2002-03-31,6800000,-13200000,4800000,1900000,0,180200000,-2500000,-1002700000,0.19,,827900000,21200000.0,65400000.0,,-35000000,12100000,126500000,,10100000,26900000,596500000,11900000,135400000,,,1975500000,65400000.0,2702200000,-1100000,146300000,,,22800000,-308300000.0,84300000,181300000,146300000,800000.0,419800000,,54500000,31700000,146300000,-44000000,12400000,,158200000,2839000000,12500000.0,0.19,1599200000,,726700000,,226500000,-53600000,,,-125400000.0,,,-136800000,,57400000.0,-6400000,,261600000,-6500000.0,,91800000,12400000,12400000,,2612500000,61700000,2591300000,
2002-06-30,7300000,-43800000,5600000,-3700000,0,187000000,-1000000,-1048200000,0.32,,823100000,23500000.0,65400000.0,,52800000,58900000,125000000,,19100000,48700000,612200000,12300000,154800000,,,1999300000,65600000.0,2797400000,15100000,199100000,,61600000.0,23300000,-268200000.0,90000000,146300000,199100000,800000.0,476300000,,77600000,54300000,199100000,-15900000,21200000,,179300000,2873000000,-32300000.0,0.32,1660400000,,798100000,,252100000,36500000,,,-104200000.0,,,-75600000,336500000.0,,2800000,,297000000,,,89400000,21200000,21200000,,2620900000,60500000,2597400000,
2002-09-30,6900000,1600000,4800000,-1100000,0,176700000,-1400000,-1060300000,0.21,,815700000,24400000.0,65500000.0,,52500000,74400000,143200000,,15100000,37700000,603800000,12400000,170900000,,,1987800000,65500000.0,2831100000,76000000,251600000,,61100000.0,24500000,-277800000.0,94600000,199100000,251600000,800000.0,478700000,,59500000,35000000,251600000,-17400000,14000000,,178200000,2902300000,,0.21,1664100000,,843300000,,272400000,-6800000,,,-90200000.0,,,-71200000,332000000.0,,1200000,,300500000,,,106300000,14000000,14000000,,2629900000,74700000,2605500000,
2002-12-31,3400000,-35700000,4800000,-4000000,0,172400000,-4300000,-1069900000,,,604600000,30500000.0,,,21300000,50000000,184700000,,-6300000,-21200000,620800000,15100000,141700000,,,1857300000,,2687700000,14300000,283000000,0.0,65200000.0,24000000,-403200000.0,98200000,251600000,283000000,800000.0,453400000,,2900000,-21100000,283000000,-33400000,-25500000,,163600000,2909800000,,,1690700000,,830400000,,243300000,12700000,,,-115700000.0,,,-222100000,311300000.0,,5400000,,289800000,,,145600000,-25500000,-25500000,,2666500000,35400000,2636000000,
2003-03-31,3400000,-18000000,4200000,-18200000,0,191700000,-3200000,-1101200000,-0.04,,619000000,31200000.0,65500000.0,,-8000000,9400000,130600000,,3100000,3700000,620600000,14100000,123900000,,,1879100000,65500000.0,2711700000,-8600000,275000000,,65900000.0,24700000,-393800000.0,118600000,283000000,275000000,800000.0,450600000,,48100000,23400000,275000000,-18600000,-2300000,,154000000,2926600000,-2900000.0,-0.04,1721800000,,832600000,,245900000,-18200000,,,-118000000.0,,,-214900000,313200000.0,,-1300000,,296600000,,,91800000,-2300000,-2300000,,2680700000,25200000,2649500000,
2003-06-30,37400000,-29300000,4100000,-4700000,-1400000,208000000,33500000,-1147900000,0.1,,617300000,35900000.0,65600000.0,,42300000,26600000,147900000,,10200000,16700000,637400000,14200000,139700000,,,1902000000,65700000.0,2830700000,-2700000,317900000,,69400000.0,25300000,-353900000.0,117000000,275000000,317900000,800000.0,505500000,,53200000,27900000,317900000,-31600000,6500000,,175800000,2999200000,6800000.0,0.1,1785300000,,928700000,,294100000,-32100000,,,-111500000.0,,,-168500000,349200000.0,,-2400000,,329700000,,,108400000,6500000,6500000,,2705100000,27700000,2669200000,
2003-09-30,10900000,-18400000,4100000,900000,1400000,208900000,-29700000,-1170300000,-0.15,,615400000,34400000.0,65600000.0,,-18000000,27900000,191200000,,700000,-9200000,635100000,11900000,144000000,,,1887200000,65600000.0,2821700000,9500000,299900000,,69600000.0,26100000,-349700000.0,109000000,317900000,299900000,800000.0,524100000,,22500000,-3600000,299900000,-16800000,-9900000,,187600000,2995800000,-38300000.0,-0.15,1805400000,,934500000,,263900000,-5200000,,,-121400000.0,,,-174100000,361700000.0,,2300000,,336500000,,,153200000,-9900000,-9900000,,2731900000,23600000,2697500000,
2003-12-31,6800000,-20700000,3200000,-222600000,-3100000,214600000,-5300000,-1216900000,,,616400000,35300000.0,,,9300000,46900000,35400000,,-26300000,-75800000,656600000,11800000,162200000,,,1945300000,,2874200000,26200000,309200000,,85200000.0,26800000,-309700000.0,101800000,299900000,309200000,800000.0,500300000,,164800000,138000000,309200000,-42100000,-49500000,,173400000,3057800000,66600000.0,,1873500000,,928900000,,270800000,-49800000,,,-170900000.0,,,-183600000,347500000.0,,-10200000,,326900000,,,-3200000,-49500000,-49500000,,2787000000,27800000,2751700000,
2004-03-31,15900000,-9100000,3900000,-1300000,0,226200000,7100000,-1266200000,0.24,,618300000,35100000.0,65600000.0,,16100000,20700000,154400000,,10900000,31700000,635100000,12700000,150900000,,,1929400000,65800000.0,2891500000,11600000,325300000,100000.0,84200000.0,27200000,-314700000.0,110100000,309200000,325300000,800000.0,518500000,,59600000,32400000,325300000,-8300000,15800000,,186800000,3064100000,-6400000.0,0.24,1901300000,,962100000,,276900000,-33200000,,,-155100000.0,,,-172600000,339100000.0,,700000,,331700000,,,114500000,15800000,15800000,,2787200000,27400000,2752100000,
2004-06-30,13000000,-13400000,3900000,-7600000,-2500000,224300000,-4300000,-1242200000,0.32,,609000000,34300000.0,65600000.0,,46400000,65100000,166400000,,13000000,39900000,621700000,13000000,170700000,,,1929200000,65800000.0,2978100000,51700000,371700000,,84800000.0,26300000,-332700000.0,114800000,325300000,371700000,800000.0,572400000,,74700000,48400000,371700000,-13800000,21300000,,214800000,3147200000,5200000.0,0.32,1863900000,,1048900000,,298500000,-8400000,,,-133800000.0,,,-169100000,400800000.0,,-1600000,,357600000,,,127100000,21300000,21300000,,2848700000,22600000,2814400000,
2004-09-30,16400000,-17500000,4500000,46200000,2700000,237800000,-800000,-1276500000,0.73,,645600000,34100000.0,65800000.0,,13400000,81600000,181000000,,28000000,83600000,623900000,13100000,222100000,600000.0,,1946400000,66300000.0,3086500000,64100000,385100000,,87500000.0,26900000,-329800000.0,127700000,371700000,385100000,800000.0,579900000,,64500000,37600000,385100000,-70500000,48000000,,218600000,3204200000,-28100000.0,0.72,1900400000,,1140100000,,366200000,-15800000,,,-85800000.0,,,-117700000,391700000.0,,-400000,,361300000,,1300000.0,141000000,48000000,48000000,,2838000000,111400000,2802600000,
2004-12-31,12400000,-22900000,98800000,-445500000,-4000000,248300000,-2700000,-1325900000,,,886000000,64100000.0,,,125300000,145600000,204700000,,-53400000,-550300000,645300000,12300000,229200000,3400000.0,,2310400000,,3538900000,122700000,510400000,,111700000.0,28400000,-350000000.0,146000000,385100000,510400000,800000.0,589100000,,31900000,3500000,510400000,-33000000,-487400000,,208200000,4160700000,3000000.0,,1971200000,,1228500000,,387600000,84700000,,,-573200000.0,,,-621800000,390900000.0,,3100000,,380900000,,1100000.0,164000000,-487400000,-487400000,,3773100000,62600000,3707900000,
2005-03-31,10100000,-12400000,14600000,-17500000,0,258300000,-100000,-1326900000,0.05,,863000000,60600000.0,66600000.0,,-35600000,-31700000,163200000,,8600000,21200000,620500000,15100000,173500000,3000000.0,,2256800000,67300000.0,3463600000,-44100000,474800000,100000.0,108700000.0,28800000,-363000000.0,147000000,510400000,474800000,800000.0,603200000,,76100000,47300000,474800000,2300000,3100000,,210500000,4092300000,-20700000.0,0.05,1947400000,,1206800000,,330600000,-75200000,,,-570100000.0,,,-628700000,400100000.0,,16800000,,392700000,,1100000.0,119300000,3100000,3100000,,3761700000,56700000,3700000000,
2005-06-30,11000000,-18900000,13300000,19300000,0,266400000,200000,-1327600000,0.49,,862300000,58300000.0,66900000.0,,-70800000,-48700000,182600000,,20000000,64800000,599700000,15100000,200200000,0.0,,2241000000,67200000.0,3423300000,-67600000,404000000,,104000000.0,28600000,-372400000.0,160200000,474800000,404000000,800000.0,676500000,,82800000,54200000,404000000,-16700000,32700000,,236800000,4028600000,-167300000.0,0.49,1927300000,,1182300000,,371400000,200000,,,-537400000.0,,,-605300000,435400000.0,,400000,,439700000,,500000.0,138900000,32700000,32700000,,3657200000,54800000,3598400000,
2005-09-30,2700000,-18900000,13400000,-4900000,-1500000,261100000,-8700000,-1353200000,0.48,,861100000,57600000.0,66900000.0,,59500000,86200000,172200000,,-2600000,46200000,588800000,14900000,236600000,100000.0,,2221600000,67200000.0,3465100000,67300000,463500000,,104300000.0,28700000,-373300000.0,156500000,404000000,463500000,800000.0,653400000,,83900000,55200000,463500000,-16900000,32100000,,227400000,4039200000,,0.48,1942000000,,1243500000,,395800000,31300000,,,-505300000.0,,,-574100000,426000000.0,,-2000000,,426000000,,500000.0,128600000,32100000,32100000,,3643400000,63100000,3585300000,
2005-12-31,2300000,-30700000,14000000,-3000000,900000,278300000,-1500000,-1364300000,,,866100000,54300000.0,,,11200000,48400000,190600000,,-4700000,8400000,589700000,14100000,208000000,0.0,,2263600000,,3517200000,17700000,474700000,,103900000.0,27900000,-393900000.0,166800000,463500000,474700000,800000.0,636400000,,42300000,14400000,474700000,-33500000,-600000,,205000000,4076100000,,,1954000000,,1253600000,,377100000,-2600000,,,-505900000.0,,,-595300000,401700000.0,,100000,,431400000,,400000.0,148600000,-600000,-600000,,3699000000,71600000,3644300000,
2006-03-31,2200000,-21000000,15800000,-10300000,0,301200000,1300000,-1448500000,0.0,,821300000,55600000.0,67000000.0,,-59300000,-40200000,186600000,,4500000,20100000,631400000,15500000,183400000,2000000.0,,2272400000,67300000.0,3506000000,-61200000,415400000,100000.0,,28100000,-393500000.0,167400000,474700000,415400000,800000.0,658600000,-200000.0,62100000,34000000,415400000,-21100000,100000,,220600000,4054500000,-37800000.0,0.0,2079900000,,1233600000,,353000000,-49800000,,,-505800000.0,,,-592900000,432400000.0,104500000.0,0,,438000000,,400000.0,143000000,100000,100000,,3701500000,57900000,3645500000,
2006-06-30,3200000,-30900000,19900000,-1000000,0,309300000,14000000,-1476800000,-0.08,,734100000,59900000.0,67900000.0,,27800000,51300000,231800000,,3300000,21100000,640200000,15100000,46300000,13800000.0,,2305900000,67900000.0,3611700000,20400000,443200000,7100000.0,101600000.0,28400000,-379600000.0,164800000,415400000,443200000,800000.0,729100000,100000.0,55500000,27100000,443200000,-43700000,-5200000,,258900000,4126400000,76100000.0,-0.08,2117000000,,1305800000,,376400000,-43600000,,,-511000000.0,,,-570400000,472400000.0,103600000.0,-20000000,161200000.0,470200000,,400000.0,188300000,-5200000,-5200000,,3750000000,54300000,3689700000,
2006-09-30,3200000,-30600000,18800000,-9300000,-1800000,287400000,-900000,-1420200000,0.27,,739100000,63200000.0,68300000.0,,10500000,38300000,209200000,,-2400000,35900000,650800000,15500000,42000000,0.0,,2327500000,68500000.0,3640700000,7700000,453700000,300000.0,86400000.0,29200000,-371700000.0,179800000,443200000,453700000,800000.0,741400000,,77600000,48400000,453700000,-30200000,18400000,,257600000,4121200000,85600000.0,0.27,2071000000,,1313200000,,411200000,45200000,,,-492600000.0,,,-544100000,486500000.0,114000000.0,0,185300000.0,483800000,,400000.0,164500000,18400000,18400000,,3710000000,56300000,3646400000,
2006-12-31,3300000,-36700000,18700000,48000000,-600000,284600000,7500000,-1510500000,,,674200000,58900000.0,,,82600000,103300000,262200000,,2700000,-16300000,664500000,17700000,55700000,8300000.0,,2268600000,,3637400000,66600000,536300000,2100000.0,84900000.0,27800000,-390800000.0,172700000,453700000,536300000,800000.0,697400000,,10000000,-17800000,536300000,-34400000,5000000,,244400000,4122200000,-11000000.0,,2175000000,,1368800000,,448600000,71400000,,,-487600000.0,,,-549800000,426300000.0,116500000.0,300000,210200000.0,453000000,,200000.0,216700000,5000000,5000000,,3673600000,83800000,3614500000,
2007-03-31,2100000,-24100000,19400000,-14200000,-700000,306800000,12400000,-1538600000,0.07,,689000000,61300000.0,69400000.0,,-57000000,-49000000,185600000,,14900000,22100000,665800000,17800000,42600000,14200000.0,,2279300000,70500000.0,3627700000,-73100000,479300000,700000.0,83200000.0,27600000,-384400000.0,203200000,536300000,479300000,800000.0,715600000,,78900000,51300000,479300000,-23200000,4800000,,236900000,4094300000,-26400000.0,0.07,2204400000,,1348400000,,436800000,-7100000,,,-480600000.0,,,-522200000,446700000.0,117100000.0,200000,181700000.0,478700000,,200000.0,140200000,4800000,4800000,,3657500000,82900000,3596000000,
2007-06-30,12800000,-28200000,20300000,-20600000,700000,287000000,15300000,-1565300000,0.29,,711600000,54000000.0,70100000.0,,15000000,54200000,208800000,,9300000,33900000,671100000,17700000,63300000,5200000.0,,2295000000,71800000.0,3706400000,26000000,494300000,2300000.0,81700000.0,27600000,-337300000.0,200200000,479300000,522400000,800000.0,812800000,,97700000,70100000,494300000,-57200000,20500000,,278900000,4096100000,35300000.0,0.29,2236400000,,1411400000,,489400000,-27100000,,,-460100000.0,,28100000.0,-449400000,493800000.0,117800000.0,0,205900000.0,533900000,,300000.0,163500000,20500000,20500000,,3606700000,71400000,3552400000,
2007-09-30,4100000,-37500000,17400000,-21700000,-2000000,298700000,-8900000,-1565100000,0.24,,721800000,54600000.0,70200000.0,,40700000,60600000,203500000,,7400000,27400000,681200000,19500000,72200000,800000.0,,2323400000,71500000.0,3794400000,23100000,535000000,2500000.0,83200000.0,28300000,-311200000.0,191800000,494300000,563500000,800000.0,783100000,0.0,89500000,61200000,535000000,-20100000,16700000,,264700000,4137500000,-57100000.0,0.23,2246300000,,1471000000,,520300000,-11200000,,,-443400000.0,,28500000.0,-405800000,492900000.0,120800000.0,-1400000,244600000.0,518400000,,300000.0,155700000,16700000,16700000,,3617200000,77100000,3562300000,
