date,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyCurrentLiabilities,quarterlyOperatingExpense,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyCurrentAccruedExpenses,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable
2002-06-30,98161220.0,17688000,3384000.0,159952000,,107219000,701339000.0,,232604000,467000000,796405000,-20251000,-11720000,371623000,-309000.0,36150000,,608584000,,,0.07,1006218000,234396000,304565000,,775000.0,491840000,214916000,1038801000,,,79090000.0,214916000,0.0,,5326000,0.0,3984000.0,,6460000,6460000,384865000,-3531000,128300000,-12495000,68797000,-359820000.0,,126890000,58608000.0,225475000.0,99333199.0,208363000.0,341519000,10173000,148393000.0,3713000,4067000.0,,115805000,244733000,289430000.0,763822000,1802623000,6460000,-24236000.0,,,18462000.0,,0.07,1023000.0,371623000,124887000.0,371623000,,
2002-09-30,98301441.0,84648000,-10512000.0,173786000,,-50500000,703852000.0,,321266000,640839000,834968000,-19530000,-26546000,355475000,0.0,108301000,,660328000,,,0.52,1057987000,319573000,306025000,,1136000.0,528943000,236618000,1125669000,284623000.0,,79448000.0,236618000,0.0,,-1430000,0.0,2942000.0,,51744000,51744000,401521000,-220000,11466000,-27682000,71869000,-359820000.0,,-16148000,83560000.0,226577000.0,99319019.0,290698000.0,344032000,81486000,151155000.0,29742000,1577000.0,,-16216000,371623000,,767286000,1892955000,51744000,-31254000.0,,,23653000.0,,0.53,1027000.0,355475000,120442000.0,355475000,,
2002-12-31,98412022.0,77519000,14005000.0,144946000,,39038000,703359000.0,,307910000,639170000,782759000,70343000,-23469000,441584000,-158000.0,98423000,,703140000,,,0.43,1121068000,331260000,313832000,,845000.0,468927000,230391000,1117199000,295378000.0,,75705000.0,230391000,0.0,,-14150000,0.0,3359000.0,,42812000,42812000,340077000,-6738000,120749000,-19518000,81355000,-359820000.0,,86109000,67298000.0,238127000.0,99311085.0,262559000.0,343539000,67422000,150931000.0,24610000,1562000.0,,101231000,355475000,,786628000,1903827000,42812000,-12389000.0,,,20904000.0,,0.44,1028000.0,441584000,105752000.0,441584000,,
2003-03-31,,123005000,2024000.0,181392000,,-107231000,762799000.0,,345821000,692331000,830055000,-24197000,-104534000,343606000,-4215000.0,138631000,,776359000,,,,1208767000,346510000,329708000,,-5856000.0,500347000,222816000,1166007000,,,81214000.0,222816000,0.0,,-6410000,0.0,3217000.0,,73219000,73219000,363771000,-4482000,8459000,-38969000,136474000,-407803000.0,,-97978000,55501000.0,248494000.0,,375823000.0,354996000,115306000,162511000.0,42087000,512000.0,,-30510000,441584000,326959000.0,872815000,2038822000,73219000,4608000.0,,,15626000.0,,,1028000.0,343606000,100943000.0,343606000,,
2003-06-30,98377228.0,5526000,-4817000.0,188222000,,-6853000,760036000.0,,248752000,477731000,754517000,-65659000,-23416000,287473000,-241000.0,26968000,,776468000,,,0.05,1218907000,228979000,330696000,,-5427000.0,423821000,243226000,1072238000,,,65627000.0,243226000,0.0,,-47530000,0.0,3863000.0,,5055000,5055000,430101000,4238000,11803000,-13919000,152957000,-407803000.0,,-56133000,38015000.0,265069000.0,99544131.0,249997000.0,352233000,6846000,147491000.0,1791000,3538000.0,,-2116000,343606000,341610000.0,901186000,1973424000,5055000,-1929000.0,,,21442000.0,,0.05,1035000.0,287473000,50093000.0,287473000,,
2003-09-30,98703840.0,82953000,1249000.0,162869000,,-64676000,765727000.0,,350566000,707777000,764439000,34627000,-25184000,210637000,-568000.0,102012000,,825514000,,,0.54,1271385000,357211000,333993000,,0.0,430446000,267613000,1112508000,,,69968000.0,267613000,0.0,,-47524000,-4927000.0,2890000.0,,54010000,54010000,400736000,3381000,-2351000,-25607000,171180000,-407803000.0,,-76836000,58619000.0,264025000.0,100781395.0,371591000.0,357924000,84138000,208958000.0,30128000,8087000.0,,-27958000,287473000,339826000.0,923316000,2035824000,54010000,-7084000.0,,,19059000.0,,0.55,1040000.0,210637000,,210637000,,
2003-12-31,99072270.0,76388000,-2674000.0,167322000,,103172000,780524000.0,,333002000,645365000,840133000,-15983000,-37638000,337703000,-238000.0,94991000,-4950000.0,855890000,,,0.35,1291025000,312363000,361129000,,-7500000.0,479004000,256614000,1171294000,,,76383000.0,256614000,0.0,,1872000,0.0,2969000.0,,35358000,35358000,422248000,-18666000,172391000,-30124000,174964000,-407803000.0,,127066000,54846000.0,284746000.0,101291472.0,292248000.0,372721000,55212000,256836000.0,19854000,7060000.0,,142267000,210637000,353596000.0,959864000,2131158000,35358000,-25023000.0,,,18603000.0,,0.36,1044000.0,337703000,,337703000,,
2004-03-31,,128495000,2009000.0,187355000,,-81635000,877257000.0,,390999000,818781000,848168000,64242000,-46464000,343477000,0.0,152580000,-4970000.0,927390000,,,,1422073000,427782000,347038000,,879000.0,501130000,262504000,1271319000,,,69693000.0,262504000,0.0,,16759000,0.0,279000.0,,76531000,76531000,363691000,-6306000,28763000,-53376000,180772000,-479929000.0,,5774000,77736000.0,277345000.0,,441724000.0,397328000,115736000,234218000.0,43282000,21729000.0,,-24613000,337703000,359243000.0,998922000,2270241000,76531000,9148000.0,,,24085000.0,,,1053000.0,343477000,,343477000,,
2004-06-30,100481000.0,21336000,-953000.0,129332000,,64105000,900080000.0,,307100000,592750000,771597000,-26375000,-275216000,174908000,-369000.0,43787000,-5023000.0,934412000,,,0.13,1444754000,285650000,355811000,,0.0,415786000,285764000,954734000,,,76828000.0,285764000,0.0,,7795000,0.0,1630000.0,,13403000,13403000,418049000,546000,98169000,-35938000,182679000,-479929000.0,,-168569000,40131000.0,278983000.0,102802000.0,262330000.0,420151000,18764000,246323000.0,6849000,13187000.0,,62231000,343477000,597292000.0,1261617000,2216351000,13403000,-10663000.0,,,22451000.0,,0.13,1065000.0,174908000,,174908000,,
2004-09-30,101192000.0,124569000,2085000.0,160747000,,-98181000,923489000.0,,437755000,883680000,859206000,-26987000,-53296000,145982000,-682000.0,148592000,-5097000.0,1009740000,,,0.78,1540365000,445925000,371195000,,0.0,488011000,313186000,1112082000,,,90247000.0,313186000,0.0,,7052000,0.0,2612000.0,,80407000,80407000,444176000,2177000,17218000,-48454000,184688000,-479929000.0,,-28926000,80204000.0,280948000.0,103571000.0,428423000.0,443560000,124701000,247060000.0,44294000,12831000.0,,-31236000,174908000,598244000.0,1287489000,2399571000,80407000,-10294000.0,,,24023000.0,,0.79,1073000.0,145982000,,145982000,,
