date,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedEPS,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyOtherIntangibleAssets,quarterlyStockBasedCompensation,quarterlySellingGeneralAndAdministration,quarterlyResearchAndDevelopment
1992-03-31,,,,,,,,,,183521127.0,130300000.0,,,,,,,,,,,,,,130300000,,130300000.0,,,0.71,,,,,,,,183521127.0,,,,,,,,,,,,1297200000,,1297200000,,,,,,,,0.71,,,,,,,,,,,1297200000,,,,,,
1992-06-30,,,,,,,,,,185750000.0,74300000.0,,,,,,,,,,,,,,74300000,,74300000.0,,,0.4,,,,,,,,185750000.0,,,,,,,,,,,,1173500000,,1173500000,,,,,,,,0.4,,,,,,,,,,,1173500000,,,,,,
1992-09-30,,,,,,,,,,185862069.0,107800000.0,,,,,,,,,,,,,,107800000,,107800000.0,,,0.58,,,,,,,,185862069.0,,,,,,,,,,,,1282000000,,1282000000,,,,,,,,0.58,,,,,,,,,,,1282000000,,,,,,
1992-12-31,,,,,,,,,,,155900000.0,,,,,,,,,,,,,,155900000,,155900000.0,,,,,,,,,,,,,,,,,,,,,,,1291900000,,1291900000,,,,,,,,,,,,,,,,,,,1291900000,,,,,,
1993-03-31,,,,,,,,,,184861111.0,133100000.0,,,,,,,,,,,,,,133100000,,133100000.0,,,0.72,,,,,,,,184861111.0,,,,,,,,,,,,1321500000,,1321500000,,,,,,,,0.72,,,,,,,,,,,1321500000,,,,,,
1993-06-30,,,,,,,,,,183404255.0,86200000.0,,,,,,,,,,,,,,86200000,,86200000.0,,,0.47,,,,,,,,183404255.0,,,,,,,,,,,,1210400000,,1210400000,,,,,,,,0.47,,,,,,,,,,,1210400000,,,,,,
1993-09-30,,,,,,,,,,168333333.0,-10100000.0,,,,,,,,,,,,,,-10100000,,-10100000.0,,,-0.06,,,,,,,,168333333.0,,,,,,,,,,,,1406300000,,1406300000,,,,,,,,-0.06,,,,,,,,,,,1406300000,,,,,,
1993-12-31,,,,,,,,,,,144700000.0,,,,,,,,,,,,,,144700000,,144700000.0,,,,,,,,,,,,,,,,,,,,,,,1330600000,,1330600000,,,,,,,,,,,,,,,,,,,1330600000,,,,,,
1994-03-31,,239800000.0,,1012100000.0,501600000.0,14187500000.0,1273700000.0,,4858800000.0,184337349.0,153000000.0,15461200000.0,,,8491800000.0,111800000.0,,0.0,74900000.0,,420800000.0,986600000.0,7200000.0,100000.0,153000000,10498500000.0,153000000.0,2944600000.0,,0.83,101000000.0,656700000.0,-110700000.0,-74200000.0,506300000.0,4962700000.0,42600000.0,184337349.0,,0.0,74900000.0,,139400000.0,,2026700000.0,,74900000.0,295300000.0,-110900000.0,329900000,34600000.0,1488200000,,222100000.0,600000.0,91800000.0,18424700000.0,350700000.0,-244200000.0,0.83,-6560200000.0,295300000.0,32300000.0,,1529500000.0,,1311400000.0,225400000.0,11864500000.0,-35800000.0,464200000,72400000.0,115600000.0,,,,
1994-06-30,,-102900000.0,,784200000.0,430800000.0,14228600000.0,1285200000.0,,4849200000.0,185357143.0,103800000.0,15513800000.0,,,8497400000.0,109300000.0,,-100000.0,32300000.0,,492800000.0,917800000.0,-6300000.0,-100000.0,103800000,10504300000.0,103800000.0,2932700000.0,,0.56,-72000000.0,641400000.0,-110700000.0,-180700000.0,475100000.0,5009500000.0,74900000.0,185357143.0,,0.0,32300000.0,,132200000.0,,2081700000.0,,32300000.0,506200000.0,-181600000.0,276400000,54200000.0,1348600000,,245400000.0,-4000000.0,-187300000.0,18591000000.0,78700000.0,59500000.0,0.56,-6648100000.0,100000.0,-42500000.0,,1535900000.0,,1304000000.0,161000000.0,11942900000.0,0.0,480800000,57200000.0,172300000.0,,,,
1994-09-30,,240200000.0,,817300000.0,427100000.0,14202700000.0,1199400000.0,,4722100000.0,183947368.0,139800000.0,15402100000.0,,,8373100000.0,111100000.0,,200000.0,46400000.0,,497300000.0,958200000.0,4000000.0,0.0,139800000,10352700000.0,139800000.0,2916600000.0,,0.76,-4500000.0,643500000.0,-110800000.0,-149400000.0,424500000.0,5049400000.0,32300000.0,183947368.0,,0.0,46400000.0,,96900000.0,,2084000000.0,,46400000.0,512600000.0,-150700000.0,314700000,10700000.0,1385300000,,184700000.0,-9900000.0,-18000000.0,18747000000.0,390900000.0,-227400000.0,0.76,-6757100000.0,-100000.0,14100000.0,,1514500000.0,,1333200000.0,207600000.0,11989900000.0,0.0,493600000,67800000.0,285000000.0,,,,
1994-12-31,,-42900000.0,,972800000.0,385700000.0,14431300000.0,1281400000.0,,4686600000.0,,103500000.0,15712700000.0,,,8368700000.0,111500000.0,,-300000.0,62900000.0,,523400000.0,897000000.0,6600000.0,398300000.0,103500000,10659600000.0,103500000.0,2929500000.0,,,-26100000.0,668600000.0,-110900000.0,-189400000.0,432900000.0,5053100000.0,46400000.0,,,0.0,62900000.0,,94700000.0,,2086000000.0,,62900000.0,610700000.0,-200300000.0,228400000,11600000.0,1282700000,,251200000.0,1100000.0,110700000.0,18909600000.0,157400000.0,48300000.0,,-6826500000.0,610700000.0,16400000.0,,1834700000.0,,1325600000.0,123300000.0,12083100000.0,-100000.0,272000000,19800000.0,-64900000.0,,,,
1995-03-31,,202700000.0,,904100000.0,412000000.0,14416800000.0,1349400000.0,,4579200000.0,184875000.0,147900000.0,15766200000.0,,,8383900000.0,114400000.0,,-100000.0,87500000.0,,537700000.0,1004200000.0,4800000.0,364000000.0,147900000,10665100000.0,147900000.0,2909700000.0,,0.8,-14200000.0,668400000.0,-111100000.0,-129300000.0,436900000.0,5101100000.0,62900000.0,184875000.0,,0.0,87500000.0,,147400000.0,,2088300000.0,,87500000.0,731000000.0,-132100000.0,335800000,11300000.0,1416200000,,196100000.0,-5400000.0,14400000.0,18977400000.0,334800000.0,-180900000.0,0.8,-6876000000.0,731000000.0,24600000.0,,1831200000.0,,1362200000.0,226300000.0,12101400000.0,,497500000,78400000.0,183800000.0,,,,
1995-06-30,,-150100000.0,,682800000.0,357100000.0,14514100000.0,1446600000.0,,4731500000.0,185576923.0,96500000.0,15960700000.0,,,8712300000.0,114800000.0,,100000.0,129200000.0,,562800000.0,948200000.0,100000.0,269200000.0,96500000,10872100000.0,96500000.0,3088500000.0,,0.52,-25100000.0,684400000.0,-111400000.0,-141100000.0,452700000.0,5088600000.0,87500000.0,185576923.0,,0.0,129200000.0,,146600000.0,,2090600000.0,,129200000.0,868200000.0,-148900000.0,263800000,12100000.0,1305300000,,164700000.0,7900000.0,-297500000.0,19071400000.0,-1200000.0,184000000.0,0.52,-6955700000.0,868200000.0,41700000.0,,1715700000.0,,1347300000.0,149200000.0,12115700000.0,,496100000,52700000.0,198000000.0,,,,
1995-09-30,,326200000.0,,827300000.0,456500000.0,14360200000.0,1339500000.0,,4845900000.0,185783133.0,154200000.0,15699700000.0,,,8669600000.0,114100000.0,,0.0,93700000.0,,490000000.0,1066900000.0,5700000.0,211300000.0,154200000,10638600000.0,154200000.0,3078000000.0,,0.83,72800000.0,723500000.0,-111600000.0,-145800000.0,498100000.0,5061100000.0,129200000.0,185783133.0,,-100000.0,93700000.0,,118600000.0,,2017900000.0,,93700000.0,503400000.0,-146700000.0,343400000,11900000.0,1523400000,,200300000.0,200000.0,101500000.0,19211400000.0,472900000.0,-362600000.0,0.83,-7055200000.0,503400000.0,-35400000.0,,1531000000.0,,1390000000.0,235100000.0,12156200000.0,,542000000,80900000.0,223000000.0,,,,
1995-12-31,,71800000.0,,805500000.0,400000000.0,14500400000.0,1401900000.0,,4920300000.0,,131400000.0,15902300000.0,,,8844100000.0,111500000.0,,0.0,80000000.0,,523000000.0,1025400000.0,9600000.0,310400000.0,131400000,10899200000.0,131400000.0,3086700000.0,,,-33000000.0,730300000.0,-111700000.0,-169200000.0,492300000.0,5003100000.0,93700000.0,,,100000.0,80000000.0,,98700000.0,,1934900000.0,,80000000.0,599400000.0,-178300000.0,295100000,13400000.0,1425400000,,220100000.0,9200000.0,76400000.0,19321700000.0,250100000.0,-94600000.0,,-7111100000.0,100000.0,-13800000.0,,1625100000.0,,1409600000.0,193300000.0,12210600000.0,,334000000,61900000.0,41000000.0,,,,
1996-03-31,,322700000.0,,905400000.0,441000000.0,14442000000.0,1543800000.0,,4811800000.0,187500000.0,180000000.0,15985800000.0,,,8782200000.0,111000000.0,,0.0,189400000.0,,494100000.0,1076800000.0,-1100000.0,299100000.0,180000000,10929600000.0,180000000.0,3065000000.0,,0.96,28800000.0,685800000.0,-112000000.0,-87700000.0,546000000.0,5056200000.0,80000000.0,187500000.0,,0.0,189400000.0,,150800000.0,,1907100000.0,,189400000.0,632300000.0,-90500000.0,391000000,14600000.0,1517800000,,185500000.0,-8500000.0,64500000.0,19427000000.0,413200000.0,-216000000.0,0.96,-7232700000.0,632300000.0,109500000.0,,1723200000.0,,1477900000.0,278800000.0,12194300000.0,-7500000.0,553200000,98800000.0,183100000.0,,,,
1996-06-30,,16400000.0,,736200000.0,404900000.0,14364600000.0,1493000000.0,,4766800000.0,187833333.0,112700000.0,15857600000.0,,,8770000000.0,109000000.0,,100000.0,110400000.0,,522300000.0,996000000.0,1000000.0,245800000.0,112700000,10782200000.0,112700000.0,3049900000.0,,0.6,-28200000.0,710100000.0,-112200000.0,-120900000.0,545000000.0,5075400000.0,189400000.0,187833333.0,,-100000.0,110400000.0,,143700000.0,,1910100000.0,,110400000.0,679900000.0,-124700000.0,285900000,18500000.0,1400900000,,177700000.0,-500000.0,-190500000.0,19540000000.0,141100000.0,-99300000.0,0.6,-7338500000.0,100000.0,-79000000.0,,1593900000.0,,1478200000.0,177900000.0,12201500000.0,-30600000.0,511500000,65200000.0,225300000.0,,,,
1996-09-30,,289600000.0,,707900000.0,416500000.0,14289800000.0,1396800000.0,,4813800000.0,186551724.0,162300000.0,15686600000.0,,,8807600000.0,101100000.0,,0.0,112700000.0,,502300000.0,1067900000.0,3700000.0,206700000.0,162300000,10571400000.0,162300000.0,3028300000.0,,0.87,20000000.0,708600000.0,-112500000.0,-138500000.0,525600000.0,5115200000.0,110400000.0,186551724.0,,100000.0,112700000.0,,111100000.0,,1885000000.0,,112700000.0,466000000.0,-140700000.0,359300000,16200000.0,1484400000,,177800000.0,-5100000.0,29000000.0,19658900000.0,430300000.0,-289500000.0,0.87,-7451500000.0,-200000.0,2200000.0,,1351500000.0,,1528000000.0,261900000.0,12207400000.0,-1900000.0,584000000,99600000.0,249900000.0,,,,
1996-12-31,,30700000.0,,793600000.0,424400000.0,14530600000.0,1354900000.0,,4796800000.0,,132400000.0,15885500000.0,,,8839900000.0,101600000.0,,-100000.0,57500000.0,,487200000.0,1021700000.0,-1400000.0,328000000.0,132400000,10740000000.0,132400000.0,3047200000.0,,,15200000.0,707700000.0,-112700000.0,-218300000.0,531300000.0,5145500000.0,112700000.0,,,0.0,57500000.0,,103900000.0,,1882200000.0,,57500000.0,496200000.0,-221800000.0,314000000,16200000.0,1446100000,,206200000.0,-7400000.0,106900000.0,19862900000.0,252500000.0,-89300000.0,,-7549800000.0,496200000.0,-55100000.0,,1496000000.0,,1547700000.0,210900000.0,12313100000.0,-30800000.0,347700000,78500000.0,28800000.0,,,,
1997-03-31,,291300000.0,,916100000.0,434700000.0,14497900000.0,1407800000.0,,4786600000.0,187608696.0,172600000.0,15905700000.0,,,8871300000.0,103900000.0,,-100000.0,86100000.0,,461300000.0,1057400000.0,4500000.0,292700000.0,172600000,11106600000.0,172600000.0,3019900000.0,,0.92,25900000.0,680300000.0,-112900000.0,-124600000.0,577100000.0,4799100000.0,57500000.0,187608696.0,,100000.0,86100000.0,,129400000.0,,1459600000.0,,86100000.0,762100000.0,-125700000.0,377100000,19600000.0,1492100000,,158700000.0,-8200000.0,66700000.0,19984700000.0,417000000.0,-263800000.0,0.92,-7651000000.0,100000.0,28500000.0,,1837000000.0,,1607800000.0,277800000.0,12333700000.0,-382900000.0,530100000,105200000.0,191700000.0,,,,
1997-06-30,,-56200000.0,,742500000.0,391900000.0,14875000000.0,1451800000.0,,5077800000.0,189218750.0,121100000.0,16326800000.0,,,9195300000.0,105900000.0,,100000.0,94200000.0,,499200000.0,990300000.0,5700000.0,233900000.0,121100000,11503300000.0,121100000.0,2991500000.0,,0.64,-37900000.0,698700000.0,-113300000.0,-559100000.0,558700000.0,4823500000.0,86100000.0,189218750.0,,-357300000.0,94200000.0,,132200000.0,,1462700000.0,,94200000.0,999700000.0,-205600000.0,291600000,19400000.0,1382200000,,176100000.0,-9100000.0,-200000000.0,20536600000.0,149400000.0,417700000.0,0.64,-7745800000.0,999700000.0,8100000.0,,1918300000.0,,1615000000.0,191400000.0,12790800000.0,-50300000.0,532600000,70300000.0,243300000.0,,,,
1997-09-30,,234700000.0,,731600000.0,522800000.0,14871300000.0,1379100000.0,,5122400000.0,190000000.0,91200000.0,16250400000.0,,,9283900000.0,106200000.0,,0.0,91800000.0,,476800000.0,1061200000.0,32800000.0,216400000.0,201800000,11429900000.0,91200000.0,2957200000.0,,0.48,22400000.0,694300000.0,-113500000.0,-171800000.0,573700000.0,4820500000.0,94200000.0,190000000.0,,-4600000.0,91800000.0,,87400000.0,,1465500000.0,,91800000.0,822800000.0,-164900000.0,366900000,19000000.0,1584000000,,207700000.0,-18300000.0,11900000.0,20676400000.0,399600000.0,-230200000.0,0.48,-7860200000.0,100000.0,-2400000.0,,1762200000.0,,1592700000.0,293600000.0,12816200000.0,0.0,585100000,91800000.0,210000000.0,,,,
1997-12-31,,-32300000.0,,779900000.0,694000000.0,15097200000.0,1518100000.0,,5129500000.0,,126100000.0,16615300000.0,,,9303800000.0,107600000.0,,100000.0,91500000.0,,488600000.0,1009200000.0,16600000.0,288100000.0,124900000,11763800000.0,126100000.0,2937200000.0,,,-11800000.0,719000000.0,-113800000.0,-266200000.0,667500000.0,4851500000.0,91800000.0,,,-1600000.0,91500000.0,,81300000.0,,1467700000.0,,91500000.0,950700000.0,-264200000.0,290200000,18700000.0,1703200000,,353300000.0,29100000.0,83200000.0,20955200000.0,231900000.0,34000000.0,,-7963600000.0,-200000.0,-300000.0,,2083700000.0,,1605000000.0,199000000.0,12991600000.0,-100000.0,298200000,74100000.0,2400000.0,,,,
1998-03-31,,186000000.0,,852100000.0,1146500000.0,15212800000.0,1585600000.0,,5181600000.0,190632911.0,150600000.0,16798400000.0,,,9465300000.0,106200000.0,,-100000.0,133200000.0,,481800000.0,1024100000.0,800000.0,285700000.0,150600000,11891300000.0,150600000.0,2922500000.0,,0.79,6800000.0,680200000.0,-114000000.0,-160700000.0,714900000.0,4907100000.0,91500000.0,190632911.0,,-7700000.0,133200000.0,,92400000.0,,1470100000.0,,133200000.0,861300000.0,-153000000.0,343900000,18800000.0,2170600000,,342200000.0,8300000.0,69400000.0,21173800000.0,339000000.0,-136600000.0,0.79,-8080400000.0,-100000.0,41700000.0,,2055500000.0,,1641600000.0,238500000.0,13093400000.0,-100000.0,497500000,87900000.0,116400000.0,,,,
1998-06-30,,5900000.0,,1527600000.0,1730800000.0,15171200000.0,2641000000.0,,5133700000.0,190483871.0,118100000.0,17812200000.0,,,9441400000.0,109000000.0,,0.0,175300000.0,,519600000.0,1007100000.0,-100000.0,223900000.0,118100000,12878200000.0,118100000.0,2908300000.0,,0.62,-37800000.0,702300000.0,-114200000.0,-217500000.0,867500000.0,4934000000.0,133200000.0,190483871.0,,7700000.0,175300000.0,,881300000.0,,1473100000.0,,175300000.0,1032500000.0,-225200000.0,304800000,23300000.0,2737900000,,512000000.0,5700000.0,-203200000.0,21307800000.0,231100000.0,28600000.0,0.62,-8179100000.0,100000.0,42200000.0,,3072200000.0,,1645500000.0,195700000.0,13128700000.0,-200000.0,538200000,77600000.0,362800000.0,,,,
