date,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlySellingGeneralAndAdministration,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyNetPPE,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlySaleOfInvestment,quarterlyNonCurrentDeferredRevenue
2015-03-31,31500000,-43900000,2100000,126264631.0,99400000,80900000,,,116100000,-1300000,7500000,27100000,2505900000.0,653100000.0,71300000,446600000,1000000,,42900000.0,0.25,1409500000.0,365400000.0,-1320600000.0,27700000.0,1857000000.0,0.0,39600000.0,1039900000.0,294400000,59400000.0,331600000.0,-4700000,152200000,30800000,31500000,468200000.0,2140500000.0,-5500000,105500000.0,-562200000.0,0.25,41700000.0,153600000.0,-6300000,373600000.0,80900000,-7600000,18200000.0,-13600000,-37400000,94300000,0.0,124233579.0,42000000,0.0,-6500000,11200000,847300000.0,2974100000.0,32000000,56900000,-5200000,2321000000.0,34400000,84100000,1200000.0,24800000.0,23000000,116100000.0,116100000.0,-186600000.0,120900000.0,,,,,
2015-06-30,153700000,-31500000,2600000,,121500000,86900000,,,151300000,-93700000,2300000,-26400000,2511400000.0,737500000.0,94800000,510100000,2500000,,55800000.0,,1473200000.0,399000000.0,-1166900000.0,27700000.0,1864100000.0,0.0,42500000.0,1061500000.0,328400000,62900000.0,372400000.0,10700000,181700000,153500000,153700000,634000000.0,2112400000.0,-5000000,56300000.0,-588000000.0,,39000000.0,144400000.0,-9500000,368700000.0,86900000,-2700000,18900000.0,-12500000,-32300000,77100000,0.0,,62700000,0.0,800000,-90800000,885200000.0,3145400000.0,35200000,44800000,-52100000,2407900000.0,36200000,116100000,1200000.0,23800000.0,22600000,151300000.0,151300000.0,-174000000.0,128200000.0,,,,,
2015-09-30,9100000,-33200000,2500000,126190457.0,72000000,82200000,,,151400000,-1200000,1600000,-3900000,2459200000.0,691200000.0,39300000,423000000,1100000,,43700000.0,0.07,1487900000.0,352900000.0,-1157800000.0,27200000.0,1859900000.0,0.0,41100000.0,1038100000.0,301500000,57800000.0,308200000.0,-20400000,121500000,8900000,9100000,597200000.0,2106300000.0,-4700000,57700000.0,-603600000.0,0.07,38000000.0,162100000.0,-2800000,348100000.0,82200000,-5600000,18100000.0,-10300000,-33200000,44900000,0.0,124753234.0,13800000,0.0,0,4900000,884300000.0,3056400000.0,100000,11700000,59700000,2365200000.0,35500000,151300000,1200000.0,24000000.0,22700000,151400000.0,151400000.0,-216600000.0,127400000.0,,,,,
2015-12-31,30700000,-49300000,2600000,125826680.0,97300000,93000000,,,115500000,1700000,3800000,-47300000,2427800000.0,679500000.0,59100000,454900000,1200000,,38300000.0,0.25,1522200000.0,340200000.0,-1127100000.0,25700000.0,1848300000.0,0.0,41100000.0,1027200000.0,302800000,54300000.0,332000000.0,-16000000,152100000,30600000,30700000,607400000.0,2087600000.0,-4800000,59300000.0,-620200000.0,0.24,40800000.0,170500000.0,3000000,332700000.0,93000000,-5800000,19100000.0,-10600000,-49300000,26600000,0.0,124818241.0,39800000,0.0,0,9200000,902000000.0,3035200000.0,-35900000,-22700000,-30000000,2355700000.0,35200000,151400000,1200000.0,24400000.0,22300000,115500000.0,115500000.0,-239600000.0,128500000.0,,,,,
2016-03-31,9800000,-25300000,3400000,125772759.0,70500000,93200000,,,133900000,2900000,1200000,-1300000,2454800000.0,727500000.0,33000000,438000000,1100000,,38700000.0,0.08,1549500000.0,371500000.0,-1117300000.0,27700000.0,1844900000.0,0.0,39600000.0,1020300000.0,311800000,56500000.0,343700000.0,-7300000,126200000,9800000,9800000,602900000.0,2083300000.0,-4400000,60300000.0,-643200000.0,0.08,45200000.0,179100000.0,2700000,316300000.0,93200000,-2400000,21500000.0,-6200000,-25300000,49900000,0.0,124809898.0,14000000,0.0,0,4200000,906300000.0,3057700000.0,18400000,24600000,-9000000,2330200000.0,34800000,115500000,1200000.0,25900000.0,21700000,133900000.0,133900000.0,-254900000.0,135100000.0,,,,,
2016-06-30,61900000,-29900000,2300000,,134200000,89700000,,,131600000,-18700000,14800000,-49200000,2455200000.0,790200000.0,98100000,532200000,1300000,,38800000.0,,1550700000.0,391200000.0,-1036100000.0,42100000.0,1832800000.0,0.0,38800000.0,996500000.0,344400000,52000000.0,414800000.0,8300000,187800000,61900000,61900000,635900000.0,2064000000.0,-4700000,41400000.0,-644900000.0,,46200000.0,165600000.0,1000000,294000000.0,89700000,-700000,8800000.0,-3700000,-31800000,33900000,0.0,,77300000,0.0,0,15400000,905800000.0,3091100000.0,-2300000,2100000,-74800000,2300900000.0,35100000,133900000,1200000.0,27700000.0,21800000,131600000.0,131600000.0,-305700000.0,143700000.0,,,,,
2016-09-30,4600000,-114600000,6900000,126259721.0,62700000,98200000,,,132100000,-4100000,-1200000,2700000,2513600000.0,768900000.0,25900000,442200000,1100000,7800000.0,27400000.0,0.04,1594700000.0,448600000.0,-1065700000.0,33400000.0,1838000000.0,0.0,39500000.0,1045400000.0,318100000,62100000.0,376300000.0,-16400000,124100000,4600000,4600000,614500000.0,2065000000.0,-9000000,37700000.0,-668200000.0,0.04,50000000.0,188600000.0,1000000,306100000.0,98200000,-100000,21600000.0,65900000,-27700000,48300000,,124819466.0,4800000,0.0,-86900000,200000,926500000.0,3128100000.0,500000,20600000,43900000,2359200000.0,35800000,131600000,1200000.0,99300000.0,22100000,139900000.0,132100000.0,-304300000.0,145700000.0,,,,,
2016-12-31,17400000,-23900000,4900000,126414644.0,85200000,96200000,,,255800000,5000000,-13400000,-17400000,2566300000.0,882600000.0,51700000,483700000,3200000,0.0,24600000.0,0.14,1575100000.0,334800000.0,-1048300000.0,56800000.0,2001300000.0,0.0,40300000.0,1008500000.0,335800000,52500000.0,366300000.0,-1500000,147900000,17400000,17400000,588000000.0,2231500000.0,-205800000,48900000.0,-670100000.0,0.14,46600000.0,180900000.0,2300000,283900000.0,96200000,-6800000,23100000.0,109800000,-26400000,47700000,,124889681.0,26900000,0.0,1200000,9500000,905000000.0,3154300000.0,123700000,21300000,-2500000,2271700000.0,35500000,132100000,1200000.0,23100000.0,22800000,255800000.0,255800000.0,-352700000.0,127600000.0,,,,,
2017-03-31,26000000,-118500000,4600000,126799130.0,93800000,100900000,,,241200000,-100000,2200000,21800000,2642500000.0,928400000.0,66500000,532600000,1300000,27600000.0,27600000.0,0.21,1661000000.0,390100000.0,-1022300000.0,29000000.0,2025300000.0,0.0,42600000.0,1030600000.0,365200000,58900000.0,402600000.0,-2300000,167400000,26000000,26000000,642700000.0,2252400000.0,-5000000,43000000.0,-692100000.0,0.21,59400000.0,205600000.0,-9200000,282600000.0,100900000,-2300000,21700000.0,-7300000,-33700000,103300000,,124951928.0,34700000,0.0,-84200000,8700000,968900000.0,3285200000.0,-14600000,69600000,-15100000,2356800000.0,36500000,255800000,1200000.0,23700000.0,22600000,268800000.0,241200000.0,-326300000.0,137600000.0,,,,,
2017-06-30,61800000,-52000000,4500000,,130500000,107300000,,,288300000,-2100000,22300000,-18900000,2730800000.0,1059800000.0,107900000,616900000,1200000,18600000.0,24700000.0,,1707700000.0,469000000.0,-955700000.0,43600000.0,2055100000.0,0.0,45500000.0,1044100000.0,401700000,75200000.0,488800000.0,6700000,215200000,61800000,61800000,723500000.0,2261800000.0,-4500000,31700000.0,-711800000.0,,84900000.0,196700000.0,-20400000,273100000.0,107300000,-2600000,10900000.0,-7100000,-52000000,100200000,,,69200000,0.0,0,7400000,995900000.0,3454300000.0,47100000,48200000,-81200000,2394500000.0,38700000,241200000,1300000.0,24600000.0,22600000,306900000.0,288300000.0,-314100000.0,163200000.0,,,,,
2017-09-30,3800000,-42700000,7000000,127784521.0,65200000,107000000,,,601400000,-1800000,2000000,21200000,2746000000.0,1330100000.0,33100000,543900000,1300000,13400000.0,17800000.0,0.03,1774900000.0,457100000.0,-951900000.0,33600000.0,2082900000.0,0.0,46400000.0,1069600000.0,403800000,88800000.0,410500000.0,-7300000,140100000,3800000,3800000,1038800000.0,2288900000.0,-6400000,30300000.0,-749900000.0,0.03,77000000.0,205900000.0,-6900000,269200000.0,107000000,-8400000,28300000.0,263000000,-42700000,83700000,277800000.0,125713246.0,1900000,0.0,0,-1900000,1025000000.0,3784800000.0,313100000,41000000,87000000,2454700000.0,39000000,288300000,1300000.0,23900000.0,24300000,614800000.0,601400000.0,-279000000.0,166800000.0,,,,,
2017-12-31,-21900000,-783000000,8500000,132983262.0,102000000,114300000,,,329500000,37400000,-2400000,6900000,3381600000.0,1075500000.0,73100000,606300000,13000000,9800000.0,22200000.0,-0.16,2031700000.0,484000000.0,-973800000.0,34800000.0,2672500000.0,0.0,57100000.0,1408300000.0,418900000,66900000.0,427900000.0,7300000,187400000,-21900000,-21900000,1005500000.0,2897600000.0,-3600000,40700000.0,-775500000.0,-0.16,88100000.0,224100000.0,-6100000,582000000.0,114300000,-19600000,30800000.0,419400000,-40200000,92300000,0.0,132983262.0,28000000,0.0,-748000000,49900000,1256200000.0,4387100000.0,-271900000,52100000,17600000,3311600000.0,46800000,601400000,1300000.0,69900000.0,27200000,339300000.0,329500000.0,-294900000.0,164300000.0,,,,,
2018-03-31,19000000,-34800000,5600000,135109291.0,114300000,117000000,,,391500000,4700000,15700000,4300000,3485700000.0,1214400000.0,74700000,627900000,1100000,10700000.0,26600000.0,0.14,2094500000.0,557500000.0,-954800000.0,16700000.0,2706500000.0,,62300000.0,1438600000.0,436200000,74300000.0,506800000.0,-6300000,191700000,19000000,19000000,1068400000.0,2928200000.0,-6800000,31400000.0,-823100000.0,0.14,109500000.0,235000000.0,-12100000,572200000.0,117000000,-1000000,30600000.0,-7800000,-34800000,95200000,0.0,133123679.0,32700000,,0,13700000,1271400000.0,4554100000.0,62000000,60400000,-71000000,3339700000.0,51700000,329500000,1300000.0,70600000.0,29900000,402200000.0,391500000.0,-255600000.0,182900000.0,,,,,
2018-06-30,82700000,-58800000,6100000,,172000000,124300000,,,410200000,-4900000,17000000,-23600000,3444400000.0,1240300000.0,109100000,685300000,1100000,0.0,25900000.0,,2097900000.0,576900000.0,-872100000.0,15200000.0,2649400000.0,,54000000.0,1397200000.0,451900000,81800000.0,555800000.0,4500000,233400000,82700000,82700000,1086700000.0,2867500000.0,-5200000,32500000.0,-827300000.0,,100900000.0,220200000.0,10300000,544900000.0,124300000,-300000,6000000.0,-5500000,-58800000,103300000,0.0,,89400000,,0,6700000,1270600000.0,4531100000.0,18700000,44500000,-67200000,3290800000.0,52600000,391500000,1300000.0,71900000.0,30000000,410200000.0,410200000.0,-325800000.0,192100000.0,,,,,
2018-09-30,-14400000,-165800000,10000000,142149315.0,67600000,115500000,,,266100000,1200000,-18300000,-21400000,2970400000.0,1083400000.0,33000000,551800000,5200000,,11900000.0,-0.1,2152200000.0,527500000.0,-871400000.0,15900000.0,2205700000.0,,54000000.0,1435000000.0,403300000,74500000.0,503300000.0,-21000000,148500000,-14400000,-14400000,1529400000.0,2442900000.0,-459200000,51100000.0,-864000000.0,-0.1,105700000.0,246700000.0,-14100000,611900000.0,115500000,-5100000,47500000.0,-18800000,-38300000,41200000,445500000.0,142149315.0,-13400000,,-127500000,1000000,1288200000.0,4499800000.0,-144100000,2900000,73700000,3416400000.0,52900000,410200000,1400000.0,73400000.0,28100000,266100000.0,266100000.0,-334200000.0,180100000.0,,,,,
2018-12-31,49000000,-43000000,7500000,146660339.0,131400000,123200000,,,207900000,-1300000,7000000,-70800000,2878600000.0,1071500000.0,78200000,623000000,900000,,6500000.0,0.34,2173400000.0,514300000.0,-822400000.0,17000000.0,2130000000.0,,54600000.0,1421400000.0,421600000,68300000.0,551300000.0,-5000000,201400000,49000000,49000000,1563000000.0,2364300000.0,-49100000,50100000.0,-887600000.0,0.33,112400000.0,245800000.0,-1400000,581000000.0,123200000,-5900000,50200000.0,-55000000,-43000000,43300000,0.0,145058230.0,51300000,,0,2300000,1285800000.0,4441600000.0,-58200000,300000,-70600000,3370100000.0,54600000,266100000,1500000.0,69900000.0,25500000,207900000.0,207900000.0,-351200000.0,184400000.0,,,,,
2019-03-31,31700000,-48900000,6600000,146758271.0,135400000,129900000,,,227900000,-600000,17200000,-30300000,2872400000.0,1143700000.0,68800000,617500000,1000000,,10200000.0,0.22,2183100000.0,525400000.0,-790700000.0,20000000.0,2116300000.0,,69500000.0,1409300000.0,418800000,64700000.0,583500000.0,-17100000,198700000,31700000,31700000,1620700000.0,2347000000.0,-6200000,32700000.0,-881600000.0,0.22,89200000.0,256700000.0,200000,554400000.0,129900000,-2300000,54100000.0,-8700000,-48000000,75300000,-200000.0,145145310.0,42600000,,0,10900000,1301500000.0,4493100000.0,20000000,27300000,-29700000,3349400000.0,66400000,207900000,1500000.0,70300000.0,26400000,227900000.0,227900000.0,-329300000.0,202300000.0,,,,,
2019-06-30,65700000,-1252700000,9200000,,165400000,143400000,-500000.0,,345400000,-14400000,30300000,-37800000,4502400000.0,1395800000.0,113100000,725700000,12500000,,8500000.0,,2450100000.0,670700000.0,-723400000.0,23600000.0,2882800000.0,,124300000.0,2220900000.0,469200000,70800000.0,716400000.0,9100000,256500000,71100000,65700000,1681600000.0,3831700000.0,-784200000,74400000.0,-913400000.0,,155200000.0,265300000.0,9200000,930800000.0,143400000,-26000000,10500000.0,1283900000,-88800000,87900000,200000.0,,79800000,,-1163500000,8700000,1536700000.0,6184000000.0,117500000,-900000,-92300000,4788200000.0,54700000,227900000,1500000.0,76500000.0,30900000,345400000.0,345400000.0,-353900000.0,255800000.0,,,,,
2019-09-30,-8000000,-84900000,16600000,145663115.0,90100000,142800000,-700000.0,-11900000.0,243400000,-600000,-47300000,-65700000,4470200000.0,1266800000.0,34900000,664700000,1500000,,0.0,-0.05,2480500000.0,615800000.0,-731400000.0,25300000.0,2858700000.0,,179000000.0,2195900000.0,487000000,72300000.0,647900000.0,200000,177700000,100000,100000,1649300000.0,3854400000.0,-5800000,70500000.0,-919400000.0,-0.05,159600000.0,259100000.0,-5300000,902900000.0,142800000,-18100000,158700000.0,-35800000,-73500000,25200000,0.0,145663115.0,-6800000,12200000.0,-10700000,-6900000,1561100000.0,6119500000.0,-102000000,-48300000,34100000,4852700000.0,60600000,345400000,1500000.0,74300000.0,36300000,243400000.0,243400000.0,-376000000.0,214000000.0,,,,,
2019-12-31,34300000,-114300000,10300000,147690921.0,155300000,141000000,-1300000.0,-8100000.0,188900000,3300000,34000000,-4200000,4479200000.0,1300500000.0,91200000,721400000,1600000,,5400000.0,0.23,2582100000.0,658100000.0,-694000000.0,31900000.0,2824600000.0,,175400000.0,2207800000.0,489200000,94200000.0,681000000.0,-11800000,232200000,45500000,45500000,1716100000.0,3821100000.0,-51600000,76100000.0,-964000000.0,0.23,165600000.0,258300000.0,2200000,885900000.0,141000000,-6300000,147900000.0,-66000000,-78700000,120700000,0.0,146068025.0,58500000,,-55100000,13000000,1618100000.0,6195300000.0,-54500000,42000000,-29800000,4894800000.0,61900000,243400000,1500000.0,72400000.0,34900000,188900000.0,188900000.0,-350600000.0,243400000.0,,,,,
