date,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlyPretaxIncome,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyGoodwill
2001-09-30,7581000,-49118000,-49118000,-80428000,-1.03,1481000,27918000,379000.0,37109000,18490000.0,51668000.0,18895000.0,-31959000,,,778383000,54553000,115987000,,27759000.0,47600000.0,70447000,150875000,70447000,479000,289000.0,,14099000,1230290000,,-49118000,10243000,0,1381107000,911088000,-80271000,,,1207922000,0,3516000,,65632000,-1.03,,,470019000,0,-870000,70447000,-87852000,,25924000,,-48710000,10009000,150817000,,112329000,,408000,-185110000,798759000,1104060000,,63033000,-87852000.0,-28629000,-103862000,-157000,47600000.0,,,,,,
2001-12-31,-1841000,-29710000,-29710000,-56543000,,1149000,43997000,397000.0,41075000,13046000.0,56796000.0,18429000.0,-7794000,,,845088000,12479000,117087000,,5075000.0,,13904000,70447000,13904000,487000,365000.0,,12973000,1336724000,,-29710000,21078000,0,1429011000,978367000,413329000,,,1253253000,11333000,125970000,,56293000,,,,450644000,0,42541000,13904000,-115103000,,28075000,,-29296000,9933000,92287000,,113701000,,414000,-214820000,864666000,1198559000,,69150000,,15596000,-54694000,60401000,,,,,,,
2002-03-31,-33392000,-83229000,-83229000,18372000,-1.7,6311000,27901000,75000.0,35920000,10216000.0,49092000.0,18475000.0,-62040000,,,947223000,35427000,92374000,,34055000.0,49010000.0,32276000,13904000,32276000,504000,188000.0,,13216000,1315847000,,-83229000,44117000,0,1422547000,1048756000,-79487000,,,1333316000,11167000,-33089000,,38442000,-1.7,,,373791000,0,26652000,32276000,-46095000,,28024000,,-82650000,9374000,106700000,,76747000,,579000,-298049000,972009000,1179356000,,63944000,-46095000.0,-7403000,-153960000,97859000,49010000.0,,,,,,
2002-06-30,24006000,-47336000,-47336000,-962000,-0.94,1660000,51782000,137000.0,40273000,16218000.0,47626000.0,18475000.0,-29488000,,,959742000,33190000,4925000,,32479000.0,50392000.0,31314000,32276000,31314000,505000,124000.0,,13576000,1221128000,,-47336000,47312000,-65000,1322686000,1076229000,-880000,,,1340780000,10927000,13055000,,28228000,-0.94,,,246457000,0,28624000,31314000,-24886000,,29335000,,-46836000,8998000,101558000,,96352000,,500000,-425979000,979877000,1168891000,,69608000,-24886000.0,-3855000,-171889000,-82000,50392000.0,,,,,,
2002-09-30,-14343000,-31673000,-31673000,11035000,-0.62,1832000,42265000,47000.0,39216000,14337000.0,45684000.0,18475000.0,-9675000,,,1009024000,35361000,4660000,,34839000.0,50745000.0,42349000,31314000,42349000,511000,2603000.0,,14249000,1212244000,,-31673000,53192000,-1126000,1323978000,1108399000,-27850000,,,1352322000,16334000,-18810000,,19863000,-0.62,,,215579000,0,27310000,42349000,-13507000,,27832000,,-31115000,8983000,111734000,,79068000,,558000,-457652000,1029331000,1154392000,,67048000,-13507000.0,-7529000,-197930000,38885000,50745000.0,,,,,,
2002-12-31,25283000,-30333000,-30333000,18792000,,3537000,5957000,70000.0,36706000,15081000.0,36292000.0,18429000.0,23476000,,12427000.0,834885000,33952000,4321000,,34340000.0,,61141000,42349000,61141000,512000,189397000.0,,15129000,1191316000,,-30333000,46370000,1191000,1304915000,1119442000,6392000,,,1362354000,10425000,19415000,,39729000,,,,185473000,5369000,52638000,61141000,-13522000,,27369000,,-31587000,8249000,113599000,,262591000,,-1254000,-487985000,856851000,1140625000,,64075000,-18891000.0,-6583000,-221729000,7031000,,,,,,,
2003-03-31,-4821000,-33210000,-33755000,-13284000,-0.66,5055000,16392000,,31654000,15294000.0,28163000.0,18429000.0,-1384000,,14422000.0,969102000,34540000,3874000,,31673000.0,51130000.0,47857000,61141000,47857000,512000,60066000.0,,22758000,1172221000,,-33755000,46413000,0,1264624000,1112637000,-10954000,,,1365639000,0,-5273000,,13877000,-0.66,,,151987000,0,23700000,47857000,-8436000,,26567000,794000.0,-32689000,8483000,92403000,,120051000,,521000,-521740000,992586000,1121934000,,58221000,-6133000.0,-7973000,-243705000,-27000,51130000.0,,,,,,
2003-06-30,-2781000,-45448000,-56408000,-25817000,-1.1,4182000,36262000,,27504000,13968000.0,26304000.0,16457000.0,-15538000,,11619000.0,888130000,38227000,3019000,,17906000.0,51133000.0,22040000,47857000,22040000,512000,6558000.0,,23236000,958156000,,-56408000,57113000,-7565000,1084518000,988700000,-5738000,,,1113511000,42708000,4520000,,11524000,-1.1,,,95818000,-20000000,6636000,22040000,119326000,,22871000,14154000.0,-45013000,7242000,126362000,,79931000,,435000,-578148000,908769000,898024000,,50375000,-2957000.0,-15356000,-215487000,-142362000,51133000.0,,,,,,
2003-09-30,-12694000,-32588000,-19666000,13245000,-0.38,3904000,15003000,18000.0,29815000,21991000.0,18929000.0,,-1549000,,10349000.0,867598000,29049000,2709000,,22238000.0,52394000.0,35285000,22040000,35285000,541000,13042000.0,,22944000,935722000,,-19666000,54028000,-1266000,1036687000,945247000,-15815000,,,1113965000,8479000,-4914000,,13360000,-0.38,,,91440000,-11760000,15920000,35285000,30839000,,22560000,,-32155000,7933000,100965000,,73745000,,433000,-585466000,871502000,878985000,,52375000,-3121000.0,-6489000,-234980000,-4900000,52394000.0,,,,,,
2003-12-31,-9512000,-53155000,-51168000,-26947000,,3838000,24311000,-9000.0,33103000,17709000.0,19414000.0,,-25049000,,11137000.0,859220000,34965000,2408000,,22898000.0,,23538000,35285000,8338000,550000,11538000.0,,22391000,914055000,,-51168000,55434000,7917000,982982000,939105000,-12437000,,,1110973000,395000,-7191000,,11352000,,,,43877000,13028000,12463000,8338000,13727000,,24530000,,-52703000,7859000,68927000,,76047000,,452000,-636634000,863058000,856213000,15200000.0,57633000,-2925000.0,-10435000,-254760000,-31162000,,,,,,,
2004-03-31,2485000,-48010000,-47922000,10826000,-0.86,3887000,9430000,,32865000,16835000.0,16083000.0,,-22318000,,9591000.0,898590000,28071000,2155000,,28111000.0,55684000.0,19164000,8338000,19164000,565000,2458000.0,,21085000,891533000,,-47922000,52373000,0,954222000,951756000,491000,,,1110714000,901000,-663000,,10965000,-0.86,,,2466000,-31000,24476000,19164000,-1666000,,24436000,,-47734000,7322000,62689000,,49279000,,276000,-684556000,902477000,837005000,,57301000,-1994000.0,-3635000,-273709000,10007000,55684000.0,,,,,,
2004-06-30,12546000,-22767000,-23246000,2664000,-0.41,4192000,16514000,,29847000,17141000.0,16827000.0,,-2046000,,10216000.0,889573000,29198000,1888000,,27941000.0,56933000.0,21828000,19164000,21828000,569000,3254000.0,,18473000,869469000,,-23246000,51036000,96000,934460000,953425000,11156000,,,1108744000,731000,4701000,,12535000,-0.41,,,-18965000,4430000,25243000,21828000,3084000,,26500000,,-22493000,7096000,64991000,,59660000,,274000,-707802000,893765000,816545000,,56347000,-1390000.0,-2698000,-292199000,-12966000,56933000.0,,,,,,
2004-09-30,-970000,-21472000,-24010000,-832000,-0.42,4287000,8327000,11000.0,30701000,16688000.0,15157000.0,,-2247000,,12824000.0,884775000,28040000,1626000,,28246000.0,57776000.0,20996000,21828000,20996000,597000,3251000.0,,18292000,850612000,,-24010000,50784000,0,915485000,942957000,-2196000,,,1109817000,203000,-7163000,,12805000,-0.42,,,-27472000,-50000,28248000,20996000,-1457000,,28042000,,-21194000,7374000,64873000,,53895000,,278000,-731811000,889062000,798202000,,58743000,-1226000.0,2000,-311615000,1595000,57776000.0,,,,,,
2004-12-31,155000,-51810000,-52103000,48631000,,30456000,6742000,2019000.0,41557000,14997000.0,21125000.0,,-14584000,,10810000.0,924456000,41311000,1365000,,36403000.0,,69627000,20996000,69627000,649000,3250000.0,,17691000,801072000,,-52103000,53876000,0,917244000,1005915000,-2449000,,,1115021000,10000,-5385000,,15204000,,,,-88671000,4486000,19068000,69627000,1365000,,23976000,,-51927000,14327000,116172000,,51003000,,-117000,-829357000,954912000,745831000,,65533000,-2604000.0,-17335000,-369190000,47111000,,,,,,,
2005-03-31,15998000,-21543000,-21713000,-50610000,-0.33,31912000,9209000,278000.0,31294000,13472000.0,13292000.0,,-1567000,,10145000.0,879091000,29057000,1108000,,29750000.0,65260000.0,19017000,69627000,19017000,656000,3250000.0,,17346000,797425000,,-21713000,53490000,0,854036000,958339000,12868000,,,1124256000,10000,6493000,,11260000,-0.33,,,-104303000,-234000,27703000,19017000,-13000000,,27010000,,-21297000,7200000,56611000,,47336000,,246000,-851070000,911003000,742827000,,58304000,-3130000.0,-2047000,-381429000,-53608000,65260000.0,,,,,,
2005-06-30,1766000,-26376000,-26255000,2105000,-0.38,33253000,4958000,1485000.0,34679000,14381000.0,16371000.0,,-15382000,,10913000.0,826796000,28796000,865000,,29591000.0,70330000.0,21122000,19017000,21122000,743000,3250000.0,,10427000,791098000,,-26255000,54591000,75439000,857137000,907050000,-2299000,,,1137571000,0,-9650000,,13499000,-0.38,204000.0,,-49913000,-69000,29364000,21122000,-9595000,,28569000,,-26045000,7112000,66039000,,47001000,,331000,-877325000,860049000,735642000,,63248000,-4065000.0,-227000,-401929000,9934000,70330000.0,,,,,,
2005-09-30,18379000,-14447000,-14444000,2355000,-0.19,34203000,9648000,76680000.0,35005000,14114000.0,21076000.0,,4000,,12275000.0,844011000,28382000,25982000,,28402000.0,74487000.0,23477000,21122000,23477000,752000,3250000.0,,16258000,806960000,,-14444000,56147000,-75439000,885929000,932598000,12167000,,,1146473000,0,4292000,,15097000,-0.19,8483000.0,,-46669000,419000,31036000,23477000,-28372000,,31016000,,-14093000,6725000,78969000,,54384000,,354000,-891769000,878214000,724831000,,66021000,-6212000.0,2634000,-421642000,12348000,74487000.0,,,,,,
2005-12-31,13624000,-32282000,-32297000,22457000,,34570000,7478000,-73757000.0,38974000,15544000.0,17533000.0,,-20145000,,11838000.0,784392000,29559000,31491000,,28213000.0,,65711000,23477000,45934000,856000,,,15313000,820348000,,-32297000,60524000,223694000,952536000,871105000,7383000,,,1170390000,0,-2430000,,17283000,,14460000.0,,81431000,-128000,32099000,45934000,-48316000,,33445000,,-31109000,7141000,132188000,,52143000,,1173000,-924066000,818962000,728333000,19777000.0,72419000,-6241000.0,3886000,-442057000,57149000,,,,,,,
2006-03-31,15212000,-9205000,-9205000,13940000,-0.11,35906000,8147000,1370000.0,34263000,13602000.0,18565000.0,,8784000,,13217000.0,789657000,39371000,37585000,,26487000.0,85694000.0,59874000,45934000,59874000,858000,,,13614000,831457000,,-9205000,61413000,7883000,950122000,874031000,9587000,19900000.0,,1194042000,0,-3228000,,13502000,-0.11,15844000.0,,76091000,-630000,21657000,59874000,-10525000,,34541000,1082000.0,-8807000,8703000,118665000,,48468000,,398000,-933271000,825563000,732459000,,68804000,-5625000.0,-4830000,-461583000,9253000,85694000.0,,,,,,
2006-06-30,12098000,-75638000,-75638000,1722000,-0.77,41414000,4167000,1690000.0,40176000,20061000.0,19837000.0,,-53914000,,19855000.0,405000000,44380000,713435000,,37654000.0,98138000.0,61596000,59874000,61596000,1032000,1100000000.0,,21929000,1871762000,,-75638000,68693000,-352000,2008882000,1604096000,5061000,0.0,,1574947000,0,-5043000,,13599000,-0.77,23273000.0,,404786000,-4475000,40474000,61596000,-667233000,,47200000,1473000.0,75441000,11495000,137120000,,1157682000,,197000,-1008909000,446414000,1089634000,,87376000,-7037000.0,2820000,-485313000,656857000,98138000.0,,,,,,
2006-09-30,13119000,-24341000,-24341000,-21181000,-0.24,43714000,18188000,1661000.0,42154000,18348000.0,44106000.0,,435000,,16960000.0,1505000000,49702000,724016000,,43718000.0,103733000.0,40415000,61596000,40415000,1045000,,,27085000,1898730000,,-24341000,68012000,1385000,2002129000,1614164000,6242000,0.0,,1618089000,0,-7488000,,11954000,-0.24,-1552000.0,,387965000,-221000,50034000,40415000,-37313000,,56018000,55161000.0,-24147000,11044000,103399000,,65450000,,194000,-1040959000,1548714000,1106702000,,98172000,-6877000.0,6316000,-511387000,3013000,103733000.0,,,,,,
2006-12-31,35531000,-24265000,-24265000,5733000,,47017000,5288000,5770000.0,39993000,17600000.0,40184000.0,,-2993000,,24665000.0,1555000000,50703000,724872000,,41288000.0,,46148000,40415000,46148000,1057000,,,25500000,1918685000,,-24265000,87871000,-36173000,2046292000,1660371000,26101000,0.0,,1644233000,0,13954000,,10801000,,-666000.0,,385921000,-216000,48788000,46148000,-24805000,,56757000,4547000.0,-24312000,10810000,127607000,,58354000,,-47000,-1065224000,1602017000,1105942000,,96750000,-9430000.0,6054000,-538291000,-4993000,,,,,,,
2007-03-31,26548000,-16394000,-16394000,173336000,-0.16,53178000,4634000,29640000.0,37466000,14979000.0,35748000.0,,35000,,26993000.0,1905000000,51117000,738566000,,41943000.0,105666000.0,219484000,46148000,219484000,1028000,,,22996000,1951456000,,-16394000,98380000,1266000,2246184000,2013794000,20777000,,-91236000.0,1679571000,0,-400000,,9010000,-0.16,-808000.0,,232390000,-257000,49310000,219484000,-57807000,,58342000,1417000.0,-16302000,10824000,294728000,,55616000,,92000,-1172822000,1958178000,1114510000,,95808000,-5771000.0,7225000,-565061000,204595000,105666000.0,,,,,,
2007-06-30,26732000,-15072000,-15072000,-121950000,-0.15,55090000,6002000,3364000.0,39250000,16645000.0,39144000.0,,-657000,,27058000.0,1905000000,53228000,754412000,,43731000.0,103160000.0,198829000,219484000,97534000,1037000,,,23176000,1976519000,,-15072000,102525000,1606000,2253504000,2018633000,19225000,,0.0,1711617000,0,-5041000,,8838000,-0.15,-949000.0,,234871000,-647000,51683000,97534000,-153042000,,61039000,2753000.0,-14971000,11578000,276985000,,58543000,,101000,-1187894000,1960090000,1119582000,101295000.0,100289000,-7507000.0,7811000,-592035000,4360000,103160000.0,,,,,,
2007-09-30,28884000,-17534000,-17534000,-54173000,-0.17,58311000,5681000,936000.0,43652000,17981000.0,42692000.0,,77000,,29798000.0,1905000000,54238000,788767000,,45053000.0,104188000.0,164598000,97534000,43361000,1055000,,-70275000.0,23164000,2051945000,,-17534000,103475000,-2909000,2301297000,2026254000,22116000,50376000.0,0.0,1779426000,0,-210000,41000.0,9483000,-0.17,-1090000.0,,275043000,-456000,50505000,43361000,-81076000,,59549000,1595000.0,-16992000,11289000,249352000,,62943000,,542000,-1205428000,1963311000,1159703000,121237000.0,103201000,-6768000.0,5311000,-619723000,-1981000,104188000.0,,,,,,
2007-12-31,40770000,-28879000,-28879000,26911000,,65762000,5097000,1071000.0,42985000,20964000.0,41636000.0,,-15663000,,37557000.0,1905000000,56218000,868999000,,46474000.0,,125414000,43361000,70272000,1084000,,-17476000.0,23162000,2171111000,,-28879000,110143000,-4916000,2384323000,2046932000,33045000,67675000.0,0.0,1840729000,0,5914000,100000.0,12552000,,-1280000.0,,337391000,-718000,56315000,70272000,-9959000,,65918000,16986000.0,-28746000,11878000,213212000,,76170000,,133000,-1234307000,1970762000,1191969000,55142000.0,108903000,-7725000.0,9700000,-648760000,-3900000,,,,,,,
2008-03-31,34745000,-14634000,-14634000,56711000,-0.13,67180000,5463000,1701000.0,40235000,15443000.0,36952000.0,,-2348000,,36608000.0,1945000000,57844000,876096000,,49702000.0,108469000.0,138770000,70272000,126983000,1085000,,,23655000,2187367000,,-14634000,114177000,-1294000,2406902000,2081015000,26383000,40900000.0,,1875408000,0,-4013000,-98000.0,11321000,-0.13,-1420000.0,,325887000,-617000,61680000,126983000,-18441000,,69682000,3784000.0,-14556000,10491000,219535000,,68835000,,78000,-1248941000,2012180000,1197094000,11787000.0,109917000,-8362000.0,11838000,-678314000,40407000,108469000.0,,,,,,
2008-06-30,45366000,-18390000,-18390000,80287000,-0.17,73805000,6999000,59306000.0,39361000,17724000.0,15707000.0,,-2541000,,39474000.0,2455000000,61801000,996591000,,52029000.0,107131000.0,216524000,126983000,207270000,1059000,,,25163000,2440784000,,-18390000,127426000,-137226000,2733109000,2603144000,36953000,0.0,,2026036000,15013000,6661000,61000.0,10142000,-0.17,-1560000.0,,129965000,-151000,62959000,207270000,-264662000,,72591000,5010000.0,-18200000,12548000,292325000,,74339000,,190000,-1387296000,2528805000,1316767000,9254000.0,111952000,-8413000.0,10790000,-709269000,299583000,107131000.0,,,,,,
2008-09-30,53998000,-16423000,-16423000,231885000,-0.15,77783000,13938000,1123000.0,42008000,27025000.0,12792000.0,,-939000,,43820000.0,2821948000,65221000,1298343000,,55840000.0,107384000.0,439316000,207270000,439155000,1137000,5500000.0,,25080000,2873402000,,-16423000,139072000,135654000,3387848000,3000558000,44050000,0.0,0.0,2177718000,0,13437000,157000.0,10544000,-0.15,-1699000.0,,387290000,-95000,67406000,439155000,-45952000,,76648000,2519000.0,-15999000,12496000,514446000,,100827000,,424000,-1403719000,2899731000,1435987000,161000.0,118656000,-9948000.0,11427000,-741731000,223839000,107384000.0,,,,,,
2008-12-31,39587000,2684000,2684000,-360299000,,80495000,2850000,-55627000.0,46561000,27475000.0,16351000.0,,11379000,,45306000.0,2548660000,75419000,1425132000,,53874000.0,,79018000,439155000,78856000,1175000,6000000.0,,30767000,3057193000,,2684000,96005000,-1323000,3211508000,2719749000,30144000,144000.0,0.0,2278935000,10658000,-8258000,39000.0,8963000,,-1549000.0,,491759000,-117000,78759000,78856000,-251494000,,87868000,-10982000.0,3029000,13305000,154315000,,90594000,,345000,-1401035000,2629155000,1502672000,162000.0,134429000,-9443000.0,12449000,-776263000,-148392000,,,,,,,
