date,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyBasicEPS,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyGrossProfit,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyDilutedAverageShares,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyGoodwill
2014-09-30,157000000.0,41000000,,1081000000,1000000,93000000.0,,3276000000.0,10000000,-47000000.0,31000000,37000000,6000000,285000000,30000000.0,3926000000.0,,230000000.0,17000000.0,10000000,80000000.0,52000000,0.2,52000000.0,122000000,87000000,0.0,,372000000.0,372000000.0,6000000,41000000,4285000000.0,5899000000.0,-13000000,5344000000.0,1517000000.0,161000000,31000000.0,0.0,123000000,,15000000.0,-6000000.0,72000000,3542000000.0,21000000,0.2,3000000,3000000,109000000,-27000000,372000000,-917000000,1335000000.0,0.0,0.0,3983000000.0,5000000.0,31000000.0,555000000.0,302000000.0,-15000000,41000000,-903000000,121000000,34000000.0,-266000000.0,,,,,,,,,
2014-12-31,160000000.0,69000000,,-63000000,-5000000,99000000.0,0.0,3487000000.0,-11000000,-33000000.0,-10000000,43000000,0,19000000,31000000.0,3890000000.0,,227000000.0,18000000.0,0,67000000.0,57000000,,43000000.0,24000000,372000000,0.0,,391000000.0,391000000.0,0,51000000,4272000000.0,5752000000.0,-1000000,5213000000.0,1266000000.0,148000000,,0.0,99000000,,19000000.0,-9000000.0,48000000,3795000000.0,6000000,,1000000,2000000,91000000,-29000000,391000000,53000000,1234000000.0,0.0,0.0,3975000000.0,3000000.0,,539000000.0,297000000.0,34000000,-21000000,17000000,29000000,39000000.0,-308000000.0,,,,,,,,,
2015-03-31,218000000.0,70000000,,119000000,-3000000,123000000.0,,4430000000.0,-4000000,-61000000.0,-16000000,57000000,-5000000,-292000000,48000000.0,4719000000.0,,188000000.0,27000000.0,2000000,63000000.0,75000000,-0.15,44000000.0,75000000,406000000,0.0,,114000000.0,114000000.0,-5000000,66000000,5254000000.0,6595000000.0,0,6302000000.0,1403000000.0,180000000,35000000.0,3000000.0,116000000,,33000000.0,-23000000.0,48000000,4821000000.0,-11000000,-0.15,3000000,3000000,105000000,-30000000,114000000,-489000000,1210000000.0,0.0,8000000.0,4865000000.0,-2000000.0,35000000.0,293000000.0,389000000.0,1000000,-20000000,-490000000,78000000,49000000.0,-391000000.0,,,,,,,,,
2015-06-30,407000000.0,44000000,,505000000,-5000000,144000000.0,,4478000000.0,4000000,-537000000.0,41000000,62000000,10000000,167000000,43000000.0,4336000000.0,,549000000.0,29000000.0,1000000,98000000.0,67000000,0.15,37000000.0,5000000,114000000,1000000.0,,281000000.0,281000000.0,10000000,73000000,5002000000.0,7208000000.0,708000000,6717000000.0,1389000000.0,217000000,35000000.0,-316000000.0,162000000,,23000000.0,-16000000.0,88000000,4927000000.0,-96000000,0.15,3000000,3000000,150000000,-31000000,281000000,-348000000,1844000000.0,0.0,4000000.0,4432000000.0,8000000.0,35000000.0,491000000.0,570000000.0,9000000,45000000,-349000000,10000000,52000000.0,-449000000.0,,,,,,,,,
2015-09-30,224000000.0,62000000,,-278000000,-8000000,114000000.0,-1000000.0,4434000000.0,8000000,-251000000.0,34000000,53000000,17000000,-156000000,42000000.0,4285000000.0,,553000000.0,30000000.0,17000000,104000000.0,69000000,0.18,79000000.0,173000000,281000000,1000000.0,,125000000.0,125000000.0,17000000,65000000,4837000000.0,6989000000.0,-2000000,6613000000.0,1377000000.0,209000000,98000000.0,,169000000,,22000000.0,-32000000.0,87000000,4933000000.0,68000000,0.18,3000000,5000000,140000000,-38000000,125000000,-59000000,1803000000.0,0.0,3000000.0,4412000000.0,15000000.0,98000000.0,376000000.0,425000000.0,-29000000,42000000,-22000000,181000000,53000000.0,-499000000.0,,,,,,,,,
2015-12-31,241000000.0,62000000,,81000000,-13000000,61000000.0,0.0,5056000000.0,4000000,-99000000.0,-4000000,105000000,11000000,-37000000,39000000.0,4562000000.0,,798000000.0,35000000.0,5000000,95000000.0,101000000,,68000000.0,91000000,125000000,1000000.0,,111000000.0,111000000.0,11000000,115000000,5143000000.0,7775000000.0,-35000000,7457000000.0,1362000000.0,263000000,,,177000000,,23000000.0,-27000000.0,57000000,5757000000.0,-16000000,,3000000,5000000,162000000,-40000000,111000000,-222000000,1841000000.0,,0.0,4687000000.0,12000000.0,,318000000.0,456000000.0,25000000,0,-234000000,104000000,64000000.0,-701000000.0,,,,,,,,,
2016-03-31,242000000.0,68000000,,-79000000,-7000000,58000000.0,,5012000000.0,0,,2000000,69000000,5000000,-35000000,38000000.0,4521000000.0,,779000000.0,34000000.0,2000000,85000000.0,83000000,0.05,53000000.0,95000000,111000000,1000000.0,,76000000.0,76000000.0,5000000,89000000,5098000000.0,7659000000.0,6000000,7375000000.0,1338000000.0,220000000,98000000.0,,159000000,,26000000.0,-44000000.0,68000000,5779000000.0,-11000000,0.05,3000000,5000000,137000000,-41000000,76000000,-58000000,1808000000.0,,0.0,4715000000.0,7000000.0,98000000.0,284000000.0,383000000.0,-8000000,2000000,-43000000,102000000,64000000.0,-767000000.0,,,,,,,,,
2016-06-30,251000000.0,62000000,,-99000000,-4000000,66000000.0,,4947000000.0,12000000,,58000000,70000000,32000000,13000000,37000000.0,4465000000.0,,778000000.0,35000000.0,19000000,109000000.0,75000000,0.26,39000000.0,92000000,76000000,1000000.0,,89000000.0,89000000.0,32000000,84000000,5050000000.0,7607000000.0,-4000000,7288000000.0,1321000000.0,258000000,98000000.0,,216000000,,21000000.0,-47000000.0,113000000,5779000000.0,-40000000,0.33,3000000,5000000,183000000,-42000000,89000000,16000000,1815000000.0,0.0,1000000.0,4670000000.0,26000000.0,122000000.0,319000000.0,380000000.0,7000000,70000000,-16000000,96000000,63000000.0,-832000000.0,,,,,,,,,
2016-09-30,281000000.0,71000000,,-30000000,-5000000,47000000.0,0.0,5711000000.0,13000000,-522000000.0,47000000,79000000,33000000,111000000,32000000.0,5359000000.0,,690000000.0,37000000.0,14000000,115000000.0,76000000,0.27,94000000.0,236000000,89000000,1000000.0,-13000000.0,200000000.0,200000000.0,33000000,110000000,6014000000.0,8482000000.0,-123000000,7951000000.0,1303000000.0,272000000,98000000.0,-10000000.0,241000000,,23000000.0,-48000000.0,117000000,6713000000.0,66000000,0.34,4000000,5000000,196000000,-44000000,200000000,-100000000,1845000000.0,0.0,1000000.0,5555000000.0,35000000.0,122000000.0,531000000.0,459000000.0,5000000,60000000,-87000000,241000000,78000000.0,-1002000000.0,,,,,,,,,
2016-12-31,282000000.0,61000000,,15000000,-4000000,51000000.0,0.0,5460000000.0,-26000000,-426000000.0,-126000000,79000000,-13000000,117000000,29000000.0,5426000000.0,,710000000.0,39000000.0,-176000000,91000000.0,68000000,,85000000.0,117000000,200000000,1000000.0,12000000.0,317000000.0,317000000.0,-13000000,92000000,6013000000.0,8383000000.0,6000000,7738000000.0,1286000000.0,232000000,,-11000000.0,1000000,,23000000.0,-28000000.0,85000000,6411000000.0,-36000000,,6000000,5000000,164000000,-56000000,317000000,-19000000,1850000000.0,0.0,2000000.0,5554000000.0,-2000000.0,,645000000.0,459000000.0,-16000000,-152000000,-11000000,121000000,76000000.0,-951000000.0,,,,,,,,,
2017-03-31,296000000.0,76000000,,-107000000,-4000000,66000000.0,7000000.0,5390000000.0,-1000000,-75000000.0,-1000000,79000000,-3000000,-109000000,28000000.0,5662000000.0,,1154000000.0,40000000.0,19000000,82000000.0,84000000,-0.03,55000000.0,57000000,322000000,1000000.0,16000000.0,213000000.0,213000000.0,-3000000,92000000,6242000000.0,8580000000.0,-27000000,8104000000.0,1268000000.0,218000000,98000000.0,-7000000.0,166000000,,26000000.0,-25000000.0,55000000,6415000000.0,-32000000,-0.03,4000000,5000000,134000000,-53000000,213000000,-63000000,1830000000.0,0.0,1000000.0,5787000000.0,-5000000.0,98000000.0,476000000.0,455000000.0,63000000,-2000000,-138000000,61000000,79000000.0,-1025000000.0,,,,,,,,,
2017-06-30,298000000.0,86000000,,-113000000,-9000000,74000000.0,9000000.0,5322000000.0,8000000,-67000000.0,45000000,84000000,28000000,-83000000,26000000.0,5597000000.0,,1161000000.0,41000000.0,16000000,119000000.0,77000000,0.23,60000000.0,101000000,213000000,1000000.0,9000000.0,181000000.0,181000000.0,28000000,95000000,6177000000.0,8513000000.0,-4000000,8022000000.0,1251000000.0,284000000,98000000.0,-26000000.0,234000000,,23000000.0,-28000000.0,123000000,6424000000.0,-37000000,0.29,6000000,6000000,207000000,-51000000,295000000,-80000000,1837000000.0,0.0,1000000.0,5739000000.0,23000000.0,123000000.0,491000000.0,438000000.0,-54000000,53000000,-26000000,110000000,79000000.0,-1102000000.0,,,,,,,,,
2017-09-30,300000000.0,75000000,,-118000000,-10000000,56000000.0,18000000.0,5247000000.0,8000000,-82000000.0,41000000,92000000,29000000,24000000,23000000.0,5520000000.0,,1183000000.0,38000000.0,29000000,126000000.0,78000000,0.23,95000000.0,193000000,295000000,1000000.0,7000000.0,179000000.0,179000000.0,29000000,106000000,6143000000.0,8442000000.0,-9000000,7922000000.0,1234000000.0,265000000,99000000.0,-15000000.0,230000000,,27000000.0,-27000000.0,95000000,6436000000.0,50000000,0.3,4000000,7000000,187000000,-45000000,319000000,-61000000,1861000000.0,0.0,0.0,5653000000.0,24000000.0,124000000.0,520000000.0,490000000.0,2000000,49000000,-60000000,203000000,87000000.0,-1189000000.0,,,,,,,,,
2017-12-31,306000000.0,69000000,,-77000000,-8000000,63000000.0,0.0,5204000000.0,57000000,-108000000.0,-108000000,98000000,-70000000,-14000000,17000000.0,5531000000.0,,1178000000.0,39000000.0,-39000000,95000000.0,87000000,,88000000.0,134000000,319000000,1000000.0,15000000.0,148000000.0,148000000.0,-70000000,111000000,6145000000.0,8283000000.0,29000000,7801000000.0,1228000000.0,242000000,,,129000000,,27000000.0,-28000000.0,57000000,6489000000.0,65000000,,5000000,7000000,155000000,-53000000,316000000,-79000000,1747000000.0,,0.0,5659000000.0,-69000000.0,,482000000.0,486000000.0,13000000,-51000000,-99000000,142000000,97000000.0,-1285000000.0,,,,,,,,,
2018-03-31,698000000.0,55000000,,-60000000,-18000000,73000000.0,10000000.0,5340000000.0,-1000000,-79000000.0,0,86000000,16000000,-39000000,9000000.0,5261000000.0,,1169000000.0,39000000.0,4000000,82000000.0,89000000,0.16,58000000.0,47000000,316000000,1000000.0,,173000000.0,173000000.0,16000000,98000000,6236000000.0,8362000000.0,30000000,7937000000.0,1210000000.0,225000000,98000000.0,,152000000,,40000000.0,-20000000.0,50000000,,-51000000,0.16,5000000,7000000,136000000,-55000000,277000000,-44000000,1755000000.0,,,5377000000.0,-53000000.0,98000000.0,425000000.0,859000000.0,8000000,-1000000,-48000000,65000000,99000000.0,,,,,,,,,,
2018-06-30,651000000.0,71000000,,-2000000,-27000000,82000000.0,65000000.0,5376000000.0,7000000,-296000000.0,96000000,88000000,79000000,-8000000,6000000.0,5244000000.0,,1183000000.0,39000000.0,29000000,132000000.0,74000000,0.622047,60000000.0,89000000,277000000,1000000.0,,130000000.0,130000000.0,79000000,100000000,6161000000.0,8448000000.0,59000000,7976000000.0,1192000000.0,307000000,102000000.0,,274000000,,40000000.0,-17000000.0,145000000,,-41000000,0.77,6000000,-26000000,233000000,-58000000,269000000,-122000000,1868000000.0,,,5357000000.0,25000000.0,127000000.0,472000000.0,804000000.0,6000000,103000000,-105000000,116000000,101000000.0,,,,,,,,,,
2018-09-30,873000000.0,74000000,1000000.0,-86000000,-17000000,92000000.0,76000000.0,5306000000.0,11000000,-100000000.0,49000000,91000000,21000000,120000000,5000000.0,4928000000.0,,1182000000.0,39000000.0,17000000,141000000.0,84000000,0.2,96000000.0,198000000,269000000,1000000.0,,232000000.0,232000000.0,21000000,101000000,6125000000.0,8500000000.0,-1000000,7897000000.0,1177000000.0,292000000,104000000.0,,235000000,,90000000.0,-14000000.0,117000000,,73000000,0.2,6000000,-1000000,208000000,-61000000,389000000,-9000000,1935000000.0,,,5040000000.0,13000000.0,104000000.0,603000000.0,1085000000.0,4000000,60000000,0,215000000,103000000.0,,,,,,,,,,
2018-12-31,535000000.0,106000000,2000000.0,102000000,-21000000,106000000.0,2000000.0,5245000000.0,45000000,-425000000.0,-91000000,89000000,-68000000,194000000,4000000.0,5447000000.0,,1172000000.0,40000000.0,5000000,104000000.0,85000000,,101000000.0,81000000,389000000,1000000.0,,407000000.0,407000000.0,-68000000,102000000,6276000000.0,8500000000.0,-11000000,7744000000.0,1156000000.0,229000000,,,162000000,,45000000.0,-18000000.0,55000000,6835000000.0,35000000,,3000000,44000000,144000000,-64000000,583000000,-10000000,1822000000.0,,,5572000000.0,-58000000.0,,756000000.0,704000000.0,6000000,-46000000,-18000000,102000000,108000000.0,-1590000000.0,,,,,,,,,
2019-03-31,1598000000.0,101000000,1000000.0,-320000000,-16000000,128000000.0,0.0,5523000000.0,-7000000,-304000000.0,-47000000,91000000,-20000000,-285000000,11000000.0,4225000000.0,,1154000000.0,40000000.0,5000000,91000000.0,84000000,-0.18,81000000.0,45000000,583000000,1000000.0,,117000000.0,117000000.0,-20000000,101000000,6320000000.0,8465000000.0,19000000,8009000000.0,1139000000.0,217000000,108000000.0,,148000000,,55000000.0,-19000000.0,42000000,5523000000.0,-7000000,-0.18,6000000,4000000,133000000,-39000000,298000000,-26000000,1772000000.0,,,4533000000.0,-80000000.0,108000000.0,456000000.0,1787000000.0,3000000,-54000000,-23000000,61000000,109000000.0,,,,,,,,,,
2019-06-30,1914000000.0,130000000,2000000.0,94000000,-80000000,100000000.0,0.0,5785000000.0,4000000,-334000000.0,-36000000,98000000,-24000000,-2000000,13000000.0,4192000000.0,,1165000000.0,49000000.0,-9000000,126000000.0,79000000,-0.22,85000000.0,9000000,298000000,1000000.0,,93000000.0,93000000.0,-24000000,110000000,6677000000.0,8731000000.0,-45000000,8233000000.0,1121000000.0,284000000,108000000.0,,208000000,,62000000.0,-16000000.0,107000000,5785000000.0,-13000000,-0.22,7000000,3000000,205000000,-38000000,296000000,-185000000,1732000000.0,,,4550000000.0,-105000000.0,108000000.0,498000000.0,2127000000.0,-1000000,-32000000,-102000000,89000000,106000000.0,,,,,,,,,,
2019-09-30,1965000000.0,106000000,1000000.0,-34000000,-104000000,109000000.0,0.0,5753000000.0,-11000000,-84000000.0,35000000,120000000,39000000,101000000,15000000.0,4143000000.0,,1181000000.0,43000000.0,40000000,141000000.0,86000000,0.354545,149000000.0,120000000,296000000,1000000.0,,148000000.0,148000000.0,39000000,131000000,6792000000.0,8838000000.0,-4000000,8219000000.0,1103000000.0,296000000,108000000.0,,261000000,,54000000.0,-17000000.0,90000000,5753000000.0,81000000,0.36,7000000,7000000,210000000,-39000000,397000000,-89000000,1748000000.0,,,4546000000.0,-66000000.0,110000000.0,619000000.0,2246000000.0,0,24000000,0,224000000,115000000.0,,,,,,,,,,
