date,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyAccountsReceivable,quarterlyInventory,quarterlyBasicEPS,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2014-12-31,1516326000.0,10355320000,249113000,38369137000,-7247172000.0,0.0,19774917000,10361749000,454996000.0,42873801000.0,1616457000,11112104000.0,,35626629000,6429000.0,11583331000,12826929000,17477522000.0,1266423000,,39011907000,51838836000,219761000.0,12849754000,576430000,10965000,441830000,143461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,6587856000.0,10333348000,247381000,39457483000,,0.0,19893404000,10343308000,3748390000.0,42137080000.0,1642933000,12758787000.0,0.0,42137080000,9960000.0,17044761000,13113949000,,1501007000,,45491800000,58605749000,317830000.0,18545768000,746336000,429217000,383826000,154159000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,1341213000.0,8441429000,250280000,41101439000,-9816315000.0,0.0,19952107000,8444854000,692784000.0,50628687000.0,1667062000,0.0,,40812372000,3425000.0,12244814000,11199215000,19850925000.0,1396190000,,44155126000,55354341000,323972000.0,13641004000,671461000,9907000,447451000,150789000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,6335512000.0,10970183000,251942000,43207514000,,-668145000.0,19998251000,10970183000,690170000.0,39782766000.0,2102746000,668145000.0,0.0,39782766000,,11738845000,13380906000,,1325285000,,43457958000,56838864000,305464000.0,13064130000,606488000,9507000,414365000,163925000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,1138488000.0,19955892000,256783000,46345350000,-12890626000.0,11178000.0,20106376000,19967070000,5508930000.0,51448343000.0,2251461000,12659706000.0,,38557717000,11178000.0,18321373000,22031758000,,1076644000,,44229272000,66261030000,293883000.0,19398017000,525978000,8887000,486408000,158367000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,6081458000.0,18739816000,257298000,50358455000,,103319000.0,20360506000,18739816000,6052005000.0,37622358000.0,2907676000,6022178000.0,0.0,37622358000,,20782057000,21161027000,,974373000,,51484770000,72645797000,192127000.0,21756430000,517549000,8958000,703713000,143570000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,921019000.0,17600349000,268120000,55481697000,-15777094000.0,0.0,21468693000,17740361000,9363270000.0,52592248000.0,4330338000,17237224000.0,,36815154000,140012000.0,27035453000,20101411000,,763636000,,63713271000,83814682000,221308000.0,27799089000,259392000,9092000,627360000,171443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,8593853000,274800000,60926328000,,-8271669000.0,21845407000,9200480000,8298128000.0,36841694000.0,4183052000,8271669000.0,0.0,36841694000,606627000.0,22936337000,11375734000,,826384000,,73876415000,85252149000,228003000.0,23762721000,256623000,14806000,466307000,182130000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,722371000.0,14504823000,194695000,62280259000,-18434871000.0,,22016854000,16048728000,8880409000.0,54715252000.0,4433403000,,,36280381000,1543905000.0,23738531000,18313036000,,814100000,,69070795000,87383831000,,24552631000,251392000,-8737000,374331000,189799000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,11211531000,197359000,68478568000,,,22303468000,14112641000,6592704000.0,36455962000.0,4213273000,,,36455962000,2901110000.0,22434592000,16468604000,,917978000,,75933381000,92401985000,,23352570000,18189000,-4872000,385348000,180617000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
