date,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyBasicAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyRepurchaseOfCapitalStock,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2008-06-30,,,,29387000.0,23952000,12044000,30000,167000.0,-14708000,,0.0,0.0,-7508000.0,4963000,2275000.0,37859000,926000.0,8992000.0,,-0.48,-45000,-627000,,1239000.0,,4797000,-392000,-11901000,-310000,-13455000,1982000.0,14051000.0,,6543000,,0.0,259000,32896000.0,1962000.0,-18989000,-12617000,-203298000,838000,63152000,-12293000,7247000,8609000,,42955000,57053000,-14074000,14098000,29387000.0,933000.0,-15378000.0,-1411000.0,,0.0,7555000,71761000,-14074000,-14074000,-0.48,,4963000,-6778000,2771000.0,-947000.0,,62219000.0,3393000.0,4928000,568000.0,,,,
2008-09-30,,,,29627000.0,4963000,12070000,30000,167000.0,-27293000,,0.0,0.0,-7508000.0,4642000,2275000.0,25383000,913000.0,12099000.0,,-0.5,-81000,415000,,2663000.0,,5418000,-609000,-11617000,-185000,-13990000,1920000.0,13950000.0,,6442000,,0.0,384000,20741000.0,1808000.0,-321000,-13142000,-217986000,848000,62541000,-12226000,6652000,7827000,,29784000,43075000,-14688000,13291000,29627000.0,891000.0,-8000.0,-1920000.0,,0.0,6849000,70368000,-14688000,-14688000,-0.5,,4642000,11482000,2590000.0,181000.0,,61650000.0,3840000.0,2722000,429000.0,,,,
2008-12-31,,,,,4642000,11920000,30000,6351000.0,-38613000,,0.0,0.0,-10545000.0,12700000,1931000.0,27068000,879000.0,10501000.0,,,50000,12716000,,1123000.0,,4571000,-431000,2526000,-503000,-12738000,4073000.0,16650000.0,,6105000,,0.0,66000,14368000.0,2358000.0,8058000,-11836000,-231436000,902000,67983000,2095000,7349000,14996000,,32058000,44366000,-13450000,12308000,,6558000.0,-4036000.0,-818000.0,,0.0,6203000,82979000,-13450000,-13450000,,,12700000,6034000,2446000.0,144000.0,,61425000.0,4891000.0,5591000,1118000.0,,,,
2009-03-31,,,,39569000.0,12700000,11074000,46000,7448000.0,15154000,-568000.0,0.0,0.0,,9276000,1588000.0,61452000,1928000.0,7000000.0,-227000.0,-0.33,13000,61000,,1368000.0,4173000.0,3171000,-950000,-9372000,45242000,-11337000,5212000.0,,,6403000,2041000.0,0.0,45810000,52176000.0,773000.0,-3424000,-10685000,-250826000,652000,47795000,-10322000,7903000,14997000,,66506000,77946000,-13142000,11440000,39569000.0,916000.0,-45361000.0,-263000.0,,0.0,5037000,62792000,-13142000,-13142000,-0.33,,9276000,-39311000,2365000.0,81000.0,,42706000.0,5475000.0,4593000,1345000.0,,,,
2009-06-30,,,,45832000.0,9276000,12407000,46000,8104000.0,1977000,-569000.0,0.0,0.0,,4208000,1244000.0,48874000,1982000.0,10283000.0,-722000.0,-0.33,63000,-74000,,956000.0,1953000.0,3455000,-754000,-11036000,-491000,-13455000,6751000.0,,,6495000,2041000.0,0.0,78000,44666000.0,1186000.0,-5068000,-13455000,-266156000,662000,46500000,-11790000,8952000,16624000,,54123000,65101000,-15330000,10978000,45832000.0,880000.0,-3044000.0,-1048000.0,,0.0,4483000,63124000,-15330000,-15330000,-0.33,,4208000,6485000,1363000.0,1002000.0,,43667000.0,7799000.0,3158000,2067000.0,,,,
2009-09-30,,,,45919000.0,4208000,12444000,46000,8702000.0,-9101000,-569000.0,0.0,0.0,,6362000,900000.0,37718000,2037000.0,18200000.0,-420000.0,-0.29,36000,-464000,,2024000.0,0.0,3496000,-825000,-9808000,-226000,-11579000,7259000.0,,,6731000,2130000.0,0.0,343000,31356000.0,1241000.0,2154000,-10990000,-279679000,589000,45522000,-10633000,8948000,17535000,,43376000,53956000,-13523000,10580000,45919000.0,839000.0,-5192000.0,865000.0,,0.0,3849000,63057000,-13523000,-13523000,-0.29,,6362000,12183000,1932000.0,-569000.0,,44683000.0,6394000.0,5443000,2487000.0,,,,
2009-12-31,,,,,6362000,13569000,46000,7745000.0,-18445000,-225000.0,0.0,0.0,-12799000.0,3577000,900000.0,28016000,2098000.0,18373000.0,-1003000.0,,-13000,-1763000,,2600000.0,0.0,4172000,-463000,-9173000,-146000,-9462000,10471000.0,19221000.0,,6422000,,4406000.0,79000,24439000.0,10556000.0,-2785000,-8992000,-291208000,470000,46597000,-9636000,9397000,18796000,,36920000,46948000,-11529000,10028000,,840000.0,-11673000.0,4107000.0,,0.0,3606000,65393000,-11529000,-11529000,,,3577000,6539000,2641000.0,-709000.0,,45757000.0,6364000.0,3145000,3490000.0,,,,
2010-03-31,,,,51291000.0,3577000,14533000,58000,5768000.0,46727000,-225000.0,0.0,0.0,,10700000,900000.0,49921000,1299000.0,17202000.0,-311000.0,-0.4,-40000,-1948000,,,,4739000,-958000,-10437000,33589000,-11074000,9545000.0,,,6880000,,0.0,33814000,39221000.0,3348000.0,7123000,-10574000,-311481000,500000,5759000,-11395000,9794000,15828000,,59009000,68314000,-20273000,9305000,51291000.0,791000.0,-32265000.0,3459000.0,,0.0,2425000,21587000,-20273000,-20273000,-0.4,-7930000.0,10700000,-16021000,3851000.0,-1210000.0,,4968000.0,6086000.0,4048000,3801000.0,,,,
2010-06-30,,,,57554000.0,10700000,15787000,58000,4047000.0,41018000,-225000.0,0.0,0.0,,6090000,900000.0,40081000,197000.0,12386000.0,-860000.0,-0.2,-5000,-1562000,,,,5425000,-1483000,-9305000,1172000,-11268000,11786000.0,,,7775000,,0.0,1397000,33991000.0,3087000.0,-4610000,-10680000,-323168000,588000,4033000,-10788000,10362000,15514000,,50443000,60565000,-11687000,10122000,57554000.0,750000.0,-7390000.0,4519000.0,,0.0,2347000,19547000,-11687000,-11687000,-0.2,-245000.0,6090000,3513000,4087000.0,-236000.0,,3283000.0,7267000.0,4883000,4661000.0,,,,
2010-09-30,,,,58200000.0,6090000,16538000,60000,3560000.0,35244000,-225000.0,0.0,0.0,,5529000,750000.0,29909000,44000.0,13453000.0,-441000.0,-0.23,-39000,423000,,,881000.0,6161000,-2093000,-9470000,1625000,-13062000,11664000.0,,,9240000,,0.0,1850000,24380000.0,2559000.0,-561000,-12434000,-336566000,628000,1853000,-11563000,10377000,17008000,,44488000,54105000,-13398000,9617000,58200000.0,972000.0,-4033000.0,3476000.0,,0.0,377000,18861000,-13398000,-13398000,-0.23,-312000.0,5529000,7327000,6353000.0,-2266000.0,,0.0,8188000.0,5623000,5102000.0,,,,
2010-12-31,,,,,5529000,16875000,62000,3524000.0,60993000,-225000.0,0.0,0.0,-15024000.0,4889000,525000.0,47113000,8000.0,11650000.0,-1569000.0,,-66000,-6704000,,1758000.0,,6902000,-2326000,-13464000,33260000,-9886000,15636000.0,25787000.0,,10763000,,0.0,33485000,42224000.0,2227000.0,-640000,-9165000,-346378000,721000,1042000,-15790000,9973000,15129000,,66025000,77164000,-9812000,11139000,,1042000.0,-29759000.0,6989000.0,,0.0,376000,16171000,-9812000,-9812000,,60000.0,4889000,-20429000,8112000.0,-1759000.0,,0.0,8647000.0,9322000,6671000.0,,,,
2011-03-31,,,,62179000.0,4889000,16986000,63000,2358000.0,53362000,-225000.0,0.0,0.0,,3805000,300000.0,37331000,6000.0,12558000.0,-487000.0,-0.19,-83000,-939000,,2001000.0,571000.0,6268000,-1791000,-9289000,1463000,-11870000,14174000.0,,,11748000,,0.0,1688000,33526000.0,2548000.0,-1084000,-11064000,-358228000,806000,1598000,-11080000,10718000,11595000,,54432000,66555000,-11850000,12123000,62179000.0,1027000.0,-3991000.0,5116000.0,,0.0,375000,13193000,-11850000,-11850000,-0.19,0.0,3805000,6776000,6425000.0,1687000.0,,,9058000.0,6936000,7158000.0,,,,
2011-06-30,,,,65096000.0,3805000,19260000,68000,2333000.0,121575000,-225000.0,0.0,0.0,,33889000,75000.0,105028000,3000.0,7500000.0,-1536000.0,-0.11,-101000,122000,,2083000.0,,7016000,-1160000,-2526000,71716000,-7389000,21417000.0,,,12016000,,0.0,71941000,71139000.0,-15560000.0,30084000,-6497000,-365595000,892000,1018000,-3686000,12244000,13776000,,123980000,136369000,-7367000,12389000,65096000.0,,-45439000.0,11871000.0,,0.0,373000,14794000,-7367000,-7367000,-0.11,0.0,33889000,-39099000,6258000.0,167000.0,,,9546000.0,2153000,8694000.0,,,,
2011-09-30,,,,67397000.0,33889000,21472000,68000,1737000.0,113065000,-75000.0,0.0,0.0,,17523000,0.0,97317000,1000.0,19518000.0,-309000.0,-0.2,-94000,1517000,,2652000.0,,8231000,-1506000,-6741000,958000,-13308000,18254000.0,,,12524000,,0.0,1033000,79794000.0,-9550000.0,-16366000,-12310000,-378873000,998000,985000,-8247000,13241000,14743000,,115232000,128793000,-13278000,13561000,67397000.0,,-28614000.0,8164000.0,,0.0,1037000,15728000,-13278000,-13278000,-0.2,0.0,17523000,-10602000,6455000.0,-197000.0,,,10090000.0,3393000,9003000.0,,,,
2011-12-31,,,,,17523000,22969000,68000,1591000.0,104490000,0.0,0.0,0.0,-16544000.0,2553000,0.0,81911000,1000.0,24710000.0,-3544000.0,,-80000,-4283000,,2807000.0,281000.0,9232000,-3549000,-11570000,47000,-12276000,22421000.0,31563000.0,,15019000,,0.0,47000,79358000.0,-8671000.0,-14970000,-11213000,-391124000,1063000,1244000,-15119000,13737000,14741000,,104410000,120475000,-12251000,16065000,,963000.0,-24611000.0,10693000.0,,0.0,1046000,15985000,-12251000,-12251000,,1000.0,2553000,-3446000,8171000.0,-1716000.0,,0.0,11728000.0,3539000,12547000.0,,,,
2012-03-31,4610000.0,,-15372000.0,67790000.0,2553000,24784000,69000,1845000.0,99551000,0.0,0.0,0.0,,5119000,0.0,70184000,0.0,40569000.0,4000.0,-0.21,-103000,-458000,,1952000.0,834000.0,9715000,-2320000,-10164000,1120000,-15397000,20095000.0,,-1308000.0,16206000,,0.0,1120000,65065000.0,-11173000.0,2566000,-14190000,-405188000,1182000,2335000,-12484000,15069000,16076000,3162000.0,92822000,117962000,-14064000,25140000,67790000.0,1501000.0,-26618000.0,9387000.0,,0.0,1162000,18411000,-14064000,-14064000,-0.21,0.0,5119000,11631000,8044000.0,127000.0,,,10708000.0,5387000,12543000.0,,,,
2012-06-30,4462000.0,,-14627000.0,68635000.0,5119000,25892000,69000,1499000.0,91308000,0.0,0.0,0.0,,5985000,,61188000,1000.0,25269000.0,-357000.0,-0.21,-88000,1246000,,2021000.0,702000.0,10498000,-2882000,-6329000,452000,-14649000,23450000.0,,64000.0,17768000,,0.0,452000,55203000.0,-18235000.0,866000,-13158000,-419879000,1468000,2253000,-9211000,15394000,16961000,3162000.0,83993000,110522000,-14691000,26529000,68635000.0,1551000.0,-15665000.0,11243000.0,,0.0,1137000,19214000,-14691000,-14691000,-0.21,0.0,5985000,6722000,7378000.0,666000.0,,,12207000.0,4679000,12900000.0,,,,
2012-09-30,4313000.0,,-17306000.0,69052000.0,5985000,25724000,70000,1222000.0,80253000,0.0,0.0,0.0,,4744000,,53385000,1000.0,20387000.0,543000.0,-0.25,-93000,3692000,,3796000.0,569000.0,10582000,-2894000,-6050000,1334000,-17322000,23089000.0,,-43000.0,18613000,4879000.0,0.0,1334000,48641000.0,-16986000.0,-1241000,-15106000,-437142000,2199000,2139000,-8944000,15142000,20404000,3162000.0,75571000,102796000,-17263000,27225000,69052000.0,1570000.0,-13999000.0,8402000.0,,0.0,1137000,22543000,-17263000,-17263000,-0.25,0.0,4744000,3494000,7141000.0,237000.0,,,14687000.0,5755000,12357000.0,,,,
2012-12-31,4200000.0,,-8495000.0,,4744000,25900000,100000,1400000.0,77000000,0.0,0.0,-1000000.0,-21100000.0,8100000,200000.0,48700000,198000.0,18075000.0,-7190000.0,,-100000,-8380000,,3900000.0,600000.0,8705000,-1404000,-10557000,7294000,-8332000,33266000.0,40000000.0,-13000.0,18900000,4542000.0,100000.0,694000,40600000.0,47194000.0,3309000,-6546000,-445600000,1751000,9500000,-11961000,17195000,19500000,3200000.0,77600000,106000000,-8482000,28400000,,2100000.0,-10118000.0,17568000.0,,0.0,2100000,29000000,-8482000,-8482000,,0.0,8100000,6553000,7400000.0,-330000.0,,6800000.0,15698000.0,12500000,19500000.0,,,,
2013-03-31,4000000.0,,-11100000.0,69800000.0,8100000,27400000,100000,800000.0,73600000,,0.0,-1000000.0,,18900000,700000.0,45300000,200000.0,18900000.0,3200000.0,-0.16,-100000,-600000,0.0,2200000.0,0.0,9300000,-1400000,-4500000,2700000,-10900000,29600000.0,,0.0,18300000,5000000.0,0.0,2700000,26400000.0,300000.0,10800000,-9100000,-456700000,1800000,9000000,-5900000,18100000,16200000,3200000.0,71300000,98800000,-11100000,27500000,69800000.0,2700000.0,-4900000.0,16500000.0,-500000.0,0.0,2000000,25200000,-11100000,-11100000,-0.16,0.0,18900000,12600000,7500000.0,-100000.0,,6300000.0,13100000.0,11600000,16300000.0,,,,
2013-06-30,3900000.0,,-10100000.0,70900000.0,18900000,31800000,100000,700000.0,72300000,,0.0,-1000000.0,,28200000,1200000.0,46400000,200000.0,12100000.0,-1400000.0,-0.14,-100000,2000000,0.0,2800000.0,0.0,11100000,-2000000,900000,2300000,-9900000,35800000.0,,0.0,19100000,6400000.0,200000.0,2300000,18200000.0,900000.0,9300000,-8300000,-466800000,1600000,8900000,-1100000,20700000,21100000,3200000.0,74200000,102300000,-10100000,28100000,70900000.0,3100000.0,-4000000.0,21900000.0,1300000.0,0.0,1900000,30000000,-10100000,-10100000,-0.14,0.0,28200000,6100000,7300000.0,300000.0,,5800000.0,13900000.0,15400000,17700000.0,,,,
2013-09-30,3700000.0,,-6000000.0,71400000.0,28200000,33400000,100000,600000.0,74700000,,0.0,-1000000.0,,33400000,1800000.0,47600000,200000.0,7400000.0,-3800000.0,-0.08,-100000,-1900000,0.0,3800000.0,0.0,11800000,-2200000,1600000,1900000,-5800000,42900000.0,,0.0,19700000,6600000.0,0.0,1900000,14200000.0,1100000.0,5200000,-4100000,-472800000,1700000,8000000,-600000,21600000,27400000,3200000.0,81700000,110100000,-6000000,28400000,71400000.0,2800000.0,-3500000.0,27600000.0,2100000.0,0.0,1800000,35400000,-6000000,-6000000,-0.08,0.0,33400000,1700000,10000000.0,-2700000.0,,5200000.0,15300000.0,20300000,21600000.0,,,,
2013-12-31,3600000.0,,-2600000.0,,33400000,36400000,100000,700000.0,84100000,,0.0,-1000000.0,-26600000.0,43200000,2200000.0,54600000,300000.0,6700000.0,-4500000.0,,-100000,-2300000,0.0,4200000.0,0.0,12600000,-2300000,4400000,4900000,-2300000,51700000.0,47300000.0,0.0,20700000,6600000.0,0.0,5100000,11400000.0,800000.0,9800000,-400000,-475400000,1900000,6300000,2100000,23800000,32100000,3200000.0,93100000,122500000,-2600000,29400000,,1700000.0,-3900000.0,34100000.0,-500000.0,-200000.0,1900000,38400000,-2600000,-2600000,,0.0,43200000,500000,9000000.0,900000.0,,4600000.0,17600000.0,22700000,26100000.0,,,,
2014-03-31,3400000.0,,-12500000.0,73300000.0,43200000,42100000,100000,600000.0,90000000,-500000.0,0.0,-1000000.0,,45700000,2200000.0,57400000,200000.0,2600000.0,2200000.0,-0.17,-100000,-1900000,,4800000.0,,14500000,-3900000,-2400000,9200000,-12300000,47100000.0,,,22900000,8700000.0,0.0,9700000,11700000.0,1400000.0,2500000,-10400000,-487900000,1900000,5200000,-6300000,27600000,29700000,3200000.0,93600000,124900000,-12500000,31300000,73300000.0,1100000.0,-3000000.0,29800000.0,-100000.0,0.0,1800000,34900000,-12500000,-12500000,-0.17,0.0,45700000,-4300000,8900000.0,200000.0,,4100000.0,17300000.0,21000000,23800000.0,,,,
