date,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyGoodwill
1991-03-31,400000.0,-1000000.0,,,,,12400000.0,300000,,100000.0,,,0.0,0.0,,,,300000,300000,,,,,,,,,-400000.0,,,200000.0,,600000.0,,,,-100000.0,,12400000.0,,,,-100000.0,,,,,,,600000,-200000.0,,,,500000,,400000.0,,-400000.0,,,11600000.0,700000,,,200000.0,,,,,,,,,,,
1991-06-30,400000.0,-1000000.0,,,,,12400000.0,400000,,0.0,,,0.0,0.0,,,,400000,400000,,,,,,,,,-400000.0,,,200000.0,,,,,,-100000.0,,12400000.0,,,,-100000.0,,,,,,,600000,-200000.0,,,,500000,,400000.0,,-400000.0,,,11500000.0,600000,,,200000.0,,,,,,,,,,,
1991-09-30,400000.0,-1100000.0,,,,,12300000.0,300000,,100000.0,,,0.0,0.0,,,,300000,300000,,,,,,,,,-400000.0,,,200000.0,,,,,,-200000.0,,12300000.0,,,,100000.0,,,,,,,700000,200000.0,,,,500000,,400000.0,,-400000.0,,,11100000.0,800000,,,-200000.0,,,,,,,,,,,
1991-12-31,300000.0,-1300000.0,,,,,12200000.0,300000,,100000.0,,,0.0,100000.0,,,,300000,300000,,,,,,,0.0,,-400000.0,,,,,,,,,-100000.0,0.0,12100000.0,,,,,,,,,,,500000,400000.0,,,,400000,,300000.0,,-400000.0,,,11000000.0,600000,,,-500000.0,,0.0,,,,,,,,,
1992-03-31,,-1300000.0,,,,,12200000.0,400000,,,,,0.0,100000.0,,,,400000,400000,,,,,,,,,-400000.0,,,200000.0,,1000000.0,,,,-100000.0,,12100000.0,,,,-400000.0,,,,,,,600000,-800000.0,,,,500000,,,,-400000.0,,,10900000.0,600000,,,,,-400000.0,,,,,,,,,
1992-06-30,,-1300000.0,,,,,12200000.0,400000,,,,,0.0,100000.0,,,,400000,400000,,,,,,,,,-400000.0,,,,,,,,,-100000.0,,12100000.0,,,,-300000.0,,,,,,,600000,-600000.0,,,,500000,,,,-400000.0,,,10800000.0,600000,,,,,-200000.0,,,,,,,,,
1992-09-30,1300000.0,-1400000.0,,,,100000.0,23400000.0,400000,,200000.0,,,-1000000.0,8900000.0,,,,400000,400000,,,,8500000.0,,,,,-500000.0,,,200000.0,,,,,,-200000.0,,14500000.0,,,,600000.0,,,,,200000.0,,1100000,1600000.0,,,,900000,,1300000.0,,-1500000.0,,,22200000.0,1300000,,,-1000000.0,,200000.0,,,,,,,,,
1992-12-31,600000.0,-1500000.0,,,,,23100000.0,400000,,100000.0,,,9000000.0,8700000.0,,,-100000.0,400000,400000,,,,,,,0.0,,-500000.0,,100000.0,,,,,,,-300000.0,-400000.0,14400000.0,,,0.0,,,,,,100000.0,,1100000,0.0,,,,800000,,600000.0,,-600000.0,,,22000000.0,1200000,,,100000.0,,-100000.0,,,,,,,,,
1993-03-31,500000.0,-1500000.0,,,,,23100000.0,400000,,100000.0,,,0.0,8800000.0,,,,400000,400000,,,,8500000.0,,,-100000.0,,-500000.0,,100000.0,,,500000.0,,,,-300000.0,-100000.0,14300000.0,,,,100000.0,,,,,100000.0,,1100000,200000.0,,,,800000,,500000.0,,-500000.0,,,21900000.0,1200000,,,-200000.0,,-100000.0,,,,,,,,,
1993-06-30,-15900000.0,-1400000.0,,,,100000.0,45200000.0,600000,,100000.0,,,22100000.0,4700000.0,,,,600000,600000,,,,4300000.0,,,-21200000.0,,-500000.0,,100000.0,,,,,,,-200000.0,-4700000.0,40500000.0,,,,-300000.0,,,,,100000.0,,1200000,-400000.0,,,,1000000,,600000.0,,21600000.0,,,38300000.0,1300000,,,300000.0,,1100000.0,,,,,,,,,
1993-09-30,1100000.0,-2700000.0,,,,200000.0,45500000.0,900000,,200000.0,,,-200000.0,5700000.0,,,0.0,900000,900000,,,,4300000.0,,,-1000000.0,,-1100000.0,,100000.0,,,,,,,-300000.0,-1000000.0,39800000.0,,,0.0,0.0,,,,,100000.0,,1700000,0.0,,,,1400000,,1100000.0,0.0,-1300000.0,,,38600000.0,1900000,,0.0,0.0,,-1300000.0,,,,,,,,,
1993-12-31,-13200000.0,-1100000.0,,,,200000.0,91600000.0,1600000,,200000.0,,,45500000.0,500000.0,,,300000.0,1600000,1600000,,,,,,,-26300000.0,,-1100000.0,,,,,,,,,-500000.0,-11500000.0,91100000.0,,,-4300000.0,-100000.0,,,,,100000.0,,2800000,400000.0,,,,2300000,,1600000.0,-14800000.0,44400000.0,,,51900000.0,3000000,,47600000.0,-600000.0,,19700000.0,,,,,,,,,
1994-03-31,-5800000.0,-1500000.0,,,,300000.0,91700000.0,1700000,,200000.0,,,-100000.0,1000000.0,,,,1700000,1700000,,,,,,,-16600000.0,,-2100000.0,,,,,19800000.0,,,,-400000.0,-8900000.0,90700000.0,,,,100000.0,,,,,,,2800000,200000.0,,,,2400000,,1900000.0,-7700000.0,-2200000.0,,,60700000.0,3000000,,,-200000.0,,-16900000.0,,,,,,,,,
1994-06-30,-6100000.0,-1600000.0,,,,100000.0,99200000.0,2000000,,400000.0,,,7700000.0,8600000.0,,,,2000000,2000000,,,,7600000.0,,,-9200000.0,,-2200000.0,,100000.0,,,,,,,-600000.0,-800000.0,90600000.0,,,,-300000.0,,,,,100000.0,,3400000,-400000.0,,,,2800000,,2300000.0,-8400000.0,5500000.0,,,69000000.0,3800000,,,300000.0,,-1500000.0,,,,,,,,,
1994-09-30,-15500000.0,-1700000.0,,,,100000.0,124100000.0,2200000,,300000.0,,,-8000000.0,33500000.0,,,200000.0,2200000,2200000,,,,31500000.0,,,-24100000.0,,-2200000.0,,100000.0,,,,,,,-600000.0,-6000000.0,90600000.0,,,,-200000.0,,,,,300000.0,,3700000,0.0,,,,3100000,,2600000.0,-18100000.0,20900000.0,,,88000000.0,4000000,,,100000.0,,-500000.0,,,,,,,,,
1994-12-31,-41800000.0,-2100000.0,,,,100000.0,152200000.0,3000000,,400000.0,,,-3100000.0,15500000.0,,,-200000.0,3000000,3000000,,,,14800000.0,,,-29200000.0,,-3400000.0,,,,,,,,,-700000.0,15300000.0,136700000.0,,,-31700000.0,100000.0,,,,,100000.0,,4600000,-200000.0,,,,3900000,,2700000.0,-44500000.0,26600000.0,,,106100000.0,5000000,,,0.0,,100000.0,,,,,,,,,
1995-03-31,400000.0,-2400000.0,,,,200000.0,159200000.0,3100000,,400000.0,,,7300000.0,22900000.0,,,-100000.0,3100000,3100000,,,,22100000.0,,,-5700000.0,,-3400000.0,,,,,1100000.0,,,,-700000.0,-2800000.0,136300000.0,,,,100000.0,,,,,400000.0,,5100000,0.0,,,,4400000,,3300000.0,-2900000.0,3900000.0,,,108900000.0,5500000,,,-200000.0,,1400000.0,,,,,,,,,
1995-06-30,-24700000.0,-2700000.0,,,,200000.0,194400000.0,3100000,,500000.0,,,35100000.0,58300000.0,,,,3100000,3100000,,,,57500000.0,,,-35500000.0,,-3400000.0,,100000.0,,,,,,,-800000.0,-7300000.0,136100000.0,,,,-200000.0,,,,,700000.0,,5500000,-200000.0,,,,4700000,,3500000.0,-28200000.0,31700000.0,,,136500000.0,6000000,,,100000.0,,-300000.0,,,,,,,,,
1995-09-30,-12400000.0,-6200000.0,,,,100000.0,209700000.0,3200000,,600000.0,,,15100000.0,77100000.0,,,,3200000,3200000,,,,72900000.0,,,-17400000.0,,-3300000.0,,100000.0,,,,,,,-900000.0,-1500000.0,132600000.0,,,-100000.0,,,,,,1200000.0,,6200000,,,,,5300000,,3500000.0,-15900000.0,11800000.0,,,152200000.0,6800000,,,-500000.0,,-2000000.0,,,,,,,,,
1995-12-31,-15734971.0,-2904275.0,,,,121850.0,219256676.0,3307271,,558197.0,,,-562404.0,83414563.0,56829126.0,,,3307271,3307271,,,,82600000.0,,,-8918456.0,,-3429860.0,,100000.0,,116637.0,,,,,6438721.0,10656292.0,135842113.0,,,-14648243.0,,,,300714.0,300714.0,1500000.0,,-558341,,448145.0,,,5880380,,3839777.0,-19574748.0,5209493.0,,,155956739.0,-144,,,-440807.0,,130814.0,,,,,,,,,
1996-03-31,-33700000.0,-2300000.0,,,,400000.0,263100000.0,4000000,,700000.0,,,-100000.0,77700000.0,,,100000.0,4000000,4000000,,,,76700000.0,,,-44000000.0,,-3400000.0,,200000.0,,,300000.0,,,,-1100000.0,-5400000.0,185400000.0,,,-77100000.0,200000.0,,,,,1500000.0,,8000000,600000.0,,,,6900000,,4900000.0,-38600000.0,39200000.0,,,194600000.0,8700000,-3100000.0,52300000.0,-400000.0,,100000.0,,,,,,,,,
1996-06-30,-21300000.0,-2300000.0,,,,300000.0,317500000.0,4500000,,800000.0,,,-4000000.0,132100000.0,,,0.0,4500000,4500000,,,,131100000.0,,,-47300000.0,,-4500000.0,,300000.0,,,,,,,-1200000.0,,185400000.0,,,400000.0,-100000.0,,,,,1600000.0,,8800000,-200000.0,,,,7600000,,4800000.0,-26100000.0,42900000.0,,,227600000.0,9600000,,0.0,-300000.0,,400000.0,,,,,,,,,
1996-09-30,-17200000.0,-1900000.0,,,,300000.0,350500000.0,5100000,,1000000.0,,,-3000000.0,100900000.0,,,300000.0,5100000,5100000,,,,99200000.0,,,-22900000.0,,-4700000.0,,400000.0,,,,,,,-1400000.0,,249600000.0,,,-54400000.0,-1800000.0,,,,,2500000.0,,10600000,-3000000.0,,,,9200000,,6000000.0,-23200000.0,26800000.0,,,249600000.0,11600000,,67900000.0,2900000.0,,10000000.0,,,,,,,,,
1996-12-31,-50516000.0,-1933000.0,,,,283000.0,370953000.0,6239000,,1052000.0,,,-370000.0,118379000.0,,,600000.0,6239000,6239000,,,,117049000.0,,,-30047000.0,,-6268000.0,,400000.0,,208000.0,,,,,9997000.0,25426000.0,252574000.0,,,-10947000.0,-1000000.0,,,1410000.0,1410000.0,1700000.0,,-328000,751000.0,151000.0,,,9669000,,6516000.0,-57032000.0,14240000.0,,,361444000.0,724000,,10675000.0,-1487000.0,,-9391000.0,,,,,,,,,
1997-03-31,-53500000.0,-1400000.0,,,,500000.0,433200000.0,6700000,,1200000.0,,,-2000000.0,142400000.0,,,200000.0,6700000,6700000,,,,140500000.0,,,-63000000.0,,-6200000.0,,400000.0,,,1400000.0,,,,-1700000.0,-1700000.0,290800000.0,,,-39400000.0,100000.0,,,,,2400000.0,,13000000,600000.0,,,,11300000,,7800000.0,-61300000.0,55100000.0,,,421500000.0,14200000,,39800000.0,-700000.0,,-100000.0,,,,,,,,,
1997-06-30,-34600000.0,-1200000.0,,,,200000.0,473500000.0,7200000,,1300000.0,,,-300000.0,182500000.0,,,-100000.0,7200000,7200000,,,,181600000.0,,,-41600000.0,,-7000000.0,,400000.0,,,,,,,-1900000.0,100000.0,291000000.0,,,-300000.0,100000.0,,,,,2700000.0,,13900000,0.0,,,,12000000,,7100000.0,-41700000.0,34000000.0,,,461900000.0,15200000,,100000.0,-1500000.0,,-500000.0,,,,,,,,,
1997-09-30,-6600000.0,-600000.0,,,,300000.0,500900000.0,7600000,,1400000.0,,,-700000.0,153900000.0,,,200000.0,7600000,7600000,,,,152100000.0,,,-23100000.0,,-7100000.0,,600000.0,,,,,,,-2000000.0,-7400000.0,347000000.0,,,-52400000.0,-2200000.0,,,,,3500000.0,,15200000,-4000000.0,,,,13200000,,9100000.0,-15700000.0,18500000.0,,,366100000.0,16600000,,56300000.0,4100000.0,,4500000.0,,,,,,,,,
1997-12-31,-55417000.0,71000.0,,,,216000.0,537014000.0,8785000,,1402000.0,,,-860000.0,174870000.0,3925000.0,,200000.0,8785000,8785000,,,,115100000.0,,,-39302000.0,,-8081000.0,,800000.0,,280000.0,,,,,15425000.0,-12677000.0,362144000.0,,,-6037000.0,2100000.0,,,2160000.0,2160000.0,2900000.0,56736000.0,-2090000,4594000.0,1357000.0,,,13335000,,10010000.0,-65427000.0,26142000.0,,,519724000.0,-688000,,15320000.0,-4135000.0,,-3150000.0,,,,,,,,,
1998-03-31,4000000.0,-3900000.0,,,,1800000.0,552800000.0,4400000,,1600000.0,,,-1000000.0,174400000.0,,,200000.0,4400000,4400000,,,,170100000.0,,,-6700000.0,,-8500000.0,,500000.0,,,2200000.0,,,,-6200000.0,-800000.0,378400000.0,,,-106800000.0,-1200000.0,,,,,3000000.0,,21700000,-2000000.0,,,,15500000,,9900000.0,-5900000.0,5200000.0,,,524700000.0,23300000,,17300000.0,5900000.0,,8500000.0,,,,,,,,,
1998-06-30,-29600000.0,-3500000.0,,,,1400000.0,585600000.0,9500000,,1600000.0,,,-300000.0,205600000.0,,,1200000.0,9500000,9500000,,,,199300000.0,,,-41700000.0,,-9000000.0,,2200000.0,,,,,,,-1600000.0,-800000.0,380000000.0,,,-8800000.0,-1500000.0,,,,,2900000.0,,16900000,-600000.0,,,,15300000,,11300000.0,-40900000.0,20700000.0,,,564900000.0,18500000,,1200000.0,800000.0,,-9800000.0,,,,,,,,,
1998-09-30,-16500000.0,-2600000.0,,,,2200000.0,612100000.0,10000000,,1700000.0,,,-200000.0,229800000.0,,,-1500000.0,10000000,10000000,,1300000.0,,223700000.0,,,-19300000.0,,-9100000.0,,800000.0,,,,,,,-1700000.0,4800000.0,382300000.0,,,-2800000.0,-1600000.0,,,,,3300000.0,,18900000,-6200000.0,,,,17200000,,7600000.0,-24100000.0,16600000.0,,,584300000.0,20600000,,1400000.0,2100000.0,,5000000.0,,,,,,,,,
1998-12-31,53788000.0,-3160000.0,,,,2335000.0,685595000.0,8541000,,1859000.0,,,-237000.0,301705000.0,3850000.0,,2700000.0,8541000,8541000,,-4400000.0,,138100000.0,,,-77943000.0,,-9072000.0,,2600000.0,,295000.0,,,,,27094000.0,-125218000.0,383890000.0,,,-5038000.0,-1800000.0,,,1442000.0,1442000.0,4300000.0,154807000.0,-11082000,5213000.0,5389000.0,,,16012000,,12460000.0,41328000.0,61165000.0,,,658757000.0,-9223000,,1283000.0,-1757000.0,,-4418000.0,,,,,,,,,
1999-03-31,-46300000.0,-2600000.0,,,,2300000.0,713600000.0,9800000,,2000000.0,,,100000.0,322500000.0,,,-1000000.0,9800000,9800000,,,,315400000.0,,,-26900000.0,,-9300000.0,,800000.0,,,1400000.0,,,,-7000000.0,30500000.0,391100000.0,,,-3800000.0,-100000.0,,,,,4800000.0,,30900000,-2200000.0,,,,23900000,,11100000.0,-57400000.0,15000000.0,,,683900000.0,32900000,,1700000.0,1500000.0,,-900000.0,,,,,,,,,
1999-06-30,1800000.0,-4900000.0,,,,1900000.0,727000000.0,7200000,,2100000.0,,,1600000.0,334800000.0,,,1900000.0,7200000,6600000,,,,327700000.0,,,-10800000.0,,-9400000.0,,2600000.0,,,,,,,-5300000.0,1000000.0,392200000.0,,,-103000000.0,-700000.0,,,,,5400000.0,,24500000,2400000.0,,,,19200000,,13600000.0,-11800000.0,2000000.0,,,673900000.0,26600000,,200000.0,7700000.0,,4900000.0,,,,,,,,,
1999-09-30,8300000.0,,,,,1200000.0,744000000.0,8800000,,2100000.0,,,-600000.0,351400000.0,,,8900000.0,8800000,8800000,,,,255600000.0,,,-23500000.0,1600000.0,-9400000.0,,2900000.0,,300000.0,5400000.0,,,,-3100000.0,-60300000.0,392600000.0,,,105400000.0,100000.0,,,,,5700000.0,89800000.0,22100000,18000000.0,,,,19000000,,11700000.0,-3400000.0,8000000.0,,,550100000.0,24200000,,200000.0,-23000000.0,,-3800000.0,,,,,,,,,
1999-12-31,6112000.0,-5344000.0,,,,780000.0,749789000.0,9511000,,2434000.0,,,1134000.0,358427000.0,35943000.0,,-9900000.0,9511000,9511000,,0.0,,108700000.0,,,-3236000.0,3329000.0,-9395000.0,,2700000.0,,303000.0,1600000.0,,,,46470000.0,28833000.0,391362000.0,,,-131349000.0,-1700000.0,,-34150000.0,3329000.0,3329000.0,6100000.0,242271000.0,-32427000,-18806000.0,1761000.0,,,14043000,,11476000.0,-5364000.0,-6553000.0,,,671684000.0,-29993000,,80000.0,25072000.0,,1687000.0,,,,,,,,,
2000-03-31,15371000.0,-6078000.0,,,,1250000.0,751881000.0,8644000,,2288000.0,-6914000.0,,-55000.0,360668000.0,58939000.0,,1183000.0,8644000,8644000,,,,111600000.0,,,-6347000.0,4510000.0,-9378000.0,,3349000.0,,303000.0,3329000.0,,,,4129000.0,-216000.0,391213000.0,,,-7787000.0,-461000.0,,79000.0,4510000.0,4510000.0,6646000.0,240589000.0,16458000,883000.0,1309000.0,,,20587000,,15505000.0,-134000.0,-7977000.0,,,665779000.0,18746000,,143000.0,3690000.0,,1181000.0,,,,,,,,,
2000-06-30,10010000.0,-6901000.0,,,,1236000.0,761490000.0,8574000,,2254000.0,-12907000.0,,3000.0,370689000.0,70056000.0,,-1095000.0,8574000,8574000,,,,121500000.0,,,-13654000.0,2101000.0,-9397000.0,,3100000.0,,303000.0,4510000.0,,,,3857000.0,-232000.0,390801000.0,,,-7096000.0,2078000.0,,574000.0,2101000.0,2101000.0,6233000.0,240011000.0,15727000,1017000.0,2176000.0,,,19584000,,11099000.0,-1089000.0,146000.0,,,665223000.0,17981000,,136000.0,-746000.0,,-2409000.0,,,,,,,,,
