date,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyInventory,quarterlyNetPPE,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEndCashPosition,quarterlyChangeInWorkingCapital,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyLongTermDebt,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2016-03-31,54559308.0,29200000.0,,,29200000,0.0,,47000000,0.861448,-51800000,47000000,,-15400000,,,67200000,,1400000,,47000000,,0,2600000,15400000,0.861448,,,,22600000,47000000,,0,,,,,118900000,47000000,0,-2400000,-10300000,48400000,,1400000,,-44600000.0,,,,,-51800000,69600000,,,70500000,,,0.0,,,,,54559308.0,,,,,,,,,,,,,,
2016-06-30,54559308.0,34400000.0,,,34400000,0.0,,40100000,0.73498,-67100000,40100000,,-40400000,,,107500000,,3900000,,40100000,,0,1000000,40400000,0.73498,,,,24800000,40100000,,0,,,1200000.0,,119000000,41300000,300000,41700000,30300000,45200000,,3900000,,-74800000.0,,,,,-67100000,66100000,,,73800000,,,0.0,,,,,54559308.0,,,,,,,,,,,,,,
2016-09-30,54559308.0,0.0,,,45600000,0.0,,48400000,0.887108,-65300000,48400000,,-36800000,,,102100000,,2300000,,48400000,,0,-1400000,36800000,0.887108,,,,24700000,48400000,,300000,,,0.0,,120300000,48400000,300000,29000000,26100000,50700000,,2300000,0.0,-82400000.0,,,,,-65300000,73100000,0.0,,69600000,,,0.0,,,,,54559308.0,,,,,,,,,,,,,,
2016-12-31,,73600000.0,0.0,2518600000.0,73600000,0.0,,71000000,,-79400000,71000000,8400000.0,-31500000,-490900000.0,0.0,110900000,4100000.0,2800000,,71000000,,0,3700000,31500000,,2574400000.0,2527000000.0,,27600000,71000000,270100000.0,300000,,,-1400000.0,,151600000,69600000,0,13400000,28700000,72400000,638500000.0,2800000,,-105100000.0,3009500000.0,634200000.0,47400000.0,,-79400000,97200000,,57800000.0,79200000,44600000.0,4300000.0,0.0,,1935900000.0,,500000.0,,4300000.0,,,,,,,,,,,,,
2017-03-31,54559308.0,67100000.0,,2518800000.0,67100000,0.0,,63100000,1.15654,-47400000,63100000,10100000.0,-28200000,-517700000.0,,75600000,1100000.0,1500000,,63100000,,0,-15700000,28200000,1.15654,2591100000.0,2528900000.0,,26800000,63100000,278500000.0,0,,,,,130300000,63100000,0,-14300000,8400000,64600000,318100000.0,1500000,,-95300000.0,3036500000.0,313600000.0,62200000.0,,-47400000,89900000,,34000000.0,65700000,60300000.0,4500000.0,0.0,,2273000000.0,,1900000.0,54559308.0,4500000.0,,,,,,,,,,,,,
2017-06-30,52200000.0,365500000.0,,2507400000.0,-46300000,0.0,,11400000,0.21,-29200000,68100000,3700000.0,-30300000,-546200000.0,,102200000,2100000.0,2400000,,68100000,,42700000,2200000,73000000,0.21,2612700000.0,2511100000.0,43000000.0,28500000,11200000,22700000.0,0,43000000.0,,500000.0,,138300000,68600000,43000000,5300000,-2600000,71000000,53000000.0,2400000,,-349500000.0,3053600000.0,48900000.0,101600000.0,,-29200000,68600000,,24100000.0,67300000,58100000.0,4100000.0,0.0,,0.0,,500000.0,52200000.0,4100000.0,,,,,,,,,,,,,
2017-09-30,54600000.0,0.0,,2506400000.0,-59600000,0.0,,15000000,0.27,-21500000,76500000,3400000.0,-74700000,-574700000.0,,101200000,5100000.0,1700000,,76500000,,5000000,-1600000,79700000,0.27,2618300000.0,2509800000.0,48000000.0,28500000,14700000,19200000.0,43000000,48000000.0,,400000.0,,146700000,76900000,48000000,-4100000,-3500000,78600000,56700000.0,1700000,200000.0,-15100000.0,3081100000.0,50700000.0,108500000.0,,-21500000,76900000,100000.0,26400000.0,68100000,59700000.0,6000000.0,0.0,,0.0,,800000.0,54600000.0,6000000.0,,,,,,,,,,,,,
2017-12-31,54600000.0,0.0,,2520500000.0,-66200000,200000.0,,14800000,0.26,-38300000,77100000,3200000.0,-83400000,-604000000.0,,120900000,7000000.0,2500000,,77100000,,-800000,-100000,82600000,0.26,2635100000.0,2523700000.0,47200000.0,29300000,14500000,34700000.0,48000000,47200000.0,,500000.0,,150500000,77600000,47200000,14300000,15500000,80100000,79800000.0,2500000,200000.0,-17200000.0,3124500000.0,74400000.0,111400000.0,,-38300000,77600000,0.0,32700000.0,70400000,59800000.0,5400000.0,0.0,,0.0,,4400000.0,54600000.0,5400000.0,,,,,,,,,,,,,
2018-03-31,54600000.0,0.0,,2527100000.0,-41100000,,24300000.0,17000000,0.3,-36900000,89000000,2900000.0,-59000000,-634000000.0,,110500000,1800000.0,3100000,-24300000.0,89000000,,-9700000,-7900000,73600000,0.3,2661300000.0,2554300000.0,37500000.0,30000000,16700000,35500000.0,47200000,37500000.0,,300000.0,,157000000,89300000,37500000,-8900000,800000,92400000,75900000.0,3100000,300000.0,-17900000.0,3161100000.0,70400000.0,107000000.0,,-61200000,89300000,100000.0,33100000.0,64600000,66800000.0,5500000.0,,,0.0,,1800000.0,54600000.0,5500000.0,,,,,,,,,,,,,
2018-06-30,54600000.0,0.0,,2578300000.0,-26900000,,41300000.0,17800000,0.32,-60000000,94600000,2700000.0,-45500000,-664100000.0,,141500000,3700000.0,2400000,-17000000.0,94600000,,19000000,5200000,81500000,0.32,2742000000.0,2622300000.0,56500000.0,30200000,17400000,42500000.0,37500000,56500000.0,,400000.0,,164700000,95000000,56500000,16200000,7000000,97400000,107200000.0,2400000,200000.0,-18600000.0,3242400000.0,101700000.0,119700000.0,,-77000000,95000000,300000.0,55500000.0,67300000,62200000.0,5500000.0,,,0.0,,700000.0,54700000.0,5500000.0,,,,,,,,,,,,,
2018-09-30,54600000.0,0.0,,2630500000.0,-25000000,,67300000.0,18800000,0.34,-67000000,96800000,2400000.0,-44300000,-694400000.0,,115400000,5500000.0,2400000,-26000000.0,96800000,,-21900000,-3000000,48400000,0.334552,2805400000.0,2700200000.0,34600000.0,30600000,18300000,36100000.0,56500000,34600000.0,,300000.0,,169500000,97100000,34600000,-12600000,-6400000,99500000,117800000.0,2400000,300000.0,-19300000.0,3324900000.0,111800000.0,105200000.0,,-93000000,97100000,300000.0,70200000.0,70000000,65400000.0,6000000.0,,,0.0,,5100000.0,54700000.0,6000000.0,,,,,,,,,,,,,
2018-12-31,54600000.0,0.0,,2664100000.0,-48900000,,67300000.0,17200000,0.31,-71700000,91900000,2200000.0,-68800000,-726600000.0,,126200000,6800000.0,3600000,0.0,91900000,,-14300000,2500000,54500000,0.305302,2819700000.0,2733600000.0,20300000.0,32200000,16700000,31100000.0,34600000,20300000.0,0.0,300000.0,,171200000,92200000,20300000,1700000,-5000000,95800000,108800000.0,3600000,200000.0,-19900000.0,3390700000.0,102400000.0,86100000.0,,-71700000,92200000,200000.0,64500000.0,75400000,62200000.0,6400000.0,,,0.0,,2800000.0,54700000.0,6400000.0,,,,,,,,,,,,,
2019-03-31,54600000.0,,,2726700000.0,-1600000,,74300000.0,18100000,0.32,-59500000,95300000,2400000.0,-15400000,-759100000.0,,126100000,2800000.0,4000000,-68000000.0,95300000,,-16800000,2600000,66600000,0.32,2870600000.0,2803400000.0,3500000.0,32600000,17300000,28700000.0,20300000,3500000.0,,,,174200000,95700000,3500000,-2400000,-2600000,99700000,86500000.0,4000000,300000.0,-20800000.0,3485800000.0,64900000.0,67200000.0,,-127500000,95700000,300000.0,33400000.0,74500000,60100000.0,21600000.0,,7000000.0,0.0,,3200000.0,54700000.0,14600000.0,,,,,,,,,,,,,
2019-06-30,54600000.0,,,2757400000.0,-36200000,,90300000.0,16800000,0.29,-55900000,90900000,2100000.0,-65000000,-793000000.0,,148300000,4600000.0,3700000,-16000000.0,90900000,,11400000,400000,92400000,0.29,2925900000.0,2849800000.0,14900000.0,34000000,15800000,47900000.0,3500000,14900000.0,,,,172800000,91500000,14900000,22800000,19200000,95200000,108600000.0,3700000,300000.0,-21800000.0,3550400000.0,94100000.0,76100000.0,,-71900000,91500000,300000.0,41600000.0,77600000,59800000.0,14500000.0,,,0.0,,1100000.0,54800000.0,14500000.0,,,,,,,,,,,,,
2019-09-30,54600000.0,,,2823100000.0,-38300000,-500000.0,100800000.0,19100000,0.33,-69000000,100400000,2200000.0,-50200000,-827500000.0,,117800000,6600000.0,3900000,-10000000.0,99400000,,-11400000,-8200000,48800000,0.33,3005300000.0,2926100000.0,3500000.0,34500000,17800000,65300000.0,14900000,3500000.0,,,,195400000,100500000,3500000,-17400000,-10100000,104400000,148300000.0,3900000,300000.0,-22900000.0,3650600000.0,126400000.0,79200000.0,,-79000000,100500000,500000.0,54500000.0,91000000,68200000.0,21900000.0,,11000000.0,0.0,,7400000.0,54800000.0,10900000.0,,,,,,,,,,,,,
