date,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetPPE,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2014-12-31,7963602701.0,4336055871,4019668360,,7121988388,98726406,,812853503.0,1139856517.0,1301535.0,98726406.0,,2908805773,94787849,5081004805,3102320028,6199489609,2029115081,720283714,1555998871,587188398.0,2309379397.0,-18411632.0,-1764113092.0,7866937322,12202993193,,99840269,720283714,1428068962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,6470510818.0,3937722514,2428936537,,6776790088,97024257,,,1191256535.0,330327.0,97024257.0,,4156720391,94108903,5301247701,4347853551,6470510818,1880332300,513665562,370960027,1712939599.0,1921131906.0,0.0,,8140315275,12078037789,,99889769,513665562,1047194873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,8722436769.0,4288421387,3881867630,2335024080.0,7556176833,92493668,,765409559.0,1093335928.0,0.0,92493668.0,,3485566679,96248856,4947759863,3674309203,6649035351,2367407631,393247986,1252972123,541558860.0,0.0,0.0,-2073401418.0,8215515309,12503936696,,99908769,393247986,1444286603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,7599639897.0,4721741655,4150001588,,8673187920,88815535,,,1578770393.0,0.0,88815535.0,,4196242701,201433257,6831811002,4523186332,7599639897,2089267784,631769851,1470033035,3380330742.0,2536038366.0,0.0,,10783257267,15504998922,,113662437,631769851,1325217223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,10393244063.0,4845423190,4723674697,,8848948994,90486296,,1524637585.0,1661664133.0,0.0,90486296.0,,3795051403,203135117,6779564222,4125274297,7714004475,1785142568,1015254277,1221694623,1271363577.0,5589715.0,0.0,-2679239588.0,10783090026,15628513216,,113741237,1015254277,1714425420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,9083321625.0,5296137079,4958186347,,9417831703,132939022,,,1580395002.0,0.0,132939022.0,,4074892789,207481444,8106827005,4459645356,9083321625,2405557300,914714961,896472025,3868882364.0,3841047409.0,0.0,,12228521629,17524658708,,119413237,914714961,2332762232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,13503240840.0,5921581637,5285731078,,10237439972,142848544,,1621045950.0,1853884678.0,,142848544.0,,4546533429,211437204,8736468376,4951708894,9782015211,3048179318,534589786,689740941,1292842105.0,,,-3721225629.0,13052326711,18973908348,,119416737,534589786,2681604824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,9995722661.0,6200195502,5999875047,,10530714277,141947363,,,1751205192.0,,141947363.0,,4120594791,211017484,8920861534,4530839230,9995722661,3285029757,491341212,1693034197,2888272320.0,57069076.0,,,13251380309,19451575811,,119439237,491341212,2482533378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,14340253817.0,5785447932,5649328966,,10337684487,215070111,,1590966900.0,1883774769.0,,215070111.0,,4222929034,208522060,8729916411,4688355521,10047991831,2745883730,574465154,1022567206,1232147442.0,,,-4292261986.0,13282152966,19067600898,,119485237,574465154,2394244325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,10347059686.0,5632215236,5302067929,,10278206844,234660839,,,1744664477.0,,234660839.0,,4384533800,197959459,8970154638,4976138915,10347059686,2924046275,486922621,395754598,,,,,13616146246,19248361482,,119499737,486922621,2832006745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,10108628924.0,5929532573,5610214869,,9818275653,266342534,,,1912093870.0,,,,3571991892,193616342,9463211302,4208060784,10108628924,3223321363,460387446,584195903,,,,,13351954382,19281486955,,119510337,460387446,2621388896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
