date,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyFreeCashFlow,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyBasicEPS,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGrossProfit,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyOtherNonCashItems,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDilutedAverageShares,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments
1986-09-30,,,,1144800000.0,,241900000.0,,101100000,,,,683500000.0,,328300000.0,,,896400000.0,,,,,,,,,288400000.0,288400000.0,,3769000000.0,1336700000.0,,,198400000.0,,,,183700000.0,,,-2930800000,1395000000.0,,,,,,,,,1725000000.0,1265200000,,,,,,-2930800000,,2362800000.0,527800000.0,,,,867200000.0,2432300000.0,,,2374000000.0,,199500000.0,-828600000.0,207500000.0,,,,,
1986-12-31,,,,,,,,105200000,,,,,,,,,,,0.12,,,,,,,,,,,,,872324000.0,,,,,,,,1358000000,,,0.12,,,,,,,,1358000000,,,,,,1358000000,,,,,,,,,872324000.0,,,,,,,,,,,
1987-03-31,,,,,,,,115400000,,,,,,,,,,,0.125,,,,,,,,,,,,,872636000.0,,,,,,,,1533200000,,,0.125,,,,,,,,1533200000,,,,,,1533200000,,,,,,,,,872636000.0,,,,,,,,,,,
1987-06-30,,,,,,,,119000000,,,,,,,,,,,0.13,,,,,,,,,,,,,941876000.0,,,,,,,,1566400000,,,0.13,,,,,,,,1566400000,,,,,,1566400000,,,,,,,,,941876000.0,,,,,,,,,,,
1987-09-30,,,,1257800000.0,,252600000.0,,123500000,,,,961100000.0,,553000000.0,,,1126300000.0,,,,,,,,,130300000.0,130300000.0,,4867800000.0,2212400000.0,,,833500000.0,,,,363700000.0,,,-3607700000,2165300000.0,,,,,,,,,2081800000.0,1639700000,,,,,,-3607700000,,2666600000.0,840500000.0,,,,1324800000.0,2655400000.0,,,2702500000.0,,287500000.0,-955500000.0,267800000.0,,,,,
1987-12-31,,,,,,,,124900000,,,,,,,,,,,0.135,,,,,,,,,,,,,925244000.0,,,,,,,,1578200000,,,0.135,,,,,,,,1578200000,,,,,,1578200000,,,,,,,,,925244000.0,,,,,,,,,,,
1988-03-31,,,,,,,,132600000,,,,,,,,,,,0.145,,,,,,,,,,,,,918496000.0,,,,,,,,1627700000,,,0.145,,,,,,,,1627700000,,,,,,1627700000,,,,,,,,,918496000.0,,,,,,,,,,,
1988-06-30,,,,,,,,137200000,,,,,,,,,,,0.15,,,,,,,,,,,,,918496000.0,,,,,,,,1698500000,,,0.15,,,,,,,,1698500000,,,,,,1698500000,,,,,,,,,918496000.0,,,,,,,,,,,
1988-09-30,,,,1334600000.0,,305800000.0,,134100000,,,,1099300000.0,,481400000.0,,,1121500000.0,,,,,,,,,108000000.0,108000000.0,,5027000000.0,2263500000.0,,,836200000.0,,,,338700000.0,,,-3908900000,2206900000.0,,,,,,,,,2168200000.0,1747100000,,,,,,-3908900000,,2966200000.0,768900000.0,,,,1438000000.0,2763500000.0,,,2820100000.0,,287500000.0,-1046700000.0,263900000.0,,,,,
1988-12-31,,,,,,,,136800000,,,,,,,,,,,0.155,,,,,,,,,,,,,901512000.0,,,,,,,,1719800000,,,0.155,,,,,,,,1719800000,,,,,,1719800000,,,,,,,,,901512000.0,,,,,,,,,,,
1989-03-31,,,,,,,,147800000,,,,,,,,,,,0.165,,,,,,,,,,,,,898380000.0,,,,,,,,1805300000,,,0.165,,,,,,,,1805300000,,,,,,1805300000,,,,,,,,,898380000.0,,,,,,,,,,,
1989-06-30,,,,1315300000.0,-4700000.0,554000000.0,,153800000,153800000.0,,,722300000.0,,623800000.0,,95600000.0,1175500000.0,394300000.0,0.175,,,1115600000.0,,,,99900000.0,99900000.0,153800000.0,5363700000.0,2524000000.0,,878857143.0,794500000.0,,,,275300000.0,19600000.0,,273700000,2387900000.0,,0.175,,,668000000.0,,393300000.0,,2304000000.0,1783600000,,,,,,332400000,,3215600000.0,997000000.0,,249400000.0,,1390900000.0,2839700000.0,878857143.0,,2975800000.0,335600000.0,373200000.0,-1128500000.0,182000000.0,,,,,
1989-09-30,-217500000.0,2900000.0,0.0,1286000000.0,-8800000.0,567900000.0,-83300000.0,149600000,149600000.0,308000000.0,,784800000.0,12800000.0,418900000.0,,92200000.0,1197700000.0,394700000.0,,,,1099600000.0,0.0,224700000.0,,112700000.0,112700000.0,149600000.0,5408000000.0,2557500000.0,,,791900000.0,,54400000.0,2700000.0,323800000.0,17700000.0,-2500000.0,268300000,2334600000.0,,,,103200000.0,663000000.0,,424600000.0,,2335300000.0,1762600000,800000.0,22100000.0,0.0,-82000000.0,-62400000.0,322700000,0.0,3302100000.0,801400000.0,-3300000.0,241800000.0,,1533200000.0,2850500000.0,,,3073400000.0,340300000.0,382500000.0,-1137600000.0,211400000.0,,,,,
1989-12-31,78700000.0,800000.0,0.0,1339100000.0,-6700000.0,632400000.0,-57400000.0,141900000,141900000.0,116800000.0,,740000000.0,-14200000.0,418000000.0,,87000000.0,1222500000.0,384600000.0,0.16,,,1010100000.0,112700000.0,59400000.0,,98500000.0,98500000.0,141900000.0,5534200000.0,2683900000.0,,886875000.0,829000000.0,,60900000.0,,481000000.0,15800000.0,,251400000,2381600000.0,,0.16,,-94700000.0,636000000.0,,354500000.0,,2413600000.0,1646100000,8700000.0,-19800000.0,0.0,-205000000.0,-70300000.0,312300000,,3373700000.0,806100000.0,-147600000.0,228900000.0,,1575500000.0,2850300000.0,886875000.0,,3152600000.0,323700000.0,388100000.0,-1191100000.0,311600000.0,,,,,
1990-03-31,544800000.0,1900000.0,0.0,1538100000.0,-11000000.0,610900000.0,-68600000.0,156200000,156200000.0,153400000.0,,828200000.0,45000000.0,505600000.0,,95700000.0,1440600000.0,420300000.0,0.175,,,1194500000.0,0.0,84800000.0,,143500000.0,143500000.0,156200000.0,6865500000.0,3313100000.0,,892571429.0,1261600000.0,,66500000.0,,1232000000.0,28500000.0,,291400000,3610300000.0,,0.175,,-55300000.0,711700000.0,,553700000.0,,2684700000.0,1906200000,-14000000.0,9000000.0,0.0,-662300000.0,-70200000.0,357900000,,3457600000.0,996400000.0,-593700000.0,251900000.0,,2613900000.0,3552400000.0,892571429.0,,3255200000.0,353800000.0,490800000.0,-1244100000.0,443300000.0,,,,,
1990-06-30,-181400000.0,2600000.0,0.0,1539400000.0,-1700000.0,637100000.0,-83000000.0,160500000,160500000.0,244600000.0,,865400000.0,19000000.0,489500000.0,,97900000.0,1564300000.0,439400000.0,0.18,,,1244700000.0,0.0,161600000.0,,162500000.0,162500000.0,160500000.0,6948100000.0,3431500000.0,,891666667.0,1230100000.0,,73200000.0,,1122400000.0,38100000.0,,298200000,3573400000.0,,0.18,,-1300000.0,737600000.0,,548500000.0,,2868400000.0,1982300000,12200000.0,16600000.0,0.0,-46200000.0,-70300000.0,371400000,,3547700000.0,1037100000.0,-70800000.0,258400000.0,,2536300000.0,3516600000.0,891666667.0,,3374700000.0,366200000.0,547600000.0,-1304100000.0,369200000.0,,,,,
1990-09-30,-288300000.0,900000.0,0.0,1391600000.0,-18300000.0,663900000.0,-100700000.0,154600000,154600000.0,311700000.0,,871900000.0,-64200000.0,496200000.0,,95200000.0,1535800000.0,453400000.0,,,,1283200000.0,0.0,211000000.0,,98300000.0,98300000.0,154600000.0,6376400000.0,3237700000.0,,,1038000000.0,,68700000.0,,918000000.0,34100000.0,,302200000,3386500000.0,,,,61000000.0,755600000.0,,546000000.0,,2793500000.0,2038800000,27400000.0,51800000.0,0.0,-95300000.0,-70400000.0,370900000,,3109000000.0,1050600000.0,5400000.0,249800000.0,,2335900000.0,3138700000.0,,,2989900000.0,384700000.0,554400000.0,-1257700000.0,238800000.0,,,,,
1990-12-31,39800000.0,,-73700000.0,1423900000.0,-6000000.0,667100000.0,-55300000.0,146800000,146800000.0,122900000.0,,825400000.0,41500000.0,392500000.0,,86200000.0,1547300000.0,427700000.0,0.165,,,1102600000.0,98300000.0,67600000.0,,139800000.0,139800000.0,146800000.0,6448500000.0,3309800000.0,,889696970.0,1095400000.0,,73600000.0,-67700000.0,1153600000.0,31300000.0,,270300000,3347200000.0,,0.165,,-95600000.0,698000000.0,,432200000.0,,2867000000.0,1800600000,-1900000.0,-13600000.0,0.0,-123000000.0,,343900000,-1000000.0,3183000000.0,936000000.0,0.0,233000000.0,,2411200000.0,3138700000.0,889696970.0,,3101300000.0,354100000.0,543500000.0,-1319700000.0,232200000.0,,,,,
1991-03-31,-43500000.0,,-73600000.0,1402800000.0,400000.0,673100000.0,-75400000.0,160700000,160700000.0,212300000.0,,785800000.0,-11900000.0,430800000.0,,94400000.0,1565500000.0,436300000.0,0.18,,,1164800000.0,0.0,136900000.0,,127900000.0,127900000.0,160700000.0,6518300000.0,3376400000.0,,892777778.0,1137800000.0,,74500000.0,,1125800000.0,33100000.0,,287800000,3354700000.0,,0.18,,-33900000.0,724100000.0,,473000000.0,,2928700000.0,1888900000,11000000.0,4600000.0,0.0,-175900000.0,,362300000,-7500000.0,3268900000.0,970100000.0,-100500000.0,255100000.0,,2384600000.0,3141900000.0,892777778.0,,3163600000.0,361800000.0,539300000.0,-1363200000.0,234400000.0,,,,,
1991-06-30,-173600000.0,,0.0,1353000000.0,-800000.0,711600000.0,-79500000.0,165300000,165300000.0,277300000.0,,807800000.0,7500000.0,464200000.0,,96900000.0,1523900000.0,433200000.0,0.185,,,1128700000.0,0.0,197800000.0,,135400000.0,135400000.0,165300000.0,6357500000.0,3323600000.0,,893513514.0,1088100000.0,,74200000.0,,938900000.0,27000000.0,,290000000,3191300000.0,,0.185,,42700000.0,723200000.0,,449100000.0,,2916000000.0,1851900000,-4900000.0,-9300000.0,0.0,-85800000.0,-74000000.0,364200000,,3359400000.0,995500000.0,-6300000.0,262200000.0,,2195800000.0,3033900000.0,893513514.0,,3166200000.0,359000000.0,531300000.0,-1392100000.0,214500000.0,,,,,
1991-09-30,-269900000.0,600000.0,0.0,1348600000.0,-28500000.0,739200000.0,-100700000.0,159100000,159100000.0,353800000.0,,786700000.0,-33000000.0,450200000.0,,93700000.0,1583400000.0,431300000.0,,,,1151000000.0,0.0,253100000.0,,102400000.0,102400000.0,159100000.0,6364400000.0,3375800000.0,,,1053200000.0,,72100000.0,,765000000.0,22000000.0,,303300000,3107500000.0,,,,94300000.0,734600000.0,,542100000.0,,2993800000.0,1885600000,28300000.0,24200000.0,0.0,-121100000.0,-73900000.0,375400000,,3445700000.0,1013700000.0,-27700000.0,252800000.0,,2093800000.0,2988600000.0,,,3256900000.0,359200000.0,563500000.0,-1410400000.0,221100000.0,,,,,
1991-12-31,2600000.0,1000000.0,0.0,1406000000.0,-11100000.0,741900000.0,-66500000.0,152600000,152600000.0,170300000.0,,808900000.0,61100000.0,453700000.0,,89700000.0,1626900000.0,423300000.0,0.17,,,1115800000.0,102400000.0,103800000.0,,163500000.0,163500000.0,152600000.0,6561600000.0,3468900000.0,,897647059.0,1100100000.0,,74500000.0,,874600000.0,24500000.0,,277900000,3176500000.0,,0.17,,-63700000.0,701200000.0,,448700000.0,,3104800000.0,1817000000,6900000.0,-16600000.0,0.0,-120900000.0,-77300000.0,352400000,,3519700000.0,1044300000.0,-54400000.0,242300000.0,,2132200000.0,3092700000.0,897647059.0,,3385100000.0,348800000.0,590600000.0,-1477900000.0,230100000.0,,,,,
1992-03-31,-65400000.0,3200000.0,0.0,1349500000.0,-500000.0,745800000.0,-81700000.0,167900000,167900000.0,160800000.0,,791200000.0,24700000.0,421800000.0,,96500000.0,1618000000.0,432900000.0,0.19,,,1200300000.0,0.0,79100000.0,,188200000.0,188200000.0,167900000.0,6567600000.0,3447600000.0,,883684211.0,1083800000.0,,77000000.0,,887600000.0,25800000.0,,290700000,3120800000.0,,0.19,,-68800000.0,723600000.0,,446100000.0,,3131500000.0,1923900000,-15300000.0,23200000.0,0.0,-64800000.0,-77400000.0,367700000,,3609900000.0,995900000.0,16900000.0,264400000.0,,2124900000.0,3120000000.0,883684211.0,,3446800000.0,355900000.0,574100000.0,-1513500000.0,236500000.0,,,,,
1992-06-30,-205700000.0,,0.0,1344900000.0,-11000000.0,746500000.0,-81800000.0,174500000,174500000.0,300700000.0,,840400000.0,18400000.0,454800000.0,,98100000.0,1654100000.0,442300000.0,0.195,,,1225100000.0,0.0,218900000.0,,206600000.0,206600000.0,174500000.0,6673300000.0,3490500000.0,,894871795.0,1089900000.0,,74600000.0,,749400000.0,22200000.0,,305800000,3094000000.0,,0.195,,56500000.0,748100000.0,,462600000.0,,3237000000.0,1973200000,-4900000.0,28300000.0,0.0,-84500000.0,-77400000.0,380400000,,3707300000.0,1041600000.0,-2700000.0,272600000.0,,2052400000.0,3182800000.0,894871795.0,,3579300000.0,367700000.0,586800000.0,-1582900000.0,220100000.0,,,,,
1992-09-30,-435700000.0,,0.0,1278200000.0,-33800000.0,846700000.0,-115500000.0,167900000,167900000.0,369400000.0,,891000000.0,-126400000.0,448000000.0,,96700000.0,1694500000.0,456800000.0,,,,1218200000.0,0.0,253900000.0,,80200000.0,80200000.0,167900000.0,6627000000.0,3650000000.0,,,1108800000.0,,69100000.0,,433600000.0,18500000.0,,316900000,2897200000.0,,,,119500000.0,773700000.0,,487300000.0,,3252200000.0,1991900000,12900000.0,10300000.0,0.0,-70300000.0,-77400000.0,386000000,,3798600000.0,1085300000.0,25300000.0,264600000.0,,1811900000.0,2977000000.0,,,3729800000.0,387700000.0,637300000.0,-1557700000.0,253800000.0,,,,,
1992-12-31,1280600000.0,2500000.0,0.0,1381100000.0,-8100000.0,993400000.0,-51500000.0,163200000,163200000.0,130000000.0,,975500000.0,142300000.0,446100000.0,,93800000.0,1951000000.0,477400000.0,0.185,,,1210900000.0,80200000.0,78500000.0,,222500000.0,222500000.0,163200000.0,8021000000.0,4743700000.0,,882162162.0,1799300000.0,,85300000.0,,1757100000.0,30400000.0,,295500000,4297600000.0,,0.185,,-122600000.0,772900000.0,,427200000.0,,3528400000.0,1983800000,4100000.0,-900000.0,0.0,-1257400000.0,-81000000.0,380800000,,3880800000.0,1137800000.0,-1205900000.0,257000000.0,,3159800000.0,3277300000.0,882162162.0,,3723400000.0,392100000.0,691700000.0,-1577400000.0,272500000.0,,,,,
1993-03-31,-147900000.0,2700000.0,0.0,1358000000.0,-7200000.0,992500000.0,-70200000.0,177700000,177700000.0,199900000.0,,981700000.0,-5900000.0,481200000.0,,102200000.0,1882700000.0,486300000.0,0.2,,,1252900000.0,0.0,129700000.0,,216600000.0,216600000.0,177700000.0,8057700000.0,4719300000.0,,888500000.0,1844100000.0,,89400000.0,,1636700000.0,30400000.0,,317500000,4267700000.0,,0.2,,-66600000.0,803800000.0,,480800000.0,,3514000000.0,2056700000,-600000.0,8100000.0,0.0,-55500000.0,-81000000.0,406900000,,3977500000.0,1168500000.0,14700000.0,279900000.0,,3099200000.0,3338400000.0,888500000.0,,3790000000.0,396900000.0,687300000.0,-1631300000.0,280800000.0,,,,,
1993-06-30,-219900000.0,1400000.0,0.0,1350000000.0,-7500000.0,1005700000.0,-87000000.0,187200000,187200000.0,313900000.0,,1061300000.0,1600000.0,495300000.0,,107600000.0,1867800000.0,493400000.0,0.21,,,1267100000.0,0.0,226900000.0,,218200000.0,218200000.0,187200000.0,8086300000.0,4763900000.0,,891428571.0,1890400000.0,,89300000.0,,1487500000.0,29300000.0,,331600000,4173800000.0,,0.21,,46400000.0,825000000.0,,440400000.0,,3559300000.0,2092100000,-9000000.0,9600000.0,0.0,-91800000.0,-81100000.0,420900000,,4083600000.0,1184600000.0,-4800000.0,294800000.0,,2989200000.0,3322400000.0,891428571.0,,3912500000.0,404100000.0,689300000.0,-1691500000.0,286400000.0,,,,,
1993-09-30,-453000000.0,,0.0,1298300000.0,-23400000.0,1025800000.0,-96900000.0,180000000,180000000.0,431000000.0,,1015900000.0,-116300000.0,438000000.0,,100300000.0,1880100000.0,490200000.0,,,,1218200000.0,0.0,334100000.0,,101900000.0,101900000.0,180000000.0,7814500000.0,4740200000.0,,,1834300000.0,,76700000.0,,1183900000.0,29100000.0,,332800000,3899400000.0,,,,168500000.0,823000000.0,,492800000.0,,3586600000.0,2041200000,5800000.0,36600000.0,0.0,-89400000.0,-81100000.0,409500000,,4182500000.0,1206800000.0,7500000.0,280300000.0,,2692600000.0,3074300000.0,,,3915100000.0,413500000.0,768800000.0,-1706500000.0,282000000.0,,,,,
1993-12-31,-336300000.0,,-63400000.0,1248500000.0,184200000.0,1016800000.0,-67200000.0,293900000,178000000.0,194600000.0,,0.0,92800000.0,330700000.0,,175500000.0,1837100000.0,396500000.0,0.205,1367600000.0,848800000.0,1303400000.0,101900000.0,127400000.0,238300000.0,194700000.0,194700000.0,178000000.0,7778200000.0,4665400000.0,-97600000.0,898992000.0,,,82900000.0,,1091900000.0,24400000.0,,309600000,3833100000.0,,0.205,,-66500000.0,706100000.0,,393500000.0,,3544200000.0,2009500000,,9400000.0,194700000.0,236700000.0,-87700000.0,392500000,,4272700000.0,1209100000.0,4900000.0,469400000.0,,2624000000.0,3112800000.0,898992000.0,1811500000.0,3945100000.0,396500000.0,878400000.0,-1707100000.0,302000000.0,,,,,
1994-03-31,25700000.0,,-39300000.0,1272500000.0,-12300000.0,1024700000.0,-65400000.0,194300000,194300000.0,55500000.0,,110100000.0,-3600000.0,321900000.0,,110700000.0,1851100000.0,406400000.0,0.22,1519200000.0,880500000.0,1370800000.0,194700000.0,-9900000.0,238300000.0,191100000.0,191100000.0,194300000.0,7960900000.0,4688700000.0,-86800000.0,896664000.0,,,86300000.0,,1246900000.0,22000000.0,,339300000,3918800000.0,,0.22,,-117500000.0,745700000.0,,470900000.0,,3617900000.0,2116500000,,-12900000.0,191100000.0,-85600000.0,-87400000.0,425600000,,4379700000.0,1210400000.0,-800000.0,305000000.0,,2708400000.0,3272200000.0,896664000.0,1812900000.0,4042100000.0,406400000.0,888500000.0,-1766800000.0,289400000.0,,,,,
1994-06-30,-185000000.0,,4500000.0,1320300000.0,-13500000.0,1042300000.0,-84400000.0,208000000,208000000.0,310400000.0,,116400000.0,28300000.0,317800000.0,,118500000.0,1879700000.0,422200000.0,0.235,1617100000.0,938200000.0,1459700000.0,191100000.0,226000000.0,238300000.0,219400000.0,219400000.0,208000000.0,8187900000.0,4749500000.0,-49300000.0,896332000.0,,,91800000.0,,1182900000.0,21800000.0,,361800000,3999600000.0,,0.235,,-1300000.0,784000000.0,,527700000.0,,3730200000.0,2243700000,6000000.0,-25100000.0,219400000.0,-103000000.0,-87400000.0,453600000,,4498200000.0,1234400000.0,-1700000.0,326500000.0,,2765200000.0,3438400000.0,896332000.0,1827500000.0,4188300000.0,422200000.0,916600000.0,-1850500000.0,281600000.0,,,,,
1994-09-30,-414400000.0,,0.0,1392200000.0,-16700000.0,1066600000.0,-115300000.0,208200000,208200000.0,536300000.0,,146200000.0,-106100000.0,279900000.0,,118700000.0,1947300000.0,454500000.0,,1542600000.0,936400000.0,1419100000.0,219400000.0,421000000.0,238300000.0,113300000.0,113300000.0,208200000.0,8215000000.0,4876800000.0,8700000.0,,,,103500000.0,,923300000.0,20300000.0,,363900000,3873200000.0,,,,102900000.0,818400000.0,,611400000.0,,3840700000.0,2237500000,25900000.0,-59900000.0,113300000.0,-233800000.0,-87400000.0,467400000,-12600000.0,4619100000.0,1255900000.0,-3600000.0,326900000.0,,2617300000.0,3338200000.0,,1862900000.0,4341800000.0,454500000.0,976000000.0,-1893400000.0,290100000.0,,,,,
1994-12-31,15400000.0,,-46400000.0,1455700000.0,24400000.0,1134200000.0,-77700000.0,224700000,203400000.0,170700000.0,,230600000.0,86700000.0,278000000.0,,129600000.0,1973000000.0,440900000.0,0.23,1597300000.0,878400000.0,1492600000.0,113300000.0,93000000.0,238300000.0,200000000.0,200000000.0,203400000.0,8728300000.0,5168900000.0,6700000.0,894104000.0,,,,,1350700000.0,21200000.0,,351100000,4302900000.0,,0.23,,-54000000.0,792000000.0,,523600000.0,,3908800000.0,2284600000,,,200000000.0,-95600000.0,-96200000.0,351100000,,4722500000.0,1319600000.0,49600000.0,354300000.0,,2983300000.0,3559400000.0,894104000.0,2061700000.0,4425400000.0,440900000.0,1041600000.0,-1935800000.0,306400000.0,,,,,
