date,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyBasicEPS,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyAccumulatedDepreciation,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue
1989-09-30,,177000000,,-438300000,,,,,,204000000.0,,,219300000.0,56100000.0,116400000.0,,,37000000.0,,,-438300000,,87100000.0,,,147900000.0,,,,,,,,109400000.0,0.0,,4300000,,2000000.0,,9500000.0,,,,69900000.0,,,10400000.0,,-55000000.0,,38500000.0,,,,,164300000.0,,,46600000.0,,,,291100000.0,,174700000.0,10300000.0,10300000.0,,,,,,,,,
1989-12-31,,162700000,,162700000,,,,,,,,,,,,,22589000.0,,,,162700000,,,,,,,,,,,0.01,,,,,200000,,,,,,,,,,,,,,22589000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
1990-03-31,,178000000,,10300000,,25200000.0,,4800000.0,,235500000.0,,,249500000.0,71700000.0,122200000.0,,22857143.0,41300000.0,,,14100000,,91500000.0,152800000.0,,163800000.0,,,,14900000.0,,0.21,,125500000.0,0.0,11100000.0,4800000,,3900000.0,,24100000.0,,,3300000.0,69000000.0,300000.0,4800000.0,10300000.0,,-55000000.0,22857143.0,38300000.0,,,,2500000.0,194500000.0,7300000.0,,13700000.0,,,,327000000.0,,204800000.0,5100000.0,5100000.0,0.21,,,,33900000.0,,,,
1990-06-30,,188600000,-10300000.0,14500000,-22900000.0,28600000.0,0.0,7000000.0,,255100000.0,,,268300000.0,70500000.0,130100000.0,-300000.0,22580645.0,8000000.0,,400000.0,18700000,,98200000.0,160000000.0,,184600000.0,,500000.0,,14100000.0,-8000000.0,0.31,,143200000.0,0.0,10100000.0,7000000,,2800000.0,-23400000.0,26600000.0,19900000.0,0.0,4800000.0,77000000.0,1000000.0,7000000.0,9900000.0,,-55000000.0,22580645.0,41400000.0,-1300000.0,1800000.0,,3600000.0,213300000.0,10600000.0,,11700000.0,-21600000.0,,,353300000.0,,223200000.0,3800000.0,3800000.0,0.31,,4200000.0,,32200000.0,0.0,,,
1990-09-30,,191400000,4400000.0,4900000,-22600000.0,22200000.0,0.0,3600000.0,,278300000.0,,,300300000.0,84600000.0,138700000.0,-400000.0,,51300000.0,,-2000000.0,10500000,,101400000.0,169200000.0,,193700000.0,,-400000.0,,17300000.0,-3300000.0,,,154300000.0,0.0,11700000.0,3600000,,7100000.0,-25300000.0,30400000.0,14400000.0,100000.0,4400000.0,80300000.0,1600000.0,3600000.0,12100000.0,,-71400000.0,,39400000.0,3900000.0,11900000.0,,-1400000.0,228900000.0,2200000.0,,17000000.0,-13400000.0,,,379700000.0,,241000000.0,7700000.0,7700000.0,,,5600000.0,,37200000.0,0.0,,,
1990-12-31,,185800000,-5300000.0,6200000,-17700000.0,22300000.0,0.0,1100000.0,,279500000.0,,,318100000.0,85700000.0,127900000.0,-300000.0,22000000.0,52100000.0,,-500000.0,11200000,,102200000.0,163500000.0,,193800000.0,,-100000.0,,16100000.0,7200000.0,0.05,,154900000.0,0.0,11100000.0,1100000,,5200000.0,-17800000.0,44500000.0,14400000.0,-100000.0,4800000.0,73100000.0,300000.0,1100000.0,12000000.0,,-76300000.0,22000000.0,38900000.0,-3100000.0,200000.0,,600000.0,241800000.0,1700000.0,,14800000.0,-17600000.0,,,381700000.0,,253800000.0,4600000.0,4600000.0,0.05,,5000000.0,,26400000.0,7700000.0,,,
1991-03-31,,201300000,-900000.0,11600000,-14700000.0,28300000.0,0.0,5200000.0,,294600000.0,,,335100000.0,99200000.0,137000000.0,-400000.0,22608696.0,56900000.0,,100000.0,15500000,,107000000.0,173000000.0,,195400000.0,,100000.0,,16700000.0,-13800000.0,0.23,,156300000.0,100000.0,12800000.0,5200000,,4400000.0,-17100000.0,49600000.0,6200000.0,100000.0,4900000.0,86900000.0,400000.0,5200000.0,9600000.0,,-80100000.0,22608696.0,39000000.0,-200000.0,8300000.0,,1900000.0,255000000.0,7100000.0,,17200000.0,-8800000.0,,,401600000.0,,264600000.0,4400000.0,4400000.0,0.23,,3900000.0,,32400000.0,0.0,,,
1991-06-30,,193300000,-8000000.0,5400000,-14200000.0,20800000.0,0.0,3000000.0,,316000000.0,,,349400000.0,125100000.0,152600000.0,-300000.0,23076923.0,59600000.0,,-2000000.0,11100000,,109700000.0,172500000.0,,190900000.0,,2500000.0,,15400000.0,-10900000.0,0.13,,153900000.0,0.0,9700000.0,3000000,,3200000.0,-14200000.0,68100000.0,15800000.0,0.0,5000000.0,97700000.0,200000.0,3000000.0,9600000.0,,-85900000.0,23076923.0,37000000.0,200000.0,-1400000.0,,-2400000.0,263500000.0,600000.0,,13400000.0,-15600000.0,,,425700000.0,,273100000.0,4500000.0,4500000.0,0.13,,5700000.0,,43600000.0,0.0,,,
1991-09-30,,206400000,3500000.0,7900000,-12700000.0,24100000.0,0.0,3000000.0,,315700000.0,0.0,,359900000.0,103000000.0,147800000.0,-400000.0,,62200000.0,,0.0,13200000,,112400000.0,182300000.0,,212700000.0,,-1400000.0,,16200000.0,500000.0,,,175800000.0,-100000.0,10900000.0,3000000,,4000000.0,-11400000.0,44800000.0,-1900000.0,0.0,5100000.0,97200000.0,200000.0,3000000.0,10200000.0,,-89800000.0,,37000000.0,-1700000.0,12800000.0,,,270100000.0,,,16300000.0,1400000.0,,,428100000.0,,280300000.0,2900000.0,2900000.0,,,5300000.0,,41900000.0,0.0,,,
1991-12-31,,195500000,8600000.0,-500000,-8900000.0,16600000.0,0.0,-4200000.0,,314700000.0,-100000.0,,362500000.0,105700000.0,139600000.0,-700000.0,22105263.0,57700000.0,,-1300000.0,5000000,,107800000.0,178900000.0,,209000000.0,,0.0,,17100000.0,7900000.0,-0.19,,173200000.0,100000.0,11600000.0,-4200000,,4600000.0,-8900000.0,46900000.0,-1200000.0,0.0,5600000.0,89400000.0,400000.0,-4200000.0,10200000.0,,-89800000.0,22105263.0,35700000.0,-700000.0,9300000.0,,-1400000.0,272700000.0,-5600000.0,,13200000.0,400000.0,,,422500000.0,,282900000.0,2200000.0,2200000.0,-0.19,,5500000.0,,45600000.0,2900000.0,,,
1992-03-31,,205500000,-18500000.0,-5100000,-2300000.0,10900000.0,0.0,-8700000.0,,341600000.0,0.0,,364100000.0,161000000.0,160400000.0,0.0,22307692.0,48700000.0,,-1800000.0,300000,,98800000.0,194600000.0,,180600000.0,,0.0,,16000000.0,-10000000.0,-0.39,,146800000.0,-100000.0,10600000.0,-8700000,,5900000.0,-2800000.0,98700000.0,25500000.0,0.0,5200000.0,99400000.0,-200000.0,-8700000.0,10000000.0,,-94100000.0,22307692.0,33900000.0,-600000.0,-23700000.0,,-1800000.0,270000000.0,-10500000.0,,17600000.0,-26500000.0,,,440400000.0,,280000000.0,1500000.0,1500000.0,-0.39,,5400000.0,,44700000.0,0.0,,,
1992-06-30,,205800000,-500000.0,-1600000,-2500000.0,15800000.0,0.0,-4200000.0,,321400000.0,0.0,,366300000.0,147800000.0,168800000.0,-300000.0,22105263.0,44100000.0,,-2300000.0,4400000,,124200000.0,190000000.0,,173600000.0,,-500000.0,,17400000.0,-1400000.0,-0.19,,142000000.0,0.0,11800000.0,-4200000,,7700000.0,-3000000.0,77800000.0,3800000.0,29800000.0,5800000.0,100800000.0,1200000.0,-4200000.0,10100000.0,,-99600000.0,22105263.0,31600000.0,500000.0,-900000.0,,-2000000.0,266700000.0,-6200000.0,,18400000.0,-3900000.0,,,445600000.0,,276800000.0,2000000.0,2000000.0,-0.19,,6000000.0,,51600000.0,0.0,,,
1992-09-30,,210500000,18200000.0,-8500000,-1100000.0,12700000.0,0.0,-12600000.0,,322500000.0,300000.0,,358000000.0,159200000.0,170500000.0,-400000.0,,32100000.0,,0.0,-1400000,,112100000.0,197800000.0,,163300000.0,,-100000.0,,21200000.0,11300000.0,,,131500000.0,200000.0,14100000.0,-12600000,,17100000.0,-3300000.0,86400000.0,-3000000.0,800000.0,5900000.0,89400000.0,3200000.0,-12600000.0,10100000.0,,-104000000.0,,31600000.0,9500000.0,13700000.0,,1200000.0,254000000.0,-11400000.0,0.0,24000000.0,10400000.0,,,434600000.0,,264100000.0,11600000.0,11600000.0,,,7100000.0,,48800000.0,0.0,,,
1992-12-31,,220500000,-7000000.0,14100000,-800000.0,35100000.0,0.0,6800000.0,,311700000.0,-100000.0,,359400000.0,150600000.0,171200000.0,-400000.0,27200000.0,38900000.0,,700000.0,20900000,,118900000.0,185400000.0,,161100000.0,,300000.0,,21000000.0,-3100000.0,0.25,,128700000.0,0.0,14200000.0,6800000,,15400000.0,-1500000.0,83700000.0,-6000000.0,0.0,6500000.0,92500000.0,500000.0,6800000.0,9600000.0,,-109600000.0,27200000.0,32400000.0,200000.0,7000000.0,,1300000.0,249800000.0,8100000.0,,20500000.0,5500000.0,,,430600000.0,,259400000.0,11700000.0,11700000.0,0.25,,6800000.0,,46400000.0,11600000.0,,,
1993-03-31,,227700000,-5500000.0,19000000,-1700000.0,39400000.0,0.0,7800000.0,,293700000.0,200000.0,,361000000.0,132900000.0,165100000.0,0.0,27857143.0,46700000.0,,2700000.0,25800000,,126700000.0,188300000.0,,160800000.0,,-200000.0,,20400000.0,2700000.0,0.28,,125700000.0,100000.0,13600000.0,7800000,,13200000.0,-1700000.0,72200000.0,-14500000.0,-100000.0,8000000.0,89800000.0,300000.0,7800000.0,9600000.0,,-115300000.0,27857143.0,35000000.0,-4000000.0,12300000.0,,3300000.0,245700000.0,11100000.0,,23300000.0,10600000.0,,,420400000.0,,255300000.0,7800000.0,7800000.0,0.28,,6800000.0,,37400000.0,0.0,,,
1993-06-30,,220600000,-9500000.0,11500000,-2900000.0,34900000.0,0.0,2400000.0,,298900000.0,-1400000.0,,364200000.0,95800000.0,171500000.0,0.0,26666667.0,49100000.0,,300000.0,21700000,,129100000.0,185700000.0,,203100000.0,,500000.0,,23400000.0,-1100000.0,0.09,,167700000.0,100000.0,13200000.0,3600000,,13400000.0,-3400000.0,38400000.0,3000000.0,100000.0,6200000.0,91900000.0,-100000.0,2400000.0,13400000.0,,-121100000.0,26666667.0,35300000.0,200000.0,0.0,,1600000.0,243100000.0,5200000.0,,22200000.0,-3400000.0,,,428000000.0,,256500000.0,7900000.0,7900000.0,0.09,,6800000.0,,35200000.0,0.0,,,
1993-09-30,,219000000,13000000.0,11500000,-6100000.0,30200000.0,0.0,3900000.0,,290500000.0,200000.0,,366200000.0,94300000.0,167000000.0,-400000.0,,52300000.0,,1300000.0,17100000,,132300000.0,188800000.0,,196200000.0,,100000.0,,18700000.0,-900000.0,,,159600000.0,-100000.0,13100000.0,4000000,,11100000.0,-8600000.0,25600000.0,-22800000.0,-1200000.0,5000000.0,91800000.0,1900000.0,3900000.0,13100000.0,,-123500000.0,,36700000.0,-3400000.0,25700000.0,,4300000.0,242700000.0,8300000.0,,30400000.0,17100000.0,,,422800000.0,,255800000.0,4500000.0,4500000.0,,,5600000.0,,38300000.0,0.0,,,
1993-12-31,,221900000,-900000.0,16200000,-6200000.0,37400000.0,0.0,8400000.0,,295500000.0,100000.0,,372100000.0,88500000.0,179700000.0,-800000.0,27096774.0,60300000.0,,2900000.0,22400000,,140300000.0,184500000.0,,207000000.0,,0.0,,21200000.0,3100000.0,0.31,,158100000.0,0.0,15000000.0,8400000,,20300000.0,-6400000.0,17000000.0,-11000000.0,0.0,5000000.0,88700000.0,800000.0,8400000.0,12800000.0,,-128800000.0,27096774.0,48900000.0,-100000.0,17200000.0,,3600000.0,243300000.0,12000000.0,,30400000.0,10800000.0,,,435800000.0,,256100000.0,4600000.0,4600000.0,0.31,,6200000.0,,41100000.0,4500000.0,,,
1994-03-31,,223200000,-7000000.0,12000000,-8200000.0,32700000.0,0.0,7900000.0,,297500000.0,,,379700000.0,91600000.0,187200000.0,-400000.0,27241379.0,67800000.0,,-200000.0,18400000,,147800000.0,190500000.0,,205900000.0,,0.0,,20700000.0,-15400000.0,0.29,,156700000.0,0.0,14400000.0,7900000,,20900000.0,-8600000.0,19500000.0,600000.0,-100000.0,5000000.0,104200000.0,800000.0,7900000.0,12400000.0,,-134000000.0,27241379.0,49200000.0,400000.0,7900000.0,,0.0,245700000.0,7900000.0,,27400000.0,-700000.0,,,445300000.0,,258100000.0,4900000.0,4900000.0,0.29,,6400000.0,,44700000.0,0.0,,,
1994-06-30,,238300000,2200000.0,15200000,-5300000.0,36700000.0,0.0,7200000.0,,290400000.0,,,375500000.0,79900000.0,179300000.0,-500000.0,27692308.0,74600000.0,,1200000.0,21500000,,154600000.0,201600000.0,,210500000.0,,100000.0,,21500000.0,1400000.0,0.26,,159700000.0,0.0,15200000.0,7200000,,12300000.0,-6000000.0,8300000.0,-8500000.0,200000.0,4900000.0,102800000.0,-300000.0,7200000.0,20800000.0,,-130600000.0,27692308.0,50800000.0,3400000.0,17300000.0,,3000000.0,244900000.0,10200000.0,,31700000.0,11300000.0,,,445000000.0,,265700000.0,8300000.0,8300000.0,0.26,,6300000.0,,39900000.0,0.0,,,
1994-09-30,,240000000,1300000.0,16400000,-3900000.0,29100000.0,0.0,7600000.0,,277000000.0,,,379700000.0,74500000.0,174200000.0,-400000.0,,81700000.0,,2800000.0,22700000,,161700000.0,210900000.0,,202500000.0,,-300000.0,,12700000.0,2000000.0,,,152600000.0,100000.0,6400000.0,7600000,,9000000.0,-4500000.0,4500000.0,-11400000.0,0.0,4400000.0,100700000.0,200000.0,7600000.0,21000000.0,,-136200000.0,,49800000.0,3000000.0,18300000.0,,4900000.0,243500000.0,12500000.0,,31300000.0,13800000.0,,,438700000.0,,264500000.0,11200000.0,11200000.0,,,6300000.0,,38700000.0,0.0,,,
1994-12-31,,227000000,21400000.0,8800000,-8600000.0,27100000.0,0.0,600000.0,,275200000.0,,,388200000.0,73500000.0,169900000.0,-400000.0,30000000.0,81800000.0,,700000.0,15100000,,161800000.0,199900000.0,,201700000.0,,100000.0,,18300000.0,14400000.0,0.02,,150600000.0,100000.0,12000000.0,600000,,10000000.0,-8800000.0,5600000.0,-1300000.0,0.0,4300000.0,86400000.0,-2100000.0,600000.0,20600000.0,,-141700000.0,30000000.0,51000000.0,15700000.0,26800000.0,,1800000.0,246500000.0,2400000.0,,32000000.0,18000000.0,,,437000000.0,,267100000.0,27000000.0,27000000.0,0.02,,6300000.0,,35900000.0,11200000.0,,,
1995-03-31,,216800000,-1500000.0,-4700000,-6800000.0,13900000.0,0.0,-16300000.0,,281100000.0,,,397800000.0,72700000.0,157400000.0,-400000.0,27627119.0,65100000.0,,1100000.0,1700000,,145100000.0,202900000.0,,208400000.0,,-1300000.0,,18600000.0,-1700000.0,-0.59,,155000000.0,100000.0,12200000.0,-16300000,,11100000.0,-5600000.0,4600000.0,800000.0,0.0,4000000.0,89000000.0,-4400000.0,-16300000.0,21000000.0,,-149200000.0,27627119.0,53300000.0,-15600000.0,-9600000.0,,3200000.0,248600000.0,-13100000.0,,27200000.0,-15200000.0,,,427000000.0,,269600000.0,11300000.0,11300000.0,-0.59,,6400000.0,,40900000.0,0.0,,,
1995-06-30,,230300000,-7200000.0,11900000,-10700000.0,30300000.0,0.0,6100000.0,,296300000.0,-800000.0,,408000000.0,85900000.0,174000000.0,-400000.0,27727273.0,70800000.0,,1600000.0,18400000,,150800000.0,200000000.0,,210400000.0,,-200000.0,,18400000.0,-15400000.0,0.22,,155900000.0,100000.0,12000000.0,6100000,,9900000.0,-10600000.0,3200000.0,-900000.0,0.0,4400000.0,104400000.0,900000.0,6100000.0,20900000.0,,-155000000.0,27727273.0,54400000.0,-2000000.0,8600000.0,,2300000.0,253000000.0,8400000.0,,32300000.0,-2000000.0,,,447900000.0,,273900000.0,9300000.0,9300000.0,0.22,,6500000.0,,50400000.0,0.0,,,
1995-09-30,,257700000,-4100000.0,9000000,-45500000.0,28900000.0,0.0,1600000.0,,344700000.0,1300000.0,,442800000.0,105000000.0,193400000.0,-500000.0,,72000000.0,,400000.0,15900000,,152100000.0,228800000.0,,239700000.0,,-6000000.0,,19900000.0,-1600000.0,,,183000000.0,0.0,13000000.0,1600000,,11100000.0,-39700000.0,13000000.0,41600000.0,100000.0,4800000.0,110400000.0,200000.0,1600000.0,20900000.0,,-159500000.0,,56700000.0,2500000.0,6900000.0,,2900000.0,283300000.0,4500000.0,,36300000.0,-32800000.0,,,497600000.0,,304200000.0,11900000.0,11900000.0,,,6900000.0,,55700000.0,0.0,,,
1995-12-31,,267500000,17700000.0,8900000,-11400000.0,28100000.0,0.0,-700000.0,,352800000.0,-100000.0,,453600000.0,122100000.0,195100000.0,-400000.0,41383875.0,70900000.0,,300000.0,16000000,,151000000.0,239400000.0,,230700000.0,,100000.0,,19200000.0,8700000.0,-0.03,,177300000.0,100000.0,12100000.0,-700000,,7000000.0,-12400000.0,15600000.0,-8700000.0,0.0,6400000.0,101800000.0,200000.0,-700000.0,20600000.0,,-164700000.0,41383875.0,53300000.0,4400000.0,24500000.0,,3300000.0,288900000.0,2600000.0,,34900000.0,12100000.0,,,504600000.0,,309500000.0,16300000.0,16300000.0,-0.03,,7100000.0,,71600000.0,11900000.0,,,
