date,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherIncomeExpense,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyEbitda,quarterlyPretaxIncome,quarterlyRepurchaseOfCapitalStock,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyInventory,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment
1991-09-30,3100000.0,64700000.0,7200000.0,,206600000.0,146000000.0,20300000.0,5800000.0,,53500000.0,260100000.0,,1900000.0,5600000.0,-100000.0,153200000.0,,31400000.0,,5800000,5800000.0,600000.0,,13200000.0,,1600000.0,0.0,-1800000.0,,,203000000.0,,,0.0,9800000.0,,22200000.0,,200000.0,,106900000.0,20000000.0,,,,-100000.0,31800000.0,31800000.0,,,9200000,51400000.0,-800000.0,-1500000.0,65800000.0,,234400000,5100000.0,-35300000.0,3500000.0,-2000000.0,94600000.0,4100000.0,11100000,9900000.0,,30500000.0,-300000.0,3600000.0,6700000.0,,,,,,,
1991-12-31,-8000000.0,70300000.0,7100000.0,,222200000.0,155900000.0,19800000.0,5700000.0,0.06,54500000.0,276700000.0,-400000.0,2000000.0,5400000.0,0.0,163000000.0,,31100000.0,,5700000,5700000.0,600000.0,95000000.0,13600000.0,,1700000.0,0.0,-2600000.0,,,222600000.0,,,31800000.0,9600000.0,,21800000.0,0.06,200000.0,,113700000.0,22200000.0,,,,,27700000.0,27700000.0,,3200000.0,9300000,57300000.0,-800000.0,-12200000.0,66600000.0,,253700000,-5600000.0,-35300000.0,3700000.0,-2400000.0,95400000.0,4200000.0,11300000,9900000.0,,31300000.0,-300000.0,500000.0,-4100000.0,95000000.0,,,,,,
1992-03-31,-8000000.0,77500000.0,6900000.0,,234300000.0,157700000.0,20500000.0,8100000.0,0.085,53600000.0,287900000.0,-7700000.0,1200000.0,5100000.0,0.0,164600000.0,,31800000.0,,8100000,8100000.0,3900000.0,95294118.0,13100000.0,,1800000.0,0.0,-4300000.0,,,238300000.0,,,0.0,9500000.0,,21700000.0,0.085,-1100000.0,,123300000.0,31700000.0,,,,,21700000.0,21700000.0,,5100000.0,10100000,49100000.0,-1300000.0,-9600000.0,66300000.0,,270100000,-6200000.0,-35300000.0,4700000.0,-1800000.0,103500000.0,5900000.0,11300000,14000000.0,,31000000.0,,2800000.0,-6000000.0,95294118.0,,,,,,
1992-06-30,4800000.0,83300000.0,6700000.0,,235400000.0,156600000.0,20200000.0,6300000.0,0.065,58300000.0,293700000.0,-4200000.0,1800000.0,4800000.0,-5100000.0,163300000.0,,31600000.0,,6300000,6300000.0,1200000.0,96923077.0,14400000.0,,1900000.0,0.0,-9400000.0,,,251800000.0,,,0.0,9400000.0,,22000000.0,0.065,-1800000.0,,130400000.0,36700000.0,,,,1400000.0,17700000.0,17700000.0,,,9600000,55800000.0,-900000.0,3800000.0,69800000.0,,283400000,9900000.0,-35300000.0,-4500000.0,-5100000.0,100800000.0,4500000.0,11400000,10800000.0,,34500000.0,,600000.0,-4100000.0,96923077.0,,,,,,
1992-09-30,-3000000.0,89400000.0,5400000.0,,258200000.0,171500000.0,20400000.0,6500000.0,,58500000.0,316700000.0,-2700000.0,2700000.0,4600000.0,0.0,176900000.0,,32700000.0,,6500000,6500000.0,1700000.0,,13800000.0,,800000.0,0.0,2300000.0,,,266600000.0,,,0.0,9300000.0,,23100000.0,,2700000.0,,139800000.0,34000000.0,,,,5000000.0,22800000.0,22800000.0,,,9600000,60300000.0,-800000.0,-5800000.0,74800000.0,,299300000,-200000.0,-39400000.0,2800000.0,-2800000.0,111200000.0,4700000.0,12300000,11200000.0,,35400000.0,-800000.0,2800000.0,5100000.0,,,,,,,
1992-12-31,5800000.0,95600000.0,5200000.0,,246200000.0,152600000.0,19800000.0,6700000.0,0.07,57200000.0,303400000.0,-200000.0,1600000.0,4300000.0,0.0,157800000.0,,31800000.0,,6700000,6700000.0,1100000.0,95714286.0,13500000.0,,900000.0,0.0,-7100000.0,,,253100000.0,,,22800000.0,9200000.0,,21400000.0,0.07,-6800000.0,,145600000.0,43000000.0,,,,1400000.0,23600000.0,23600000.0,,,10400000,42500000.0,,100000.0,73900000.0,,284900000,7300000.0,-39400000.0,1000000.0,-1500000.0,110100000.0,4800000.0,12000000,11500000.0,,34500000.0,,1000000.0,900000.0,95714286.0,,,,,,
1993-03-31,-2600000.0,102400000.0,5100000.0,,271600000.0,175900000.0,23000000.0,7000000.0,0.0725,64000000.0,335600000.0,-4200000.0,1300000.0,4100000.0,1800000.0,181000000.0,,33800000.0,,7000000,7000000.0,1300000.0,96551724.0,13700000.0,,1000000.0,0.0,-4100000.0,,,239300000.0,,,0.0,14900000.0,,23000000.0,0.0725,1000000.0,,154600000.0,35000000.0,,,,700000.0,23000000.0,23000000.0,,7700000.0,10800000,43100000.0,,-6900000.0,75400000.0,,273100000,-1000000.0,-40000000.0,4600000.0,-1600000.0,125100000.0,5100000.0,12100000,12100000.0,,35400000.0,,2800000.0,-600000.0,96551724.0,,,,,,
1993-06-30,4600000.0,110400000.0,4900000.0,,266900000.0,168700000.0,23300000.0,7100000.0,0.0725,69700000.0,336600000.0,-200000.0,2500000.0,3800000.0,0.0,173600000.0,,37300000.0,,7100000,7100000.0,500000.0,97931034.0,16400000.0,,1100000.0,0.0,-6600000.0,,,221000000.0,,,0.0,15300000.0,,25800000.0,0.0725,-4200000.0,,163000000.0,49700000.0,,,,900000.0,23500000.0,23500000.0,,8500000.0,11500000,34400000.0,-900000.0,0.0,83600000.0,,258300000,7900000.0,-45600000.0,-900000.0,-3300000.0,125800000.0,5100000.0,14000000,12200000.0,,38000000.0,1100000.0,200000.0,400000.0,97931034.0,,,,,,
1993-09-30,4000000.0,118600000.0,12900000.0,,264900000.0,164300000.0,35500000.0,8000000.0,,86100000.0,351000000.0,-2900000.0,3400000.0,,100000.0,177200000.0,,52100000.0,,8000000,8000000.0,400000.0,,27700000.0,,,0.0,-6700000.0,,,274400000.0,,,0.0,14900000.0,,38900000.0,,-1000000.0,,173800000.0,43000000.0,,,,-300000.0,20500000.0,20500000.0,,,13200000,42900000.0,-1000000.0,-2300000.0,93300000.0,,326500000,7500000.0,-49800000.0,-4900000.0,-3500000.0,121400000.0,5700000.0,16600000,13700000.0,,43500000.0,-300000.0,2500000.0,-4100000.0,,,,,,,
1993-12-31,-34000000.0,125100000.0,12800000.0,,252100000.0,157200000.0,22500000.0,7300000.0,0.0725,98800000.0,350900000.0,-100000.0,2100000.0,,0.0,170000000.0,,36300000.0,,7300000,7300000.0,700000.0,100689655.0,45400000.0,,,0.0,2600000.0,,,224300000.0,,,20500000.0,,,24600000.0,0.0725,-2500000.0,,180900000.0,27200000.0,,,,,12700000.0,12700000.0,,,11700000,26100000.0,,-30000000.0,103200000.0,,260600000,-21600000.0,-49800000.0,11300000.0,-12400000.0,131100000.0,5100000.0,13800000,12400000.0,,53400000.0,-100000.0,500000.0,-7800000.0,100689655.0,,,,,,
1994-03-31,14100000.0,132300000.0,12600000.0,,250600000.0,151000000.0,22500000.0,7300000.0,0.0725,104800000.0,355400000.0,-4600000.0,2400000.0,,0.0,163600000.0,,36600000.0,,7300000,7300000.0,200000.0,100689655.0,50400000.0,,,0.0,-8300000.0,,,236000000.0,,,0.0,,,24700000.0,0.0725,2400000.0,,191800000.0,27600000.0,,,,,21100000.0,21100000.0,,,11900000,25500000.0,,10900000.0,104200000.0,,272600000,20500000.0,-49800000.0,-3800000.0,-6400000.0,125500000.0,4900000.0,14300000,12200000.0,,54400000.0,,3600000.0,8400000.0,100689655.0,,,,,,
1994-06-30,-6800000.0,139300000.0,12500000.0,,262400000.0,156300000.0,24600000.0,7300000.0,0.0725,106200000.0,368600000.0,-300000.0,3600000.0,,-100000.0,168800000.0,,39300000.0,,7300000,7300000.0,200000.0,100689655.0,51800000.0,,,0.0,-4400000.0,,,224500000.0,,,0.0,,,27300000.0,0.0725,300000.0,,199800000.0,27200000.0,,,,-100000.0,13900000.0,13900000.0,100000.0,,12000000,36300000.0,,-13700000.0,104200000.0,,263800000,-2800000.0,-49800000.0,-400000.0,-4000000.0,120000000.0,4800000.0,15600000,12100000.0,,54400000.0,,200000.0,-7200000.0,100689655.0,,,,,,
1994-09-30,43700000.0,136200000.0,42600000.0,,367500000.0,261400000.0,40000000.0,-3100000.0,,136900000.0,504400000.0,4100000.0,2900000.0,17600000.0,100000.0,304000000.0,,39100000.0,,-3100000,-3100000.0,-1400000.0,,38300000.0,25000000.0,,0.0,-41000000.0,,,329700000.0,,,0.0,38600000.0,,42900000.0,,-45200000.0,,200400000.0,30900000.0,,,,1200000.0,45600000.0,45600000.0,,9200000.0,-3800000,93100000.0,,24200000.0,118100000.0,,368800000,45200000.0,-58100000.0,27300000.0,-1500000.0,159100000.0,-2100000.0,-900000,-5200000.0,,60000000.0,,2500000.0,31700000.0,,,,,,,
1994-12-31,-11100000.0,143500000.0,32000000.0,,330300000.0,230100000.0,31700000.0,7300000.0,0.0725,138500000.0,468800000.0,-700000.0,3600000.0,17000000.0,-200000.0,262100000.0,,47400000.0,,7300000,7300000.0,-100000.0,100689655.0,41400000.0,15000000.0,,0.0,-6000000.0,,,365000000.0,,,45600000.0,38300000.0,,35300000.0,0.0725,-3000000.0,,206700000.0,33000000.0,,,,,22100000.0,22100000.0,,10400000.0,12100000,65300000.0,300000.0,-19900000.0,119900000.0,,412400000,-8800000.0,-61100000.0,-8700000.0,-2300000.0,154400000.0,4800000.0,15700000,12100000.0,,58800000.0,-100000.0,200000.0,-23400000.0,100689655.0,,,,,,
1995-03-31,-600000.0,150900000.0,26800000.0,,347200000.0,243100000.0,33800000.0,7600000.0,0.075,141100000.0,488300000.0,-2000000.0,3500000.0,16800000.0,-200000.0,269900000.0,,49300000.0,,7600000,7600000.0,500000.0,101333333.0,44100000.0,10000000.0,,0.0,-4100000.0,,,347400000.0,,,0.0,38200000.0,,37300000.0,0.075,600000.0,,218400000.0,33600000.0,,,,,21700000.0,21700000.0,,14400000.0,12000000,58900000.0,,-8200000.0,123100000.0,,396700000,2300000.0,-64300000.0,1300000.0,-2900000.0,169800000.0,5000000.0,15500000,12600000.0,,58800000.0,-100000.0,3000000.0,-500000.0,101333333.0,,,,,,
1995-06-30,600000.0,159200000.0,40200000.0,,359400000.0,254100000.0,35500000.0,8400000.0,0.0825,161800000.0,521200000.0,100000.0,4100000.0,22100000.0,-200000.0,294300000.0,,53700000.0,,8400000,8400000.0,-200000.0,101818182.0,45300000.0,18100000.0,,0.0,-24400000.0,,,390900000.0,,,0.0,37800000.0,,39600000.0,0.0825,-1500000.0,,226900000.0,34300000.0,,,,-100000.0,30100000.0,30100000.0,,15800000.0,14100000,69900000.0,,12100000.0,145200000.0,,444600000,23500000.0,-66500000.0,9300000.0,-22900000.0,168400000.0,5500000.0,18200000,13900000.0,,78700000.0,300000.0,200000.0,8400000.0,101818182.0,,,,,,
1995-09-30,3400000.0,168200000.0,39800000.0,,368600000.0,255300000.0,35500000.0,8900000.0,,165300000.0,533900000.0,-400000.0,3000000.0,22000000.0,700000.0,295100000.0,,53200000.0,,8900000,8900000.0,300000.0,,43300000.0,17800000.0,,0.0,-10500000.0,,,416200000.0,,,0.0,41900000.0,,38500000.0,,700000.0,,238800000.0,37400000.0,,,,0.0,39100000.0,39100000.0,,16600000.0,14700000,63800000.0,,6800000.0,149000000.0,,469400000,15000000.0,-68900000.0,4700000.0,-11600000.0,174900000.0,5900000.0,17700000,14800000.0,,80100000.0,-5300000.0,3100000.0,9000000.0,,,,,,,
1995-12-31,23200000.0,177700000.0,39600000.0,,381100000.0,261000000.0,34000000.0,9600000.0,0.0925,167800000.0,548900000.0,,3900000.0,22100000.0,100000.0,300600000.0,,53200000.0,,9600000,9600000.0,500000.0,103783784.0,45500000.0,17500000.0,,0.0,-7500000.0,,,417900000.0,,,39100000.0,41300000.0,,37900000.0,0.0925,-2400000.0,,248300000.0,39200000.0,,,,,59500000.0,59500000.0,,15400000.0,15300000,66500000.0,-800000.0,15700000.0,153700000.0,,471100000,28300000.0,-72700000.0,-400000.0,-5100000.0,179100000.0,6300000.0,19200000,15900000.0,,81000000.0,-100000.0,300000.0,20400000.0,103783784.0,,,,,,
