date,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyOperatingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyDilutedAverageShares,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGoodwill,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyEndCashPosition,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory
2015-03-31,2489000000.0,2298000000.0,-4508000000.0,175000000,18985000000.0,,19000000,23416000000.0,0.0,2599000000,25905000000.0,150000000,320000000,190000000,286000000,21283000000.0,150000000,1597000000,150000000,1911000000.0,1868000000,959000000.0,329333004.0,131000000,421000000.0,5916000000.0,31000000.0,,465000000,1002000000,-710000000,547000000,127000000,5344000000.0,4662000000.0,11283000000.0,156000000.0,,313000000,1277000000,6816000000.0,-1309000000.0,566000000,10000000.0,547000000.0,547000000.0,9193000000.0,163000000,-761000000,-51000000,0.45,328666338.0,-1927000000.0,349000000.0,-96000000,-868000000.0,,11120000000.0,2132000000.0,40000000,447000000.0,19000000.0,-4000000,-19000000,0.0,144000000,0.45,19000000,147000000.0,,632000000,,,,,,
2015-06-30,2501000000.0,2426000000.0,-4347000000.0,173000000,18556000000.0,,81000000,23550000000.0,-5000000.0,2922000000,26051000000.0,161000000,448000000,276000000,362000000,20982000000.0,161000000,1885000000,167000000,1925000000.0,-3000000,996000000.0,329666337.0,11000000,424000000.0,5945000000.0,52000000.0,,-207000000,1037000000,-251000000,511000000,221000000,5192000000.0,5105000000.0,11044000000.0,156000000.0,,312000000,1437000000,6786000000.0,-120000000.0,547000000,10000000.0,511000000.0,511000000.0,9191000000.0,145000000,-191000000,26000000,0.48,328999671.0,-1989000000.0,469000000.0,-86000000,-673000000.0,,11180000000.0,2260000000.0,-30000000,395000000.0,20000000.0,-8000000,-36000000,0.0,149000000,0.48,81000000,146000000.0,,634000000,,,,,,
2015-09-30,2646000000.0,2558000000.0,-4137000000.0,171000000,18194000000.0,,14000000,23286000000.0,0.0,2895000000,25932000000.0,279000000,500000000,273000000,343000000,20752000000.0,279000000,1878000000,283000000,1992000000.0,326000000,985000000.0,329666337.0,165000000,430000000.0,5902000000.0,38000000.0,,257000000,1017000000,-381000000,628000000,145000000,5293000000.0,5214000000.0,10568000000.0,154000000.0,,530000000,1378000000,6708000000.0,-8000000.0,511000000,10000000.0,628000000.0,628000000.0,9132000000.0,247000000,-475000000,-26000000,0.840001,328999671.0,-2061000000.0,368000000.0,-70000000,-793000000.0,,11193000000.0,2261000000.0,24000000,341000000.0,49000000.0,15000000,117000000,0.0,138000000,0.840001,14000000,248000000.0,,839000000,,,,,,
2015-12-31,2585000000.0,2467000000.0,-3392000000.0,173000000,17298000000.0,-69000000.0,10000000,23131000000.0,0.0,2856000000,25716000000.0,814000000,505000000,283000000,403000000,19765000000.0,814000000,1847000000,816000000,1623000000.0,-6000000,931000000.0,329999670.0,-28000000,442000000.0,5887000000.0,38000000.0,539000000.0,-123000000,1009000000,-282000000,609000000,118000000,4630000000.0,5985000000.0,10319000000.0,138000000.0,65000000.0,341000000,1342000000,6654000000.0,-10000000.0,628000000,10000000.0,609000000.0,609000000.0,9119000000.0,-475000000,-297000000,41000000,2.460002,328999671.0,-2120000000.0,368000000.0,-120000000,-784000000.0,,11239000000.0,331000000.0,-513000000,283000000.0,33000000.0,-148000000,-19000000,706000000.0,144000000,2.460002,10000000,228000000.0,,658000000,,,,,,
2016-03-31,2738000000.0,2545000000.0,-3152000000.0,169000000,16971000000.0,-69000000.0,26000000,22983000000.0,,2750000000,25721000000.0,309000000,424000000,217000000,312000000,19516000000.0,309000000,1777000000,310000000,1895000000.0,6000000,913000000.0,329666337.0,-24000000,469000000.0,5890000000.0,38000000.0,,-96000000,973000000,-32000000,692000000,113000000,4593000000.0,6237000000.0,10255000000.0,127000000.0,,264000000,1353000000,6597000000.0,-9000000.0,609000000,10000000.0,692000000.0,692000000.0,9098000000.0,-46000000,-137000000,-36000000,0.930001,328999671.0,-2251000000.0,297000000.0,-95000000,-774000000.0,,11349000000.0,2251000000.0,-32000000,228000000.0,101000000.0,-175000000,83000000,0.0,139000000,0.930001,11000000,193000000.0,,572000000,,,,,,
2016-06-30,2930000000.0,2663000000.0,-2984000000.0,171000000,16844000000.0,-69000000.0,16000000,22923000000.0,,3051000000,25853000000.0,239000000,546000000,234000000,343000000,19507000000.0,239000000,2020000000,244000000,1893000000.0,-8000000,1005000000.0,330333003.0,-3000000,459000000.0,5862000000.0,52000000.0,,-126000000,1031000000,-32000000,810000000,132000000,4533000000.0,6375000000.0,10257000000.0,129000000.0,,400000000,1474000000,6531000000.0,-9000000.0,692000000,10000000.0,810000000.0,810000000.0,9107000000.0,156000000,-101000000,0,0.720001,329333004.0,-2300000000.0,313000000.0,-109000000,-826000000.0,,11407000000.0,2370000000.0,-68000000,161000000.0,107000000.0,-34000000,118000000,0.0,147000000,0.720001,16000000,186000000.0,,718000000,,,,,,
2016-09-30,3024000000.0,2598000000.0,-2866000000.0,169000000,16782000000.0,-69000000.0,23000000,22847000000.0,,2942000000,25871000000.0,187000000,483000000,202000000,281000000,19380000000.0,187000000,1914000000,192000000,1979000000.0,-14000000,1021000000.0,330666336.0,-1000000,508000000.0,5855000000.0,48000000.0,,-110000000,1028000000,-1030000000,859000000,147000000,4487000000.0,6516000000.0,10220000000.0,132000000.0,,337000000,1431000000,6477000000.0,-17000000.0,810000000,10000000.0,859000000.0,859000000.0,9020000000.0,145000000,-123000000,-24000000,0.570001,329333004.0,-2390000000.0,359000000.0,-79000000,-826000000.0,,11410000000.0,2354000000.0,-47000000,96000000.0,63000000.0,-71000000,49000000,0.0,148000000,0.570001,23000000,181000000.0,,654000000,,,,,,
2016-12-31,3557000000.0,2684000000.0,-3323000000.0,177000000,17678000000.0,-70000000.0,15000000,22654000000.0,,2920000000,26211000000.0,-387000000,388000000,299000000,414000000,20362000000.0,-387000000,1904000000,-382000000,1935000000.0,-9000000,1005000000.0,331032772.0,17000000,541000000.0,5822000000.0,39000000.0,563000000.0,-146000000,1016000000,-3265000000,1684000000,224000000,4575000000.0,5899000000.0,10641000000.0,114000000.0,65000000.0,254000000,1516000000,6374000000.0,-20000000.0,859000000,10000000.0,1418000000.0,1418000000.0,8930000000.0,636000000,332000000,-48000000,-1.179883,329032574.0,-2289000000.0,334000000.0,-115000000,-1001000000.0,,11219000000.0,381000000.0,68000000,64000000.0,60000000.0,503000000,578000000,761000000.0,153000000,-1.179883,15000000,171000000.0,,584000000,,,,,,
2017-03-31,2069000000.0,1967000000.0,-7631000000.0,89000000,10724000000.0,-49000000.0,15000000,12218000000.0,,2161000000,14287000000.0,74000000,277000000,45000000,63000000,12691000000.0,74000000,1889000000,75000000,2391000000.0,-19000000,911000000.0,331000000.0,-63000000,,5135000000.0,43000000.0,,-50000000,272000000,-1824000000,986000000,105000000,1723000000.0,1598000000.0,6588000000.0,,,110000000,1612000000,6217000000.0,-13000000.0,1684000000,3000000.0,862000000.0,862000000.0,341000000.0,35000000,-716000000,-596000000,0.22,330000000.0,,443000000.0,-18000000,-918000000.0,-70000000.0,,1798000000.0,-51000000,22000000.0,128000000.0,-129000000,-698000000,0.0,104000000,0.22,15000000,41000000.0,,303000000,,,,,,
2017-06-30,1999000000.0,1989000000.0,-7514000000.0,87000000,10765000000.0,-49000000.0,21000000,12270000000.0,,2346000000,14269000000.0,166000000,365000000,284000000,313000000,12754000000.0,166000000,2016000000,167000000,2421000000.0,1000000,921000000.0,329000000.0,10000000,,5164000000.0,46000000.0,,-47000000,330000000,-12000000,909000000,117000000,1673000000.0,1515000000.0,6572000000.0,,,275000000,1651000000,6234000000.0,-19000000.0,986000000,3000000.0,784000000.0,784000000.0,338000000.0,108000000,-345000000,-2000000,0.51,327000000.0,,452000000.0,-29000000,-867000000.0,-282000000.0,,1879000000.0,-47000000,99000000.0,62000000.0,90000000,-77000000,0.0,100000000,0.51,21000000,48000000.0,,462000000,,,,,,
2017-09-30,1905000000.0,2033000000.0,-7384000000.0,83000000,10742000000.0,-49000000.0,20000000,12318000000.0,,2354000000,14223000000.0,179000000,382000000,236000000,270000000,12775000000.0,179000000,2009000000,181000000,2433000000.0,4000000,928000000.0,325000000.0,7000000,,5183000000.0,46000000.0,,-49000000,345000000,-12000000,796000000,104000000,1650000000.0,1447000000.0,6564000000.0,,,289000000,1627000000,6239000000.0,-19000000.0,909000000,3000000.0,670000000.0,670000000.0,346000000.0,108000000,-335000000,-1000000,0.56,322000000.0,,468000000.0,-34000000,-820000000.0,-273000000.0,,1911000000.0,-25000000,95000000.0,73000000.0,13000000,-113000000,0.0,100000000,0.55,20000000,49000000.0,,472000000,,,,,,
2017-12-31,1986000000.0,2208000000.0,-6596000000.0,88000000,10025000000.0,-48000000.0,18000000,12322000000.0,,2279000000,14308000000.0,840000000,348000000,226000000,278000000,12233000000.0,840000000,1940000000,841000000,1865000000.0,0,998000000.0,,12000000,,5190000000.0,171000000.0,480000000.0,-76000000,339000000,-12000000,670000000,108000000,1063000000.0,2072000000.0,6556000000.0,,,256000000,1592000000,6232000000.0,-24000000.0,796000000,3000000.0,570000000.0,570000000.0,353000000.0,-585000000,-328000000,-3000000,,,-450000000.0,434000000.0,-52000000,-742000000.0,-266000000.0,803000000.0,282000000.0,-604000000,97000000.0,12000000.0,-81000000,-126000000,622000000.0,104000000,,18000000,46000000.0,,448000000,,,,,,
2018-03-31,2008000000.0,2488000000.0,-6868000000.0,89000000,10025000000.0,-47000000.0,-14000000,12252000000.0,,2074000000,14260000000.0,161000000,279000000,218000000,243000000,12513000000.0,161000000,1754000000,163000000,1738000000.0,-1000000,980000000.0,319000000.0,25000000,,5211000000.0,184000000.0,,-26000000,320000000,-14000000,683000000,104000000,901000000.0,1742000000.0,6558000000.0,,342000000.0,221000000,1475000000,6258000000.0,,670000000,3000000.0,610000000.0,610000000.0,358000000.0,58000000,-211000000,-40000000,0.51,316000000.0,,314000000.0,-25000000,-680000000.0,-110000000.0,,1344000000.0,-37000000,828000000.0,63000000.0,25000000,13000000,692000000.0,83000000,0.51,28000000,47000000.0,,386000000,,,,,,
2018-06-30,1844000000.0,2378000000.0,-6697000000.0,86000000,11048000000.0,-45000000.0,-24000000,12142000000.0,,2291000000,13986000000.0,217000000,406000000,248000000,289000000,13426000000.0,217000000,1939000000,217000000,1757000000.0,-8000000,1041000000.0,303000000.0,-13000000,,5174000000.0,136000000.0,1312000000.0,-49000000,352000000,-658000000,505000000,115000000,908000000.0,555000000.0,7564000000.0,,308000000.0,298000000,1533000000,6190000000.0,,683000000,3000000.0,423000000.0,423000000.0,351000000.0,81000000,-405000000,-23000000,0.72,301000000.0,,316000000.0,-41000000,-742000000.0,-1329000000.0,,,-2000000,819000000.0,22000000.0,-40000000,-178000000,725000000.0,95000000,0.71,40000000,11000000.0,,479000000,,,,,,
2018-09-30,2035000000.0,2413000000.0,-6580000000.0,87000000,11150000000.0,-45000000.0,-44000000,12108000000.0,,2253000000,14143000000.0,162000000,385000000,335000000,382000000,13563000000.0,162000000,1922000000,164000000,1797000000.0,42000000,1051000000.0,300000000.0,7000000,,5170000000.0,79000000.0,,-5000000,331000000,-29000000,700000000,109000000,980000000.0,574000000.0,7559000000.0,,299000000.0,293000000,1537000000,6185000000.0,,505000000,3000000.0,621000000.0,621000000.0,361000000.0,129000000,-174000000,-4000000,0.55,297000000.0,,281000000.0,-47000000,-746000000.0,-122000000.0,,1358000000.0,68000000,814000000.0,18000000.0,66000000,195000000,723000000.0,99000000,0.54,35000000,15000000.0,,473000000,,,,,,
2018-12-31,1983000000.0,2615000000.0,-6417000000.0,90000000,10822000000.0,-44000000.0,-5000000,12012000000.0,,2288000000,13995000000.0,224000000,362000000,295000000,341000000,13437000000.0,224000000,1959000000,225000000,1428000000.0,-5000000,1150000000.0,298000000.0,-2000000,,5160000000.0,169000000.0,516000000.0,-51000000,329000000,-304000000,484000000,115000000,898000000.0,551000000.0,7266000000.0,,350000000.0,266000000,1597000000,6156000000.0,,700000000,3000000.0,403000000.0,403000000.0,367000000.0,41000000,-510000000,-2000000,0.76,296000000.0,-481000000.0,239000000.0,-46000000,-782000000.0,-160000000.0,848000000.0,283000000.0,-43000000,826000000.0,19000000.0,42000000,-216000000,700000000.0,94000000,0.75,24000000,16000000.0,,443000000,,,,,,
2019-03-31,1876000000.0,2794000000.0,-6558000000.0,91000000,11951000000.0,-44000000.0,-15000000,12977000000.0,,2204000000,14853000000.0,158000000,312000000,322000000,364000000,14745000000.0,158000000,1906000000,159000000,1838000000.0,-2000000,1102000000.0,295000000.0,4000000,,5162000000.0,173000000.0,,-44000000,298000000,-336000000,461000000,107000000,850000000.0,100000000.0,7330000000.0,,323000000.0,218000000,1594000000,6121000000.0,,484000000,3000000.0,382000000.0,382000000.0,1328000000.0,59000000,-343000000,-42000000,0.54,293000000.0,,220000000.0,-42000000,-798000000.0,-296000000.0,1328000000.0,,-26000000,830000000.0,,121000000,-23000000,757000000.0,98000000,0.54,34000000,35000000.0,,407000000,,,,,,
2019-06-30,2215000000.0,2780000000.0,-6342000000.0,93000000,12383000000.0,-43000000.0,-28000000,12925000000.0,,2484000000,15140000000.0,260000000,478000000,238000000,286000000,15163000000.0,260000000,2150000000,261000000,1862000000.0,-3000000,1190000000.0,292000000.0,-15000000,,5157000000.0,190000000.0,,-51000000,334000000,-981000000,718000000,113000000,861000000.0,-30000000.0,7772000000.0,,298000000.0,362000000,1672000000,6091000000.0,,461000000,3000000.0,635000000.0,635000000.0,1309000000.0,101000000,20000000,-19000000,0.9,290000000.0,,222000000.0,-48000000,-806000000.0,-357000000.0,1309000000.0,,27000000,822000000.0,,-117000000,257000000,788000000.0,101000000,0.89,47000000,37000000.0,,549000000,,,,,,
2019-09-30,2255000000.0,2900000000.0,-6097000000.0,93000000,12366000000.0,-43000000.0,-6000000,12812000000.0,,2395000000,15067000000.0,288000000,438000000,477000000,532000000,15266000000.0,288000000,2085000000,290000000,1888000000.0,103000000,1193000000.0,288000000.0,88000000,,5137000000.0,138000000.0,,48000000,310000000,-10000000,809000000,107000000,873000000.0,-208000000.0,7767000000.0,,290000000.0,421000000,1647000000,6062000000.0,,718000000,3000000.0,719000000.0,719000000.0,1219000000.0,131000000,-485000000,1000000,1.01,285000000.0,,248000000.0,-55000000,-848000000.0,-433000000.0,1219000000.0,,21000000,834000000.0,,180000000,91000000,788000000.0,105000000,1.0,42000000,38000000.0,,619000000,,,,,,
