date,quarterlyTaxProvision,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetOtherInvestingChanges,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2006-09-30,13915000,270838000.0,-194104000.0,1168116000.0,-62403000,151848000.0,,,151848000.0,,,-62718000,,,-2000.0,3179120000.0,-2000,17093000,-18820000,5854942000.0,5524090000.0,0.0,-945000,,,,16036000,39733000.0,12945000.0,152793000,2802000.0,-0.135,-76633000,-18036000,151848000,,560401395.0,93585000.0,,-391000.0,-77681000,-1189105000.0,2683000,13473000.0,1314808000.0,-1727000,125512000.0,-93717000,169876000,330852000.0,,464942000.0,5571000.0,,21180000.0,-0.135,111503000,57748000.0,159654000.0,58373000,1189296000.0,152090000,,28031000.0,4540134000.0,42652000,2074132000.0,-76633000,,-76633000,1175000,,,,,,
2006-12-31,8494000,280775000.0,-170979000.0,1174594000.0,16364000,154775000.0,,,154775000.0,,,13768000,,,,3198056000.0,278000,24497000,-26321000,5870982000.0,5553620000.0,0.0,2927000,,,,19934000,43656000.0,15914000.0,151848000,2802000.0,,5274000,-21848000,154775000,,,-104448000.0,,-785000.0,19385000,-1183831000.0,11702000,8466000.0,1321718000.0,-1824000,121887000.0,-549000,198854000,317362000.0,,451754000.0,3629000.0,,25237000.0,,135757000,62216000.0,147436000.0,63097000,1199831000.0,63646000,,16015000.0,4549264000.0,45759000,2074789000.0,5274000,,5274000,-439000,,,,,,
2007-03-31,9189000,285172000.0,-170979000.0,1184639000.0,30888000,150477000.0,,,150477000.0,,,29653000,,,-19000.0,3219721000.0,-19000,2565000,-13407000,5895234000.0,5579775000.0,0.0,-4298000,,,,15571000,35232000.0,17724000.0,154775000,2802000.0,0.035,20464000,-6844000,150477000,,560491000.0,-21078000.0,,-665000.0,14370000,-1164627000.0,-13908000,8508000.0,1324787000.0,-10842000,109921000.0,-1201000,173882000,315459000.0,,456151000.0,3832000.0,,30227000.0,0.035,118026000,56612000.0,148634000.0,55856000,1214866000.0,57057000,,18077000.0,4570447000.0,41520000,2074882000.0,20464000,,20464000,7228000,,,,,,
2007-06-30,50969000,282294000.0,-170979000.0,1237066000.0,128323000,174663000.0,,,174663000.0,,,125186000,,,-295000.0,3351804000.0,3788000,32814000,-11686000,6041544000.0,5709386000.0,0.0,24186000,,,,17415000,30970000.0,22773000.0,150477000,2805000.0,0.13,74217000,-12416000,174663000,,560732419.0,-125744000.0,,-1006000.0,14486000,-1090410000.0,16774000,50152000.0,1387516000.0,21128000,119911000.0,-2929000,177220000,332158000.0,,453273000.0,4086000.0,,30539000.0,0.13,121609000,61164000.0,140505000.0,55611000,1267605000.0,58540000,,27777000.0,4654028000.0,41333000,2075288000.0,74217000,,74217000,276000,,,,,,
2007-09-30,4086000,278503000.0,-170979000.0,1240090000.0,13039000,157461000.0,,543000.0,157461000.0,,,11593000,,,-155000.0,3362587000.0,388000,-2872000,-11217000,6053136000.0,5716761000.0,0.0,-17202000,,,,17176000,32984000.0,23085000.0,174663000,2808000.0,0.015,7507000,-14718000,157461000,,561490507.0,147466000.0,,1630000.0,15815000,-1082903000.0,-21282000,4108000.0,1383127000.0,-14089000,113229000.0,-1361000,177913000,336375000.0,,449482000.0,11077000.0,,29808000.0,0.015,122539000,58453000.0,152413000.0,55374000,1269898000.0,56735000,,21792000.0,4670009000.0,39644000,2075671000.0,7507000,,7507000,-5131000,,,,,,
2007-12-31,-5087000,269742000.0,-226618000.0,1228942000.0,-179246000,209449000.0,,8349000.0,209449000.0,,,-175667000,,,-172000.0,3314480000.0,8177000,24492000,-10805000,5865752000.0,5494045000.0,0.0,51988000,,,,17570000,26298000.0,16781000.0,157461000,2810000.0,,-170580000,19319000,209449000,,,164273000.0,,,-143821000,-1253483000.0,3578000,-6415000.0,1371431000.0,13687000,120137000.0,-161391000,178199000,371707000.0,,496360000.0,3101000.0,,22352000.0,,128860000,68888000.0,144342000.0,49339000,1251294000.0,210730000,,24951000.0,4494321000.0,28190000,1909823000.0,-170580000,,-170580000,-352000,,,,,,
2008-03-31,26466000,262744000.0,-226618000.0,1252033000.0,66907000,222577000.0,,329000.0,222577000.0,,,60457000,,,-168000.0,3348994000.0,161000,-2171000,-8552000,5935838000.0,5521561000.0,0.0,13128000,,23545000.0,,16540000,48555000.0,12553000.0,209449000,2811000.0,0.06,33991000,15138000,222577000,,562258942.0,-67020000.0,,,10168000,-1219492000.0,-11436000,25754000.0,1411265000.0,-10723000,137402000.0,-6372000,189305000,414277000.0,,489362000.0,3752000.0,,21830000.0,0.06,138060000,65375000.0,172624000.0,51245000,1273863000.0,57617000,,23472000.0,4524573000.0,41155000,1909823000.0,33991000,,33991000,145000,,,,,,
2008-06-30,30227000,255963000.0,-226618000.0,1285504000.0,75119000,226007000.0,,50000.0,226007000.0,,,76106000,,562384000.0,-172000.0,3431514000.0,-122000,11557000,-9642000,6019378000.0,5597300000.0,0.0,3430000,,0.0,,16761000,42390000.0,18962000.0,222577000,2812000.0,0.08,45879000,-8005000,226007000,,562490791.0,-74395000.0,,,17490000,-1173613000.0,-6132000,29444000.0,1442011000.0,1915000,134832000.0,729000,194477000,422078000.0,,482581000.0,3956000.0,,21675000.0,0.08,137912000,69840000.0,178205000.0,56565000,1307179000.0,55836000,,22602000.0,4577367000.0,38817000,1909823000.0,45879000,,45879000,1637000,,,,,,
2008-09-30,93000000,412000000.0,,,-21000000,92000000.0,349000000.0,,92000000.0,61000000.0,1541000000.0,227000000,,604000000.0,-365660000.0,290000000.0,-658039000,413614000,-65806000,10445000000.0,9339000000.0,253000000.0,-133558000,,455000.0,,214699000,418000000.0,-3000000.0,226007000,5000000.0,0.22,134000000,108867000,92000000,,562521276.0,94415000.0,,,523699000,-1042000000.0,-145432000,66802000.0,4926000000.0,347808000,1020000000.0,309000000,845000000,1106000000.0,,412000000.0,250000000.0,3555000000.0,351000000.0,0.22,262000000,,764000000.0,583000000,3906000000.0,274000000,,,5519000000.0,224000000,7096000000.0,134000000,,94000000,137218000,,,,,,
2008-12-31,67000000,395000000.0,-502000000.0,246000000.0,-87000000,100000000.0,458000000.0,,100000000.0,61000000.0,716000000.0,181000000,,,3000000.0,1373000000.0,-116000000,146000000,-18000000,10484000000.0,9375000000.0,98000000.0,8000000,,0.0,,-16000000,71000000.0,-78000000.0,92000000,5000000.0,,106000000,-18000000,100000000,,,80000000.0,,,338000000,-936000000.0,-153000000,68000000.0,4948000000.0,128000000,1070000000.0,298000000,904000000,1109000000.0,,897000000.0,73000000.0,3331000000.0,301000000.0,,266000000,350000000.0,780000000.0,638000000,3878000000.0,340000000,,93000000.0,5536000000.0,270000000,6891000000.0,106000000,,105000000,-139000000,,,,,,
2009-03-31,70000000,384000000.0,,,5000000,142000000.0,586000000.0,,142000000.0,57000000.0,1894000000.0,193000000,0.0,844000000.0,-8000000.0,196000000.0,-74000000,140000000,-20000000,10475000000.0,9363000000.0,217000000.0,42000000,,0.0,,38000000,,-85000000.0,100000000,5000000.0,0.14,119000000,-20000000,142000000,37000000.0,562521952.0,10000000.0,,,288000000,-817000000.0,-46000000,-22000000.0,4798000000.0,120000000,1174000000.0,245000000,817000000,1112000000.0,,,80000000.0,3137000000.0,487000000.0,0.14,253000000,,,564000000,3624000000.0,319000000,,,5653000000.0,281000000,6889000000.0,119000000,-69000000.0,123000000,0,,,,,,
2009-06-30,267000000,410000000.0,,,232000000,339000000.0,421000000.0,,339000000.0,60000000.0,1895000000.0,446000000,0.0,848000000.0,-3000000.0,621000000.0,-297000000,180000000,-14000000,10696000000.0,9365000000.0,242000000.0,197000000,,22000000.0,,40000000,,-25000000.0,142000000,5000000.0,0.215,183000000,308000000,339000000,61000000.0,563260975.0,8000000.0,,,546000000,-632000000.0,94000000,37000000.0,4778000000.0,166000000,1227000000.0,274000000,881000000,1331000000.0,,,78000000.0,3053000000.0,498000000.0,0.215,257000000,,,624000000,3551000000.0,350000000,,,5903000000.0,310000000,6439000000.0,185000000,-769000000.0,179000000,0,,,,,,
2009-09-30,54000000,417000000.0,,,2000000,401000000.0,39000000.0,,401000000.0,,1879000000.0,155000000,0.0,854000000.0,1000000.0,590000000.0,28000000,38000000,-9000000,10741000000.0,9324000000.0,329000000.0,62000000,,0.0,,40000000,,-35000000.0,339000000,5000000.0,0.11,95000000,-9000000,401000000,98000000.0,566000000.0,8000000.0,,,259000000,-531000000.0,-161000000,-48000000.0,4699000000.0,29000000,762000000.0,219000000,854000000,1417000000.0,,,76000000.0,3472000000.0,465000000.0,0.11,257000000,,,597000000,3937000000.0,378000000,,,6028000000.0,338000000,6438000000.0,101000000,-491000000.0,101000000,0,,,,,,
2009-12-31,81000000,411000000.0,-575000000.0,274000000.0,-259000000,623000000.0,155000000.0,,623000000.0,,1860000000.0,237000000,0.0,,-3000000.0,581000000.0,-13000000,250000000,-14000000,10965000000.0,9285000000.0,87000000.0,222000000,,,,37000000,63000000.0,-21000000.0,401000000,5000000.0,,155000000,-13000000,623000000,32000000.0,,6000000.0,,,600000000,-376000000.0,-11000000,26000000.0,4746000000.0,236000000,790000000.0,563000000,964000000,1680000000.0,38000000.0,986000000.0,76000000.0,3457000000.0,225000000.0,,298000000,306000000.0,,666000000,3956000000.0,103000000,,91000000.0,6208000000.0,318000000,6433000000.0,155000000,-12000000.0,156000000,301000000,,,,,,
2010-03-31,47000000,405000000.0,,,-8000000,691000000.0,256000000.0,,691000000.0,58000000.0,1813000000.0,220000000,-38000000.0,858000000.0,2000000.0,571000000.0,1000000,126000000,-12000000,10952000000.0,9231000000.0,283000000.0,68000000,,,,219000000,62000000.0,-40000000.0,623000000,5000000.0,0.2,169000000,-65000000,691000000,44000000.0,569000000.0,17000000.0,-2000000.0,,497000000,-224000000.0,-311000000,-16000000.0,4519000000.0,114000000,934000000.0,286000000,879000000,1721000000.0,80000000.0,,73000000.0,3235000000.0,350000000.0,0.195,269000000,203000000.0,,610000000,3585000000.0,324000000,,,6359000000.0,290000000,6442000000.0,169000000,-8000000.0,173000000,-15000000,,,,,,
2010-06-30,41000000,401000000.0,,,-173000000,713000000.0,17000000.0,,713000000.0,,1831000000.0,151000000,0.0,862000000.0,0.0,585000000.0,98000000,-36000000,-8000000,11074000000.0,9259000000.0,235000000.0,22000000,,,,198000000,43000000.0,-44000000.0,691000000,5000000.0,0.125,106000000,-34000000,713000000,50000000.0,570000000.0,38000000.0,,,570000000,-111000000.0,-404000000,-28000000.0,4560000000.0,-44000000,608000000.0,372000000,963000000,1815000000.0,19000000.0,,81000000.0,3594000000.0,358000000.0,0.125,254000000,239000000.0,,709000000,3952000000.0,337000000,,,6486000000.0,304000000,6442000000.0,107000000,-2880000000.0,110000000,-26000000,,,,,,
2010-09-30,83000000,389000000.0,,,-31000000,1016000000.0,18000000.0,,1016000000.0,,1844000000.0,247000000,0.0,862000000.0,-14000000.0,593000000.0,-43000000,355000000,-9000000,11398000000.0,9261000000.0,310000000.0,303000000,,0.0,,-317000000,52000000.0,-23000000.0,713000000,5000000.0,0.22,186000000,-15000000,1016000000,59000000.0,569880000.0,529000000.0,,-30000000.0,359000000,75000000.0,-59000000,-45000000.0,4703000000.0,346000000,792000000.0,327000000,926000000,2137000000.0,42000000.0,,81000000.0,3595000000.0,316000000.0,0.215,261000000,312000000.0,,665000000,3911000000.0,338000000,,,6683000000.0,306000000,6435000000.0,186000000,-3000000.0,164000000,24000000,,,,,,
2010-12-31,117000000,399000000.0,-654000000.0,304000000.0,-36000000,466000000.0,20000000.0,,466000000.0,,1850000000.0,317000000,0.0,,-148000000.0,601000000.0,-697000000,223000000,-20000000,11019000000.0,9284000000.0,171000000.0,-550000000,,0.0,-567000000.0,32000000,87000000.0,-33000000.0,1016000000,5000000.0,,191000000,-76000000,466000000,29000000.0,,-491000000.0,,-56000000.0,186000000,0.0,-362000000,100000000.0,4786000000.0,203000000,785000000.0,401000000,1015000000,1735000000.0,,1053000000.0,83000000.0,3598000000.0,99000000.0,,291000000,338000000.0,,724000000,4001000000.0,323000000,,114000000.0,6225000000.0,291000000,6434000000.0,191000000,-2000000.0,200000000,0,,,,,,
2011-03-31,146000000,389000000.0,,352000000.0,-8000000,453000000.0,21000000.0,,453000000.0,49000000.0,1872000000.0,451000000,0.0,828000000.0,-1000000.0,136000000.0,-168000000,217000000,-11000000,11108000000.0,9479000000.0,458000000.0,-13000000,,,-167000000.0,30000000,62000000.0,-16000000.0,466000000,5000000.0,0.375,305000000,-70000000,453000000,17000000.0,564000000.0,19000000.0,-5000000.0,-57000000.0,530000000,305000000.0,-254000000,44000000.0,4697000000.0,206000000,654000000.0,508000000,951000000,1629000000.0,,,84000000.0,3591000000.0,100000000.0,0.37,273000000,356000000.0,,678000000,4043000000.0,170000000,781000000.0,113000000.0,6408000000.0,269000000,6301000000.0,305000000,-10000000.0,305000000,-2000000,,,,,,
2011-06-30,144000000,382000000.0,,373000000.0,-2000000,1095000000.0,22000000.0,,1095000000.0,49000000.0,1894000000.0,398000000,-82000000.0,820000000.0,11000000.0,131000000.0,467000000,214000000,-16000000,11836000000.0,9515000000.0,82000000.0,642000000,,,-210000000.0,30000000,48000000.0,-10000000.0,453000000,5000000.0,0.315,254000000,-39000000,1095000000,32000000.0,556000000.0,11000000.0,,,477000000,559000000.0,-336000000,27000000.0,5322000000.0,198000000,614000000.0,449000000,1067000000,2321000000.0,,,93000000.0,4235000000.0,100000000.0,0.31,288000000,364000000.0,,779000000,4708000000.0,330000000,806000000.0,98000000.0,6513000000.0,300000000,6302000000.0,254000000,-3000000.0,254000000,59000000,,,,,,
2011-09-30,127000000,371000000.0,,354000000.0,-7000000,1032000000.0,20000000.0,,1032000000.0,56000000.0,1870000000.0,365000000,82000000.0,802000000.0,1000000.0,146000000.0,-354000000,329000000,-15000000,11801000000.0,9502000000.0,78000000.0,-63000000,,,-355000000.0,30000000,48000000.0,-22000000.0,1095000000,5000000.0,0.3,237000000,-26000000,1032000000,21000000.0,543000000.0,18000000.0,,,451000000,796000000.0,-219000000,0.0,5398000000.0,314000000,707000000.0,428000000,1095000000,2299000000.0,,,83000000.0,4229000000.0,108000000.0,0.295,342000000,438000000.0,,753000000,4691000000.0,325000000,816000000.0,123000000.0,6402000000.0,295000000,6299000000.0,237000000,-3000000.0,238000000,-93000000,,,,,,
2011-12-31,8000000,379000000.0,-736000000.0,337000000.0,84000000,1048000000.0,26000000.0,,1048000000.0,54000000.0,1873000000.0,345000000,-26000000.0,,17000000.0,132000000.0,-242000000,340000000,-16000000,11913000000.0,9482000000.0,72000000.0,16000000,,,-265000000.0,875000000,53000000.0,-23000000.0,1032000000,5000000.0,,336000000,-79000000,1048000000,29000000.0,,126000000.0,,,1274000000,1132000000.0,-333000000,,5394000000.0,324000000,746000000.0,315000000,1122000000,2431000000.0,38000000.0,1115000000.0,93000000.0,4219000000.0,92000000.0,,330000000,129000000.0,,792000000,4648000000.0,477000000,807000000.0,113000000.0,6517000000.0,319000000,6291000000.0,336000000,-4000000.0,337000000,-37000000,,,,,,
2012-03-31,119000000,374000000.0,,321000000.0,-51000000,1044000000.0,19000000.0,,1044000000.0,55000000.0,1901000000.0,341000000,,780000000.0,28000000.0,137000000.0,-213000000,248000000,-21000000,11935000000.0,9484000000.0,0.0,-4000000,,,-288000000.0,30000000,63000000.0,-12000000.0,1048000000,5000000.0,0.285,221000000,-42000000,1044000000,41000000.0,368000000.0,-11000000.0,,-38000000.0,426000000,1353000000.0,-299000000,,5367000000.0,227000000,740000000.0,447000000,1103000000,2451000000.0,87000000.0,,99000000.0,4218000000.0,88000000.0,0.285,311000000,208000000.0,,792000000,4627000000.0,345000000,778000000.0,91000000.0,6565000000.0,315000000,6294000000.0,221000000,-10000000.0,222000000,17000000,,,,,,
2012-06-30,127000000,368000000.0,,263000000.0,-8000000,1698000000.0,20000000.0,,1698000000.0,61000000.0,1964000000.0,420000000,,768000000.0,3000000.0,135000000.0,589000000,141000000,-3000000,12810000000.0,9596000000.0,0.0,654000000,,,-404000000.0,31000000,56000000.0,-23000000.0,1044000000,5000000.0,0.385,293000000,-72000000,1698000000,31000000.0,354650000.0,450000000.0,,-49000000.0,512000000,1646000000.0,-395000000,,6337000000.0,138000000,757000000.0,489000000,1142000000,3214000000.0,107000000.0,,110000000.0,5206000000.0,111000000.0,0.38,314000000,165000000.0,,828000000,5580000000.0,339000000,817000000.0,98000000.0,6471000000.0,308000000,6312000000.0,293000000,-3000000.0,293000000,-20000000,,,,,,
2012-09-30,134000000,368000000.0,,260000000.0,-22000000,1553000000.0,21000000.0,,1553000000.0,68000000.0,2034000000.0,349000000,0.0,750000000.0,3000000.0,155000000.0,-448000000,382000000,-29000000,12687000000.0,9692000000.0,0.0,-145000000,,,-454000000.0,26000000,54000000.0,-8000000.0,1698000000,5000000.0,0.275,205000000,-81000000,1553000000,40000000.0,338450000.0,225000000.0,,-28000000.0,444000000,1851000000.0,-156000000,11000000.0,6420000000.0,353000000,826000000.0,439000000,1076000000,2995000000.0,53000000.0,,107000000.0,5210000000.0,124000000.0,0.275,296000000,244000000.0,,780000000,5594000000.0,341000000,821000000.0,133000000.0,6265000000.0,314000000,6314000000.0,205000000,-4000000.0,215000000,-41000000,,,,,,
