date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation
1990-09-30,,,,0.037514,,,,,,,47624552.0,,,,,,,,,633936000.0,,47624552,47624552.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.037514,,,,,,,,,,275459484,,,,275459484,,,,,633936000.0,,275459484,,,,,,,
1990-12-31,1737733441.0,689247187.0,,,,,160422225.0,,306460967.0,3177705603.0,23271128.0,51618141.0,,3017283378.0,,2044194409.0,,52082125.0,,,,23271128,23271128.0,,,682751421.0,17515369.0,,1003363879.0,,,,,,,,,,,1105556200.0,,,,0.0,-1384642153.0,5451804.0,5451804.0,,,119707691.0,,,,,,,,,152865682,,,4349843406.0,-428389392,,2965201253.0,,,,186753276.0,-428389392,,,,,,,
1991-03-31,,,,0.066494,,,,,,,84414081.0,,,,,,,,,634976000.0,,86266790,84414081.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.066494,,,,,,,,,,156901343,,,,156901343,,,,,634976000.0,,156901343,,,,,,,
1991-06-30,,,,0.065704,,,,,,,83361882.0,,,,,,,,,634976000.0,,85188992,83361882.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.065704,,,,,,,,,,154847551,,,,154847551,,,,,634976000.0,,154847551,,,,,,,
1991-09-30,,,,0.064995,,,,,,,82597873.0,,,,,,,,,634576000.0,,84408237,82597873.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.064995,,,,,,,,,,153428377,,,,153428377,,,,,634576000.0,,153428377,,,,,,,
1991-12-31,923156922.0,237693552.0,,,,,685232263.0,,388490871.0,1770395193.0,89620199.0,13173100.0,,1085162930.0,,1311647793.0,,22532932.0,,,,91700084,89620199.0,,,366766813.0,2542177.0,,543217009.0,,,,,,,,,,,458747400.0,,,,0.0,-681996765.0,625606656.0,625606656.0,,,300092443.0,,,,59625607.0,,,,,166474652,,,1744626763.0,-236807067,,1062629998.0,,,,28772821.0,-236807067,,,,,,,
1992-03-31,1013913664.0,243548579.0,,0.020833,24140801.0,,379831133.0,25805684.0,110714710.0,1591509097.0,25805684.0,11892020.0,-146152931.0,1211677964.0,16054228.0,1124628374.0,,152336782.0,-118921.0,636544000.0,88952313.0,25805684,25805684.0,,16410988.0,371863480.0,2735165.0,,630158164.0,19621834.0,41859912.0,0.0,-151861101.0,-298251873.0,,,,625639196.0,44951837.0,466880723.0,,6897372.0,,0.0,-698180521.0,176239743.0,176239743.0,,0.020833,26638126.0,18551552.0,,2854085.0,61600666.0,,-334284695.0,,2140564.0,108574147,36746343.0,-12605542.0,1757521703.0,47092401,-449399453.0,1059341182.0,-6064931.0,19146153.0,636544000.0,22475918.0,63146629,,,,,,,
1992-06-30,930695444.0,238968825.0,,0.014205,7633779.0,,338609113.0,28297362.0,165227818.0,1558752998.0,17985612.0,11510792.0,15217679.0,1220143885.0,16199969.0,1095923261.0,,152158273.0,118921.0,636912000.0,76258993.0,17985612,17985612.0,,11750600.0,367386091.0,2398082.0,,551798561.0,17865707.0,44364508.0,0.0,-9170074.0,-19973547.0,,,,0.0,25899281.0,462829736.0,,176969.0,,0.0,-713669065.0,151678657.0,151678657.0,,0.014205,76618705.0,17865707.0,,5898913.0,76258993.0,,-47609789.0,,377422.0,94124700,32198501.0,-24564722.0,1781654677.0,31894485,-24461458.0,1067985612.0,3307137.0,7913669.0,636912000.0,12350120.0,48094454,,,,,,,
1992-09-30,942386831.0,241800723.0,,0.017938,8380052.0,,327098142.0,27434842.0,161242050.0,1570021200.0,22696097.0,11472752.0,30174559.0,1242923058.0,16130888.0,1103628881.0,,152886894.0,0.0,636976000.0,80433970.0,22696097,22696097.0,,10849233.0,376231450.0,2618780.0,,554682629.0,19453797.0,43646340.0,0.0,3031424.0,-19846659.0,,,,0.0,31425365.0,466392318.0,,10758306.0,,1.0,-729766804.0,170719541.0,170719541.0,,0.017938,63973064.0,16460905.0,,8705538.0,83551565.0,,-30251669.0,,100794.0,99887767,46281493.0,-37901441.0,1819802968.0,36787630,18941345.0,1090036164.0,-235098.0,8729268.0,636976000.0,13717421.0,52999128,,,,,,,
1992-12-31,1045009536.0,233566434.0,,,-44731873.0,,395041322.0,,160076287.0,1663954228.0,11676116.0,11061666.0,-2862956.0,1268912905.0,,1205085823.0,,30514939.0,0.0,,-104180195.0,11676116,11676116.0,,4708224.0,373553719.0,,,660394151.0,202001017.0,,0.0,-60690650.0,-19969879.0,,,,0.0,13159481.0,458868404.0,,-16815483.0,,103623649.0,-745835982.0,254672600.0,254672600.0,,,104386523.0,17309938.0,124984107.0,,,,125051430.0,,178423.0,97820822,-3719662.0,-41012211.0,1859249841.0,25761194,84035904.0,1113413859.0,2992891.0,1483365.0,,55689764.0,25761194,,,,,,,
1993-03-31,950673210.0,230149742.0,,0.013353,21895055.0,,284258211.0,27809236.0,157292060.0,1564112244.0,16484208.0,124952812.0,-26047565.0,1279854033.0,17239210.0,1107965270.0,,50962628.0,-97646911.0,637776000.0,77513527.0,16484208,16484208.0,,10444193.0,377375110.0,,,448345288.0,20385051.0,45048446.0,0.0,-34352586.0,-19881716.0,,,,254687303.0,24789229.0,456146974.0,,-251668.0,,108468605.0,-763558576.0,131747829.0,131747829.0,,0.013353,93746068.0,18120045.0,124952812.0,,52346798.0,,-116396124.0,,1132503.0,97898578,29948408.0,-8053353.0,1867497169.0,32465081,-122939474.0,1103938593.0,-1.0,8305021.0,637776000.0,11199194.0,49704291,,,,,,,
1993-06-30,937315729.0,228945007.0,,0.014433,9511175.0,,190232022.0,28714267.0,79605179.0,1473272657.0,18843738.0,124983976.0,21304583.0,1283040636.0,17499926.0,1016920908.0,,53839252.0,-41181444.0,638336000.0,76272273.0,18843738,18843738.0,,14100756.0,402384310.0,,,409947443.0,19356493.0,46147930.0,0.0,3843677.0,-19984968.0,,,,0.0,27688758.0,456351750.0,,251668.0,,102807333.0,-779515447.0,51788232.0,51788232.0,,0.014433,37046532.0,16536341.0,124983976.0,,42558646.0,,-114343525.0,,790327.0,95628766,27223749.0,-17712574.0,1883732855.0,30124343,-79983228.0,1104217408.0,0.0,8845020.0,638336000.0,1.0,47624269,,,,,,,
1993-09-30,943436499.0,230522946.0,,0.016696,8348306.0,,184098186.0,24546425.0,77107791.0,1481189968.0,21344717.0,9605122.0,-16201522.0,1297091782.0,17288612.0,1020544290.0,,54028815.0,-16721272.0,638336000.0,80709712.0,21344717,21344717.0,,10939168.0,409551761.0,,,524279616.0,20144077.0,41889007.0,0.0,-7377964.0,-19898524.0,,,,0.0,34685165.0,460645678.0,,400213.0,,86979723.0,-792155816.0,50293490.0,50293490.0,,0.016696,10138741.0,15208111.0,125000000.0,,51494130.0,,-41805709.0,,611855.0,100853789,39279284.0,-30930978.0,1910218783.0,38820705,-1452965.0,1118062967.0,,13340448.0,638336000.0,15474920.0,56163288,,,,,,,
1993-12-31,1124437384.0,234577707.0,,,10814698.0,,344453270.0,,78898597.0,1666534286.0,24055015.0,127482128.0,-103947.0,1322081017.0,17736615.0,1203335981.0,,70161504.0,155682007.0,,-28409115.0,24055015,24055015.0,,12964535.0,399920572.0,,,597034684.0,129140307.0,-63373310.0,0.0,-24728960.0,-20060050.0,,,,0.0,32822307.0,463198306.0,,-12976332.0,,75191952.0,-800238284.0,225311093.0,225311093.0,14524417.0,,3971406.0,15106424.0,124966905.0,,52687318.0,,166641201.0,,112919.0,100731192,36987796.0,-26173098.0,1927190892.0,34964195,174987264.0,1126952608.0,,8767292.0,,22239873.0,52700810,,,,,,,
1994-03-31,1292595156.0,245259516.0,,0.016419,21730104.0,,529965398.0,26712803.0,92871972.0,1850380623.0,20346021.0,127474049.0,-57577855.0,1320415225.0,17854671.0,1385467128.0,,83598616.0,0.0,638912000.0,80692041.0,20346021,20346021.0,,13979239.0,391003460.0,,,774117647.0,21314879.0,44567474.0,0.0,-81384083.0,-20069204.0,,,,225328720.0,31418685.0,464913495.0,,-1107266.0,,70449827.0,-836678201.0,334532872.0,334532872.0,,0.016419,,18823529.0,104913495.0,,22283737.0,,145743945.0,,276817.0,102006920,44429066.0,-22698962.0,1968581315.0,36124567,109342561.0,1131903114.0,,11072664.0,638912000.0,70588235.0,53979238,,,,,,,
1994-06-30,3499031544.0,232014388.0,,0.013816,-1193285168.0,,931377975.0,28361926.0,722053127.0,4922385169.0,17155506.0,12451577.0,55364241.0,3991007194.0,17839850.0,4221084670.0,,153569452.0,0.0,640704000.0,75954621.0,17155506,17155506.0,,18123962.0,398727172.0,152600996.0,,3087852795.0,18677366.0,46209186.0,0.0,-1201958474.0,-19914194.0,,,,0.0,24903154.0,464443830.0,,2352423.0,,465965689.0,-832457111.0,51051467.0,51051467.0,,0.013816,160763697.0,23104593.0,,,344493636.0,,830874760.0,,2905253.0,94631987,87557652.0,-1280842820.0,4669894853.0,29745435,-283664642.0,3837437742.0,,7747648.0,640704000.0,216795794.0,47592696,,,,,,,
1994-09-30,3601959995.0,231843200.0,,0.015929,1097451157.0,,925090616.0,27251980.0,732581555.0,5038394415.0,19734193.0,12619144.0,,4113303799.0,17735470.0,4334541549.0,,168344744.0,961068600.0,642816000.0,79608001.0,19734193,19734193.0,,26983488.0,406497516.0,152637938.0,,3182843335.0,20136931.0,44972480.0,0.0,-135774103.0,-20024657.0,,,,0.0,22284871.0,467042556.0,,-1208252809.0,,37186200.0,-846959323.0,21613639.0,21613639.0,-8817031.0,0.014251,261780105.0,39334139.0,,,345818231.0,,88222213.0,,3530240.0,99744932,18369034.0,1079082123.0,4791918378.0,34635521,-29329416.0,3944959055.0,,2550678.0,642816000.0,124983219.0,52370991,,,,,,,
1994-12-31,3869546921.0,198064245.0,,,-102779246.0,,977275915.0,,796605415.0,5346051340.0,-13564252.0,12343947.0,,4368775424.0,48547846.0,4666152336.0,,316874737.0,-963453227.0,,-17448806.0,-13564252,-13564252.0,,13031543.0,398793660.0,,,3458409314.0,312560743.0,-33610833.0,0.0,-185035395.0,-20227602.0,,,,0.0,-38556474.0,446345911.0,,-33699320.0,,387992706.0,-892551550.0,12343947.0,12343947.0,834929.0,,432739515.0,68597703.0,,,309580586.0,,126209720.0,,4228916.0,295111937,49391758.0,-152171004.0,4944452237.0,16162027,-9281593.0,4051900687.0,,-24992222.0,,54285314.0,64709873,,,,,,,
1995-03-31,3149383480.0,,,0.023671,28627132.0,,829887583.0,,869686279.0,5170538781.0,35959144.0,402176290.0,,4340651198.0,51668482.0,4019069759.0,,187622421.0,120792532.0,769600000.0,,35959144,35959144.0,,,,303427648.0,,2747207190.0,,,119994563.0,-122188977.0,-25634749.0,,394994571.0,,12368517.0,,918162885.0,,-61443600.0,,11470801.0,-890233976.0,119994563.0,119994563.0,24836780.0,0.023671,429805961.0,,,,398685177.0,,115605734.0,,11670294.0,784385057,114209289.0,-85582157.0,5043262753.0,784385057,107626046.0,4153028777.0,36906058.0,,769600000.0,41195141.0,836053539,,,,,,,
1995-06-30,2991171053.0,,,0.05152,-42710987.0,,524298967.0,,547971829.0,4910470852.0,89062714.0,25570687.0,,4386171886.0,54210143.0,3539142883.0,,194876602.0,-2528105.0,769600000.0,,89062714,89062714.0,,,381762364.0,50641946.0,,2583838002.0,,,44848588.0,-88769190.0,-30001472.0,,424912899.0,,119994563.0,,1124610796.0,,-8676018.0,,3895534.0,-891478049.0,44848588.0,44848588.0,7626006.0,0.05152,136044045.0,,,,357490189.0,,-31402261.0,,136060354.0,971456018,45008191.0,-87719178.0,5082773333.0,971456018,-75163260.0,4191295284.0,-98135867.0,,769600000.0,54437595.0,1025666161,,,,,,,
1995-09-30,2915909896.0,,,0.006735,51633317.0,,405972426.0,,558660288.0,4833621643.0,17037832.0,26792587.0,,4427649218.0,55972502.0,3474570184.0,,194818956.0,-3723629.0,769600000.0,,17037832,17037832.0,,,380574249.0,136851353.0,,2508543060.0,,,21015746.0,-109656465.0,-29920775.0,,248105327.0,,44848588.0,,1113934153.0,,-4082899.0,,0.0,-888936187.0,21015746.0,21015746.0,3791866.0,0.006735,155277481.0,,,,332267913.0,,-75139810.0,,6849628.0,471558895,160998749.0,-109365432.0,5121766449.0,471558895,-23797526.0,4232830262.0,88420798.0,,769600000.0,71114894.0,527531397,,,,,,,
1995-12-31,2953776929.0,212162531.0,,,9900770.0,,603763294.0,,888737388.0,5176983911.0,-1255405.0,26861194.0,,4573220616.0,59583288.0,3842514317.0,,195527679.0,-3823591.0,,,-1255405,-1255405.0,,,373056995.0,293018816.0,,2553858740.0,,,0.0,-189611711.0,-30750612.0,,,,21015746.0,,1095582220.0,,-43741306.0,,136352.0,-1096673030.0,31769839.0,31769839.0,151129.0,,401418053.0,,,,308426507.0,,44386023.0,,-2139589.0,319523639,155922304.0,-146021534.0,5474365967.0,-1540716339,10696616.0,4377692937.0,-14101269.0,,,178892828.0,-1481133051,,,,,,,
1996-03-31,,,,0.023843,-127498870.0,,0.0,,0.0,0.0,45534865.0,,,,59060510.0,,,,-2394344.0,973968000.0,,45534865,45534865.0,86196419.0,,,,,,,,41302451.0,-102458012.0,-30328370.0,,,,31725071.0,,0.0,,-4389632.0,,,,,,,0.023843,,,,-137275779.0,,,141465883.0,,7282799.0,617099361,-29430490.0,-98068380.0,,617099361,9577380.0,,,,973968000.0,,676159871,,,,,,,
1996-06-30,,,,0.058893,37513384.0,,0.0,,0.0,0.0,114975450.0,,,,60886847.0,,,,-2000064.0,973968000.0,,114975450,114975450.0,188254319.0,,,,,,,,37652085.0,-154015604.0,-30594101.0,,,,41302451.0,,0.0,,-28568426.0,,,,,,,0.058893,,,,-22321121.0,,,-12629838.0,,7598264.0,989361702,162960562.0,-125447178.0,,989361702,-3684879.0,,,,973968000.0,,1050248549,,,,,,,
1996-09-30,3218262590.0,,,0.01192,3837347.0,,503996592.0,,715669164.0,5300808887.0,23144997.0,385068187.0,,4796812295.0,60743866.0,3933931753.0,,231160840.0,-2201621.0,973968000.0,,23144997,23144997.0,-88262824.0,,,106635805.0,,2833194403.0,,,25384718.0,-155578327.0,-31621817.0,,371976069.0,,37652085.0,,1209272012.0,,-7917335.0,,0.0,-1096040178.0,25384718.0,25384718.0,,0.01192,179491945.0,,,76546897.0,415449897.0,,-8208663.0,,8804678.0,521987747,151498339.0,-147660992.0,5661691633.0,521987747,-12288650.0,4565651455.0,,,973968000.0,120727322.0,582731613,,,,,,,
1996-12-31,3360148006.0,266547896.0,,,63673149.0,,653967384.0,,1004933534.0,5761134713.0,-3450414.0,47553789.0,,5107167329.0,56255467.0,4365081540.0,,300123338.0,-2037656.0,,,-3450414,-3450414.0,-172346609.0,,373578183.0,279018775.0,,2939016034.0,,,0.0,-410340821.0,-33397880.0,,,,25384718.0,,1396053173.0,,-221013054.0,,0.0,-1263395916.0,13841305.0,13841305.0,,,446758942.0,,,156093720.0,400438536.0,,145783472.0,,117879286.0,327294384,253000916.0,-189327767.0,6070439907.0,-1550189514,-11556434.0,4807043991.0,137044.0,,,157736056.0,-1493934047,,,,,,,
1997-03-31,3396289117.0,291470507.0,,0.026765,-103710883.0,,749099972.0,145527555.0,1081833287.0,5909027970.0,57047909.0,0.0,,5159927998.0,66048186.0,4478122404.0,,321794517.0,-138465.0,1080000000.0,372611465.0,57047909,57047909.0,75048463.0,12046525.0,423843811.0,204098588.0,,2972445306.0,247853780.0,211575741.0,0.0,-119911382.0,-34754916.0,,,,13846580.0,102326225.0,1430905566.0,,-23539186.0,,-1.0,-1276516200.0,71032955.0,71032955.0,,0.026765,439628912.0,70617557.0,,-129603988.0,381334810.0,,184436444.0,,9554140.0,620465245,-7338687.0,-96372196.0,6114649681.0,161035724,57186375.0,4838133481.0,-138465.0,45278316.0,1080000000.0,260869565.0,227083910,,,,,,,
1997-06-30,3415596963.0,387439614.0,,0.061218,-84832940.0,,620013803.0,158454106.0,901311249.0,5855072464.0,131677019.0,-138027.0,,5235058661.0,66733042.0,4316908213.0,,345065562.0,-4554426.0,1081600000.0,513733610.0,131677019,131677019.0,194516754.0,12146308.0,427467219.0,9661836.0,,2988267771.0,471359558.0,225120773.0,0.0,-138197659.0,-34948328.0,,,,0.0,232160111.0,1538164251.0,,-18972892.0,,0.0,-1272463768.0,1656315.0,1656315.0,,0.061218,159972395.0,67494824.0,,-175019891.0,442097999.0,,34473149.0,,10459663.0,985093168,34391827.0,-119224767.0,6162456867.0,288612837,-69332683.0,4889993099.0,439.0,100483092.0,1081600000.0,299240855.0,355345879,,,,,,,
1997-09-30,3876122083.0,384477282.0,,0.015556,-85037174.0,,588178428.0,153984256.0,885374948.0,6301753901.0,33835106.0,-138102.0,,5713575473.0,69400791.0,4761497031.0,,702941583.0,-2593.0,1083200000.0,333517470.0,33835106,33835106.0,-109228247.0,15467477.0,426460434.0,118768126.0,,3449799751.0,235050407.0,223449800.0,0.0,-545923551.0,-37049967.0,,,,0.0,57174424.0,1540256871.0,,-356051656.0,,-138103.0,-1273166690.0,5247894.0,5247894.0,,0.015556,192376744.0,68222621.0,,-1825506.0,411821572.0,,444534683.0,,5397052.0,568567877,104834721.0,-189871895.0,6283800580.0,110067670,3583955.0,5010633890.0,276129.0,23339318.0,1083200000.0,281176632.0,179533213,,,,,,,
1997-12-31,3600428878.0,336669049.0,,,54138538.0,,797855611.0,180508243.0,1372408863.0,6672194425.0,-5185012.0,59756969.0,,5874338813.0,71870876.0,4972837741.0,,659328091.0,4695483.0,,263905275.0,-5185012,-5185012.0,-191073210.0,36985895.0,374267334.0,309935668.0,,3166404575.0,82028426.0,252379119.0,0.0,-297039602.0,-40351864.0,,,,0.0,-19969400.0,1699356683.0,,-51043128.0,,0.0,-1445604003.0,51322373.0,51322373.0,,,398856326.0,69729232.0,,250409356.0,493352395.0,,43203329.0,,290243184.0,345933701,300135012.0,-245996474.0,6660614725.0,11526156,46017678.0,5215010722.0,-281063.0,-14784388.0,,480200142.0,83397032,,,,,,,
1998-03-31,4115744681.0,355886525.0,,0.027554,-140141844.0,,904539007.0,159432624.0,1094751773.0,6933049645.0,62269504.0,440567376.0,,6028510638.0,74184397.0,5210496454.0,,693758865.0,141844.0,1186624000.0,373049645.0,62269504,62269504.0,68226950.0,32340426.0,,241702128.0,,3675177305.0,255035461.0,233617021.0,0.0,-222269504.0,-40425532.0,,,,51347518.0,96028369.0,1722553191.0,,-31205674.0,,0.0,-1434326241.0,38865248.0,38865248.0,,0.027554,539432624.0,75886525.0,,-83687943.0,459148936.0,,158865248.0,,2553191.0,628085106,50921986.0,-191063830.0,6769078014.0,139432624,-12482270.0,5334751773.0,,33758865.0,1186624000.0,96170213.0,213617021,,,,,,,
1998-06-30,4432015287.0,475084522.0,,0.064336,-178688084.0,,887843598.0,161546377.0,823754226.0,7099367926.0,147581949.0,451565485.0,,6211524328.0,76043444.0,5255769513.0,,756283993.0,-876815.0,1186624000.0,494340732.0,147581949,147581949.0,160054690.0,53211818.0,,81581655.0,,3980449802.0,400117595.0,237689255.0,0.0,-238115620.0,-40421153.0,,,,0.0,234455387.0,1843598412.0,,-26709951.0,,-1.0,-1486403057.0,35131560.0,35131560.0,,0.064336,214317213.0,75260914.0,,-191190787.0,580038218.0,,201563974.0,,2885586.0,894458327,32717585.0,-211405669.0,6941643392.0,256651477,-3687067.0,5455240335.0,,86873438.0,1186624000.0,29398795.0,332794355,,,,,,,
1998-09-30,4835654170.0,609028309.0,,0.01717,-247505190.0,,844376435.0,155623565.0,895791890.0,7589594491.0,38867636.0,432287682.0,,6745218057.0,77316153.0,5731446060.0,,827850039.0,734971.0,1186624000.0,248048967.0,38867636,38867636.0,-144884547.0,106350421.0,,226472839.0,,4403366488.0,142310635.0,232899770.0,0.0,-578635534.0,-42795243.0,,,,0.0,43917368.0,1858148432.0,,-109337627.0,,0.0,-1547360367.0,59678653.0,59678653.0,,0.01717,349961744.0,77582249.0,,137311783.0,545830145.0,,381575369.0,,2059310.0,390359602,221792717.0,-469297907.0,7464728385.0,15149197,24585557.0,5917368018.0,,5049732.0,1186624000.0,1.0,92465350,,,,,,,
