date,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyGoodwill,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyResearchAndDevelopment
1986-09-30,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,706666667.0,,207600000,,0.03,,,,,,,,,207600000,,207600000,,21200000,,,,21200000,21200000,706666667.0,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,16800000.0,,,,925200000.0,74900000.0,,74900000.0,,,11500000.0,,,,8200000.0,-234800000.0,,,,,,,1160000000.0,,,,,,,71300000.0,,,,-498700000,,,128000000.0,,,,82800000.0,304400000.0,483500000.0,,181100000,,-498700000,950200000.0,9000000,1078200000.0,566300000.0,,9000000,9000000,,8400000.0,35400000.0,511900000.0,,,,,,,,,,109000000.0,11200000.0,,,,339100000.0,,
1987-03-31,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,732592204.0,,178400000,,-0.01,,,,,,,,,178400000,,178400000,,-9800000,,,,-9800000,-9800000,732592204.0,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,732592204.0,,205300000,,0.01,,,,,,,,,205300000,,205300000,,600000,,,,600000,600000,732592204.0,,,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,680000000.0,,200700000,,0.03,,,,,,,,,200700000,,200700000,,20400000,,,,20400000,20400000,680000000.0,,,,,,,,,,,,,,,,,,,,
1987-12-31,,,,,,,824400000.0,142700000.0,,142700000.0,,,9700000.0,,,,17100000.0,-275500000.0,,,,,,,1099900000.0,,,,,,,102600000.0,,,,-567200000,,,201100000.0,,,,112300000.0,320400000.0,416000000.0,,180700000,,-567200000,841500000.0,9000000,1042600000.0,528300000.0,,9000000,9000000,,6600000.0,79000000.0,514300000.0,,,,,,,,,,85900000.0,7700000.0,,,,251100000.0,,
1988-03-31,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,732592204.0,,178600000,,0.01,,,,,,,,,178600000,,178600000,,200000,,,,200000,200000,732592204.0,,,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,755000000.0,,216900000,,0.02,,,,,,,,,216900000,,216900000,,15100000,,,,15100000,15100000,755000000.0,,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,665000000.0,,239100000,,0.04,,,,,,,,,239100000,,239100000,,26600000,,,,26600000,26600000,665000000.0,,,,,,,,,,,,,,,,,,,,
1988-12-31,,,,,,,1036000000.0,210000000.0,,210000000.0,,,10000000.0,,,,7400000.0,-325100000.0,,,,,,,1361100000.0,,,,,,,142900000.0,,,,-548700000,,,265000000.0,,,,152900000.0,374200000.0,588100000.0,,225800000,,-548700000,1043400000.0,16100000,1308400000.0,741000000.0,,16100000,16100000,,9200000.0,117200000.0,567400000.0,,,,,,,,,,101400000.0,8800000.0,,,,369500000.0,,
1989-03-31,103000000.0,30200000.0,,,-4600000.0,10600000.0,1079000000.0,184900000.0,210000000.0,184900000.0,,0.03,11200000.0,-71300000.0,6000000.0,,7300000.0,-321100000.0,44500000.0,9100000.0,37000000.0,,-25100000.0,-29700000.0,1400100000.0,,,,33100000.0,,,120500000.0,,653333333.0,,38800000,34300000.0,0.03,250200000.0,86100000.0,-1100000.0,16900000.0,164800000.0,392800000.0,615500000.0,,229400000,,21900000,1086300000.0,19600000,1336500000.0,780300000.0,-34300000.0,19600000,19600000,653333333.0,10000000.0,144100000.0,556200000.0,,,,-71300000.0,,104500000.0,,,124900000.0,106400000.0,9000000.0,14400000.0,,,365000000.0,,
1989-06-30,109400000.0,29600000.0,,,-1100000.0,10400000.0,1137400000.0,153300000.0,,153300000.0,,0.03,11000000.0,-75500000.0,6300000.0,,7100000.0,-338900000.0,0.0,-2100000.0,46100000.0,,-31600000.0,0.0,1476300000.0,,,,40300000.0,,,132500000.0,,640000000.0,,46500000,44500000.0,0.03,227700000.0,91600000.0,-1000000.0,17700000.0,183800000.0,411000000.0,614000000.0,,263600000,,28700000,1144500000.0,19200000,1372200000.0,797800000.0,-29400000.0,19200000,19200000,640000000.0,8300000.0,140500000.0,574400000.0,,,,-75500000.0,,125500000.0,,,138100000.0,109000000.0,10400000.0,7100000.0,,,364500000.0,,
1989-09-30,112000000.0,38100000.0,,,-2500000.0,13500000.0,1171500000.0,175100000.0,,175100000.0,,0.03,14800000.0,-65000000.0,5800000.0,,7000000.0,-336000000.0,46700000.0,43100000.0,43800000.0,,21800000.0,0.0,1507500000.0,,,,35800000.0,,,135400000.0,,820000000.0,,51300000,38000000.0,0.03,240300000.0,93400000.0,-1100000.0,18700000.0,186000000.0,434500000.0,634900000.0,,266400000,,32600000,1178500000.0,24600000,1418800000.0,820900000.0,-21200000.0,24600000,24600000,820000000.0,5400000.0,164200000.0,597900000.0,,,,-65000000.0,,121800000.0,,,144600000.0,113600000.0,10600000.0,11200000.0,,,357100000.0,,
1989-12-31,110400000.0,13100000.0,,,-39200000.0,4900000.0,1204300000.0,146400000.0,,146400000.0,,,16200000.0,-50100000.0,5200000.0,,6900000.0,-353100000.0,100000.0,-20400000.0,41100000.0,,-28700000.0,19700000.0,1557400000.0,,,,48000000.0,,,131700000.0,,,,33400000,12700000.0,,203900000.0,91400000.0,-1000000.0,19000000.0,195900000.0,441600000.0,631900000.0,,255700000,,14400000,1211200000.0,8200000,1415100000.0,827800000.0,-9000000.0,8200000,8200000,,7000000.0,159400000.0,587300000.0,,,,-49500000.0,,130900000.0,,,124800000.0,118400000.0,12500000.0,3900000.0,,,354100000.0,,
1990-03-31,119000000.0,8000000.0,,,-4600000.0,2900000.0,1241800000.0,85700000.0,146400000.0,85700000.0,,0.01,15600000.0,-56800000.0,4700000.0,,6900000.0,-371700000.0,-15400000.0,-16400000.0,12400000.0,,-60700000.0,-10800000.0,1613500000.0,,,,55700000.0,,,141700000.0,,510000000.0,,27300000,26400000.0,0.01,169300000.0,99900000.0,-1000000.0,19100000.0,213000000.0,445700000.0,624400000.0,,260600000,,8200000,1248700000.0,5100000,1418000000.0,837400000.0,-44400000.0,5100000,5100000,510000000.0,14300000.0,154600000.0,580600000.0,,,,-56800000.0,,133400000.0,,,127200000.0,119700000.0,12600000.0,4600000.0,,,350100000.0,,
1990-06-30,131600000.0,37400000.0,,,-1600000.0,13900000.0,1311500000.0,56800000.0,,56800000.0,,0.04,21900000.0,-89700000.0,4900000.0,,2600000.0,-391100000.0,-8600000.0,-9600000.0,70600000.0,,-28800000.0,-11300000.0,1702600000.0,,,,45700000.0,,,169900000.0,,587500000.0,,61200000,67000000.0,0.04,132700000.0,111800000.0,-1000000.0,19900000.0,237500000.0,468200000.0,617400000.0,,308200000,,41300000,1314100000.0,23500000,1446800000.0,854900000.0,-19100000.0,23500000,23500000,587500000.0,6600000.0,149700000.0,591900000.0,,,,-89700000.0,,135300000.0,,,172900000.0,125700000.0,13100000.0,1000000.0,,,342000000.0,,
1990-09-30,132000000.0,36500000.0,,,-15700000.0,13500000.0,1281900000.0,124500000.0,,124500000.0,,0.03,14000000.0,-60100000.0,4400000.0,,2600000.0,-387000000.0,102700000.0,101600000.0,26300000.0,,67700000.0,-3500000.0,1668900000.0,,,,41300000.0,,,167200000.0,,766666667.0,,56800000,23300000.0,0.03,203200000.0,111900000.0,-1100000.0,20100000.0,222500000.0,490200000.0,654800000.0,,316400000,,36700000,1284500000.0,23000000,1487700000.0,877300000.0,-33800000.0,23000000,23000000,766666667.0,5900000.0,192800000.0,610400000.0,,,,-60100000.0,,147700000.0,,,168700000.0,127500000.0,15000000.0,4300000.0,,,334500000.0,,
1990-12-31,126200000.0,-7200000.0,,,-7900000.0,-2600000.0,1310500000.0,87500000.0,,87500000.0,,,13600000.0,-111100000.0,4200000.0,,2800000.0,-406100000.0,69900000.0,68900000.0,2600000.0,,-37100000.0,0.0,1716600000.0,,,,51200000.0,,,160600000.0,,,,16100000,41600000.0,,157800000.0,105900000.0,-1000000.0,20300000.0,225400000.0,484600000.0,640800000.0,,301600000,,-4200000,1313300000.0,-4600000,1471100000.0,866200000.0,-108500000.0,-4600000,-4600000,,10900000.0,204500000.0,604900000.0,,,,-108700000.0,,179600000.0,,,122000000.0,109300000.0,15500000.0,1100000.0,,,327000000.0,,
1991-03-31,132800000.0,-13000000.0,,,-9100000.0,-4800000.0,1320000000.0,152800000.0,87500000.0,152800000.0,,-0.01,6400000.0,-36200000.0,4700000.0,,2800000.0,-414400000.0,-100000.0,111400000.0,-10000000.0,,65300000.0,,1734400000.0,,,,46900000.0,,,161500000.0,,820000000.0,,9800000,18500000.0,-0.01,229200000.0,112500000.0,-1100000.0,20300000.0,214800000.0,475300000.0,741600000.0,,282800000,,-10500000,1322800000.0,-8200000,1552000000.0,956400000.0,-46200000.0,-8200000,-8200000,820000000.0,7400000.0,212700000.0,595600000.0,,,,-36200000.0,,160500000.0,,,122300000.0,104900000.0,16600000.0,2100000.0,,,424000000.0,,
1991-06-30,139000000.0,16900000.0,,,-1700000.0,6300000.0,1373800000.0,128700000.0,,128700000.0,,0.02,6400000.0,-78100000.0,5700000.0,,3000000.0,-428700000.0,-300000.0,7000000.0,47100000.0,,-24100000.0,,1802500000.0,,,,51600000.0,,,188200000.0,,530000000.0,,41400000,57300000.0,0.02,217800000.0,118100000.0,-1000000.0,20800000.0,246200000.0,484800000.0,743300000.0,,324700000,,20500000,1376800000.0,10600000,1594600000.0,989500000.0,-31000000.0,10600000,10600000,530000000.0,9500000.0,211700000.0,605100000.0,,,,-78100000.0,,165200000.0,,,159500000.0,109300000.0,17400000.0,2100000.0,,,422300000.0,,
1991-09-30,151200000.0,25800000.0,,,-1300000.0,10100000.0,1430600000.0,211100000.0,,211100000.0,,0.03,6600000.0,-146700000.0,8100000.0,,3100000.0,-436700000.0,197500000.0,196400000.0,32700000.0,,82400000.0,,1867300000.0,,,,47900000.0,,,203000000.0,,523333333.0,,52900000,38700000.0,0.03,302500000.0,129500000.0,-1100000.0,21700000.0,257500000.0,499500000.0,858500000.0,,355300000,,31200000,1433700000.0,15700000,1736200000.0,1116000000.0,-114000000.0,15700000,15700000,523333333.0,8400000.0,234500000.0,620200000.0,,,,-146700000.0,,172900000.0,,,182400000.0,104200000.0,20500000.0,2700000.0,,,519800000.0,,
1991-12-31,152400000.0,14200000.0,,,-1500000.0,5400000.0,1494200000.0,260900000.0,,260900000.0,,,6600000.0,-80100000.0,10100000.0,,3000000.0,-458800000.0,97400000.0,96400000.0,33400000.0,,49700000.0,,1953000000.0,,,,55000000.0,,,198300000.0,,,,45200000,59000000.0,,340000000.0,129000000.0,-1000000.0,23400000.0,259900000.0,507300000.0,948800000.0,,350900000,,21800000,1497200000.0,8800000,1837200000.0,1208700000.0,-46700000.0,8800000,8800000,,8600000.0,226000000.0,628500000.0,,,,-80000000.0,,176700000.0,,,174200000.0,105800000.0,23000000.0,2500000.0,,,617000000.0,,
1992-03-31,164000000.0,22000000.0,,,-1900000.0,8500000.0,1627800000.0,303100000.0,260900000.0,303100000.0,,0.04,6800000.0,-82800000.0,10200000.0,,2500000.0,-460400000.0,86100000.0,85000000.0,40100000.0,,42300000.0,,2088200000.0,,,,64500000.0,,,230300000.0,88000000.0,650000000.0,,53500000,48900000.0,0.04,409300000.0,141700000.0,-1100000.0,22300000.0,301600000.0,532100000.0,960500000.0,,373900000,,31200000,1630300000.0,26000000,2039600000.0,1262100000.0,-42700000.0,13500000,26000000,650000000.0,9000000.0,236500000.0,777500000.0,,,,-82800000.0,,178700000.0,,,195200000.0,112200000.0,23900000.0,1000000.0,,,611800000.0,,
1992-06-30,173300000.0,38300000.0,,,-2600000.0,14800000.0,1779600000.0,194800000.0,,194800000.0,,0.03,8000000.0,-174200000.0,10100000.0,,2500000.0,-486800000.0,-1800000.0,-3000000.0,68900000.0,,-108400000.0,,2266400000.0,,,,71400000.0,,,274500000.0,800000.0,783333333.0,,70000000,70000000.0,0.03,318100000.0,148700000.0,-1200000.0,24600000.0,353900000.0,554500000.0,945600000.0,,416800000,,45400000,1782100000.0,23500000,2100200000.0,1299500000.0,-105300000.0,23500000,23500000,783333333.0,10500000.0,227800000.0,800700000.0,,,,-174200000.0,,198100000.0,,,218700000.0,109800000.0,28200000.0,3000000.0,,,608000000.0,,
1992-09-30,184600000.0,43900000.0,,,-2400000.0,17000000.0,1830200000.0,261200000.0,,261200000.0,,0.04,10700000.0,-78000000.0,11800000.0,,2500000.0,-531600000.0,96700000.0,95400000.0,48800000.0,,66400000.0,,2361800000.0,,,,73500000.0,,,284300000.0,600000.0,672500000.0,,81100000,49100000.0,0.04,389000000.0,157500000.0,-1300000.0,27200000.0,368500000.0,580100000.0,1026400000.0,,447300000,,53900000,1832700000.0,26900000,2221700000.0,1394900000.0,-29200000.0,26900000,26900000,672500000.0,14000000.0,219100000.0,826800000.0,,,,-78000000.0,,208800000.0,,,238500000.0,105700000.0,32400000.0,1900000.0,,,701600000.0,,
1992-12-31,187400000.0,42700000.0,,,-2500000.0,15600000.0,1784300000.0,411000000.0,,411000000.0,,,10800000.0,-74200000.0,11400000.0,,2600000.0,-559100000.0,118400000.0,117100000.0,106700000.0,,149900000.0,,2343400000.0,,,,78400000.0,,,279200000.0,1100000.0,,,79400000,8500000.0,,506100000.0,160300000.0,-1300000.0,27100000.0,368400000.0,605900000.0,1070300000.0,,447200000,,52300000,1786900000.0,27100000,2293000000.0,1438700000.0,32500000.0,27100000,27100000,,12500000.0,237800000.0,854300000.0,,,,-73900000.0,,207500000.0,,,239700000.0,133400000.0,30800000.0,2000000.0,,,699100000.0,,
1993-03-31,193400000.0,36700000.0,,,-102900000.0,14000000.0,1785500000.0,346800000.0,411000000.0,346800000.0,,0.05,11100000.0,-109900000.0,10800000.0,,2600000.0,-588000000.0,-11200000.0,-12500000.0,58200000.0,,-64200000.0,,2373500000.0,,,,82900000.0,,,308200000.0,1700000.0,760000000.0,,70800000,61700000.0,0.05,483800000.0,167200000.0,-1300000.0,26200000.0,402200000.0,642600000.0,977100000.0,,453800000,,44600000,1788100000.0,38000000,2271900000.0,1379300000.0,-51700000.0,22700000,38000000,760000000.0,23500000.0,249200000.0,892600000.0,,,,-109900000.0,,215800000.0,,,238000000.0,131600000.0,31300000.0,2900000.0,,,596300000.0,,
1993-06-30,211200000.0,67800000.0,,,100300000.0,25900000.0,1871300000.0,334600000.0,,334600000.0,,0.06,9900000.0,-5400000.0,9000000.0,,2400000.0,-619100000.0,9900000.0,9900000.0,47400000.0,,51900000.0,,2490400000.0,,,,86900000.0,,,349500000.0,-400000.0,698333333.0,,102300000,32900000.0,0.06,474500000.0,183700000.0,0.0,27400000.0,446300000.0,683200000.0,967400000.0,,520500000,,74800000,1873700000.0,41900000,2348200000.0,1413700000.0,42000000.0,41900000,41900000,698333333.0,24600000.0,228500000.0,934500000.0,,,,-5400000.0,,234500000.0,,,286000000.0,143900000.0,30600000.0,2000000.0,,,595000000.0,,
1993-09-30,221800000.0,77800000.0,,,-105500000.0,33900000.0,2009400000.0,249000000.0,,249000000.0,,0.06,9800000.0,-280900000.0,9400000.0,,2400000.0,-651800000.0,-11800000.0,-14500000.0,145600000.0,,-149700000.0,,2661200000.0,,,,90000000.0,,,330500000.0,3700000.0,731666667.0,,116400000,131300000.0,0.06,377600000.0,192300000.0,-2700000.0,29600000.0,430300000.0,725700000.0,980000000.0,,554400000,,86800000,2011800000.0,43900000,2389400000.0,1410300000.0,-135300000.0,43900000,43900000,731666667.0,23500000.0,223500000.0,979100000.0,,,,-280900000.0,,245800000.0,,,308600000.0,163900000.0,30200000.0,500000.0,,,592600000.0,,
1993-12-31,279700000.0,77300000.0,,,-12000000.0,31500000.0,2141400000.0,295600000.0,,295600000.0,,,16100000.0,-128000000.0,11500000.0,,2600000.0,-688300000.0,7600000.0,6200000.0,141500000.0,,19600000.0,,2829700000.0,,,,94000000.0,,,368500000.0,1700000.0,,,121900000,-8100000.0,,432000000.0,243600000.0,-1400000.0,36100000.0,478600000.0,770100000.0,1043400000.0,,768100000,,85800000,2144000000.0,45800000,2576000000.0,1522000000.0,13500000.0,45800000,45800000,,34200000.0,220700000.0,1054000000.0,,,,-128000000.0,,402600000.0,,,365500000.0,183600000.0,31700000.0,3000000.0,,,639100000.0,,
1994-03-31,245000000.0,69500000.0,,,-57900000.0,27700000.0,2226600000.0,240200000.0,295600000.0,240200000.0,,0.06,9300000.0,-121300000.0,8500000.0,,2200000.0,-724400000.0,-55300000.0,-56700000.0,122600000.0,,-55300000.0,,2951000000.0,,,,108300000.0,,,420800000.0,2600000.0,696666667.0,,108500000,113300000.0,0.06,400400000.0,212500000.0,-1400000.0,32500000.0,538400000.0,810500000.0,993700000.0,,619400000,,76000000,2228800000.0,41800000,2629200000.0,1532100000.0,1300000.0,41800000,41800000,696666667.0,37300000.0,210500000.0,1097100000.0,,,,-121300000.0,,298400000.0,,,321000000.0,194600000.0,28000000.0,2000000.0,,,588600000.0,,
1994-06-30,442000000.0,97100000.0,,,-1600000.0,38600000.0,2440700000.0,116600000.0,,116600000.0,143000000.0,0.08,9300000.0,-252200000.0,6800000.0,,2200000.0,-762100000.0,500000.0,-1000000.0,129600000.0,,-123700000.0,,3202800000.0,,,,123900000.0,,,414000000.0,2100000.0,731250000.0,,-111200000,104800000.0,0.08,270600000.0,297500000.0,-1500000.0,33800000.0,560600000.0,867600000.0,996700000.0,,661100000,,-145000000,2442900000.0,58500000,2713500000.0,1557300000.0,-122600000.0,58500000,58500000,731250000.0,24700000.0,201500000.0,1156200000.0,,,,-252200000.0,,364100000.0,,,297000000.0,208100000.0,28500000.0,100000.0,,,587100000.0,,
1994-09-30,452600000.0,97100000.0,,,-2900000.0,38500000.0,2376900000.0,270900000.0,116600000.0,270900000.0,143100000.0,0.08,9400000.0,-240400000.0,6500000.0,,3300000.0,-799800000.0,314100000.0,312700000.0,82100000.0,,154300000.0,,3176700000.0,,,,132500000.0,,,403900000.0,2000000.0,732500000.0,,-114600000,59800000.0,0.08,443700000.0,304900000.0,-1400000.0,36300000.0,572800000.0,924800000.0,1035700000.0,,685300000,,-150900000,2380200000.0,58600000,2823900000.0,1608500000.0,-158300000.0,58600000,58600000,732500000.0,22500000.0,245400000.0,1215400000.0,,270900000.0,,-240400000.0,,383600000.0,,,301700000.0,206100000.0,35300000.0,100000.0,,,584200000.0,,
1994-12-31,1243224000.0,35723000.0,,,-671000.0,15392000.0,2504963000.0,174538000.0,270900000.0,174538000.0,143256000.0,,9553000.0,-174749000.0,31568000.0,,3210000.0,-837838000.0,0.0,-50000.0,78366000.0,,-96333000.0,,3342801000.0,0.0,,,117599000.0,217677000.0,,106139000.0,2043000.0,,,-998346000,-294025000.0,,314898000.0,302100000.0,-1422000.0,36445000.0,522270000.0,943704000.0,1062095000.0,,626133000,,-1034791000,2508173000.0,20331000,2823071000.0,1584365000.0,-96383000.0,20331000,20331000,,9822000.0,0.0,1238706000.0,,174538000.0,,-174749000.0,75692000.0,417700000.0,288979000.0,,208433000.0,232850000.0,37565000.0,61288000.0,,,583071000.0,,
1995-03-31,462700000.0,20000000.0,,,-3400000.0,8200000.0,2666600000.0,172700000.0,174500000.0,172700000.0,143500000.0,0.01,12800000.0,-201300000.0,5200000.0,,3800000.0,-878800000.0,100000.0,95100000.0,104400000.0,,-1800000.0,,3545400000.0,,,,137800000.0,,,454900000.0,2500000.0,741817617.0,,-210500000,129900000.0,0.01,337400000.0,312000000.0,-2900000.0,37300000.0,607100000.0,954100000.0,1149100000.0,,621000000,,-247800000,2670400000.0,11800000,3007800000.0,1756200000.0,-96900000.0,11800000,11800000,741817617.0,21400000.0,235900000.0,1251600000.0,,172700000.0,,-201300000.0,,406100000.0,,,214900000.0,237300000.0,36900000.0,100000.0,,,675900000.0,,
