date,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyOtherIntangibleAssets,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyBeginningCashPosition,quarterlyOtherCurrentAssets,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyPretaxIncome,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyOperatingIncome,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyDilutedAverageShares,quarterlyLongTermDebt,quarterlyGrossProfit,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyChangeInAccountPayable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2013-03-31,350384000.0,57018000.0,350384000.0,-206440000.0,,236220000.0,53000,683533000,19496000,55562000.0,226793000.0,1413000.0,0.37,317578000,9564000.0,54813000,-11625000,54813000,0.0,269460000.0,65720000,32806000,62300000.0,-218000.0,-12456000,-20489000,1445000,166570000.0,124775000.0,38617000,31000.0,,93430000,,32736000,1545290000,137032500.0,964646000.0,0.4,112873000,1424352000.0,373010000.0,11807000,663767000,-12425000,350384000,54813000,132692000,4978000,19766000,-12446000.0,-13787000.0,248471000.0,1986089000.0,1277369000.0,148143243.0,1659611000.0,796406000,1753176000.0,3177528000.0,31153000.0,202594000.0,748884000,1029586000.0,-49299000,563000.0,62985000.0,53264000,2950735000.0,,,,,,,,
2013-06-30,385359000.0,57297000.0,385359000.0,,,232021000.0,54000,587546000,20712000,60094000.0,288193000.0,1419000.0,0.48,350384000,0.0,70313000,-11624000,70313000,0.0,6201000.0,73847000,34975000,75149000.0,-2520000.0,-2430000,-36442000,1285000,154126000.0,181174000.0,47702000,,-961000.0,118015000,,-21650000,1427691000,138044506.0,912895000.0,0.51,138673000,1431345000.0,,2084000,569216000,-2430000,385359000,69998000,157057000,5146000,18330000,-27779000.0,-13363000.0,259623000.0,1966935000.0,1277123000.0,147237749.0,1643889000.0,726219000,1736678000.0,3168023000.0,26632000.0,218074000.0,701472000,456874000.0,34032000,961000.0,73408000.0,71417000,2879830000.0,,,,,,,,
2013-09-30,427223000.0,57591000.0,427223000.0,,,228325000.0,-1694000,557215000,20175000,64625000.0,390135000.0,1461000.0,0.45,385359000,0.0,67813000,-11625000,67813000,3563000.0,6200000.0,65762000,41864000,26276000.0,-338000.0,-4288000,-23173000,1251000,143885000.0,234714000.0,45985000,,-33979000.0,113798000,,4474000,1378020000,141104943.0,875962000.0,0.48,135667000,1464009000.0,,5067000,539113000,-725000,427223000,67145000,152075000,4195000,18102000,-48317000.0,-12254000.0,248736000.0,1918422000.0,1276724000.0,148505826.0,1625441000.0,692882000,1720510000.0,3184519000.0,-10047000.0,216974000.0,685138000,472002000.0,24573000,27756000.0,71576000.0,61474000,2794384000.0,,,,,,,,
2013-12-31,403164000.0,57927000.0,403164000.0,,,224628000.0,21000,514063000,18874000,69156000.0,278688000.0,1463000.0,0.31,427223000,0.0,47167000,-266157000,47167000,-281000.0,266461000.0,152725000,-24059000,22388000.0,-77000.0,-5626000,-174440000,1249000,134990000.0,123240000.0,31014000,,-1904000.0,78181000,,82210000,1273150000,147396875.0,899643000.0,0.32,97034000,1348092000.0,,2293000,496118000,-2344000,403164000,47167000,115000000,4778000,17945000,-162797000.0,-11835000.0,214643000.0,1871802000.0,1274046000.0,152151613.0,1605341000.0,611097000,1702041000.0,3050133000.0,-32204000.0,218863000.0,662053000,886260000.0,82180000,1904000.0,68377000.0,147099000,2771445000.0,,,,,,,,
2014-03-31,259994000.0,65637000.0,259994000.0,-251051000.0,,220887000.0,-175000,643145000,18269000,73688000.0,171636000.0,1468000.0,0.3,403164000,0.0,46895000,-66157000,46895000,504000.0,201210000.0,40384000,-143170000,23169000.0,-774000.0,-8561000,-175497000,1293000,129427000.0,42688000.0,23898000,,10473000.0,70793000,,-5046000,1399832000,146546875.0,917104000.0,0.32,89237000,1255977000.0,380478000.0,2238000,625195000,-8057000,259994000,46895000,107012000,5946000,17950000,-163047000.0,-6636000.0,265079000.0,1852078000.0,1273789000.0,156316667.0,1585231000.0,732382000,1684841000.0,2940818000.0,54797000.0,223728000.0,667450000,916737000.0,-30477000,1341000.0,60738000.0,31823000,2769182000.0,,,,,,,,
2014-06-30,319448000.0,57413000.0,319448000.0,,,218461000.0,-1110000,538273000,18864000,41500000.0,229849000.0,1481000.0,0.47,259994000,0.0,71115000,-168438000,71115000,0.0,11925000.0,91726000,59454000,55496000.0,-4632000.0,-2652000,-29620000,1276000,117930000.0,97755000.0,47934000,,-1658000.0,119049000,,-5751000,1322297000,143645419.0,855969000.0,0.49,139023000,1300753000.0,,5381000,522041000,-2652000,319448000,70265000,154145000,6062000,16232000,-20520000.0,-6551000.0,243801000.0,1877595000.0,1273560000.0,149627168.0,1613645000.0,677296000,1662660000.0,2963413000.0,-16378000.0,234562000.0,645001000,409537000.0,19195000,-6952000.0,52709000.0,89074000,2733564000.0,,,,,,,,
2014-09-30,241824000.0,,241824000.0,,,216064000.0,807000,540433000,17817000,46688000.0,164322000.0,1504000.0,0.42,319448000,0.0,65284000,-40375000,65284000,0.0,237834000.0,108803000,-77624000,14244000.0,-3637000.0,-6279000,-180148000,1212000,110033000.0,43888000.0,39689000,,-35644000.0,104973000,,53716000,1304841000,145502291.0,828117000.0,0.43,121983000,1178724000.0,,2073000,524623000,-6279000,241824000,62791000,138600000,6825000,15810000,-205769000.0,-6465000.0,232531000.0,1836687000.0,1273293000.0,150403896.0,1598853000.0,662416000,1650402000.0,2829126000.0,-9200000.0,236093000.0,642425000,358814000.0,76837000,35644000.0,51012000.0,102524000,2664804000.0,,,,,,,,
2014-12-31,197443000.0,,197443000.0,,,222373000.0,-777000,557889000,17863000,51875000.0,195249000.0,1505000.0,0.35,241824000,0.0,52807000,-10375000,52807000,0.0,243897000.0,27529000,-44381000,26774000.0,-25100000.0,-8535000,-39468000,1211000,105537000.0,80264000.0,33809000,,-11150000.0,86616000,,-38782000,1304686000,150877143.0,808855000.0,0.35,105256000,1154546000.0,,2084000,542698000,-32442000,197443000,52807000,119670000,7067000,15191000,-16641000.0,-6379000.0,201438000.0,1827966000.0,1299370000.0,150877143.0,1584069000.0,663145000,1677524000.0,2832070000.0,-30841000.0,236584000.0,641541000,844745000.0,-22944000,11150000.0,50244000.0,18994000,2636821000.0,,,,,,,,
2015-03-31,207217000.0,58444000.0,207217000.0,-277276000.0,,219382000.0,8000,585504000,17288000,57063000.0,186498000.0,1508000.0,0.29,197443000,0.0,43363000,-60375000,43363000,0.0,214285000.0,81900000,9774000,30877000.0,-28771000.0,-18575000,-52924000,1321000,111367000.0,104457000.0,31917000,-627000.0,45909000.0,75280000,,19603000,1342946000,149527586.0,848994000.0,0.29,92560000,1163208000.0,388643000.0,2044000,570077000,-19202000,207217000,43363000,107995000,6209000,15427000,-19274000.0,-22159000.0,215995000.0,1842001000.0,1304231000.0,149527586.0,1569272000.0,678064000,1714285000.0,2877493000.0,20976000.0,265820000.0,664882000,857310000.0,-12555000,2348000.0,64547000.0,63325000,2690995000.0,,,,,,,,
2015-06-30,151476000.0,58714000.0,151476000.0,,,216701000.0,-68000,582428000,17490000,62250000.0,207654000.0,1512000.0,0.43,207217000,0.0,64306000,-10375000,64306000,0.0,8683000.0,19096000,-55741000,60038000.0,-34600000.0,-13140000,-61697000,1379000,111880000.0,149711000.0,44280000,,,108586000,,-65020000,1351604000,145251780.0,816375000.0,0.44,126144000,1128913000.0,,2072000,567311000,-13140000,151476000,63595000,141193000,6265000,15117000,-22645000.0,-21635000.0,208486000.0,1829150000.0,1303832000.0,149271321.0,1554488000.0,708572000,1724266000.0,2853179000.0,-24159000.0,249275000.0,643032000,365289000.0,-10131000,3673000.0,91853000.0,5956000,2645525000.0,,,,,,,,
2015-09-30,187401000.0,58989000.0,187401000.0,,,214021000.0,-178000,587183000,17685000,67438000.0,268984000.0,1528000.0,0.37,151476000,0.0,56216000,-40563000,56216000,-1000000.0,7921000.0,69591000,35925000,24426000.0,0.0,-16422000,-16244000,1487000,115465000.0,186710000.0,34737000,,,90953000,,5183000,1322154000,146176944.0,788191000.0,0.38,108816000,1147613000.0,,2102000,571831000,-17422000,187401000,55441000,123990000,5256000,15352000,-19217000.0,-21111000.0,198443000.0,1817450000.0,1305357000.0,149388556.0,1534531000.0,695999000,1727012000.0,2874625000.0,-12337000.0,246856000.0,626155000,355812000.0,19484000,14518000.0,92169000.0,53169000,2605641000.0,,,,,,,,
2015-12-31,167104000.0,8011000.0,167104000.0,,,223026000.0,555000,572358000,17762000,72625000.0,380757000.0,1531000.0,0.71,187401000,0.0,108055000,-138562000,108055000,0.0,8319000.0,92310000,-20297000,45004000.0,0.0,-16267000,-46722000,1502000,126048000.0,275356000.0,-20146000,-49618000.0,,87909000,,-28451000,1307663000,147428588.0,793477000.0,0.72,105116000,1134183000.0,,2102000,556210000,-65885000,167104000,106548000,121819000,6288000,16148000,-47523000.0,-20577000.0,188191000.0,1792274000.0,1361550000.0,149900925.0,1514576000.0,677474000,1832325000.0,2966508000.0,-14269000.0,244808000.0,630189000,352172000.0,6532000,11864000.0,121701000.0,76043000,2585751000.0,,,,,,,,
2016-03-31,187529000.0,1517000.0,187529000.0,-288317000.0,,220658000.0,5384000,639159000,17878000,112813000.0,408488000.0,1534000.0,0.43,167104000,0.0,65517000,-105563000,65517000,0.0,175805000.0,68237000,20425000,100964000.0,-28552000.0,-20806000,-26506000,1609000,130169000.0,318537000.0,26497000,-500000.0,,92014000,1517000.0,-23631000,1424317000,148902273.0,939913000.0,0.44,104508000,1189771000.0,418486000.0,2083000,624240000,-21306000,187529000,65517000,124811000,7183000,14919000,-22432000.0,-19613000.0,246670000.0,1661770000.0,1361913000.0,152365116.0,1484448000.0,743667000,1820400000.0,3010171000.0,55676000.0,238099000.0,680650000,892289000.0,-47114000,1869000.0,85606000.0,47431000,2601683000.0,,,,,,,,
2016-06-30,179974000.0,1649000.0,179974000.0,,,217548000.0,1891000,636467000,17828000,106779000.0,462274000.0,1539000.0,0.45,187529000,0.0,67817000,-175563000,67817000,0.0,182503000.0,11647000,-7555000,120191000.0,-4566000.0,-6171000,-12180000,1571000,128813000.0,364004000.0,45547000,-851000.0,,113364000,,-75100000,1422722000,147428261.0,895363000.0,0.46,129301000,1210228000.0,,2083000,621966000,-7022000,179974000,67817000,145693000,5889000,14501000,-24506000.0,-19156000.0,216210000.0,1684043000.0,1361913000.0,150704444.0,1501540000.0,765768000,1831452000.0,3041680000.0,-20776000.0,246590000.0,656954000,952797000.0,-60508000,3546000.0,123178000.0,5476000,2579406000.0,,,,,,,,
2016-09-30,307223000.0,,307223000.0,,,214438000.0,-5161000,619124000,14753000,63150000.0,516337000.0,1546000.0,0.41,179974000,0.0,62830000,-501187000,62830000,650000.0,5955000.0,205436000,127249000,123157000.0,-2288000.0,-8972000,-69865000,1521000,128266000.0,404396000.0,34917000,0.0,,97747000,,117785000,1394853000,148008994.0,890147000.0,0.42,117661000,1271813000.0,,10188000,604447000,-8322000,307223000,62151000,127177000,4692000,14677000,-22440000.0,-18699000.0,233354000.0,1687135000.0,1361913000.0,150200454.0,1499967000.0,736785000,1821806000.0,3093619000.0,5874000.0,234560000.0,658068000,307492000.0,80142000,4769000.0,117189000.0,196464000,2577282000.0,,,,,,,,
2016-12-31,349624000.0,,349624000.0,,,211327000.0,-1333000,644278000,14176000,78938000.0,569713000.0,1555000.0,0.37,307223000,0.0,55590000,0,55590000,0.0,7002000.0,65959000,42401000,129642000.0,-1000.0,-15411000,-8147000,1478000,133788000.0,437463000.0,37025000,0.0,,92615000,,-3521000,1404638000,148679393.0,921022000.0,0.37,108124000,1358783000.0,,1188000,629868000,-15411000,349624000,54978000,121201000,5453000,14410000,-22522000.0,-18218000.0,223861000.0,1675800000.0,1361913000.0,150607259.0,1485052000.0,752402000,1807752000.0,3166535000.0,-13336000.0,230527000.0,652236000,364528000.0,-29838000,7245000.0,100724000.0,50548000,2596822000.0,,,,,,,,
2017-03-31,217417000.0,11647000.0,217417000.0,-312914000.0,,271880000.0,-5446000,728186000,15541000,193150000.0,573591000.0,1559000.0,0.44,349624000,0.0,66253000,-291575000,66253000,0.0,216292000.0,99235000,-132207000,140318000.0,-39693000.0,-23365000,38699000,1744000,139167000.0,478102000.0,41921000,-246776000.0,,108174000,11647000.0,-7770000,1582071000,150575000.0,1101401000.0,0.44,129161000,1294480000.0,452081000.0,2107000,712230000,-270141000,217417000,66253000,139671000,5215000,15956000,-25711000.0,-17077000.0,268630000.0,1698113000.0,1571190000.0,150575000.0,1470174000.0,857347000,2078625000.0,3373105000.0,43084000.0,235487000.0,724724000,991810000.0,-76950000,2615000.0,85563000.0,75870000,2799514000.0,,,,,,,,
2017-06-30,337487000.0,,337487000.0,,,267893000.0,761000,655568000,18747000,63150000.0,599027000.0,1568000.0,0.53,217417000,0.0,79540000,-175788000,79540000,0.0,41600000.0,3995000,120070000,146651000.0,-48428000.0,-11536000,127815000,1779000,138912000.0,532230000.0,41938000,-204000.0,,121478000,,-90842000,1493570000,147714993.0,945267000.0,0.53,139464000,1506976000.0,,1289000,640119000,-11740000,337487000,78955000,155674000,5249000,15449000,-26302000.0,-17224000.0,269853000.0,2031231000.0,1571186000.0,149868273.0,1798655000.0,795032000,2068549000.0,3575525000.0,1832000.0,238577000.0,698538000,442028000.0,-82158000,-890000.0,90558000.0,-7541000,2976498000.0,,,,,,,,
2017-09-30,330043000.0,,330043000.0,,,263880000.0,563000,714690000,20958000,63150000.0,536283000.0,1572000.0,0.47,337487000,0.0,70913000,-15787000,70913000,0.0,41669000.0,174067000,-7444000,122711000.0,-120070000.0,-25453000,-156058000,2249000,151724000.0,577689000.0,35178000,0.0,,106091000,,81294000,1542085000,147085314.0,969507000.0,0.48,126486000,1449277000.0,,1344000,698644000,-25453000,330043000,70257000,143095000,6346000,16046000,-25454000.0,-16987000.0,298325000.0,2023845000.0,1571186000.0,148887497.0,1783897000.0,841176000,2080358000.0,3529635000.0,17466000.0,232016000.0,700909000,406228000.0,47491000,0.0,93568000.0,148614000,2993352000.0,,,,,,,,
