date,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyChangeInInventory
1986-07-31,,42000000,42000000,42000000,,,,,82160000.0,,,,,,,,,,,,,0.045,,,,,,,,,,,,3800000,,,,,,,,0.045,,,,,,,,,,,,,,,82160000.0,,,,,,,,,,,,,,,,,,,,
1986-10-31,,-97500000,48700000,-97500000,,,,,,52200000.0,,,37700000.0,96900000.0,,52800000.0,83000000.0,,,,,,81800000.0,,,,,,,12600000.0,,,300000.0,4200000,,,13400000.0,14500000.0,14400000.0,,,,,,,28100000.0,,-18300000.0,1000000.0,1600000.0,,,,,,34500000.0,,23300000.0,,134000000.0,1600000.0,37100000.0,,18100000.0,18100000.0,,,,,,,,,,,,
1987-01-31,,44900000,44900000,44900000,,,,,82496000.0,,,,,,,,,,,,,0.06,,,,,,,,,,,,4900000,,,,,,,,0.06,,,,,,,,,,,,,,,82496000.0,,,,,,,,,,,,,,,,,,,,
1987-04-30,,55000000,55000000,55000000,,,,,82496000.0,,,,,,,,,,,,,0.085,,,,,,,,,,,,7200000,,,,,,,,0.085,,,,,,,,,,,,,,,82496000.0,,,,,,,,,,,,,,,,,,,,
1987-07-31,,51500000,51500000,51500000,,,,,82360000.0,,,,,,,,,,,,,0.075,,,,,,,,,,,,6100000,,,,,,,,0.075,,,,,,,,,,,,,,,82360000.0,,,,,,,,,,,,,,,,,,,,
1987-10-31,,-111900000,53800000,-111900000,,,,,,63000000.0,,,45800000.0,126400000.0,,57500000.0,102700000.0,,,,,,101200000.0,,,,,,,12800000.0,,,2300000.0,6500000,,,13800000.0,17200000.0,10000000.0,,,,,,,28800000.0,,-22400000.0,1100000.0,2100000.0,,,,,,35100000.0,,35800000.0,,164200000.0,1600000.0,37800000.0,,42100000.0,42100000.0,,,,,,,,,,,,
1988-01-31,,53900000,53900000,53900000,,,,,82360000.0,,,,,,,,,,,,,0.08,,,,,,,,,,,,6600000,,,,,,,,0.08,,,,,,,,,,,,,,,82360000.0,,,,,,,,,,,,,,,,,,,,
1988-04-30,,62900000,62900000,62900000,,,,,82752000.0,,,,,,,,,,,,,0.105,,,,,,,,,,,,8600000,,,,,,,,0.105,,,,,,,,,,,,,,,82752000.0,,,,,,,,,,,,,,,,,,,,
1988-07-31,,64400000,64400000,64400000,,,,,75872000.0,,,,,,,,,,,,,0.11,,,,,,,,,,,,8600000,,,,,,,,0.11,,,,,,,,,,,,,,,75872000.0,,,,,,,,,,,,,,,,,,,,
1988-10-31,,-131900000,63800000,-131900000,,,,,,73800000.0,,,55800000.0,119800000.0,,66800000.0,128700000.0,,,,,,89100000.0,,,,,,,13200000.0,,,2000000.0,7800000,,,13000000.0,18000000.0,11300000.0,,,,,,,41800000.0,,-26700000.0,1300000.0,2800000.0,,,,,,40100000.0,,44500000.0,,162900000.0,1700000.0,43100000.0,,16100000.0,16100000.0,,,,,,,,,,,,
1989-01-31,,65000000,65000000,65000000,,,,,76512000.0,,,,,,,,,,,,,0.105,,,,,,,,,,,,8100000,,,,,,,,0.105,,,,,,,,,,,,,,,76512000.0,,,,,,,,,,,,,,,,,,,,
1989-04-30,,73500000,73500000,73500000,,,,,75984000.0,,,,,,,,,,,,,0.125,,,,,,,,,,,,9700000,,,,,,,,0.125,,,,,,,,,,,,,,,75984000.0,,,,,,,,,,,,,,,,,,,,
1989-07-31,,13000000,70800000,13000000,40400000.0,8600000.0,,,74782609.0,85300000.0,,,64000000.0,137100000.0,,76400000.0,88600000.0,,,,,0.115,100900000.0,30400000.0,,,,,27400000.0,15600000.0,,27400000.0,3100000.0,8600000,8600000.0,,13300000.0,21300000.0,24800000.0,,,0.115,,800000.0,700000.0,59100000.0,,-30400000.0,1600000.0,2600000.0,,,4200000.0,,12800000.0,46000000.0,74782609.0,27500000.0,,186200000.0,1500000.0,49100000.0,,6900000.0,6900000.0,,,,11700000.0,,,,,,,,
1989-10-31,,11600000,72900000,11600000,50000000.0,7800000.0,0.0,-24000000.0,,128700000.0,-6100000.0,-1500000.0,102300000.0,156200000.0,,100000000.0,156800000.0,-1000000.0,,600000.0,,,106900000.0,22900000.0,,-13900000.0,,,38400000.0,20100000.0,,30000000.0,3300000.0,7800000,7800000.0,,14500000.0,26400000.0,47400000.0,-10600000.0,0.0,,9800000.0,600000.0,600000.0,68700000.0,-400000.0,-35800000.0,1900000.0,3000000.0,10800000.0,-3500000.0,3700000.0,,11500000.0,64200000.0,,37100000.0,,235600000.0,13300000.0,79400000.0,200000.0,3400000.0,3400000.0,500000.0,,,17800000.0,0.0,,,,,,,
1990-01-31,,10900000,77500000,10900000,44000000.0,6700000.0,0.0,-3900000.0,74444444.0,135400000.0,2500000.0,-1700000.0,104600000.0,162600000.0,,103100000.0,99700000.0,-700000.0,,-10600000.0,,0.09,111900000.0,33500000.0,,0.0,,,33100000.0,24200000.0,,33100000.0,3500000.0,6700000,6700000.0,,14000000.0,30800000.0,58400000.0,-4500000.0,200000.0,0.09,8500000.0,1700000.0,1000000.0,70500000.0,-1600000.0,-35300000.0,2500000.0,3100000.0,-1400000.0,2600000.0,3600000.0,,10300000.0,67800000.0,74444444.0,31000000.0,,247300000.0,14400000.0,84700000.0,-5900000.0,6000000.0,6000000.0,600000.0,,,15200000.0,3400000.0,,,,,,,
1990-04-30,,12800000,88600000,12800000,47800000.0,7300000.0,0.0,-2800000.0,76842105.0,132100000.0,3600000.0,-1700000.0,101800000.0,163100000.0,,105600000.0,104300000.0,-2200000.0,,700000.0,,0.095,116500000.0,40800000.0,,0.0,,,35000000.0,23400000.0,,35000000.0,3800000.0,7300000,7300000.0,,14300000.0,30300000.0,53000000.0,-2800000.0,2500000.0,0.095,-8100000.0,1800000.0,200000.0,67100000.0,600000.0,-36900000.0,2600000.0,3100000.0,11600000.0,500000.0,3900000.0,,11200000.0,68700000.0,76842105.0,33100000.0,,248600000.0,14200000.0,85500000.0,8800000.0,6500000.0,6500000.0,0.0,,,15700000.0,0.0,,,,,,,
1990-07-31,,11300000,82700000,11300000,45500000.0,6700000.0,0.0,-7700000.0,74444444.0,135000000.0,1700000.0,-1700000.0,102300000.0,164600000.0,,110500000.0,107300000.0,-6600000.0,,3700000.0,,0.09,119600000.0,37200000.0,,-4700000.0,,,34200000.0,25600000.0,,34200000.0,3900000.0,6700000,6700000.0,,13700000.0,32700000.0,53500000.0,-3000000.0,3300000.0,0.09,-3700000.0,1800000.0,800000.0,68200000.0,-500000.0,-39600000.0,2600000.0,3200000.0,12100000.0,900000.0,3600000.0,,10300000.0,70900000.0,74444444.0,34100000.0,,254600000.0,16500000.0,90000000.0,9100000.0,7400000.0,7400000.0,0.0,,,14700000.0,0.0,,,,,,,
1990-10-31,,14600000,96100000,14600000,65100000.0,8600000.0,0.0,-4700000.0,,139100000.0,-6600000.0,-1700000.0,107800000.0,173900000.0,,118100000.0,179400000.0,-900000.0,,3600000.0,,,130400000.0,31000000.0,,-300000.0,,,50500000.0,25500000.0,,38200000.0,4100000.0,8600000,8600000.0,,16600000.0,31300000.0,47400000.0,-4900000.0,600000.0,,-11500000.0,1700000.0,0.0,68000000.0,1700000.0,-43400000.0,3000000.0,1700000.0,16400000.0,200000.0,4400000.0,,13000000.0,74700000.0,,40100000.0,,269500000.0,17900000.0,95600000.0,11500000.0,7500000.0,7500000.0,500000.0,,,20300000.0,0.0,,,,,,,
1991-01-31,,11100000,89000000,11100000,51800000.0,6500000.0,0.0,-1100000.0,76470588.0,134800000.0,3900000.0,-1900000.0,103000000.0,171300000.0,,120100000.0,119700000.0,-4400000.0,,-8700000.0,,0.085,132000000.0,37200000.0,,0.0,,,40700000.0,25600000.0,,40700000.0,4500000.0,6500000,6500000.0,,17100000.0,31800000.0,52600000.0,-1900000.0,600000.0,0.085,-2100000.0,1700000.0,500000.0,71700000.0,-900000.0,-45600000.0,3100000.0,1700000.0,1700000.0,-1300000.0,3500000.0,,10000000.0,74500000.0,76470588.0,30300000.0,,266800000.0,17900000.0,95500000.0,-200000.0,6300000.0,6300000.0,800000.0,,,20100000.0,7500000.0,,,,,,,
1991-04-30,,13100000,93700000,13100000,54100000.0,7600000.0,0.0,-6400000.0,76000000.0,132100000.0,2800000.0,-1800000.0,99700000.0,171000000.0,,118800000.0,121100000.0,-2400000.0,,-5800000.0,,0.1,133400000.0,39600000.0,,-5600000.0,,,41000000.0,25900000.0,,41000000.0,4900000.0,7600000,7600000.0,,18000000.0,32400000.0,49200000.0,-1600000.0,1800000.0,0.1,-1100000.0,1900000.0,400000.0,71400000.0,-600000.0,-45900000.0,2900000.0,1600000.0,4500000.0,-2800000.0,4100000.0,,11700000.0,72900000.0,76000000.0,32200000.0,,265500000.0,18700000.0,94500000.0,2900000.0,3400000.0,3400000.0,,,,18300000.0,0.0,,,,,,,
1991-07-31,,15500000,99200000,15500000,59100000.0,8700000.0,0.0,-8900000.0,75652174.0,148400000.0,8500000.0,-1900000.0,111800000.0,189000000.0,,120100000.0,126800000.0,-1500000.0,,-100000.0,,0.115,139100000.0,40100000.0,,-5500000.0,,,43600000.0,26300000.0,,43600000.0,8800000.0,8700000,8700000.0,,17300000.0,36600000.0,50800000.0,-3400000.0,2200000.0,0.115,1900000.0,1900000.0,-100000.0,77100000.0,-1200000.0,-47500000.0,3000000.0,1500000.0,17100000.0,9700000.0,4700000.0,,13400000.0,72600000.0,75652174.0,40700000.0,,287500000.0,22900000.0,98500000.0,13700000.0,13100000.0,13100000.0,,,,20300000.0,0.0,,,,,,,
1991-10-31,,18600000,106100000,18600000,78900000.0,11100000.0,0.0,1800000.0,,144200000.0,-13000000.0,-1900000.0,106900000.0,193900000.0,,124800000.0,205700000.0,-300000.0,,4700000.0,,,152700000.0,27200000.0,,4700000.0,,,60300000.0,25500000.0,,45600000.0,10000000.0,11100000,11100000.0,,20100000.0,37300000.0,39000000.0,-2900000.0,800000.0,,-19400000.0,1800000.0,300000.0,78500000.0,2600000.0,-50400000.0,4700000.0,1800000.0,14200000.0,-3200000.0,6000000.0,,17100000.0,74400000.0,,49900000.0,,296900000.0,23900000.0,103000000.0,11300000.0,10000000.0,10000000.0,0.0,,,18000000.0,0.0,,,,,,,
1992-01-31,,12600000,93400000,12600000,56900000.0,7400000.0,0.0,-500000.0,77894737.0,145700000.0,4300000.0,-2100000.0,106700000.0,204100000.0,,127300000.0,149900000.0,,,-5500000.0,,0.095,162200000.0,36500000.0,,0.0,,,44300000.0,26200000.0,,44300000.0,10600000.0,7400000,7400000.0,,20800000.0,39000000.0,44500000.0,-2100000.0,,0.095,-900000.0,1700000.0,400000.0,82600000.0,-700000.0,-53300000.0,4900000.0,2200000.0,6200000.0,4500000.0,3900000.0,,11300000.0,74000000.0,77894737.0,44400000.0,,307900000.0,24900000.0,103800000.0,4100000.0,14500000.0,14500000.0,,,,17800000.0,10000000.0,,,,,,,
1992-04-30,,17700000,106200000,17700000,65100000.0,10200000.0,0.0,-2600000.0,78461538.0,147400000.0,5200000.0,-2000000.0,110000000.0,208800000.0,,127400000.0,219200000.0,,,-400000.0,,0.13,161800000.0,41100000.0,,100000.0,,,47400000.0,24500000.0,,47400000.0,10700000.0,10200000,10200000.0,,21000000.0,37400000.0,40800000.0,-2700000.0,,0.13,-8600000.0,1600000.0,-400000.0,81900000.0,-600000.0,-54800000.0,4700000.0,2200000.0,15000000.0,3700000.0,5500000.0,,15700000.0,72600000.0,78461538.0,51400000.0,,309200000.0,23100000.0,100400000.0,12300000.0,18200000.0,18200000.0,,,,17800000.0,0.0,,,,,,,
1992-07-31,,17400000,105600000,17400000,64100000.0,10300000.0,0.0,-2800000.0,76296296.0,155300000.0,-2600000.0,-2100000.0,114100000.0,217800000.0,,133800000.0,219200000.0,-13100000.0,,,,0.135,167600000.0,41500000.0,,0.0,,,46700000.0,27400000.0,,46700000.0,11600000.0,10300000,10300000.0,,21400000.0,41200000.0,41500000.0,-2800000.0,7000000.0,0.135,-11000000.0,1600000.0,100000.0,84400000.0,-600000.0,-57800000.0,5500000.0,2200000.0,13600000.0,-700000.0,5500000.0,,15800000.0,76000000.0,76296296.0,53900000.0,,322900000.0,23600000.0,105100000.0,10800000.0,17500000.0,17500000.0,,,,18700000.0,0.0,,,,,,,
1992-10-31,,19600000,120500000,19600000,87800000.0,11600000.0,0.0,-16100000.0,,168600000.0,,-2100000.0,126700000.0,231800000.0,,135200000.0,237000000.0,-3600000.0,,,,,177700000.0,32700000.0,,0.0,,,68200000.0,26800000.0,,51500000.0,12500000.0,11600000,11600000.0,,30200000.0,41900000.0,49900000.0,-11000000.0,1200000.0,,-5800000.0,2000000.0,300000.0,87700000.0,1800000.0,-57800000.0,5500000.0,2600000.0,11200000.0,-10100000.0,6300000.0,,17900000.0,77400000.0,,57700000.0,,346300000.0,31600000.0,114500000.0,200000.0,7400000.0,7400000.0,,,,19100000.0,0.0,,,,,,,
1993-01-31,-1000000.0,11700000,100300000,11700000,60000000.0,6700000.0,0.0,-2300000.0,74444444.0,146400000.0,,-2200000.0,105800000.0,211300000.0,,137300000.0,237000000.0,-1600000.0,,,,0.09,172800000.0,40300000.0,,100000.0,,,48300000.0,24700000.0,,48300000.0,13300000.0,6700000,6700000.0,,27700000.0,40600000.0,40500000.0,-4900000.0,300000.0,0.09,-7100000.0,1600000.0,100000.0,84000000.0,-1200000.0,-61600000.0,3300000.0,2600000.0,19600000.0,10300000.0,3400000.0,,10100000.0,75700000.0,74444444.0,47200000.0,,319200000.0,28900000.0,107900000.0,14700000.0,17700000.0,17700000.0,3500000.0,,,18100000.0,7400000.0,,,,,,,
1993-04-30,-5100000.0,14900000,109300000,14900000,64700000.0,8800000.0,0.0,-6200000.0,76521739.0,145300000.0,,-2300000.0,104700000.0,213600000.0,,140300000.0,237000000.0,-5100000.0,,,,0.115,176200000.0,44600000.0,,-100000.0,,,49800000.0,23200000.0,,49800000.0,14900000.0,8800000,8800000.0,,31700000.0,40600000.0,5900000.0,-3200000.0,1300000.0,0.115,-15400000.0,1900000.0,400000.0,85000000.0,-900000.0,-63600000.0,3300000.0,2500000.0,12300000.0,-9600000.0,4600000.0,,13400000.0,76700000.0,76521739.0,78200000.0,,321500000.0,27900000.0,107900000.0,9100000.0,8100000.0,8100000.0,2100000.0,,,20600000.0,0.0,,,,,,,
1993-07-31,700000.0,19200000,123300000,19200000,70600000.0,12100000.0,0.0,-2100000.0,75625000.0,157400000.0,,-2200000.0,117100000.0,237000000.0,,143000000.0,175600000.0,-1900000.0,,,,0.16,187900000.0,52700000.0,,-500000.0,,,51400000.0,23000000.0,,51400000.0,15100000.0,12100000,12100000.0,,24300000.0,40300000.0,33400000.0,-3800000.0,2100000.0,0.16,-2100000.0,1600000.0,800000.0,86700000.0,-1100000.0,-65200000.0,3400000.0,2200000.0,14800000.0,10000000.0,6400000.0,,18500000.0,77800000.0,75625000.0,61500000.0,,345300000.0,27100000.0,108300000.0,11000000.0,18100000.0,18100000.0,1300000.0,,,22200000.0,0.0,,,,,,,
1993-10-31,-1500000.0,21600000,128700000,21600000,91800000.0,8500000.0,0.0,-4900000.0,,161600000.0,-22000000.0,-2300000.0,116300000.0,241700000.0,,147000000.0,264000000.0,-800000.0,,11800000.0,,,196400000.0,36900000.0,,0.0,,,70200000.0,22100000.0,,53100000.0,22700000.0,13300000,8500000.0,,26300000.0,45300000.0,25400000.0,-3900000.0,1300000.0,,-12000000.0,1300000.0,-100000.0,84700000.0,3200000.0,-68300000.0,10300000.0,500000.0,14800000.0,0.0,7100000.0,,20400000.0,78700000.0,,68700000.0,,358000000.0,27300000.0,116300000.0,10900000.0,18100000.0,18100000.0,400000.0,,,22200000.0,0.0,,,,,,,
1994-01-31,-2600000.0,12300000,104700000,12300000,63300000.0,7800000.0,0.0,-6300000.0,74285714.0,147800000.0,5700000.0,-2600000.0,102600000.0,225000000.0,,151100000.0,182200000.0,-4300000.0,,-5500000.0,,0.105,194400000.0,41400000.0,,-1400000.0,,,51000000.0,21400000.0,,51000000.0,23800000.0,7800000,7800000.0,,22100000.0,45200000.0,26800000.0,-3600000.0,400000.0,0.105,-5800000.0,1100000.0,800000.0,87800000.0,100000.0,-70700000.0,8900000.0,,8000000.0,-5100000.0,4300000.0,,12100000.0,80400000.0,74285714.0,55100000.0,,342200000.0,27900000.0,117200000.0,4400000.0,13000000.0,13000000.0,1300000.0,,,20700000.0,18100000.0,,,,,,,
1994-04-30,-1000000.0,17400000,121500000,17400000,70700000.0,10800000.0,0.0,-4700000.0,77142857.0,158700000.0,3400000.0,-2600000.0,113300000.0,235400000.0,,156500000.0,184800000.0,-9000000.0,,-1800000.0,,0.14,197000000.0,50800000.0,,0.0,,,53300000.0,20400000.0,,53300000.0,25000000.0,10800000,10800000.0,,23200000.0,45400000.0,25500000.0,-4700000.0,800000.0,0.14,-13600000.0,1100000.0,400000.0,94000000.0,-100000.0,-73000000.0,9200000.0,,12400000.0,-5700000.0,5900000.0,,16700000.0,83500000.0,77142857.0,63900000.0,,355700000.0,27600000.0,120300000.0,7700000.0,7300000.0,7300000.0,1000000.0,,,23900000.0,0.0,,,,,,,
1994-07-31,0.0,21300000,133400000,21300000,76700000.0,13100000.0,0.0,-4700000.0,74857143.0,164200000.0,4300000.0,-2600000.0,118000000.0,244500000.0,,161900000.0,191900000.0,-13300000.0,,-6100000.0,,0.175,204100000.0,56700000.0,,-100000.0,,,55400000.0,20600000.0,,55400000.0,25600000.0,13100000,13100000.0,,23000000.0,46200000.0,26400000.0,-5100000.0,5800000.0,0.175,-10700000.0,1200000.0,-300000.0,100300000.0,0.0,-76200000.0,10500000.0,,11300000.0,-3400000.0,6800000.0,,19900000.0,85700000.0,74857143.0,64200000.0,,368300000.0,27600000.0,123800000.0,6200000.0,4000000.0,4000000.0,500000.0,,,27400000.0,0.0,,,,,,,
1994-10-31,-500000.0,23400000,147100000,23400000,101500000.0,15000000.0,0.0,-9900000.0,,168500000.0,-14500000.0,-2600000.0,123300000.0,250300000.0,,167700000.0,300200000.0,-7100000.0,,-500000.0,,,212400000.0,45600000.0,,-2500000.0,,,78100000.0,19300000.0,,59700000.0,25900000.0,15000000,15000000.0,,25500000.0,45200000.0,32600000.0,-7200000.0,100000.0,,-5100000.0,1000000.0,-100000.0,93600000.0,1500000.0,-79000000.0,12000000.0,,15300000.0,600000.0,7200000.0,,22200000.0,88700000.0,,63800000.0,,380900000.0,29900000.0,130600000.0,8100000.0,4600000.0,4600000.0,0.0,,,26900000.0,0.0,,,,,,,
1995-01-31,,14000000,123500000,14000000,71400000.0,8900000.0,0.0,-1300000.0,74166667.0,170100000.0,5100000.0,-2900000.0,124300000.0,250900000.0,,167700000.0,199400000.0,-5000000.0,,-6100000.0,,0.12,211700000.0,52100000.0,,0.0,,,57400000.0,18600000.0,,57400000.0,27200000.0,8900000,8900000.0,,26300000.0,45800000.0,36300000.0,-5200000.0,300000.0,0.12,-4700000.0,800000.0,500000.0,100300000.0,0.0,-79600000.0,13400000.0,,7900000.0,1700000.0,4800000.0,,13700000.0,88100000.0,74166667.0,63300000.0,,381800000.0,29400000.0,130900000.0,2700000.0,6300000.0,6300000.0,2300000.0,,,24700000.0,4600000.0,,,,,,,
1995-04-30,,20900000,143100000,20900000,83700000.0,12700000.0,0.0,-8100000.0,74705882.0,191300000.0,1700000.0,-3000000.0,146100000.0,270900000.0,,175700000.0,206600000.0,-8500000.0,,-2800000.0,,0.17,218900000.0,59400000.0,,-4200000.0,,,62800000.0,17300000.0,,62800000.0,27900000.0,12700000,12700000.0,,30600000.0,45200000.0,49800000.0,-4700000.0,700000.0,0.17,-1900000.0,1200000.0,-100000.0,110900000.0,0.0,-84300000.0,14800000.0,,11600000.0,2500000.0,6800000.0,,19500000.0,91400000.0,74705882.0,70100000.0,,410200000.0,33100000.0,139300000.0,6900000.0,8700000.0,8700000.0,700000.0,,,26200000.0,0.0,,,,,,,
