date,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyNetOtherInvestingChanges,quarterlyChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyFreeCashFlow,quarterlyStockBasedCompensation,quarterlyNetOtherFinancingCharges,quarterlyChangeInInventory
2000-09-30,,1.488564,,,,,,,,4639357800.0,4639357800.0,,,3116666667.0,,,,,,,,,4639357800.0,,,3116666667.0,,,,,,,,,,1.488564,,,18028164000.0,,,,,,18028164000.0,,18028164000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,7252000000.0,,,17000000.0,23134000000.0,801000000.0,,156438000000.0,104309000000.0,4663003200.0,4663003200.0,,28023000000.0,,,828000000.0,10471000000.0,,,,107000000.0,,4663003200.0,0.0,72661000000.0,,,,-283755000000.0,1986000000.0,27702000000.0,83777000000.0,27702000000.0,11581000000.0,12204000000.0,,,100992000000.0,-19672766000.0,-32144000000.0,52129000000.0,18522000000.0,133136000000.0,,-19127766000.0,0.0,18094234000.0,,3654000000.0,44638000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,,1.847831,,,,,,,,6895261800.0,6895261800.0,,,3731543624.0,,,,,,,,,6895261800.0,,,3731543624.0,,,,,,,,,,1.847831,,,24397982700.0,,,,,,24397982700.0,,24397982700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,6390159100.0,1.847607,,3182679500.0,30446256100.0,,8804035500.0,171410024500.0,113997793000.0,6894427800.0,6894427800.0,1397072300.0,34811073700.0,3721068375.0,429868400.0,1182138100.0,6340558900.0,479468600.0,,,,5422955200.0,6894427800.0,264534400.0,73937364800.0,3740003169.0,,15590996200.0,-283365942600.0,1984008000.0,30363589100.0,97439592900.0,30363589100.0,13400320700.0,16955001700.0,1.847607,3447213900.0,111005247600.0,14202190600.0,-32099596100.0,57412231500.0,32289730200.0,143104843700.0,,10168041000.0,19385411500.0,24395031700.0,,,39126291100.0,10341641700.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,,1.922858,,,,,,,,7092914400.0,7092914400.0,,,3688736028.0,,,,,,,,,7092914400.0,,,3688736028.0,,,,,,,,,,1.922858,,,25693214400.0,,,,,,25693214400.0,,25693214400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,5728000000.0,,,0.0,21591000000.0,630000000.0,,173749000000.0,126938000000.0,7133063200.0,7132063200.0,,26640000000.0,,,1029000000.0,4531000000.0,,,,93000000.0,,7133063200.0,0.0,61938000000.0,,,,-278722000000.0,1986000000.0,21821000000.0,111779000000.0,21821000000.0,11317000000.0,14970000000.0,,,125189000000.0,-31035134800.0,-38873000000.0,46811000000.0,41504000000.0,164062000000.0,,-32133134800.0,0.0,25838865200.0,,4237000000.0,35298000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,,2.047008,,,,,,,,7597740600.0,7597740600.0,,,3711631664.0,,,,,,,,,7597740600.0,,,3711631664.0,,,,,,,,,,2.047008,,,27538709400.0,,,,,,27538709400.0,,27538709400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,5324000000.0,,,0.0,21415000000.0,,,193381000000.0,126892000000.0,7617259400.0,7615259400.0,,26533000000.0,,,906000000.0,3828000000.0,,,,94000000.0,,7681259400.0,0.0,60227000000.0,,,,-278722000000.0,2011000000.0,51159000000.0,132963000000.0,51159000000.0,10237000000.0,4709000000.0,,,125300000000.0,-3861709400.0,,66489000000.0,56719000000.0,125300000000.0,,-5425709400.0,0.0,27607290600.0,,4712000000.0,33694000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,,2.481817,,,,,,,,8752063140.0,8752063140.0,,,3526473526.0,,,,,,,,,8752063140.0,,,3526473526.0,,,,,,,,,,2.481817,,,36652880100.0,,,,,,36652880100.0,,36652880100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,6066000000.0,,36522000000.0,0.0,36348000000.0,1013000000.0,,284900000000.0,225682000000.0,8799859380.0,8801859380.0,,52393000000.0,,,1586000000.0,8132000000.0,,14826000000.0,,93000000.0,,8799859380.0,0.0,112507000000.0,,,,-271684000000.0,2099000000.0,32575000000.0,172202000000.0,32575000000.0,19251000000.0,11069000000.0,,,188422000000.0,-40880712620.0,-65910000000.0,59218000000.0,67208000000.0,254332000000.0,,-41213712620.0,0.0,36850287380.0,,869000000.0,60114000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,,2.360928,,,,,,,,9271528000.0,9271528000.0,,,3927068724.0,,,,,,,,,9271528000.0,,,3927068724.0,,,,,,,,,,2.360928,,,40670550950.0,,,,,,40670550950.0,,40670550950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,6558000000.0,,35287000000.0,0.0,27885000000.0,,,298927000000.0,227656000000.0,8197472000.0,8190472000.0,,43796000000.0,,,1960000000.0,13460000000.0,,7475000000.0,75000000.0,93000000.0,,8260472000.0,0.0,114688000000.0,,,,-270879000000.0,2099000000.0,46290000000.0,184055000000.0,46290000000.0,20659000000.0,11678000000.0,,,186667000000.0,-12765550950.0,,71271000000.0,78256000000.0,186667000000.0,,-13473550950.0,0.0,35986449050.0,,660000000.0,70892000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,,2.475167,,,,,,,,9726826250.0,9726826250.0,,,3929765886.0,,,,,,,,,9726826250.0,,,3929765886.0,,,,,,,,,,2.475167,,,44081148750.0,,,,,,44081148750.0,,44081148750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,6116000000.0,,34373000000.0,182000000.0,19407000000.0,2113000000.0,,307303000000.0,237846000000.0,7286117750.0,7277117750.0,,30350000000.0,,,2050000000.0,13090000000.0,,22869000000.0,97000000.0,93000000.0,,7286117750.0,0.0,108500000000.0,,,,-262907000000.0,2099000000.0,39129000000.0,198803000000.0,39129000000.0,25225000000.0,17227000000.0,,,199974000000.0,-70372528800.0,-97979000000.0,69457000000.0,85032000000.0,297953000000.0,,-69863528800.0,0.0,33173471200.0,,688000000.0,78150000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,,2.548842,,,,,,,,20000010400.0,20000010400.0,,,3934330779.0,,,,,,,,,20000010400.0,,,3934330779.0,,,,,,,,,,2.548842,,,45894063600.0,,,,,,45894063600.0,,45894063600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,6249000000.0,2.547187,33444000000.0,0.0,19003000000.0,,18220208150.0,324934000000.0,237474000000.0,9991727050.0,9991727050.0,2284769400.0,29674000000.0,3934389119.0,935430950.0,2345000000.0,7253000000.0,422185650.0,9135000000.0,98000000.0,77000000.0,12955304750.0,9991727050.0,0.0,111286000000.0,3953884540.0,,27640742850.0,-262907000000.0,2099000000.0,46961000000.0,213465000000.0,46961000000.0,25875000000.0,26777000000.0,2.547187,4966890000.0,199265000000.0,25844384300.0,,87460000000.0,99686000000.0,199265000000.0,,14685438100.0,0.0,45860951000.0,,597000000.0,81612000000.0,14958617050.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,,3.126657,,,,,,,,12384112400.0,12384112400.0,,,3927540037.0,,,,,,,,,12384112400.0,,,3960815462.0,,,,,,,,,,3.153147,,,56622546000.0,,,,,,56622546000.0,,56622546000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,6553000000.0,,35300000000.0,0.0,13000000000.0,3628000000.0,,368752000000.0,288843000000.0,9636433500.0,9658433500.0,,37682000000.0,,,2499000000.0,8180000000.0,,31832000000.0,105000000.0,77000000.0,,9636433500.0,0.0,135348000000.0,,,,-253316000000.0,2102000000.0,45149000000.0,233161000000.0,45149000000.0,35036000000.0,20264000000.0,,,249302000000.0,-85451169850.0,-125866000000.0,79909000000.0,109096000000.0,375168000000.0,,-85357169850.0,0.0,44044830150.0,,944000000.0,97666000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,,3.236757,,,,,,,,12764907300.0,12764907300.0,,,3943734015.0,,,,,,,,,12764907300.0,,,3943734015.0,,,,,,,,,,3.236757,,,60778177300.0,,,,,,60778177300.0,,60778177300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,6859000000.0,3.050498,35300000000.0,0.0,12906000000.0,,4453644700.0,395654000000.0,285818000000.0,12019873800.0,12019873800.0,22284779800.0,37570000000.0,3942175115.0,1034768750.0,1801000000.0,5952000000.0,339404150.0,14044000000.0,105000000.0,77000000.0,36150681050.0,12019873800.0,0.0,146306000000.0,3970175976.0,,52822875150.0,-252364000000.0,2106000000.0,70840000000.0,249087000000.0,70840000000.0,37807000000.0,24358000000.0,3.050498,5637420150.0,235434000000.0,30538095350.0,,109836000000.0,123282000000.0,235434000000.0,,16672194100.0,0.0,57276519850.0,,926000000.0,108736000000.0,17665572100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,,3.872017,,,,,,,,15455700900.0,15455700900.0,,,3964300540.0,,,,,,,,,15455700900.0,,,3991640543.0,,,,,,,,,,3.898721,,,67252528890.0,,,,,,67252528890.0,,67252528890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,6603000000.0,,35300000000.0,0.0,36545000000.0,4921000000.0,,421027000000.0,299951000000.0,13056682040.0,13096682040.0,,37966000000.0,,,2365000000.0,0.0,,40831000000.0,97000000.0,77000000.0,,13056682040.0,0.0,147920000000.0,,,,-240943000000.0,2116000000.0,64461000000.0,272824000000.0,64461000000.0,41931000000.0,41925000000.0,,,250706000000.0,-106845633580.0,-147620000000.0,121076000000.0,132411000000.0,398326000000.0,,-108612633580.0,0.0,56585366420.0,,1324000000.0,109954000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,,3.798926,,,,,,,,15070463130.0,15070463130.0,,,3967032079.0,,,,,,,,,15070463130.0,,,3967032079.0,,,,,,,,,,3.798926,,,43871970900.0,,,,,,43871970900.0,,43871970900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,8039000000.0,,36894000000.0,0.0,36563000000.0,,,459016000000.0,300508000000.0,15097536870.0,15135536870.0,,37899000000.0,,,2010000000.0,,,22519000000.0,191000000.0,77000000.0,,15097536870.0,0.0,164827000000.0,,772000000.0,,-239910000000.0,2122000000.0,71411000000.0,293868000000.0,71411000000.0,49705000000.0,69889000000.0,,,248154000000.0,1437029100.0,,158508000000.0,150860000000.0,248154000000.0,,-1917970900.0,0.0,93107029100.0,,1145000000.0,126928000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,,4.513307,,,,,,,,18226968400.0,18226968400.0,,,3994461751.0,,,,,,,,,18226968400.0,,,4038495188.0,,,,,,,,,,4.56306,,,80331335600.0,,,,,,80331335600.0,,80331335600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,7153000000.0,,36894000000.0,0.0,33574000000.0,8269000000.0,,494676000000.0,323169000000.0,17994621400.0,18082621400.0,,34696000000.0,,,3007000000.0,2996000000.0,,48970000000.0,192000000.0,77000000.0,,17994621400.0,0.0,175303000000.0,,700000000.0,,-225644000000.0,2130000000.0,71167000000.0,319002000000.0,71167000000.0,57240000000.0,82294000000.0,,,270710000000.0,-117241468400.0,-192920000000.0,171507000000.0,158709000000.0,463630000000.0,,-118462468400.0,0.0,79698531600.0,,930000000.0,140607000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,,4.57579,,,,,,,,18306016800.0,18306016800.0,,,4000624410.0,,,,,,,,,18306016800.0,,,4000624410.0,,,,,,,,,,4.57579,,,83145295200.0,,,,,,83145295200.0,,83145295200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,7461000000.0,4.729377,36894000000.0,0.0,33578000000.0,,5824281000.0,544258000000.0,340251000000.0,18917508000.0,18917508000.0,33181674000.0,34353000000.0,3998743007.0,752746500.0,2771000000.0,2999000000.0,425796000.0,29691000000.0,160000000.0,77000000.0,50616499500.0,18917508000.0,0.0,202122000000.0,4058016170.0,601000000.0,77327595000.0,-225736000000.0,2133000000.0,103719000000.0,341707000000.0,103719000000.0,68185000000.0,81552000000.0,4.729377,8941716000.0,285667000000.0,44153524500.0,,204007000000.0,180349000000.0,285667000000.0,,26711095500.0,0.0,83151876000.0,,615000000.0,167769000000.0,27889638000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204637032000.0,,,,,,207858032000.0,,94783032000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,6985000000.0,,36894000000.0,0.0,33582000000.0,7459000000.0,,563493000000.0,355858000000.0,,,,34301000000.0,,,3295000000.0,0.0,,53148000000.0,122000000.0,77000000.0,,,0.0,189254000000.0,,469000000.0,,-207932000000.0,2136000000.0,78859000000.0,373751000000.0,78859000000.0,63927000000.0,109685000000.0,,,304590000000.0,-130300032000.0,-244487000000.0,207635000000.0,193804000000.0,549077000000.0,,-130642032000.0,0.0,95595968000.0,,597000000.0,154953000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,7585000000.0,0.0,36894000000.0,0.0,33626000000.0,,,623318000000.0,388669000000.0,,,,34337000000.0,,,3458000000.0,,,27729000000.0,100000000.0,77000000.0,,,0.0,215228000000.0,,383000000.0,,405394000000.0,2137000000.0,89444000000.0,407531000000.0,89444000000.0,74293000000.0,122285000000.0,0.0,,333872000000.0,,,234649000000.0,,,,,0.0,,,611000000.0,180891000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,7022000000.0,,36894000000.0,0.0,33553000000.0,61292000000.0,,657697000000.0,417527000000.0,,,,34217000000.0,,,3494000000.0,,,26089000000.0,80000000.0,7000000.0,,,77000000.0,214790000000.0,,298000000.0,,,2138000000.0,218259000000.0,442278000000.0,87426000000.0,79730000000.0,0.0,,,363265000000.0,,-302793000000.0,240170000000.0,239585000000.0,666058000000.0,130833000000.0,,0.0,,,584000000.0,180573000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,6692000000.0,0.0,36894000000.0,0.0,33532000000.0,70360000000.0,,723989000000.0,444232000000.0,,,,34260000000.0,,,3617000000.0,,,43725000000.0,70000000.0,13000000.0,,,77000000.0,252646000000.0,,735000000.0,,,2139000000.0,90732000000.0,470586000000.0,90732000000.0,92436000000.0,165308000000.0,0.0,,385745000000.0,,,279757000000.0,268286000000.0,385745000000.0,,,0.0,,,658000000.0,218386000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,6430000000.0,,36894000000.0,0.0,33551000000.0,69335000000.0,,751368000000.0,464013000000.0,,,,33929000000.0,,,3847000000.0,,,35573000000.0,61000000.0,6000000.0,,,77000000.0,243734000000.0,,727000000.0,,,2139000000.0,264507000000.0,506748000000.0,78894000000.0,96108000000.0,0.0,,,406169000000.0,,-350192000000.0,287355000000.0,281255000000.0,756361000000.0,185613000000.0,,0.0,,,317000000.0,209805000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,7012000000.0,0.0,36894000000.0,0.0,4981000000.0,,,827779000000.0,484999000000.0,,,,28853000000.0,,,4052000000.0,4959000000.0,,50207000000.0,56000000.0,77000000.0,,,0.0,287919000000.0,,694000000.0,,536657000000.0,2139000000.0,317424000000.0,538796000000.0,317424000000.0,106446000000.0,0.0,0.0,,423855000000.0,,,342780000000.0,,,,,0.0,,,183000000.0,259066000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,7632000000.0,,36894000000.0,0.0,28615000000.0,,,861935000000.0,540053000000.0,,,,28902000000.0,,,4249000000.0,4981000000.0,,43489000000.0,39000000.0,40260000000.0,,,162000000.0,284532000000.0,,813000000.0,,-93713000000.0,2139000000.0,87543000000.0,576157000000.0,87543000000.0,111646000000.0,204803000000.0,,,440164000000.0,,-417908000000.0,321882000000.0,281255000000.0,858072000000.0,,,0.0,,,248000000.0,255630000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,9590000000.0,0.0,36894000000.0,0.0,4983000000.0,,,924512000000.0,554807000000.0,,,,28828000000.0,,,3408000000.0,170000000.0,,61367000000.0,17000000.0,41365000000.0,,,125000000.0,313018000000.0,,778000000.0,,-139525000000.0,2139000000.0,112558000000.0,610161000000.0,112558000000.0,116229000000.0,217476000000.0,0.0,,450941000000.0,,,369705000000.0,361011000000.0,,,,0.0,,,195000000.0,284190000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,9165000000.0,,36894000000.0,0.0,28617000000.0,18846000000.0,,952558000000.0,569873000000.0,,,,28895000000.0,,,7944000000.0,0.0,,107768000000.0,17000000.0,43928000000.0,,,122000000.0,302139000000.0,,818000000.0,,-114402000000.0,2140000000.0,86259000000.0,649064000000.0,86259000000.0,116266000000.0,246687000000.0,,,464400000000.0,,-465923000000.0,382685000000.0,374697000000.0,930323000000.0,,,0.0,,,261000000.0,273244000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,11173000000.0,0.0,36894000000.0,0.0,4985000000.0,,,1021909000000.0,585132000000.0,,,,28919000000.0,,,6426000000.0,,,69962000000.0,19000000.0,45965000000.0,,,2210000000.0,336605000000.0,,968000000.0,,-114086000000.0,2142000000.0,96405000000.0,683511000000.0,96405000000.0,119989000000.0,297207000000.0,0.0,,470955000000.0,,,436777000000.0,408316000000.0,,,,0.0,,,282000000.0,307686000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,11722000000.0,,36894000000.0,0.0,28619000000.0,30999000000.0,,1052109000000.0,605516000000.0,,,,29004000000.0,,,7195000000.0,,,118531000000.0,51000000.0,48476000000.0,,,5418000000.0,326800000000.0,,924000000.0,,721305000000.0,2142000000.0,402903000000.0,723447000000.0,70906000000.0,123896000000.0,331997000000.0,,,500260000000.0,,-528711000000.0,446593000000.0,416197000000.0,1028971000000.0,331997000000.0,,0.0,,,334000000.0,297796000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,14680000000.0,0.0,36894000000.0,0.0,28621000000.0,127902000000.0,,1118199000000.0,618627000000.0,,,,29025000000.0,,,7602000000.0,,,70009000000.0,60000000.0,51106000000.0,,,6320000000.0,358221000000.0,,1118000000.0,,755943000000.0,2142000000.0,451614000000.0,758085000000.0,66013000000.0,119829000000.0,385601000000.0,0.0,,505357000000.0,,,499572000000.0,450865000000.0,505357000000.0,385601000000.0,,0.0,,,344000000.0,329196000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,13907000000.0,,36894000000.0,0.0,4989000000.0,43115000000.0,,1167392000000.0,700203000000.0,,,,5755000000.0,,,9152000000.0,,,130200000000.0,104000000.0,54067000000.0,,,6816000000.0,376668000000.0,,1063000000.0,,786631000000.0,2142000000.0,419908000000.0,788773000000.0,44931000000.0,173157000000.0,0.0,,,583962000000.0,,-593946000000.0,467189000000.0,457219000000.0,1177908000000.0,374977000000.0,,0.0,,,662000000.0,370913000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
