date,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyCapitalStock,quarterlyChangeInAccountPayable,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingExpense,quarterlyAccountsPayable,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2006-09-30,4099100000.0,-0.38,323200000.0,5650900000.0,9402700000.0,601300000.0,1415400000.0,2313100000,45700000,925900000.0,5232700000.0,,91300000.0,211900000,220600000.0,69900000,-83300000,-83300000,207700000.0,10600000,245800000,-108700000,1422200000.0,245800000.0,-3600000.0,245800000.0,83400000.0,226800000.0,118700000,800000.0,7455100000.0,1302000000.0,194900000.0,171700000,-15800000,-41700000,536100000.0,3600000.0,,233200000.0,,289700000.0,,200100000,372900000,91800000.0,216400000,1046800000.0,,1918100000.0,-0.38,31900000.0,,-2588300000.0,-17400000,3942100000.0,,-55100000.0,,275200000,104100000,35300000,-16400000,,52900000,-1258800000.0,,2686000000,6530400000.0,3751800000.0,2222400000.0,156500000,-136800000,-115700000,287400000,,
2006-12-31,3457400000.0,,0.0,5108300000.0,8444900000.0,857600000.0,1257300000.0,2190400000,17400000,955800000.0,4605800000.0,,90200000.0,236000000,,44400000,-18800000,-18800000,192600000.0,-15600000,263200000,468900000,1520100000.0,263200000.0,-3600000.0,263200000.0,85900000.0,187900000.0,112500000,,6678900000.0,580700000.0,187600000.0,59300000,-23400000,-40200000,175700000.0,,,,,289700000.0,,245800000,345500000,-73900000.0,169000000,1018200000.0,,1736600000.0,,7200000.0,,-2581300000.0,-65000000,4059400000.0,,82700000.0,,289000000,145600000,26800000,-84400000,,-18800000,-1277600000.0,,2535900000,6640700000.0,3336600000.0,2073100000.0,176500000,-746400000,-222900000,282200000,,
2007-03-31,3516000000.0,0.2,0.0,5207700000.0,8613400000.0,821600000.0,1400800000.0,2240000000,-119700000,963800000.0,4673300000.0,,91700000.0,224900000,220800000.0,45600000,46600000,46600000,193500000.0,-16300000,143500000,-99200000,1581800000.0,143500000.0,-25700000.0,143500000.0,73800000.0,178800000.0,109200000,-13000000.0,6798700000.0,614800000.0,186200000.0,-136000000,-3000000,-59900000,170500000.0,3600000.0,,233400000.0,,289700000.0,,263200000,407300000,-60400000.0,258200000,1116900000.0,,1784400000.0,0.21,-400000.0,,-2581300000.0,13000000,4106700000.0,,11400000.0,,258300000,-198000000,33300000,4200000,,59000000,-1255400000.0,,2647300000,6688000000.0,3405700000.0,2125400000.0,149100000,6700000,-105200000,-30800000,,
2007-06-30,3524600000.0,-0.32,10100000.0,5139900000.0,8515200000.0,802900000.0,1456800000.0,2137900000,24000000,947600000.0,4573800000.0,,92400000.0,221700000,220900000.0,57000000,-70900000,-70900000,101600000.0,-8800000,167500000,-150900000,1348000000.0,167500000.0,-25700000.0,167500000.0,70000000.0,258800000.0,107800000,-3700000.0,6761300000.0,801600000.0,175600000.0,-61500000,-3200000,89800000,304000000.0,3600000.0,,233500000.0,,289700000.0,,143500000,379700000,-35100000.0,257000000,1096400000.0,,1730000000.0,-0.32,-100000.0,,-2581300000.0,-8000000,3825100000.0,,259400000.0,,230500000,-81800000,36200000,-92800000,,37900000,-1348500000.0,,2517600000,6406400000.0,3375300000.0,2187500000.0,122700000,57200000,-177600000,116100000,,
2007-09-30,3560100000.0,-0.68,0.0,5150300000.0,8320800000.0,896300000.0,1309600000.0,2090600000,-16800000,930000000.0,4550000000.0,,92500000.0,216600000,221000000.0,-152400000,-150000000,-150000000,59900000.0,-234700000,150700000,159400000,1459300000.0,150700000.0,-25700000.0,150700000.0,71500000.0,152200000.0,96300000,4700000.0,6672400000.0,645700000.0,177900000.0,-225900000,1400000,-79400000,122700000.0,3600000.0,,221000000.0,,289700000.0,,167500000,389400000,30600000.0,59100000,1057500000.0,,1627100000.0,-0.68,500000.0,,-2581300000.0,-13500000,4006400000.0,,-228600000.0,,426600000,47500000,35400000,-21200000,,-168800000,-1520700000.0,,2480000000,6587700000.0,3170500000.0,2122400000.0,330300000,-137900000,-183900000,-42000000,,
2007-12-31,3505000000.0,,0.0,5070400000.0,8165600000.0,885200000.0,1262700000.0,1987700000,3300000,677800000.0,4337200000.0,,92500000.0,225100000,,102300000,2200000,2200000,154400000.0,60300000,154000000,291200000,1451900000.0,154000000.0,-25700000.0,154000000.0,70300000.0,68500000.0,99600000,-800000.0,6312500000.0,692600000.0,173200000.0,-293200000,-100000,-24400000,116600000.0,3600000.0,,,,289700000.0,,150700000,378600000,245100000.0,256500000,1018400000.0,,1826600000.0,,900000.0,,-2336800000.0,-3000000,3762600000.0,,-300000.0,,221700000,-151500000,39800000,-92900000,,103700000,-1540100000.0,,2366300000,6099400000.0,3095200000.0,1975300000.0,122100000,-195900000,-198400000,-94800000,,
2008-03-31,3587300000.0,0.03,0.0,5346300000.0,8680200000.0,900400000.0,1284500000.0,2173500000,12400000,692100000.0,4444300000.0,,94600000.0,237800000,227100000.0,8000000,7300000,7300000,164900000.0,-10500000,166400000,-130300000,1647700000.0,166400000.0,-27000000.0,166400000.0,64800000.0,234000000.0,93800000,,6709200000.0,762400000.0,170800000.0,-141000000,-300000,-123900000,129000000.0,5200000.0,,233800000.0,,2400000.0,,154000000,366900000,363700000.0,271600000,1127100000.0,,1938900000.0,0.03,-4100000.0,,-2336800000.0,3400000,3938000000.0,,24600000.0,,189100000,-125100000,39000000,-5100000,,14800000,-1562800000.0,,2540400000,6274800000.0,3333900000.0,2264900000.0,95300000,149500000,-131400000,-9600000,,
2008-06-30,3572800000.0,0.1,0.0,5422200000.0,8747100000.0,874900000.0,1404400000.0,2514200000,-25700000,660000000.0,4413400000.0,,95300000.0,235200000,233544492.0,10400000,23700000,23700000,180600000.0,-5600000,140700000,-160600000,1564600000.0,140700000.0,-23400000.0,140700000.0,65500000.0,385400000.0,97500000,,6780300000.0,850800000.0,165500000.0,-89700000,-5600000,78800000,110900000.0,-1600000.0,,233684041.0,,2400000.0,,166400000,381500000,356100000.0,271900000,1103200000.0,,1933800000.0,0.1,900000.0,,-2336800000.0,21200000,3927400000.0,,-16400000.0,,207100000,-114800000,40500000,5300000,,34700000,-1562700000.0,,2895700000,6264200000.0,3324900000.0,2366900000.0,109600000,105700000,-119100000,29400000,,
2008-09-30,3506900000.0,-0.09,0.0,5231800000.0,8410700000.0,876900000.0,1303900000.0,2379700000,-33500000,615900000.0,4309600000.0,,92500000.0,231400000,233600000.0,-22600000,-20200000,-20200000,186800000.0,-16800000,107200000,-109600000,1541100000.0,107200000.0,-23400000.0,107200000.0,68200000.0,451100000.0,98800000,4000000.0,6645900000.0,835700000.0,160000000.0,-83800000,3300000,-53000000,94300000.0,0.0,,233600000.0,,2400000.0,,140700000,350800000,196100000.0,228500000,1005100000.0,,1731300000.0,-0.09,-3300000.0,,-2336800000.0,17700000,3784300000.0,,22500000.0,,221100000,-74800000,38800000,14800000,,-4400000,-1606700000.0,,2730500000,6121100000.0,3178900000.0,2336300000.0,122300000,53500000,-110300000,26500000,,
2008-12-31,3683000000.0,,0.0,4818000000.0,8058000000.0,617000000.0,913000000.0,1883600000,549800000,1021000000.0,4821000000.0,267000000.0,92000000.0,189400000,,483200000,598200000,598200000,117000000.0,775700000,657000000,-88500000,1500000000.0,657000000.0,-23200000.0,657000000.0,,205000000.0,107900000,,6426000000.0,364000000.0,153000000.0,663500000,-3400000,-20900000,99000000.0,400000.0,,,-200000.0,2000000.0,,107200000,164800000,-489000000.0,291000000,747000000.0,,1610000000.0,,-6500000.0,,-2455000000.0,147700000,3649000000.0,,-142700000.0,,-18300000,-25300000,35700000,187000000,,623900000,-1031000000.0,,2048400000,6104000000.0,3240000000.0,1605000000.0,-126200000,-78700000,-57200000,720700000,,
2009-03-31,3618000000.0,-1.24,0.0,4485000000.0,7270000000.0,525000000.0,827000000.0,1548000000,-187000000,980000000.0,4727000000.0,265000000.0,92000000.0,197000000,233706663.0,-297000000,-290000000,-290000000,129000000.0,-20000000,470000000,-62000000,1333000000.0,470000000.0,-23000000.0,470000000.0,,161000000.0,126000000,,6032000000.0,350000000.0,144000000.0,-99000000,0,114000000,94000000.0,,,233706663.0,,2000000.0,-113000000.0,657000000,145000000,-571000000.0,225000000,584000000.0,,1220000000.0,-1.24,-1000000.0,-122000000.0,,138000000,3471000000.0,5000000.0,11000000.0,,46000000,-15000000,36000000,131000000,,-159000000,-1344000000.0,,1693000000,,2785000000.0,1305000000.0,-80000000,-84000000,-61000000,-38000000,,
2009-06-30,3995000000.0,1.51,0.0,4604000000.0,9153000000.0,558000000.0,946000000.0,1629000000,1825000000,1019000000.0,5266000000.0,262000000.0,94000000.0,200000000,234000000.0,409000000,406000000,406000000,252000000.0,776000000,2295000000,-58000000,1162000000.0,2295000000.0,-24000000.0,2295000000.0,,691000000.0,100000000,,7399000000.0,352000000.0,138000000.0,1008000000,-4000000,238000000,96000000.0,,,271300000.0,,2000000.0,32000000.0,470000000,237000000,-441000000.0,235000000,636000000.0,,1736000000.0,1.74,4000000.0,-25000000.0,,311000000,3588000000.0,4000000.0,3000000.0,,102000000,411000000,36000000,124000000,,720000000,-962000000.0,212000000.0,1866000000,,4549000000.0,2133000000.0,2000000,831000000,-39000000,1047000000,,
2009-09-30,4033000000.0,-0.29,0.0,4630000000.0,8710000000.0,632000000.0,1157000000.0,1771000000,-676000000,1017000000.0,5394000000.0,263000000.0,94000000.0,214000000,234000000.0,-66000000,-68000000,-68000000,344000000.0,-88000000,1619000000,-44000000,1113000000.0,1619000000.0,-24000000.0,1619000000.0,,198000000.0,112000000,,7007000000.0,366000000.0,133000000.0,-142000000,-11000000,72000000,107000000.0,0.0,,234000000.0,,2000000.0,106000000.0,2295000000,337000000,-404000000.0,250000000,747000000.0,,1684000000.0,-0.29,-1000000.0,-490000000.0,,0,3562000000.0,5000000.0,6000000.0,,199000000,-234000000,36000000,56000000,-7000000.0,-66000000,-1054000000.0,,2108000000,,4080000000.0,1613000000.0,87000000,-533000000,-40000000,-102000000,,
2009-12-31,3786000000.0,,0.0,4486000000.0,8626000000.0,623000000.0,1019000000.0,1747000000,126000000,875000000.0,4950000000.0,250000000.0,94000000.0,249000000,,69000000,66000000,66000000,289000000.0,-22000000,1745000000,-41000000,1184000000.0,1745000000.0,-25000000.0,1745000000.0,,431000000.0,104000000,,6761000000.0,355000000.0,125000000.0,148000000,11000000,-73000000,109000000.0,0.0,,,-2000000.0,2000000.0,10000000.0,1619000000,349000000,-287000000.0,277000000,755000000.0,,1844000000.0,,1000000.0,-24000000.0,-2926000000.0,-79000000,3516000000.0,6000000.0,-1000000.0,,176000000,97000000,37000000,-80000000,0.0,-10000000,-1015000000.0,,2096000000,6442000000.0,4140000000.0,1811000000.0,72000000,-30000000,-49000000,197000000,,
2010-03-31,3864000000.0,-0.73,0.0,4434000000.0,8387000000.0,564000000.0,1383000000.0,1813000000,-635000000,816000000.0,4969000000.0,252000000.0,94000000.0,218000000,234800000.0,-159000000,-172000000,-172000000,289000000.0,-157000000,1110000000,-43000000,1248000000.0,1110000000.0,-24000000.0,1110000000.0,,316000000.0,98000000,-3000000.0,6749000000.0,434000000.0,120000000.0,-445000000,3000000,-96000000,132000000.0,,-254000000.0,234800000.0,-6000000.0,2000000.0,153000000.0,1745000000,281000000,-331000000.0,256000000,898000000.0,,1617000000.0,-0.73,-3000000.0,-846000000.0,,-34000000,3373000000.0,7000000.0,8000000.0,2000000.0,123000000,-484000000,36000000,-20000000,,-193000000,-1217000000.0,,2094000000,,3953000000.0,1780000000.0,25000000,-184000000,-37000000,-408000000,,
2010-06-30,3703000000.0,0.47,0.0,4292000000.0,8065000000.0,568000000.0,15000000.0,1958000000,-344000000,795000000.0,4810000000.0,267000000.0,94000000.0,208000000,236400000.0,54000000,114000000,114000000,312000000.0,-8000000,766000000,-6000000,1324000000.0,766000000.0,-24000000.0,766000000.0,43000000.0,168000000.0,98000000,-1000000.0,6395000000.0,474000000.0,107000000.0,-75000000,-16000000,-109000000,129000000.0,,0.0,240800000.0,0.0,2000000.0,-26000000.0,1110000000,385000000,-395000000.0,241000000,847000000.0,,1647000000.0,0.48,36000000.0,-313000000.0,,39000000,3241000000.0,5000000.0,-32000000.0,0.0,234000000,-264000000,36000000,54000000,,93000000,-1127000000.0,,2343000000,,3773000000.0,1585000000.0,144000000,-296000000,-41000000,-34000000,,
2010-09-30,3957000000.0,0.23,0.0,4621000000.0,8866000000.0,626000000.0,1620000000.0,1986000000,237000000,828000000.0,5121000000.0,234000000.0,94000000.0,202000000,236400000.0,57000000,55000000,55000000,336000000.0,-9000000,1003000000,-36000000,1375000000.0,1003000000.0,-24000000.0,1003000000.0,,384000000.0,99000000,0.0,6978000000.0,472000000.0,112000000.0,38000000,17000000,21000000,146000000.0,12000000.0,0.0,241000000.0,0.0,2000000.0,-66000000.0,766000000,415000000,-249000000.0,244000000,845000000.0,,1829000000.0,0.23,6000000.0,-294000000.0,,41000000,3594000000.0,7000000.0,188000000.0,0.0,270000000,-140000000,39000000,38000000,0.0,98000000,-1096000000.0,,2401000000,,4245000000.0,1857000000.0,171000000,166000000,-54000000,92000000,,
2010-12-31,3631000000.0,,0.0,4706000000.0,8714000000.0,628000000.0,1479000000.0,2032000000,-37000000,866000000.0,4811000000.0,234000000.0,94000000.0,233000000,,39000000,30000000,30000000,314000000.0,-16000000,966000000,-97000000,1396000000.0,966000000.0,-24000000.0,966000000.0,,519000000.0,110000000,,6864000000.0,495000000.0,105000000.0,188000000,-31000000,-23000000,113000000.0,2000000.0,0.0,,0.0,2000000.0,22000000.0,1003000000,380000000,-297000000.0,281000000,887000000.0,,1790000000.0,,-5000000.0,-399000000.0,-3096000000.0,-17000000,3605000000.0,8000000.0,-166000000.0,1000000.0,209000000,133000000,40000000,-27000000,,22000000,-1090000000.0,,2412000000,6701000000.0,4008000000.0,2053000000.0,99000000,-229000000,-104000000,292000000,,
2011-03-31,3861000000.0,0.26,0.0,4725000000.0,9040000000.0,712000000.0,1773000000.0,2219000000,-334000000,828000000.0,4988000000.0,236000000.0,94000000.0,218000000,237600000.0,80000000,62000000,62000000,299000000.0,-8000000,632000000,-57000000,1608000000.0,632000000.0,-24000000.0,632000000.0,,200000000.0,103000000,-6000000.0,7032000000.0,466000000.0,99000000.0,-184000000,2000000,-171000000,251000000.0,,0.0,242900000.0,-8000000.0,2000000.0,213000000.0,966000000,460000000,-202000000.0,291000000,1112000000.0,,1942000000.0,0.26,0.0,-210000000.0,,22000000,3640000000.0,8000000.0,74000000.0,2000000.0,272000000,-290000000,39000000,-16000000,,102000000,-1060000000.0,,2679000000,,4315000000.0,2044000000.0,169000000,-156000000,-60000000,-124000000,,
2011-06-30,3890000000.0,0.47,0.0,4896000000.0,9476000000.0,758000000.0,1836000000.0,2433000000,51000000,844000000.0,5041000000.0,192000000.0,111000000.0,256000000,239400000.0,124000000,114000000,114000000,307000000.0,-6000000,683000000,-54000000,1746000000.0,683000000.0,-24000000.0,683000000.0,65000000.0,289000000.0,111000000,-4000000.0,7240000000.0,465000000.0,109000000.0,61000000,-2000000,-99000000,271000000.0,,0.0,243700000.0,0.0,2000000.0,-13000000.0,632000000,501000000,-142000000.0,272000000,1132000000.0,,2099000000.0,0.48,2000000.0,-67000000.0,,34000000,3825000000.0,8000000.0,-53000000.0,1000000.0,334000000,-118000000,42000000,-2000000,,158000000,-970000000.0,,2934000000,,4580000000.0,2199000000.0,229000000,-22000000,-64000000,125000000,,
2011-09-30,3851000000.0,-0.14,0.0,4734000000.0,9008000000.0,732000000.0,1776000000.0,2486000000,-230000000,941000000.0,5116000000.0,206000000.0,110000000.0,217000000,237600000.0,-42000000,-34000000,-34000000,324000000.0,-156000000,453000000,-89000000,1687000000.0,453000000.0,-24000000.0,453000000.0,63000000.0,230000000.0,113000000,-7000000.0,7074000000.0,469000000.0,99000000.0,-69000000,-1000000,-3000000,292000000.0,0.0,0.0,237600000.0,-51000000.0,2000000.0,-119000000.0,683000000,490000000,-337000000.0,258000000,977000000.0,,1800000000.0,-0.14,1000000.0,-180000000.0,,55000000,3659000000.0,3000000.0,7000000.0,1000000.0,189000000,-116000000,42000000,14000000,0.0,13000000,-1029000000.0,,2976000000,,4274000000.0,1958000000.0,232000000,-157000000,-93000000,24000000,,
