date,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyDilutedAverageShares,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccumulatedDepreciation,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetPPE,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyBasicAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlySellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
2016-12-31,,133000000,0.0,299000000,237000000,54200000.0,-228000000.0,-163000000,12000000.0,147000000.0,147000000.0,-687000000.0,-1000000.0,678000000.0,,10000000,19000000.0,-56000000,-7000000,78000000.0,-133000000,0.0,176000000,81000000,5738000000.0,-3000000.0,5051000000.0,58000000,40000000,41000000,256000000.0,14000000,-77000000,,235000000,4584000000.0,54000000,74000000,628000000.0,,355000000.0,397000000.0,54200000.0,67000000.0,,0.91,42000000,6795000000.0,7150000000.0,105000000.0,78000000.0,,-15000000,4981000000.0,116000000,196000000,42000000,3508000000.0,45000000.0,0.91,25000000.0,60000000,58000000,80000000.0,-55000000,16000000.0,123000000,64000000,147000000,,,,,,,,
2017-03-31,,147000000,0.0,-32000000,50000000,54200000.0,0.0,-37000000,29000000.0,82000000.0,82000000.0,,-9000000.0,674000000.0,,-51000000,18000000.0,43000000,-8000000,87000000.0,-61000000,0.0,175000000,35000000,5029000000.0,-2000000.0,5029000000.0,73000000,7000000,8000000,45000000.0,-65000000,-16000000,,139000000,4753000000.0,46000000,27000000,628000000.0,,333000000.0,182000000.0,54200000.0,66000000.0,,0.22,12000000,6759000000.0,7092000000.0,99000000.0,76000000.0,-2000000.0,-178000000,4935000000.0,123000000,42000000,12000000,3681000000.0,51000000.0,0.22,15000000.0,52000000,50000000,89000000.0,-56000000,,20000000,-40000000,82000000,,,,,,,,
2017-06-30,,82000000,0.0,26000000,59000000,54300000.0,-242000000.0,-23000000,28000000.0,128000000.0,128000000.0,,-6000000.0,670000000.0,,13000000,21000000.0,61000000,-12000000,89000000.0,154000000,0.0,204000000,119000000,5393000000.0,-1000000.0,5393000000.0,88000000,11000000,9000000,53000000.0,46000000,-23000000,,173000000,5171000000.0,53000000,107000000,628000000.0,,361000000.0,203000000.0,54300000.0,72000000.0,,0.24,13000000,7118000000.0,7479000000.0,104000000.0,69000000.0,-1000000.0,-5000000,5374000000.0,143000000,50000000,13000000,3926000000.0,56000000.0,0.24,26000000.0,61000000,55000000,97000000.0,-68000000,,32000000,-228000000,128000000,,,,,,,,
2017-09-30,,128000000,0.0,-289000000,51000000,54300000.0,0.0,-1111000000,42000000.0,135000000.0,135000000.0,,14000000.0,665000000.0,,9000000,19000000.0,50000000,-12000000,98000000.0,226000000,0.0,177000000,83000000,5393000000.0,0.0,5393000000.0,66000000,16000000,13000000,61000000.0,7000000,-12000000,,151000000,5499000000.0,50000000,71000000,628000000.0,,662000000.0,207000000.0,54300000.0,85000000.0,,0.01,1000000,7120000000.0,7782000000.0,119000000.0,73000000.0,0.0,-22000000,5706000000.0,121000000,38000000,1000000,4237000000.0,65000000.0,0.01,16000000.0,56000000,55000000,83000000.0,-61000000,,35000000,-301000000,135000000,,,,,,,,
2017-12-31,,135000000,0.0,350000000,112000000,54300000.0,-832000000.0,-14000000,25000000.0,154000000.0,154000000.0,-931000000.0,2000000.0,661000000.0,,46000000,26000000.0,45000000,-317000000,99000000.0,640000000,548000000.0,244000000,176000000,7128000000.0,1000000.0,6197000000.0,77000000,128000000,135000000,67000000.0,19000000,-57000000,,234000000,5911000000.0,77000000,-141000000,628000000.0,,398000000.0,276000000.0,54300000.0,86000000.0,,-1.67,-91000000,7997000000.0,8395000000.0,229000000.0,101000000.0,9000000.0,228000000,6187000000.0,161000000,-23000000,-88000000,4218000000.0,63000000.0,-1.67,39000000.0,83000000,84000000,85000000.0,-122000000,21000000.0,80000000,-799000000,198000000,,,,,,,,
2018-03-31,,198000000,0.0,-2000000,-2000000,74000000.0,,-31000000,38000000.0,164000000.0,164000000.0,,-11000000.0,657000000.0,,-45000000,10000000.0,103000000,-4000000,62000000.0,-48000000,,212000000,53000000,5239000000.0,1000000.0,5239000000.0,90000000,16000000,19000000,868000000.0,-2000000,-2000000,-3000000.0,154000000,3729000000.0,53000000,49000000,628000000.0,,1290000000.0,992000000.0,54300000.0,116000000.0,,1.35,73000000,6996000000.0,8286000000.0,226000000.0,94000000.0,-1000000.0,52000000,4721000000.0,148000000,-21000000,79000000,3518000000.0,5000000.0,1.21,13000000.0,64000000,58000000,72000000.0,-69000000,,11000000,-6000000,196000000,,,,,,,,
2018-06-30,,196000000,0.0,-48000000,275000000,74000000.0,,-24000000,49000000.0,654000000.0,654000000.0,,-8000000.0,653000000.0,,8000000,9000000.0,21000000,-3000000,63000000.0,-103000000,,225000000,130000000,5174000000.0,2000000.0,5174000000.0,107000000,-9000000,-21000000,59000000.0,492000000,-2000000,-6000000.0,345000000,3700000000.0,49000000,127000000,584000000.0,,941000000.0,205000000.0,54300000.0,96000000.0,,1.53,83000000,6853000000.0,7794000000.0,234000000.0,99000000.0,-20000000.0,-5000000,3905000000.0,161000000,296000000,89000000,3509000000.0,5000000.0,1.43,31000000.0,64000000,54000000,86000000.0,-74000000,,189000000,466000000,688000000,,,,,,,,
2018-09-30,,688000000,0.0,-670000000,125000000,74600000.0,,-19000000,36000000.0,76000000.0,76000000.0,,10000000.0,648000000.0,,-6000000,10000000.0,31000000,-3000000,64000000.0,9000000,,178000000,86000000,5132000000.0,-5000000.0,5132000000.0,59000000,16000000,15000000,53000000.0,-578000000,1000000,-6000000.0,206000000,3636000000.0,50000000,83000000,584000000.0,,1009000000.0,182000000.0,54900000.0,44000000.0,,0.6,33000000,6841000000.0,7850000000.0,265000000.0,113000000.0,2000000.0,24000000,3818000000.0,113000000,110000000,39000000,3491000000.0,10000000.0,0.58,13000000.0,65000000,54000000,73000000.0,-77000000,,35000000,-673000000,110000000,,,,,,,,
2018-12-31,,110000000,0.0,748000000,-125000000,,-1283000000.0,-909000000,37000000.0,147000000.0,147000000.0,-966000000.0,-9000000.0,1261000000.0,,16000000,10000000.0,155000000,-15000000,707000000.0,513000000,5000000.0,156000000,93000000,7736000000.0,-6000000.0,6770000000.0,35000000,0,-7000000,47000000.0,56000000,-1000000,-7000000.0,81000000,3008000000.0,51000000,78000000,584000000.0,,340000000.0,859000000.0,,139000000.0,,,-22000000,9065000000.0,9405000000.0,234000000.0,108000000.0,8000000.0,750000000,3867000000.0,92000000,-118000000,-15000000,2728000000.0,12000000.0,,31000000.0,64000000,57000000,80000000.0,-83000000,,-5000000,-550000000,166000000,,,,,,,,
2019-03-31,,166000000,0.0,24000000,-128000000,75800000.0,,-24000000,36000000.0,127000000.0,127000000.0,,,1248000000.0,,-52000000,11000000.0,155000000,-3000000,694000000.0,-62000000,3000000.0,177000000,19000000,,-8000000.0,6713000000.0,34000000,-7000000,-7000000,39000000.0,-22000000,2000000,-6000000.0,97000000,3137000000.0,70000000,16000000,584000000.0,,306000000.0,811000000.0,56100000.0,34000000.0,,-0.38,-22000000,8987000000.0,9293000000.0,217000000.0,111000000.0,,39000000,3948000000.0,101000000,-121000000,-16000000,2719000000.0,12000000.0,-0.38,13000000.0,76000000,67000000,71000000.0,-80000000,,-7000000,21000000,144000000,,,,,,,,
2019-06-30,,144000000,0.0,-691000000,-134000000,75800000.0,,-286000000,29000000.0,163000000.0,163000000.0,,,2311000000.0,,7000000,111000000.0,207000000,-3000000,599000000.0,1645000000,0.0,219000000,111000000,7071000000.0,-8000000.0,7071000000.0,67000000,-9000000,-10000000,57000000.0,34000000,8000000,-6000000.0,148000000,4396000000.0,75000000,108000000,598000000.0,,1199000000.0,872000000.0,56200000.0,147000000.0,,-0.49,-28000000,10569000000.0,11768000000.0,322000000.0,144000000.0,,871000000,5268000000.0,137000000,-124000000,-22000000,3676000000.0,10000000.0,-0.49,31000000.0,82000000,70000000,101000000.0,-90000000,,6000000,-1722000000,178000000,,,,,,,,
2019-09-30,,178000000,0.0,215000000,-261000000,75800000.0,0.0,-691000000,39000000.0,195000000.0,195000000.0,,,2312000000.0,,-18000000,113000000.0,372000000,-33000000,379000000.0,-272000000,0.0,253000000,122000000,6982000000.0,-8000000.0,6982000000.0,88000000,-19000000,-18000000,58000000.0,32000000,18000000,,179000000,4774000000.0,93000000,89000000,609000000.0,,1032000000.0,645000000.0,59900000.0,170000000.0,,-1.21,-72000000,10563000000.0,11595000000.0,350000000.0,150000000.0,,25000000,5419000000.0,163000000,-243000000,-70000000,3719000000.0,,-1.21,19000000.0,90000000,75000000,102000000.0,-106000000,,23000000,182000000,210000000,,,,,,,,
2019-12-31,,210000000,0.0,518000000,92000000,75800000.0,-1294000000.0,-1791000000,36000000.0,128000000.0,128000000.0,,,2282000000.0,,39000000,122000000.0,33000000,-54000000,12000000.0,658000000,-1000000.0,206000000,94000000,,-8000000.0,6970000000.0,43000000,9000000,9000000,48000000.0,-78000000,-16000000,,218000000,4889000000.0,93000000,40000000,609000000.0,,433000000.0,301000000.0,62900000.0,167000000.0,,0.53,34000000,11823000000.0,12256000000.0,1653000000.0,137000000.0,,827000000,5190000000.0,117000000,83000000,36000000,4132000000.0,,0.5,40000000.0,89000000,74000000,79000000.0,-107000000,,16000000,-830000000,132000000,,,,,,,,
