date,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyDilutedEPS,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicEPS,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue
1986-09-30,,,,,,,,,878000000,878000000,0.03,,,,,,,,,16200000,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,702080000.0,,,,,,,,,,,,,,,,,,,,,,,878000000,702080000.0,,,
1986-12-31,,,,,,,,,902400000,902400000,0.03,,,,,,,,,15400000,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,710688000.0,,,,,,,,,,,,,,,,,,,,,,,902400000,710688000.0,,,
1987-03-31,,,,,,,,,895600000,895600000,0.02,,,,,,,,,13800000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,712704000.0,,,,,,,,,,,,,,,,,,,,,,,895600000,712704000.0,,,
1987-06-30,,556700000.0,,274800000.0,,,129500000.0,364200000.0,979800000,-2554400000,,,404300000.0,,,303600000.0,860300000.0,0.0,,16400000,7800000.0,,,,456000000.0,,,,,98500000.0,31000000.0,,,247700000.0,,,,,37700000.0,37700000.0,,,,,,,,269400000.0,,,,,9700000.0,,-164700000.0,34200000.0,,,,,434100000.0,,,,,,265100000.0,,,,,,-2554400000,,,,
1987-09-30,,,,,,,,,1044000000,1044000000,0.03,,,,,,,,,15400000,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,714976000.0,,,,,,,,,,,,,,,,,,,,,,,1044000000,714976000.0,,,
1987-12-31,,,,,,,,,1071300000,1071300000,0.03,,,,,,,,,21600000,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,720944000.0,,,,,,,,,,,,,,,,,,,,,,,1071300000,720944000.0,,,
1988-03-31,,,,,,,,,1045400000,1045400000,0.03,,,,,,,,,17800000,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,721136000.0,,,,,,,,,,,,,,,,,,,,,,,1045400000,721136000.0,,,
1988-06-30,,666600000.0,,356300000.0,,,121000000.0,437600000.0,1223900000,-3016900000,,,477300000.0,,,354300000.0,1020900000.0,0.0,,25500000,8900000.0,,,,543600000.0,,,,,93300000.0,27700000.0,,,285400000.0,,,,,35600000.0,35600000.0,,,,,,,,333200000.0,,,,,43100000.0,,-194400000.0,21100000.0,,,,,527600000.0,,,,,,313200000.0,,,,,,-3016900000,,,,
1988-09-30,,,,,,,,,1558100000,1558100000,0.02,,,,,,,,,26100000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,722208000.0,,,,,,,,,,,,,,,,,,,,,,,1558100000,722208000.0,,,
1988-12-31,,,,,,,,,1733500000,1733500000,0.02,,,,,,,,,27500000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,721808000.0,,,,,,,,,,,,,,,,,,,,,,,1733500000,721808000.0,,,
1989-03-31,,,,,,,,,1717700000,1717700000,0.02,,,,,,,,,22500000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,725760000.0,,,,,,,,,,,,,,,,,,,,,,,1717700000,725760000.0,,,
1989-06-30,,1021700000.0,,566300000.0,,,660400000.0,530100000.0,1841900000,-4780000000,,,1226700000.0,,,847700000.0,1869400000.0,-100000.0,,31800000,11300000.0,,,,642700000.0,,,,,620200000.0,40300000.0,,,436800000.0,,,,,55500000.0,55500000.0,,,,,,,,542000000.0,,,,,19600000.0,,-253400000.0,28800000.0,276900000.0,,,,795400000.0,,,,,,137100000.0,,409600000.0,,,,-4780000000,,,,
1989-09-30,-6800000.0,1089500000.0,-4100000.0,598100000.0,20200000.0,264000000.0,691200000.0,557600000.0,1878000000,65500000,0.05,,1289300000.0,31600000.0,-26000000.0,876500000.0,1966000000.0,100000.0,31600000.0,31600000,11800000.0,,,1528300000.0,676700000.0,0.0,,,,649300000.0,41800000.0,1100000.0,0.0,458400000.0,-42600000.0,349700000.0,-21600000.0,284200000.0,52600000.0,52600000.0,0.05,,,55500000.0,,20200000.0,51800000.0,566900000.0,,632000000.0,14900000.0,20900000.0,8800000.0,-44900000.0,-253400000.0,34500000.0,275100000.0,0.0,,,820300000.0,-2900000.0,18900000.0,,1500000.0,-31500000.0,134600000.0,,454700000.0,,6600000.0,,85700000,632000000.0,,,
1989-12-31,-7900000.0,1101700000.0,-4600000.0,607600000.0,20400000.0,268000000.0,692400000.0,586800000.0,1888200000,68100000,0.05,,1300000000.0,33700000.0,-26600000.0,906500000.0,2008200000.0,200000.0,33700000.0,33700000,12900000.0,,,1531700000.0,708200000.0,0.0,,,,648900000.0,43300000.0,1600000.0,0.0,472000000.0,-43600000.0,356500000.0,-13600000.0,288400000.0,50700000.0,50700000.0,0.05,,,0.0,,21600000.0,55300000.0,592400000.0,,674000000.0,14500000.0,24000000.0,32400000.0,-44200000.0,-253400000.0,40800000.0,273300000.0,0.0,,,845800000.0,-1800000.0,17600000.0,,1500000.0,-36000000.0,132100000.0,,443100000.0,,2300000.0,,88500000,674000000.0,,,
1990-03-31,-2600000.0,1063600000.0,-4500000.0,605800000.0,20900000.0,270400000.0,651700000.0,610700000.0,1865300000,56600000,0.04,,1257500000.0,28500000.0,59600000.0,928200000.0,1991800000.0,0.0,28500000.0,28500000,11900000.0,,,1517500000.0,734300000.0,0.0,,,,606800000.0,44900000.0,3700000.0,0.0,440200000.0,-35900000.0,347800000.0,26500000.0,291200000.0,47600000.0,47600000.0,0.04,,,0.0,,18200000.0,46700000.0,613900000.0,,712500000.0,13600000.0,-74700000.0,5400000.0,-47900000.0,-253400000.0,42700000.0,271600000.0,-100000.0,,,867300000.0,-3200000.0,107500000.0,,1600000.0,53200000.0,156700000.0,,443700000.0,,2100000.0,,77500000,712500000.0,,,
1990-06-30,3800000.0,1047300000.0,-4600000.0,573700000.0,22900000.0,276400000.0,647600000.0,644700000.0,1959100000,75300000,,,1221300000.0,38700000.0,33500000.0,944800000.0,1992100000.0,0.0,38700000.0,38700000,11100000.0,,,1584500000.0,770800000.0,1200000.0,,,,583500000.0,64100000.0,800000.0,0.0,431900000.0,-48000000.0,374600000.0,9800000.0,299300000.0,56000000.0,56000000.0,,,,0.0,,23600000.0,62300000.0,635900000.0,,,13600000.0,-22400000.0,15100000.0,-45400000.0,-303500000.0,39100000.0,269800000.0,100000.0,,,939400000.0,8500000.0,78900000.0,,19100000.0,-10000000.0,139900000.0,,418700000.0,,2500000.0,,98200000,,,,
1990-09-30,-14800000.0,1166700000.0,-4600000.0,658700000.0,22500000.0,285000000.0,658900000.0,677700000.0,2026000000,72300000,0.06,,1317600000.0,37600000.0,-3600000.0,961800000.0,2128500000.0,0.0,37600000.0,37600000,15800000.0,,,1646200000.0,810900000.0,0.0,,,,589800000.0,69100000.0,1200000.0,0.0,473700000.0,-29500000.0,379800000.0,-41800000.0,307500000.0,59500000.0,59500000.0,0.06,,,56000000.0,,23700000.0,61300000.0,645600000.0,,626666667.0,12300000.0,6700000.0,10700000.0,-29800000.0,-303500000.0,48200000.0,268000000.0,0.0,,,949100000.0,3400000.0,26200000.0,,5000000.0,-30000000.0,156900000.0,,491100000.0,,7100000.0,,94800000,626666667.0,,,
1990-12-31,2700000.0,1170600000.0,-4600000.0,627200000.0,22400000.0,286700000.0,669200000.0,713600000.0,2013100000,77300000,0.06,,1296400000.0,40500000.0,-15400000.0,975700000.0,2146300000.0,100000.0,40500000.0,40500000,15800000.0,,,1626700000.0,849900000.0,100000.0,,,,595000000.0,74100000.0,1700000.0,0.0,482000000.0,-38800000.0,386400000.0,-8300000.0,309100000.0,54100000.0,54100000.0,0.06,,,0.0,,25500000.0,66000000.0,664700000.0,,675000000.0,12900000.0,8700000.0,19300000.0,-40200000.0,-303500000.0,44800000.0,266200000.0,0.0,,,968200000.0,-5400000.0,24800000.0,,5000000.0,-52800000.0,140500000.0,,467400000.0,,3200000.0,,99700000,675000000.0,,,
1991-03-31,-500000.0,1121900000.0,-6500000.0,642200000.0,22700000.0,287600000.0,585800000.0,738500000.0,1962100000,60600000,0.05,,1228000000.0,31400000.0,84200000.0,984800000.0,2106700000.0,100000.0,31400000.0,31400000,15300000.0,,,1591200000.0,878700000.0,-100000.0,,,,506600000.0,79100000.0,2800000.0,0.0,461500000.0,-30900000.0,370900000.0,20500000.0,310300000.0,53000000.0,53000000.0,0.05,,,0.0,,19800000.0,51200000.0,675400000.0,,628000000.0,12100000.0,-85700000.0,27100000.0,-31300000.0,-303500000.0,44900000.0,264500000.0,0.0,,,978900000.0,-1000000.0,115500000.0,,5000000.0,48400000.0,146500000.0,,468600000.0,,3900000.0,,83300000,628000000.0,,,
1991-06-30,4200000.0,1143900000.0,-6500000.0,611800000.0,24600000.0,304200000.0,629700000.0,776400000.0,2148500000,82200000,,,1241500000.0,44400000.0,48100000.0,1016200000.0,2160100000.0,0.0,44400000.0,44400000,12800000.0,,,1737500000.0,918600000.0,-45200000.0,,,,543200000.0,86500000.0,1800000.0,0.0,460300000.0,-77000000.0,411000000.0,8500000.0,328800000.0,70200000.0,70200000.0,,,,0.0,,27900000.0,72300000.0,699100000.0,,,11800000.0,12500000.0,13600000.0,-33600000.0,-358900000.0,42400000.0,274700000.0,100000.0,,,1058000000.0,17200000.0,81700000.0,,7500000.0,-4500000.0,152300000.0,,445900000.0,,1900000.0,,106800000,,,,
1991-09-30,-7500000.0,1231200000.0,-6500000.0,669300000.0,24300000.0,310300000.0,627600000.0,811900000.0,2177400000,77300000,0.06,,1296900000.0,42000000.0,-12500000.0,1028100000.0,2259300000.0,0.0,42000000.0,42000000,16800000.0,,,1765500000.0,962400000.0,0.0,,,,535600000.0,92000000.0,2000000.0,0.0,502300000.0,-32700000.0,411900000.0,-42000000.0,334600000.0,55600000.0,55600000.0,0.06,,,70200000.0,,26500000.0,68500000.0,710100000.0,,700000000.0,10800000.0,-7300000.0,9200000.0,-37900000.0,-358900000.0,44700000.0,273300000.0,0.0,,,1069000000.0,-14600000.0,25400000.0,,5500000.0,-45200000.0,153200000.0,,506900000.0,,8300000.0,,101600000,700000000.0,,,
1991-12-31,-11300000.0,1222900000.0,-6500000.0,625400000.0,24800000.0,310300000.0,635600000.0,849200000.0,2180700000,80800000,0.06,,1261000000.0,43800000.0,-27900000.0,1040300000.0,2263200000.0,0.0,43800000.0,43800000,19700000.0,,,1764700000.0,1002200000.0,0.0,,,,538100000.0,97500000.0,2300000.0,0.0,501600000.0,-28600000.0,416000000.0,700000.0,335200000.0,52300000.0,52300000.0,0.06,,,0.0,,27600000.0,71400000.0,716700000.0,,730000000.0,11500000.0,20600000.0,24400000.0,-32600000.0,-358900000.0,52100000.0,271500000.0,0.0,,,1075600000.0,-3200000.0,4700000.0,,5500000.0,-64300000.0,133500000.0,,467500000.0,,2500000.0,,105700000,730000000.0,,,
1992-03-31,400000.0,1232400000.0,-9300000.0,655300000.0,25000000.0,318000000.0,582500000.0,876000000.0,2186400000,69500000,0.05,,1237800000.0,36100000.0,93400000.0,1038200000.0,2270600000.0,-100000.0,36100000.0,36100000,18500000.0,,,1774000000.0,1032800000.0,100000.0,,,,479600000.0,103000000.0,500000.0,0.0,498100000.0,-21900000.0,412400000.0,3400000.0,342900000.0,58800000.0,58800000.0,0.05,,,0.0,,23100000.0,59200000.0,716400000.0,,722000000.0,10600000.0,-87300000.0,8300000.0,-22300000.0,-358900000.0,52100000.0,269700000.0,100000.0,,,1075300000.0,6400000.0,115700000.0,,5500000.0,41500000.0,138400000.0,,508600000.0,,3700000.0,,94500000,722000000.0,,,
1992-06-30,-3500000.0,1240400000.0,-9300000.0,655400000.0,25400000.0,331700000.0,589400000.0,890100000.0,2348400000,91200000,,,1244800000.0,50300000.0,46700000.0,1061200000.0,2301600000.0,100000.0,50300000.0,50300000,14100000.0,,,1900100000.0,1056800000.0,-12600000.0,,,,488800000.0,100500000.0,1600000.0,0.0,491600000.0,-47200000.0,448300000.0,10700000.0,357100000.0,74400000.0,74400000.0,,,,0.0,,32100000.0,82400000.0,734400000.0,,,10400000.0,-25500000.0,13000000.0,-41500000.0,-424500000.0,59000000.0,267800000.0,-100000.0,,,1158900000.0,15600000.0,88200000.0,,-2600000.0,13300000.0,153600000.0,,488800000.0,,2900000.0,,116600000,,,,
1992-09-30,-17900000.0,1356100000.0,-11200000.0,779900000.0,25800000.0,345600000.0,583700000.0,920100000.0,2415800000,82400000,0.06,,1363600000.0,44900000.0,8900000.0,1080400000.0,2436500000.0,100000.0,44900000.0,44900000,15200000.0,,,1962000000.0,1072900000.0,10800000.0,,,,479800000.0,103800000.0,800000.0,0.0,535800000.0,-24200000.0,453800000.0,-49300000.0,371400000.0,68400000.0,68400000.0,0.06,,,74400000.0,,28700000.0,73600000.0,739700000.0,,748333333.0,9600000.0,-26600000.0,24300000.0,-36000000.0,-424500000.0,74700000.0,266000000.0,100000.0,,,1164200000.0,-5900000.0,44900000.0,-18100000.0,3300000.0,-18200000.0,189100000.0,,566500000.0,,500000.0,,108200000,748333333.0,,,
1992-12-31,-6900000.0,1373400000.0,-11200000.0,707100000.0,26700000.0,341800000.0,600000000.0,960900000.0,2392300000,89000000,0.07,,1307100000.0,48400000.0,-27100000.0,1099900000.0,2473300000.0,-300000.0,48400000.0,48400000,17600000.0,,,1934700000.0,1166200000.0,-5300000.0,,,,493400000.0,106900000.0,-100000.0,0.0,552500000.0,-37700000.0,457600000.0,-10100000.0,368600000.0,59400000.0,59400000.0,0.07,,,0.0,,30900000.0,79300000.0,752800000.0,,691428571.0,9800000.0,20400000.0,3700000.0,-35300000.0,-424500000.0,77500000.0,269600000.0,-100000.0,,,1177300000.0,-9100000.0,8200000.0,-7100000.0,3000000.0,-70600000.0,158100000.0,,545300000.0,,,,115800000,691428571.0,,,
1993-03-31,-8900000.0,1383300000.0,-13300000.0,762200000.0,27300000.0,351800000.0,567800000.0,990400000.0,2399300000,78900000,0.06,,1330000000.0,42800000.0,79700000.0,1108000000.0,2491300000.0,0.0,42800000.0,42800000,22300000.0,,,1941400000.0,1161300000.0,-5400000.0,,,,458100000.0,109700000.0,700000.0,0.0,547300000.0,-36300000.0,457900000.0,8200000.0,379000000.0,68000000.0,68000000.0,0.06,,,0.0,,27400000.0,70200000.0,760000000.0,,713333333.0,9400000.0,-66400000.0,22400000.0,-31600000.0,-424500000.0,78900000.0,269100000.0,0.0,,,1184500000.0,8600000.0,111300000.0,-61000000.0,2900000.0,43000000.0,181500000.0,,558300000.0,,,,106200000,713333333.0,,,
1993-06-30,,1419700000.0,-13100000.0,746500000.0,27900000.0,388200000.0,646600000.0,1043100000.0,2814000000,118500000,,,1393100000.0,65800000.0,67800000.0,1110600000.0,2530300000.0,200000.0,65800000.0,65800000,46100000.0,,,2279400000.0,1137200000.0,400000.0,,,,494100000.0,152300000.0,800000.0,0.0,534200000.0,-24100000.0,534600000.0,13100000.0,416100000.0,68800000.0,68800000.0,,,,0.0,,43300000.0,109100000.0,759900000.0,,,10300000.0,-67800000.0,10000000.0,-25000000.0,-495700000.0,83600000.0,267100000.0,-100000.0,,,1255600000.0,800000.0,92800000.0,-94100000.0,4100000.0,-42100000.0,186000000.0,,550500000.0,,,,146400000,,,,
1993-09-30,-100000.0,1565600000.0,-12900000.0,862000000.0,28500000.0,389200000.0,675800000.0,1078200000.0,2709900000,96500000,0.07,,1537800000.0,48100000.0,-15200000.0,1145500000.0,2711100000.0,-100000.0,48100000.0,48100000,50800000.0,,,2195700000.0,1173300000.0,-12800000.0,,,,514100000.0,161800000.0,1000000.0,0.0,598500000.0,-50200000.0,514200000.0,-54300000.0,417700000.0,61900000.0,61900000.0,0.07,,,68800000.0,,39800000.0,87900000.0,778000000.0,,687142857.0,9600000.0,20200000.0,36200000.0,-38300000.0,-495700000.0,99900000.0,267600000.0,0.0,,,1273700000.0,-6900000.0,23100000.0,-12000000.0,8200000.0,-67800000.0,195500000.0,,630300000.0,,10700000.0,,125000000,687142857.0,,,
1993-12-31,,1571300000.0,-13000000.0,796800000.0,29900000.0,384300000.0,733200000.0,1120800000.0,2665900000,102400000,0.08,,1530000000.0,55600000.0,-63000000.0,1163300000.0,2734600000.0,0.0,55600000.0,55600000,51300000.0,,,2149300000.0,1204600000.0,1000000.0,,,,565800000.0,167400000.0,200000.0,0.0,640200000.0,-38400000.0,516600000.0,-42200000.0,414200000.0,50800000.0,50800000.0,0.08,,,0.0,,36600000.0,92200000.0,790400000.0,,695000000.0,10300000.0,50800000.0,63400000.0,-39600000.0,-495700000.0,107400000.0,265500000.0,100000.0,,,1286100000.0,-11100000.0,-23400000.0,-15600000.0,3100000.0,-118000000.0,164800000.0,,568600000.0,,4300000.0,,132300000,695000000.0,,,
1994-03-31,,1594100000.0,-16600000.0,875100000.0,30600000.0,391800000.0,686100000.0,1149900000.0,2684900000,83300000,0.07,,1561200000.0,45700000.0,135900000.0,1178000000.0,2772100000.0,0.0,45700000.0,45700000,58200000.0,,,2179200000.0,1210900000.0,-100000.0,,,,512300000.0,173800000.0,500000.0,0.0,612500000.0,-38800000.0,505700000.0,27700000.0,422400000.0,64100000.0,64100000.0,0.07,,,0.0,,30100000.0,75800000.0,801800000.0,,652857143.0,7900000.0,-123400000.0,27900000.0,-39600000.0,-495700000.0,112600000.0,263600000.0,-200000.0,,,1297500000.0,13400000.0,175500000.0,-27100000.0,2500000.0,90300000.0,199700000.0,,647500000.0,,4400000.0,,113900000,652857143.0,,,
1994-06-30,,1599600000.0,-16600000.0,846600000.0,31000000.0,403400000.0,724200000.0,1200700000.0,2881900000,120100000,,,1570800000.0,67500000.0,63300000.0,1212100000.0,2811700000.0,0.0,67500000.0,67500000,54500000.0,,,2327400000.0,1240900000.0,-3700000.0,,,,538700000.0,185500000.0,200000.0,0.0,602000000.0,-47000000.0,554500000.0,10500000.0,434400000.0,86700000.0,86700000.0,,,,0.0,,44400000.0,111900000.0,817200000.0,,,8400000.0,-37700000.0,9000000.0,-44000000.0,-495700000.0,128900000.0,266000000.0,100000.0,,,1312900000.0,22600000.0,107300000.0,-25400000.0,9500000.0,-5700000.0,205200000.0,,632400000.0,,4100000.0,,151100000,,,,
1994-09-30,-200000.0,1740800000.0,-16500000.0,964700000.0,31800000.0,429600000.0,723500000.0,1242600000.0,2983100000,104700000,0.08,,1688200000.0,58400000.0,-22800000.0,1229700000.0,2970500000.0,-100000.0,58400000.0,58400000,57200000.0,,,2417000000.0,1282300000.0,0.0,,,,535400000.0,188200000.0,500000.0,0.0,672400000.0,-37300000.0,566100000.0,-70400000.0,461400000.0,75500000.0,75500000.0,0.08,,,86700000.0,,38400000.0,96800000.0,826100000.0,,730000000.0,8400000.0,10800000.0,41500000.0,-38000000.0,-495700000.0,139600000.0,264000000.0,100000.0,,,1321800000.0,-11200000.0,15200000.0,-13300000.0,4200000.0,-85600000.0,217700000.0,,705500000.0,,12700000.0,,136500000,730000000.0,,,
1994-12-31,,1764600000.0,-16500000.0,941500000.0,32500000.0,428300000.0,763600000.0,1289600000.0,3006700000,114800000,0.09,,1705100000.0,63500000.0,-7200000.0,1248700000.0,3013300000.0,-100000.0,63500000.0,63500000,57800000.0,,,2431100000.0,1308200000.0,100000.0,,,,561100000.0,202600000.0,500000.0,0.0,703300000.0,-42700000.0,575600000.0,-30900000.0,460800000.0,84200000.0,84200000.0,0.09,,,0.0,,41800000.0,105300000.0,839800000.0,,705555556.0,10000000.0,14600000.0,69700000.0,-44100000.0,-495700000.0,146800000.0,262100000.0,-200000.0,,,1335500000.0,8700000.0,36900000.0,-24800000.0,15100000.0,-81000000.0,183300000.0,,688500000.0,,3800000.0,,147300000,705555556.0,,,
1995-03-31,,1735800000.0,-20100000.0,962300000.0,32900000.0,436400000.0,726800000.0,1322300000.0,2966400000,97300000,0.08,,1689100000.0,52800000.0,66900000.0,1285500000.0,3021300000.0,-100000.0,52800000.0,52800000,45900000.0,,,2400300000.0,1332200000.0,-100000.0,,,,530300000.0,196600000.0,600000.0,0.0,677300000.0,-65700000.0,566100000.0,26000000.0,468800000.0,78100000.0,78100000.0,0.08,,,0.0,,34800000.0,87600000.0,875700000.0,,660000000.0,10300000.0,-74700000.0,56100000.0,-67400000.0,-495700000.0,149700000.0,260100000.0,200000.0,,,1371400000.0,-6200000.0,134300000.0,-12400000.0,5700000.0,37400000.0,203600000.0,,702600000.0,,3600000.0,,130200000,660000000.0,,,
