date,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue
1993-03-31,370740000.0,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,1132400000,,1132400000,,,1132400000,,80700000.0,,,,,370740000.0,,,,,,,,,,,,,,,,,92000000,92000000.0,,,,,0.125,,,,,,
1993-06-30,370960000.0,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,1349900000,,1349900000,,,1349900000,,99900000.0,,,,,370960000.0,,,,,,,,,,,,,,,,,110500000,110500000.0,,,,,0.15,,,,,,
1993-09-30,379080000.0,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,1602700000,,1602700000,,,1602700000,,129800000.0,,,,,379080000.0,,,,,,,,,,,,,,,,,140500000,140500000.0,,,,,0.1875,,,,,,
1993-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231600000,,1231600000,,,1231600000,,73200000.0,,,,,,,,,,,,,,,,,,,,,,85700000,85700000.0,,,,,,,,,,,
1994-03-31,358654000.0,-145300000.0,357300000.0,82000000.0,1487000000.0,,-33000000.0,-5760400000.0,-289400000.0,-2800000.0,1888100000.0,311200000.0,,341200000.0,578900000.0,151400000.0,-63100000.0,10192600000.0,57000000.0,16700000.0,-100000.0,0.1325,11790500000.0,,12872000000.0,195900000.0,,,,548700000.0,250200000.0,4106000000.0,88900000.0,88900000.0,152000000.0,1178900000,,402200000,88900000.0,-114900000.0,235200000,8217300000.0,94400000.0,,814100000.0,167000000.0,1081500000.0,358654000.0,,15953000000.0,1458500000.0,-111100000.0,,50000000.0,,,364800000.0,,4654700000.0,30400000.0,851100000.0,511400000.0,,3869800000.0,94400000,94400000.0,,170000000.0,,,0.1325,,,,,,
1994-06-30,358654000.0,-297600000.0,294100000.0,79700000.0,1368200000.0,,53400000.0,-5908800000.0,-116300000.0,-700000.0,1882100000.0,309100000.0,,295400000.0,680600000.0,203500000.0,-22800000.0,10291500000.0,77700000.0,0.0,294100000.0,0.175,11770600000.0,,12868700000.0,-2200000.0,,,,547200000.0,271700000.0,4099300000.0,66100000.0,66100000.0,88900000.0,1443100000,,459100000,66100000.0,-201800000.0,288900000,8222100000.0,125800000.0,,969500000.0,170300000.0,1098100000.0,358654000.0,,16200300000.0,1419000000.0,-75200000.0,,-5600000.0,,,473600000.0,,4646600000.0,95800000.0,853200000.0,548300000.0,,3906700000.0,125800000,125800000.0,,174600000.0,6285500000.0,,0.175,,,,,,
1994-09-30,354406000.0,-99700000.0,270800000.0,79400000.0,1437000000.0,,-3700000.0,-6050700000.0,-150600000.0,13300000.0,1904700000.0,310900000.0,,455100000.0,614500000.0,356000000.0,144300000.0,10175700000.0,133800000.0,0.0,270800000.0,0.3125,11723600000.0,,12968400000.0,355400000.0,,,,547200000.0,276300000.0,4201600000.0,210400000.0,210400000.0,66100000.0,1512900000,,634300000,210400000.0,-160300000.0,428100000,8219600000.0,222200000.0,,1042600000.0,206200000.0,1244800000.0,354406000.0,-50600000.0,16226400000.0,1426300000.0,-74300000.0,,23200000.0,,,470300000.0,,4748800000.0,-60600000.0,879200000.0,613000000.0,,3909100000.0,222200000,222200000.0,,110500000.0,6285500000.0,,0.3125,,,,,,
1994-12-31,,-216100000.0,122100000.0,117400000.0,1354300000.0,,-36800000.0,-6186700000.0,-318000000.0,2200000.0,1928300000.0,309300000.0,,290300000.0,685000000.0,115000000.0,-124700000.0,10202800000.0,38800000.0,0.0,-100000.0,,11668000000.0,,12617600000.0,74200000.0,,,,547200000.0,311300000.0,-304200000.0,85800000.0,85800000.0,210400000.0,1287800000,,376700000,85800000.0,-96900000.0,196200000,7875100000.0,76200000.0,,881200000.0,180400000.0,949600000.0,,-9100000.0,16389500000.0,1161600000.0,-74200000.0,,25200000.0,1013800000.0,,406600000.0,,4742500000.0,-3800000.0,728300000.0,464700000.0,,3864500000.0,76200000,76200000.0,,89800000.0,6214800000.0,,,,,,,,
1995-03-31,371008000.0,-132900000.0,419900000.0,89100000.0,1462000000.0,,-60000000.0,-6353700000.0,-194600000.0,5400000.0,1666200000.0,305900000.0,,416600000.0,583700000.0,165000000.0,73800000.0,10133700000.0,65200000.0,,-100000.0,0.1425,11595700000.0,,12599600000.0,283700000.0,,,,505300000.0,243400000.0,4196700000.0,159500000.0,159500000.0,85800000.0,1177400000,,449100000,159500000.0,-148100000.0,248800000,7897600000.0,99800000.0,,832500000.0,200400000.0,1003900000.0,371008000.0,-28900000.0,16487400000.0,1439100000.0,-77500000.0,,34600000.0,,,344900000.0,,4702000000.0,-15200000.0,775900000.0,390900000.0,,3579400000.0,99800000,99800000.0,,147600000.0,,,0.1425,,,,,,
1995-06-30,371008000.0,-223400000.0,326000000.0,83400000.0,1550800000.0,,32900000.0,-6587000000.0,-290700000.0,900000.0,1598700000.0,298700000.0,,459700000.0,696100000.0,229700000.0,-34800000.0,10025800000.0,91400000.0,,326000000.0,0.1975,11576600000.0,,12623800000.0,236300000.0,,,,501300000.0,302300000.0,4240800000.0,124700000.0,124700000.0,159500000.0,1466700000,,575000000,124700000.0,-203900000.0,312200000,7881700000.0,138300000.0,,1008300000.0,262700000.0,1047200000.0,371008000.0,-23900000.0,16612800000.0,1587100000.0,-77000000.0,,-76900000.0,,,458400000.0,,4742100000.0,19500000.0,958800000.0,503000000.0,,3464100000.0,138300000,138300000.0,,120800000.0,5811500000.0,,0.1975,,,,,,
1995-09-30,369026000.0,-143500000.0,216000000.0,79500000.0,1547200000.0,,3400000.0,-16604400000.0,-320800000.0,9200000.0,1610100000.0,261700000.0,,422900000.0,658200000.0,377600000.0,-21300000.0,9936800000.0,137200000.0,,-100000.0,0.3425,11484000000.0,,12630400000.0,279400000.0,,,,501300000.0,337300000.0,4403000000.0,103500000.0,103500000.0,124700000.0,1587000000,,660600000,103500000.0,-123400000.0,447900000,7726100000.0,240400000.0,,1106100000.0,212600000.0,1146400000.0,369026000.0,-6700000.0,26541200000.0,1529000000.0,-77100000.0,,1200000.0,,,480900000.0,,4904300000.0,20100000.0,975800000.0,564700000.0,,3338500000.0,240400000,240400000.0,,216500000.0,5724100000.0,,0.3425,,,,,,
1995-12-31,,-171000000.0,390400000.0,38700000.0,1621900000.0,,6900000.0,-6873300000.0,-42000000.0,3400000.0,1869400000.0,247300000.0,,210900000.0,735500000.0,109500000.0,-57300000.0,9852000000.0,34800000.0,,390400000.0,,11473900000.0,,12459200000.0,39900000.0,,,,341400000.0,305100000.0,-287500000.0,46200000.0,46200000.0,103500000.0,1361400000,,430500000,46200000.0,-226200000.0,188400000,7727100000.0,74700000.0,,923900000.0,242200000.0,985300000.0,,-9900000.0,16725300000.0,1504100000.0,-77000000.0,,-48500000.0,1258500000.0,,437500000.0,,4732100000.0,-125400000.0,808600000.0,482300000.0,,3376600000.0,74700000,74700000.0,,209500000.0,5796600000.0,,,,,,,,
1996-03-31,369025070.0,-115500000.0,155700000.0,69200000.0,1638900000.0,,9200000.0,-7114300000.0,-337300000.0,-1400000.0,2017100000.0,238500000.0,,486700000.0,684700000.0,146300000.0,-17900000.0,9699000000.0,52600000.0,,155700000.0,0.135,11337900000.0,,12266400000.0,371200000.0,,,,335600000.0,274300000.0,4387400000.0,28300000.0,28300000.0,46200000.0,1357700000,,491000000,28300000.0,-167300000.0,223300000,7543400000.0,93700000.0,,908000000.0,267700000.0,928500000.0,369025070.0,-24400000.0,16813300000.0,1269300000.0,-80400000.0,,,,,449700000.0,,4723000000.0,-51800000.0,839300000.0,432100000.0,,3377100000.0,93700000,93700000.0,,229600000.0,,,0.135,,,,,,
1996-06-30,366706000.0,-123500000.0,170700000.0,67900000.0,1613400000.0,,30100000.0,-7309800000.0,-170400000.0,-8500000.0,1987800000.0,260500000.0,,337400000.0,674700000.0,217100000.0,50600000.0,9589000000.0,66800000.0,,100000.0,0.215,11202400000.0,,12245100000.0,213900000.0,,,,331600000.0,300800000.0,4429200000.0,78900000.0,78900000.0,28300000.0,1474100000,,531100000,78900000.0,-116400000.0,299200000,7484300000.0,150300000.0,,973900000.0,231900000.0,1042700000.0,366706000.0,-34500000.0,16898800000.0,1334400000.0,-80100000.0,,,,,500200000.0,,4760800000.0,7100000.0,862800000.0,462300000.0,,3281200000.0,150300000,150300000.0,,241000000.0,5752100000.0,,0.215,,,,,,
1996-09-30,365996000.0,-104900000.0,4700000.0,65500000.0,1648300000.0,,-38200000.0,-7444100000.0,-309300000.0,4400000.0,1999200000.0,274800000.0,,491100000.0,682000000.0,392200000.0,12800000.0,9457200000.0,142100000.0,,4700000.0,0.36,11105500000.0,,12381800000.0,386200000.0,,,,331600000.0,327100000.0,4597500000.0,91700000.0,91700000.0,78900000.0,1769600000,,716900000,91700000.0,-168900000.0,459100000,7452700000.0,250100000.0,,1141100000.0,257800000.0,1276300000.0,365996000.0,-6800000.0,16901300000.0,1283800000.0,-80000000.0,,,,,628500000.0,,4929100000.0,-64000000.0,952000000.0,564200000.0,,3262900000.0,250100000,250100000.0,,345600000.0,5757200000.0,,0.36,,,,,,
1996-12-31,,-143700000.0,154600000.0,63900000.0,1661900000.0,,500000.0,-7649700000.0,-99500000.0,-1800000.0,1781100000.0,268200000.0,,277100000.0,694200000.0,117700000.0,104300000.0,9383900000.0,32300000.0,,100000.0,,11045800000.0,,12219300000.0,133400000.0,,,,333400000.0,307800000.0,-272500000.0,195900000.0,195900000.0,91700000.0,1435400000,,392000000,195900000.0,-73400000.0,188900000,7295600000.0,85400000.0,,883100000.0,203000000.0,1173500000.0,,-15900000.0,17033600000.0,1274500000.0,-79800000.0,,,1517700000.0,,552300000.0,,4923700000.0,1500000.0,812000000.0,461500000.0,,3144300000.0,85400000,85400000.0,,247900000.0,5641800000.0,,,,,,,,
1997-03-31,364888000.0,-114300000.0,387800000.0,71000000.0,1722400000.0,,0.0,-7906500000.0,-220800000.0,7800000.0,1544400000.0,294200000.0,,511100000.0,676400000.0,156300000.0,198800000.0,9615200000.0,55200000.0,,387800000.0,0.145,11337600000.0,,12669600000.0,396800000.0,,,,264300000.0,340900000.0,4598100000.0,394700000.0,394700000.0,195900000.0,1445200000,,493100000,394700000.0,-91400000.0,225200000,7807200000.0,101100000.0,,901600000.0,267900000.0,1332000000.0,364888000.0,-17100000.0,17521700000.0,1578700000.0,-83100000.0,,,,,543600000.0,,4862400000.0,22900000.0,850000000.0,454000000.0,,3266800000.0,101100000,101100000.0,,189100000.0,,,0.145,,,,,,
1997-06-30,364186000.0,-145800000.0,360200000.0,71500000.0,1901700000.0,,-100000.0,-8122300000.0,-172600000.0,1700000.0,1449600000.0,287900000.0,,441900000.0,705400000.0,247300000.0,-57100000.0,9528900000.0,82900000.0,,100000.0,0.2375,11430600000.0,,12753100000.0,296100000.0,,,,262800000.0,362500000.0,4670500000.0,337600000.0,337600000.0,394700000.0,1587000000,,583800000,337600000.0,-326500000.0,321300000,7819800000.0,164400000.0,,1026700000.0,262500000.0,1322500000.0,364186000.0,-15200000.0,17651200000.0,1696600000.0,-83000000.0,,,,,560300000.0,,4933300000.0,-180700000.0,973800000.0,538100000.0,,3227900000.0,164400000,164400000.0,,158900000.0,5705000000.0,,0.2375,,,,,,
1997-09-30,363810000.0,-129300000.0,345900000.0,69500000.0,1917400000.0,,0.0,-8241400000.0,-294000000.0,16700000.0,1430700000.0,277700000.0,,544100000.0,721200000.0,406400000.0,122600000.0,9392400000.0,144000000.0,,100000.0,0.38,11309800000.0,,12880400000.0,414800000.0,,,,226300000.0,386700000.0,4845200000.0,460300000.0,460300000.0,337600000.0,1859000000,,730400000,460300000.0,-127400000.0,464200000,7808900000.0,262400000.0,,1185400000.0,266200000.0,1570600000.0,363810000.0,-8500000.0,17633800000.0,1872900000.0,-83000000.0,,,,,673600000.0,,5071500000.0,1900000.0,1140200000.0,624300000.0,,3078900000.0,262400000,262400000.0,,208300000.0,5528600000.0,,0.38,,,,,,
1997-12-31,,-161600000.0,332000000.0,76100000.0,1994000000.0,,100000.0,-8466000000.0,-254600000.0,-24900000.0,1473000000.0,302000000.0,,99900000.0,783100000.0,112000000.0,-406300000.0,9354000000.0,21800000.0,,332000000.0,,11348000000.0,,12449000000.0,-61700000.0,,,,226000000.0,368000000.0,4845000000.0,54000000.0,54000000.0,460300000.0,1477700000,,481500000,54000000.0,-251700000.0,217100000,7378000000.0,90200000.0,,1000200000.0,264400000.0,1101000000.0,,-7200000.0,17820000000.0,1499000000.0,-82900000.0,,,,,477500000.0,,5071000000.0,-90100000.0,799000000.0,501000000.0,,2949000000.0,90200000,90200000.0,,244000000.0,5713000000.0,,,,,,,,
1998-03-31,362964000.0,-159000000.0,310000000.0,63000000.0,2225000000.0,,0.0,-8704000000.0,-125000000.0,7000000.0,1528000000.0,289000000.0,,454000000.0,684000000.0,158000000.0,18000000.0,9204000000.0,50000000.0,,310000000.0,0.1575,11429000000.0,,12471000000.0,295000000.0,,,,228000000.0,297000000.0,1000000.0,72000000.0,72000000.0,54000000.0,1338000000,,467000000,72000000.0,-311000000.0,218000000,7389000000.0,108000000.0,,902000000.0,249000000.0,1042000000.0,362964000.0,-17000000.0,17908000000.0,1444000000.0,-86000000.0,,,1825000000.0,,436000000.0,,5082000000.0,-152000000.0,837000000.0,438000000.0,,2950000000.0,108000000,108000000.0,,243000000.0,,,0.1575,,,,,,
1998-06-30,362434000.0,-168000000.0,456000000.0,64000000.0,2309000000.0,,0.0,-9049000000.0,31000000.0,16000000.0,1428000000.0,282000000.0,,543000000.0,817000000.0,265000000.0,356000000.0,8906000000.0,89000000.0,,456000000.0,0.255,11215000000.0,,12844000000.0,375000000.0,,,,228000000.0,353000000.0,1000000.0,428000000.0,428000000.0,72000000.0,1692000000,,665000000,428000000.0,-218000000.0,317000000,7682000000.0,176000000.0,,1134000000.0,348000000.0,1629000000.0,362434000.0,-16000000.0,17955000000.0,1884000000.0,-86000000.0,,,1915000000.0,,558000000.0,,5162000000.0,-50000000.0,1075000000.0,613000000.0,,2862000000.0,176000000,176000000.0,,306000000.0,5424000000.0,,0.255,,,,,,
