date,quarterlyNetPPE,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyCapitalStock,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings
2016-09-30,2003532000.0,12157000.0,455401000.0,-162957000,0.0,-180193000.0,-80371000,-16761000,52138000.0,13375000.0,8127000,35146000,60000000,-21065000,107401000,-1264000,118713000.0,3209000.0,6922000.0,3353969000.0,0.15,3452206000.0,90640000,22736000,94280000.0,2623000,17046000.0,1359000.0,1359000.0,,-21065000.0,86766000,1359000,-28294000,152125000,64030000,13715000,7041000,99176000,1667613000.0,114269000.0,-11693000,,47775000.0,98237000.0,2183725000.0,18360000,3209000.0,-2513000,0.0,343288000.0,52949000,-206000,10273000.0,53085000.0,1546003000.0,816000.0,0.0,7041000,56791000,890000.0,1553344000.0,7341000.0,47725000.0,0.15,,,,,,,,,,,,
2016-12-31,2012263000.0,14326000.0,461915000.0,-60459000,0.0,-193726000.0,-68990000,-25467000,60757000.0,12805000.0,9970000,31315000,65972000,-14561000,102227000,1100000,47197000.0,4949000.0,7002000.0,3448121000.0,,3542238000.0,76760000,22878000,93522000.0,1359000,24403000.0,2459000.0,2459000.0,1567000.0,-14561000.0,93206000,2459000,-32137000,160661000,70328000,14119000,8716000,101643000,1695119000.0,132075000.0,-12528000,,,94117000.0,2205989000.0,9156000,4949000.0,-4293000,0.0,343288000.0,59018000,-156000,16578000.0,59469000.0,1555981000.0,-71000.0,0.0,8716000,61023000,1597000.0,1563044000.0,7063000.0,,,,,,,,,,,,,,
2017-03-31,2085670000.0,16017000.0,935918000.0,-68071000,0.0,-215053000.0,459470000,-26769000,77067000.0,15647000.0,24141000,35346000,69902000,-546693000,102166000,-406000,99373000.0,2664000.0,6001000.0,3990711000.0,0.21,4073410000.0,75397000,23694000,92764000.0,2459000,22050000.0,2053000.0,2053000.0,,-6693000.0,85472000,2053000,-562042000,144400000,61778000,14217000,12029000,97124000,2256668000.0,141311000.0,-16116000,-35335000.0,58165000.0,82699000.0,2300723000.0,11777000,2664000.0,-755000,0.0,343288000.0,47276000,1341000,6796000.0,57274000.0,2108232000.0,,0.0,12029000,67238000,636000.0,2115357000.0,7125000.0,58075000.0,0.21,,,,,,,,,,,,
2017-06-30,2232754000.0,21114000.0,936939000.0,-98684000,0.0,-235539000.0,28008000,-27226000,85566000.0,11241000.0,42829000,37500000,88843000,-139668000,135804000,-1180000,13389000.0,9676000.0,5292000.0,4140894000.0,0.15,4219188000.0,108578000,24245000,93258000.0,2053000,24227000.0,873000.0,873000.0,,-11142000.0,91373000,873000,-164992000,160863000,67128000,15334000,8753000,104628000,2409820000.0,158052000.0,-16697000,0.0,58192000.0,78294000.0,2468293000.0,20274000,9676000.0,95000,0.0,343288000.0,56235000,-15327000,18662000.0,58157000.0,2234568000.0,,0.0,8753000,79167000,650000.0,2251768000.0,17200000.0,58075000.0,0.15,,,,,,,,,,,,
2017-09-30,2350830000.0,,922280000.0,-95834000,0.0,-257888000.0,-84094000,-34055000,87979000.0,10173000.0,133824000,40562000,183419000,-106967000,212407000,2406000,-369000.0,12642000.0,7163000.0,4289638000.0,0.27,4403146000.0,178352000,25148000,98876000.0,873000,69620000.0,3279000.0,3279000.0,,-13735000.0,99151000,3279000,-125907000,175869000,74003000,16489000,15866000,114565000,2485391000.0,205909000.0,-19891000,0.0,58192000.0,113508000.0,2608718000.0,8370000,12642000.0,4590000,0.0,404838000.0,61304000,537000,11183000.0,95629000.0,2261086000.0,,0.0,15866000,170777000,1020000.0,2279482000.0,18396000.0,58075000.0,0.27,,,,,,,,,,,,
2017-12-31,2394337000.0,27809000.0,909531000.0,-89265000,0.0,-279192000.0,-76105000,-57094000,88471000.0,21609000.0,49749000,43029000,90279000,-14378000,121019000,-686000,27000.0,183476000.0,9539000.0,4134691000.0,,4292013000.0,63925000,25450000,97731000.0,3279000,98882000.0,2593000.0,2593000.0,,-14378000.0,93789000,2593000,-45600000,174766000,68339000,19496000,-165377000,111368000,2570834000.0,258876000.0,-20617000,0.0,,157322000.0,2673529000.0,3124000,183476000.0,2587000,,404838000.0,63398000,-1676000,35707000.0,119955000.0,2292993000.0,,0.0,-165377000,-93197000,1990000.0,2311958000.0,18965000.0,,,,,,,,,,,,,,
2018-03-31,2498715000.0,29761000.0,1446039000.0,-138679000,,-314364000.0,-27025000,-58760000,99922000.0,32147000.0,78270000,43704000,121005000,-114500000,151600000,1662000,0.0,6692000.0,7816000.0,4809237000.0,0.29,4993660000.0,92840000,27620000,136554000.0,2593000,121372000.0,4255000.0,4255000.0,,-19500000.0,100116000,4255000,-122913000,179094000,72496000,18426000,16735000,116200000,2737577000.0,291935000.0,-21346000,0.0,58210000.0,184423000.0,2813079000.0,13420000,6692000.0,315000,,404838000.0,62894000,-20473000,37028000.0,131401000.0,2426014000.0,,0.0,16735000,114313000,822000.0,2445642000.0,19628000.0,58085000.0,0.29,,,,,,,,,,,,
2018-06-30,2595063000.0,,1475056000.0,-112620000,,-339245000.0,-31936000,-117515000,99991000.0,21063000.0,78238000,45987000,126510000,-53113000,179660000,776000,,16809000.0,11937000.0,4922377000.0,0.02,5178196000.0,62145000,29335000,134663000.0,4255000,196705000.0,5031000.0,5031000.0,,-22513000.0,108889000,5031000,-146948000,193589000,79554000,19085000,1063000,125541000,2944546000.0,388955000.0,-28316000,,59397000.0,255819000.0,2934308000.0,18357000,16809000.0,-4294000,,404838000.0,68048000,7952000,61101000.0,213973000.0,2535555000.0,,0.0,1063000,109701000,,2555591000.0,20036000.0,59397000.0,0.02,,,,,,,,,,,,
2018-09-30,2662055000.0,,1872879000.0,-72951000,,-356925000.0,351997000,-88798000,103652000.0,29317000.0,74923000,41776000,130709000,-422275000,135131000,490000,,11997000.0,14409000.0,5379789000.0,0.38,5670040000.0,46333000,29166000,132826000.0,5031000,223148000.0,5521000.0,5521000.0,,-422275000.0,118971000,5521000,-486638000,200320000,89805000,16015000,59550000,131581000,3450992000.0,397201000.0,-77052000,,156088000.0,290251000.0,3018980000.0,-26240000,11997000.0,1263000,,404838000.0,68739000,217000,30555000.0,67603000.0,3033674000.0,,0.0,59550000,118712000,,3053791000.0,20117000.0,155001000.0,0.38,,,,,,,,,,,,
2018-12-31,2802429000.0,,1861686000.0,-64629000,,-380351000.0,28654000,-103800000,111095000.0,34316000.0,85680000,43459000,145156000,-150862000,206134000,4075000,0.0,20211000.0,42910000.0,5601684000.0,,5893509000.0,102334000,31309000,227103000.0,5521000,201512000.0,9596000.0,9596000.0,,-29158000.0,129042000,9596000,-230713000,220256000,97733000,17130000,59779000,141192000,3676401000.0,438755000.0,-79717000,0.0,,291825000.0,3182780000.0,19300000,20211000.0,9479000,,421983000.0,79064000,4456000,62504000.0,236097000.0,3205958000.0,,0.0,59779000,124945000,,3237646000.0,31688000.0,,,,,,,,,,,,,,
2019-03-31,2750375000.0,,1988797000.0,-79572000,,-405601000.0,-35876000,-62802000,123184000.0,27954000.0,88485000,61316000,119458000,-66797000,143748000,5446000,,17066000.0,44651000.0,5780726000.0,0.31,6069225000.0,80946000,32799000,223707000.0,9596000,187321000.0,15042000.0,15042000.0,17120000.0,,103477000,15042000,-102426000,197352000,70678000,32272000,50587000,131994000,3769461000.0,404627000.0,-81304000,,162777000.0,288499000.0,3155976000.0,-23050000,17066000.0,-1997000,,421983000.0,65358000,15000,22509000.0,79855000.0,3331716000.0,,0.0,50587000,102392000,,3364834000.0,33118000.0,161425000.0,0.31,,,,,,,,,,,,
2019-06-30,2820965000.0,,1998628000.0,-55950000,,-430252000.0,-45925000,-87249000,127353000.0,32669000.0,99182000,49898000,148211000,-84703000,186666000,-5613000,,21981000.0,40248000.0,5904264000.0,0.4,6197994000.0,99417000,34635000,253885000.0,15042000,181726000.0,9429000.0,9429000.0,3450000.0,,124259000,9429000,-146354000,211524000,89624000,18715000,71619000,139522000,3915995000.0,425323000.0,-94975000,,180407000.0,293730000.0,3251217000.0,4262000,21928000.0,-4930000,,442672000.0,72002000,231000,54630000.0,83308000.0,3437490000.0,,0.0,71619000,126230000,,3490672000.0,53182000.0,179149000.0,0.4,,,,,,,,,,,,
2019-09-30,2865107000.0,,1964949000.0,-55349000,,-456512000.0,-139116000,-75411000,125198000.0,41028000.0,86825000,52279000,151066000,-9095000,187794000,6538000,,22577000.0,41759000.0,5884824000.0,0.4,6202897000.0,112383000,33384000,246684000.0,9429000,196033000.0,15967000.0,15967000.0,2676000.0,,139250000,15967000,-42140000,226709000,105866000,21439000,72524000,158145000,3941849000.0,437224000.0,-96767000,,180155000.0,318073000.0,3321619000.0,3098000,22392000.0,-2364000,,441361000.0,68564000,-288000,45807000.0,83712000.0,3451268000.0,,0.0,72524000,128489000,,3504625000.0,53357000.0,179197000.0,0.4,,,,,,,,,,,,
