date,quarterlyNetPPE,quarterlyInventory,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2012-12-31,2885302000,13940000,25239000.0,3169247000,3604346000,175545000.0,18493000.0,-2932936000.0,3756671000,9721472000,281556000.0,435099000.0,21900000,124102000.0,,1834134000,6915731000,5964801000,5818238000.0,1495854000,,368004000,1403841000,0.0,338280000,,175545000.0,152966000,7801254000,180088000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,3045072000,12956000,24490000.0,2257249000,2920844000,70786000.0,33159000.0,,3903083000,9352336000,299566000.0,663595000.0,21900000,115168000.0,,1663375000,6724827000,5449253000,3045072000.0,1406071000,,431198000,1244217000,0.0,257304000,,171800000.0,148518000,7593203000,38199000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,3174886000,11957000,252357000.0,2609393000,3282020000,69834000.0,28369000.0,-3046199000.0,4001579000,10301175000,0.0,672627000.0,21900000,140673000.0,,1874348000,7449565000,6299596000,6221085000.0,1642238000,,461945000,1513912000,0.0,232110000,,171730000.0,190681000,8314719000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,3211199000,12676000,227988000.0,2434696000,2862418000,67709000.0,33698000.0,,4019326000,10027092000,0.0,427722000.0,664044000,115645000.0,,1770572000,7246306000,6007766000,3211199000.0,1553134000,,603378000,1510976000,0.0,217438000,,171942000.0,179183000,8144256000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,3134543000,10674000,97900000.0,3195869000,3331545000,66378000.0,23529000.0,-3210436000.0,3899508000,10556643000,0.0,135676000.0,664044000,140082000.0,,1852297000,7702134000,6657135000,6344979000.0,1342889000,,761863000,1636369000,0.0,509408000,,115643000.0,181080000,8525419000,293700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,1819616000,12462000,0.0,1954484000,2856039000,64757000.0,17299000.0,,3839462000,9258225000,0.0,901555000.0,664044000,123538000.0,,1233454000,7118906000,5418763000,1819616000.0,660616000,,818934000,1163972000,0.0,572838000,,0.0,171478000,7852474000,401360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,1747312000,12449000,0.0,2125975000,2817362000,26976000.0,37299000.0,-2808997000.0,2770999000,9113303000,251504000.0,691387000.0,664044000,149566000.0,,1277130000,7039291000,6342304000,4556309000.0,720504000,,739655000,1325555000,0.0,556626000,,0.0,321776000,7680430000,234850000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,1750467000,47785000,,2492894000,2578006000,93618000.0,16277000.0,,2589153000,8344514000,0.0,85112000.0,664044000,89311000.0,,1032910000,6462170000,5755361000,1750467000.0,743224000,,776771000,1053505000,0.0,289686000,,0.0,289686000,7139801000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,1851857000,19826000,,5520962000,6973355000,59303000.0,36633000.0,-3430801000.0,2886180000,12356830000,367684000.0,1452393000.0,664044000,123597000.0,,5126739000,6397589000,9470650000,5282658000.0,937427000,,744585000,1167803000,0.0,4189312000,,0.0,346819000,7064686000,3842493000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,1929154000,28411000,,1763551000,1932453000,127288000.0,0.0,,3091227000,12035954000,0.0,168902000.0,664044000,106064000.0,,4865262000,6240471000,8944727000,1929154000.0,910909000,,842330000,1259012000,0.0,3954353000,,,148721000,7032199000,3805632000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,1928836000,40774000,,831301000,955265000,85587000.0,,-3499786000.0,3863335000,12015909000,,123964000.0,664044000,134264000.0,,4858862000,6182512000,8152574000,5428622000.0,887208000,,901516000,1419163000,,3971654000,,,157248000,6994833000,3814406000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,1896947000,36263000,35555000.0,1731484000,2029164000,,,,6134454000,11315639000,,297680000.0,664044000,468141000.0,,4386917000,5925274000,5181185000,1896947000.0,926130000,,941039000,1479508000,,3460787000,,,159187000,6743265000,3301600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,1860556000,40912000,27382000.0,1211892000,1284472000,140160000.0,,-3731671000.0,5610614000,10256367000,,72580000.0,664044000,270965000.0,,3949336000,5393453000,4645753000,5592227000.0,790853000,,1000217000,1725863000,,3158483000,,,141560000,6182738000,3016923000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,1859547000,41310000,19509000.0,683672000,1104871000,,,,5304040000,9778321000,,421199000.0,664044000,344238000.0,,3544304000,5293613000,4474281000,1859547000.0,815286000,,1224296000,12993000,,2729018000,,,137589000,6089649000,2544745000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
