date,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyLongTermDebt,quarterlyChangeInInventory
2015-09-30,,2392000000,610000000,665000000,-846000000.0,-13000000.0,519000000,2067000000,-92000000.0,4566000000.0,904000000,663000000.0,2532000000.0,2006000000,7482000000,-108000000.0,24000000.0,,7000000.0,-93000000.0,10449000000,212000000.0,377000000.0,559000000.0,1585000000.0,1488000000,1240000000.0,8743000000,294000000,519000000,172000000.0,11000000.0,519000000,256000000,,61000000.0,0.115,25000000.0,4571228058.0,,,-90000000.0,,-108000000.0,260000000.0,99000000,-1055000000.0,42000000.0,121000000,,0.0,281000000.0,481000000.0,154000000,0.0,212000000,731000000,1477000000,0.115,23000000.0,89000000.0,4571426084.0,140000000.0,391000000.0,10810000000,3328000000,835000000.0,4566000000,4655000000,55000000.0,199000000,4421000000.0,17000000.0,0.0,,,
2015-12-31,,2407000000,599000000,655000000,-890000000.0,3000000.0,524000000,1994000000,-124000000.0,4455000000.0,895000000,655000000.0,2608000000.0,1930000000,7369000000,-423000000.0,15000000.0,,7000000.0,-78000000.0,10550000000,197000000.0,401000000.0,560000000.0,1641000000.0,1512000000,0.0,8777000000,296000000,524000000,216000000.0,14000000.0,524000000,263000000,,64000000.0,0.115,5000000.0,4571238760.0,,,-103000000.0,,-423000000.0,271000000.0,101000000,-1091000000.0,40000000.0,121000000,,0.0,-73000000.0,474000000.0,55000000,-30000000.0,196000000,720000000,1517000000,0.115,-61000000.0,68000000.0,4571464104.0,157000000.0,371000000.0,10771000000,3402000000,899000000.0,4455000000,4523000000,56000000.0,199000000,4566000000.0,20000000.0,,,,
2016-03-31,,2446000000,625000000,625000000,-693000000.0,39000000.0,533000000,2054000000,-87000000.0,4935000000.0,930000000,515000000.0,1589000000.0,1998000000,7802000000,0.0,3000000.0,,7000000.0,-15000000.0,11083000000,206000000.0,331000000.0,568000000.0,1710000000.0,1516000000,-19000000.0,9324000000,305000000,533000000,205000000.0,17000000.0,533000000,305000000,,56000000.0,0.115,4000000.0,4571241914.0,,,-115000000.0,,0.0,289000000.0,111000000,-1126000000.0,39000000.0,114000000,,0.0,475000000.0,562000000.0,941000000,0.0,206000000,739000000,1589000000,0.115,-66000000.0,11000000.0,4571500632.0,149000000.0,447000000.0,11378000000,3576000000,740000000.0,4935000000,4946000000,62000000.0,199000000,4455000000.0,58000000.0,,,,
2016-06-30,,2501000000,604000000,664000000,-1590000000.0,-18000000.0,511000000,2241000000,-211000000.0,4598000000.0,909000000,792000000.0,2777000000.0,2184000000,7740000000,-481000000.0,10000000.0,,7000000.0,-218000000.0,11014000000,203000000.0,344000000.0,561000000.0,1761000000.0,1592000000,-6000000.0,9076000000,305000000,511000000,232000000.0,6000000.0,511000000,261000000,,57000000.0,0.11,7000000.0,4571244658.0,,,-128000000.0,,-481000000.0,274000000.0,111000000,-1153000000.0,37000000.0,110000000,,0.0,-240000000.0,452000000.0,57000000,-5000000.0,203000000,714000000,1624000000,0.11,-122000000.0,83000000.0,4571536244.0,142000000.0,324000000.0,11317000000,3577000000,1518000000.0,4598000000,4681000000,60000000.0,199000000,4935000000.0,39000000.0,0.0,,,
2016-09-30,,2587000000,648000000,711000000,-1459000000.0,6000000.0,539000000,2145000000,-348000000.0,4763000000.0,949000000,770000000.0,2903000000.0,2086000000,8197000000,-98000000.0,21000000.0,,7000000.0,-25000000.0,11553000000,218000000.0,373000000.0,566000000.0,1737000000.0,1638000000,-1000000.0,9730000000,301000000,539000000,224000000.0,6000000.0,539000000,262000000,,59000000.0,0.12,6000000.0,4571283420.0,,,-91000000.0,,-98000000.0,304000000.0,108000000,-1222000000.0,36000000.0,109000000,,0.0,107000000.0,553000000.0,57000000,0.0,218000000,757000000,1681000000,0.12,-48000000.0,323000000.0,4571898606.0,136000000.0,462000000.0,11875000000,3678000000,1203000000.0,4763000000,5086000000,63000000.0,199000000,4598000000.0,46000000.0,0.0,,,
2016-12-31,,2551000000,645000000,709000000,-3039000000.0,4000000.0,547000000,2226000000,-927000000.0,3844000000.0,950000000,778000000.0,2908000000.0,2168000000,7712000000,-453000000.0,-7000000.0,,13000000.0,-44000000.0,11647000000,214000000.0,401000000.0,554000000.0,1905000000.0,1601000000,-7000000.0,9644000000,305000000,547000000,272000000.0,6000000.0,547000000,265000000,,58000000.0,0.12,6000000.0,4571303460.0,,,-92000000.0,,-453000000.0,811000000.0,111000000,-1228000000.0,32000000.0,116000000,,0.0,-833000000.0,547000000.0,68000000,0.0,214000000,761000000,1680000000,0.12,-138000000.0,643000000.0,4572458084.0,127000000.0,455000000.0,11870000000,4158000000,2211000000.0,3844000000,4487000000,64000000.0,199000000,4763000000.0,49000000.0,4000000.0,,,
2017-03-31,,2569000000,677000000,744000000,-2647000000.0,5000000.0,543000000,2217000000,-1061000000.0,3489000000.0,955000000,788000000.0,3140000000.0,2161000000,8282000000,0.0,5000000.0,,13000000.0,-3000000.0,12190000000,199000000.0,399000000.0,563000000.0,1900000000.0,1614000000,-7000000.0,10637000000,278000000,543000000,279000000.0,6000000.0,543000000,233000000,,56000000.0,,6000000.0,,,,-100000000.0,,0.0,995000000.0,34000000,-1324000000.0,32000000.0,-315000000,,,-514000000.0,547000000.0,76000000,0.0,199000000,742000000,1816000000,,48000000.0,1538000000.0,,111000000.0,447000000.0,12854000000,4572000000,1693000000.0,3489000000,5027000000,67000000.0,199000000,3844000000.0,57000000.0,6000000.0,,,
2017-06-30,7000000.0,2651000000,639000000,709000000,-2604000000.0,-17000000.0,541000000,2569000000,-52000000.0,3579000000.0,959000000,902000000.0,3221000000.0,2522000000,8559000000,-522000000.0,10000000.0,,13000000.0,36000000.0,12050000000,213000000.0,441000000.0,573000000.0,1934000000.0,1692000000,2000000.0,10609000000,320000000,541000000,311000000.0,18000000.0,541000000,277000000,,47000000.0,0.12,12000000.0,4571315208.0,,,-86000000.0,,-522000000.0,937000000.0,117000000,-1387000000.0,29000000.0,115000000,,0.0,70000000.0,644000000.0,79000000,-5000000.0,213000000,754000000,1834000000,0.12,-72000000.0,1609000000.0,4574116296.0,113000000.0,558000000.0,13178000000,4619000000,2641000000.0,3579000000,5188000000,70000000.0,199000000,3489000000.0,40000000.0,47000000.0,,,
2017-09-30,,2728000000,665000000,736000000,-1482000000.0,42000000.0,578000000,2467000000,-301000000.0,3575000000.0,985000000,884000000.0,3242000000.0,2417000000,8919000000,-108000000.0,-84000000.0,,13000000.0,-136000000.0,12571000000,218000000.0,452000000.0,580000000.0,2056000000.0,1743000000,,11084000000,320000000,578000000,308000000.0,2000000.0,578000000,278000000,,50000000.0,0.125,15000000.0,4571730722.0,,,-63000000.0,,-108000000.0,945000000.0,119000000,-1428000000.0,29000000.0,131000000,282896987.552533,,32000000.0,441000000.0,78000000,-4000000.0,218000000,796000000,1814000000,0.125,-179000000.0,1857000000.0,4575052366.0,107000000.0,378000000.0,13551000000,4632000000,1216000000.0,3575000000,5432000000,71000000.0,199000000,3579000000.0,82000000.0,107000000.0,,,
2017-12-31,,2755000000,673000000,750000000,-3719000000.0,-5000000.0,796000000,2345000000,1476000000.0,3226000000.0,982000000,589000000.0,3372000000.0,2201000000,7233000000,-526000000.0,-27000000.0,,12000000.0,91000000.0,11099000000,22000000.0,395000000.0,583000000.0,2057000000.0,1773000000,,9544000000,309000000,796000000,386000000.0,2000000.0,796000000,273000000,,144000000.0,0.175,7000000.0,4550149608.0,,,-64000000.0,,-2568000000.0,957000000.0,122000000,-1519000000.0,100000000.0,145000000,,,-435000000.0,657000000.0,68000000,0.0,22000000,818000000,1853000000,0.175,113000000.0,389000000.0,4552763140.0,94000000.0,593000000.0,11889000000,4656000000,5245000000.0,3226000000,3615000000,77000000.0,190000000,3575000000.0,79000000.0,170000000.0,,,
2018-03-31,,2805000000,693000000,693000000,-1892000000.0,31000000.0,571000000,2295000000,-641000000.0,3049000000.0,1012000000,314000000.0,1863000000.0,2164000000,7673000000,0.0,-30000000.0,0.0,12000000.0,-8000000.0,11587000000,204000000.0,376000000.0,339000000.0,2016000000.0,1793000000,-14000000.0,9960000000,319000000,571000000,358000000.0,42000000.0,571000000,319000000,,131000000.0,0.13,14000000.0,4346554120.0,,,-97000000.0,,1000000.0,883000000.0,332000000,-1545000000.0,82000000.0,82000000,,,-125000000.0,515000000.0,1092000000,0.0,204000000,775000000,1863000000,0.13,-99000000.0,982000000.0,4349617024.0,38000000.0,418000000.0,12255000000,4582000000,1345000000.0,3041000000,4023000000,71000000.0,190000000,3226000000.0,107000000.0,253000000.0,,,
2018-06-30,6000000.0,2831000000,680000000,745000000,-3540000000.0,14000000.0,534000000,2544000000,-131000000.0,2421000000.0,1012000000,480000000.0,3308000000.0,2415000000,7081000000,-971000000.0,2000000.0,,12000000.0,12000000.0,10907000000,204000000.0,424000000.0,349000000.0,2001000000.0,1819000000,3000000.0,8862000000,332000000,534000000,367000000.0,12000000.0,534000000,297000000,,129000000.0,0.125,26000000.0,4346657242.0,,,-79000000.0,,-971000000.0,821000000.0,246000000,-1527000000.0,74000000.0,-24000000,,,-471000000.0,631000000.0,134000000,-30000000.0,204000000,738000000,1781000000,0.125,-145000000.0,1004000000.0,4350710356.0,54000000.0,552000000.0,11406000000,4325000000,3488000000.0,2411000000,3415000000,65000000.0,190000000,3049000000.0,133000000.0,304000000.0,,,
2018-09-30,8000000.0,2921000000,703000000,768000000,-2378000000.0,57000000.0,581000000,2300000000,-79000000.0,2471000000.0,1037000000,402000000.0,3206000000.0,2178000000,7198000000,-193000000.0,-30000000.0,,11000000.0,-96000000.0,11285000000,216000000.0,434000000.0,344000000.0,2039000000.0,1884000000,-4000000.0,8988000000,334000000,581000000,344000000.0,12000000.0,581000000,293000000,,122000000.0,0.13,24000000.0,4347055177.0,,,-78000000.0,,-193000000.0,713000000.0,249000000,-1499000000.0,66000000.0,24000000,,,166000000.0,438000000.0,173000000,-1000000.0,216000000,797000000,1707000000,0.13,-242000000.0,1046000000.0,4352208472.0,50000000.0,360000000.0,11288000000,4090000000,2363000000.0,2462000000,3508000000,65000000.0,340000000,2421000000.0,177000000.0,354000000.0,,,
2018-12-31,6000000.0,2987000000,687000000,769000000,-2695000000.0,41000000.0,502000000,2552000000,-291000000.0,2357000000.0,1031000000,473000000.0,3433000000.0,2407000000,7418000000,-497000000.0,-44000000.0,,11000000.0,-4000000.0,11252000000,213000000.0,433000000.0,514000000.0,2130000000.0,1956000000,3000000.0,9312000000,344000000,502000000,439000000.0,24000000.0,502000000,304000000,,145000000.0,0.12,30000000.0,4347673466.0,,,-76000000.0,,-496000000.0,650000000.0,259000000,-1616000000.0,76000000.0,-44000000,,,-177000000.0,610000000.0,127000000,-42000000.0,213000000,715000000,1817000000,0.12,55000000.0,1407000000.0,4352731387.0,108000000.0,534000000.0,11872000000,4454000000,2502000000.0,2357000000,3764000000,82000000.0,340000000,2471000000.0,234000000.0,399000000.0,,,
2019-03-31,9000000.0,3060000000,658000000,658000000,-3134000000.0,19000000.0,580000000,2852000000,276000000.0,2829000000.0,1032000000,442000000.0,3581000000.0,2693000000,7644000000,-295000000.0,-34000000.0,-118000000.0,10000000.0,3000000.0,11248000000,170000000.0,480000000.0,512000000.0,2144000000.0,2028000000,-40000000.0,9391000000,374000000,581000000,410000000.0,13000000.0,580000000,374000000,,159000000.0,0.13,32000000.0,4347129592.0,,,-116000000.0,,-413000000.0,670000000.0,14550000000,-1650000000.0,98000000.0,94000000,,,446000000.0,583000000.0,408000000,-37000000.0,171000000,752000000,1931000000,0.13,-5588346320.0,958000000.0,4353023863.0,100000000.0,467000000.0,12252000000,4608000000,3587000000.0,2829000000,3787000000,75000000.0,339000000,2357000000.0,255000000.0,397000000.0,,,
2019-06-30,9000000.0,3131000000,650000000,846000000,-1559000000.0,-147000000.0,546000000,4180000000,159000000.0,2266000000.0,1009000000,523000000.0,4156000000.0,3463000000,7213000000,-648000000.0,-26000000.0,-689000000.0,10000000.0,-87000000.0,9969000000,196000000.0,567000000.0,589000000.0,2290000000.0,2122000000,37000000.0,8182000000,359000000,546000000,412000000.0,12000000.0,546000000,315000000,-20000000.0,717000000.0,0.13,67000000.0,4302176860.0,,6000000.0,-145000000.0,,-1357000000.0,604000000.0,1000000,-1713000000.0,112000000.0,30000000,,,-568000000.0,630000000.0,646000000,-72000000.0,196000000,742000000,2443000000,0.13,-97000000.0,784000000.0,4308286160.0,207000000.0,485000000.0,12417000000,5204000000,1887000000.0,2266000000,3050000000,98000000.0,334000000,2829000000.0,333000000.0,447000000.0,,,
2019-09-30,8000000.0,3210000000,701000000,888000000,-1294000000.0,-6000000.0,569000000,3432000000,143000000.0,2324000000.0,1070000000,450000000.0,4159000000.0,2711000000,6892000000,-134000000.0,-17000000.0,-381000000.0,10000000.0,-91000000.0,10510000000,207000000.0,590000000.0,576000000.0,2265000000.0,2140000000,3000000.0,8537000000,369000000,572000000,384000000.0,12000000.0,569000000,322000000,-22000000.0,721000000.0,0.13,33000000.0,4249343678.0,,6000000.0,-125000000.0,,-542000000.0,611000000.0,2000000,-1729000000.0,99000000.0,29000000,,,123000000.0,522000000.0,184000000,0.0,207000000,779000000,2430000000,0.13,-128000000.0,501000000.0,4255822953.0,191000000.0,397000000.0,12021000000,5129000000,1542000000.0,2324000000,2825000000,103000000.0,332000000,2266000000.0,315000000.0,479000000.0,,,
2019-12-31,,3243000000,711000000,827000000,,,626000000,3533000000,,,1084000000,216000000.0,2436000000.0,2802000000,7122000000,,,,,,10458000000,,,584000000.0,2529000000.0,2159000000,,8524000000,373000000,627000000,440000000.0,136000000.0,626000000,373000000,,731000000.0,0.15,,4239607543.0,,6000000.0,,,,594000000.0,255000000,,88000000.0,116000000,,,,,1451000000,,194000000,821000000,2436000000,0.15,,431000000.0,4245716437.0,185000000.0,,12110000000,4988000000,,2422000000,2853000000,,332000000,,263000000.0,575000000.0,,,
