date,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyLongTermDebt,quarterlyChangeInInventory
2004-06-30,,335000000,96000000,108000000,,,83000000,167000000,-15000000.0,283000000.0,145000000,,417000000.0,142000000,712000000,-188000000.0,,,,-46000000.0,620000000,-2000000.0,78000000.0,,182000000.0,190000000,-1000000.0,813000000,49000000,83000000,21000000.0,5000000.0,83000000,49000000,,25000000.0,0.019375,30000000.0,4244804704.0,18000000.0,,-34000000.0,,-170000000.0,,14000000,-179000000.0,,0,,0.0,-162000000.0,47000000.0,42000000,,13000000,96000000,238000000,0.019375,,185000000.0,4324027840.0,9000000.0,13000000.0,980000000,268000000,20000000.0,283000000,468000000,12000000.0,31000000,445000000.0,1000000.0,-17000000.0,,,
2004-09-30,,379000000,109000000,123000000,,,97000000,187000000,-68000000.0,335000000.0,165000000,,451000000.0,162000000,808000000,-1000000.0,,,,3000000.0,717000000,0.0,101000000.0,7000000.0,202000000.0,214000000,-6000000.0,921000000,56000000,97000000,22000000.0,5000000.0,97000000,56000000,,25000000.0,0.0225,29000000.0,4260205840.0,9000000.0,,-38000000.0,,8000000.0,,22000000,-188000000.0,,6000000,,0.0,52000000.0,114000000.0,37000000,,18000000,115000000,263000000,0.021875,,210000000.0,4353950480.0,1000000.0,76000000.0,1108000000,300000000,0.0,335000000,545000000,14000000.0,31000000,283000000.0,2000000.0,-15000000.0,,,
2004-12-31,,423000000,122000000,138000000,-32000000.0,,112000000,208000000,-81000000.0,389000000.0,182000000,,537000000.0,181000000,943000000,-33000000.0,,,,-20000000.0,796000000,-1000000.0,114000000.0,,240000000.0,241000000,-3000000.0,1097000000,60000000,112000000,26000000.0,5000000.0,112000000,60000000,,27000000.0,0.02625,29000000.0,4277762272.0,40000000.0,,-58000000.0,,7000000.0,,24000000,-216000000.0,,11000000,,0.0,54000000.0,107000000.0,40000000,,21000000,133000000,321000000,0.025,,244000000.0,4405955808.0,9000000.0,49000000.0,1305000000,362000000,12000000.0,389000000,633000000,16000000.0,31000000,335000000.0,1000000.0,42000000.0,,,
2005-03-31,,455000000,129000000,153000000,-44000000.0,,127000000,201000000,-84000000.0,410000000.0,193000000,,579000000.0,175000000,1060000000,0.0,,,,-64000000.0,923000000,0.0,124000000.0,,303000000.0,262000000,-3000000.0,1253000000,64000000,127000000,20000000.0,5000000.0,127000000,63000000,,26000000.0,,24000000.0,,32000000.0,,-56000000.0,,32000000.0,,26000000,-227000000.0,,18000000,,0.0,21000000.0,76000000.0,30000000,,20000000,147000000,352000000,,,278000000.0,,8000000.0,20000000.0,1454000000,394000000,19000000.0,410000000,688000000,24000000.0,31000000,389000000.0,1000000.0,33000000.0,,,
2005-06-30,,476000000,133000000,151000000,-64000000.0,,122000000,178000000,-96000000.0,444000000.0,202000000,,638000000.0,173000000,1113000000,-46000000.0,,,,12000000.0,999000000,-1000000.0,106000000.0,,284000000.0,274000000,-10000000.0,1369000000,69000000,122000000,29000000.0,5000000.0,122000000,69000000,,5000000.0,0.028125,36000000.0,4313309472.0,23000000.0,,-58000000.0,,-23000000.0,,35000000,-246000000.0,,7000000,,0.0,34000000.0,151000000.0,37000000,,18000000,140000000,392000000,0.026875,,307000000.0,4433378608.0,8000000.0,93000000.0,1557000000,444000000,36000000.0,444000000,751000000,18000000.0,31000000,410000000.0,1000000.0,38000000.0,,,
2005-09-30,,524000000,146000000,168000000,-307000000.0,,138000000,194000000,-296000000.0,334000000.0,227000000,,681000000.0,189000000,1250000000,0.0,,,,-6000000.0,1137000000,-1000000.0,128000000.0,,304000000.0,297000000,1000000.0,1528000000,81000000,138000000,40000000.0,5000000.0,138000000,81000000,,5000000.0,0.031875,0.0,4331001904.0,34000000.0,,-69000000.0,,34000000.0,,32000000,-246000000.0,,9000000,,0.0,-110000000.0,153000000.0,20000000,,16000000,155000000,435000000,0.030625,,531000000.0,4452864928.0,8000000.0,84000000.0,1734000000,484000000,79000000.0,334000000,865000000,22000000.0,31000000,444000000.0,1000000.0,25000000.0,,,
2005-12-31,,559000000,164000000,190000000,-47000000.0,,143000000,210000000,-26000000.0,477000000.0,240000000,,740000000.0,205000000,1355000000,-45000000.0,,,,10000000.0,1235000000,0.0,140000000.0,,310000000.0,319000000,0.0,1639000000,76000000,143000000,42000000.0,5000000.0,143000000,76000000,,5000000.0,0.033125,0.0,4357726016.0,44000000.0,,-57000000.0,,-1000000.0,,31000000,-283000000.0,,-1000000,,0.0,143000000.0,182000000.0,20000000,,18000000,163000000,457000000,0.031875,,492000000.0,4478606752.0,8000000.0,125000000.0,1862000000,507000000,78000000.0,477000000,969000000,26000000.0,31000000,334000000.0,2000000.0,-6000000.0,,,
2006-03-31,,593000000,156000000,189000000,-1000000.0,,152000000,214000000,270000000.0,889000000.0,239000000,,790000000.0,209000000,1509000000,0.0,,,,-70000000.0,1387000000,-3000000.0,160000000.0,,361000000.0,354000000,3000000.0,1837000000,83000000,152000000,44000000.0,5000000.0,152000000,83000000,,5000000.0,,28000000.0,,27000000.0,,-62000000.0,,27000000.0,,45000000,-299000000.0,,16000000,,0.0,412000000.0,113000000.0,2000000,,18000000,172000000,491000000,,,170000000.0,,8000000.0,51000000.0,2066000000,557000000,330000000.0,889000000,1059000000,33000000.0,31000000,477000000.0,3000000.0,9000000.0,,,
2006-06-30,,660000000,170000000,194000000,-375000000.0,,174000000,211000000,-363000000.0,392000000.0,271000000,,810000000.0,206000000,1268000000,-264000000.0,-2000000.0,,,-75000000.0,1266000000,-2000000.0,147000000.0,91000000.0,465000000.0,389000000,-10000000.0,1725000000,101000000,174000000,54000000.0,5000000.0,174000000,101000000,,5000000.0,0.04,38000000.0,4399929000.0,33000000.0,,-42000000.0,,-231000000.0,,52000000,-314000000.0,,29000000,,0.0,-497000000.0,121000000.0,3000000,,23000000,199000000,496000000,0.03875,,358000000.0,4502454208.0,19000000.0,79000000.0,1938000000,670000000,180000000.0,392000000,750000000,24000000.0,61000000,889000000.0,2000000.0,-46000000.0,,,
2006-09-30,,746000000,211000000,238000000,-276000000.0,,199000000,263000000,-323000000.0,328000000.0,323000000,,879000000.0,258000000,1522000000,-1000000.0,-1000000.0,,,2000000.0,1465000000,-1000000.0,183000000.0,91000000.0,528000000.0,423000000,4000000.0,1955000000,112000000,199000000,67000000.0,5000000.0,199000000,111000000,,5000000.0,0.045,33000000.0,4415509568.0,30000000.0,,-72000000.0,,31000000.0,,36000000,-339000000.0,,9000000,,2000000.0,-64000000.0,228000000.0,4000000,,26000000,225000000,540000000,0.04375,,615000000.0,4518868560.0,18000000.0,156000000.0,2220000000,698000000,21000000.0,328000000,943000000,27000000.0,62000000,392000000.0,4000000.0,-49000000.0,,,
