date,quarterlyOtherNonCashItems,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyDeferredIncomeTax,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyDilutedEPS,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,quarterlyOperatingExpense,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyPretaxIncome,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalAssets,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyGoodwill
2017-03-31,106000,-18045000,-11713000,4561000,11645000,84587000,1660000,-44654000.0,-13373000,,-15265000,104664000.0,0.0,135728000.0,-29341000,-538641000.0,31915000.0,19317000.0,243460000.0,34880000,96492000.0,4565000.0,0.0,-400000,-0.21,11825000.0,,11664000,103813000.0,-3557000.0,95000.0,23216000,-18045000,-1268000.0,128900000.0,-18045000,27178000,-18000,,,84587000.0,189251000.0,,0.0,19317000.0,25949000.0,2226000,36589000,,9411000,0.0,59000,-2433000,1756000.0,87452983.0,0.0,-15819000,-26908000,0.0,-15193000,264628000.0,,21168000.0,-5486000.0,60000000,99780000,0.0,14799000.0,-1921000.0,87452983.0,-0.21,,,,,,
2017-06-30,103000,-21174000,-13719000,7570000,-588000,80190000,1811000,-59352000.0,-15530000,,5756000,104186000.0,0.0,139497000.0,-7110000,-559815000.0,35171000.0,18682000.0,236492000.0,38376000,96765000.0,4882000.0,0.0,803000,-0.24,13888000.0,,13152000,104326000.0,-1638000.0,102000.0,25224000,-21174000,-1000.0,117545000.0,-21174000,31383000,-19000,,,80190000.0,184376000.0,,0.0,18682000.0,25147000.0,3461000,40754000,,9371000,0.0,2067000,-1235000,1766000.0,88218868.0,781000.0,-17713000,-5875000,0.0,-4397000,257042000.0,,20550000.0,-2064000.0,60000000,84587000,0.0,13161000.0,-1739000.0,88218868.0,-0.24,,,,,,
2017-09-30,17000,-11498000,-3866000,8629000,-2344000,82104000,2053000,0.0,-5919000,,3274000,104453000.0,,145593000.0,795000,-571313000.0,40985000.0,18309000.0,241887000.0,50109000,97049000.0,5070000.0,0.0,504000,-0.13,23000000.0,,15153000,104608000.0,983000.0,104000.0,34956000,-11498000,-592000.0,116685000.0,-11498000,31602000,-19000,,,82104000.0,186557000.0,,0.0,18309000.0,24642000.0,3423000,40875000,,9273000,0.0,1713000,-1752000,1978000.0,89125646.0,0.0,-8075000,2547000,0.0,1914000,262278000.0,,20391000.0,-9112000.0,0,80190000,0.0,14143000.0,-1462000.0,89125646.0,-0.13,,,,,,
2017-12-31,26000,-10945000,-4506000,6356000,-1943000,78592000,2153000,0.0,-4506000,,-523000,104719000.0,,151734000.0,-4844000,-582258000.0,50202000.0,18067000.0,245134000.0,53661000,97342000.0,1737000.0,0.0,2617000,,29567000.0,13427000.0,15640000,101532000.0,3063000.0,111000.0,38021000,-10945000,3000.0,113564000.0,-10945000,32479000,-20000,-14925000.0,,78592000.0,183311000.0,4959000.0,0.0,18067000.0,22025000.0,4055000,42527000,,10048000,0.0,1329000,-1946000,1986000.0,,759000.0,-6890000,-2898000,0.0,-3512000,265298000.0,,20164000.0,-6567000.0,0,82104000,0.0,17206000.0,-1343000.0,,,,,,,,
2018-03-31,2427000,-20724000,-10474000,8520000,-1857000,113761000,2203000,-44750000.0,-12677000,,-9299000,104712000.0,,197361000.0,-18931000,-600820000.0,44759000.0,17922000.0,282842000.0,52125000,149160000.0,920000.0,,1638000,-0.23,34044000.0,,18238000,152602000.0,2213000.0,,33887000,-20724000,,106118000.0,-20724000,35460000,-100017000,,,111603000.0,216315000.0,,,17922000.0,20386000.0,3194000,46564000,,11104000,,51714000,-2107000,2602000.0,89985612.0,0.0,-17530000,-16824000,,33043000,303479000.0,,20637000.0,-1672000.0,45000000,80718000,0.0,19419000.0,-1328000.0,89985612.0,-0.23,,,,,,
2018-06-30,-370000,-15510000,-4798000,10206000,-842000,116625000,2287000,-59384000.0,-7085000,,-4199000,104499000.0,,197795000.0,-8951000,-616330000.0,45247000.0,16999000.0,289889000.0,61514000,149195000.0,880000.0,,482000,-0.17,37643000.0,,19833000,152548000.0,1016000.0,,41681000,-15510000,,112081000.0,-15510000,37404000,-24000,,,114456000.0,218955000.0,,,16999000.0,19906000.0,5565000,48766000,2860000.0,11362000,,11188000,-1458000,2877000.0,91331862.0,938000.0,-9945000,-7493000,,2864000,309876000.0,,19987000.0,-3599000.0,60000000,113761000,0.0,20434000.0,-1273000.0,91331862.0,-0.17,,,,,,
2018-09-30,-555000,-11694000,-2935000,10479000,-1005000,125158000,2311000,-44652000.0,-5246000,,4919000,104743000.0,,200576000.0,4285000,-628024000.0,48087000.0,15864000.0,296825000.0,64756000,149231000.0,911000.0,,-1735000,-0.13,35388000.0,,18949000,152489000.0,-381000.0,,45807000,-11694000,,114936000.0,-11694000,37979000,-22000,,,122959000.0,227702000.0,,,15864000.0,21641000.0,4051000,51053000,,13074000,,3902000,-1353000,2709000.0,92911375.0,0.0,-7643000,5638000,,8533000,315512000.0,,18687000.0,2255000.0,45000000,116625000,0.0,20053000.0,-1127000.0,92911375.0,-0.13,,,,,,
2018-12-31,-480000,-15631000,-8664000,10641000,-1789000,142756000,2205000,-104996000.0,-8664000,9929000.0,19992000,105256000.0,,227534000.0,15021000,-643655000.0,64560000.0,15366000.0,321369000.0,69674000,149268000.0,1094000.0,,-914000,,36523000.0,16749000.0,23028000,162974000.0,6655000.0,,46646000,-15631000,,112259000.0,-15631000,40276000,-21000,-21962000.0,124000.0,140622000.0,245878000.0,8840000.0,,15366000.0,22555000.0,4807000,55310000,,15034000,,2565000,-1793000,2945000.0,,897000.0,-10824000,16814000,,17598000,339793000.0,,18424000.0,-1135000.0,105000000,125158000,0.0,26708000.0,-1400000.0,,,,,,,,
2019-03-31,-578000,-12150000,-4189000,9649000,-989000,154161000,1929000,-104325000.0,-6118000,9407000.0,-3240000,104535000.0,,243861000.0,-6640000,-655805000.0,70948000.0,29607000.0,335673000.0,73309000,149305000.0,363000.0,,-1583000,-0.13,39220000.0,,19814000,172913000.0,3235000.0,,53495000,-12150000,,126394000.0,-12150000,42571000,-8000,,,152067000.0,256602000.0,,,29607000.0,24138000.0,3661000,59613000,,17042000,,16970000,-2325000,4975000.0,94811282.0,0.0,-8489000,-4315000,,11405000,370255000.0,,34582000.0,-2697000.0,105661000,142756000,0.0,29943000.0,-1742000.0,94811282.0,-0.13,,,,,,
2019-06-30,-587000,-1270000,1196000,13732000,-1748000,182183000,2132000,-104351000.0,1196000,8874000.0,-5027000,104511000.0,,247283000.0,6669000,-657075000.0,73567000.0,30524000.0,369983000.0,86713000,149344000.0,306000.0,,-1316000,-0.01,42533000.0,,21106000,173716000.0,126000.0,,65607000,-1270000,,158906000.0,-1270000,44957000,-8000,,,180073000.0,284584000.0,,,30524000.0,25454000.0,1227000,64411000,,19454000,,20657000,-2397000,5682000.0,96356317.0,1208000.0,-43000,9066000,,28022000,406189000.0,,36206000.0,-3313000.0,105000000,154161000,0.0,30069000.0,-2357000.0,96356317.0,-0.01,,,,,,
2019-09-30,-547000,1930000,5787000,14338000,-2174000,210168000,1932000,-104466000.0,3855000,8341000.0,-2824000,104565000.0,,253493000.0,12199000,-655145000.0,80405000.0,31199000.0,406942000.0,92062000,149384000.0,295000.0,,1067000,0.02,49904000.0,,22900000,173088000.0,,,69162000,1930000,,190365000.0,1930000,46541000,-7000,,,208034000.0,312599000.0,,,31199000.0,24388000.0,-630000,65307000,,18766000,,15468000,-2708000,5717000.0,107604578.0,0.0,1300000,14907000,,27985000,443858000.0,,36916000.0,,105000000,182183000,0.0,31998000.0,-2641000.0,98485519.0,0.02,,,,,,
2019-12-31,-547000,1930000,5787000,14338000,-2174000,210168000,1932000,-104466000.0,3855000,,-2824000,,,,12199000,,,,,92062000,,,,1067000,0.02,,,22900000,,,,69162000,1930000,,,1930000,46541000,-7000,,,,,,,,,-630000,65307000,,18766000,,15468000,-2708000,,107604578.0,0.0,1300000,14907000,,27985000,,,,,105000000,182183000,,,,98485519.0,0.02,,,,,,
