date,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCostOfRevenue,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets
1988-06-30,,,,,,,,,,0.020813,,,,,,,,1049915473.0,,,,,,,,,,,,,,,23600000,,,0.022478,,,,,,,307900000,,,,,,,,23600000,23600000,1133906693.0,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,0.024975,,,,,,,,991940484.0,,,,,,,,,,,,,,,25600000,,,0.025808,,,,,,,312100000,,,,,,,,25600000,25600000,1025025025.0,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,,,,,,,,,,,,,,,,,2307100000.0,,,,,,,,,,,,,,,,28700000,,,,263300000.0,,1889900000.0,,,,435500000,,,,,479200000.0,,,28700000,28700000,,417200000.0,,,,,,,,,,,,,,,,,,,,,,,
1989-03-31,3800000.0,49200000.0,45100000.0,,,22200000.0,12400000.0,162700000.0,,0.022478,182800000.0,1800000.0,-3000000.0,53700000.0,0.0,,2524400000.0,1000978735.0,50700000.0,400000.0,489900000.0,29500000.0,3900000.0,,,17700000.0,,,,-334300000.0,-3000000.0,-4800000.0,22500000,-236100000.0,,0.022478,282100000.0,-900000.0,2084100000.0,3000000.0,,,348900000,,24300000.0,-388700000.0,,641900000.0,195300000.0,,22500000,22500000,1000978735.0,440300000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1989-06-30,6300000.0,52800000.0,55600000.0,,,10000000.0,12400000.0,-1700000.0,,0.030803,-31300000.0,1600000.0,-7700000.0,51700000.0,0.0,,2590200000.0,970186029.0,44000000.0,8100000.0,360300000.0,-24500000.0,4200000.0,,,,,,,-753600000.0,-2900000.0,63800000.0,31500000,-12300000.0,,0.032468,298000000.0,-16100000.0,2137500000.0,-81600000.0,,,353600000,,97600000.0,,,635700000.0,219800000.0,,31500000,31500000,1022627666.0,452700000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1989-09-30,2300000.0,50000000.0,54600000.0,,,13000000.0,12200000.0,-3500000.0,,0.02331,-9100000.0,1500000.0,-1500000.0,47300000.0,0.0,,2634300000.0,1016731017.0,45800000.0,500000.0,1112500000.0,-25300000.0,4500000.0,,,,,,,-1148700000.0,-2900000.0,57100000.0,23700000,-37700000.0,,0.02331,313100000.0,-7200000.0,2167900000.0,-77800000.0,,,354800000,,96900000.0,,,631900000.0,245100000.0,,23700000,23700000,1016731017.0,466400000.0,,-500000.0,,,,,,,,,,,,,,,,,,,,,
1989-12-31,-4300000.0,48500000.0,40900000.0,,,,12300000.0,-26800000.0,,,-29600000.0,600000.0,-4700000.0,40300000.0,0.0,,2646800000.0,,35600000.0,-5000000.0,-182600000.0,-4300000.0,4800000.0,,,,,,,171600000.0,-2800000.0,35800000.0,300000,-15700000.0,,,,-28300000.0,2211600000.0,-36600000.0,,,335400000,,71800000.0,,,645900000.0,235100000.0,,300000,300000,,435200000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1990-03-31,6100000.0,45000000.0,50100000.0,,,,12000000.0,-14600000.0,,0.028305,-17600000.0,1500000.0,-5600000.0,20400000.0,0.0,,2638900000.0,968026850.0,14800000.0,-4200000.0,481600000.0,-3300000.0,4100000.0,,,21700000.0,,,,-487100000.0,-3000000.0,-22900000.0,27400000,-7000000.0,,0.028305,398600000.0,-15000000.0,2192000000.0,35500000.0,,,341600000,,-46600000.0,4100000.0,,644900000.0,238400000.0,,27400000,27400000,968026850.0,446900000.0,,-171100000.0,,,,,,,,,,,,,,,,,,,,,
1990-06-30,8500000.0,44300000.0,48700000.0,,,,12100000.0,-29500000.0,,0.038295,-32500000.0,800000.0,-3500000.0,38000000.0,0.0,,2695900000.0,884084084.0,34500000.0,-4300000.0,410400000.0,-33300000.0,3700000.0,,,,,,,-417100000.0,-3000000.0,26300000.0,36800000,-9800000.0,,0.041625,307400000.0,-30200000.0,2242000000.0,-21900000.0,,,345900000,,19400000.0,400000.0,,644900000.0,271700000.0,,36800000,36800000,960960961.0,453900000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1990-09-30,-1400000.0,44500000.0,44500000.0,,,,12700000.0,-44100000.0,,0.01998,-46800000.0,900000.0,-4500000.0,58100000.0,0.0,,2667300000.0,869648777.0,53600000.0,800000.0,234100000.0,-3000000.0,3600000.0,,,,,,,-240200000.0,-2700000.0,9100000.0,18100000,-10500000.0,,0.020813,284200000.0,-44500000.0,2259300000.0,20400000.0,,,348000000,,16000000.0,100000.0,,644400000.0,274700000.0,,18100000,18100000,905905906.0,408000000.0,,-500000.0,,,,,,,,,,,,,,,,,,,,,
1990-12-31,-21100000.0,,,,,,11600000.0,101500000.0,,,98700000.0,,,-188700000.0,0.0,,1086200000.0,,-175100000.0,7600000.0,,10400000.0,,,,,,,,1132000000.0,-2800000.0,-11600000.0,11100000,97600000.0,,,287200000.0,-6000000.0,677700000.0,-143000000.0,,,-898800000,,-45400000.0,78100000.0,,640800000.0,261000000.0,,11100000,11100000,,408500000.0,,700000.0,,,,,,,,,,,,,,,,,,,,,
1991-03-31,3300000.0,59400000.0,48000000.0,,,,12100000.0,-27900000.0,,0.028305,-30800000.0,,-5900000.0,49000000.0,0.0,,2755100000.0,834334318.0,43100000.0,8300000.0,274500000.0,-11200000.0,6200000.0,,,18700000.0,,,,-278500000.0,-2900000.0,29000000.0,25700000,-9900000.0,,0.030803,285700000.0,-27800000.0,2329200000.0,-58100000.0,,,352900000,,75200000.0,,,644400000.0,300300000.0,,25700000,25700000,907966790.0,425900000.0,,-170100000.0,,,,,,,,,,,,,,,,,,,,,
1991-06-30,-6000000.0,65400000.0,50800000.0,,,,11800000.0,55700000.0,,0.010823,51800000.0,,-12200000.0,41000000.0,0.0,,2940700000.0,896239490.0,28800000.0,-3100000.0,245800000.0,-49800000.0,6000000.0,,,,,,,-329500000.0,-3900000.0,116100000.0,9700000,-95900000.0,,0.010823,256100000.0,-40600000.0,2441800000.0,-181700000.0,,,373600000,,207000000.0,,,644400000.0,342800000.0,,9700000,9700000,896239490.0,498900000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1991-09-30,4200000.0,77400000.0,53900000.0,,,,11800000.0,0.0,,0.010823,-44500000.0,0.0,-20700000.0,47500000.0,0.0,,2959000000.0,960960961.0,26800000.0,-1400000.0,223500000.0,5500000.0,8500000.0,,,,,,,-207200000.0,-5100000.0,18900000.0,11200000,-4400000.0,,0.011655,228500000.0,-38900000.0,2474700000.0,-18100000.0,,,387400000,,45900000.0,,,644000000.0,342500000.0,,11200000,11200000,960960961.0,484300000.0,,-500000.0,,,,,,,,,,,,,,,,,,,,,
1991-12-31,,75300000.0,53500000.0,,,,12100000.0,0.0,,,-5200000.0,0.0,-6300000.0,53100000.0,,,2979100000.0,,46800000.0,-3300000.0,421500000.0,17200000.0,7700000.0,,,,,,,-466400000.0,-5100000.0,-113600000.0,-13700000,-51200000.0,,,208800000.0,0.0,2513400000.0,282300000.0,,,379200000,,-223200000.0,,,644000000.0,323300000.0,,-13700000,-13700000,,465700000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1992-03-31,5300000.0,71400000.0,55500000.0,,,,11400000.0,-12400000.0,,0.039128,-17700000.0,,-3600000.0,32800000.0,0.0,,3025900000.0,818167396.0,29200000.0,6300000.0,253400000.0,1300000.0,7200000.0,,,19200000.0,,,,-260900000.0,-5300000.0,4900000.0,36100000,-8800000.0,,0.044123,228800000.0,-12400000.0,2526100000.0,-15500000.0,,,387000000,,19200000.0,2300000.0,,644000000.0,326000000.0,,21900000,36100000,922612963.0,499800000.0,,-170000000.0,,,,,,,,,,,,,,,,,,,,,
1992-06-30,13100000.0,67000000.0,154400000.0,,,,11200000.0,-30800000.0,,0.044123,-36000000.0,,200000.0,60600000.0,0.0,,3016400000.0,802802803.0,60800000.0,-13600000.0,268600000.0,-5300000.0,6400000.0,,,,,,,-527000000.0,-5200000.0,27000000.0,40100000,-38200000.0,,0.04995,236700000.0,-30600000.0,2510700000.0,-43400000.0,,,507000000,,57500000.0,220000000.0,,644000000.0,328700000.0,,40100000,40100000,908823063.0,505700000.0,,-200000.0,,,,,,,,,,,,,,,,,,,,,
1992-09-30,16400000.0,64300000.0,51600000.0,,,,11200000.0,-60700000.0,,0.051615,-65800000.0,,-3200000.0,13400000.0,0.0,,3020800000.0,767052767.0,10200000.0,600000.0,443900000.0,5700000.0,5800000.0,,,,,,,-213700000.0,-5100000.0,-28200000.0,44700000,53000000.0,,0.058275,222700000.0,-60200000.0,2508900000.0,21100000.0,,,412500000,,-58200000.0,-174000000.0,,643600000.0,321600000.0,,44700000,44700000,866027318.0,511900000.0,,-500000.0,,,,,,,,,,,,,,,,,,,,,
1992-12-31,4200000.0,63500000.0,51300000.0,,,,10600000.0,1300000.0,,,-3900000.0,,-5500000.0,43800000.0,0.0,,3005100000.0,,38300000.0,10400000.0,392000000.0,11600000.0,4900000.0,,,,,,,-367700000.0,-5200000.0,-15600000.0,32900000,-29500000.0,,,207300000.0,-2700000.0,2376100000.0,24100000.0,,,432300000,,-18100000.0,,,568500000.0,312000000.0,,32900000,32900000,,629000000.0,,-200000.0,,,,,,,,,,,,,,,,,,,,,
1993-03-31,20400000.0,65900000.0,62900000.0,,,,9800000.0,-100000.0,,0.059108,-5800000.0,,-6800000.0,72500000.0,0.0,,3127500000.0,872978277.0,65700000.0,-1500000.0,298000000.0,-14700000.0,4400000.0,,,22900000.0,,,,-359400000.0,-5700000.0,-8100000.0,51600000,-68200000.0,,0.059108,253100000.0,,2449900000.0,39400000.0,,,435100000,,-22900000.0,,,568500000.0,328000000.0,,51600000,51600000,872978277.0,677600000.0,,-170100000.0,,,,,,,,,,,,,,,,,,,,,
1993-06-30,32700000.0,76800000.0,83100000.0,,,,9500000.0,-100000.0,,0.092408,-5800000.0,,-15200000.0,78300000.0,0.0,,3246700000.0,862479439.0,63100000.0,-100000.0,298000000.0,-18300000.0,4300000.0,,,,,,,-355400000.0,-5700000.0,112000000.0,79700000,-72600000.0,,0.092408,326800000.0,,2518100000.0,-184000000.0,,,494400000,,178300000.0,,,568500000.0,345000000.0,,79700000,79700000,862479439.0,728600000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1993-09-30,34200000.0,86000000.0,83700000.0,,,,9100000.0,172000000.0,,0.090743,166000000.0,,-13500000.0,118500000.0,0.0,,3593900000.0,901992902.0,105000000.0,-9000000.0,217600000.0,-19300000.0,3600000.0,,,,,,,-576500000.0,-6000000.0,90200000.0,82600000,-293500000.0,,0.091575,403100000.0,,2640400000.0,-119800000.0,,,515600000,,152100000.0,,,568600000.0,364300000.0,,82600000,82600000,910263051.0,953500000.0,,0.0,,,,,,,,,,,,,,,,,,,,,
1993-12-31,18500000.0,106700000.0,-186000000.0,,239500000.0,,11300000.0,-97200000.0,,,-102900000.0,1400000.0,-24500000.0,54200000.0,373100000.0,,4011300000.0,,29700000.0,-3600000.0,-744400000.0,-46000000.0,3800000.0,33500000.0,,,160000000.0,8700000.0,,-400800000.0,-5700000.0,51700000.0,53400000,45100000.0,,,446800000.0,-6800000.0,3013400000.0,-11100000.0,230800000.0,,509700000,,8100000.0,1214800000.0,,477100000.0,380600000.0,2786400000.0,53400000,53400000,,997900000.0,,-70000000.0,,,,,,,,,,,,,,,,,,,,,
1994-03-31,15600000.0,116900000.0,43700000.0,,,,13500000.0,196700000.0,,0.051615,191000000.0,1000000.0,-14700000.0,142000000.0,0.0,,4415600000.0,894896000.0,127300000.0,9000000.0,290000000.0,-67200000.0,4000000.0,,,8700000.0,,,,-599300000.0,-5700000.0,147300000.0,48100000,-324000000.0,17700000.0,0.051615,487800000.0,-2500000.0,3398400000.0,-138100000.0,,,522400000,,228000000.0,,,675400000.0,421400000.0,,48100000,48100000,894896000.0,1017200000.0,,-200000.0,,,,,,,,,,,,,,,,,,,,,
1994-06-30,21200000.0,125600000.0,57400000.0,,,,13800000.0,-26600000.0,,0.065768,-32300000.0,500000.0,-12800000.0,120400000.0,0.0,,4528500000.0,886488000.0,107600000.0,-6000000.0,-1321500000.0,-41700000.0,4300000.0,,,17700000.0,,,,-41600000.0,-5700000.0,-116700000.0,60500000,-94100000.0,11700000.0,0.065768,520800000.0,-27000000.0,3497600000.0,276000000.0,,,594000000,,-220400000.0,,,675500000.0,476700000.0,,60500000,60500000,887688000.0,1030900000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1994-09-30,25000000.0,139400000.0,61800000.0,,,,13800000.0,200000.0,,0.070763,-5900000.0,200000.0,-18400000.0,130900000.0,0.0,,4661900000.0,887688000.0,112500000.0,200000.0,2042600000.0,-32600000.0,5900000.0,,,11700000.0,,,,-838600000.0,-6100000.0,241300000.0,64800000,-124800000.0,11900000.0,0.070763,579600000.0,-100000.0,3572500000.0,-397300000.0,,,634100000,,475200000.0,-1310400000.0,,675600000.0,509500000.0,,64800000,64800000,887688000.0,1089400000.0,,0.0,,,,,,,,,,,,,,,,,,,,,
1994-12-31,43700000.0,143300000.0,-121000000.0,,292500000.0,,14200000.0,-3500000.0,,,-9400000.0,3400000.0,-12300000.0,58000000.0,379800000.0,,4675100000.0,,45700000.0,1500000.0,-182400000.0,-17700000.0,5100000.0,-30700000.0,,11900000.0,157000000.0,13400000.0,,-471700000.0,-5900000.0,93500000.0,100900000,-47100000.0,13400000.0,,668500000.0,-6700000.0,3523200000.0,-83100000.0,279100000.0,,664800000,,17400000.0,619300000.0,,675600000.0,542400000.0,3180000000.0,100900000,100900000,,1151900000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1995-03-31,20800000.0,149200000.0,69500000.0,,,,14300000.0,5900000.0,,0.065768,6300000.0,6300000.0,-11600000.0,109700000.0,0.0,,4850900000.0,888888000.0,98100000.0,1800000.0,988400000.0,19600000.0,4800000.0,,,13400000.0,,,,-1022100000.0,-6000000.0,-12500000.0,60700000,-114200000.0,15200000.0,0.065768,723300000.0,,3609000000.0,13400000.0,,,693800000,,46200000.0,-68900000.0,,675700000.0,574400000.0,,60700000,60700000,890092000.0,1241900000.0,,100000.0,,,,,,,,,,,,,,,,,,,,,
1995-06-30,23700000.0,152700000.0,82100000.0,,,,14200000.0,900000.0,,0.065768,-4600000.0,900000.0,-9400000.0,136200000.0,0.0,,5079200000.0,888888000.0,126800000.0,-2000000.0,861400000.0,-94600000.0,5200000.0,,,15200000.0,,,,-1036400000.0,-6100000.0,13100000.0,60800000,-133600000.0,13200000.0,0.065768,778000000.0,,3761100000.0,111100000.0,,,759500000,,-56300000.0,50800000.0,,675700000.0,622800000.0,,60800000,60800000,888888000.0,1318100000.0,,-300000.0,,,,,,,,,,,,,,,,,,,,,
1995-09-30,25000000.0,155100000.0,66400000.0,,,,14300000.0,1500000.0,,0.067433,-2800000.0,2700000.0,-7600000.0,189600000.0,0.0,,5275700000.0,892492000.0,182000000.0,4800000.0,491800000.0,-18300000.0,5100000.0,,,13200000.0,,,,-684300000.0,-6000000.0,31400000.0,62500000,-182000000.0,18000000.0,0.067433,835800000.0,,3883100000.0,163200000.0,,,775700000,,-41300000.0,,,675700000.0,635700000.0,,62500000,62500000,893692000.0,1392600000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1995-12-31,25900000.0,159200000.0,-179100000.0,,319000000.0,,14300000.0,200000.0,,,-7100000.0,200000.0,-9700000.0,95100000.0,345900000.0,,5352500000.0,,85400000.0,-1800000.0,-616400000.0,40100000.0,5300000.0,51100000.0,,18000000.0,155700000.0,16200000.0,,-619700000.0,-6000000.0,333500000.0,66400000,-89800000.0,16200000.0,,894200000.0,-1400000.0,3876700000.0,-719500000.0,302800000.0,,782900000,,742900000.0,,,675900000.0,649900000.0,3768000000.0,66400000,66400000,,1475800000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1996-03-31,23800000.0,165100000.0,67000000.0,,,,14300000.0,-2200000.0,,0.068265,-8100000.0,5700000.0,-11100000.0,159100000.0,0.0,,5686700000.0,896096000.0,148000000.0,-2300000.0,1700400000.0,-80000000.0,5200000.0,,,16200000.0,,,,-1842600000.0,-5900000.0,29700000.0,63400000,-153300000.0,13900000.0,0.068265,949400000.0,-7800000.0,4180100000.0,51400000.0,,,799000000,,39100000.0,,,675900000.0,721900000.0,,63400000,63400000,896096000.0,1506600000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1996-06-30,31700000.0,166900000.0,63600000.0,,,,15000000.0,-19500000.0,,0.084083,-24700000.0,1300000.0,-7000000.0,153700000.0,0.0,,5793700000.0,884084000.0,146700000.0,-2700000.0,469300000.0,-62900000.0,7600000.0,,,13900000.0,,,,-670800000.0,-5200000.0,297500000.0,78400000,-131700000.0,11200000.0,0.084083,986700000.0,-120300000.0,4334200000.0,-533500000.0,,,848100000,,605900000.0,,,775600000.0,794100000.0,,78400000,78400000,885284000.0,1459500000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1996-09-30,32600000.0,165600000.0,66400000.0,,,42900000.0,16100000.0,1700000.0,,0.08991,-2500000.0,2000000.0,-7600000.0,227900000.0,0.0,,5987200000.0,888888000.0,220300000.0,-1900000.0,1126600000.0,-10000000.0,5100000.0,,,11200000.0,,,,-1296100000.0,-4200000.0,131700000.0,80300000,-227300000.0,9300000.0,0.08991,1062900000.0,-200000.0,4437400000.0,-132600000.0,,,893900000,,271700000.0,-50200000.0,,775600000.0,801200000.0,,80300000,80300000,891292000.0,1549800000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1996-12-31,39900000.0,169900000.0,-150800000.0,,175100000.0,,16100000.0,3300000.0,,,-1000000.0,-2100000.0,-10100000.0,111500000.0,441700000.0,,6183900000.0,,101400000.0,6100000.0,18600000.0,-5200000.0,5900000.0,74000000.0,,9300000.0,71500000.0,15400000.0,,-1363000000.0,-4300000.0,41500000.0,91700000,-104400000.0,15400000.0,,1149600000.0,-400000.0,4507000000.0,112800000.0,159700000.0,,937400000,,-100100000.0,1250100000.0,,775700000.0,820800000.0,4450600000.0,91700000,91700000,,1676900000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,
1997-03-31,31600000.0,185700000.0,72200000.0,,,,16100000.0,-8500000.0,,0.084915,-12800000.0,11600000.0,-19500000.0,218100000.0,0.0,,6704800000.0,898500000.0,198600000.0,12900000.0,1525800000.0,-90700000.0,6600000.0,,,15400000.0,,,,-1650700000.0,-4300000.0,16800000.0,76500000,-192400000.0,28300000.0,0.084915,1222500000.0,,4963700000.0,80700000.0,,,966500000,,54300000.0,-48000000.0,,775800000.0,962700000.0,,76500000,76500000,898500000.0,1741100000.0,,-20100000.0,,,,,,,,,,,,,,,,,,,,,
