date,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyStockholdersEquity,quarterlyBasicAverageShares,quarterlyInventory,quarterlyOperatingExpense,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyNetOtherInvestingChanges,quarterlyGrossPPE,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyIncomeTaxPayable,quarterlyGoodwill,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGrossProfit,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyCurrentAccruedExpenses,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2012-09-30,,766000000.0,766000000.0,,-7000000.0,,24000000,7000000,1988000000.0,37000000,,1038000000.0,49600000.0,332000000.0,164000000,436000000.0,97000000,534000000.0,1794000000.0,0.0,32000000,0,,13000000,137000000,13000000,,844000000.0,-5000000,-35000000,3586000000.0,0.26,50300000.0,164000000,0,1239000000.0,2226000000.0,1596000000,59000000,24000000,,223000000,-45000000.0,,111000000,883000000.0,0,1373000000,-35000000,9000000.0,766000000,366000000.0,0.26,-804000000.0,0,29000000,80000000.0,43000000.0,4825000000.0,292000000.0,0.0,102000000,669000000,3637000000.0,-5000000.0,5863000000.0,13000000,552000000.0,45000000,,,,,,,,
2012-12-31,,1057000000.0,1057000000.0,-1313000000.0,-7000000.0,134000000.0,27000000,5000000,2034000000.0,77000000,,667000000.0,,288000000.0,233000000,59000000.0,291000000,205000000.0,1779000000.0,0.0,59000000,0,3347000000.0,50000000,373000000,50000000,,881000000.0,-12000000,-70000000,4341000000.0,,,233000000,10000000,1384000000.0,2484000000.0,1823000000,101000000,221000000,35000000.0,334000000,0.0,,153000000,191000000.0,-5000000,1489000000,-70000000,16000000.0,1057000000,401000000.0,,-1226000000.0,-1000000,29000000,77000000.0,51000000.0,5725000000.0,377000000.0,0.0,303000000,766000000,3908000000.0,-22000000.0,6392000000.0,50000000,548000000.0,47000000,,,,,,,,
2013-03-31,,652000000.0,652000000.0,,-13000000.0,114000000.0,21000000,2000000,2004000000.0,65000000,,707000000.0,49800000.0,310000000.0,170000000,61000000.0,-405000000,191000000.0,1779000000.0,0.0,-17000000,0,,44000000,-362000000,44000000,,881000000.0,-13000000,-30000000,4367000000.0,0.87,50300000.0,170000000,2000000,1177000000.0,2391000000.0,1562000000,93000000,-477000000,14000000.0,263000000,39000000.0,,144000000,1199000000.0,-5000000,1299000000,-30000000,9000000.0,652000000,587000000.0,0.88,-1224000000.0,3000000,30000000,116000000.0,38000000.0,5544000000.0,247000000.0,1000000.0,-392000000,1057000000,3860000000.0,-294000000.0,6251000000.0,44000000,542000000.0,49000000,,,,,,,,
2013-06-30,,623000000.0,623000000.0,,0.0,108000000.0,30000000,2000000,1990000000.0,87000000,,873000000.0,50200000.0,321000000.0,185000000,64000000.0,-29000000,209000000.0,1765000000.0,0.0,-8000000,0,,57000000,25000000,57000000,,881000000.0,-29000000,-25000000,3954000000.0,1.12,50700000.0,185000000,2000000,1220000000.0,2269000000.0,1683000000,114000000,-102000000,14000000.0,299000000,91000000.0,,160000000,1101000000.0,-5000000,1384000000,-25000000,10000000.0,623000000,564000000.0,1.14,-1096000000.0,0,29000000,117000000.0,52000000.0,5174000000.0,287000000.0,1000000.0,0,652000000,3778000000.0,98000000.0,6047000000.0,57000000,537000000.0,44000000,,,,,,,,
2013-09-30,,895000000.0,895000000.0,,-9000000.0,139000000.0,30000000,9000000,1964000000.0,99000000,,935000000.0,49900000.0,340000000.0,186000000,52000000.0,272000000,260000000.0,1743000000.0,0.0,-77000000,58000000,,69000000,281000000,69000000,73000000.0,881000000.0,-37000000,-30000000,3942000000.0,1.36,50600000.0,186000000,5000000,1402000000.0,2531000000.0,1637000000,118000000,189000000,-47000000.0,304000000,155000000.0,-28000000.0,185000000,1055000000.0,-5000000,1333000000,28000000,9000000.0,895000000,578000000.0,1.38,-1078000000.0,2000000,28000000,123000000.0,65000000.0,5344000000.0,287000000.0,1000000.0,251000000,623000000,3748000000.0,46000000.0,6279000000.0,69000000,532000000.0,58000000,,,,,,,,
2013-12-31,83000000.0,1043000000.0,1043000000.0,-1404000000.0,-29000000.0,115000000.0,52000000,1000000,1897000000.0,143000000,,1521000000.0,,311000000.0,198000000,104000000.0,148000000,262000000.0,1700000000.0,0.0,153000000,0,3301000000.0,91000000,292000000,91000000,,881000000.0,-90000000,-54000000,3312000000.0,,,198000000,-53000000,1392000000.0,2676000000.0,1938000000,173000000,191000000,-9000000.0,371000000,236000000.0,-66000000.0,249000000,171000000.0,-10000000,1567000000,-54000000,16000000.0,1043000000,599000000.0,,-521000000.0,14000000,31000000,119000000.0,79000000.0,4704000000.0,337000000.0,1000000.0,238000000,895000000,3549000000.0,-68000000.0,6225000000.0,91000000,528000000.0,75000000,,,,,,,,
2014-03-31,92000000.0,742000000.0,742000000.0,-1456000000.0,0.0,78000000.0,42000000,2000000,1856000000.0,132000000,-46000000.0,1561000000.0,49100000.0,315000000.0,150000000,106000000.0,-301000000,255000000.0,1700000000.0,0.0,-2000000,0,3312000000.0,90000000,-214000000,90000000,,922000000.0,-17000000,-24000000,3306000000.0,1.81,49700000.0,150000000,3000000,1240000000.0,2544000000.0,1594000000,157000000,-378000000,8000000.0,307000000,316000000.0,-10000000.0,219000000,1299000000.0,-10000000,1287000000,-70000000,5000000.0,742000000,565000000.0,1.83,-515000000.0,2000000,27000000,131000000.0,79000000.0,4546000000.0,263000000.0,1000000.0,-238000000,1043000000,3563000000.0,-162000000.0,6107000000.0,90000000,528000000.0,60000000,,,,,,,,
2014-06-30,112000000.0,592000000.0,592000000.0,-1492000000.0,-14000000.0,58000000.0,52000000,1000000,1850000000.0,152000000,-227000000.0,1569000000.0,48800000.0,294000000.0,170000000,110000000.0,-150000000,244000000.0,1679000000.0,0.0,20000000,0,3342000000.0,100000000,272000000,100000000,,1089000000.0,-168000000,-27000000,3244000000.0,2.04,49100000.0,170000000,2000000,1267000000.0,2327000000.0,1719000000,180000000,140000000,-12000000.0,350000000,406000000.0,-94000000.0,230000000,1216000000.0,-10000000,1369000000,-254000000,6000000.0,592000000,582000000.0,2.05,-509000000.0,-51000000,29000000,130000000.0,86000000.0,4511000000.0,297000000.0,1000000.0,245000000,742000000,3753000000.0,124000000.0,6080000000.0,100000000,557000000.0,49000000,,,,,,,,
2014-09-30,118000000.0,769000000.0,769000000.0,-1525000000.0,-22000000.0,53000000.0,48000000,7000000,1852000000.0,144000000,1000000.0,1662000000.0,48700000.0,272000000.0,189000000,99000000.0,177000000,222000000.0,1650000000.0,0.0,23000000,0,3377000000.0,96000000,256000000,96000000,,1086000000.0,-40000000,-40000000,3229000000.0,1.96,49000000.0,189000000,4000000,1234000000.0,2380000000.0,1717000000,164000000,83000000,15000000.0,353000000,492000000.0,-8000000.0,218000000,1144000000.0,-10000000,1364000000,-39000000,11000000.0,769000000,598000000.0,1.97,-506000000.0,0,27000000,127000000.0,93000000.0,4463000000.0,268000000.0,1000000.0,216000000,592000000,3745000000.0,72000000.0,6125000000.0,96000000,551000000.0,47000000,,,,,,,,
2014-12-31,0.0,990000000.0,990000000.0,-1351000000.0,-674000000.0,74000000.0,27000000,-45000000,1792000000.0,79000000,0.0,1365000000.0,,339000000.0,217000000,105000000.0,221000000,249000000.0,1592000000.0,0.0,12000000,0,3143000000.0,52000000,402000000,52000000,,1026000000.0,-107000000,-74000000,3592000000.0,,,217000000,8000000,1312000000.0,2546000000.0,1927000000,190000000,265000000,-33000000.0,407000000,525000000.0,-26000000.0,183000000,244000000.0,-19000000,1520000000,-74000000,12000000.0,990000000,612000000.0,,-862000000.0,12000000,66000000,129000000.0,108000000.0,4904000000.0,269000000.0,1000000.0,328000000,769000000,3723000000.0,106000000.0,6269000000.0,52000000,547000000.0,38000000,,,,,,,,
2015-03-31,,904000000.0,904000000.0,-1388000000.0,,78000000.0,46000000,1000000,1768000000.0,133000000,-6000000.0,1380000000.0,48400000.0,336000000.0,150000000,104000000.0,-86000000,290000000.0,1592000000.0,0.0,3000000,32000000,3156000000.0,87000000,-3000000,87000000,,1032000000.0,-89000000,-20000000,3607000000.0,1.79,48700000.0,150000000,2000000,1332000000.0,2628000000.0,1570000000,155000000,-128000000,-1000000.0,305000000,593000000.0,-29000000.0,202000000,1219000000.0,-19000000,1265000000,6000000,4000000.0,904000000,549000000.0,1.8,-849000000.0,-41000000,23000000,127000000.0,108000000.0,4939000000.0,307000000.0,1000000.0,-23000000,990000000,3691000000.0,-189000000.0,6319000000.0,87000000,540000000.0,46000000,,,,,,,,
2015-06-30,,960000000.0,960000000.0,-1416000000.0,,117000000.0,88000000,-57000000,1757000000.0,244000000,0.0,1485000000.0,48500000.0,319000000.0,173000000,102000000.0,56000000,264000000.0,1305000000.0,0.0,17000000,21000000,3173000000.0,156000000,166000000,156000000,,973000000.0,-102000000,-29000000,3238000000.0,3.2,48800000.0,173000000,-19000000,1589000000.0,2694000000.0,1745000000,326000000,-80000000,-11000000.0,499000000,729000000.0,-61000000.0,313000000,1244000000.0,-20000000,1246000000,-8000000,17000000.0,960000000,565000000.0,3.22,-836000000.0,0,25000000,125000000.0,374000000.0,4827000000.0,269000000.0,1000000.0,137000000,904000000,3618000000.0,-22000000.0,6312000000.0,156000000,534000000.0,44000000,,,,,,,,
2015-09-30,,671000000.0,671000000.0,-1453000000.0,-374000000.0,141000000.0,64000000,6000000,1750000000.0,175000000,0.0,1490000000.0,48000000.0,308000000.0,150000000,103000000.0,-289000000,272000000.0,1305000000.0,0.0,11000000,0,3203000000.0,111000000,254000000,111000000,,973000000.0,-506000000,-37000000,3258000000.0,2.29,48400000.0,150000000,5000000,1294000000.0,2419000000.0,1800000000,194000000,62000000,17000000.0,344000000,821000000.0,-102000000.0,245000000,1278000000.0,-19000000,1456000000,-37000000,8000000.0,671000000,585000000.0,2.31,-826000000.0,-11000000,25000000,156000000.0,0.0,4552000000.0,296000000.0,1000000.0,217000000,960000000,3623000000.0,-34000000.0,6042000000.0,111000000,528000000.0,45000000,,,,,,,,
2015-12-31,,894000000.0,894000000.0,-1489000000.0,-633000000.0,125000000.0,30000000,-15000000,1827000000.0,80000000,0.0,1490000000.0,,285000000.0,196000000,103000000.0,223000000,247000000.0,1273000000.0,0.0,23000000,0,3316000000.0,50000000,411000000,50000000,,956000000.0,-86000000,-102000000,3260000000.0,,,196000000,4000000,1274000000.0,2284000000.0,1905000000,159000000,257000000,-20000000.0,355000000,848000000.0,-40000000.0,189000000,236000000.0,-23000000,1550000000,-102000000,14000000.0,894000000,585000000.0,,-845000000.0,10000000,64000000,126000000.0,,4534000000.0,317000000.0,1000000.0,309000000,671000000,3740000000.0,204000000.0,6024000000.0,50000000,495000000.0,45000000,,,,,,,,
2016-03-31,,793000000.0,793000000.0,-1519000000.0,,72000000.0,41000000,-2000000,1809000000.0,177000000,0.0,1521000000.0,47000000.0,283000000.0,137000000,100000000.0,-101000000,274000000.0,1275000000.0,0.0,2000000,0,3328000000.0,136000000,54000000,136000000,,956000000.0,-118000000,-37000000,3220000000.0,2.87,47400000.0,137000000,4000000,1155000000.0,2203000000.0,1763000000,198000000,-152000000,15000000.0,335000000,960000000.0,-44000000.0,242000000,1086000000.0,-24000000,1428000000,-37000000,5000000.0,793000000,557000000.0,2.89,-833000000.0,-50000000,19000000,125000000.0,,4375000000.0,252000000.0,1000000.0,17000000,894000000,3693000000.0,-12000000.0,5896000000.0,136000000,490000000.0,46000000,,,,,,,,
2016-06-30,,852000000.0,852000000.0,-1555000000.0,,100000000.0,66000000,1000000,1813000000.0,199000000,0.0,1612000000.0,47000000.0,280000000.0,151000000,88000000.0,59000000,222000000.0,1276000000.0,0.0,3000000,4000000,3368000000.0,133000000,169000000,133000000,,956000000.0,-66000000,-48000000,3106000000.0,2.8,47500000.0,151000000,-2000000,1141000000.0,2197000000.0,1700000000,216000000,-40000000,24000000.0,367000000,1069000000.0,-42000000.0,265000000,1022000000.0,-24000000,1333000000,-44000000,6000000.0,852000000,567000000.0,2.83,-821000000.0,0,18000000,127000000.0,,4247000000.0,252000000.0,1000000.0,121000000,793000000,3663000000.0,64000000.0,5859000000.0,133000000,485000000.0,48000000,,,,,,,,
2016-09-30,,957000000.0,957000000.0,-1592000000.0,0.0,99000000.0,50000000,7000000,1841000000.0,157000000,0.0,1652000000.0,46900000.0,268000000.0,147000000,99000000.0,105000000,255000000.0,1277000000.0,0.0,12000000,0,3433000000.0,107000000,254000000,107000000,,956000000.0,-89000000,-60000000,3128000000.0,2.27,47200000.0,147000000,2000000,1228000000.0,2344000000.0,1683000000,169000000,69000000,20000000.0,316000000,1154000000.0,-66000000.0,221000000,1046000000.0,-22000000,1367000000,-60000000,11000000.0,957000000,581000000.0,2.28,-808000000.0,-1000000,19000000,135000000.0,,4356000000.0,293000000.0,1000000.0,194000000,852000000,3664000000.0,-24000000.0,6008000000.0,107000000,479000000.0,45000000,,,,,,,,
2016-12-31,,720000000.0,720000000.0,-1627000000.0,0.0,166000000.0,54000000,0,1986000000.0,251000000,-372000000.0,1653000000.0,,210000000.0,173000000,90000000.0,-237000000,256000000.0,1278000000.0,0.0,58000000,0,3613000000.0,197000000,345000000,197000000,,1234000000.0,-70000000,-140000000,3356000000.0,,,188000000,-13000000,1343000000.0,2142000000.0,1922000000,269000000,74000000,26000000.0,442000000,1323000000.0,-42000000.0,316000000,318000000.0,-28000000,1480000000,-512000000,14000000.0,720000000,605000000.0,,-951000000.0,0,18000000,128000000.0,,4699000000.0,316000000.0,1000000.0,205000000,957000000,4210000000.0,-50000000.0,6352000000.0,197000000,548000000.0,47000000,,,,,,,,
2017-03-31,,608000000.0,608000000.0,-1661000000.0,,88000000.0,28000000,3000000,1986000000.0,147000000,,1638000000.0,46300000.0,230000000.0,129000000,89000000.0,-112000000,279000000.0,1280000000.0,0.0,-20000000,0,3647000000.0,119000000,98000000,119000000,,1234000000.0,-152000000,-58000000,3323000000.0,2.56,46400000.0,129000000,2000000,1273000000.0,2063000000.0,1724000000,162000000,-122000000,12000000.0,291000000,1414000000.0,-68000000.0,217000000,1178000000.0,-28000000,1433000000,-58000000,6000000.0,608000000,573000000.0,2.57,-935000000.0,-56000000,18000000,122000000.0,,4596000000.0,333000000.0,1000000.0,40000000,720000000,4171000000.0,-43000000.0,6234000000.0,119000000,537000000.0,52000000,,,,,,,,
2017-06-30,,553000000.0,553000000.0,-1699000000.0,,94000000.0,71000000,-1000000,2034000000.0,218000000,,1650000000.0,45700000.0,204000000.0,133000000,95000000.0,-55000000,219000000.0,1281000000.0,0.0,25000000,4000000,3733000000.0,147000000,186000000,147000000,,1218000000.0,-166000000,-79000000,3293000000.0,3.21,45800000.0,133000000,1000000,1247000000.0,2033000000.0,1858000000,236000000,-35000000,16000000.0,369000000,1534000000.0,-139000000.0,285000000,1201000000.0,-27000000,1489000000,-75000000,14000000.0,553000000,609000000.0,3.22,-919000000.0,0,17000000,110000000.0,,4540000000.0,325000000.0,1000000.0,107000000,608000000,4157000000.0,-17000000.0,6190000000.0,147000000,528000000.0,50000000,,,,,,,,
2017-09-30,,499000000.0,499000000.0,-1730000000.0,,92000000.0,71000000,8000000,2093000000.0,220000000,0.0,1712000000.0,45400000.0,183000000.0,135000000,99000000.0,-54000000,240000000.0,1282000000.0,0.0,13000000,8000000,3823000000.0,149000000,96000000,149000000,,1217000000.0,-67000000,-91000000,3185000000.0,3.27,45500000.0,135000000,2000000,1275000000.0,1939000000.0,1863000000,230000000,-99000000,-2000000.0,365000000,1656000000.0,-40000000.0,289000000,1200000000.0,-27000000,1498000000,-83000000,7000000.0,499000000,625000000.0,3.28,-949000000.0,0,18000000,117000000.0,,4460000000.0,318000000.0,1000000.0,5000000,553000000,4233000000.0,13000000.0,6172000000.0,149000000,518000000.0,51000000,,,,,,,,
2017-12-31,,701000000.0,701000000.0,-1770000000.0,,146000000.0,123000000,3000000,2215000000.0,187000000,0.0,1758000000.0,,183000000.0,173000000,101000000.0,202000000,236000000.0,1279000000.0,0.0,0,21000000,3985000000.0,64000000,434000000,64000000,,1217000000.0,-99000000,-154000000,3225000000.0,,,173000000,5000000,1391000000.0,2195000000.0,1996000000,225000000,126000000,158000000.0,398000000,1687000000.0,-39000000.0,280000000,444000000.0,-33000000,1598000000,-133000000,7000000.0,701000000,634000000.0,,-900000000.0,-12000000,41000000,125000000.0,,4616000000.0,375000000.0,1000000.0,280000000,499000000,4179000000.0,12000000.0,6374000000.0,64000000,508000000.0,52000000,,,,,,,,
2018-03-31,,528000000.0,528000000.0,-1806000000.0,,190000000.0,39000000,21000000,2219000000.0,195000000,,1718000000.0,44800000.0,188000000.0,190000000,102000000.0,-173000000,294000000.0,1280000000.0,1064000000.0,-5000000,5000000,4025000000.0,156000000,120000000,156000000,,1217000000.0,-223000000,-75000000,3195000000.0,3.48,44800000.0,192000000,2000000,1463000000.0,2210000000.0,1874000000,189000000,-100000000,5000000.0,379000000,2029000000.0,-166000000.0,260000000,343000000.0,-32000000,1495000000,-70000000,7000000.0,528000000,,3.48,-1098000000.0,-25000000,15000000,129000000.0,,4658000000.0,344000000.0,1000000.0,45000000,701000000,4166000000.0,,6376000000.0,156000000,499000000.0,50000000,,,,,,,,
2018-06-30,,398000000.0,398000000.0,-1775000000.0,,210000000.0,23000000,22000000,2258000000.0,262000000,,1699000000.0,44200000.0,174000000.0,197000000,130000000.0,-130000000,277000000.0,1281000000.0,1078000000.0,14000000,17000000,4033000000.0,239000000,239000000,239000000,,1217000000.0,-274000000,-102000000,3167000000.0,5.4,44300000.0,209000000,3000000,1509000000.0,2152000000.0,2020000000,255000000,-70000000,6000000.0,452000000,2236000000.0,-242000000.0,330000000,364000000.0,-32000000,1568000000,-95000000,8000000.0,398000000,,5.41,-1085000000.0,0,15000000,166000000.0,,4676000000.0,378000000.0,1000000.0,137000000,528000000,4223000000.0,,6375000000.0,239000000,490000000.0,53000000,,,,,,,,
