date,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyInventory,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyBasicEPS,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1997-03-31,66600000,-400000.0,,55300000,8000000,11200000,184100000,29800000,125800000,20000000.0,4200000,,250700000,400000,-4800000,315300000,260000000,23700000,400000,400000,7100000,,,102400000,64600000,-2400000,,,132600000.0,-8400000,27800000.0,100000,0,23400000,19200000,0.02,17000000,-4700000.0,,3400000,3400000,20000000.0,,,13000000,175500000,,700000.0,300000.0,,3700000,18100000,-6100000,-2600000,4000000,-62200000,80500000.0,0.0,,0.02,,237700000,-9600000,1300000,,-6500000,-200000.0,27900000.0,20600000,,,200000.0,12200000,,,,
1997-06-30,59500000,4100000.0,,59500000,8200000,7500000,186800000,33600000,128800000,15200000.0,9800000,,246300000,3800000,12600000,314700000,255200000,24200000,3800000,3800000,9200000,,,103300000,68400000,-1200000,,,135100000.0,-1400000,27500000.0,100000,0,25500000,15700000,0.23,11800000,3200000.0,,6200000,6200000,16521739.0,,,0,169900000,,6200000.0,2400000.0,,3700000,5100000,-4200000,-12500000,5300000,-68400000,80000000.0,-1700000.0,,0.25,,238300000,2800000,16800000,,1800000,-500000.0,31500000.0,22900000,,,0.0,18000000,,,,
1997-09-30,52800000,,,56600000,8300000,9600000,187500000,33100000,114500000,16666667.0,2300000,,240300000,-500000,-7300000,308300000,251700000,24000000,-500000,-500000,9700000,,,94300000,68000000,-100000,,,136600000.0,-4600000,26900000.0,-100000,0,20200000,17900000,-0.03,14500000,-3000000.0,,1800000,1800000,16666667.0,,,0,168200000,,-700000.0,-200000.0,,2900000,5100000,-6200000,1300000,5300000,-74600000,78200000.0,-300000.0,,-0.03,,242800000,-4300000,-1100000,,-4900000,-900000.0,28300000.0,19400000,,,100000.0,10600000,,,,
1997-12-31,53800000,,,57200000,9200000,10300000,189400000,34800000,129300000,,5500000,,243200000,1700000,0,313000000,255800000,21400000,1700000,1700000,7800000,,,104300000,69800000,-3200000,,,142200000.0,-13000000,25800000.0,300000,0,25000000,19500000,,13900000,1300000.0,,3000000,3000000,,,,0,170600000,,2200000.0,500000.0,,3600000,5100000,-10100000,4000000,5600000,-81600000,79600000.0,1000000.0,,,,252200000,1100000,10100000,,1800000,300000.0,26300000.0,22400000,,,0.0,14700000,,,,
1998-03-31,48500000,100000.0,,47600000,9100000,10800000,185600000,33400000,108100000,15555556.0,800000,,234100000,-1400000,5800000,302500000,254900000,22300000,-1400000,-1400000,7400000,,,87400000,68400000,-400000,,,138200000.0,-6200000,25100000.0,100000,0,20700000,19900000,-0.09,12800000,2100000.0,,3500000,3500000,15555556.0,,,3000000,169200000,,-2200000.0,-800000.0,,3100000,5100000,-5900000,-4900000,5200000,-88700000,80500000.0,-1000000.0,,-0.09,,257900000,500000,11700000,,4800000,-900000.0,25500000.0,17900000,,,100000.0,9900000,,,,
1998-06-30,50900000,-300000.0,,48300000,9300000,8700000,179400000,30800000,99300000,15294118.0,-1100000,,230300000,-2600000,10200000,296100000,247800000,25900000,-2600000,-2600000,10500000,,,82400000,65800000,-2400000,,,130800000.0,-5000000,22700000.0,-400000,0,16900000,18000000,-0.17,12600000,-3800000.0,,3300000,3300000,15294118.0,,,0,164400000,,-4300000.0,-1700000.0,,2700000,5100000,-2700000,-8200000,4700000,-96000000,78700000.0,900000.0,,-0.17,,260400000,-200000,12900000,,8100000,-1600000.0,26200000.0,19600000,,,0.0,8200000,,,,
1998-09-30,187800000,100000.0,,48700000,9100000,10100000,41500000,23900000,89200000,15681818.0,-7200000,,229300000,-6900000,-9500000,288200000,239500000,22900000,-6900000,-6900000,9900000,,,77100000,58900000,2600000,,,,-200000,18600000.0,-200000,0,12100000,19300000,-0.44,13000000,-300000.0,,3400000,3400000,15681818.0,,,0,159900000,,-10400000.0,-3500000.0,,3000000,142600000,-3000000,6900000,59200000,-103100000,20400000.0,-1600000.0,,-0.44,,263000000,100000,-6500000,,-5200000,-3600000.0,27900000.0,17300000,,,0.0,2000000,,,,
1998-12-31,46100000,3600000.0,,49200000,4900000,3500000,179200000,2700000,40400000,,-4800000,,225300000,-21200000,4000000,263200000,214000000,25000000,-21200000,-5900000,8600000,,,36800000,37900000,-2100000,,,140600000.0,-1800000,13600000.0,-700000,0,3600000,8400000,,11700000,2700000.0,,12300000,12300000,,,,0,140100000,,-9200000.0,-3300000.0,,3800000,7700000,-3400000,3300000,25500000,-100700000,48400000.0,1100000.0,,,,240800000,9000000,7400000,,5600000,-3200000.0,22900000.0,15500000,,,0.0,100000,,,,
1999-03-31,38400000,200000.0,,43200000,7800000,6900000,176900000,-1800000,69800000,15517241.0,-2600000,,215300000,-4500000,-10700000,248700000,205500000,23600000,-4500000,-4200000,12300000,,,57700000,33400000,0,,,139500000.0,300000,13800000.0,-400000,0,12100000,14700000,-0.29,9100000,-1100000.0,,1600000,1600000,15517241.0,,,12300000,133300000,,-6600000.0,-2400000.0,,3600000,8300000,-1100000,-1400000,25200000,-106500000,47000000.0,-1000000.0,,-0.29,,239800000,-10700000,-9600000,,-13300000,100000.0,20600000.0,9500000,,,,5200000,,,,
1999-06-30,40800000,-100000.0,,37400000,8000000,5900000,146800000,-6300000,58200000,15517241.0,-2800000,,187600000,-4500000,2100000,216600000,179200000,21900000,-4500000,-4500000,13800000,,,47100000,29000000,-500000,,,115800000.0,17900000,9100000.0,-400000,1600000,11100000,13900000,-0.29,10300000,-300000.0,,1600000,1600000,15517241.0,200000.0,,0,128500000,,-7100000.0,-2600000.0,,3800000,11100000,-1400000,-21400000,5200000,-112800000,45500000.0,-400000.0,,-0.29,,241300000,0,3500000,,4800000,-4600000.0,22000000.0,7700000,,,,5200000,,,,
1999-09-30,44100000,,,39000000,7900000,6600000,142100000,-11500000,63400000,15757576.0,-3200000,,186200000,-5200000,2400000,210000000,171000000,21200000,-5200000,-5200000,10900000,,,52100000,23800000,100000,,,114900000.0,-500000,6000000.0,-2100000,2800000,11300000,14500000,-0.33,8500000,2400000.0,,2800000,2800000,15757576.0,200000.0,,1600000,121300000,,-8700000.0,-3500000.0,,3300000,10100000,-1500000,-2300000,5700000,-116700000,44000000.0,-400000.0,,-0.33,,238000000,1100000,3900000,,3600000,-3500000.0,23400000.0,10600000,,,,4700000,,,,
1999-12-31,42400000,,,37100000,7800000,7300000,133500000,-13300000,67200000,,-3200000,,175900000,-1900000,-2900000,197800000,160700000,19300000,-1900000,-1900000,8700000,,,55300000,21900000,-100000,,,110200000.0,4100000,4000000.0,3200000,1800000,11900000,15100000,,9600000,1100000.0,,1800000,1800000,,200000.0,,2800000,113800000,,-3400000.0,-1500000.0,,3300000,7800000,-5900000,-8000000,42100000,-122700000,4800000.0,-1000000.0,,,,236500000,-900000,3000000,,400000,-1900000.0,23500000.0,11100000,,,,4600000,,,,
2000-03-31,35283000,,,35426000,6705000,6559000,135141000,-16332000,62818000,15589077.0,194000,,170424000,-3026000,-2498000,189311000,153885000,18865000,-3026000,-3026000,6645000,,,49360000,18887000,-185000,,,113689000.0,-354000,2587000.0,211000,1983000,13458000,13264000,-0.19,8471000,1788000.0,,1983000,1983000,15589077.0,156000.0,,1828000,108982000,,,,,3431000,6905000,-884000,2123000,4214000,-127695000,40689000.0,-474000.0,,-0.19,,236677000,155000,-1614000,,-4851000,,20906000.0,7472000,,,,6899000,,,,
2000-06-30,151700000,,,38316000,6809000,6934000,21849000,-20978000,61557000,15483333.0,-1200000,,173549000,-4645000,749000,187790000,149474000,17859000,-4645000,-4766000,10365000,,,49014000,14241000,148000,,,,-2137000,3990000.0,-69000,1941000,12543000,13743000,-0.3,8167000,-2111000.0,,1941000,1941000,15483333.0,156000.0,,1983000,105593000,,,,,3497000,119858000,-2490000,-1144000,4452000,-132425000,39429000.0,-423000.0,,-0.3,,238018000,-42000,3239000,,1128000,,24527000.0,7315000,,,,5609000,,,,
2000-09-30,148017000,,,39845000,6824000,6290000,24002000,-26147000,57629000,15663636.0,-1550000,,172019000,-5169000,7271000,181091000,141246000,20012000,-5169000,-5169000,8276000,,,46065000,9072000,37000,,,,235000,3990000.0,-74000,5498000,11564000,13114000,-0.33,8981000,1264000.0,,5498000,5498000,15663636.0,156000.0,,1941000,99703000,,,,,3545000,114974000,-1502000,-5451000,3408000,-134285000,38135000.0,-597000.0,,-0.33,,233988000,3557000,8773000,,6942000,,24864000.0,8179000,,,,5274000,,,,
2000-12-31,152666000,,,45857000,10843000,6954000,19115000,-32495000,60792000,,-2849000,,171781000,-6348000,3037000,174505000,128648000,16247000,-6348000,-6598000,12211000,,,45844000,2724000,-636000,,,,-1652000,2868000.0,-236000,3509000,14948000,17797000,,8300000,1305000.0,,3509000,3509000,,156000.0,,5498000,88242000,,,,,3513000,109528000,-2808000,-6182000,35774000,-140944000,4632000.0,-669000.0,,,,229186000,-1989000,5845000,,1259000,,28797000.0,14341000,,,,7994000,,,,
2001-03-31,147205000,,,43131000,6814000,7005000,18510000,-33644000,63634000,16414286.0,1503000,,165715000,-1149000,247000,166981000,123850000,15642000,-1149000,-1149000,2940000,27313000.0,22306000.0,48312000,1266000,0,,,,-1420000,2868000.0,575000,2853000,15322000,13819000,-0.07,7443000,-605000.0,,2853000,2853000,16414286.0,156000.0,,3509000,84397000,,-1149000.0,,,3227000,109018000,-1532000,-1015000,34872000,-145563000,4581000.0,-505000.0,,-0.07,,229960000,-656000,1779000,,-3812000,,0.0,10874000,-309000.0,,,8317000,,,,
2001-06-30,153596000,,,39793000,6488000,6778000,10555000,-39365000,58614000,15462162.0,-1342000,,164151000,-5721000,-13061000,160005000,120212000,7669000,-5721000,-5721000,2962000,18947000.0,20388000.0,46690000,-4146000,0,,,,-2221000,2886000.0,-1112000,3107000,11924000,13266000,-0.37,6794000,1696000.0,,3107000,3107000,15462162.0,156000.0,,2853000,81399000,,-5721000.0,,,3267000,125371000,-2250000,13596000,34283000,-150634000,4530000.0,-2787000.0,,-0.37,,232033000,254000,-10811000,,-11408000,,0.0,9278000,,,,5146000,,,,
2001-09-30,161936000,,,47172000,6056000,6805000,10407000,-42884000,65045000,15300000.0,942000,,172343000,-3519000,1705000,164678000,117506000,7539000,-3519000,-3519000,2969000,23863000.0,25285000.0,51242000,-7665000,-310000,,,,-2543000,2868000.0,-505000,3408000,13803000,12861000,-0.23,8937000,-2174000.0,,3408000,3408000,15300000.0,156000.0,,3107000,78214000,,-3519000.0,,,3956000,124174000,-2234000,-1405000,34813000,-153912000,4479000.0,-178000.0,,-0.23,,232126000,301000,3939000,,1267000,,0.0,13899000,,,,6998000,,,,
2001-12-31,158609000,,,41891000,7276000,8006000,10124000,-44340000,68681000,,2865000,,168733000,-1456000,7579000,159079000,117188000,8134000,-1456000,-1456000,209000,27452000.0,23719000.0,50534000,-9654000,31000,4429000.0,,,-3092000,1990000.0,-609000,3668000,18147000,15282000,,7698000,337000.0,,3668000,3668000,,156000.0,,3408000,74744000,,-1456000.0,,,3712000,120053000,-3126000,-7353000,10649000,-155555000,27366000.0,-3232000.0,,,,230299000,260000,10705000,,4856000,,0.0,11104000,-533000.0,,,10141000,,,,
2002-03-31,40819000,,,37533000,4392000,7160000,122708000,-43757000,61681000,15568362.0,3734000,,163527000,583000,1284000,154456000,116923000,8591000,583000,583000,184000,27835000.0,18957000.0,46395000,-9071000,0,4429000.0,,112127000.0,-2676000,1990000.0,734000,2999000,15286000,11552000,0.04,7874000,-1098000.0,,2999000,2999000,15568362.0,156000.0,,3668000,75064000,,583000.0,,,3885000,5120000,-3622000,-2899000,11199000,-158389000,26231000.0,-93000.0,,0.04,,233453000,-669000,4906000,,832000,,0.0,7864000,-533000.0,,,8126000,,,,
2002-06-30,38521000,,,43990000,4235000,8285000,88487000,-42508000,62044000,15568362.0,3247000,,127008000,994000,3580000,157660000,113670000,7418000,1249000,1249000,2842000,26092000.0,19891000.0,46277000,30652000,0,,,70850000.0,-3118000,2358000.0,745000,2795000,15767000,12520000,0.03,8289000,-2701000.0,,2795000,2795000,15568362.0,623000.0,,2999000,76064000,,2607000.0,1358000.0,,1385000,4265000,-3776000,-4442000,8015000,-161772000,29591000.0,-103000.0,,0.03,,237836000,-204000,7356000,,2583000,,0.0,8164000,-533000.0,,,7482000,,,,
2002-09-30,40626000,,,55420000,3644000,7333000,87603000,-39055000,72933000,61560000.0,7082000,,128229000,3078000,9883000,163453000,108033000,5798000,3453000,3809000,5378000,27723000.0,22466000.0,54272000,35224000,0,,,69704000.0,-2391000,3874000.0,-233000,9694000,18661000,11579000,0.05,7471000,2079000.0,,9694000,9694000,61560000.0,623000.0,,2795000,71868000,,6149000.0,2340000.0,,700000,4352000,-2409000,-3002000,31736000,-149701000,4429000.0,-4136000.0,,0.05,,221569000,6899000,12292000,,3801000,,0.0,8551000,-533000.0,,,11328000,,,,
2002-12-31,47155000,,,56307000,4155000,7518000,79843000,-35377000,70346000,,6843000,,126998000,3314000,5952000,162912000,106605000,7530000,3678000,3695000,1031000,28881000.0,24099000.0,51830000,35914000,0,,,60055000.0,109000,3659000.0,740000,15537000,18516000,11673000,,7006000,1831000.0,,15537000,15537000,,623000.0,,9694000,72954000,,7145000.0,3450000.0,,438000,8372000,-3626000,-3844000,6134000,-153029000,27517000.0,972000.0,,,,225983000,5843000,9578000,,-1173000,,0.0,9902000,-3907000.0,,,10998000,,,,
2003-03-31,46055000,,,51928000,3657000,8520000,73518000,-31958000,68651000,62281670.0,5424000,,119573000,3419000,1505000,158554000,106626000,7343000,3419000,3419000,1063000,28048000.0,20806000.0,51050000,38981000,0,,,54583000.0,-3771000,2637000.0,583000,10863000,17601000,12177000,0.05,10984000,-4578000.0,,10863000,10863000,63665325.0,623000.0,,15537000,73570000,,5515000.0,2096000.0,,492000,8033000,-2679000,-5087000,6010000,-154397000,27046000.0,-84000.0,,0.05,,227967000,-4674000,4184000,,-2081000,,0.0,9974000,-3907000.0,,3000.0,9081000,,,,
2003-06-30,48453000,,,58099000,3623000,8879000,72840000,-28779000,78536000,56760000.0,6001000,,121293000,2838000,5528000,163113000,105014000,7129000,3180000,3180000,1012000,31434000.0,23154000.0,60033000,41820000,0,,,53778000.0,-2208000,2637000.0,-453000,15261000,18503000,12502000,0.05,8917000,524000.0,,15261000,15261000,56760000.0,623000.0,,10863000,73172000,,5129000.0,1949000.0,,419000,7813000,-2197000,-1119000,5798000,-156634000,26044000.0,-92000.0,,0.05,,229806000,4398000,7725000,,677000,,0.0,9206000,-3907000.0,,,9624000,,,,
2003-09-30,48974000,,,63388000,3678000,8570000,71498000,-26050000,80723000,68200000.0,5636000,,120472000,2728000,186000,167464000,104076000,7106000,2728000,2728000,993000,29991000.0,29497000.0,62839000,46992000,0,,,51993000.0,-2900000,3447000.0,-140000,15775000,17884000,12248000,0.04,7560000,2359000.0,,15775000,15775000,68200000.0,630000.0,,15261000,73460000,,4780000.0,2052000.0,,716000,8656000,-2947000,281000,26187000,-158753000,4429000.0,-92000.0,,0.04,,232213000,514000,3133000,,-3484000,,0.0,10327000,-3907000.0,,,9314000,,,,
2003-12-31,41006000,,,72195000,4175000,10002000,78361000,-17186000,96519000,,10203000,,119367000,8660000,9497000,174649000,102454000,25295000,8864000,8864000,1176000,24132000.0,29353000.0,72139000,55282000,597000,,,48188000.0,-3064000,4878000.0,3948000,25383000,24380000,14177000,,7837000,1330000.0,,25383000,25383000,,637000.0,,15775000,73274000,,13413000.0,4549000.0,,738000,7489000,-3763000,-588000,24751000,-161051000,4429000.0,-1754000.0,,,,234325000,9608000,13260000,,298000,,326000.0,9059000,-5176000.0,,695000.0,14378000,,,,
2004-03-31,47882000,,,83312000,3775000,9018000,77007000,-13251000,77724000,63721000.0,6712000,,124889000,3935000,6074000,184186000,100874000,17078000,3935000,3935000,1143000,25082000.0,27700000.0,58219000,59297000,0,,,55051000.0,-1165000,4878000.0,1395000,38161000,19505000,12793000,0.06,7735000,-25000.0,,38161000,38161000,64304000.0,638000.0,,25383000,71994000,,6347000.0,2412000.0,,1760000,5041000,-1514000,6355000,6005000,-162885000,22875000.0,-207000.0,,0.06,,234879000,12778000,7588000,,1445000,,9476000.0,8283000,-5176000.0,,80000.0,10487000,,,,
