date,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyDilutedEPS,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyBasicEPS,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue
1997-09-30,5500000,-3700000,2300000.0,0,0,105600000,-41100000,38600000,-27500000.0,150900000,,,7700000,22100000,105300000,,3500000,-0.36,83500000,-37600000,61300000,119600000,1100000.0,18400000,,330000000,565500000,10100000,,207900000.0,5000000,-0.36,34100000,,0,10100000,7900000.0,105000000,,114722222.0,3200000,-35300000,0,-165500000,-41300000,,70000000,503000000,55000000.0,159200000,111000000.0,,235500000,,,-101800000,,-30300000,,,62500000,,,-161800000.0,,35000000,-900000,339200000.0,114722222.0,39000000,-41100000,,343800000,10600000,4600000.0,,
1997-12-31,7400000,-169900000,5400000.0,-16500000,1100000,87400000,5700000,70100000,-30100000.0,-30300000,,,-7000000,34800000,64800000,,5500000,,88700000,11200000,7900000,130200000,600000.0,-135100000,,339000000,552100000,3100000,,180200000.0,6600000,,33100000,,0,3100000,8100000.0,151800000,,,3400000,33100000,0,-11000000,5500000,,97900000,481700000,-46700000.0,170700000,118800000.0,,213100000,,,-96100000,,39700000,,,70400000,,,158900000.0,,53900000,1400000,305300000.0,,50300000,5700000,,311000000,11600000,5700000.0,,
1998-03-31,8900000,-5000000,5100000.0,-16500000,0,79500000,200000,68400000,-33500000.0,-9400000,,,-500000,15400000,65000000,,4400000,0.0,89600000,4600000,8400000,129300000,1500000.0,10400000,,336900000,549800000,2600000,,178900000.0,6600000,0.0,40800000,,3100000,2600000,8300000.0,138700000,,119180000.0,-6600000,26100000,0,-6800000,0,,91100000,477600000,-1400000.0,179000000,123100000.0,,212900000,,,-95900000,,32700000,,,72200000,,,-1800000.0,,47600000,-8700000,293000000.0,119180000.0,50000000,200000,,298600000,16400000,5600000.0,,
1998-06-30,7300000,-6600000,4900000.0,-100000,0,81500000,20100000,68000000,-37300000.0,-13700000,,,-1000000,20400000,67300000,,6000000,0.15,89600000,26100000,8200000,131300000,1500000.0,13800000,,338300000,550600000,1600000,,180700000.0,7100000,0.17,33400000,,0,1600000,8600000.0,149300000,,117058824.0,-7100000,31100000,0,-7700000,19900000,,98400000,457000000,200000.0,172000000,126900000.0,,212300000,,,-75700000,,38200000,,,93600000,,,-1100000.0,,50900000,-2500000,279400000.0,132666667.0,52000000,20100000,,285000000,16800000,5600000.0,,
1998-09-30,7100000,-2400000,4400000.0,0,0,82900000,22000000,62800000,-41600000.0,-25900000,,,1900000,32600000,65200000,,7300000,0.17,88600000,29300000,8500000,135900000,1400000.0,30200000,,330400000,554300000,3600000,,179000000.0,7400000,0.18,34900000,,0,3600000,8800000.0,151800000,,121111111.0,2000000,33700000,0,-3600000,21800000,,98900000,437600000,,177900000,130200000.0,,223900000,,,-53800000,,41100000,,,116700000,,,-1200000.0,,52900000,0,252200000.0,128235294.0,49300000,22000000,,259700000,17600000,7500000.0,,
1998-12-31,4300000,-4200000,3900000.0,0,0,80300000,32100000,59600000,-45400000.0,-34600000,,,2000000,41800000,71600000,,9400000,,89000000,41500000,9300000,144800000,2200000.0,37600000,,326100000,577700000,5500000,,177500000.0,7300000,,36500000,,0,5500000,9100000.0,179000000,,,5000000,45500000,0,-5500000,31800000,,117100000,418500000,,185600000,134400000.0,,251600000,,,-21700000,,52800000,,,159200000,,,-1300000.0,,61900000,3000000,218300000.0,,55000000,32100000,,232900000,29000000,14600000.0,,
1999-03-31,6000000,-4600000,3000000.0,-100000,0,77500000,23000000,59600000,-48500000.0,-32500000,,,-3700000,35100000,70200000,,8500000,0.18,88600000,31500000,8700000,137200000,3400000.0,30500000,,323500000,555900000,1800000,,175300000.0,7000000,0.19,36300000,,5500000,1800000,9300000.0,160400000,,120000000.0,5100000,34600000,0,-5800000,22800000,,104800000,369200000,-100000.0,179500000,137100000.0,,232400000,,,1300000,,41600000,,,186700000,,,-1200000.0,,55600000,900000,180600000.0,126666667.0,54500000,23000000,,189700000,29400000,9100000.0,,
1999-06-30,5600000,-4200000,2400000.0,-100000,0,80200000,28900000,60100000,-49900000.0,-35100000,,,200000,40800000,70800000,,10700000,0.22,89100000,39600000,9000000,137200000,1500000.0,36600000,,322800000,557300000,2000000,,173600000.0,6300000,0.24,37700000,,0,2000000,9500000.0,172300000,,119583333.0,-3900000,42100000,0,-5300000,28700000,,112900000,331300000,,180500000,139000000.0,,234500000,,,30200000,,48400000,,,226000000,,,-1100000.0,,59400000,-3700000,144400000.0,130454545.0,55500000,28900000,,150800000,29800000,6400000.0,,
1999-09-30,3800000,-4100000,1800000.0,0,100000,86700000,29000000,58700000,-54100000.0,-27900000,,,2300000,34600000,72600000,,10700000,0.22,90200000,39700000,8600000,136900000,5200000.0,30500000,,322300000,575900000,4300000,,173400000.0,6900000,0.24,37800000,-2000000.0,0,4300000,10400000.0,171100000,,120000000.0,-11300000,41500000,4300000,-4500000,28800000,,114100000,305100000,,178500000,144300000.0,,253600000,,,58700000,,48400000,,,270800000,,,-400000.0,,57000000,-3800000,113000000.0,130909091.0,57100000,29000000,,126600000,31400000,13600000.0,,
1999-12-31,14200000,-8900000,1700000.0,-100000,-200000,80400000,41400000,74600000,-56400000.0,-30100000,,,-500000,39700000,78700000,,15300000,,91800000,56700000,9800000,148800000,1100000.0,30800000,,337100000,584400000,3800000,,170700000.0,9400000,,34800000,-4000000.0,4300000,3800000,600000.0,200700000,,,-5200000,58500000,3800000,-10100000,40900000,,137200000,292200000,300000.0,197800000,148200000.0,,247300000,,,100000000,,67900000,,,292200000,,,-1200000.0,,63500000,5100000,81100000.0,,59500000,41400000,,94400000,13800000,13300000.0,,
2000-03-31,14954000,-6456000,701000.0,0,0,87305000,30319000,75310000,-59664000.0,-29182000,,,-1577000,35236000,78473000,,10640000,0.225,93516000,40959000,10362000,151666000,8833000.0,28780000,,337938000,592375000,2226000,,169112000.0,7716000,0.24,41364000,-4218000.0,3803000,2226000,633000.0,180641000,,125602000.0,-2854000,41660000,2226000,-7457000,30319000,,120133000,261322000,,207984000,153180000.0,,254437000,,,130360000,,49376000,,,331053000,,,-1001000.0,,60508000,-8133000,42300000.0,135184000.0,60395000,30319000,,53338000,16890000,11038000.0,,
2000-06-30,10527000,-6689000,343000.0,0,0,82978000,37255000,75154000,-56412000.0,-39904000,,,235000,48738000,78212000,,13102000,0.275,95249000,50357000,10557000,150434000,3908000.0,42049000,,337717000,590990000,2461000,,167314000.0,6595000,0.295,38485000,-8294000.0,2226000,2461000,639000.0,195276000,,126914000.0,1419000,50700000,2461000,-8046000,37255000,,128912000,212962000,,199446000,151661000.0,,253273000,,,167615000,,57295000,,,378028000,150227000.0,,-1357000.0,,66364000,3018000,2915000.0,136222000.0,61060000,37255000,,13516000,17607000,10601000.0,,
2000-09-30,3910000,-9825000,,0,0,86093000,38242000,90762000,-64346000.0,9537000,,,20735000,31572000,78261000,,13435000,0.28,99004000,51677000,10394000,156871000,5559000.0,21747000,,357221000,649412000,23196000,,167455000.0,8155000,0.3,42080000,-8066000.0,2461000,23196000,1291000.0,194073000,,128485000.0,-26567000,51355000,23196000,-20488000,38242000,,129616000,222142000,,202861000,163350000.0,,292191000,,,205857000,,59510000,,,427270000,,,-8954000.0,,64457000,-5909000,13510000.0,137430000.0,59712000,38242000,,19281000,18013000,5771000.0,,
2000-12-31,4879000,-12398000,,-10771000,0,87275000,39526000,80486000,-68357000.0,8174000,,,52313000,60040000,83394000,,17672000,,102608000,67969000,11200000,172344000,5513000.0,47642000,,348549000,692345000,75509000,,165455000.0,6971000,,43310000,-8161000.0,23196000,75509000,1298000.0,225081000,,,18657000,67112000,75509000,-15696000,39526000,,150506000,240564000,,220533000,170965000.0,,343796000,,,245383000,,74083000,,,451781000,,,11926000.0,,74575000,569000,,,65223000,50297000,,20031000,13299000,,,
2001-03-31,2277000,-9554000,,7871000,0,96210000,38400000,78116000,-72347000.0,1347000,,45913000.0,13683000,24570000,86564000,,12127000,0.28,104700000,50527000,11038000,59104000,3949000.0,15016000,,346059000,718050000,89192000,,163243000.0,7871000,0.3,37079000,-14867000.0,75509000,89192000,1304000.0,202518000,,130166000.0,-25193000,50527000,89192000,-10831000,38400000,,137091000,225909000,,206894000,177047000.0,,371991000,,-1225000.0,283783000,,60146000,,,492141000,166226000.0,,-1277000.0,62521000.0,65427000,-11021000,,137933000.0,65907000,38400000,,19015000,20363000,,,
2001-06-30,2179000,-13353000,,0,0,107478000,39313000,80323000,-76170000.0,9025000,,44881000.0,45322000,53538000,80681000,,12415000,0.29,109873000,51728000,11741000,58462000,2597000.0,40185000,,354953000,776122000,134514000,,164757000.0,7896000,0.3,47415000,-17608000.0,89192000,134514000,1308000.0,206803000,,130564000.0,10134000,50577000,134514000,-15933000,39313000,,131258000,248348000,,228443000,186043000.0,,421169000,,-269000.0,323096000,,58473000,,,527774000,162315000.0,,0.0,75506000.0,75545000,-13109000,,137564000.0,67169000,39313000,,19905000,16862000,,,
2001-09-30,1124000,-11051000,,0,6526000,115043000,38246000,81283000,-82364000.0,-521000,,45026000.0,29716000,41796000,80462000,,12077000,0.28,114292000,50323000,11794000,58172000,534000.0,30745000,,360192000,825047000,164230000,,164617000.0,8643000,0.29,44410000,-8601000.0,134514000,164230000,1308000.0,202694000,,130752000.0,-4335000,49112000,164230000,-13051000,38246000,,129574000,249779000,,230599000,196656000.0,,464855000,,-465000.0,361342000,,57755000,,,575268000,166780000.0,,-2000000.0,81867000.0,73120000,-3824000,,136704000.0,66913000,38246000,,19180000,18802000,,,
2001-12-31,1140000,-8450000,,-7066000,-6526000,102718000,-1416000,86481000,-86421000.0,2231000,,46014000.0,62568000,69246000,158613000,,-3736000,,114207000,-5152000,12029000,46469000,1938000.0,60796000,,364167000,886911000,226798000,,,9541000,,35979000,-12397000.0,164230000,226798000,1309000.0,248679000,,,45568000,797000,226798000,-8450000,-1416000,,159410000,305166000,,281006000,200628000.0,,522744000,,3800000.0,359926000,,10338000,,,581745000,182164000.0,163479000.0,0.0,151404000.0,89269000,12023000,,,69717000,-1416000,,24160000,11064000,,,
2002-03-31,1614000,-10357000,,-2800000,-779000,109731000,35240000,106436000,-91844000.0,4186000,,53875000.0,23963000,53267000,84666000,,10381000,0.26,114903000,45621000,12280000,47075000,4019000.0,42910000,,387921000,930799000,250761000,,,9354000,0.27,44624000,-17693000.0,226798000,250761000,1313000.0,200341000,,131029000.0,8652000,44243000,250761000,-30708000,35240000,,128909000,315091000,,290311000,206747000.0,,542878000,,-237000.0,395166000,,53597000,,,615708000,168014000.0,166582000.0,-14500000.0,143123000.0,71432000,-8905000,,137188000.0,68671000,35240000,,24780000,14372000,,,
2002-06-30,910000,-9696000,,116000,779000,119341000,37901000,94298000,-94298000.0,2146000,,51625000.0,55647000,54430000,93606000,,11321000,0.28,116452000,49222000,12643000,49601000,4197000.0,44734000,,379442000,998228000,306408000,,,9637000,0.29,42863000,2731000.0,250761000,306408000,1319000.0,217192000,,131510000.0,-6434000,47606000,306408000,-9696000,37901000,,141212000,318823000,,292073000,210750000.0,,618786000,,-568000.0,428371000,,57243000,,,679405000,179990000.0,168692000.0,0.0,98276000.0,75980000,-5959000,,136778000.0,80041000,37901000,,26750000,13047000,,,
2002-09-30,1141000,-7348000,,0,-70200000,125300000,39023000,93873000,-105632000.0,-122893000,,55097000.0,-70618000,56050000,92118000,,11656000,0.29,116108000,50679000,13576000,47200000,772000.0,48702000,,378819000,989572000,235790000,,168838000.0,8781000,0.3,40878000,4938000.0,306408000,235790000,1320000.0,216045000,,130788000.0,7202000,49018000,235790000,-7348000,39023000,,141136000,322440000,,296949000,221740000.0,,610753000,,10000.0,467394000,,57799000,,,667132000,167594000.0,,0.0,152633000.0,74909000,-4726000,,135483000.0,77682000,39023000,,25491000,12696000,,,
2002-12-31,2665000,-10564000,,-21062000,18006000,111557000,40244000,27834000,-112135000.0,-22128000,,48508000.0,27522000,55899000,42047000,,9892000,,119013000,50136000,13424000,50062000,2288000.0,45335000,,374491000,1010947000,263312000,,227644000.0,9422000,,45199000,4443000.0,235790000,263312000,1322000.0,256389000,,,-4979000,63195000,263312000,-10564000,40244000,,105242000,345637000,,320215000,231148000.0,,636456000,,39000.0,507638000,-45021000.0,72617000,,,665310000,198302000.0,,0.0,173781000.0,151147000,15015000,,,20175000,40244000,,25422000,13341000,,,
2003-03-31,96057000,-9967000,1071000.0,-7745000,0,124853000,33977000,26681000,-116188000.0,-4727000,,58814000.0,8260000,44784000,82730000,,9692000,0.26,104517000,43669000,13560000,50545000,1926000.0,34817000,,381121000,1039341000,271572000,,249923000.0,8982000,0.27,46031000,2828000.0,263312000,271572000,1324000.0,220999000,,126308000.0,-2626000,44058000,271572000,-28147000,33977000,,126788000,439950000,,413394000,220705000.0,,658220000,,449000.0,541615000,-100564000.0,53040000,,,599391000,197489000.0,,0.0,161947000.0,94211000,-2260000,,130785000.0,61611000,33977000,,26556000,15309000,,,
2003-06-30,115838000,-10208000,255000.0,0,-3185000,122930000,42098000,30729000,-120122000.0,-43522000,,59965000.0,11471000,5143000,83496000,,12574000,0.33,107670000,54672000,13790000,50157000,7310000.0,-5065000,,392667000,1009443000,283043000,,254268000.0,8842000,0.34,43702000,17805000.0,271572000,283043000,1335000.0,231752000,,123610000.0,-53166000,52768000,283043000,40236000,42098000,,136264000,404402000,,376015000,227792000.0,,616776000,,215000.0,583713000,-66909000.0,61610000,,,605041000,192346000.0,,49944000.0,106353000.0,95488000,5733000,,128252000.0,68679000,42098000,,28387000,18457000,,,
2003-09-30,181110000,-6813000,,-5025000,3185000,126150000,36414000,36205000,-124843000.0,-12041000,,57662000.0,5077000,41436000,83028000,,12419000,0.29,106780000,48833000,15106000,41190000,7073000.0,34623000,,407341000,1032167000,288120000,,264356000.0,7384000,0.3,43321000,18557000.0,283043000,288120000,1350000.0,230381000,,122240000.0,-9516000,52308000,288120000,-23154000,36414000,,135336000,467222000,,437888000,231623000.0,,624826000,,-1732000.0,620127000,-84335000.0,59692000,,,564945000,194545000.0,,1183000.0,114605000.0,95045000,-1500000,23332000.0,126709000.0,66743000,36414000,,29334000,16011000,6002000.0,,
2003-12-31,121309000,-7598000,,-929000,-5273000,128810000,58402000,38580000,-131404000.0,-3350000,,55923000.0,68661000,65642000,91013000,,18110000,,108162000,-2923488000,16786000,40887000,11515000.0,58044000,,415462000,1130861000,356781000,,268720000.0,8640000,,43884000,45409000.0,288120000,356781000,1367000.0,275073000,,,-6093000,70956000,356781000,-7598000,58402000,,161969000,540384000,,378521000,239566000.0,,715399000,,-4858000.0,678529000,-72770000.0,79596000,,,590477000,214260000.0,,-1183000.0,116518000.0,113104000,1655000,125000000.0,,67219000,58402000,,161863000,15548000,36863000.0,,
2004-03-31,235429000,-8752000,1873000.0,-7951000,0,132402000,40845000,40448000,-136518000.0,40566000,,70799000.0,51824000,55588000,96699000,,10195000,0.33,109038000,51040000,16071000,47590000,11765000.0,46836000,,465284000,1244531000,408605000,,315798000.0,9713000,0.34,41658000,51976000.0,356781000,408605000,1374000.0,255086000,,120180000.0,1063000,50913000,408605000,-50219000,40845000,,147612000,671563000,,511924000,245556000.0,,779247000,,-654000.0,719374000,-80593000.0,60626000,,,572968000,222500000.0,,0.0,116448000.0,107474000,-3159000,120000000.0,123987000.0,71427000,40845000,,159639000,15740000,39639000.0,,
2004-06-30,294496000,-27194000,1891000.0,17124000,0,132784000,59751000,36925000,-140960000.0,-29751000,,70775000.0,11374000,72555000,75406000,,20146000,0.49,126837000,79897000,15694000,45600000,9812000.0,45361000,,478459000,1270877000,419979000,,314697000.0,9725000,0.5,40940000,43184000.0,408605000,419979000,1384000.0,260488000,,118691000.0,-11527000,78902000,419979000,-27194000,59751000,,154308000,718948000,,563376000,267797000.0,,792418000,,595000.0,779125000,-94403000.0,88627000,,,551929000,221951000.0,,0.0,111565000.0,106180000,-3385000,115000000.0,122820000.0,75840000,59751000,,155572000,17704000,40572000.0,,
2004-09-30,282697000,-11435000,2564000.0,158000,882000,140961000,51940000,36899000,-144575000.0,304000,,66514000.0,51192000,62822000,90196000,,12266000,0.42,129111000,64206000,17001000,40973000,17268000.0,51387000,,476061000,1333470000,471171000,,310051000.0,10607000,0.43,50067000,45525000.0,419979000,471171000,1411000.0,264808000,,119519000.0,-11832000,63603000,471171000,-12337000,51940000,,153799000,699701000,,548888000,273686000.0,,857409000,,-65000.0,831065000,0.0,74210000,,,633769000,228322000.0,,0.0,108637000.0,111009000,-9396000,110000000.0,122597000.0,71967000,51940000,,150813000,16955000,40813000.0,,
2004-12-31,206663000,-18855000,3745000.0,-5011000,-3424000,139900000,71517000,36848000,-151462000.0,10388000,,66783000.0,67906000,68484000,102624000,,19011000,,135908000,90528000,16475000,52116000,6137000.0,49629000,,486542000,1460426000,539077000,,313786000.0,11881000,,46180000,63627000.0,471171000,539077000,1414000.0,324154000,,,-31406000,91386000,539077000,-18855000,71517000,,194010000,781740000,,492990000,287370000.0,,973884000,,1592000.0,902582000,-56291000.0,103267000,,,678686000,271731000.0,,0.0,121248000.0,130144000,4365000,250000000.0,,80916000,71517000,,288750000,23176000,38750000.0,,
