date,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyCurrentDebt,quarterlyGoodwill,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyOtherIntangibleAssets,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyPurchaseOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyGrossPPE,quarterlyStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyGrossProfit,quarterlyResearchAndDevelopment,quarterlyOperatingExpense,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyOtherIncomeExpense,quarterlyChangeInAccountPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentAssets,quarterlyEbitda,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2014-09-30,-123525000,2847251000.0,41379000,126372000,152098000,8530000.0,7773401000.0,-58031000.0,5293825000.0,,,33307000,22485000.0,18409000,-802015000.0,187601000.0,187601000,-70553000.0,-497607000,751774000.0,126372000,21462000,0.88,11780000.0,584000.0,2121502000.0,0.89,0.0,5917540000.0,1575416000.0,311126000,1414000.0,-1613636000.0,5855241000.0,144166601.0,223882000.0,6628000.0,-82069000,332703000.0,-19917000.0,159899000.0,0.0,2079712000.0,179119000,141211580.0,159899000,,,-1000.0,4840000.0,13491000,,7801000.0,237284000.0,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,25384000,2913209000.0,86559000,54230000,50928000,10455000.0,8093690000.0,-25296000.0,5734002000.0,,,31892000,15114000.0,33338000,-397883000.0,212985000.0,212985000,-49484000.0,-435887000,748609000.0,54230000,67652000,,52505000.0,2349000.0,1253907000.0,,0.0,6243765000.0,1596089000.0,187601000,1414000.0,-1259088000.0,-446733000.0,,38594000.0,28319000.0,86918000,374712000.0,-18907000.0,44402000.0,306000.0,2463163000.0,85186000,,44402000,,,125000.0,-7371000.0,44486000,,-6526000.0,237769000.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,246349000,2999418000.0,-18591000,35975000,41798000,11320000.0,7467622000.0,-13426000.0,5570372000.0,,,33979000,13414000.0,12253000,-396125000.0,459334000.0,459334000,-53745000.0,1119469000,751773000.0,35975000,-42422000,0.25,44777000.0,47000.0,1779598000.0,0.25,,5653208000.0,1567515000.0,212985000,1414000.0,-1765294000.0,847202000.0,144911309.0,219584000.0,19825000.0,51011000,-854529000.0,-23831000.0,38371000.0,,2324915000.0,52437000,141434905.0,38371000,,,0.0,-3007000.0,-51097000,,-3427000.0,217689000.0,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,-27327000,7883061000.0,535866000,75119000,79277000,1018041000.0,14394798000.0,-61576000.0,10090361000.0,,,81871000,,23630000,-2677838000.0,432007000.0,432007000,-53745000.0,-700042000,1720534000.0,75119000,430599000,0.37,134319000.0,7449000.0,4794377000.0,0.37,,11299716000.0,2863430000.0,459334000,2304000.0,-4544328000.0,4446983000.0,205169099.0,829923000.0,17231000.0,66955000,136849000.0,-105267000.0,93583000.0,,1907961000.0,121177000,200910040.0,93583000,,,300000.0,14348000.0,147355000,,14306000.0,203287000.0,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,-83695000,7245200000.0,-155164000,54525000,61755000,2067180000.0,15356218000.0,-23697000.0,9928504000.0,,,77558000,,21374000,-2371418000.0,348312000.0,348312000,-89521000.0,-536621000,1673008000.0,54525000,-157554000,0.24,133426000.0,1883000.0,5034143000.0,0.24,0.0,12330147000.0,2806533000.0,432007000,2304000.0,-4342660000.0,-6106973000.0,231215235.0,1093669000.0,11711000.0,-208900000,608090000.0,-2390000.0,55823000.0,67000.0,2428729000.0,67510000,230455568.0,55823000,0.0,,0.0,-5456000.0,-7678000,,-5932000.0,151838000.0,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,-98376000,7249568000.0,-41348000,102980000,99052000,1575444000.0,15192722000.0,-32063000.0,9928675000.0,,,80605000,,20622000,-1841479000.0,249936000.0,249936000,-106012000.0,-195548000,1798738000.0,102980000,-161987000,,58046000.0,1573000.0,4353068000.0,,68000.0,12206142000.0,2795933000.0,348312000,2304000.0,-4299406000.0,-4313091000.0,,762590000.0,3936000.0,-155946000,138520000.0,-120639000.0,83104000.0,0.0,2501881000.0,123248000,,83104000,-1103000.0,,150000.0,-12518000.0,67025000,,-15948000.0,148800000.0,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,8686000,8870851000.0,169353000,111736000,115938000,1547447000.0,17571777000.0,-16650000.0,10442794000.0,,,81228000,,13277000,-1894548000.0,258622000.0,258622000,-106017000.0,221899000,1756905000.0,111736000,167331000,0.48,19988000.0,2180000.0,4235896000.0,0.48,0.0,14492781000.0,2784804000.0,249936000,2304000.0,-3845993000.0,-207346000.0,230538712.0,1488817000.0,-12912000.0,76306000,-382566000.0,-2022000.0,105715000.0,0.0,3441790000.0,121412000,230471202.0,105715000,-49943000.0,,,-10681000.0,15943000,,-10223000.0,154519000.0,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,-24777000,8295331000.0,173516000,68652000,93627000,1617680000.0,17905148000.0,-48935000.0,11067931000.0,,,100685000,,12153000,-2579619000.0,233845000.0,233845000,-106017000.0,-127804000,1674563000.0,68652000,173516000,0.3,129013000.0,2496000.0,4489599000.0,0.3,0.0,14791887000.0,2811440000.0,258622000,2304000.0,-3973005000.0,-775350000.0,230839753.0,1684303000.0,50799000.0,38607000,-70489000.0,-406000.0,98326000.0,0.0,4554657000.0,129254000,230478390.0,101145000,0.0,,,6550000.0,41869000,,7518000.0,117144000.0,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,154829000,7833209000.0,181130000,98908000,131086000,1602478000.0,17704382000.0,-28441000.0,11034611000.0,,,96488000,,15852000,-2312241000.0,388674000.0,388674000,-106026000.0,-17778000,1599956000.0,98908000,181130000,0.41,93456000.0,3678000.0,4311986000.0,0.41,-825000.0,14286871000.0,3128350000.0,233845000,2507000.0,-3773996000.0,-560257000.0,241099381.0,1356963000.0,105381000.0,-48822000,-8522000.0,-1334000.0,151986000.0,279600000.0,4991242000.0,188710000,240601691.0,151986000,0.0,,0.0,17129000.0,157267000,,20900000.0,100697000.0,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,-29679000,7990605000.0,36797000,225157000,242065000,1761661000.0,18365035000.0,-45547000.0,10780451000.0,,,95023000,,39485000,-4057324000.0,290602000.0,453697000,-115354000.0,-258900000,2253726000.0,225157000,-489980000,,170950000.0,2314000.0,4092178000.0,,0.0,14896858000.0,3260100000.0,388674000,2507000.0,-3682114000.0,-7065107000.0,,1449407000.0,126363000.0,-179064000,192423000.0,-526777000.0,262781000.0,0.0,5073858000.0,339521000,,262781000,-5580000.0,,0.0,21848000.0,39120000,,20716000.0,210500000.0,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,-58767000,7557578000.0,-378842000,121378000,137158000,1956998000.0,20029987000.0,-29639000.0,10975915000.0,,,98229000,,24287000,-2653967000.0,236557000.0,394930000,-115356000.0,-1013879000,3250003000.0,121378000,-1382492000,0.42,276098000.0,4517000.0,4007531000.0,0.42,-936000.0,15728227000.0,4102112000.0,453697000,3073000.0,-3302794000.0,-1003650000.0,288241188.0,1573725000.0,159120000.0,-442542000,1333954000.0,-1003650000.0,142754000.0,835465000.0,5938743000.0,190664000,286600324.0,142754000,0.0,,243000.0,3418000.0,-41427000,,5596000.0,184358000.0,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,322430000,7787782000.0,35372000,321732000,337403000,2756696000.0,23000015000.0,-21996000.0,12260027000.0,,,115157000,,56214000,-2293248000.0,560016000.0,717360000,-147518000.0,-1761980000,3354102000.0,321732000,-138636000,1.04,299787000.0,2688000.0,3429935000.0,1.05,0.0,18381057000.0,4424804000.0,394930000,3074000.0,-3039067000.0,-174008000.0,309392512.0,1980179000.0,313300000.0,-180479000,2049038000.0,-174008000.0,420247000.0,0.0,7423273000.0,503424000,307344874.0,420247000,0.0,,455000.0,82188000.0,38476000,,82844000.0,352414000.0,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,-285553000,7236967000.0,-274347000,226121000,239721000,1918296000.0,21404833000.0,-91356000.0,10780548000.0,,,125278000,,39410000,-2376297000.0,279760000.0,431807000,-153678000.0,1206236000,3664086000.0,226121000,-682752000,0.73,331243000.0,4553000.0,3395880000.0,0.74,0.0,16725629000.0,4571612000.0,717360000,3074000.0,-2986276000.0,-408405000.0,309207345.0,1249986000.0,383312000.0,-385672000,-1217442000.0,-408405000.0,272334000.0,0.0,6714846000.0,345144000,307361309.0,272334000,0.0,,1000.0,28410000.0,40096000,,32613000.0,424854000.0,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,14243000,7084391000.0,-281901000,288302000,300370000,1178344000.0,22213562000.0,-14611000.0,12117778000.0,,,122201000,19218000.0,28621000,-1648011000.0,295798000.0,446050000,-153680000.0,-207956000,3679710000.0,288302000,-357446000,,239114000.0,0.0,2948967000.0,,0.0,17417400000.0,4690205000.0,431807000,3074000.0,-2842732000.0,-75545000.0,,1296305000.0,364467000.0,-439014000,504100000.0,-75545000.0,346945000.0,0.0,8071140000.0,395079000,,346945000,0.0,,0.0,54502000.0,-32313000,,46575000.0,559476000.0,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,-33129000,7031021000.0,513659000,604253000,614364000,1218900000.0,22011941000.0,-25868000.0,8565718000.0,,,124387000,10162000.0,34596000,-2556961000.0,233233000.0,412921000,-153681000.0,216242000,4696998000.0,604253000,142494000,1.81,268269000.0,0.0,797341000.0,1.83,-442000.0,16250254000.0,5663936000.0,446050000,3362000.0,-853672000.0,-371165000.0,333380436.0,1263654000.0,419340000.0,123424000,-763030000.0,-371165000.0,,482696000.0,7585323000.0,666106000,330384856.0,607452000,,,420000.0,-9056000.0,126535000,,-6912000.0,995661000.0,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,-58244000,6707776000.0,-316883000,174758000,185836000,1262478000.0,22943731000.0,-22203000.0,8952424000.0,,,133916000,8403000.0,47307000,-2496591000.0,193236000.0,354677000,-168068000.0,-271904000,4791378000.0,174758000,-574559000,0.51,284050000.0,,598398000.0,0.52,0.0,17144807000.0,5708793000.0,412921000,3399000.0,-459619000.0,-257676000.0,339538503.0,1323904000.0,458771000.0,-738149000,530543000.0,-257676000.0,,0.0,8084927000.0,237111000,336311253.0,183228000,,,599000.0,-1759000.0,217888000,,-2608000.0,1000488000.0,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,131220000,7254946000.0,-272537000,184608000,195477000,3642502000.0,30090769000.0,-17836000.0,12474069000.0,,48921000.0,162806000,3910000.0,122435000,-2458932000.0,330148000.0,485897000,-169931000.0,-4968791000,5179384000.0,184608000,-614775000,0.54,462161000.0,,536705000.0,0.54,-239000.0,24253721000.0,5743320000.0,354677000,3404000.0,-477344000.0,-342238000.0,340868403.0,2012851000.0,468952000.0,-541873000,5372548000.0,-342238000.0,,9589000.0,11650257000.0,346336000,340044440.0,199040000,,,0.0,-1865000.0,74486000,,3563000.0,1014919000.0,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,-70819000,7102266000.0,-1153353000,348000,8854000,4202037000.0,31691013000.0,-11312000.0,12454528000.0,,24645000.0,185324000,,122141000,-2380175000.0,251058000.0,415078000,-170179000.0,-146637000,5143136000.0,348000,-1376741000,,,,559160000.0,,-406000.0,25602718000.0,5997670000.0,485897000,3692000.0,-515408000.0,-223388000.0,,2268710000.0,417023000.0,-1062965000,1229171000.0,-223388000.0,,490864000.0,11636581000.0,96688000,,-58620000,-4900000.0,,1000.0,-67374000.0,-32369000,,-67474000.0,830713000.0,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,93961000,6952102000.0,-300393000,145594000,155912000,7368757000.0,33409568000.0,-11130000.0,10529891000.0,,24645000.0,212832000,,111898000,-153310000.0,340911000.0,509039000,-184552000.0,-2752933000,5333528000.0,145594000,-573089000,0.37,521078000.0,,517209000.0,0.37,-11015000.0,26497359000.0,6822281000.0,415078000,4155000.0,-483772000.0,-272696000.0,388601075.0,407867000.0,551696000.0,-478169000,3147287000.0,-272696000.0,,0.0,9747450000.0,319512000,388279931.0,201909000,,17975000.0,400000.0,46331000.0,12420000,17975000.0,45997000.0,768592000.0,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,56150000,7297765000.0,-2482790000,-31943000,-25020000,5757427000.0,36792375000.0,-17563000.0,12866166000.0,,24645000.0,228004000,,118906000,-4387395000.0,476038000.0,565189000,-207715000.0,-724135000,5481217000.0,-31943000,-2985967000,-0.08,571292000.0,,318355000.0,-0.08,10191000.0,29991545000.0,6717965000.0,509039000,4156000.0,-381578000.0,-503177000.0,415665460.0,541797000.0,686694000.0,-2244206000,3263075000.0,-503177000.0,,752217000.0,12125826000.0,89817000,415463757.0,-46597000,,20123000.0,655000.0,-21598000.0,-150510000,20123000.0,-21577000.0,528889000.0,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,336178000,7405872000.0,466825000,229922000,244660000,4902305000.0,41347925000.0,-18904000.0,17582744000.0,,41986000.0,245902000,,169820000,-2765836000.0,808219000.0,901367000,-207760000.0,-1773865000,5792898000.0,224584000,-122635000,0.54,820291000.0,,358310000.0,0.54,,34085808000.0,7178465000.0,565189000,427600000.0,-389956000.0,,415588238.0,2850608000.0,706926000.0,264549000,1643218000.0,-589460000.0,,0.0,16853910000.0,426423000,415520780.0,239220000,,18773000.0,0.0,-6653000.0,209909000,18773000.0,-5440000.0,545713000.0,,,,,,,,,,,,,,,,,,,,,,,
