date,quarterlyOtherCurrentAssets,quarterlyDilutedEPS,quarterlyChangeInInventory,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAssets,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyTotalNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyDilutedAverageShares,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2008-03-31,522000.0,0.07,9578000.0,,,,150259000.0,312000.0,-17406000.0,9230000.0,58315000,70389000,0.0,623883000.0,-96741000.0,,255709000.0,736000,,8012000.0,,24047000,9660000.0,-710000.0,2797000,,87880000.0,360623000,32618000.0,150720000.0,-31347000.0,383061000.0,-7597000.0,352450000.0,12074000,1420893000.0,584026000.0,1037832000.0,0.0,,31308000.0,290234000,,-6475000.0,81299000.0,34142000.0,646290000.0,54828000,0.07,584738000.0,2061000,2061000,31204000.0,2061000,-7623000.0,28122000.0,2755000.0,-1566000,285729000.0,461000.0,2755000.0,2755000.0,11973000.0,,7731000.0,797010000.0,194487000.0,0.0,25021000.0,0.0,,,,,,,
2008-06-30,4818000.0,0.26,10598000.0,,,,141473000.0,312000.0,-13466000.0,2755000.0,49164000,68629000,598000.0,638784000.0,-96741000.0,,265660000.0,3591000,,2566000.0,,31504000,-3734000.0,4674000.0,11883000,,96019000.0,367369000,23297000.0,141896000.0,-1250000.0,386424000.0,-22086000.0,362401000.0,19465000,1430373000.0,588008000.0,1043949000.0,0.0,,31341000.0,298740000,,908000.0,87235000.0,33920000.0,649693000.0,45636000,0.27,585869000.0,8292000,8292000,31209000.0,8292000,-21121000.0,27765000.0,3663000.0,-108000,275661000.0,423000.0,3663000.0,3663000.0,12039000.0,,7561000.0,791589000.0,192420000.0,0.0,1211000.0,287000.0,,,,,,,
2008-09-30,4506000.0,0.35,-13641000.0,,,,176064000.0,315000.0,-19996000.0,3663000.0,49072000,73160000,4202000.0,651540000.0,-96741000.0,,266423000.0,4733000,,3185000.0,3778000.0,35582000,6171000.0,3201000.0,15813000,,107099000.0,374576000,36777000.0,176434000.0,-32573000.0,404721000.0,-11116000.0,363164000.0,24088000,1439755000.0,551474000.0,1035034000.0,0.0,,31514000.0,301416000,,-1789000.0,92594000.0,29307000.0,611781000.0,45019000,0.35,583264000.0,11080000,11080000,31397000.0,11080000,-5847000.0,31000000.0,1874000.0,-2504000,288287000.0,370000.0,1874000.0,1874000.0,11494000.0,,6493000.0,788215000.0,185347000.0,0.0,25661000.0,225000.0,,,,,,,
2008-12-31,4081000.0,,36861000.0,,,,,315000.0,-63394000.0,1874000.0,48348000,79846000,7247000.0,620131000.0,-119935000.0,,270664000.0,1835000,,-7635000.0,,21790000,50331000.0,-1851000.0,8962000,,113948000.0,398082000,82944000.0,188270000.0,-74556000.0,356479000.0,-14672000.0,390599000.0,31498000,1355682000.0,475233000.0,999203000.0,0.0,,,318236000,,813000.0,,44563000.0,547281000.0,43839000,,560874000.0,6791000,7127000,,6791000,-7248000.0,27485000.0,2687000.0,-4135000,245790000.0,475000.0,2687000.0,2687000.0,10348000.0,,5829000.0,735551000.0,167665000.0,0.0,68272000.0,52000.0,,,,,,,
2009-03-31,4081000.0,0.39,-10124000.0,,,,,315000.0,-67663000.0,2687000.0,45054000,71711000,0.0,631600000.0,,,275483000.0,7479000,2900000.0,12000.0,,36157000,-22610000.0,3612000.0,20211000,,126684000.0,355396000,8826000.0,173063000.0,4618000.0,357580000.0,-13943000.0,,26657000,1353963000.0,480346000.0,996383000.0,0.0,,32343000.0,283685000,,-539000.0,,37909000.0,549300000.0,41796000,0.4,558269000.0,12732000,12732000,31547000.0,12732000,-13931000.0,31045000.0,2148000.0,-1948000,255206000.0,535000.0,2148000.0,2148000.0,11448000.0,,4498000.0,722363000.0,162631000.0,0.0,-5117000.0,0.0,,,,,,,
2009-06-30,4081000.0,0.58,-17756000.0,,,,,318000.0,-50924000.0,2148000.0,51884000,79844000,0.0,669946000.0,,,278081000.0,9731000,3159000.0,-1218000.0,,44524000,-27077000.0,3681000.0,28156000,,145109000.0,372605000,6203000.0,164428000.0,1819000.0,379929000.0,-8610000.0,,27960000,1391019000.0,482837000.0,1011090000.0,0.0,,31752000.0,292761000,,-51000.0,,37441000.0,556645000.0,48563000,0.58,567862000.0,18425000,18425000,31616000.0,18425000,-8598000.0,36367000.0,2097000.0,5017000,275803000.0,627000.0,2097000.0,2097000.0,11529000.0,,4839000.0,721073000.0,165147000.0,0.0,-2407000.0,-179000.0,,,,,,,
2009-09-30,4081000.0,0.85,-26203000.0,,,,,319000.0,-35316000.0,2097000.0,35444000,80518000,0.0,720524000.0,,,278702000.0,15343000,3892000.0,-23000.0,,51589000,-18987000.0,4450000.0,43407000,,173173000.0,378865000,13898000.0,177096000.0,-4245000.0,433864000.0,-8324000.0,,45074000,1455508000.0,475477000.0,1021644000.0,0.0,,33129000.0,298347000,,1557000.0,,38319000.0,557888000.0,46423000,0.87,576094000.0,28064000,28064000,32280000.0,28064000,-8313000.0,44092000.0,3654000.0,3119000,303955000.0,597000.0,3654000.0,3654000.0,11955000.0,,4807000.0,734984000.0,166848000.0,0.0,5574000.0,-85000.0,,,,,,,
2009-12-31,4081000.0,,40021000.0,,,,,320000.0,-26951000.0,3654000.0,63179000,94297000,0.0,756229000.0,-152201000.0,-73535000.0,276033000.0,8207000,3352000.0,1793000.0,,46997000,24291000.0,6853000.0,30300000,,195262000.0,404787000,75917000.0,149725000.0,-71917000.0,370652000.0,-6110000.0,428234000.0,31118000,1384428000.0,401640000.0,1013776000.0,0.0,,,310490000,,761000.0,,31453000.0,478474000.0,52047000,,575007000.0,22093000,22093000,,22093000,-3276000.0,45381000.0,4415000.0,8234000,264933000.0,906000.0,4415000.0,4415000.0,12411000.0,,4286000.0,628199000.0,162736000.0,0.0,69807000.0,97000.0,,,,,,,
2010-03-31,4081000.0,0.47,14182000.0,,,,,348000.0,-17349000.0,4415000.0,57460000,88778000,0.0,897722000.0,-161990000.0,-119300000.0,360783000.0,8285000,3354000.0,-691000.0,110688000.0,35878000,20021000.0,2254000.0,24604000,-664655000.0,211581000.0,397124000,54112000.0,171899000.0,621066000.0,426088000.0,-10942000.0,522773000.0,31318000,2172978000.0,921181000.0,1746890000.0,0.0,,34614000.0,308346000,,-318000.0,,31844000.0,1103357000.0,53013000,0.49,960764000.0,16319000,16319000,33553000.0,16319000,-675597000.0,150332000.0,4097000.0,113000,299324000.0,1090000.0,4097000.0,4097000.0,14117000.0,,6827000.0,1275256000.0,406520000.0,18823000.0,43170000.0,-9486000.0,,,,,,,
2010-06-30,4081000.0,0.6,2693000.0,,,,,354000.0,-24945000.0,4097000.0,65277000,106150000,0.0,902452000.0,-172701000.0,-67800000.0,357292000.0,10605000,4444000.0,-1019000.0,0.0,51323000,12434000.0,4945000.0,32257000,0.0,233233000.0,446195000,62650000.0,183045000.0,-50644000.0,437658000.0,-12297000.0,529993000.0,40873000,2168231000.0,886205000.0,1730573000.0,0.0,,35994000.0,340045000,,-650000.0,,35753000.0,1082734000.0,57990000,0.62,953384000.0,21652000,21652000,34814000.0,21652000,-12297000.0,160776000.0,3447000.0,3163000,295635000.0,1046000.0,3447000.0,3447000.0,18380000.0,,11779000.0,1265779000.0,400464000.0,19433000.0,50353000.0,-17654000.0,,,,,,,
2010-09-30,4081000.0,0.68,-16416000.0,,,,,354000.0,-19651000.0,3447000.0,62444000,110237000,0.0,936903000.0,-181363000.0,-65036000.0,358243000.0,11943000,4019000.0,-1345000.0,0.0,65938000,-13610000.0,719000.0,36810000,0.0,258100000.0,464242000,33890000.0,206613000.0,-10221000.0,466248000.0,-24026000.0,539606000.0,47793000,2202062000.0,875522000.0,1735814000.0,0.0,,36373000.0,354005000,,9000.0,,36229000.0,1058546000.0,54301000,0.7,953938000.0,24867000,24867000,35421000.0,24867000,-24010000.0,146795000.0,3456000.0,1884000,312693000.0,981000.0,3456000.0,3456000.0,18145000.0,,,1265159000.0,404381000.0,19252000.0,9864000.0,583000.0,,,,,,,
2010-12-31,4081000.0,,33859000.0,,,,,354000.0,-12034000.0,3456000.0,69600000,126169000,0.0,977966000.0,-190250000.0,-86474000.0,386191000.0,14648000,4021000.0,4685000.0,0.0,81243000,47735000.0,1281000.0,42729000,-179841000.0,286181000.0,509463000,93999000.0,203360000.0,102420000.0,440803000.0,-14388000.0,576441000.0,56569000,2391248000.0,976452000.0,1950445000.0,0.0,,,383294000,,2867000.0,,38553000.0,1209922000.0,61700000,,1076321000.0,28081000,28081000,,28081000,-194202000.0,194917000.0,6323000.0,378000,287395000.0,976000.0,6323000.0,6323000.0,19136000.0,,,1413282000.0,463617000.0,24316000.0,79611000.0,501000.0,,,,,,,
2011-03-31,4081000.0,0.54,-10693000.0,,,,,355000.0,-3022000.0,6323000.0,76202000,120926000,0.0,1011995000.0,-204808000.0,-105196000.0,381219000.0,10127000,4774000.0,1808000.0,0.0,56511000,-14319000.0,463000.0,29935000,1401000.0,305988000.0,493513000,32748000.0,196873000.0,-24192000.0,450779000.0,-14728000.0,586027000.0,44724000,2397186000.0,951865000.0,1946407000.0,0.0,,36785000.0,372587000,,-3948000.0,,40927000.0,1188318000.0,65503000,0.56,1079671000.0,19808000,19808000,35534000.0,19808000,-13294000.0,195526000.0,2375000.0,938000,299153000.0,974000.0,2375000.0,2375000.0,11787000.0,,,1385191000.0,461764000.0,23753000.0,18020000.0,404000.0,,,,,,,
2011-06-30,4081000.0,0.39,-21734000.0,,,,135515000.0,359000.0,-4241000.0,2375000.0,75827000,109440000,0.0,1023700000.0,-216327000.0,-57603000.0,392255000.0,6898000,4675000.0,33949000.0,0.0,41932000,1609000.0,444000.0,21243000,1842000.0,320333000.0,492620000,38288000.0,206732000.0,-18730000.0,458150000.0,-21294000.0,608582000.0,33613000,2407719000.0,940324000.0,1949569000.0,0.0,69985000.0,36950000.0,383180000,,-28000.0,,41512000.0,1177287000.0,66160000,0.4,1079301000.0,14345000,14345000,35600000.0,14345000,-19429000.0,195451000.0,2347000.0,1100000,320672000.0,1232000.0,2347000.0,2347000.0,28560000.0,,,1384019000.0,454908000.0,23105000.0,16994000.0,-6127000.0,,,,,,,
2011-09-30,4081000.0,0.82,-49113000.0,,,,140690000.0,359000.0,-21860000.0,2347000.0,72880000,125532000,0.0,1040610000.0,-222939000.0,-52062000.0,400419000.0,14725000,3124000.0,30056000.0,0.0,61491000,-78281000.0,4396000.0,45115000,0.0,350723000.0,528050000,-20157000.0,204219000.0,47359000.0,538409000.0,-24410000.0,623358000.0,52652000,2476060000.0,990474000.0,1937651000.0,0.0,61288000.0,36911000.0,402518000,,733000.0,,43261000.0,1231231000.0,62308000,0.84,1069856000.0,30390000,30390000,35967000.0,30390000,-24233000.0,197496000.0,3080000.0,5073000,367446000.0,2241000.0,3080000.0,3080000.0,21333000.0,,,1435450000.0,443633000.0,23743000.0,-44567000.0,8093000.0,,,,,,,
2011-12-31,4081000.0,,38501000.0,,,,109178000.0,359000.0,-22362000.0,3080000.0,60113000,117399000,0.0,1073517000.0,-230907000.0,-126456000.0,406558000.0,13641000,2534000.0,30785000.0,0.0,83170000,39999000.0,9811000.0,43505000,0.0,380588000.0,535802000,105192000.0,171479000.0,-87977000.0,468394000.0,-17364000.0,637465000.0,57286000,2404529000.0,902929000.0,1936135000.0,0.0,60347000.0,,418403000,,199000.0,,54346000.0,1159533000.0,50187000,,1068419000.0,29864000,29864000,,29864000,-17346000.0,202258000.0,3279000.0,-689000,329374000.0,1954000.0,3279000.0,3279000.0,21338000.0,,,1331012000.0,437860000.0,23298000.0,87828000.0,-7693000.0,,,,,,,
2012-03-31,4081000.0,0.6,-8307000.0,,,,121757000.0,359000.0,-14556000.0,3279000.0,69621000,114932000,0.0,1105855000.0,-241402000.0,-75300000.0,408217000.0,9630000,2685000.0,21601000.0,,65637000,5253000.0,1610000.0,31704000,0.0,402660000.0,523811000,52234000.0,187716000.0,28140000.0,548277000.0,-18073000.0,649619000.0,45311000,2483003000.0,931301000.0,1934726000.0,0.0,63999000.0,37094000.0,408879000,,64045000.0,,54207000.0,1189432000.0,60898000,0.61,1070943000.0,22074000,22074000,36019000.0,22074000,-18039000.0,203924000.0,67324000.0,-395000,338725000.0,1960000.0,67324000.0,67324000.0,20721000.0,,13212000.0,1377148000.0,432895000.0,22671000.0,34161000.0,-105000.0,,,,,,,
2012-06-30,4081000.0,0.53,-3978000.0,,,,123813000.0,361000.0,-23504000.0,67324000.0,65137000,106591000,0.0,1118365000.0,-253918000.0,-86133000.0,423712000.0,7985000,3063000.0,22885000.0,,62164000,-6118000.0,1777000.0,27496000,-25000000.0,422171000.0,527421000,42384000.0,193197000.0,7889000.0,561954000.0,-16248000.0,677630000.0,41454000,2502568000.0,940220000.0,1940614000.0,0.0,61393000.0,37132000.0,420830000,,6920000.0,,45796000.0,1191006000.0,56562000,0.54,1067864000.0,19511000,19511000,36057000.0,19511000,-41236000.0,204990000.0,74244000.0,-1520000,349901000.0,2028000.0,74244000.0,74244000.0,22230000.0,,12438000.0,1384203000.0,426758000.0,22280000.0,26136000.0,2545000.0,,,,,,,
2012-09-30,4081000.0,0.58,-39308000.0,,,,147992000.0,362000.0,-9099000.0,74244000.0,71864000,113209000,0.0,1157699000.0,-270546000.0,-64458000.0,424241000.0,7408000,3364000.0,20997000.0,,49570000,-44030000.0,4861000.0,28962000,0.0,443725000.0,538112000,9952000.0,203009000.0,13408000.0,625649000.0,-17030000.0,694787000.0,41345000,2568734000.0,953474000.0,1943085000.0,0.0,53001000.0,37074000.0,424903000,,9553000.0,,43676000.0,1208026000.0,60475000,0.6,1072516000.0,21554000,21554000,36149000.0,21554000,-17034000.0,210876000.0,83797000.0,377000,391306000.0,2016000.0,83797000.0,83797000.0,23872000.0,,12760000.0,1411035000.0,424046000.0,22282000.0,-7078000.0,100000.0,,,,,,,
