date,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2014-12-31,69135000000.0,1663000000.0,,0,,403190000000,17454000000,-4544000000.0,,371865000000.0,918000000.0,21998000000.0,,110125000000,31350000000,457941000000,19522000000,0,11451000000.0,1781000000.0,347816000000,20544000000,,,73199000000,34097000000,33179000000,1022000000,18352000000,,0.0,51894000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,0.0,21059000000.0,,0,0.0,440389000000,186911000000,-1641000000.0,443000000.0,486714000000.0,218000000.0,188552000000.0,0.0,232448000000,142094000000,1079536000000,297980000000,8960000000,0.0,16489000000.0,847088000000,380344000000,,261135000000.0,19729000000,162062000000,162062000000,31113000000,44744000000,134802000000.0,4656000000.0,522438000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,0.0,20393000000.0,,0,,428588000000,187070000000,-8007000000.0,433000000.0,500909000000.0,972000000.0,195077000000.0,,192974000000,130303000000,1032944000000,275363000000,11205000000,0.0,15398000000.0,839970000000,353530000000,,261449000000.0,19761000000,121171000000,121171000000,26062000000,33967000000,114841000000.0,4238000000.0,483833000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,0.0,91422000000.0,,0,0.0,430462000000,185987000000,,,508169000000.0,808000000.0,185987000000.0,0.0,227982000000,161169000000,1062717000000,268124000000,51102000000,0.0,15087000000.0,834735000000,348382000000,,259270000000.0,19888000000,154407000000,154407000000,25654000000,67696000000,114108000000.0,6692000000.0,509551000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,0.0,17380000000.0,,0,,424679000000,153753000000,-17737000000.0,402000000.0,520616000000.0,3315000000.0,171490000000.0,,223494000000,157312000000,1013465000000,235543000000,11494000000,0.0,10587000000.0,789971000000,311963000000,,254748000000.0,18852000000,156270000000,156270000000,23692000000,72807000000,97561000000.0,5096000000.0,469275000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,-51067000000.0,17478000000.0,,0,0.0,436941000000,160993000000,,429000000.0,529232000000.0,2167000000.0,160993000000.0,0.0,221891000000,127492000000,1052838000000,289418000000,10479000000,0.0,62744000000.0,830947000000,366688000000,,257702000000.0,20601000000,150223000000,150223000000,25210000000,41300000000,101072000000.0,0.0,494180000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,19252000000.0,,0,,459537000000,167094000000,-29563000000.0,374000000.0,,,196657000000.0,,233546000000,114888000000,1100255000000,313419000000,15250000000,,11546000000.0,866709000000,393820000000,,255334000000.0,21708000000,160470000000,160470000000,25583000000,22101000000,103256000000.0,5180000000.0,508708000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,2771000000.0,18409000000.0,,0,0.0,447435000000,167794000000,,4089000000.0,,,167794000000.0,0.0,217148000000,106480000000,1085963000000,314957000000,16654000000,2703000000.0,11128000000.0,868815000000,398959000000,,254617000000.0,22584000000,142754000000,142754000000,26236000000,23093000000,105527000000.0,,505439000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,4217000000.0,29233000000.0,,0,,458477000000,118307000000,-30619000000.0,3000000.0,,,148926000000.0,,343186000000,221929000000,1232244000000,326322000000,39531000000,5880000000.0,19255000000.0,889058000000,419492000000,,323160000000.0,23410000000,135411000000,135411000000,19261000000,26371000000,152982000000.0,,641421000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,3681000000.0,28275000000.0,,0,0.0,453983000000,191047000000,,4000000.0,,1121000000.0,191047000000.0,0.0,329608000000,233396000000,1289050000000,308398000000,40943000000,5629000000.0,17336000000.0,959442000000,475171000000,,321996000000.0,23616000000,123280000000,122159000000,18673000000,35267000000,152336000000.0,,708567000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
