date,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyLongTermDebt,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyGoodwill,quarterlyOtherCurrentLiabilities,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets
2006-12-31,843000000.0,,,41371000000.0,,34948000000.0,,,,,139665000000.0,,,,,,14565000000.0,34032000000.0,,,102573794000.0,,,8977355900.0,,8882355900.0,,,6056757600.0,,,,19022000000.0,,,,453391000000.0,,,,28265000000.0,50213000000.0,50213000000.0,,,,,623650000000.0,8882355900.0,764395000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,,32555000000.0,0.409804,,,,,-6328000000.0,33067000000.0,-27737000000.0,,,,,,,,,,-833000000.0,50686921400.0,28407924764.0,-8257000000.0,11641681200.0,18924000000.0,11641681200.0,-17146000000.0,,,,,28407924764.0,,,0.409804,,,,,50213000000.0,,,,,,-52736000000.0,,,11641681200.0,,18091000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,,,0.409844,,,,,,57708056000.0,-30100480400.0,167429494400.0,0.0,2276346800.0,,,,15256852800.0,52386429200.0,708027600.0,,51000826800.0,28264705005.0,14324720400.0,11640582800.0,40557931600.0,11640582800.0,24667841600.0,,,,,28264705005.0,,,0.409844,7133568400.0,,,,33067000000.0,28252585200.0,,,,2238280800.0,,,681213909600.0,11640582800.0,849473242800.0,41390931600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,,,0.279927,,,,,,60542000000.0,-32252519600.0,,,,,,26912234000.0,,,,,44961539000.0,27833441576.0,34224279600.0,7791331800.0,943068400.0,7791331800.0,2807158400.0,,,,,27833441576.0,,,0.279927,,,,,57708056000.0,,,,,2942391200.0,,,,7791331800.0,,-956931600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,8312000000.0,-1186000000.0,,48308000000.0,,72455000000.0,,6353000000.0,25317000000.0,-48424000000.0,205500000000.0,,,,,-86220677400.0,16771000000.0,62410000000.0,,-1277283500.0,44995543900.0,,-49021000000.0,7984746000.0,62429000000.0,7803746000.0,-34718000000.0,,6215789100.0,,,,24786000000.0,,,,638328000000.0,3957000000.0,,60542000000.0,28265000000.0,25317000000.0,25317000000.0,,,-53591000000.0,-52978000000.0,726452000000.0,7803746000.0,933704000000.0,61151716500.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,9689000000.0,27582000000.0,0.12,,3623000000.0,14073000000.0,,-414000000.0,36094000000.0,-25429000000.0,152136000000.0,3618000000.0,3751000000.0,,6809000000.0,,15390000000.0,38773000000.0,94000000.0,-211000000.0,111073000000.0,28950000000.0,-212000000.0,3524000000.0,36520000000.0,3474000000.0,10777000000.0,,9938000000.0,,,28950000000.0,2748000000.0,,0.12,-5636000000.0,621814000000.0,,2661000000.0,25317000000.0,28265000000.0,42903000000.0,36094000000.0,,,-52425000000.0,,744645000000.0,3474000000.0,897687000000.0,36309000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,1094000000.0,,,,12558000000.0,24892000000.0,,,42226000000.0,-45257000000.0,166738000000.0,13270000000.0,1275000000.0,,,,17174000000.0,63585000000.0,824000000.0,,-11789000000.0,,53391000000.0,12446000000.0,-1614000000.0,12364000000.0,6622000000.0,,10360000000.0,,,,10215000000.0,71536000000.0,,6634000000.0,621156000000.0,,,36094000000.0,28265000000.0,42226000000.0,42226000000.0,,,,,796247000000.0,12364000000.0,963983000000.0,-1403000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-30,1470000000.0,,0.08,,2588000000.0,7626000000.0,70242000000.0,,30516000000.0,-35776000000.0,132254000000.0,2540000000.0,9116000000.0,,,,15665000000.0,33747000000.0,184000000.0,,76973000000.0,29237500000.0,-60482000000.0,2339000000.0,84916000000.0,2356000000.0,-12200000000.0,,8192000000.0,,,29237500000.0,0.0,,0.08,423000000.0,648596000000.0,,2657000000.0,42226000000.0,28265000000.0,30516000000.0,30516000000.0,,,,,813180000000.0,2339000000.0,946418000000.0,83197000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,1668000000.0,-39049000000.0,,74487000000.0,9773000000.0,28986000000.0,,-64190000000.0,34085000000.0,-50009000000.0,180649000000.0,10079000000.0,-17569000000.0,,228272000000.0,-44269000000.0,18151000000.0,67006000000.0,1925000000.0,-1106000000.0,-118134000000.0,,88051000000.0,8166000000.0,-35043000000.0,8154000000.0,3857000000.0,,6433000000.0,,,,12569000000.0,,,-6874000000.0,887415000000.0,3000000.0,,30516000000.0,28265000000.0,262357000000.0,34085000000.0,,,54257000000.0,88048000000.0,863255000000.0,8166000000.0,1044828000000.0,-36149000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,2861000000.0,67482000000.0,0.19,,6496000000.0,15574000000.0,-1000000.0,-790000000.0,57419000000.0,-34042000000.0,145943000000.0,6513000000.0,9994000000.0,0.0,279155000000.0,52553000000.0,16241000000.0,34073000000.0,1102000000.0,-531000000.0,116325000000.0,28352631579.0,4574000000.0,5387000000.0,52800000000.0,5411000000.0,23334000000.0,0.0,11939000000.0,,,28352631579.0,0.0,,0.19,381000000.0,934925000000.0,0.0,2775000000.0,34085000000.0,28265000000.0,336574000000.0,57419000000.0,,,-100261000000.0,0.0,920879000000.0,5387000000.0,1067780000000.0,52269000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,0.0,,,,16528000000.0,30475000000.0,,,61279000000.0,-21434000000.0,202196000000.0,16915000000.0,-3721000000.0,,276438000000.0,,18052000000.0,173931000000.0,4038000000.0,,4098000000.0,,23773000000.0,12839000000.0,1534000000.0,12877000000.0,3871000000.0,,11632000000.0,,51075000000.0,,19990000000.0,83958000000.0,,416000000.0,962324000000.0,,,57419000000.0,28265000000.0,337717000000.0,61279000000.0,,,,,956517000000.0,12839000000.0,1160322000000.0,2065000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,2085000000.0,,0.21,,7414000000.0,12194000000.0,-1000000.0,,58291000000.0,-14753000000.0,148127000000.0,7333000000.0,9256000000.0,,,,16276000000.0,41050000000.0,1315000000.0,,78835000000.0,28657142857.0,-45435000000.0,6018000000.0,57215000000.0,5954000000.0,-2999000000.0,,9152000000.0,,,28657142857.0,,,0.21,447000000.0,710171000000.0,,2747000000.0,61279000000.0,28265000000.0,58291000000.0,58291000000.0,,,,,978450000000.0,6018000000.0,1128245000000.0,56222000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,3850000000.0,-25900000000.0,,,15815000000.0,5721000000.0,,-81378000000.0,36197000000.0,-93522000000.0,211072000000.0,16632000000.0,-11257000000.0,,344983000000.0,59375000000.0,17467000000.0,80020000000.0,3596000000.0,-1848000000.0,52059000000.0,,33255000000.0,12881000000.0,38151000000.0,13162000000.0,-22094000000.0,,6818000000.0,,,,16361000000.0,,,1301000000.0,1115184000000.0,260000000.0,,58291000000.0,28265000000.0,381180000000.0,36197000000.0,,,15711000000.0,32995000000.0,1013481000000.0,12881000000.0,1226257000000.0,36303000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,5264000000.0,125720000000.0,0.36,,12375000000.0,34000000.0,-1000000.0,-2264000000.0,55649000000.0,-25535000000.0,217424000000.0,12375000000.0,4141000000.0,-33605000000.0,,76421000000.0,15908000000.0,90234000000.0,2123000000.0,-474000000.0,128743000000.0,28372222222.0,-33605000000.0,10214000000.0,78597000000.0,10252000000.0,19452000000.0,,12252000000.0,,,28372222222.0,14657000000.0,,0.36,738000000.0,756993000000.0,,3371000000.0,36197000000.0,28265000000.0,55632000000.0,55632000000.0,,,-148543000000.0,0.0,1062272000000.0,10214000000.0,1281438000000.0,78123000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,454000000.0,,,,8158000000.0,7924000000.0,,,44718000000.0,-52841000000.0,191739000000.0,9228000000.0,4264000000.0,,421194000000.0,,17908000000.0,71077000000.0,1365000000.0,,86648000000.0,,16200000000.0,7820000000.0,25768000000.0,7863000000.0,-10931000000.0,,12484000000.0,,69782000000.0,,11565000000.0,,,452000000.0,1179279000000.0,,,55649000000.0,28265000000.0,465912000000.0,44718000000.0,,,,,1126955000000.0,7820000000.0,1320354000000.0,26242000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,201000000.0,,0.24,,8517000000.0,37000000.0,-1000000.0,,39295000000.0,-27747000000.0,206598000000.0,8519000000.0,4152000000.0,,428283000000.0,,15943000000.0,77988000000.0,1548000000.0,,88907000000.0,28795833333.0,-19751000000.0,6911000000.0,42120000000.0,6971000000.0,-5423000000.0,,11320000000.0,,,28795833333.0,14010000000.0,,0.24,926000000.0,1225510000000.0,,3715000000.0,44718000000.0,28265000000.0,467558000000.0,39275000000.0,,,,,1164411000000.0,6911000000.0,1372735000000.0,39207000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,34000000.0,-29966000000.0,,,9119000000.0,8275000000.0,,-57892000000.0,47854000000.0,-29814000000.0,208710000000.0,10886000000.0,7371000000.0,,441585000000.0,92623000000.0,18946000000.0,79933000000.0,2161000000.0,-1936000000.0,80271000000.0,,6475000000.0,8681000000.0,32115000000.0,8725000000.0,8559000000.0,,7274000000.0,,,,11776000000.0,,,950000000.0,1266587000000.0,0.0,,39295000000.0,28265000000.0,489439000000.0,47854000000.0,,,59842000000.0,-10896000000.0,1200104000000.0,8681000000.0,1410579000000.0,30179000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,1912000000.0,56802000000.0,0.28,1974000000.0,9505000000.0,2732000000.0,97363000000.0,-2532000000.0,82583000000.0,-47060000000.0,213530000000.0,9510000000.0,4574000000.0,,,,18460000000.0,87904000000.0,1488000000.0,-1558000000.0,140006000000.0,28264705000.0,21132000000.0,7971000000.0,60762000000.0,8022000000.0,34729000000.0,,12050000000.0,,,28264705000.0,11250000000.0,,0.28,603000000.0,828376000000.0,,3728000000.0,47854000000.0,28265000000.0,82566000000.0,82566000000.0,,,-99782000000.0,21132000000.0,1298870000000.0,7971000000.0,1514206000000.0,59204000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,13000000.0,,,,4253000000.0,11843000000.0,,,79531000000.0,-35433000000.0,197051000000.0,5417000000.0,4456000000.0,,499125000000.0,,19282000000.0,78223000000.0,365000000.0,,87460000000.0,,3137000000.0,4993000000.0,29341000000.0,5052000000.0,-3052000000.0,,13466000000.0,,70480000000.0,,7764000000.0,,,1104000000.0,1344414000000.0,,,82583000000.0,28265000000.0,578656000000.0,79531000000.0,,,,,1348047000000.0,4993000000.0,1546891000000.0,30899000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,462000000.0,,0.13,,4433000000.0,1999000000.0,65853000000.0,,46583000000.0,-24071000000.0,176091000000.0,4410000000.0,4568000000.0,,,,18939000000.0,81976000000.0,609000000.0,,82932000000.0,28869230769.0,-33396000000.0,3753000000.0,24710000000.0,3801000000.0,-32948000000.0,,13600000000.0,,,28869230769.0,0.0,,0.13,627000000.0,836565000000.0,,3704000000.0,79531000000.0,28265000000.0,46569000000.0,46569000000.0,,,,,1344022000000.0,3753000000.0,1521936000000.0,21586000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,750000000.0,7136000000.0,,,-1049000000.0,11954000000.0,,-27423000000.0,55985000000.0,-27027000000.0,191530000000.0,1176000000.0,7570000000.0,,520793000000.0,,20231000000.0,79894000000.0,-440000000.0,-1726000000.0,56073000000.0,,17118000000.0,1614000000.0,19140000000.0,1616000000.0,9402000000.0,,8253000000.0,,,,1454000000.0,,,1221000000.0,1393805000000.0,58000000.0,,46583000000.0,28265000000.0,576778000000.0,55985000000.0,,,-4038000000.0,-12930000000.0,1390519000000.0,1614000000.0,1583907000000.0,17414000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,1410000000.0,78074000000.0,0.2,,6871000000.0,2311000000.0,91044000000.0,-1066000000.0,67607000000.0,-12589000000.0,204825000000.0,6872000000.0,4897000000.0,,,,19613000000.0,85519000000.0,1194000000.0,-258000000.0,131925000000.0,28125000000.0,-7218000000.0,5625000000.0,31445000000.0,5678000000.0,11622000000.0,,14538000000.0,,29991000000.0,28125000000.0,4116000000.0,,0.2,629000000.0,864623000000.0,,6517000000.0,55985000000.0,28265000000.0,641824000000.0,641824000000.0,,,-89342000000.0,-7218000000.0,1445320000000.0,5625000000.0,1652057000000.0,31187000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,16000000.0,,,,2620000000.0,16498000000.0,104028000000.0,,88317000000.0,-60838000000.0,213473000000.0,4140000000.0,4916000000.0,,,,20321000000.0,81180000000.0,77000000.0,,76675000000.0,,59655000000.0,4010000000.0,21869000000.0,4063000000.0,20710000000.0,,15213000000.0,,,,7688000000.0,,,866000000.0,896506000000.0,,,67607000000.0,28265000000.0,88317000000.0,88317000000.0,,,,,1553848000000.0,4010000000.0,1769234000000.0,22127000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,550000000.0,,-0.08,,-3611000000.0,2139000000.0,104884000000.0,,48088000000.0,-52313000000.0,212119000000.0,-3618000000.0,5261000000.0,,,,20369000000.0,78973000000.0,-1467000000.0,,95244000000.0,27587500000.0,-26492000000.0,-2207000000.0,38574000000.0,-2151000000.0,-40229000000.0,,14038000000.0,,,27587500000.0,4798000000.0,,-0.08,821000000.0,952202000000.0,,6495000000.0,88317000000.0,28265000000.0,48067000000.0,48067000000.0,,,,,1569729000000.0,-2207000000.0,1783808000000.0,36783000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,425000000.0,-35467000000.0,,,514000000.0,2459000000.0,112428000000.0,-56402000000.0,69452000000.0,-78064000000.0,221085000000.0,3574000000.0,7810000000.0,,506416000000.0,,28665000000.0,80392000000.0,-108000000.0,-3502000000.0,50981000000.0,,59144000000.0,3633000000.0,40294000000.0,3682000000.0,21364000000.0,,8827000000.0,4536000000.0,67981000000.0,,7834000000.0,,,1016000000.0,1021831000000.0,65000000.0,,48088000000.0,28265000000.0,575868000000.0,69452000000.0,,,17008000000.0,-4584000000.0,1675815000000.0,3633000000.0,1898916000000.0,36792000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,493000000.0,131210000000.0,0.36,,12802000000.0,2346000000.0,113146000000.0,-1194000000.0,65322000000.0,601000000.0,231877000000.0,12794000000.0,5409000000.0,,,,21692000000.0,90469000000.0,2650000000.0,-497000000.0,138250000000.0,27991666667.0,-23607000000.0,10077000000.0,18877000000.0,10144000000.0,,,16448000000.0,,,27991666667.0,10140000000.0,,0.36,830000000.0,1033377000000.0,0.0,6464000000.0,69452000000.0,28265000000.0,65304000000.0,65304000000.0,,,-128947000000.0,-23607000000.0,1704050000000.0,10077000000.0,1938010000000.0,18380000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,18000000.0,,0.0,,5779000000.0,26010000000.0,110852000000.0,,51113000000.0,-46118000000.0,230643000000.0,7363000000.0,5408000000.0,,481537000000.0,,20686000000.0,91526000000.0,1179000000.0,,109298000000.0,,8057000000.0,6121000000.0,23863000000.0,6184000000.0,,,17524000000.0,,67983000000.0,,9534000000.0,,0.0,931000000.0,1033135000000.0,,,65322000000.0,28265000000.0,532650000000.0,51113000000.0,,,,,1751307000000.0,6121000000.0,1984035000000.0,24360000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,456000000.0,,0.27,,9177000000.0,2353000000.0,108798000000.0,,25427000000.0,10497000000.0,236077000000.0,9146000000.0,5438000000.0,,,,20763000000.0,99017000000.0,1586000000.0,,97003000000.0,27744444444.0,-47087000000.0,7491000000.0,10945000000.0,7560000000.0,,,15020000000.0,,,27744444444.0,10339000000.0,,0.27,841000000.0,1019089000000.0,,6397000000.0,51113000000.0,28265000000.0,702252000000.0,702252000000.0,,,,,1722458000000.0,7491000000.0,1960673000000.0,8828000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,382000000.0,-67505000000.0,,,-3078000000.0,1630000000.0,96913000000.0,46902000000.0,21330000000.0,-25213000000.0,220331000000.0,148000000.0,8063000000.0,,491527000000.0,,29576000000.0,95153000000.0,-972000000.0,-1607000000.0,68342000000.0,,6532000000.0,1076000000.0,14607000000.0,1120000000.0,,,9978000000.0,5053000000.0,67985000000.0,,4919000000.0,,,1743000000.0,1063549000000.0,1441000000.0,,25427000000.0,28265000000.0,512857000000.0,21330000000.0,,,-714000000.0,9174000000.0,1750356000000.0,1076000000.0,1972941000000.0,13000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,499000000.0,111659000000.0,0.26,,8772000000.0,2173000000.0,93642000000.0,-6319000000.0,50460000000.0,-23091000000.0,224285000000.0,8761000000.0,5448000000.0,,,,23126000000.0,102381000000.0,1461000000.0,-1237000000.0,154214000000.0,27800000000.0,1787000000.0,7228000000.0,50419000000.0,7300000000.0,,,16534000000.0,,67986000000.0,27800000000.0,4446000000.0,,0.26,855000000.0,1086891000000.0,-57000000.0,6540000000.0,21330000000.0,28265000000.0,723721000000.0,723721000000.0,,,-127198000000.0,1844000000.0,1823428000000.0,7228000000.0,2050036000000.0,49182000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,10000000.0,,0.0,,14092000000.0,27250000000.0,109710000000.0,,43186000000.0,-38782000000.0,240586000000.0,14103000000.0,5354000000.0,,533745000000.0,,23383000000.0,102611000000.0,2849000000.0,,86785000000.0,,41456000000.0,11179000000.0,-9948000000.0,11254000000.0,,,18925000000.0,,70883000000.0,,9322000000.0,,0.0,997000000.0,1138966000000.0,,,50460000000.0,28265000000.0,576931000000.0,43186000000.0,,,,,1877193000000.0,11179000000.0,2120114000000.0,-8711000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,529000000.0,,0.32,,11649000000.0,27693000000.0,117876000000.0,,55623000000.0,31006000000.0,257898000000.0,11618000000.0,5596000000.0,,,,23336000000.0,111757000000.0,2392000000.0,,104072000000.0,28581250000.0,-19414000000.0,9146000000.0,839000000.0,9226000000.0,,,18758000000.0,,70733000000.0,28581250000.0,12078000000.0,,0.32,864000000.0,1141380000000.0,,6349000000.0,43186000000.0,28265000000.0,730982000000.0,730982000000.0,,,,,1885212000000.0,9146000000.0,2145535000000.0,-1807000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
