date,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyTaxProvision,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyBasicAverageShares,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyInvestmentsAndAdvances
1986-10-31,,,,,,,,,,,,,,,224800000,,,,,,,,,,0.02,,224800000,,952237000.0,,,,224800000,,,,,,,,,,,,,,,,,,,,21300000,,,,,0.02,,,,,,,,,952237000.0,,,,,,,,,,
1987-01-31,13100000.0,,,,,,,,,212000000.0,,,117200000.0,,-410700000,-62900000.0,,,,,169300000.0,,,,,,298500000,,,119600000.0,180100000.0,,-410700000,,,,230400000.0,363900000.0,13500000.0,,118100000.0,0.0,,,133500000.0,,,,32300000.0,,,,28200000,,,146000000.0,63800000.0,,63800000.0,18800000.0,,1500000.0,,,,,,9100000.0,,,,151900000.0,7200000.0,,,,
1987-04-30,,,,,,,,,,,,,,,211100000,,,,,,,,,,0.02,,211100000,,952237000.0,,,,211100000,,,,,,,,,,,,,,,,,,,,16200000,,,,,0.02,,,,,,,,,952237000.0,,,,,,,,,,
1987-07-31,,,,,,,,,,,,,,,217800000,,,,,,,,,,0.01,,217800000,,961862000.0,,,,217800000,,,,,,,,,,,,,,,,,,,,13100000,,,,,0.01,,,,,,,,,961862000.0,,,,,,,,,,
1987-10-31,,,,,,,,,,,,,,,273600000,,,,,,,,,,0.02,,273600000,,961862000.0,,,,273600000,,,,,,,,,,,,,,,,,,,,18600000,,,,,0.02,,,,,,,,,961862000.0,,,,,,,,,,
1988-01-31,22900000.0,,,,,,,,,272900000.0,,,156600000.0,,-573800000,-77100000.0,,,,,220500000.0,,,,,,359600000,,,128600000.0,233700000.0,,-573800000,,,,258800000.0,434200000.0,12000000.0,,122100000.0,20700000.0,,,175400000.0,,,,32700000.0,,,,21700000,,,194900000.0,32100000.0,,32100000.0,,,6500000.0,,,,,,10900000.0,,,,161300000.0,7900000.0,,,,
1988-04-30,,,,,,,,,,,,,,,241300000,,,,,,,,,,0.01,,241300000,,965852000.0,,,,241300000,,,,,,,,,,,,,,,,,,,,4400000,,,,,0.01,,,,,,,,,965852000.0,,,,,,,,,,
1988-07-31,,,,,,,,,,,,,,,264300000,,,,,,,,,,0.01,,264300000,,1024354000.0,,,,264300000,,,,,,,,,,,,,,,,,,,,11000000,,,,,0.01,,,,,,,,,1024354000.0,,,,,,,,,,
1988-10-31,,,,,,,,,,,,,,,322800000,,,,,,,,,,0.03,,322800000,,972999000.0,,,,322800000,,,,,,,,,,,,,,,,,,,,26600000,,,,,0.03,,,,,,,,,972999000.0,,,,,,,,,,
1989-01-31,12500000.0,,,,,,,,,276400000.0,,,191300000.0,,-699100000,-94800000.0,,,,,276500000.0,,,,,,423700000,,,151900000.0,286100000.0,,-699100000,,,,258100000.0,481100000.0,20000000.0,,149900000.0,32800000.0,,,223000000.0,,,,52800000.0,,,,32200000,,,193300000.0,46400000.0,,46400000.0,,,2000000.0,,,,,,13800000.0,,,,204700000.0,17900000.0,,,,
1989-04-30,,,,,,,,,,,,,,,309900000,,,,,,,,,,0.02,,309900000,,950943000.0,,,,309900000,,,,,,,,,,,,,,,,,,,,15100000,,,,,0.02,,,,,,,,,950943000.0,,,,,,,,,,
1989-07-31,29100000.0,,,,72800000.0,110000000.0,,,,287800000.0,,,223800000.0,9000000.0,32500000,-106500000.0,,,,,295500000.0,,,,0.01,,325900000,,950648000.0,142300000.0,330300000.0,23100000.0,23700000,,,,237200000.0,486300000.0,17500000.0,,51600000.0,38700000.0,,,249100000.0,,215900000.0,,56200000.0,14100000.0,77500000.0,,14100000,14100000.0,0.0,175700000.0,27400000.0,0.01,27400000.0,,,17900000.0,,600000.0,86300000.0,,950648000.0,16700000.0,,,,198500000.0,8600000.0,,,,
1989-10-31,25400000.0,-75300000.0,,,85000000.0,166600000.0,,0.0,,318500000.0,-1100000.0,,231400000.0,22800000.0,68000000,-113100000.0,,1600000.0,,100000.0,323400000.0,16400000.0,,,0.04,-19300000.0,405600000,8500000.0,855000000.0,196100000.0,344500000.0,57000000.0,58100000,-37200000.0,,,316300000.0,573300000.0,17500000.0,6200000.0,72600000.0,41200000.0,-10800000.0,,257000000.0,,239000000.0,9900000.0,58700000.0,34200000.0,98700000.0,,34200000,34200000.0,-100000.0,251000000.0,33600000.0,0.04,33600000.0,,,38500000.0,,1000000.0,108500000.0,0.0,855000000.0,16700000.0,-6400000.0,-18800000.0,0.0,254800000.0,8900000.0,,,,
1990-01-31,28400000.0,7500000.0,,,94200000.0,194900000.0,,0.0,,338000000.0,500000.0,,238100000.0,22800000.0,84600000,-113900000.0,,3100000.0,,-13400000.0,351200000.0,-53500000.0,,,,-18400000.0,545100000,79100000.0,,187400000.0,352000000.0,57000000.0,68200000,29500000.0,,,316500000.0,579500000.0,17500000.0,5100000.0,90700000.0,36600000.0,60700000.0,,263000000.0,,350200000.0,16400000.0,54100000.0,34200000.0,110300000.0,,34200000,34200000.0,-10700000.0,243500000.0,38800000.0,,38800000.0,,,2500000.0,,500000.0,126700000.0,0.0,,17600000.0,-6400000.0,-20600000.0,100000.0,241500000.0,7300000.0,,,,
1990-04-30,29200000.0,19200000.0,,,85300000.0,145000000.0,,38800000.0,,355800000.0,-500000.0,,257400000.0,14100000.0,48100000,-123000000.0,,-200000.0,,-200000.0,366000000.0,-4700000.0,,1900000.0,0.02,-29900000.0,402400000,41600000.0,1060000000.0,181500000.0,380400000.0,35300000.0,35700000,8200000.0,,,304700000.0,586900000.0,17500000.0,6100000.0,93700000.0,32100000.0,11700000.0,,282200000.0,,257400000.0,12400000.0,49600000.0,21200000.0,96900000.0,,21200000,21200000.0,0.0,224200000.0,44900000.0,0.02,44900000.0,,,2500000.0,,400000.0,109300000.0,0.0,1060000000.0,17400000.0,-6400000.0,-30400000.0,0.0,231100000.0,7400000.0,,,,
1990-07-31,32300000.0,-1200000.0,,,91700000.0,144900000.0,,0.0,,374700000.0,-1900000.0,,291800000.0,11700000.0,44900000,-132500000.0,,300000.0,,0.0,378800000.0,22200000.0,,100000.0,0.02,-43800000.0,405000000,23700000.0,960000000.0,207700000.0,424300000.0,30900000.0,31100000,-9500000.0,,,312500000.0,631400000.0,15000000.0,2300000.0,82500000.0,34000000.0,-20100000.0,,318900000.0,,260100000.0,13800000.0,49000000.0,19200000.0,100000000.0,,19200000,19200000.0,100000.0,225500000.0,47200000.0,0.02,47200000.0,,,33500000.0,,300000.0,113800000.0,0.0,960000000.0,19700000.0,-6400000.0,-45700000.0,28500000.0,256700000.0,7400000.0,,,,
1990-10-31,32900000.0,-59800000.0,,,102100000.0,211700000.0,,0.0,,419500000.0,-300000.0,,339600000.0,30500000.0,94400000,-143900000.0,,,,-100000.0,418100000.0,21100000.0,,1900000.0,0.05,-59400000.0,501700000,46700000.0,954000000.0,288300000.0,483500000.0,78200000.0,79000000,-16300000.0,,,381900000.0,749000000.0,5000000.0,8000000.0,115000000.0,36200000.0,-12700000.0,,367100000.0,,290000000.0,15400000.0,41200000.0,47700000.0,117300000.0,,47700000,47700000.0,-100000.0,285300000.0,55200000.0,0.05,55200000.0,,,71200000.0,,700000.0,132700000.0,0.0,954000000.0,20300000.0,-8400000.0,-59700000.0,0.0,329500000.0,7200000.0,,,,
1991-01-31,41300000.0,37800000.0,,,115300000.0,252400000.0,,0.0,,465700000.0,-1800000.0,,383500000.0,36100000.0,112400000,-144800000.0,,,,-9800000.0,466100000.0,-70600000.0,,6300000.0,,-60600000.0,624700000,144900000.0,,263500000.0,528300000.0,92600000.0,92500000,74000000.0,,,365100000.0,776900000.0,5000000.0,11500000.0,135700000.0,42700000.0,84300000.0,,411800000.0,,372300000.0,19900000.0,47700000.0,56500000.0,140000000.0,,56500000,56500000.0,0.0,247500000.0,66700000.0,,66700000.0,,,12500000.0,,-100000.0,159900000.0,0.0,,22800000.0,-8400000.0,-62400000.0,0.0,311200000.0,5500000.0,,,,
1991-04-30,43000000.0,-21100000.0,,,118400000.0,200600000.0,,66700000.0,,495300000.0,-4800000.0,,434600000.0,26200000.0,85100000,-155400000.0,,200000.0,,-1000000.0,498600000.0,68000000.0,,2400000.0,0.05,-69400000.0,490300000,21400000.0,818000000.0,246200000.0,590000000.0,67100000.0,67800000,-37000000.0,,,402000000.0,867600000.0,80000000.0,14200000.0,115300000.0,46100000.0,-48000000.0,,465600000.0,,289700000.0,17300000.0,126100000.0,40900000.0,115500000.0,,40900000,40900000.0,0.0,268600000.0,80900000.0,0.05,80900000.0,,,12500000.0,,700000.0,132800000.0,0.0,818000000.0,22900000.0,-8400000.0,-74200000.0,0.0,372300000.0,8100000.0,,,,
1991-07-31,44200000.0,-38900000.0,,,111500000.0,198300000.0,,0.0,,523300000.0,-4400000.0,,485800000.0,19900000.0,74600000,-168500000.0,,-100000.0,,0.0,521900000.0,56100000.0,,1300000.0,0.03,-60200000.0,523100000,-6700000.0,1140000000.0,296100000.0,654300000.0,54100000.0,55800000,-59600000.0,,,427100000.0,948300000.0,77500000.0,-15400000.0,103800000.0,51400000.0,-66900000.0,,521200000.0,,324800000.0,18800000.0,128900000.0,34200000.0,123700000.0,,34200000,34200000.0,-100000.0,307500000.0,65500000.0,0.03,65500000.0,,,80800000.0,,1600000.0,142500000.0,0.0,1140000000.0,24400000.0,-10900000.0,-64600000.0,-100000.0,425000000.0,11000000.0,,,,
1991-10-31,45300000.0,-66900000.0,,,156100000.0,297400000.0,,0.0,,586800000.0,-700000.0,,529600000.0,43400000.0,135300000,-181700000.0,,,,0.0,581800000.0,-45300000.0,,1400000.0,0.07,-66500000.0,702100000,137400000.0,1011428571.0,364400000.0,711300000.0,114200000.0,115700000,47100000.0,,,521500000.0,1086900000.0,77500000.0,25400000.0,163400000.0,58200000.0,70900000.0,,565400000.0,,404700000.0,19600000.0,135700000.0,70800000.0,162100000.0,,70800000,70800000.0,-100000.0,374400000.0,90900000.0,0.07,90900000.0,,,44900000.0,,1400000.0,181700000.0,0.0,1011428571.0,26200000.0,-10900000.0,-67200000.0,100000.0,500100000.0,9600000.0,,,,
1992-01-31,51300000.0,60300000.0,,,158300000.0,336000000.0,,0.0,,677800000.0,700000.0,,547700000.0,51500000.0,161600000,-189700000.0,,,,0.0,654900000.0,-38400000.0,,14900000.0,,-40400000.0,803500000,181600000.0,,330300000.0,737400000.0,135500000.0,135200000,78100000.0,,,565800000.0,1147400000.0,77500000.0,101700000.0,169500000.0,61800000.0,141200000.0,,581600000.0,,467500000.0,26400000.0,139300000.0,84000000.0,174400000.0,,84000000,84000000.0,100000.0,313900000.0,192600000.0,,192600000.0,,,2500000.0,,-200000.0,200800000.0,0.0,,33800000.0,-10900000.0,-39700000.0,0.0,469600000.0,100000.0,,,,
1992-04-30,58000000.0,3800000.0,,,147100000.0,232800000.0,,192600000.0,,735400000.0,1400000.0,,596700000.0,27700000.0,97200000,-189700000.0,,17500000.0,,,689100000.0,-7000000.0,,4000000.0,0.05,-72600000.0,588900000,17800000.0,906000000.0,261700000.0,786400000.0,73000000.0,73000000,-69200000.0,,,509300000.0,1140000000.0,77500000.0,-61000000.0,112100000.0,65400000.0,-54800000.0,,630700000.0,,356100000.0,24200000.0,142900000.0,45300000.0,135600000.0,,45300000,45300000.0,0.0,310200000.0,131500000.0,0.05,131500000.0,,,2500000.0,,,159800000.0,0.0,906000000.0,34000000.0,-11000000.0,-71200000.0,0.0,404600000.0,0.0,,,,
1992-07-31,61100000.0,-131200000.0,,,202600000.0,229900000.0,,0.0,,769600000.0,-8200000.0,,634800000.0,23100000.0,90000000,-189700000.0,,-100000.0,,,715800000.0,-3500000.0,,500000.0,0.04,-56700000.0,614100000,-23600000.0,942500000.0,313800000.0,824500000.0,60800000.0,62000000,-89200000.0,,,554000000.0,1229100000.0,75000000.0,-92000000.0,99200000.0,70700000.0,-80300000.0,,675100000.0,,384200000.0,28000000.0,145700000.0,37700000.0,139900000.0,,37700000,37700000.0,0.0,441500000.0,39500000.0,0.04,39500000.0,,,12000000.0,,1200000.0,167900000.0,0.0,942500000.0,40300000.0,-11000000.0,-64900000.0,7000000.0,459500000.0,0.0,,,,
1992-10-31,59500000.0,-52100000.0,,,188900000.0,321500000.0,,0.0,,819100000.0,-800000.0,,644200000.0,38000000.0,131300000,-189700000.0,,3700000.0,,,766800000.0,-6600000.0,,1400000.0,0.07,-41400000.0,827200000,61000000.0,885714286.0,332900000.0,833900000.0,100000000.0,101600000,-34400000.0,,,615300000.0,1297100000.0,75000000.0,10700000.0,129000000.0,70100000.0,19600000.0,,681800000.0,,505700000.0,29700000.0,145100000.0,62000000.0,190200000.0,,62000000,62000000.0,0.0,493300000.0,50300000.0,0.07,50300000.0,,,15000000.0,,1600000.0,219900000.0,0.0,885714286.0,37500000.0,-11000000.0,-42200000.0,0.0,478000000.0,100000.0,,,,
1993-01-31,71900000.0,127700000.0,,,193400000.0,334500000.0,,0.0,,887800000.0,-2400000.0,,650300000.0,40200000.0,138900000,-245300000.0,,,,,821500000.0,-23300000.0,,2800000.0,,-34800000.0,930200000,251800000.0,,335100000.0,895600000.0,105900000.0,106800000,185600000.0,,,690800000.0,1379200000.0,75000000.0,193000000.0,138900000.0,81300000.0,217000000.0,,688400000.0,,595700000.0,32100000.0,156300000.0,65700000.0,195600000.0,,65700000,65700000.0,100000.0,365700000.0,243300000.0,,243300000.0,,,2800000.0,,1000000.0,227700000.0,0.0,,38100000.0,-11100000.0,-37200000.0,0.0,491400000.0,0.0,,,,
1993-04-30,86300000.0,4300000.0,,,163100000.0,251600000.0,,243300000.0,,934000000.0,-2400000.0,,667500000.0,25400000.0,99700000,-245300000.0,,5300000.0,-1900000.0,,851800000.0,-5900000.0,,5200000.0,0.05,-43200000.0,643600000,24800000.0,830000000.0,290700000.0,912800000.0,66900000.0,67700000,-52100000.0,,,672500000.0,1380100000.0,75000000.0,-26600000.0,124600000.0,80400000.0,-18400000.0,,707600000.0,,392000000.0,32000000.0,155400000.0,41500000.0,151900000.0,,41500000,41500000.0,0.0,361400000.0,216700000.0,0.05,216700000.0,,,3000000.0,,800000.0,183900000.0,0.0,830000000.0,40100000.0,-11100000.0,-45600000.0,0.0,446100000.0,0.0,,,,
1993-07-31,84900000.0,-43400000.0,,,227300000.0,234700000.0,,0.0,,953400000.0,400000.0,,700900000.0,18100000.0,81400000,-245300000.0,,1500000.0,500000.0,,866500000.0,-5900000.0,,2200000.0,0.03,-64600000.0,693200000,69100000.0,956666667.0,340700000.0,946200000.0,46800000.0,47200000,4200000.0,,,714500000.0,1455900000.0,75000000.0,-1100000.0,104200000.0,86800000.0,4500000.0,,741400000.0,,458500000.0,34200000.0,161800000.0,28700000.0,153300000.0,,28700000,28700000.0,100000.0,404300000.0,215600000.0,0.03,215600000.0,,,9200000.0,,500000.0,187500000.0,0.0,956666667.0,40500000.0,-14000000.0,-64200000.0,5900000.0,502500000.0,0.0,,,,
1993-10-31,77400000.0,-92700000.0,,,232000000.0,376900000.0,,0.0,,1023600000.0,-1600000.0,,722500000.0,51500000.0,167800000,-245300000.0,,300000.0,-100000.0,,931500000.0,300000.0,,1000000.0,0.08,-53800000.0,898700000,107200000.0,986250000.0,422800000.0,967800000.0,130400000.0,130800000,-8900000.0,,,858100000.0,1616700000.0,75000000.0,51800000.0,171800000.0,95300000.0,53400000.0,,758600000.0,,521800000.0,37000000.0,170300000.0,78900000.0,209100000.0,,78900000,78900000.0,-100000.0,496600000.0,267400000.0,0.08,267400000.0,,,19000000.0,,300000.0,246100000.0,0.0,986250000.0,36200000.0,-14000000.0,-55400000.0,0.0,593100000.0,-100000.0,,,,
1994-01-31,149700000.0,165700000.0,,,216700000.0,452500000.0,,0.0,,1126500000.0,-100000.0,,740400000.0,71400000.0,218600000,-350100000.0,,-500000.0,-20900000.0,,1026800000.0,-23100000.0,,2400000.0,,-50700000.0,1060300000,350200000.0,,462200000.0,1090500000.0,180700000.0,180000000,223700000.0,,,956400000.0,1763100000.0,75000000.0,192900000.0,237900000.0,99400000.0,299500000.0,,806700000.0,,607800000.0,38600000.0,174400000.0,109300000.0,233900000.0,,109300000,109300000.0,0.0,331200000.0,460300000.0,,460300000.0,,,7600000.0,,-700000.0,272500000.0,0.0,,66300000.0,-13900000.0,-134300000.0,0.0,636600000.0,0.0,,,,
1994-04-30,254900000.0,-15900000.0,,,214300000.0,328600000.0,,460300000.0,,1192900000.0,-21700000.0,,749400000.0,41400000.0,142900000,-350100000.0,,13700000.0,,-10000000.0,1076300000.0,-17600000.0,,9400000.0,0.07,-43600000.0,751700000,38900000.0,907142857.0,483800000.0,1099500000.0,104900000.0,103900000,-77300000.0,,,942900000.0,1780600000.0,9300000.0,-137200000.0,190000000.0,94600000.0,-4700000.0,,837700000.0,,423100000.0,39000000.0,103900000.0,63500000.0,185700000.0,,63500000,63500000.0,1100000.0,346500000.0,323100000.0,0.07,323100000.0,,,79500000.0,-92900000.0,,224700000.0,0.0,907142857.0,68400000.0,-14000000.0,-158200000.0,0.0,587700000.0,19900000.0,,,,
1994-07-31,202100000.0,-69500000.0,,,265700000.0,307100000.0,,0.0,,1227700000.0,-22700000.0,,772600000.0,29000000.0,114700000,-350100000.0,,700000.0,,0.0,1103700000.0,-81700000.0,,1200000.0,0.05,-58200000.0,773100000,46800000.0,888000000.0,436500000.0,1122700000.0,73400000.0,72800000,-40100000.0,,,894900000.0,1775700000.0,,-61900000.0,157000000.0,,-11400000.0,,880800000.0,,466000000.0,41900000.0,111500000.0,44400000.0,192400000.0,,44400000,44400000.0,400000.0,416200000.0,261200000.0,0.05,261200000.0,,,13800000.0,53500000.0,,234300000.0,0.0,888000000.0,67800000.0,-16900000.0,-27400000.0,-100000.0,548000000.0,40400000.0,,,,
1994-10-31,235700000.0,-119800000.0,,,304700000.0,421500000.0,,0.0,,1316700000.0,-22500000.0,,801600000.0,61100000.0,193800000,-350100000.0,,1100000.0,,0.0,1180400000.0,-26600000.0,,2200000.0,0.09,-62400000.0,988300000,109500000.0,1040000000.0,511900000.0,1151700000.0,154700000.0,151100000,-20700000.0,,,1010700000.0,1948300000.0,,-37600000.0,204300000.0,,47100000.0,,937600000.0,,566800000.0,42700000.0,119700000.0,93600000.0,227700000.0,,93600000,93600000.0,3700000.0,537300000.0,223700000.0,0.09,223700000.0,,,2900000.0,-36200000.0,,270400000.0,0.0,1040000000.0,73600000.0,-17000000.0,-121100000.0,100000.0,631600000.0,62400000.0,,,,
1995-01-31,270600000.0,165300000.0,,,263700000.0,483100000.0,,0.0,,1375200000.0,29800000.0,,828800000.0,77600000.0,235400000,-466100000.0,,4000000.0,-17100000.0,-48300000.0,1282300000.0,-63900000.0,,0.0,,-68600000.0,1209800000,309300000.0,,499900000.0,1294900000.0,196300000.0,190800000,159100000.0,,,1055700000.0,2004200000.0,,190900000.0,233700000.0,,240700000.0,,948500000.0,,726700000.0,44600000.0,129100000.0,118700000.0,247700000.0,,118700000,118700000.0,5500000.0,370600000.0,414500000.0,,414500000.0,,,2500000.0,-14400000.0,,292300000.0,0.0,,87700000.0,-16900000.0,-53200000.0,100000.0,629000000.0,32000000.0,,,,
1995-04-30,271400000.0,-37400000.0,31200000.0,,233200000.0,326000000.0,,414500000.0,,1384100000.0,1000000.0,,852800000.0,32700000.0,123400000,-350100000.0,,-3300000.0,,-42000000.0,1315700000.0,-58700000.0,,3500000.0,0.05,-60700000.0,848700000,-29700000.0,1002000000.0,422800000.0,1202900000.0,82800000.0,78000000,-128700000.0,,,978600000.0,1934700000.0,,-116300000.0,189600000.0,,-90400000.0,,956100000.0,,522700000.0,45400000.0,127800000.0,50100000.0,202600000.0,,50100000,50100000.0,4800000.0,409000000.0,298200000.0,0.05,298200000.0,,,,,,248000000.0,0.0,1002000000.0,,-16700000.0,-28500000.0,0.0,550600000.0,103300000.0,,,,
1995-07-31,255200000.0,-99800000.0,24000000.0,,293400000.0,309300000.0,,0.0,,1410400000.0,-11200000.0,,882900000.0,21200000.0,99300000,-350100000.0,,3400000.0,,0.0,1331300000.0,-14200000.0,,2600000.0,0.03,-74000000.0,868500000,26300000.0,1080000000.0,454100000.0,1233000000.0,53600000.0,49200000,-61500000.0,,,1013000000.0,2000500000.0,,-49000000.0,160700000.0,,-47700000.0,,987500000.0,,559200000.0,50100000.0,136000000.0,32400000.0,210000000.0,,32400000,32400000.0,4500000.0,508600000.0,249200000.0,0.03,249200000.0,,,,,,260100000.0,0.0,1080000000.0,,-16800000.0,-61200000.0,100000.0,590100000.0,104600000.0,,,,
