date,quarterlyChangeInInventory,quarterlyDilutedEPS,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable
1989-03-31,-59000000.0,0.17,191000000.0,,,,201000000.0,880000000.0,733000000.0,1362000000.0,,500000000.0,4016000000.0,-20000000.0,-952000000.0,,-1000000.0,36000000.0,2020000000.0,,267000000,,-73000000.0,-5000000.0,-108000000.0,13000000.0,,1705000000.0,2972000000.0,,1854000000.0,3307000000.0,137000000.0,,-73000000.0,47000000.0,1774000000,175000000,2293000000.0,-54000000.0,0.0,8539000000.0,0.0,,,1041000000.0,500000000.0,5232000000.0,2669000000.0,0.17,,101000000,101000000.0,466000000.0,376000000.0,147000000.0,85000000.0,147000000.0,,1557000000.0,36000000.0,558000000.0,-50000000.0,0.0,2702000000.0,-28000000.0,492000000.0,74000000.0,92000000.0,4523000000.0,2000000.0,510000000.0,-26000000.0,,,,
1989-06-30,-24000000.0,0.175,177000000.0,,,,0.0,880000000.0,751000000.0,1322000000.0,,502857143.0,4040000000.0,-45000000.0,-984000000.0,,4000000.0,70000000.0,2008000000.0,,280000000,,-127000000.0,25000000.0,-77000000.0,14000000.0,,1758000000.0,2992000000.0,,1763000000.0,3217000000.0,174000000.0,,-71000000.0,85000000.0,1856000000,189000000,2214000000.0,-39000000.0,0.0,8381000000.0,0.0,,,1105000000.0,502857143.0,5164000000.0,2578000000.0,0.175,,104000000,104000000.0,471000000.0,364000000.0,108000000.0,88000000.0,108000000.0,,1529000000.0,56000000.0,562000000.0,-51000000.0,0.0,2676000000.0,-3000000.0,441000000.0,71000000.0,91000000.0,4341000000.0,6000000.0,480000000.0,14000000.0,,,,
1989-09-30,-21000000.0,0.17,170000000.0,,,,0.0,880000000.0,743000000.0,1367000000.0,,511764706.0,4113000000.0,-49000000.0,-1034000000.0,,-9000000.0,33000000.0,2036000000.0,,290000000,,-57000000.0,16000000.0,-21000000.0,14000000.0,,1810000000.0,3070000000.0,,1820000000.0,3263000000.0,135000000.0,,-61000000.0,175000000.0,1808000000,196000000,2183000000.0,9000000.0,0.0,8481000000.0,0.0,,,1065000000.0,511764706.0,5218000000.0,2548000000.0,0.17,,102000000,102000000.0,453000000.0,365000000.0,117000000.0,87000000.0,117000000.0,,1557000000.0,8000000.0,547000000.0,-50000000.0,0.0,2681000000.0,-112000000.0,453000000.0,69000000.0,94000000.0,4368000000.0,6000000.0,501000000.0,114000000.0,,,,
1989-12-31,62000000.0,,203000000.0,,,,0.0,880000000.0,786000000.0,1204000000.0,,,4246000000.0,-50000000.0,-1048000000.0,,10000000.0,52000000.0,2103000000.0,,365000000,,-261000000.0,-27000000.0,142000000.0,24000000.0,,1899000000.0,3151000000.0,,1859000000.0,3424000000.0,191000000.0,,-126000000.0,311000000.0,1961000000,274000000,2048000000.0,-50000000.0,0.0,8503000000.0,276000000.0,,,1175000000.0,,5079000000.0,2398000000.0,,,139000000,139000000.0,421000000.0,350000000.0,67000000.0,124000000.0,67000000.0,,1502000000.0,-13000000.0,512000000.0,-50000000.0,0.0,2629000000.0,-97000000.0,379000000.0,70000000.0,91000000.0,4257000000.0,-13000000.0,347000000.0,185000000.0,,,,
1990-03-31,-37000000.0,-0.795,281000000.0,,,,67000000.0,880000000.0,736000000.0,1621000000.0,,500628931.0,3856000000.0,-33000000.0,-1227000000.0,,7000000.0,-101000000.0,2010000000.0,,-312000000,,-33000000.0,-113000000.0,-74000000.0,19000000.0,,1461000000.0,3237000000.0,,1958000000.0,3477000000.0,-484000000.0,,-54000000.0,95000000.0,1903000000,-407000000,2106000000.0,-26000000.0,328000000.0,8456000000.0,0.0,,,1167000000.0,500628931.0,4979000000.0,2642000000.0,-0.795,,-383000000,-383000000.0,1048000000.0,208000000.0,41000000.0,-398000000.0,41000000.0,,1524000000.0,-12000000.0,1143000000.0,-55000000.0,0.0,2608000000.0,-87000000.0,337000000.0,65000000.0,95000000.0,4600000000.0,0.0,361000000.0,41000000.0,,,,
1990-06-30,5000000.0,0.185,279000000.0,,,,0.0,879000000.0,817000000.0,1541000000.0,,508108108.0,3864000000.0,-26000000.0,-1272000000.0,,-4000000.0,42000000.0,2006000000.0,,335000000,,-2000000.0,10000000.0,-79000000.0,16000000.0,,1516000000.0,3278000000.0,,1845000000.0,3546000000.0,152000000.0,,-76000000.0,152000000.0,2003000000,241000000,2238000000.0,76000000.0,307000000.0,8465000000.0,0.0,,,1186000000.0,508108108.0,4919000000.0,2756000000.0,0.185,,110000000,110000000.0,482000000.0,211000000.0,117000000.0,94000000.0,117000000.0,,1510000000.0,-23000000.0,576000000.0,-56000000.0,0.0,2575000000.0,-75000000.0,304000000.0,66000000.0,94000000.0,4601000000.0,0.0,338000000.0,76000000.0,,,,
1990-09-30,-10000000.0,0.23,285000000.0,,-64000000.0,,0.0,835000000.0,836000000.0,1657000000.0,,521739130.0,3950000000.0,-36000000.0,-1323000000.0,,7000000.0,62000000.0,2044000000.0,,352000000,,-158000000.0,14000000.0,52000000.0,15000000.0,,1596000000.0,3367000000.0,,1958000000.0,3705000000.0,197000000.0,,-79000000.0,304000000.0,2020000000,254000000,2210000000.0,78000000.0,307000000.0,8654000000.0,0.0,,,1184000000.0,521739130.0,4949000000.0,2746000000.0,0.23,,135000000,135000000.0,484000000.0,229000000.0,195000000.0,120000000.0,195000000.0,,1546000000.0,7000000.0,582000000.0,-54000000.0,0.0,2567000000.0,-64000000.0,301000000.0,64000000.0,98000000.0,4704000000.0,0.0,338000000.0,225000000.0,,,,
1990-12-31,18000000.0,,286000000.0,,-3000000.0,,0.0,339000000.0,897000000.0,1504000000.0,,,4092000000.0,-30000000.0,-1357000000.0,,4000000.0,62000000.0,2169000000.0,,370000000,,-409000000.0,-41000000.0,31000000.0,17000000.0,,1723000000.0,3526000000.0,,2324000000.0,3443000000.0,240000000.0,,-158000000.0,245000000.0,2174000000,274000000,1729000000.0,-155000000.0,179000000.0,8517000000.0,388000000.0,,,1277000000.0,,5074000000.0,2101000000.0,,,178000000,178000000.0,527000000.0,193000000.0,40000000.0,172000000.0,40000000.0,,1532000000.0,30000000.0,623000000.0,-51000000.0,0.0,2560000000.0,12000000.0,432000000.0,64000000.0,96000000.0,4425000000.0,0.0,345000000.0,87000000.0,,,,
1991-03-31,-36000000.0,0.185,312000000.0,,-1000000.0,,40000000.0,339000000.0,859000000.0,1847000000.0,,562162162.0,4156000000.0,-42000000.0,-1418000000.0,,,39000000.0,2178000000.0,,326000000,,160000000.0,3000000.0,-186000000.0,23000000.0,,1775000000.0,3596000000.0,,2327000000.0,3614000000.0,149000000.0,,-71000000.0,36000000.0,2122000000,223000000,1870000000.0,84000000.0,150000000.0,8702000000.0,0.0,,,1263000000.0,562162162.0,5088000000.0,2219000000.0,0.185,,110000000,110000000.0,533000000.0,199000000.0,124000000.0,104000000.0,124000000.0,,1561000000.0,-19000000.0,636000000.0,-58000000.0,0.0,2536000000.0,-113000000.0,480000000.0,55000000.0,103000000.0,4546000000.0,2000000.0,374000000.0,-35000000.0,,,,
1991-06-30,-56000000.0,0.24,318000000.0,,0.0,,0.0,339000000.0,917000000.0,1843000000.0,,562500000.0,4175000000.0,-85000000.0,-1437000000.0,,,54000000.0,2178000000.0,,375000000,,127000000.0,12000000.0,-84000000.0,20000000.0,,1858000000.0,3615000000.0,,2285000000.0,3765000000.0,195000000.0,,-110000000.0,187000000.0,2197000000,267000000,2040000000.0,123000000.0,156000000.0,8859000000.0,0.0,,,1280000000.0,562500000.0,5094000000.0,2399000000.0,0.24,,141000000,141000000.0,542000000.0,203000000.0,247000000.0,135000000.0,247000000.0,,1578000000.0,-15000000.0,650000000.0,-58000000.0,0.0,2527000000.0,-193000000.0,442000000.0,57000000.0,108000000.0,4684000000.0,0.0,389000000.0,77000000.0,,,,
