date,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTaxProvision,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets
2000-09-30,578000.0,10940000.0,,,,442000.0,75000.0,22702000.0,69136000.0,-743000,,6953000,9557000.0,-5975000.0,,,,-101000,,,-58526000.0,,8666000.0,,1321000.0,,60871000.0,,22949000.0,679000.0,14036000.0,814000.0,3214000.0,,-9449000.0,4001000.0,-1.111218,34309892.0,937000.0,2795000.0,,,608000.0,8848000.0,-4013000.0,-38026000.0,-38026000.0,,4665000.0,,5971000.0,59687000.0,-37283000.0,96000.0,,,3414000.0,4207000.0,6375000.0,,-1.111218,0.0,-3405000.0,6081000.0,34309892.0,-38026000.0,60624000.0,83573000.0,9557000.0,9557000.0,,,,,,397000.0,
2000-12-31,462000.0,9475000.0,,,,,1131000.0,25543000.0,73982000.0,-757000,,8636000,7544000.0,-4070000.0,,,,-132000,,,-64889000.0,,8219000.0,,1219000.0,,57544000.0,,19095000.0,594000.0,17324000.0,2370000.0,3465000.0,,-10320000.0,3232000.0,,,330000.0,-2795000.0,,,277000.0,1803000.0,-9203000.0,-6363000.0,-6363000.0,,4987000.0,,4413000.0,63662000.0,-6052000.0,0.0,,46000.0,-1990000.0,3627000.0,8174000.0,,,0.0,-8926000.0,9557000.0,,-6363000.0,63992000.0,83087000.0,7544000.0,7590000.0,,7276000.0,,,,625000.0,
2001-03-31,-505000.0,14102000.0,,,,3384000.0,,28729000.0,66538000.0,-1833000,,4541000,3531000.0,-5137000.0,,,,-1125000,,,-66430000.0,,8495000.0,,1328000.0,,55994000.0,,17854000.0,620000.0,20234000.0,-1510000.0,4923000.0,,,3508000.0,-0.038058,34381234.0,331000.0,0.0,,,2853000.0,-1729000.0,-3645000.0,-1541000.0,-1541000.0,,4987000.0,,5895000.0,66538000.0,292000.0,0.0,,65000.0,-4013000.0,3440000.0,5046000.0,,-0.038058,0.0,-792000.0,7544000.0,34381234.0,-1541000.0,66869000.0,84723000.0,3531000.0,3596000.0,,,,-3000.0,,708000.0,
2001-06-30,-1203000.0,19095000.0,,,,-168000.0,,32133000.0,67115000.0,-2713000,,8051000,8601000.0,-131000.0,,,,-1679000,,,-69279000.0,,8194000.0,,1510000.0,,61994000.0,,26681000.0,476000.0,23939000.0,1432000.0,5595000.0,,,3207000.0,-0.07932,34798168.0,331000.0,8824000.0,,,-2285000.0,7486000.0,-1601000.0,-2849000.0,-2849000.0,,4987000.0,,7595000.0,67115000.0,-136000.0,0.0,,13000.0,5070000.0,4877000.0,9254000.0,,-0.07932,0.0,-3886000.0,3531000.0,34798168.0,-2849000.0,67446000.0,94127000.0,8601000.0,8614000.0,,,,,,1034000.0,
2001-09-30,-796000.0,13756000.0,,,,-117000.0,,25583000.0,79522000.0,-2652000,,13790000,4866000.0,-417000.0,,,,-1374000,,,-68578000.0,,9118000.0,,1856000.0,,63083000.0,,18430000.0,578000.0,16465000.0,-102000.0,0.0,,-10320000.0,4010000.0,0.019962,37429443.0,1034000.0,13000.0,,,-1622000.0,-1696000.0,-515000.0,701000.0,701000.0,,5108000.0,,5369000.0,69202000.0,3353000.0,734000.0,404000.0,513000.0,-3735000.0,2067000.0,14586000.0,,0.019962,130544000.0,-2137000.0,8601000.0,37589724.0,701000.0,70236000.0,88666000.0,4866000.0,5379000.0,,1975000.0,,,0.0,1278000.0,
2001-12-31,-1683000.0,12283000.0,,,,,,32640000.0,82838000.0,-3331000,,10914000,3331000.0,-847000.0,,,,-2039000,,,-72966000.0,,11497000.0,,1648000.0,643000.0,58877000.0,,21070000.0,356000.0,21143000.0,75000.0,0.0,,-14394000.0,6487000.0,,,2003000.0,311000.0,,,-1032000.0,344000.0,-922000.0,-4388000.0,-4388000.0,,5010000.0,,4655000.0,68444000.0,-274000.0,4618000.0,237000.0,513000.0,-1535000.0,6037000.0,12597000.0,,,0.0,-1954000.0,4866000.0,,-4388000.0,70447000.0,91517000.0,3331000.0,3844000.0,,1390000.0,,,200000.0,,
2002-03-31,914000.0,11931000.0,,,,1568000.0,,32095000.0,69718000.0,-1072000,,10199000,19921000.0,-1353000.0,,,,357000,,,-74269000.0,,10816000.0,,1986000.0,,75203000.0,,35577000.0,557000.0,21279000.0,100000.0,0.0,,,,-0.029999,38603987.0,2003000.0,-730000.0,,,1632000.0,16311000.0,-1453000.0,-1303000.0,-1303000.0,,,,6282000.0,69718000.0,35000.0,5696000.0,17189000.0,513000.0,16590000.0,3387000.0,9285000.0,,-0.029999,0.0,179000.0,3331000.0,38603987.0,-1303000.0,71721000.0,107298000.0,19921000.0,20434000.0,266000.0,3652000.0,,,,1429000.0,
2002-06-30,548000.0,10262000.0,,,,-1959000.0,1207000.0,30167000.0,72649000.0,-1385000,,11615000,21025000.0,-1356000.0,,,,50000,,,-75516000.0,,10295000.0,-1487000.0,1933000.0,,82519000.0,,37354000.0,498000.0,19872000.0,10000.0,0.0,,,6166000.0,-0.03,41740111.0,2443000.0,559000.0,,,-1713000.0,4173000.0,-1366000.0,-1247000.0,-1247000.0,-240000.0,4012000.0,,7205000.0,72649000.0,147000.0,4577000.0,5367000.0,13000.0,1104000.0,4113000.0,11067000.0,,-0.03,0.0,-3079000.0,19921000.0,41740111.0,-1247000.0,75332000.0,112686000.0,21025000.0,21038000.0,249000.0,1210000.0,,,,1435000.0,
2002-09-30,-486000.0,11591000.0,,,0.0,1568000.0,1108000.0,30684000.0,73425000.0,-2407000,,11195000,17964000.0,-3457000.0,,,,-1091000,,,-92903000.0,,10265000.0,-17387000.0,1921000.0,606000.0,65122000.0,,34119000.0,605000.0,20419000.0,-630000.0,0.0,,-14394000.0,6739000.0,-0.4,43193324.0,2416000.0,-723000.0,,,1166000.0,-770000.0,-2827000.0,-17387000.0,-17387000.0,0.0,3409000.0,,6054000.0,59031000.0,-14730000.0,5177000.0,90000.0,13000.0,-3061000.0,5408000.0,11681000.0,,-0.4,0.0,-1661000.0,21025000.0,43193324.0,-17387000.0,61687000.0,95806000.0,17964000.0,17977000.0,250000.0,720000.0,,,,1316000.0,
2002-12-31,-250000.0,15227000.0,,,,,,39474000.0,92167000.0,-1619000,,12084000,10185000.0,-4772000.0,,,,-927000,,,-106624000.0,,19243000.0,,1369000.0,130000.0,55492000.0,,22630000.0,677000.0,20231000.0,-638000.0,0.0,,-32720000.0,15301000.0,,,12889000.0,-68000.0,,,-1827000.0,-1180000.0,-4134000.0,-13721000.0,-13721000.0,,3942000.0,,4637000.0,59447000.0,-11908000.0,3111000.0,175000.0,13000.0,-7779000.0,4598000.0,12334000.0,,,0.0,-5961000.0,17964000.0,,-13721000.0,72336000.0,94966000.0,10185000.0,10198000.0,223000.0,,,,,,
