date,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyInventory,quarterlyLongTermDebt,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2014-12-31,1627686000.0,58142000,5657407000,7076906000,48583000,-4961144000.0,6928564000,,11889708000.0,10786336000,10290847000,18731528000,5048360000,1564000.0,0.0,0.0,917322000,413000,1511346000,868739000,4568555000,3663710000.0,3662146000.0,138956000.0,49000.0,7945192000,11208169000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,0.0,58142000,5087545000,7253826000,44285000,,7276063000,4455964000.0,7276063000.0,9370253000,9182893000,18117001000,4357327000,,0.0,0.0,1181304000,413000,1947936000,1137019000,3979180000,2371152000.0,2371152000.0,53022000.0,,8746748000,10364197000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,72656000.0,58142000,5652125000,7085517000,60068000,-5503600000.0,7150784000,4618808000.0,12654384000.0,9730248000,8578739000,18234444000,4694937000,6265000.0,0.0,0.0,2060124000,413000,1775706000,2000056000,2882553000,2055200000.0,2055200000.0,44111000.0,,8504196000,10638863000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,75724000.0,58142000,5950898000,7143141000,66503000,,7255324000,4866716000.0,7255324000.0,11975973000,9282067000,21052678000,4960715000,11626000.0,0.0,0.0,4091844000,413000,2477864000,4025341000,3290229000,2937786000.0,2937786000.0,407429000.0,,9076705000,13373911000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,239715000.0,58142000,7736522000,6711475000,72674000,-5904832000.0,8521135000,4879828000.0,14425967000.0,13197343000,11668911000,23296761000,6980561000,27894000.0,0.0,0.0,4332983000,413000,2603218000,4260309000,3794507000,2453623000.0,2453623000.0,588557000.0,,10099418000,16001894000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,3525945000.0,58142000,7498995000,6790900000,78842000,,9884590000,4519594000.0,9884590000.0,12597170000,16038551000,24370075000,5209668000,22399000.0,0.0,0.0,1059496000,413000,2466043000,980654000,8488276000,0.0,0.0,679563000.0,,11772905000,17098047000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,62409000,8909258000,7882771000,47359000,-7233928000.0,12251033000,4661841000.0,19484961000.0,12567607000,13460958000,26938830000,4391506000,,,,5029717000,413000,2579619000,4982358000,4370053000,3465844000.0,3465844000.0,,,14371223000,18490675000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,62409000,9298396000,7733184000,46679000,,12826246000,,12826246000.0,11581937000,13687944000,26323224000,2792698000,,,,4312667000,413000,3193357000,4265988000,4369427000,,,,,14741287000,18000611000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,65785000,8547580000,7636576000,56692000,-7927400000.0,12690727000,4694022000.0,20618127000.0,10899554000,15826517000,25054501000,4510656000,,,,981957000,413000,3132622000,925265000,7118297000,1090379000.0,1090379000.0,,,14154947000,16808474000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,65785000,8379394000,7880780000,52026000,,12716498000,4834092000.0,12716498000.0,11192437000,16231760000,25150666000,3762035000,,,,185217000,413000,3835162000,132382000,6713800000,1608350000.0,1608350000.0,,,13958229000,16416977000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
