,trailingPretaxIncome,annualNonCurrentDeferredRevenue,annualGoodwill,annualTotalAssets,trailingCashDividendsPaid,annualNetIncome,trailingNetIncome,annualRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualCashDividendsPaid,quarterlyLongTermDebt,annualLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,annualPretaxIncome,annualBasicAverageShares,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualSaleOfInvestment,annualCommonStockIssuance,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,annualOtherNonCashItems,trailingChangeInWorkingCapital,trailingChangeInAccountPayable,annualPurchaseOfInvestment,annualBasicEPS,annualStockholdersEquity,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedAverageShares,annualDepreciationAndAmortization,trailingStockBasedCompensation,quarterlyNetIncomeCommonStockholders,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,annualEndCashPosition,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,trailingTotalRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,annualOperatingCashFlow,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,annualAccountsPayable,quarterlyCurrentDebt,annualCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,annualOtherShortTermInvestments,trailingEndCashPosition,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,annualOtherNonCurrentAssets,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,annualEbitda,annualOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,annualInterestExpense,annualBeginningCashPosition,trailingChangeInCashSupplementalAsReported,quarterlyChangeInInventory,annualCurrentAssets,trailingCapitalExpenditure,quarterlyDilutedEPS,annualGrossPPE,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,quarterlySaleOfInvestment,quarterlyGrossProfit,quarterlyAccountsPayable,annualSellingGeneralAndAdministration,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,annualRepaymentOfDebt,annualTotalNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingExpense,trailingGrossProfit,trailingRepaymentOfDebt,quarterlyCapitalStock,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,trailingDeferredIncomeTax,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingInterestExpense,quarterlyNetOtherInvestingChanges,quarterlyTaxProvision,annualTaxProvision,annualInventory,trailingTaxProvision,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualStockBasedCompensation,annualCurrentDebt,quarterlyNetPPE,annualCapitalStock,annualOtherCurrentAssets,annualCostOfRevenue,annualTotalRevenue,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,trailingChangeInInventory,trailingDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyBasicEPS,annualNetOtherFinancingCharges,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,quarterlyRetainedEarnings,annualFreeCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingOtherNonCashItems,quarterlyPretaxIncome,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualChangeInWorkingCapital,annualPurchaseOfBusiness,trailingOperatingExpense,trailingNetIncomeContinuousOperations,annualNetIncomeContinuousOperations,quarterlyOperatingCashFlow,annualDilutedAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,trailingCostOfRevenue,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualDilutedEPS,quarterlyIncomeTaxPayable,annualChangeInInventory,quarterlyOperatingIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,trailingFreeCashFlow,annualAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyResearchAndDevelopment,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,annualInvestmentsAndAdvances,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingOtherIncomeExpense,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,quarterlyAccountsReceivable,trailingBasicEPS
481075200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000.0,1300000.0,65000000.0,,,1300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000000.0,,,,,,115500000.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115500000.0,,115500000.0,,,,,,,,,,,,,,,,,,,,,,,
488937600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800000.0,4800000.0,240000000.0,,,4800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000000.0,,,,,,148200000.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148200000.0,,148200000.0,,,,,,,,,,,,,,,,,,,,,,,
496886400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100000.0,4100000.0,205000000.0,,,4100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205000000.0,,,,,,138700000.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138700000.0,,138700000.0,,,,,,,,,,,,,,,,,,,,,,,
504835200,,,,227600000.0,,17800000.0,,78800000.0,38200000.0,227600000.0,,64300000.0,64300000.0,43700000.0,,,,5100000.0,34800000.0,296666667.0,,,,,,42100000.0,,,,,0.06,108000000.0,,,,7600000.0,7600000.0,,,,7600000.0,,,,,,5200000.0,,178200000.0,,,,,,,6800000.0,6800000.0,,,6500000.0,50200000.0,,,,,,,,14700000.0,,14700000.0,23500000.0,,,46600000.0,5100000.0,119600000.0,,,6800000.0,,6800000.0,4400000.0,,7300000.0,,,,189400000.0,,,38600000.0,,,17800000.0,,,,130400000.0,,,,38200000.0,,,,,,,,,108000000.0,,,,,,43700000.0,,,,17000000.0,178200000.0,,,-15100000.0,,6500000.0,23500000.0,,4400000.0,407400000.0,584400000.0,,,,,,,-360300000.0,,,177000000.0,5200000.0,-15100000.0,78800000.0,,,,,,,,,134900000.0,,,,,17800000.0,,296666667.0,,,,38600000.0,189400000.0,50200000.0,0.06,,,-360300000.0,119600000.0,182000000.0,,,,,,,,,,,,,,,,,,,,,,,
512611200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1700000.0,-1700000.0,85000000.0,,,-1700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000000.0,,,,,,108700000.0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108700000.0,,108700000.0,,,,,,,,,,,,,,,,,,,,,,,
520473600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400000.0,2400000.0,120000000.0,,,2400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000000.0,,,,,,135900000.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135900000.0,,135900000.0,,,,,,,,,,,,,,,,,,,,,,,
528422400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000.0,1100000.0,55000000.0,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000000.0,,,,,,134000000.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134000000.0,,134000000.0,,,,,,,,,,,,,,,,,,,,,,,
536371200,,,,232400000.0,,4300000.0,,79400000.0,38200000.0,232400000.0,,52300000.0,52300000.0,58700000.0,,,,6100000.0,7600000.0,215000000.0,,,,,,14500000.0,,,,,0.02,108800000.0,,,,2500000.0,2500000.0,,,,2500000.0,,,,,,6100000.0,,183900000.0,,,,,,,5200000.0,5200000.0,,,6500000.0,65200000.0,,,,,,,,9100000.0,,9100000.0,29100000.0,,,20400000.0,6100000.0,123600000.0,,,5200000.0,,5200000.0,5100000.0,,6900000.0,,,,194200000.0,,,49400000.0,,,4300000.0,,,,140900000.0,,,,38200000.0,,,,,,,,,108800000.0,,,,,,58700000.0,,,,3300000.0,183900000.0,,,-20300000.0,,6500000.0,29100000.0,,5100000.0,403500000.0,564800000.0,,,,,,,-364100000.0,,,161300000.0,6100000.0,-20300000.0,79400000.0,,,,,,,,,146800000.0,,,,,4300000.0,,215000000.0,,,,49400000.0,194200000.0,65200000.0,0.02,,,-364100000.0,123600000.0,186200000.0,,,,,,,,,,,,,,,,,,,,,,,
544147200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1500000.0,-1500000.0,75000000.0,,,-1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000000.0,,,,,,116000000.0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116000000.0,,116000000.0,,,,,,,,,,,,,,,,,,,,,,,
552009600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,2000000.0,100000000.0,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000.0,,,,,,146000000.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146000000.0,,146000000.0,,,,,,,,,,,,,,,,,,,,,,,
559958400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000.0,700000.0,35000000.0,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000000.0,,,,,,136900000.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136900000.0,,136900000.0,,,,,,,,,,,,,,,,,,,,,,,
567907200,,,,224900000.0,,6500000.0,,82100000.0,34500000.0,224900000.0,,48900000.0,48900000.0,45100000.0,,,,5100000.0,11600000.0,325000000.0,,,,,,18300000.0,,,,,0.02,109500000.0,,,,5300000.0,5300000.0,,,,5300000.0,,,,,,5100000.0,,177100000.0,,,,,,,7300000.0,7300000.0,,,16300000.0,61400000.0,,,,,,,,9100000.0,,9100000.0,25400000.0,,,25200000.0,5100000.0,115400000.0,,,7300000.0,,7300000.0,6000000.0,,6800000.0,,,,190400000.0,,,49900000.0,,,6500000.0,,,,146600000.0,,,,34500000.0,,,,,,,,,109500000.0,,,,,,45100000.0,,,,5100000.0,177100000.0,,,-24500000.0,,16300000.0,25400000.0,,6000000.0,416600000.0,588400000.0,,,,,,,-380600000.0,,,171800000.0,5100000.0,-24500000.0,82100000.0,,,,,,,,,153500000.0,,,,,6500000.0,,325000000.0,,,,49900000.0,190400000.0,61400000.0,0.02,,,-380600000.0,115400000.0,189500000.0,,,,,,,,,,,,,,,,,,,,,,,
578361600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-800000.0,-800000.0,40000000.0,,,-800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000000.0,,,,,,124200000.0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124200000.0,,124200000.0,,,,,,,,,,,,,,,,,,,,,,,
586310400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400000.0,2400000.0,120000000.0,,,2400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000000.0,,,,,,145600000.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145600000.0,,145600000.0,,,,,,,,,,,,,,,,,,,,,,,
594259200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0,2500000.0,125000000.0,,,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000000.0,,,,,,153100000.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153100000.0,,153100000.0,,,,,,,,,,,,,,,,,,,,,,,
