,trailingSaleOfInvestment,annualIncomeTaxPayable,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,trailingOtherNonCashItems,trailingPurchaseOfBusiness,annualStockholdersEquity,quarterlyNetOtherFinancingCharges,annualAccountsReceivable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualPurchaseOfInvestment,annualPurchaseOfBusiness,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,annualDepreciationAndAmortization,trailingPretaxIncome,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,annualInvestingCashFlow,quarterlyOperatingCashFlow,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyInventory,annualStockBasedCompensation,annualGoodwill,trailingNetIncome,quarterlyAccountsReceivable,annualChangeInInventory,quarterlyCostOfRevenue,trailingCashDividendsPaid,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,annualChangeInWorkingCapital,annualOperatingCashFlow,annualInventory,annualCurrentLiabilities,annualGrossProfit,trailingChangeInInventory,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,trailingRepaymentOfDebt,annualOperatingIncome,trailingChangeInWorkingCapital,trailingOperatingIncome,trailingOtherIncomeExpense,trailingResearchAndDevelopment,annualOtherNonCurrentLiabilities,annualCapitalStock,annualRepaymentOfDebt,annualTotalRevenue,quarterlyFreeCashFlow,trailingGrossProfit,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualNetOtherInvestingChanges,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,trailingInterestExpense,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,trailingPurchaseOfInvestment,annualEndCashPosition,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingTotalRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,annualPretaxIncome,trailingCapitalExpenditure,quarterlyCapitalStock,annualGrossPPE,trailingChangeInCashSupplementalAsReported,annualAccountsPayable,trailingInvestingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,annualBasicEPS,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,trailingOperatingExpense,quarterlyDeferredIncomeTax,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,quarterlyOperatingIncome,annualNetIncomeContinuousOperations,annualBeginningCashPosition,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,annualCapitalExpenditure,annualBasicAverageShares,trailingDeferredIncomeTax,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualNetOtherFinancingCharges,quarterlyChangeInInventory,trailingBeginningCashPosition,annualInterestExpense,annualChangesInAccountReceivables,trailingCostOfRevenue,annualCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyOtherNonCashItems,annualEbitda,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualResearchAndDevelopment,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualOtherShortTermInvestments,quarterlyRetainedEarnings,annualFreeCashFlow,annualOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,trailingOperatingCashFlow,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,annualCostOfRevenue,quarterlyAccumulatedDepreciation,quarterlyGoodwill,trailingNetIncomeCommonStockholders,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,trailingTaxProvision,quarterlyNetOtherInvestingChanges,annualDilutedEPS,annualTaxProvision,annualTotalAssets,annualCurrentDebt,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,annualCashDividendsPaid,annualLongTermDebt,annualNetIncome,quarterlyOtherCurrentAssets,annualOtherNonCashItems,annualDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,annualOtherCurrentAssets,annualTotalNonCurrentAssets,trailingDepreciationAndAmortization,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,annualCommonStockIssuance,trailingChangesInAccountReceivables,trailingDilutedEPS,trailingBasicEPS,trailingCommonStockIssuance,annualNonCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,trailingDilutedAverageShares
1222732800,,,,,,,,,,,,,,,,38.961065,69970000000.0,,,,69294000000.0,,,,,,,,,,,72081000000.0,,38501000000.0,,,,,86237000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69294000000.0,,,,,,,,,,,,,,,,,,,666000000.0,,,,,,,,,,,,,,,,,,338178000000.0,,251940000000.0,,,,410259000000.0,,,,,,,,,,,,,,,,,,,,,,,109137000000.0,,,,,,,,,,,,,,38.961065,86238000000.0,,108471000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,,,,,,,,-829000000.0,,,-5939000000.0,,,,54.418084,97565000000.0,,,74876000000.0,96785000000.0,,52660000000.0,251080000000.0,,127171000000.0,,,,342176000000.0,,70562000000.0,,53731000000.0,267834000000.0,-178598000000.0,384033000000.0,,56531000000.0,,,,,,,446083000000.0,30807000000.0,,,,,,,,,,,,,,,46721000000.0,,,,,,,,,,,96785000000.0,,,2554650000000.0,1247059000000.0,,606598000000.0,222565000000.0,766204000000.0,,,63541000000.0,,,,,31775000000.0,3699000000.0,-18964000000.0,212000000.0,,,,,1578726000.0,,,,635818000000.0,-15825000000.0,,75474000000.0,,,,,,325058000000.0,,268527000000.0,,,,395620000000.0,,,,,,9171000000.0,587606000000.0,,-6274000000.0,,,,,,,-16557000000.0,,,,,,-122331000000.0,182315000000.0,,,,,2068954000000.0,,,,409768000000.0,,,1307591000000.0,-64869000000.0,54.418084,56531000000.0,226050000000.0,151296000000.0,,1876912000000.0,134313000000.0,,,273246000000.0,,,,,2291000000.0,,,,,0.0,1578726000.0,,,,65343000000.0,,,70462000000.0,,,,,,,,,,,,,,,,,
1238457600,,,142116000000.0,141696000000.0,,,,2011451000000.0,-477000000.0,,,-9146000000.0,-892672000000.0,,0.0,,66096000000.0,118081000000.0,,56861000000.0,65812000000.0,-767256000000.0,144464000000.0,258493000000.0,,131658000000.0,,284446000000.0,,,-10997000000.0,68273000000.0,,4887000000.0,21409000000.0,170476000000.0,529248000000.0,,,-36917000000.0,326273000000.0,131658000000.0,472106000000.0,1248793000000.0,,463299000000.0,30948000000.0,,258493000000.0,,758781000000.0,,306468000000.0,,,,,58461000000.0,63541000000.0,-800000000.0,1538336000000.0,135318000000.0,,21409000000.0,-855158000000.0,22205000000.0,,,,,,,65812000000.0,,758082000000.0,2760188000000.0,1284604000000.0,,758781000000.0,229533000000.0,587606000000.0,398546000000.0,,63541000000.0,,,238797000000.0,,15972000000.0,3214000000.0,-733000000.0,359000000.0,942325000000.0,,942325000000.0,56861000000.0,,,,,706348000000.0,37683000000.0,144.91,238797000000.0,,,-280268000000.0,,,267303000000.0,,-297424000000.0,237195000000.0,1613240000000.0,,335576000000.0,-39464000000.0,1617452212.0,,,229533000000.0,6267000000.0,758082000000.0,-2956000000.0,-2472000000.0,,1621000000.0,,,1475584000000.0,,1688000000.0,518248000000.0,234385000000.0,,,,-16000000.0,102290000000.0,,234242000000.0,,529248000000.0,2012251000000.0,286809000000.0,463299000000.0,,472106000000.0,706348000000.0,,1475584000000.0,-6822000000.0,,564727000000.0,234242000000.0,70983000000.0,,2011451000000.0,141696000000.0,289543000000.0,,284446000000.0,,,2012251000000.0,,-203000000.0,144.9,161351000000.0,2760188000000.0,3214000000.0,0.0,,-142446000000.0,0.0,234385000000.0,64599000000.0,125100000000.0,1617563837.0,58461000000.0,64599000000.0,1284604000000.0,,,,,,,,,,,,,,,
1246320000,,,,,,,,,-989000000.0,,,-8632000000.0,,,,71.319532,113243000000.0,,,,112594000000.0,,76508000000.0,,,,,,,,,71336000000.0,,24351000000.0,,-15973000000.0,,,64867000000.0,,,,,,,,30311000000.0,,,,,,,,,,,,,,,67876000000.0,,,,,,,,,,,112594000000.0,,,,,,,,758082000000.0,,,,,,,,5144000000.0,,-7917000000.0,342000000.0,,,,,1578726000.0,,,,,-19341000000.0,,,,,,,,307641000000.0,,242773000000.0,,,,378977000000.0,,,,,,-22447000000.0,742109000000.0,,-1093000000.0,,,,,,,-18465000000.0,,,,,,-13000000.0,168247000000.0,,,,,,,,,,,,,-64455000000.0,71.319532,64868000000.0,,137594000000.0,,,,,,,,,,,-11147000000.0,,,,,,1578726000.0,,,,,,,,,,,,,,,,,,,,,,,,
1254268800,,,,,,,,,-445000000.0,,,-18191000000.0,,,,48.798842,77633000000.0,,,123623000000.0,77040000000.0,,112931000000.0,264867000000.0,,135921000000.0,,,,,,69046000000.0,,39677000000.0,230717000000.0,56973000000.0,547591000000.0,,70714000000.0,,,,,,,402395000000.0,29689000000.0,,,,,,,,,,,,,,,94740000000.0,,,,,,,,,,,77040000000.0,,,2739933000000.0,1233901000000.0,,808312000000.0,260721000000.0,742109000000.0,,,63541000000.0,,,,,1402000000.0,3101000000.0,-5695000000.0,479000000.0,,,,,,,,,651112000000.0,-7931000000.0,,72808000000.0,,,,,,307430000000.0,,236717000000.0,,,,376476000000.0,,,,,,-16605000000.0,799083000000.0,,-4738000000.0,,,,,,,-13628000000.0,,,,,,-8000000.0,147478000000.0,,,,,2129245000000.0,,,,429918000000.0,,,1506032000000.0,-8081000000.0,48.798842,70713000000.0,221194000000.0,117310000000.0,,2045724000000.0,132278000000.0,,,255717000000.0,,,,,5878000000.0,,,,,,,,,,36906000000.0,,,64880000000.0,,,,,,,,,,,,,,,,,
1262217600,,,,,,,,,-1311000000.0,,,-27257000000.0,,,,44.03234,70250000000.0,,,126793000000.0,69515000000.0,,79337000000.0,291709000000.0,,138762000000.0,,,,,,74248000000.0,,44105000000.0,251634000000.0,3986000000.0,532288000000.0,,73698000000.0,,,,,,,392226000000.0,28054000000.0,,,,,,,,,,,,,,,52080000000.0,,,,,,,,,,,69515000000.0,,,2753315000000.0,1256430000000.0,,807404000000.0,275116000000.0,799083000000.0,,,63541000000.0,,,,,5460000000.0,3265000000.0,-301000000.0,347000000.0,,,,,1578760190.0,,,,646572000000.0,5707000000.0,,74643000000.0,,,,,,298245000000.0,,224547000000.0,,,,372493000000.0,,,,,,-20810000000.0,803068000000.0,,-2208000000.0,,,,,,,-7609000000.0,,,,,,-6000000.0,142756000000.0,,,,,2127708000000.0,,,,426447000000.0,,,1496885000000.0,-61713000000.0,44.03234,73698000000.0,220125000000.0,114355000000.0,,2063656000000.0,129794000000.0,,,256252000000.0,,,,,1248000000.0,,,,,,1578760190.0,,,,30552000000.0,,,66764000000.0,,,,,,,,,,,,,,,,,
1269993600,,,13208000000.0,141731000000.0,,,,2121338000000.0,-576000000.0,,,-32880000000.0,-23928000000.0,,0.0,,39034000000.0,114825000000.0,,66536000000.0,38595000000.0,-117521000000.0,112392000000.0,318949000000.0,,137696000000.0,,256117000000.0,,,-7370000000.0,70435000000.0,,7535000000.0,16182000000.0,49412000000.0,616678000000.0,,,14148000000.0,381168000000.0,137696000000.0,428477000000.0,1180901000000.0,,383778000000.0,26771000000.0,,318949000000.0,,883216000000.0,,420211000000.0,,,,,51603000000.0,63541000000.0,,1465965000000.0,79512000000.0,,16182000000.0,94398000000.0,-20594000000.0,,,,,,,38595000000.0,,852480000000.0,2823274000000.0,1250400000000.0,,883216000000.0,266538000000.0,803068000000.0,415829000000.0,,63541000000.0,,,195906000000.0,,1202000000.0,3285000000.0,-10015000000.0,262000000.0,760689000000.0,,760690000000.0,66536000000.0,,,,,658529000000.0,35713000000.0,188.595,195906000000.0,,,-34000000.0,,,267585000000.0,,-283828000000.0,300161000000.0,758082000000.0,,338019000000.0,-86960000000.0,1578748111.0,,,266538000000.0,-57659000000.0,852480000000.0,-3321000000.0,669000000.0,,1429000000.0,,,1572874000000.0,,8773000000.0,532083000000.0,297744000000.0,,,,-7000000.0,73602000000.0,,230052000000.0,,616678000000.0,2166303000000.0,294208000000.0,383778000000.0,,428477000000.0,658529000000.0,,1572874000000.0,-9305000000.0,,551412000000.0,230052000000.0,46569000000.0,,2121338000000.0,141731000000.0,285064000000.0,,256117000000.0,,,2166303000000.0,,-16573000000.0,188.57,115668000000.0,2823274000000.0,3285000000.0,,,-143554000000.0,0.0,297744000000.0,35077000000.0,-30929000000.0,1578957416.0,51603000000.0,35077000000.0,1250400000000.0,,,,,,,,,,,,,,,
1277856000,,,,,,,,,-941000000.0,,,-48272000000.0,,,,40.608447,64846000000.0,,,97962000000.0,64111000000.0,,38896000000.0,353509000000.0,,135654000000.0,,,,,,73102000000.0,,38988000000.0,219563000000.0,-81298000000.0,541417000000.0,,62113000000.0,,,,,,,356423000000.0,25920000000.0,,,,,,,,,,,,,,,-9376000000.0,,,,,,,,,,,64111000000.0,,,2684347000000.0,1218166000000.0,,771182000000.0,229765000000.0,852480000000.0,,,63541000000.0,,,,,15150000000.0,3058000000.0,-18000000.0,307000000.0,,,,,1578760190.0,,,,599371000000.0,-12590000000.0,,73492000000.0,,,,,,281596000000.0,,219484000000.0,,,,354698000000.0,,,,,,-21200000000.0,771182000000.0,,-163000000.0,,,,,,,-30693000000.0,,,,,,-5000000.0,130061000000.0,,,,,2159363000000.0,,,,368000000000.0,,,1466181000000.0,-62556000000.0,40.608447,62112000000.0,231371000000.0,103834000000.0,,2040797000000.0,127858000000.0,,,239998000000.0,,,,,11909000000.0,,,,,,1578760190.0,,,,41607000000.0,,,81594000000.0,,,,,,,,,,,,,,,,,
1285804800,,,,,,,,,-837000000.0,,,-36835000000.0,,,,50.736015,80813000000.0,,,98497000000.0,80100000000.0,,110156000000.0,382944000000.0,,135430000000.0,,,,,,77481000000.0,,40826000000.0,200266000000.0,34390000000.0,583590000000.0,,62082000000.0,,,,,,,330788000000.0,25283000000.0,,,,,,,,,,,,,,,73321000000.0,,,,,,,,,,,80100000000.0,,,2708669000000.0,1207606000000.0,,805572000000.0,221982000000.0,771182000000.0,,,63541000000.0,,,,,882000000.0,2992000000.0,-47000000.0,359000000.0,,,,,1578760190.0,,,,595184000000.0,-4265000000.0,,75381000000.0,,,,,,281846000000.0,,219764000000.0,,,,359327000000.0,,,,,,-41386000000.0,805572000000.0,,919000000.0,,,,,,,-17184000000.0,,,,,,-9000000.0,147281000000.0,,,,,2239463000000.0,,,,375452000000.0,,,1501063000000.0,-8438000000.0,50.736015,62082000000.0,219732000000.0,121639000000.0,,2068812000000.0,119793000000.0,,,224195000000.0,,,,,-5706000000.0,,,,,,1578760190.0,,,,38669000000.0,,,77726000000.0,,,,,,,,,,,,,,,,,
1293753600,,,,,,,,,-1418000000.0,,,-26329000000.0,,,,45.149352,72106000000.0,,,93709000000.0,71280000000.0,,59202000000.0,402451000000.0,,135988000000.0,,,,,,84112000000.0,,38898000000.0,214058000000.0,-48892000000.0,569129000000.0,,65806000000.0,,,,,,,311752000000.0,24971000000.0,,,,,,,,,,,,,,,32873000000.0,,,,,,,,,,,71280000000.0,,,2680068000000.0,1197807000000.0,,762379000000.0,193250000000.0,805572000000.0,,,63541000000.0,,,,,-4000000.0,3201000000.0,-3895000000.0,269000000.0,,,,,1578742190.0,,,,587535000000.0,-14312000000.0,,82693000000.0,,,,,,282993000000.0,,217187000000.0,,,,367105000000.0,,,,,,-30876000000.0,756680000000.0,,-1593000000.0,,,,,,,-3232000000.0,,,,,,-26000000.0,136244000000.0,,,,,2239691000000.0,,,,375067000000.0,,,1482261000000.0,-62607000000.0,45.149352,65806000000.0,212468000000.0,111004000000.0,,2048157000000.0,111630000000.0,,,216831000000.0,,,,,-639000000.0,,,,,,1578742190.0,,,,49229000000.0,,,78663000000.0,,,,,,,,,,,,,,,,,
1301529600,,,24383000000.0,112295000000.0,,,,2091924000000.0,-580000000.0,,,-12729000000.0,-4054000000.0,,0.0,,32479000000.0,106722000000.0,,63715000000.0,32376000000.0,-99255000000.0,118684000000.0,407480000000.0,,137127000000.0,,217123000000.0,,,-557000000.0,82887000000.0,,2615000000.0,14910000000.0,116030000000.0,656321000000.0,,,-9160000000.0,326938000000.0,137127000000.0,436596000000.0,1101803000000.0,,300304000000.0,30548000000.0,,407480000000.0,,874218000000.0,,367084000000.0,,,,,60939000000.0,63541000000.0,-1250000000.0,1419385000000.0,105955000000.0,,14910000000.0,20230000000.0,3891000000.0,,,,,,,32376000000.0,,872710000000.0,2786402000000.0,1200150000000.0,,874218000000.0,217897000000.0,756680000000.0,371572000000.0,,63541000000.0,,,211374000000.0,,8355000000.0,1345000000.0,-94000000.0,400000000.0,734719000000.0,,734719000000.0,63715000000.0,,,,,649746000000.0,22007000000.0,157.005,211374000000.0,,,-50000000.0,,,255367000000.0,,-289349000000.0,250246000000.0,852480000000.0,,338255000000.0,-124165000000.0,1578726792.0,,,217897000000.0,-5793000000.0,872710000000.0,-3776000000.0,280000000.0,,1335000000.0,,,1586252000000.0,,42084000000.0,479629000000.0,247868000000.0,,,,-10000000.0,66042000000.0,,213150000000.0,,656321000000.0,2272067000000.0,202773000000.0,300304000000.0,,436596000000.0,649746000000.0,,1586252000000.0,-8454000000.0,,544717000000.0,213150000000.0,35094000000.0,,2091924000000.0,112295000000.0,317582000000.0,,217123000000.0,,,2272067000000.0,,-1673000000.0,156.97,121326000000.0,2786402000000.0,1345000000.0,,,-142055000000.0,0.0,247868000000.0,51003000000.0,-9025000000.0,1579078805.0,60939000000.0,51003000000.0,1200150000000.0,,,,,,,,,,,,,,,
1309392000,,,,,,,,,,,,,,,,47.87,76621000000.0,,,109098000000.0,75584000000.0,,,403219000000.0,,139860000000.0,,,,,,78900000000.0,,42615000000.0,225791000000.0,,629078000000.0,,57715000000.0,,,,,,,281762000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,75584000000.0,,,2713566000000.0,1170111000000.0,,820344000000.0,191266000000.0,,,,63541000000.0,,,,,,1270000000.0,,265000000.0,,,,,1578942971.0,,,,597159000000.0,,,75651000000.0,,,,,,278320000000.0,,220604000000.0,,,,357219000000.0,,,,,,,,,,,,,,,,,,,,,,,119501000000.0,,,,,2276555000000.0,,,,389436000000.0,,,1543455000000.0,,47.875,57715000000.0,207723000000.0,119236000000.0,,2071305000000.0,105511000000.0,,,207555000000.0,,,,,,,,,,,1578778068.0,,,,63570000000.0,,,79117000000.0,,,,,,,,,,,,,,,,,
1317340800,,,,,,,,,,,,,,,,,60825000000.0,,,126702000000.0,60076000000.0,,,474492000000.0,,241308000000.0,,,,,,80665000000.0,,29490000000.0,247863000000.0,,157393000000.0,,61286000000.0,,,,,,,922807000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,60076000000.0,,,3499283000000.0,2224784000000.0,,405944000000.0,248551000000.0,,,,63541000000.0,,,,,,571335000000.0,,342000000.0,,,,,,,,,1454231000000.0,,,89886000000.0,,,,,,264617000000.0,,203332000000.0,,,,345283000000.0,,,,,,,,,,,,,,,,,,,,,,,90657000000.0,,,,,2336629000000.0,,,,1017201000000.0,,,1274499000000.0,,,61286000000.0,437030000000.0,90315000000.0,,1987709000000.0,293264000000.0,,,538683000000.0,,,,,,,,,,,,,,,50197000000.0,,,81592000000.0,,,,,,,,,,,,,,,,,
1325289600,,,,,,,,,,,,,,,,,25738000000.0,,,127793000000.0,24947000000.0,,,490985000000.0,,209523000000.0,,,,,,145454000000.0,,47427000000.0,281153000000.0,,191746000000.0,,70737000000.0,,,,,,,878956000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24947000000.0,,,3421383000000.0,2180462000000.0,,384437000000.0,192691000000.0,,,,63541000000.0,,,,,,541263000000.0,,549000000.0,,,,,,,,,1446501000000.0,,,97962000000.0,,,,,,279651000000.0,,208915000000.0,,,,425106000000.0,,,,,,,,,,,,,,,,,,,,,,,73714000000.0,,,,,2290518000000.0,,,,1027025000000.0,,,1240921000000.0,,,70737000000.0,419476000000.0,73165000000.0,,1917169000000.0,276896000000.0,,,522061000000.0,,,,,,,,,,,,,,,46671000000.0,,,81276000000.0,,,,,,,,,,,,,,,,,
1333152000,,,489000000.0,,,,,2012345000000.0,,326213000000.0,,,-572000000.0,-1040017000000.0,317861000000.0,,-35914000000.0,150194000000.0,,108336000000.0,-36445000000.0,-1093964000000.0,,488702000000.0,,195013000000.0,,582257000000.0,,326213000000.0,49312000000.0,128175000000.0,,5676000000.0,164690000000.0,,1378000000.0,,,64725000000.0,336570000000.0,195013000000.0,751731000000.0,1075738000000.0,,892703000000.0,,,488702000000.0,,455625000000.0,,265027000000.0,,,,,435572000000.0,63541000000.0,-72000000.0,1508932000000.0,,,164690000000.0,-418463000000.0,-13018000000.0,,,,,,,-36445000000.0,,454247000000.0,3577030000000.0,2298034000000.0,,455625000000.0,454247000000.0,,252478000000.0,,63541000000.0,1014986000000.0,,98453000000.0,,,244702000000.0,,727000000.0,810711000000.0,,810711000000.0,108336000000.0,,1014986000000.0,,,1505164000000.0,,78.645,98453000000.0,,,-16000000.0,,,253150000000.0,,-367824000000.0,127270000000.0,872710000000.0,,381324000000.0,-61904000000.0,1578765338.0,,,454247000000.0,,,-3479000000.0,,,1883000000.0,,,1278996000000.0,,,404555000000.0,124162000000.0,,,,,-29511000000.0,-526284000000.0,753433000000.0,,1378000000.0,2254075000000.0,274666000000.0,892703000000.0,,751731000000.0,1505164000000.0,,1278996000000.0,,,620973000000.0,753433000000.0,-30238000000.0,,2012345000000.0,,433194000000.0,-526284000000.0,582257000000.0,,,2254075000000.0,,,78.63,125208000000.0,3577030000000.0,244702000000.0,,,-142013000000.0,317861000000.0,124162000000.0,77854000000.0,37004000000.0,1579066514.0,435572000000.0,77854000000.0,2298034000000.0,,,,,,,,,,,,,,,
1341014400,,,,,,,,,,,,,,,301349000000.0,55.45,88348000000.0,,,111257000000.0,87563000000.0,,,487011000000.0,,203519000000.0,,,,,,103313000000.0,,-12618000000.0,297483000000.0,,175937000000.0,,78878000000.0,,,,,,,928705000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,87563000000.0,,,3467951000000.0,2270757000000.0,,381332000000.0,205395000000.0,,,,63541000000.0,,,,,,241456000000.0,,781000000.0,,,,,1579134355.0,,,,1517752000000.0,,,99463000000.0,,,,,,294978000000.0,,216101000000.0,,,,398292000000.0,,,,,,,,,,,,,,,,,,,,,,,76511000000.0,,,,,2270583000000.0,,,,726437000000.0,,,1197194000000.0,,55.46,78878000000.0,791315000000.0,75730000000.0,,1891613000000.0,301555000000.0,,,563797000000.0,,,,,,,,,,,1578849621.0,,,,64908000000.0,,,128416000000.0,,,,,,,,,,,,,,,,,
1348963200,,,,,,,,,,,,,,,540290000000.0,,32892000000.0,,,114886000000.0,32227000000.0,,,489585000000.0,,208439000000.0,,,,,,112747000000.0,,21698000000.0,278691000000.0,,199477000000.0,,75799000000.0,,,,,,,908250000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,32227000000.0,,,3482163000000.0,2240396000000.0,,412015000000.0,212538000000.0,,,,63541000000.0,,,,,,1511000000.0,,767000000.0,,,,,,,,,1510965000000.0,,,98006000000.0,,,,,,275898000000.0,,200098000000.0,,,,388644000000.0,,,,,,,,,,,,,,,,,,,,,,,55357000000.0,,,,,2302732000000.0,,,,488281000000.0,,,1241767000000.0,,,75799000000.0,1022684000000.0,54590000000.0,,1912728000000.0,289195000000.0,,,567982000000.0,,,,,,,,,,,,,,,74727000000.0,,,130085000000.0,,,,,,,,,,,,,,,,,
1356912000,,,,,,,,,,,,,,,540207000000.0,,19184000000.0,,,117342000000.0,19122000000.0,,,504377000000.0,,224490000000.0,,,,380465000000.0,,120496000000.0,,16459000000.0,296289000000.0,,159852000000.0,,76897000000.0,,,,,,,1015674000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19122000000.0,,,3783727000000.0,2452475000000.0,,422093000000.0,262241000000.0,,,,0.0,,,,,,1671000000.0,,720000000.0,,,,,,,,,1661314000000.0,,,108648000000.0,,,,,,281677000000.0,,-265527000000.0,,,,402173000000.0,,,,,,,,,,,,,,,,,,,,,,,36363000000.0,,,,,2250796000000.0,,,,572790000000.0,,,1331251000000.0,,,547204000000.0,1088524000000.0,35643000000.0,,2062155000000.0,320296000000.0,,,638613000000.0,,,,,,,,,,,,,,,83482000000.0,,,159513000000.0,,,,,,,,,,,,,,,,,
1364688000,,,60278000000.0,322133000000.0,,,,2159939000000.0,,345532000000.0,,,-1982000000.0,-86258000000.0,540159000000.0,,-6837000000.0,201106000000.0,,82632000000.0,-7668000000.0,-111376000000.0,,511101000000.0,,229531000000.0,,675353000000.0,,345532000000.0,-14920000000.0,111072000000.0,,-29419000000.0,51307000000.0,,258092000000.0,,,12329000000.0,307709000000.0,229531000000.0,613632000000.0,1109639000000.0,,1014382000000.0,,,511101000000.0,,547705000000.0,,122505000000.0,,,,,171150000000.0,0.0,-213000000.0,1557267000000.0,,,51307000000.0,91333000000.0,-1160000000.0,,,,,,,-7668000000.0,,545580000000.0,3955599000000.0,2500518000000.0,,547705000000.0,289613000000.0,,129707000000.0,,0.0,511100000000.0,,118692000000.0,,,1795000000.0,,1055000000.0,987134000000.0,,987134000000.0,82632000000.0,,511100000000.0,,,1732240000000.0,,83.125,118692000000.0,,,-24000000.0,,,257086000000.0,,-28167000000.0,133587000000.0,454247000000.0,,368158000000.0,-95763000000.0,1578875188.0,,,289613000000.0,,,-3554000000.0,,,3323000000.0,,,1455081000000.0,,,334136000000.0,131244000000.0,,,,,-35201000000.0,,1118608000000.0,,258092000000.0,2243113000000.0,211946000000.0,1014382000000.0,,613632000000.0,1732240000000.0,,1455081000000.0,,,285253000000.0,1118608000000.0,-36256000000.0,,2159939000000.0,322133000000.0,447628000000.0,,675353000000.0,,,2243113000000.0,,,83.105,-3880000000.0,3955599000000.0,1795000000.0,,,-142118000000.0,540159000000.0,131244000000.0,92164000000.0,-55068000000.0,1579255159.0,171150000000.0,92164000000.0,2500518000000.0,,,,,,,,,,,,,,,
