date,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,annualOtherNonCashItems,annualPurchaseOfBusiness,quarterlyInvestmentsAndAdvances,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,annualStockholdersEquity,annualInvestingCashFlow,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherIncomeExpense,trailingSaleOfInvestment,annualDepreciationAndAmortization,trailingStockBasedCompensation,annualChangeInInventory,quarterlyOperatingCashFlow,annualBasicAverageShares,annualPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedAverageShares,quarterlyOtherCurrentLiabilities,annualCapitalStock,trailingPretaxIncome,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyTaxProvision,annualGoodwill,trailingCashDividendsPaid,trailingNetIncome,annualStockBasedCompensation,annualBasicEPS,quarterlyAccountsReceivable,annualGrossProfit,quarterlyPretaxIncome,annualNetPPE,quarterlyCostOfRevenue,quarterlyNetPPE,quarterlyCurrentAccruedExpenses,annualOtherIntangibleAssets,annualOperatingCashFlow,quarterlyCommonStockIssuance,annualInventory,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,annualCurrentLiabilities,annualRepaymentOfDebt,annualEbitda,annualOtherNonCurrentLiabilities,quarterlyCapitalStock,trailingChangeInWorkingCapital,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,annualChangeInCashSupplementalAsReported,annualGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualTotalRevenue,annualNetOtherInvestingChanges,trailingPurchaseOfInvestment,annualPretaxIncome,trailingTotalRevenue,trailingInterestExpense,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyPurchaseOfInvestment,annualDilutedAverageShares,trailingChangeInCashSupplementalAsReported,annualOperatingIncome,quarterlySaleOfInvestment,annualOtherIncomeExpense,annualDilutedEPS,trailingEndCashPosition,quarterlyDepreciationAndAmortization,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,annualAccountsPayable,trailingInvestingCashFlow,quarterlyCurrentDebt,annualGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyBasicAverageShares,annualCurrentAccruedExpenses,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,annualOperatingExpense,quarterlyTotalRevenue,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCapitalExpenditure,quarterlyChangeInInventory,annualCurrentAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,trailingCostOfRevenue,trailingBeginningCashPosition,annualInterestExpense,quarterlyEbitda,annualOtherNonCurrentAssets,annualNetOtherFinancingCharges,annualDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,annualOtherShortTermInvestments,trailingOperatingExpense,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualChangeInAccountPayable,annualAccumulatedDepreciation,quarterlyStockBasedCompensation,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualFreeCashFlow,annualCommonStockIssuance,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyCurrentAssets,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,trailingFreeCashFlow,quarterlyDilutedEPS,trailingNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,annualRetainedEarnings,annualCashDividendsPaid,annualBeginningCashPosition,annualCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualOtherCurrentAssets,annualCostOfRevenue,annualTaxProvision,annualTotalAssets,quarterlyOtherCurrentAssets,annualNetIncome,annualCurrentDebt,quarterlyRepaymentOfDebt,annualTotalNonCurrentAssets,trailingTaxProvision,annualSellingGeneralAndAdministration,trailingDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInAccountPayable,trailingDilutedAverageShares,trailingOtherIncomeExpense,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherFinancingCharges,trailingBasicEPS,trailingCommonStockIssuance,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingDeferredIncomeTax,quarterlyResearchAndDevelopment,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingChangeInInventory,quarterlyChangesInAccountReceivables,trailingResearchAndDevelopment,annualChangesInAccountReceivables,quarterlyIncomeTaxPayable,trailingChangesInAccountReceivables,trailingRepaymentOfDebt,trailingDilutedEPS
,,0.0,,,42000000.0,,,,,,4000000.0,21000000.0,27000000.0,0.0,,,,,-9000000.0,,,,,364000000.0,-18000000.0,1786000000.0,131000000.0,186112841.0,0.0,,,,,8000000.0,,,,,,393000000.0,,29000000.0,,176000000.0,1660000000.0,,,,1000000.0,,5000000.0,46000000.0,,,,,116000000.0,,-27000000.0,82000000.0,300000000.0,,,,,,,,,,,,0.145476,27000000.0,,,,,2563000000.0,3132000000.0,159000000.0,,,,,8000000.0,,,,25000000.0,,121000000.0,121000000.0,15000000.0,,,20000000.0,,3081000000.0,43000000.0,,,,166000000.0,683000000.0,,9000000.0,,-35000000.0,185459813.0,,1660000000.0,,,342000000.0,,,,,,121000000.0,-10000000.0,,,,69000000.0,,,,,-2000000.0,,,,,,40000000.0,,,3000000.0,,,-223000000.0,,,,2033000000.0,142000000.0,569000000.0,123000000.0,1048000000.0,0.0,,0.145476,,,45000000.0,,,,,98000000.0,,,,,,5000000.0,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,
,,-82000000.0,,,44000000.0,,,,,,4000000.0,-58000000.0,-56000000.0,0.0,,,,,100000000.0,,,,,177000000.0,-21000000.0,1815000000.0,118000000.0,186112841.0,0.0,,,,,-24000000.0,,,,,,437000000.0,,-82000000.0,,176000000.0,1854000000.0,,,,0.0,,5000000.0,-13000000.0,,,,,137000000.0,,79000000.0,121000000.0,284000000.0,,,,,,,,,,,,-0.30014,-56000000.0,,,,,2477000000.0,3077000000.0,184000000.0,,,,,,,,,26000000.0,,109000000.0,109000000.0,15000000.0,,,22000000.0,,3168000000.0,94000000.0,,,,199000000.0,739000000.0,,-24000000.0,,1000000.0,186112841.0,,1854000000.0,,,375000000.0,,,,,,109000000.0,-18000000.0,,,,-41000000.0,,,,,-1000000.0,,,,,,189000000.0,,,5000000.0,,,-411000000.0,,,,2066000000.0,95000000.0,600000000.0,105000000.0,1102000000.0,-1000000.0,,-0.30014,,,-97000000.0,,,,,79000000.0,,,,,,5000000.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,-1000000.0,,,46000000.0,,,,,,4000000.0,68000000.0,67000000.0,0.0,,,,,246000000.0,,,,,165000000.0,-82000000.0,1602000000.0,123000000.0,192643116.0,0.0,,,,,-1000000.0,,,,,,399000000.0,,67000000.0,,189000000.0,1851000000.0,,,,8000000.0,,5000000.0,-33000000.0,,,,,138000000.0,,164000000.0,109000000.0,283000000.0,,,,,,,,,,,,0.352206,67000000.0,,,,,2434000000.0,2911000000.0,195000000.0,-14000000.0,,,,,,,,28000000.0,,64000000.0,64000000.0,14000000.0,,,24000000.0,,2950000000.0,101000000.0,,,,212000000.0,714000000.0,,-1000000.0,,73000000.0,186765868.0,,1851000000.0,,,401000000.0,,,,,,64000000.0,-74000000.0,,,,109000000.0,,,,0.0,-4000000.0,,,,,,57000000.0,,,-8000000.0,,,-375000000.0,,,-14000000.0,1867000000.0,80000000.0,477000000.0,111000000.0,1083000000.0,20000000.0,,0.347612,,,-47000000.0,,,,,83000000.0,,,,,,5000000.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,-95000000.0,244000000.0,-15000000.0,45000000.0,,118000000.0,,149000000.0,-114000000.0,4000000.0,175000000.0,175000000.0,-17000000.0,,109000000.0,,,95000000.0,187078833.0,-15000000.0,,-832000000.0,130000000.0,-12000000.0,1424000000.0,118000000.0,,0.0,142000000.0,,,335000000.0,-256000000.0,82000000.0,,,14000000.0,1.143903,335000000.0,-10000000.0,-81000000.0,1836000000.0,313000000.0,1836000000.0,,274000000.0,432000000.0,4000000.0,4000000.0,4999454.8,-44000000.0,1053000000.0,-660000000.0,102000000.0,0.0,142000000.0,,83000000.0,64000000.0,274000000.0,-44000000.0,215000000.0,,0.0,40000000.0,1538000000.0,-1000000.0,,-64000000.0,,,,175000000.0,,,,40000000.0,2474000000.0,2893000000.0,244000000.0,0.0,193556632.0,,187000000.0,,0.0,1.10562,,30000000.0,,40000000.0,40000000.0,-5000000.0,688000000.0,,105999113.3,2668000000.0,2737000000.0,-54000000.0,-8000000.0,,45000000.0,98000000.0,688000000.0,,-256000000.0,,20000000.0,,,2668000000.0,,491000000.0,411000000.0,40000000.0,208000000.0,-133000000.0,,419000000.0,40000000.0,-12000000.0,,,57000000.0,-56000000.0,130000000.0,-249000000.0,-272000000.0,-35000000.0,-1000000.0,214000000.0,5000000.0,,,1684000000.0,-42000000.0,,-832000000.0,,59000000.0,2737000000.0,-233000000.0,299000000.0,13000000.0,18.7,1684000000.0,82000000.0,419000000.0,152000000.0,1053000000.0,-21000000.0,,,,,149000000.0,-204000000.0,-118000000.0,82000000.0,,122000000.0,1424000000.0,5000000.0,860000000.0,-272000000.0,2893000000.0,5000000.0,214000000.0,106000000.0,-506000794.1,2474000000.0,,382000000.0,,0.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,44000000.0,,,,,,4000000.0,52000000.0,54000000.0,0.0,,,,,28000000.0,,,,,136000000.0,-8000000.0,1434000000.0,113000000.0,192643116.0,0.0,,,,,14000000.0,,,,,,373000000.0,,66000000.0,,178000000.0,1767000000.0,,,,8000000.0,,3000000.0,0.0,,,,,142000000.0,,20000000.0,40000000.0,260000000.0,,,,,,,,,,,,0.28789,54000000.0,,,,,2398000000.0,2856000000.0,195000000.0,,,,,3000000.0,,,,28000000.0,,41000000.0,41000000.0,16000000.0,,,104000000.0,,2668000000.0,82000000.0,,,,184000000.0,668000000.0,,14000000.0,,-19000000.0,187418896.0,,1767000000.0,,,362000000.0,,,,,,41000000.0,-1000000.0,,,,110000000.0,,,,,-23000000.0,,,,,,13000000.0,,,-2000000.0,,,-150000000.0,,,,1686000000.0,83000000.0,458000000.0,102000000.0,982000000.0,3000000.0,,0.280233,,,181000000.0,,,,,74000000.0,,,,,,3000000.0,,,-12000000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,-84000000.0,,,43000000.0,,,,,,4000000.0,87000000.0,87000000.0,0.0,,,,,153000000.0,,,,,233000000.0,-36000000.0,1393000000.0,100000000.0,193949171.0,0.0,,,,,39000000.0,,,,,,421000000.0,,126000000.0,,182000000.0,1654000000.0,,,,4000000.0,,,10000000.0,,,,,144000000.0,,117000000.0,41000000.0,253000000.0,,,,,,,,,,,,0.462461,87000000.0,,,,,2357000000.0,2880000000.0,171000000.0,,,,,,,,,27000000.0,,48000000.0,48000000.0,16000000.0,,,111000000.0,,2712000000.0,142000000.0,,,,228000000.0,719000000.0,,39000000.0,,-17000000.0,188071923.0,,1654000000.0,,,410000000.0,,,,,,48000000.0,-27000000.0,,,,169000000.0,,,,,0.0,,,,,,-43000000.0,,,,,,-149000000.0,,,,1656000000.0,78000000.0,523000000.0,86000000.0,1056000000.0,-1000000.0,,0.448679,,,161000000.0,,,,,59000000.0,,,,,,50000000.0,,,-36000000.0,,,,,4000000.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,44000000.0,,,,,,4000000.0,103000000.0,103000000.0,0.0,,,,,145000000.0,,,,,148000000.0,-21000000.0,1271000000.0,74000000.0,193296144.0,476000000.0,,,,,23000000.0,,,,,,415000000.0,,126000000.0,,186000000.0,1708000000.0,,,,1000000.0,,16000000.0,-9000000.0,,,,,153000000.0,,124000000.0,48000000.0,268000000.0,,,,,,,,,,,,0.548216,103000000.0,,,,,2403000000.0,2889000000.0,209000000.0,-1000000.0,,,,,,,,27000000.0,,51000000.0,51000000.0,17000000.0,,,29000000.0,,2579000000.0,142000000.0,,,,235000000.0,746000000.0,,23000000.0,,4000000.0,188071923.0,,1708000000.0,,,421000000.0,,,,,,41000000.0,96000000.0,,,,170000000.0,,,,0.0,0.0,,,,,,40000000.0,,,,,,-55000000.0,,,,1542000000.0,88000000.0,486000000.0,93000000.0,1037000000.0,0.0,,0.532903,,,302000000.0,,,,,66000000.0,,,,,,0.0,,,-241000000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,67000000.0,,43000000.0,28000000.0,84000000.0,,284000000.0,36000000.0,4000000.0,36000000.0,36000000.0,0.0,,108000000.0,,,136000000.0,188071923.0,-4000000.0,,-855000000.0,135000000.0,-26000000.0,776000000.0,84000000.0,,6000000.0,155000000.0,,,371000000.0,21000000.0,92000000.0,,,26000000.0,1.557362,371000000.0,875000000.0,57000000.0,1690000000.0,207000000.0,1690000000.0,,266000000.0,462000000.0,6000000.0,4000000.0,,50000000.0,921000000.0,-292000000.0,569000000.0,40000000.0,155000000.0,,110000000.0,41000000.0,266000000.0,51000000.0,211000000.0,,6000000.0,78000000.0,1628000000.0,-4000000.0,,397000000.0,,,,36000000.0,,,,78000000.0,2319000000.0,2785000000.0,260000000.0,0.0,193296144.0,,466000000.0,,0.0,1.516016,,26000000.0,,78000000.0,78000000.0,15000000.0,722000000.0,,18000000.0,2545000000.0,2507000000.0,35000000.0,-53000000.0,,43000000.0,228000000.0,722000000.0,,21000000.0,,138000000.0,,,2545000000.0,,409000000.0,435000000.0,78000000.0,291000000.0,-91000000.0,,466000000.0,78000000.0,-32000000.0,,,64000000.0,98000000.0,135000000.0,0.0,106000000.0,-37000000.0,-30000000.0,293000000.0,,,,1564000000.0,79000000.0,,-855000000.0,,106000000.0,2485000000.0,2775000000.0,371000000.0,19000000.0,,1564000000.0,92000000.0,466000000.0,193000000.0,943000000.0,22000000.0,,,,,271000000.0,-47000000.0,-121000000.0,40000000.0,,167000000.0,1240000000.0,13000000.0,753000000.0,106000000.0,2776000000.0,0.0,293000000.0,18000000.0,-3000000.0,2310000000.0,,301000000.0,,464000000.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,186000000.0,,,,,,4000000.0,69000000.0,69000000.0,0.0,,,,,-3000000.0,,,,,269000000.0,-17000000.0,875000000.0,91000000.0,191990089.0,3000000.0,,,,,25000000.0,,,,,,416000000.0,,94000000.0,,181000000.0,1456000000.0,,,,4000000.0,,0.0,-14000000.0,,,,,165000000.0,,-20000000.0,78000000.0,271000000.0,,,,,,,,,,,,0.367519,69000000.0,,,,,2414000000.0,2898000000.0,274000000.0,,,,,,,,,26000000.0,,59000000.0,59000000.0,16000000.0,,,17000000.0,,2551000000.0,86000000.0,,,,215000000.0,651000000.0,,,,-108000000.0,188071923.0,,,,,396000000.0,,,,,,59000000.0,-28000000.0,,,,136000000.0,,,,,-57000000.0,,,,,,49000000.0,,,,,,2803000000.0,,,-2000000.0,1716000000.0,93000000.0,484000000.0,129000000.0,835000000.0,-9000000.0,,0.359862,,,340000000.0,,,,,103000000.0,,,,,,0.0,,,,,,,,536000000.0,,,,,,,,,,,,,,,,,,,,,
,,-102000000.0,,,234000000.0,,,,,,4000000.0,87000000.0,87000000.0,0.0,,,,,116000000.0,,,,,258000000.0,-19000000.0,804000000.0,94000000.0,192643116.0,3000000.0,,,,,24000000.0,,,,,,427000000.0,,111000000.0,,188000000.0,1401000000.0,,,,2000000.0,,,-36000000.0,,,,,166000000.0,,97000000.0,59000000.0,277000000.0,,,,,,,,,,,,0.459399,87000000.0,,,,,2388000000.0,2878000000.0,291000000.0,,,,,,,,,25000000.0,,55000000.0,55000000.0,17000000.0,,,54000000.0,,2519000000.0,116000000.0,,,,266000000.0,645000000.0,,,,-46000000.0,189377979.0,,,,,454000000.0,,,,,,28000000.0,22000000.0,,,,153000000.0,,,,,0.0,,,,,,78000000.0,,,,,,2792000000.0,,,-32000000.0,1674000000.0,96000000.0,490000000.0,150000000.0,845000000.0,73000000.0,,0.451742,,,351000000.0,,,,,125000000.0,,,,,,0.0,,,,,,,,549000000.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,74000000.0,,,,,,4000000.0,178000000.0,178000000.0,0.0,,,,,177000000.0,,,,,145000000.0,-26000000.0,701000000.0,88000000.0,191990089.0,1000000.0,,,,,16000000.0,,,,,,449000000.0,,194000000.0,,197000000.0,1363000000.0,,,,1000000.0,,,73000000.0,,,,,162000000.0,,151000000.0,28000000.0,300000000.0,,,,,,,,,,,,0.940236,178000000.0,,,,,2334000000.0,2917000000.0,243000000.0,,,,,,,,,25000000.0,,99000000.0,99000000.0,16000000.0,,,16000000.0,,2430000000.0,209000000.0,,,,270000000.0,693000000.0,,,,16000000.0,189377979.0,,,,,467000000.0,,,,,,99000000.0,3000000.0,,,,235000000.0,,,,0.0,0.0,,,,,,-174000000.0,,,,,,2967000000.0,,,,1575000000.0,88000000.0,583000000.0,61000000.0,855000000.0,-115000000.0,,0.926454,,,479000000.0,,,,,65000000.0,,,,,,0.0,,,-109000000.0,,,,,561000000.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,124000000.0,,199000000.0,,97000000.0,,547000000.0,-38000000.0,4000000.0,139000000.0,139000000.0,0.0,,99000000.0,,,189000000.0,188724951.0,-91000000.0,,-792000000.0,261000000.0,-41000000.0,477000000.0,97000000.0,,0.0,162000000.0,,,369000000.0,16000000.0,92000000.0,,,,2.437876,299000000.0,997000000.0,155000000.0,1362000000.0,205000000.0,1362000000.0,,308000000.0,479000000.0,1000000.0,4000000.0,,84000000.0,860000000.0,-119000000.0,695000000.0,557000000.0,162000000.0,,148000000.0,99000000.0,308000000.0,107000000.0,260000000.0,,0.0,182000000.0,1768000000.0,156000000.0,,532000000.0,,,,139000000.0,,,,182000000.0,2390000000.0,2968000000.0,260000000.0,-53000000.0,193296144.0,,517000000.0,,0.0,2.379685,,23000000.0,,182000000.0,182000000.0,15000000.0,707000000.0,,5000000.0,2154000000.0,2413000000.0,102000000.0,-75000000.0,,243000000.0,246000000.0,497000000.0,,16000000.0,,173000000.0,,,2154000000.0,,480000000.0,451000000.0,182000000.0,460000000.0,-103000000.0,,578000000.0,182000000.0,-35000000.0,,,64000000.0,193000000.0,41000000.0,0.0,81000000.0,-46000000.0,-18000000.0,460000000.0,,,,1553000000.0,97000000.0,-20000000.0,-792000000.0,,-60000000.0,2413000000.0,3035000000.0,376000000.0,8000000.0,,1553000000.0,92000000.0,578000000.0,144000000.0,860000000.0,207000000.0,,,,,547000000.0,3035000000.0,-148000000.0,78000000.0,,66000000.0,670000000.0,3000000.0,771000000.0,72000000.0,2968000000.0,3000000.0,460000000.0,21000000.0,-7000000.0,2390000000.0,,381000000.0,,557000000.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,91000000.0,,,,,,4000000.0,154000000.0,154000000.0,0.0,,,,,20000000.0,,,,,146000000.0,-20000000.0,691000000.0,101000000.0,191990089.0,0.0,,,,,-48000000.0,,,,,,444000000.0,,106000000.0,,182000000.0,1376000000.0,,,,5000000.0,,5000000.0,-34000000.0,,,,,173000000.0,,0.0,182000000.0,313000000.0,,,,,,,,,,,,0.816198,154000000.0,,,,,2461000000.0,3070000000.0,278000000.0,-1000000.0,,,,,,,,23000000.0,,150000000.0,155000000.0,13000000.0,,,21000000.0,,2337000000.0,118000000.0,,,,227000000.0,670000000.0,,-48000000.0,,-112000000.0,188724951.0,,,,,409000000.0,,,,,,150000000.0,-20000000.0,,,,142000000.0,,,,,-39000000.0,,,,,,-3000000.0,,,6000000.0,,,3172000000.0,,,,1572000000.0,94000000.0,609000000.0,109000000.0,765000000.0,-1000000.0,,0.802416,,,725000000.0,,,,,87000000.0,,,,,,2000000.0,,,,,,,,574000000.0,,,,,,,,,,,,,,,,,,,,,
,,-113000000.0,,,235000000.0,,,,,,4000000.0,121000000.0,121000000.0,0.0,,,,,161000000.0,,,,,260000000.0,-24000000.0,588000000.0,101000000.0,193296144.0,1000000.0,,,,,57000000.0,,,,,,465000000.0,,178000000.0,,195000000.0,1336000000.0,,,,2000000.0,,,-79000000.0,,,,,170000000.0,,137000000.0,150000000.0,342000000.0,,,,,,,,,,,,0.637033,121000000.0,,,,,2436000000.0,2984000000.0,247000000.0,0.0,,,,,,,,23000000.0,,70000000.0,70000000.0,14000000.0,,,21000000.0,,2276000000.0,165000000.0,,,,274000000.0,671000000.0,,57000000.0,,2000000.0,190031006.0,,,,,469000000.0,,,,,,70000000.0,-24000000.0,,,,215000000.0,,,,,-6000000.0,,,,,,14000000.0,,,,,,3176000000.0,,,,1506000000.0,92000000.0,548000000.0,109000000.0,770000000.0,2000000.0,,0.626314,,,700000000.0,,,,,86000000.0,,,,,,5000000.0,,,,,,,,587000000.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,83000000.0,,,,,,4000000.0,175000000.0,174000000.0,0.0,,,,,191000000.0,,,,,144000000.0,-32000000.0,610000000.0,99000000.0,207103085.0,0.0,,,,,-25000000.0,,,,,,509000000.0,,150000000.0,,188000000.0,1345000000.0,,,,2000000.0,,,100000000.0,,,,,179000000.0,,159000000.0,70000000.0,354000000.0,,,,,,,,,,,,0.854635,174000000.0,,,,,2558000000.0,3250000000.0,281000000.0,1000000.0,,,,,,,,23000000.0,,170000000.0,170000000.0,13000000.0,,,21000000.0,,2373000000.0,163000000.0,,,,285000000.0,741000000.0,,-25000000.0,,33000000.0,203604722.0,,,,,473000000.0,,,,,,170000000.0,-32000000.0,,,,186000000.0,,,,-61000000.0,0.0,,,,,,-65000000.0,,,,,,3308000000.0,,,,1539000000.0,94000000.0,692000000.0,122000000.0,834000000.0,2000000.0,,0.840393,,,868000000.0,,,,,101000000.0,,,,,,5000000.0,,,0.0,,,,,619000000.0,,,,,,,,,,,,,,,,,,,,,
,,-2000000.0,73000000.0,-3000000.0,196000000.0,4000000.0,93000000.0,,308000000.0,-128000000.0,4000000.0,95000000.0,95000000.0,0.0,,94000000.0,,,100000000.0,200806032.0,-2000000.0,,-763000000.0,601000000.0,-52000000.0,1046000000.0,93000000.0,,0.0,179000000.0,,,422000000.0,27000000.0,93000000.0,,,22000000.0,2.70841,344000000.0,1063000000.0,122000000.0,1056000000.0,207000000.0,1056000000.0,289000000.0,447000000.0,472000000.0,1000000.0,4000000.0,6000000.0,28000000.0,841000000.0,-99000000.0,707000000.0,624000000.0,179000000.0,,48000000.0,170000000.0,354000000.0,15000000.0,286000000.0,,0.0,201000000.0,1835000000.0,-3000000.0,,556000000.0,,,,95000000.0,,,,195000000.0,2603000000.0,3263000000.0,286000000.0,-2000000.0,204304395.0,,614000000.0,,0.0,2.662674,,25000000.0,,195000000.0,201000000.0,16000000.0,709000000.0,,0.0,1056000000.0,2946000000.0,142000000.0,-191000000.0,,239000000.0,277000000.0,117000000.0,,,,98000000.0,,289000000.0,1819000000.0,,449000000.0,484000000.0,195000000.0,545000000.0,-128000000.0,,1194000000.0,195000000.0,-52000000.0,,,57000000.0,163000000.0,558000000.0,-2000000.0,11000000.0,-505000000.0,-146000000.0,544000000.0,6000000.0,,,2105000000.0,127000000.0,,-763000000.0,,21000000.0,2946000000.0,2781000000.0,344000000.0,10000000.0,0.0,2105000000.0,93000000.0,660000000.0,135000000.0,841000000.0,-6000000.0,,,,,308000000.0,2781000000.0,-679000000.0,182000000.0,,89000000.0,1242000000.0,6000000.0,772000000.0,11000000.0,3263000000.0,6000000.0,544000000.0,16000000.0,0.0,2069000000.0,,363000000.0,,624000000.0,,,,,,,,,,,,,,,,,,,,,
,,,,,347000000.0,,,,,,4000000.0,,,,,,,,,,,,,249000000.0,,1206000000.0,106000000.0,,0.0,,,,,,,,,,,518000000.0,,,,,1079000000.0,,,,,,5000000.0,,,,,,172000000.0,,,,491000000.0,,,,,,,,,,,,0.0,,,,,,2179000000.0,3332000000.0,313000000.0,,,,,,,,,,,396000000.0,401000000.0,,,,16000000.0,,2916000000.0,,,,,,691000000.0,,,,,,,1079000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2819000000.0,,,,2100000000.0,83000000.0,1153000000.0,,816000000.0,,,0.0,,,408000000.0,,,,,,,,,,,5000000.0,,,,,,,,647000000.0,,,,,,,,,,,,,,,,,,,,,
,,,37000000.0,-10000000.0,321000000.0,109000000.0,175000000.0,,-82000000.0,175000000.0,4000000.0,,,,,85000000.0,,,,184713562.0,-154000000.0,,-803000000.0,228000000.0,,1070000000.0,175000000.0,,0.0,189000000.0,,,423000000.0,,80000000.0,,,22000000.0,2.013799,338000000.0,1119000000.0,,1169000000.0,,1169000000.0,284000000.0,518000000.0,624000000.0,,4000000.0,12000000.0,,814000000.0,-1000000.0,763000000.0,574000000.0,189000000.0,,,,438000000.0,-58000000.0,327000000.0,,0.0,146000000.0,1903000000.0,-5000000.0,,600000000.0,,,,,,,,134000000.0,2139000000.0,2953000000.0,327000000.0,,186812580.0,,666000000.0,,0.0,1.990931,,,,134000000.0,146000000.0,,748000000.0,,0.0,1169000000.0,3027000000.0,,-327000000.0,,321000000.0,,97000000.0,,,,,,284000000.0,1972000000.0,,453000000.0,,134000000.0,374000000.0,-245000000.0,,814000000.0,,,,,78000000.0,,244000000.0,-1000000.0,226000000.0,,,372000000.0,12000000.0,,,2213000000.0,,,-803000000.0,,57000000.0,3027000000.0,2334000000.0,379000000.0,5000000.0,,2213000000.0,80000000.0,814000000.0,,814000000.0,,,,,,-82000000.0,2334000000.0,-533000000.0,195000000.0,,,1269000000.0,12000000.0,784000000.0,226000000.0,2953000000.0,1000000.0,372000000.0,16000000.0,,2139000000.0,,374000000.0,,574000000.0,,,,,,,,,,,,,,,,,,,,,
,,,,,345000000.0,,,,,,3000000.0,,,,,,,,,,,,,15000000.0,,1330000000.0,245000000.0,,0.0,,,,,,,,,,,523000000.0,,,,,1089000000.0,,,,,,48000000.0,,,,,,194000000.0,,,,593000000.0,,,,,,,,,,,,0.0,,,,,,2148000000.0,3047000000.0,331000000.0,,,,,,,,,,,308000000.0,356000000.0,,,,16000000.0,,3136000000.0,,,,,,719000000.0,,,,,,,1089000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294000000.0,,,,2363000000.0,84000000.0,899000000.0,,773000000.0,,,0.0,,,-98000000.0,,,,,,,,,,,5000000.0,,,,,,,,590000000.0,,,,,,,,,,,,,,,,,,,,,
