,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,annualRepaymentOfDebt,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,annualEbitda,quarterlyBeginningCashPosition,quarterlyOperatingExpense,annualOtherNonCurrentLiabilities,quarterlyCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,trailingGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualBasicAverageShares,trailingInterestExpense,quarterlyOtherCurrentAssets,annualCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualBeginningCashPosition,trailingOtherIncomeExpense,annualGrossPPE,annualBasicEPS,trailingCapitalExpenditure,annualOtherIncomeExpense,quarterlyCurrentDebt,annualTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualSellingGeneralAndAdministration,trailingCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,trailingOperatingExpense,trailingOtherNonCashItems,quarterlyTotalRevenue,quarterlyOperatingCashFlow,trailingDeferredIncomeTax,quarterlyIncomeTaxPayable,annualCapitalExpenditure,trailingStockBasedCompensation,quarterlyBasicEPS,trailingSellingGeneralAndAdministration,annualPurchaseOfInvestment,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualChangeInInventory,quarterlyOperatingIncome,quarterlyGrossPPE,annualInvestingCashFlow,trailingNetOtherFinancingCharges,trailingChangesInAccountReceivables,trailingCashDividendsPaid,trailingBeginningCashPosition,annualInterestExpense,trailingNetIncome,annualGoodwill,quarterlyNetPPE,trailingResearchAndDevelopment,annualStockBasedCompensation,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualChangesInAccountReceivables,quarterlyTaxProvision,annualCapitalStock,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,annualDilutedEPS,annualDilutedAverageShares,quarterlyOtherShortTermInvestments,annualResearchAndDevelopment,annualNetOtherFinancingCharges,annualGrossProfit,quarterlyChangeInCashSupplementalAsReported,annualInventory,annualAccumulatedDepreciation,trailingChangeInInventory,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualDeferredIncomeTax,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualCommonStockIssuance,annualChangeInWorkingCapital,quarterlyFreeCashFlow,trailingChangeInWorkingCapital,annualOperatingIncome,quarterlyRetainedEarnings,annualNetOtherInvestingChanges,annualTotalRevenue,quarterlyBasicAverageShares,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,trailingChangeInAccountPayable,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyGoodwill,trailingFreeCashFlow,trailingPretaxIncome,annualEndCashPosition,annualNetIncome,annualCurrentDebt,annualNonCurrentDeferredRevenue,annualTaxProvision,quarterlyTotalAssets,annualPretaxIncome,annualTotalAssets,quarterlyNetIncomeCommonStockholders,trailingTotalRevenue,annualCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,annualOtherCurrentAssets,annualCashDividendsPaid,trailingPurchaseOfInvestment,annualCostOfRevenue,annualLongTermDebt,trailingInvestingCashFlow,annualAccountsPayable,trailingOperatingIncome,quarterlyOtherNonCurrentLiabilities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,trailingTaxProvision,annualRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualIncomeTaxPayable,annualSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,annualOtherNonCashItems,annualStockholdersEquity,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyDilutedEPS,trailingSaleOfInvestment,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyInventory,annualCurrentAssets,quarterlyEndCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyChangeInInventory,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,annualCurrentLiabilities,annualNetPPE,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualOtherShortTermInvestments,quarterlyAccountsReceivable,annualNetIncomeCommonStockholders,trailingBasicAverageShares,trailingBasicEPS,trailingNetOtherInvestingChanges,trailingDilutedEPS,trailingDilutedAverageShares,trailingCommonStockIssuance
483667200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051824000.0,,,,,,,,,,,,,,,,,,,1677000000.0,,,,,,0.07,,,,,,,1677000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677000000.0,,,,,,,,,,,,,2051824000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,129000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491616000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051824000.0,,,,,,,,,,,,,,,,,,,1612000000.0,,,,,,0.06,,,,,,,1612000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612000000.0,,,,,,,,,,,,,2051824000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,117000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499564800,,,,,,,1057000000.0,,,92000000.0,,,,,3982000000.0,,1020000000.0,1116000000.0,2037500000.0,,80000000.0,,-1134000000.0,,0.0,,3283000000.0,0.24,,0.0,260000000.0,2338000000.0,,,1020000000.0,1020000000.0,,,,2581000000.0,,,,,,,,128000000.0,,2880000000.0,,,,,,1685000000.0,,,,,,,,,489000000.0,,,,-4062000000.0,3283000000.0,0.0,,,,,,,,2149000000.0,,,,1116000000.0,,,,,,,0.24,2037500000.0,,,,3638000000.0,,993000000.0,-1134000000.0,,,-4062000000.0,,322000000.0,1698000000.0,0.0,,,,,758000000.0,3202000000.0,,6505000000.0,,,1376000000.0,,3202000000.0,,3342000000.0,,,,0.0,489000000.0,260000000.0,,269000000.0,5680000000.0,758000000.0,5680000000.0,,,,2338000000.0,80000000.0,,,2867000000.0,102000000.0,,,,92000000.0,,,,,,,1698000000.0,,,,189000000.0,,,3982000000.0,,,,,1020000000.0,,,,,127000000.0,102000000.0,,993000000.0,3342000000.0,,128000000.0,,,,,,322000000.0,,1376000000.0,2149000000.0,,,0.0,189000000.0,,,,489000000.0,,,,,,
507513600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055328000.0,,,,,,,,,,,,,,,,,,,1597000000.0,,,,,,0.06,,,,,,,1597000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597000000.0,,,,,,,,,,,,,2055328000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,109000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515203200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055328000.0,,,,,,,,,,,,,,,,,,,1778000000.0,,,,,,0.07,,,,,,,1778000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778000000.0,,,,,,,,,,,,,2055328000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,127000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523152000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055328000.0,,,,,,,,,,,,,,,,,,,1794000000.0,,,,,,0.06,,,,,,,1794000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794000000.0,,,,,,,,,,,,,2055328000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,123000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531100800,,,,,,,1101000000.0,,,134000000.0,,,,,4374000000.0,,1372000000.0,1289000000.0,1984615385.0,,117000000.0,,-1364000000.0,,0.0,,3600000000.0,0.26,,0.0,229000000.0,2473000000.0,,,1372000000.0,1372000000.0,,,,2969000000.0,,,,,,,,151000000.0,,3290000000.0,,,,,,1933000000.0,,,,,,,,,516000000.0,,,,-4389000000.0,3600000000.0,0.0,,,,,,,,2236000000.0,,,,1289000000.0,,,,,,,0.26,1984615385.0,,,,4070000000.0,,981000000.0,-1364000000.0,,,-4389000000.0,,395000000.0,1913000000.0,0.0,,,,,780000000.0,3662000000.0,,7102000000.0,,,1518000000.0,,3662000000.0,,3814000000.0,,,,0.0,516000000.0,229000000.0,,264000000.0,6287000000.0,780000000.0,6287000000.0,,,,2473000000.0,117000000.0,,,3032000000.0,110000000.0,,,,134000000.0,,,,,,,1913000000.0,,,,237000000.0,,,4374000000.0,,,,,1372000000.0,,,,,157000000.0,110000000.0,,981000000.0,3814000000.0,,151000000.0,,,,,,395000000.0,,1518000000.0,2236000000.0,,,0.0,237000000.0,,,,516000000.0,,,,,,
539049600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048736000.0,,,,,,,,,,,,,,,,,,,1740000000.0,,,,,,0.06,,,,,,,1740000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740000000.0,,,,,,,,,,,,,2048736000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,116000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546739200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048736000.0,,,,,,,,,,,,,,,,,,,2017000000.0,,,,,,0.08,,,,,,,2017000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017000000.0,,,,,,,,,,,,,2048736000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,162000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554688000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048736000.0,,,,,,,,,,,,,,,,,,,2054000000.0,,,,,,0.08,,,,,,,2054000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2054000000.0,,,,,,,,,,,,,2048736000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,148000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562636800,,,,,,,1304000000.0,,,288000000.0,,,,,5022000000.0,,2645000000.0,1756000000.0,2012500000.0,,167000000.0,,-1591000000.0,,0.0,,3919000000.0,0.32,,0.0,979000000.0,2643000000.0,,,2645000000.0,2645000000.0,,,,3343000000.0,,,,,,,,,,3685000000.0,,,,,,2279000000.0,,,,,,,,,644000000.0,,,,-4849000000.0,3919000000.0,0.0,,,,,,,,2328000000.0,,,,1756000000.0,,,,,,,0.32,2012500000.0,,,,4647000000.0,,1117000000.0,-1591000000.0,,,-4849000000.0,,376000000.0,3111000000.0,0.0,,,,,962000000.0,4246000000.0,,8090000000.0,,,2735000000.0,,4246000000.0,,5490000000.0,,,,0.0,644000000.0,979000000.0,,318000000.0,8133000000.0,962000000.0,8133000000.0,,,,2643000000.0,167000000.0,,,3443000000.0,88000000.0,,,,288000000.0,,,,,,,3111000000.0,,,,315000000.0,,,5022000000.0,,,,,2645000000.0,,,,,218000000.0,88000000.0,,1117000000.0,5490000000.0,,,,,,,,376000000.0,,2735000000.0,2328000000.0,,,0.0,315000000.0,,,,644000000.0,,,,,,
570585600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058008000.0,,,,,,,,,,,,,,,,,,,2192000000.0,,,,,,0.09,,,,,,,2192000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192000000.0,,,,,,,,,,,,,2058008000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,179000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578361600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058008000.0,,,,,,,,,,,,,,,,,,,2496000000.0,,,,,,0.11,,,,,,,2496000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2496000000.0,,,,,,,,,,,,,2058008000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,202000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586310400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985784000.0,,,,,,,,,,,,,,,,,,,2434000000.0,,,,,,0.1,,,,,,,2434000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2434000000.0,,,,,,,,,,,,,1985784000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,192000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
