,annualOperatingIncome,annualAccountsPayable,annualResearchAndDevelopment,annualTotalRevenue,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyCurrentAssets,annualOtherCurrentAssets,annualOtherShortTermInvestments,trailingChangeInAccountPayable,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,annualChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualTaxProvision,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyBasicAverageShares,trailingTotalRevenue,trailingCostOfRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,trailingTaxProvision,annualNetIncomeContinuousOperations,trailingEndCashPosition,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCurrentDebt,annualPretaxIncome,annualCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,annualCostOfRevenue,trailingOperatingIncome,annualFreeCashFlow,quarterlyNetIncomeCommonStockholders,annualNetIncome,quarterlyTotalNonCurrentAssets,annualBasicEPS,quarterlyNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,trailingSaleOfInvestment,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,annualRepurchaseOfCapitalStock,trailingPretaxIncome,annualTotalAssets,annualCurrentAssets,annualStockholdersEquity,quarterlyOtherCurrentAssets,annualLongTermDebt,annualNetIncomeCommonStockholders,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,annualDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualRetainedEarnings,quarterlyStockholdersEquity,quarterlyChangeInInventory,annualSaleOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualCommonStockIssuance,trailingOperatingCashFlow,trailingRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlyInventory,quarterlyGrossProfit,annualAccountsReceivable,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,trailingGrossProfit,annualNetPPE,annualTotalNonCurrentAssets,annualOperatingCashFlow,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualOtherIntangibleAssets,annualGrossProfit,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,annualEbitda,annualDilutedAverageShares,quarterlyNetPPE,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualDilutedEPS,annualChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,annualOtherNonCashItems,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,trailingDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,annualBasicAverageShares,quarterlyAccumulatedDepreciation,annualIncomeTaxPayable,quarterlyOtherIntangibleAssets,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualPurchaseOfBusiness,trailingOtherIncomeExpense,quarterlyDilutedEPS,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,annualDeferredIncomeTax,annualCapitalExpenditure,annualInvestingCashFlow,trailingInvestingCashFlow,trailingOperatingExpense,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,trailingCapitalExpenditure,annualPurchaseOfInvestment,quarterlyRepurchaseOfCapitalStock,trailingDeferredIncomeTax,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,trailingBeginningCashPosition,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,trailingPurchaseOfInvestment,trailingNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,trailingInterestExpense,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncome,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,trailingChangeInInventory,quarterlyStockBasedCompensation,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,quarterlyCommonStockIssuance,trailingStockBasedCompensation,annualNetOtherFinancingCharges,quarterlyOtherShortTermInvestments,annualChangeInCashSupplementalAsReported,quarterlyEbitda,annualInventory,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualCapitalStock,annualStockBasedCompensation,annualGoodwill,annualInterestExpense,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingCommonStockIssuance,annualChangesInAccountReceivables,trailingPurchaseOfBusiness,annualCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingBasicEPS,trailingDilutedEPS,trailingChangesInAccountReceivables,quarterlyCashDividendsPaid,trailingCashDividendsPaid,trailingResearchAndDevelopment,trailingDilutedAverageShares
836092800,,,,,,,5500000.0,0.03,6600000.0,,,,,200000.0,,8600000.0,,,,,,,3100000.0,50000000.0,,,,14200000.0,,,,,,,,,5500000.0,1400000.0,14800000.0,,,,1500000.0,,8200000.0,,1500000.0,,,,1500000.0,,54545455.0,,,,,,600000.0,,,2800000.0,,,,-3000000.0,,,,,,,9300000.0,-1300000.0,,,,,,,0.0,4000000.0,11400000.0,,-2500000.0,0.0,,9000000.0,,,,,,,,1900000.0,1900000.0,,,,,0.0,,,,,7700000.0,900000.0,,2400000.0,,,,,,,,500000.0,1100000.0,1000000.0,,500000.0,,-1200000.0,,,,,,,0.0275,,,,,,,,,,,8900000.0,,,,,900000.0,-500000.0,,,200000.0,-700000.0,,,,,2400000.0,2800000.0,,,,1700000.0,,,,,,,,,,2600000.0,,,,,,,,,,,,,,,,,,,,,,,,,
844041600,,,,,,,7500000.0,0.03,7800000.0,,,,200000.0,200000.0,,10200000.0,,,,,,,4600000.0,50000000.0,,,,16100000.0,,,,,,,,,7500000.0,-3300000.0,18300000.0,,,,1500000.0,,10500000.0,,1500000.0,,,,1500000.0,,54545455.0,,,,,,800000.0,,,3200000.0,,,,2800000.0,,,,,,,10800000.0,-1500000.0,,,,,,,0.0,5500000.0,12900000.0,,-2500000.0,100000.0,,10600000.0,,,,,,,,1500000.0,1500000.0,,,,,0.0,,,,,10100000.0,900000.0,,2400000.0,,,,,,,,-5400000.0,100000.0,1000000.0,,400000.0,,-900000.0,,,,,,,0.0275,-100000.0,,,,,,,,,,11000000.0,,,,,2100000.0,-300000.0,,,200000.0,400000.0,,,,,2300000.0,3100000.0,,,,3400000.0,,,,,,,,,,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,7900000.0,4700000.0,800000.0,56700000.0,,,8600000.0,,9000000.0,1000000.0,,,0.0,300000.0,100000.0,10900000.0,,100000.0,0.0,3100000.0,-1500000.0,8700000.0,5600000.0,,,,,15800000.0,,5000000.0,,1100000.0,-100000.0,3900000.0,8100000.0,,8700000.0,-1100000.0,21100000.0,10800000.0,,-3600000.0,1000000.0,5000000.0,12100000.0,0.1,1000000.0,600000.0,36400000.0,,1000000.0,,,,,21100000.0,9000000.0,12400000.0,1000000.0,,5000000.0,2800000.0,,,800000.0,100000.0,,,,,8600000.0,5600000.0,12400000.0,-900000.0,,,,200000.0,,,0.0,6400000.0,13000000.0,,-1600000.0,100000.0,,11500000.0,,11500000.0,12100000.0,4200000.0,,300000.0,1100000.0,1100000.0,1100000.0,,45900000.0,,,0.0,,1700000.0,8700000.0,52631579.0,11500000.0,600000.0,,1600000.0,,12700000.0,0.095,-4300000.0,,,100000.0,-1700000.0,500000.0,3900000.0,,600000.0,50000000.0,-1200000.0,,,,3000000.0,,,,0.0,,,-100000.0,-7800000.0,-7800000.0,,,38000000.0,,12700000.0,,,,,600000.0,-400000.0,-1200000.0,,300000.0,-600000.0,,,,,1500000.0,0.0,,,,4700000.0,,,0.0,,0.0,,0.0,,-1800000.0,1800000.0,6400000.0,,,,,,,,,,,,,,,,,,,,,,,,
859766400,,,,,,,6100000.0,0.0225,7900000.0,,,,100000.0,400000.0,,11700000.0,,100000.0,,,,,6700000.0,48888889.0,,,,17700000.0,,,,,,,,,6200000.0,700000.0,19700000.0,,,,1100000.0,,11800000.0,,1100000.0,,,,1100000.0,0.0,48888889.0,,,,,,1100000.0,,,3400000.0,,,,-100000.0,,,,,,,13500000.0,900000.0,,100000.0,,,,,0.0,5500000.0,14300000.0,,-500000.0,0.0,,12400000.0,,,,,,,,1300000.0,1300000.0,,,,,1100000.0,,,,,11600000.0,800000.0,,1900000.0,,,,,,,,-1500000.0,-1500000.0,,,200000.0,,-1200000.0,,,,,,,0.0225,0.0,,,,,,,,,,12800000.0,,,,,2200000.0,200000.0,,,300000.0,600000.0,,,,,1900000.0,2400000.0,,,,3700000.0,,,,,,,,,,2300000.0,,,,,,,,,,,,,,,,,,,,,,,,,
867628800,,,,,,,6200000.0,0.0325,8900000.0,,,,,400000.0,,13800000.0,,200000.0,,,,,21500000.0,52307692.0,,,,21000000.0,,,,,,,,,6400000.0,800000.0,21500000.0,,,,1700000.0,,12600000.0,,1700000.0,,,,1700000.0,0.0,52307692.0,,,,,,1300000.0,,,4000000.0,,,,0.0,,,,,,,15100000.0,100000.0,,200000.0,,,,,0.0,5300000.0,17000000.0,,-500000.0,200000.0,,14500000.0,,,,,,,,2200000.0,2200000.0,,,,,0.0,,,,,11800000.0,1000000.0,,2700000.0,,,,,,,,-500000.0,0.0,,,800000.0,,-1700000.0,,,,,,,0.0325,0.0,,,,,,,,,,13500000.0,,,,,1300000.0,900000.0,,,300000.0,-1000000.0,,,,,2500000.0,3100000.0,,,,3100000.0,,,,,,,,,,2900000.0,,,,,,,,,,,,,,,,,,,,,,,,,
875577600,,,,,,,6900000.0,0.0375,10900000.0,,,,,500000.0,,14700000.0,,300000.0,,,,,10200000.0,50666667.0,,,,22900000.0,,,,,,,,,7200000.0,300000.0,24400000.0,,,,1900000.0,,13500000.0,,1900000.0,,,,1900000.0,100000.0,54285714.0,,,,,,1800000.0,,,4300000.0,,,,100000.0,,,,,,,17200000.0,-900000.0,,200000.0,,,,,0.0,6100000.0,18600000.0,,-1600000.0,100000.0,,15600000.0,,,,,,,,2800000.0,2800000.0,,,,,0.0,,,,,12900000.0,1200000.0,,3100000.0,,,,,,,,-1700000.0,300000.0,,,600000.0,,-2000000.0,,,,,,,0.035,0.0,,,,,,,,,,14900000.0,,,,,2000000.0,600000.0,,,400000.0,-200000.0,,,,,3000000.0,3700000.0,,-100000.0,,3200000.0,,,,,,,,,,3500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,10600000.0,3200000.0,1200000.0,85200000.0,,,6700000.0,,11300000.0,2100000.0,,,,900000.0,400000.0,15400000.0,,400000.0,0.0,4100000.0,-1800000.0,7100000.0,12200000.0,,,,,23600000.0,,6600000.0,,2600000.0,0.0,,10700000.0,,7100000.0,0.0,26400000.0,15600000.0,,1800000.0,2000000.0,6600000.0,15100000.0,0.12875,2000000.0,1200000.0,55600000.0,,2000000.0,0.0,,,,26400000.0,11300000.0,19300000.0,2100000.0,,6600000.0,3900000.0,,,2200000.0,0.0,,,,,6700000.0,12200000.0,19300000.0,-400000.0,,400000.0,,200000.0,,,0.0,6500000.0,19700000.0,,-1600000.0,100000.0,,16500000.0,,13900000.0,15100000.0,7100000.0,,200000.0,2600000.0,2600000.0,2600000.0,,69600000.0,,,0.0,,-1300000.0,12800000.0,53277320.0,13900000.0,1200000.0,,3200000.0,,16500000.0,0.12375,-300000.0,,,-100000.0,-1600000.0,-100000.0,,,1200000.0,50964064.0,-2600000.0,,,0.0,1100000.0,,,,0.0,,,-200000.0,-5300000.0,-4200000.0,,,59000000.0,,16500000.0,,,,,1600000.0,-200000.0,-2600000.0,,200000.0,-1200000.0,,,400000.0,,3200000.0,3500000.0,,-300000.0,,3200000.0,,,3500000.0,,-100000.0,,0.0,,1500000.0,4100000.0,6500000.0,,,,,,,,,,,,,,,,,,,,,,,,
891302400,,,,,,,9900000.0,0.0375,15400000.0,,,,,800000.0,,17200000.0,,300000.0,,,,,14100000.0,50666667.0,,,,26200000.0,,,,,,,,,10200000.0,1400000.0,31500000.0,,,,1900000.0,,16100000.0,,1900000.0,,,,1900000.0,-100000.0,54285714.0,,,,,,2500000.0,,,4700000.0,,,,-200000.0,,,,,,,21300000.0,-1900000.0,,400000.0,,,,,0.0,8600000.0,21500000.0,,-2500000.0,100000.0,,18400000.0,,,,,,,,4000000.0,4000000.0,,,,,2600000.0,,,,,15500000.0,1200000.0,,3100000.0,,,,,,,,-2300000.0,100000.0,,,600000.0,,-3300000.0,,,,,,,0.035,0.0,,,,,,,,,,18800000.0,,,,,3700000.0,1400000.0,,,400000.0,1300000.0,,,,,3100000.0,5300000.0,,-100000.0,,4600000.0,,,,,100000.0,,,,,3900000.0,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,,,,,,,9600000.0,0.0475,17700000.0,,,,,1000000.0,,20200000.0,,400000.0,,,,,16500000.0,50526316.0,,,,30900000.0,,,,,,,,,10000000.0,1200000.0,34100000.0,,,,2400000.0,,16400000.0,,2400000.0,,,,2400000.0,0.0,56470588.0,,,,,,3200000.0,,,5400000.0,,,,0.0,,,,,,,24100000.0,-200000.0,,400000.0,,,,,0.0,8500000.0,25500000.0,,-1800000.0,100000.0,,21600000.0,,,,,,,,5800000.0,5800000.0,,,,,0.0,,,,,16300000.0,1500000.0,,3900000.0,,,,,,,,-1900000.0,800000.0,,,100000.0,,-4000000.0,,,,,,,0.0425,0.0,,,,,,,,,,20300000.0,,,,,3100000.0,1800000.0,,,400000.0,-400000.0,,,,,3900000.0,6100000.0,,-200000.0,,3500000.0,,,,,,,,,,4900000.0,,,,,,,,,,,,,,,,,,,,,,,,,
907113600,,,,,,,9600000.0,0.0475,17300000.0,,,,,1000000.0,,21000000.0,,400000.0,,,,,19000000.0,52631579.0,,,,32100000.0,,,,,,,,,10000000.0,-2400000.0,37100000.0,,,,2500000.0,,19800000.0,,2500000.0,,,,2500000.0,0.0,55555556.0,,,,,,4200000.0,,,5700000.0,,,,-300000.0,,,,,,,27100000.0,-1100000.0,,400000.0,,,,,0.0,9500000.0,26400000.0,,-3700000.0,100000.0,,22400000.0,,,,,,,,3300000.0,3300000.0,,,,,0.0,,,,,18800000.0,1600000.0,,4100000.0,,,,,,,,-3400000.0,100000.0,,,1000000.0,,-4900000.0,,,,,,,0.045,0.0,,,,,,,,,,23700000.0,,,,,1000000.0,-2500000.0,,,400000.0,-2400000.0,,,,,4000000.0,6100000.0,,-300000.0,,3500000.0,,,,,,,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
