,annualOtherCurrentAssets,annualCostOfRevenue,quarterlyOtherNonCashItems,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualBasicAverageShares,annualCurrentDebt,trailingFreeCashFlow,trailingCommonStockIssuance,annualEndCashPosition,annualTaxProvision,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,trailingTaxProvision,trailingEndCashPosition,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyEbitda,annualOperatingIncome,annualAccountsPayable,annualChangeInWorkingCapital,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,quarterlyOperatingIncome,quarterlyTotalAssets,annualFreeCashFlow,quarterlyNetIncomeCommonStockholders,annualNetIncome,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualBasicEPS,annualDilutedAverageShares,annualCurrentAssets,annualAccountsReceivable,annualBeginningCashPosition,annualLongTermDebt,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,trailingPretaxIncome,annualTotalAssets,annualSellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyBasicEPS,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualOtherNonCashItems,trailingNetIncomeCommonStockholders,annualStockholdersEquity,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,annualSaleOfInvestment,annualDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyInvestingCashFlow,trailingRepurchaseOfCapitalStock,annualCommonStockIssuance,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyChangeInAccountPayable,annualCurrentAccruedExpenses,annualRetainedEarnings,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyInvestmentsAndAdvances,annualDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingOperatingCashFlow,trailingOtherIncomeExpense,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,annualGrossProfit,annualCurrentLiabilities,annualInventory,quarterlyNetPPE,quarterlyPretaxIncome,trailingRepaymentOfDebt,annualOtherIncomeExpense,annualNetPPE,quarterlyBeginningCashPosition,annualTotalNonCurrentAssets,annualEbitda,annualOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyCapitalStock,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualOtherNonCurrentLiabilities,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualIncomeTaxPayable,quarterlyChangesInAccountReceivables,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentAssets,trailingOtherNonCashItems,quarterlyAccumulatedDepreciation,annualPurchaseOfInvestment,trailingDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,annualChangesInAccountReceivables,trailingBeginningCashPosition,quarterlyIncomeTaxPayable,annualPretaxIncome,annualDeferredIncomeTax,annualInvestingCashFlow,annualInterestExpense,quarterlySaleOfInvestment,trailingChangesInAccountReceivables,trailingInterestExpense,trailingCashDividendsPaid,quarterlyGrossPPE,trailingNetIncome,annualNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualAccumulatedDepreciation,trailingChangeInCashSupplementalAsReported,trailingPurchaseOfInvestment,annualGrossPPE,trailingInvestingCashFlow,trailingOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,trailingCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyDilutedEPS,trailingChangeInInventory,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,trailingChangeInWorkingCapital,annualCapitalExpenditure,trailingGrossProfit,annualRepaymentOfDebt,annualTotalRevenue,quarterlyOtherIntangibleAssets,annualChangeInAccountPayable,annualGoodwill,trailingSellingGeneralAndAdministration,trailingDilutedAverageShares,annualResearchAndDevelopment,annualStockBasedCompensation,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,trailingBasicEPS,trailingChangeInAccountPayable,quarterlyGoodwill,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingResearchAndDevelopment,trailingSaleOfInvestment,quarterlyCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualPurchaseOfBusiness,trailingPurchaseOfBusiness,trailingDilutedEPS,annualOtherIntangibleAssets
496886400,,,,,,,,,,,,,,,,,,,,,,,1034500000.0,,,,,,,,,,1034500000.0,,,,1034500000.0,,,141600000.0,,566400000.0,,,,,,,,,,,,,141600000.0,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,141600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504835200,118800000.0,2504300000.0,,,3575500000.0,,,,568409091.0,125800000.0,,,,321900000.0,1431600000.0,2054200000.0,,,,,4135100000.0,,-2088700000.0,719000000.0,,,,500200000.0,1077300000.0,,,,1017400000.0,,5007100000.0,,-2088700000.0,9768600000.0,,120100000.0,500200000.0,,7714400000.0,5007100000.0,601800000.0,,0.88,568409091.0,2054200000.0,,,815200000.0,,341800000.0,120100000.0,,9768600000.0,347600000.0,118800000.0,,,722600000.0,,,4761500000.0,4761500000.0,,,3575500000.0,500200000.0,,,,,,,,,,74500000.0,,120100000.0,,,4135100000.0,,,,0.88,2418500000.0,815200000.0,,1077300000.0,1077300000.0,,,,,,,1320800000.0,1431600000.0,74500000.0,6991800000.0,,,171700000.0,6991800000.0,,7714400000.0,973200000.0,,,,,,,341800000.0,125800000.0,,,,2418500000.0,,,,1077300000.0,722600000.0,,-3281500000.0,,,,,,,,822100000.0,,,68500000.0,,,,,10273300000.0,,,,,,,-3281500000.0,,,10273300000.0,,,,1305800000.0,,,,,1305800000.0,,,,,,,,3825100000.0,,,,,,,,,,,,,,,,,,,,,,,,
512611200,,,,,,,,,,,,,,,,,,,,,,,857200000.0,,,,,,,,,,857200000.0,,,,857200000.0,,,103700000.0,,576111111.0,,,,,,,,,,,,,103700000.0,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,103700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576111111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520473600,,,,,,,,,,,,,,,,,,,,,,,1050000000.0,,,,,,,,,,1050000000.0,,,,1050000000.0,,,143000000.0,,572000000.0,,,,,,,,,,,,,143000000.0,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,143000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528422400,,,,,,,,,,,,,,,,,,,,,,,1004900000.0,,,,,,,,,,1004900000.0,,,,1004900000.0,,,127800000.0,,555652174.0,,,,,,,,,,,,,127800000.0,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,127800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555652174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536371200,158800000.0,2702100000.0,,,3627900000.0,,,,570000000.0,106100000.0,,,,337300000.0,1053800000.0,1733700000.0,,,,,4439500000.0,,-2334900000.0,702000000.0,,,,518700000.0,723700000.0,,,,1039500000.0,,4681700000.0,,-2334900000.0,9752400000.0,,144200000.0,518700000.0,,8018700000.0,4681700000.0,672300000.0,,0.91,570000000.0,1733700000.0,,,785200000.0,,321800000.0,144200000.0,,9752400000.0,391400000.0,158800000.0,,,657400000.0,,,5070700000.0,5070700000.0,,,3627900000.0,518700000.0,,,,,,,,,,57400000.0,,144200000.0,,,4439500000.0,,,,0.91,2520900000.0,785200000.0,,723700000.0,723700000.0,,,,,,,1374300000.0,1053800000.0,57400000.0,7361300000.0,,,215800000.0,7361300000.0,,8018700000.0,982900000.0,,,,,,,321800000.0,106100000.0,,,,2520900000.0,,,,723700000.0,657400000.0,,-3290600000.0,,,,,,,,856000000.0,,,61800000.0,,,,,10651900000.0,,,,,,,-3290600000.0,,,10651900000.0,,,,947700000.0,,,,,947700000.0,,,,,,,,4076400000.0,,,,,,,,,,,,,,,,,,,,,,,,
544147200,,,,,,,,,,,,,,,,,,,,,,,979500000.0,,,,,,,,,,979500000.0,,,,979500000.0,,,124800000.0,,567272727.0,,,,,,,,,,,,,124800000.0,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,124800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567272727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552009600,,,,,,,,,,,,,,,,,,,,,,,1043200000.0,,,,,,,,,,1043200000.0,,,,1043200000.0,,,122400000.0,,582857143.0,,,,,,,,,,,,,122400000.0,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,122400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582857143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559958400,,,,,,,,,,,,,,,,,,,,,,,1030400000.0,,,,,,,,,,1030400000.0,,,,1030400000.0,,,-248500000.0,,564772727.0,,,,,,,,,,,,,-248500000.0,,,,,-0.44,,,,,,,,,,,,,,,,,,,,,,-248500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564772727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567907200,153300000.0,2732200000.0,,,3606000000.0,,,,574666667.0,123500000.0,,,,107100000.0,1211600000.0,1896600000.0,,,,,4346500000.0,,-2948100000.0,105000000.0,,,,172400000.0,799900000.0,,,,1059700000.0,,4817600000.0,,-2948100000.0,9797000000.0,,173700000.0,172400000.0,,7900400000.0,4817600000.0,1275600000.0,,0.3,574666667.0,1896600000.0,,,671600000.0,,521700000.0,173700000.0,,9797000000.0,973800000.0,153300000.0,,,487800000.0,,,4979400000.0,4979400000.0,,,3606000000.0,172400000.0,,,,,,,,,,55800000.0,,173700000.0,,,4346500000.0,,,,0.3,2412700000.0,671600000.0,,799900000.0,799900000.0,,,,,,,1380600000.0,1211600000.0,55800000.0,7412600000.0,,,233000000.0,7412600000.0,,7900400000.0,406800000.0,,,,,,,521700000.0,123500000.0,,,,2412700000.0,,,,799900000.0,487800000.0,,-3531700000.0,,,,,,,,279500000.0,,,58500000.0,,,,,10944300000.0,,,,,,,-3531700000.0,,,10944300000.0,,,,1088100000.0,,,,,1088100000.0,,,,,,,,4112800000.0,,,,,,,,,,,,,,,,,,,,,,,,
575769600,,,,,,,,,,,,,,,,,,,,,,,1033700000.0,,,,,,,,,,1033700000.0,,,,1033700000.0,,,118500000.0,,564285714.0,,,,,,,,,,,,,118500000.0,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,118500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564285714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583632000,,,,,,,,,,,,,,,,,,,,,,,1110000000.0,,,,,,,,,,1110000000.0,,,,1110000000.0,,,158200000.0,,545517241.0,,,,,,,,,,,,,158200000.0,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,158200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545517241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591580800,,,,,,,,,,,,,,,,,,,,,,,1162500000.0,,,,,,,,,,1162500000.0,,,,1162500000.0,,,179400000.0,,543636364.0,,,,,,,,,,,,,179400000.0,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,179400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543636364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599529600,184600000.0,2025800000.0,,,3711800000.0,,,,547500000.0,105100000.0,,,,365500000.0,1194700000.0,1854400000.0,,,,,4538900000.0,,-2357200000.0,945200000.0,,,,635100000.0,637600000.0,,,,1159200000.0,,4906500000.0,,-2357200000.0,10059100000.0,,179000000.0,635100000.0,,8204700000.0,4906500000.0,1490600000.0,,1.16,547500000.0,1854400000.0,,,675800000.0,,433400000.0,179000000.0,,10059100000.0,1178800000.0,184600000.0,,,608600000.0,,,5152600000.0,5152600000.0,,,3711800000.0,635100000.0,,,,,,,,,,66200000.0,,179000000.0,,,4538900000.0,,,,1.16,2602600000.0,675800000.0,,637600000.0,637600000.0,,,,,,,2435800000.0,1194700000.0,66200000.0,7596100000.0,,,108300000.0,7596100000.0,,8204700000.0,1257000000.0,,,,,,,433400000.0,105100000.0,,,,2602600000.0,,,,637600000.0,608600000.0,,-3643700000.0,,,,,,,,1000600000.0,,,53100000.0,,,,,11239800000.0,,,,,,,-3643700000.0,,,11239800000.0,,,,1089600000.0,,,,,1089600000.0,,,,,,,,4461600000.0,,,,,,,,,,,,,,,,,,,,,,,,
607305600,,,,,,,,,,,,,,,,,,,,,,,1111800000.0,,,,,,,,,,1111800000.0,,,,1111800000.0,,,133800000.0,,535200000.0,,,,,,,,,,,,,133800000.0,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,133800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
