,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,quarterlyNetOtherFinancingCharges,trailingPurchaseOfBusiness,annualStockholdersEquity,quarterlyResearchAndDevelopment,annualPurchaseOfBusiness,quarterlyCapitalExpenditure,annualAccountsReceivable,annualDepreciationAndAmortization,quarterlyDilutedEPS,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualInvestingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,trailingPretaxIncome,trailingSaleOfInvestment,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualGoodwill,quarterlyTaxProvision,trailingNetIncome,annualChangeInInventory,trailingCashDividendsPaid,quarterlyInventory,quarterlyNetPPE,trailingNetOtherInvestingChanges,quarterlyOtherCurrentLiabilities,annualOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualDilutedAverageShares,annualCurrentLiabilities,annualNetPPE,quarterlyAccountsReceivable,annualOtherIntangibleAssets,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualInventory,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyBasicAverageShares,annualOtherNonCurrentLiabilities,annualOperatingIncome,quarterlyBasicEPS,quarterlyFreeCashFlow,annualCapitalStock,annualTotalRevenue,trailingResearchAndDevelopment,annualRepaymentOfDebt,trailingGrossProfit,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,trailingEndCashPosition,annualBasicAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualEndCashPosition,trailingInterestExpense,annualPretaxIncome,trailingPurchaseOfInvestment,trailingTotalRevenue,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,trailingOperatingIncome,annualAccountsPayable,trailingInvestingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,annualGrossPPE,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyGrossProfit,annualSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,trailingSellingGeneralAndAdministration,annualOperatingExpense,trailingOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualNetIncomeContinuousOperations,annualBasicEPS,annualCashAndCashEquivalents,quarterlyOperatingIncome,quarterlyGrossPPE,annualCapitalExpenditure,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,quarterlyEndCashPosition,trailingBeginningCashPosition,annualInterestExpense,trailingCostOfRevenue,quarterlyChangeInInventory,quarterlyOtherNonCashItems,annualDilutedEPS,annualCurrentAssets,annualResearchAndDevelopment,annualEbitda,quarterlyCashDividendsPaid,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEbitda,annualNetIncomeCommonStockholders,quarterlyRetainedEarnings,annualFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyOperatingExpense,trailingNetIncomeCommonStockholders,annualCostOfRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGoodwill,trailingFreeCashFlow,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,quarterlyStockholdersEquity,annualTotalAssets,quarterlyNetOtherInvestingChanges,annualTaxProvision,annualCurrentDebt,annualCashDividendsPaid,quarterlyRepaymentOfDebt,annualBeginningCashPosition,annualLongTermDebt,quarterlyOtherCurrentAssets,annualNetIncome,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlyDilutedAverageShares,annualTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,trailingTaxProvision,trailingRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
851990400,,,,,1333235597.93,,,,363554162.78,,,,10388138.83,,364519589.69,,,,,,,,,,,1361356458.61,252668074.57,,40500000.0,,,,77513774.91,,,1942609692.22,252668074.57,363554162.78,23609139.42,,369453557.82,1361356458.61,675372335.17,23609139.42,,317047649.4,,,,171890891.32,126263746.72,,,317047649.4,1189214310.44,,,,,,40500000.0,,,,3466124320.3,,,199150238.06,,,640796803.68,827856393.59,597858560.26,,236622366.9,,675372335.17,,,,252668074.57,,,,203795482.9,1960997831.05,364519589.69,,243189811.1,,,,236622366.9,160021374.82,0.039674,597858560.26,,252668074.57,,,,,,,,18523207.26,,,,0.039674,2825327516.62,,217673445.32,,18388138.83,,149663316.45,92339545.54,,1960997831.05,2825327516.62,,,77513774.91,1942609692.22,18388138.83,,,,819760752.62,,,,,92339545.54,1333235597.93,3466124320.3,,39128863.24,827856393.59,,,,10388138.83,-8532688.05,149663316.45,-8532688.05,,,640796803.68,171890891.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867628800,,,,,,,,,,,,,,,410578622.64,,,,,,,,,,,,254515257.84,,2038118770.75,,,,,,,,,,,,,,,,,364604796.4,,,,,,,,,,,,,,,,,,,3621213636.08,,,,,,665093880.48,,,,,,,,,,,,,,,2044347644.31,,,,,,,,,,,,254515257.84,,,,,,,,,,,,,,,,,,,,110459300.1,,,2956119755.6,,,,2038118770.75,6228873.56,,,,,,,,,,1398942589.41,,,,,,,,,2956119755.6,,,,,,6228873.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,,,,1834650111.74,,,,484684822.92,,,,5970079.65,,384169308.58,,,,,,,,,,,1713988281.59,242797148.9,,254463661.88,,,,31058621.57,,,1966079019.41,242797148.9,484684822.92,5698482.54,,563104210.25,1713988281.59,742723446.31,5698482.54,,450857423.4,,,,152927242.2,188758334.05,,,450857423.4,1966711582.11,,,,,,254463661.88,,,,3959626453.0,,,250429381.09,,,632664940.02,548372959.11,711664824.74,,231735637.91,,742723446.31,,,,242797148.9,,,,301078020.53,1972049099.06,384169308.58,,374345876.2,,,,231735637.91,202594280.86,0.040005,711664824.74,,242797148.9,,,,,,,,35864053.98,,,,0.040005,3326961512.98,,286293435.07,,5970079.65,,187123995.02,87134700.05,,1972049099.06,3326961512.98,,,31058621.57,1966079019.41,5970079.65,,,,1403607371.86,,,,,87134700.05,1834650111.74,3959626453.0,,47835100.23,548372959.11,,,,5970079.65,-8369851.1,187123995.02,-8369851.1,,,632664940.02,152927242.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,,,,,,,,,,,,,,,8308038.88,,,,,,,,,,,2043032759.72,221963443.61,,282007937.93,,,,4745143.91,,,,,277794648.66,,,,,,,,450857423.4,,,,,,,,,,,,,,,,,,,3953891568.68,,,,,,547107058.58,573796156.0,683387777.7,,,,688132921.61,,,,,,,,,1922874435.06,,,,,,,295715947.05,,,,,221963443.61,,,,,,,,,,,,,,,,,,,,169709364.79,,,3406784510.1,,,,1925272875.88,-2398440.82,,,,,,,,,,1918654968.77,,,,,,,,,-2237346.82,,,,,,-2398440.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,87939378.46,,,1987561175.33,,,,252944294.21,25219588.02,,-5995090.61,20000000.0,16008718.25,4697652.68,,,,,,,,,-635947812.01,,2349936093.6,212698702.06,,209374890.4,-140274509.15,,,2376901.31,-405852788.85,,1916148966.22,212698702.06,252944294.21,,,625525577.02,2349936093.6,578892453.4,,,495943165.4,,,,-25488.83,256058274.92,,,495943165.4,2258575685.7,,-1007976728.18,,39112487.67,-135149272.65,209374890.4,,,,4037977498.58,576515552.09,,250775500.62,,,514628355.43,618723114.0,576515552.09,,371017252.96,,578892453.4,,,,212698702.06,,,,286541097.58,1936123477.39,4697652.68,,369467302.1,,,,371017252.96,211196234.1,0.043113,576515552.09,,212698702.06,-72871885.56,,,,0.0,,,15157939.89,,,,0.043113,3523349143.15,,291153028.53,,19974511.17,,202092921.45,93501102.26,-213146394.71,1936123477.39,3523349143.15,,,2376901.31,1916148966.22,19974511.17,,,,1633050108.68,,,,,93501102.26,1987561175.33,4037977498.58,,39579266.52,618723114.0,-109564073.7,,711664824.74,20000000.0,14461123.29,202092921.45,14461123.29,53749066.22,,514628355.43,-25488.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930700800,,,,,,,,,,,,,75000000.0,,4618623.78,,,,,,,,,,,2658693058.11,209178261.38,,262229434.9,,,,83980490.56,,,,,283151569.33,,,,,,,,495943165.4,,,,,,,,,,,,,,,,,,,4341585969.05,,,,,,508985544.89,815007932.0,468010960.13,,,,551991450.69,,,,,,,,,2188178887.08,,,,,,,289945913.23,,,,,209178261.38,,,,,,,,,,,,,,,,,,,,178860342.71,,,3832600424.16,,,,2111073814.45,77105072.63,,,,,,,,,,2072944944.09,,,,,,,,,-3108672.5,,,,,,2105072.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,,51236576.64,,,2093030259.17,,,,388046879.19,10814058.88,,-33250054.68,55000000.0,-52433185.99,4177796.43,,,,,,,,,-262683593.66,,2462246944.42,378930358.49,,214900928.17,42785873.01,,,813410.0,-178686130.87,,2289915437.05,378930358.49,388046879.19,,,744067887.07,2462246944.42,761736006.47,,,545537481.0,,,,3438317.86,276499934.79,,,545537481.0,2885031636.56,,-763249914.0,,15562788.41,184407044.38,214900928.17,,,,4494664465.95,760922596.47,,286600807.31,,,677389394.29,895234400.0,760922596.47,,526054494.54,,761736006.47,,,,378930358.49,,,,362022397.93,2348353754.91,4177796.43,,467567952.28,,,,526054494.54,240126889.47,0.048768,760922596.47,,378930358.49,-79915578.03,,,,8378468.45,,,9638084.67,,,,0.048768,3817275071.66,,307052950.86,,58438317.86,,229142287.45,34724359.41,-37129705.02,2348353754.91,3817275071.66,,10000000.0,813410.0,2289915437.05,58438317.86,,,,2140963749.49,,,,,34724359.41,2093030259.17,4494664465.95,,46473917.84,895234400.0,-116819978.27,,576515552.09,55000000.0,-20584896.27,229142287.45,-20584896.27,21041886.92,,677389394.29,3438317.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962323200,,,,,,,,,,,,,95000000.0,,10404921.5,,,,,,,,,,,2981956708.8,388071282.6,,20000000.0,,,,710370.0,,,,,373183085.72,,,,,,,,630971941.0,,,,,,,,,,,,,,,,,,,5045245492.17,,,,,,594763580.55,696000000.0,911966043.54,,,,912676413.54,,,,,,,,,2157343544.0,,,,,,,518274866.94,,,,,388071282.6,,,,,,,,,,,,,,,,,,,,149311013.8,,,4450481911.62,,,,2059943998.12,97399545.88,,,,,,,,,,2833088193.42,,,,,,,,,-19465442.87,,,,,,2399545.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,50928578.63,,,2906198742.58,,,,401581405.45,16946676.17,,-28996100.26,80000000.0,-36461980.62,13146464.3,,,,,,,,,-957332922.93,,3499234666.67,338282389.97,,239179130.63,86048365.05,,,602499.0,-254081368.14,,2532706262.71,338282389.97,401581405.45,,,953383549.24,3499234666.67,996347659.05,,,630971941.0,,,,43895991.54,373071462.64,,,630971941.0,3793311525.84,,-2157234400.0,,12699913.89,222913330.9,239179130.63,,,,5622247214.95,995745160.05,,386141816.56,,,589669207.35,566000000.0,995745160.05,,775411302.4,,996347659.05,,,,338282389.97,,,,451728262.85,2656602254.25,13146464.3,,580312086.6,,,,775411302.4,311177265.88,0.053588,995745160.05,,338282389.97,-63037804.58,,,,624024087.59,,,366499.12,,,,0.053588,5032578007.6,,390018138.81,,123895991.54,,301231499.63,11518859.92,23010560.47,2656602254.25,5032578007.6,,625384886.27,602499.0,2532706262.71,123895991.54,,,,2839927976.6,,,,,11518859.92,2906198742.58,5622247214.95,,74964550.68,566000000.0,-146351646.76,,772831829.15,80000000.0,-20075668.55,301231499.63,-20075668.55,3415424.26,,589669207.35,43895991.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993859200,,,,,,,,,,,,,191000000.0,,0.0,,,,,,,,,,,4057380813.64,328800464.49,,536411778.48,,,,,,,,,449487772.11,,,,,,,,630971941.0,,,,,,,,,,,,,,,,,,,6065500492.42,,,,,,545296628.81,986000000.0,763010058.78,,,,763010058.78,,,,,,,,,2959365067.22,,,,,,,576035134.83,,,,,328800464.49,,,,,,,,,,,,,,,,,,,,152299244.97,,,5520203863.61,,,,2732800963.33,226564103.89,,,,,,,,,,3046974244.18,,,,,,,,,0.0,,,,,,35564103.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
