date,annualChangesInAccountReceivables,annualInterestExpense,trailingBeginningCashPosition,trailingInterestExpense,trailingChangesInAccountReceivables,quarterlyDilutedEPS,annualBeginningCashPosition,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualSellingGeneralAndAdministration,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualRepaymentOfDebt,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualDilutedAverageShares,quarterlyAccountsPayable,trailingRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,trailingNetIncomeCommonStockholders,trailingDeferredIncomeTax,annualTaxProvision,quarterlyStockholdersEquity,trailingNetOtherFinancingCharges,annualCurrentDebt,quarterlyRepaymentOfDebt,annualTotalRevenue,annualCapitalStock,quarterlyTaxProvision,annualNetOtherFinancingCharges,annualFreeCashFlow,quarterlyOtherNonCashItems,trailingDepreciationAndAmortization,trailingTaxProvision,trailingOtherNonCashItems,trailingNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualBasicAverageShares,annualChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,annualPurchaseOfBusiness,quarterlyRetainedEarnings,trailingFreeCashFlow,trailingSellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,trailingNetIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyLongTermDebt,trailingPurchaseOfInvestment,annualCashDividendsPaid,trailingCashDividendsPaid,annualPurchaseOfInvestment,annualPretaxIncome,quarterlyTotalAssets,annualAccountsReceivable,annualLongTermDebt,annualNetIncome,quarterlyAccountsReceivable,annualBasicEPS,quarterlyDilutedAverageShares,trailingInvestingCashFlow,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,annualStockholdersEquity,annualOtherNonCashItems,trailingChangeInWorkingCapital,quarterlyNetIncome,quarterlyGoodwill,quarterlyBasicEPS,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,trailingSaleOfInvestment,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualEndCashPosition,trailingChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,trailingTotalRevenue,annualOperatingIncome,quarterlyCashDividendsPaid,annualOtherIncomeExpense,quarterlyEndCashPosition,annualAccountsPayable,annualOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,annualOperatingCashFlow,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,trailingEndCashPosition,quarterlyCurrentDebt,annualChangeInAccountPayable,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualOtherIntangibleAssets,trailingCashFlowFromContinuingFinancingActivities,annualDilutedEPS,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,trailingPretaxIncome,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualTotalNonCurrentAssets,quarterlyChangeInInventory,quarterlyGrossPPE,annualOtherNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyStockBasedCompensation,annualNetPPE,annualCostOfRevenue,annualOtherCurrentLiabilities,trailingCapitalExpenditure,annualOtherCurrentAssets,annualCurrentAccruedExpenses,quarterlyCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualInventory,trailingCostOfRevenue,annualCurrentAssets,trailingChangeInInventory,quarterlyEbitda,annualCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,trailingDilutedEPS,quarterlyCurrentAssets,quarterlyCapitalExpenditure,annualEbitda,annualOperatingExpense,annualGrossProfit,annualOtherNonCurrentLiabilities,annualStockBasedCompensation,trailingBasicEPS,quarterlyCostOfRevenue,trailingResearchAndDevelopment,quarterlyNetPPE,quarterlyOtherCurrentAssets,trailingGrossProfit,trailingCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyGrossProfit,quarterlyOperatingExpense,annualChangeInInventory,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,annualNonCurrentDeferredRevenue,annualAccumulatedDepreciation,annualCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCurrentAccruedExpenses,trailingOperatingIncome,quarterlyCurrentDeferredRevenue,trailingOperatingExpense,annualGrossPPE,quarterlyAccumulatedDepreciation,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
1994-06-30,,,,,,-1.44,,7400000.0,,,1595200000.0,,,,,,,,,,,,,,-7700000.0,142569444.0,,,,1065100000.0,,,0.0,,,,,,335100000.0,,,,,-5500000.0,,,-19300000.0,,,,,,-700000.0,,,559300000.0,,,,,,,,90700000,110500000.0,,,,,,,2565600000.0,,,,11600000.0,,142569444.0,,,,,7200000.0,,,,,-205300000,,-1.44,,,,,,3500000.0,-205300000,,,,,,,-205300000,-7800000.0,,,,-4800000.0,,,,,,-97800000.0,,,,,,,,-1685300000.0,,,,-700000.0,1500500000.0,,,110500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-30,800000.0,,,,,,9800000.0,-6900000.0,,16800000.0,2245900000.0,,-45700000.0,,,,,,394300000.0,142812500.0,,,,4600000.0,11300000.0,,,,,1088700000.0,,,,537500000.0,,,-65300000.0,336800000.0,-745400000.0,,,,,-5200000.0,,,781900000.0,,142812500.0,763800000.0,,-45700000.0,,,,598700000.0,,,,,,,1543700000.0,146500000,86600000.0,,,-19900000.0,,-6610800000.0,,2632400000.0,9000000.0,,-45700000.0,9000000.0,-0.32,,,,6366700000.0,,-5000000.0,,1088700000.0,-386700000.0,,44700000,,,2632400000.0,-85200000.0,5400000.0,,598700000.0,4700000.0,44700000,-247000000.0,,,,,,44700000,42100000.0,,,,-5200000.0,146400000.0,,,,,-86300000.0,336800000.0,,,,,381500000.0,,-2343500000.0,,,-0.32,0.0,1543700000.0,,,86600000.0,-65300000.0,,,,-2900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31,,,,,,0.01,,2400000.0,,,2100300000.0,-3500000.0,,,14400000.0,,,,20600000.0,,,,,,-34000000.0,140000000.0,,,,1089900000.0,,,,,,,,,104200000.0,,,,,-8700000.0,,,44400000.0,,,,,,,,,593400000.0,,,,,,,,102600000,146700000.0,,,,,,,2709600000.0,,,,6700000.0,,140000000.0,,,,,12400000.0,,,,,1400000,,0.01,,,,,,4300000.0,1400000,,,,,,,1400000,-1500000.0,,,,-5200000.0,,,,,,-125600000.0,,,3300000.0,,,,,-2191900000.0,,,,-3500000.0,1619700000.0,,,146700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-31,,,,,,0.37,,128000000.0,,,1445500000.0,-5000000.0,,,,,,,-21200000.0,,,,,,15300000.0,140270270.0,,,,1213900000.0,,,,,,,,,-200600000.0,,,,,-10200000.0,,,215700000.0,,,,,,,,,637600000.0,,,,,,,,156600000,62500000.0,,,,,,,2864200000.0,,,,12000000.0,,140270270.0,,,,,-8600000.0,,,,,51900000,,0.37,,,,,,5600000.0,51900000,,,,,,,51900000,50000000.0,,,,-5200000.0,,,,,,-60800000.0,,,4500000.0,,,,,-1521600000.0,,,,-5000000.0,1650300000.0,,,62500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-30,,,,,,0.69,,-115500000.0,,,1868200000.0,-22000000.0,,,,,,,1400000.0,,,,,,17500000.0,141159420.0,,,,1352800000.0,,,,,,,,,298300000.0,,,,,-27200000.0,,,-243700000.0,,,,,,,,,716900000.0,,,,,,,,203900000,149700000.0,,,,,,,3103900000.0,,,,12400000.0,,141159420.0,,,,,13200000.0,,,,,97400000,,0.69,,,,,,7200000.0,97400000,,,,,,,97400000,96400000.0,,,,-5200000.0,,,,,,-109400000.0,,,2300000.0,,,,,-1995100000.0,,,,-22000000.0,1751100000.0,,,149700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-30,-7700000.0,,,,,,14400000.0,-22600000.0,,25900000.0,2080900000.0,-3000000.0,237600000.0,,,,,,200000.0,118800000.0,,,,2500000.0,15200000.0,,,,,1442700000.0,,,,660800000.0,,,-33300000.0,437000000.0,28900000.0,,,,,-9300000.0,,,-35200000.0,,117623762.0,-18800000.0,,237600000.0,,,,795500000.0,,,,,,,1797300000.0,197700000,78100000.0,,,-22100000.0,,-7888000000.0,,3240000000.0,21000000.0,,237600000.0,21000000.0,2.02,,,,7494900000.0,,-14500000.0,,1442700000.0,230800000.0,,86900000,,,3240000000.0,-55400000.0,12600000.0,,795500000.0,8800000.0,86900000,-379100000.0,,,,,,86900000,87100000.0,,,,-6500000.0,232100000.0,,,,,-83300000.0,437000000.0,200000.0,2500000.0,,,1000000.0,,-2179400000.0,,,2.0,-2800000.0,1797300000.0,,,78100000.0,-33500000.0,,,,14000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-31,,,,,,0.67,,18000000.0,,,2027300000.0,-200000.0,,,16900000.0,,,,2600000.0,,,,,,14800000.0,139552239.0,,,,1567600000.0,,,,,,,,,38100000.0,,,,,-6600000.0,,,16100000.0,,,,,,,,,882500000.0,,,,,,,,207700000,145200000.0,,,,,,,3473800000.0,,,,25800000.0,,139552239.0,,,,,47200000.0,,,,,93500000,,0.67,,,,,,9100000.0,93500000,,,,,,,93500000,91700000.0,,,,-6500000.0,,,,,,-91400000.0,,,2500000.0,,,,,-2133500000.0,,,,100000.0,1906200000.0,,,145200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-31,,,,,,0.41,,-17200000.0,,,2976800000.0,0.0,,,,5800000.0,,,3700000.0,,,,-200000.0,,-300000.0,139518381.0,,,,1539700000.0,,,,,,,,,125700000.0,,,,,-6500000.0,,,-14300000.0,,,,,,,,,932800000.0,,,,,,,,200000000,168000000.0,,,,,,,3573200000.0,,,,32800000.0,,139518381.0,,,,,-27900000.0,,,,,56800000,,0.41,,,,,,9500000.0,56800000,,,,,,,56800000,53600000.0,,,,-6400000.0,,,,,,-189400000.0,,,200000.0,,,,,-3154300000.0,,,,-100000.0,2033500000.0,,,168000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,,,,,,0.38,,-34800000.0,,,1785900000.0,0.0,,,36200000.0,5800000.0,,,-500000.0,,,,200000.0,,4000000.0,139578660.0,,,,1581300000.0,,,,,,,,,193500000.0,,,,,-6400000.0,,,-114000000.0,,,,,,,,,977000000.0,,,,,0.0,,,194900000,130300000.0,,,,,,,3744600000.0,,,,83400000.0,,139578660.0,,,,,4100000.0,,,,,52500000,,0.38,,,,,,9700000.0,52500000,,,,,,,52500000,49000000.0,,,,-6500000.0,,40300000.0,,,,-119800000.0,,,1700000.0,,,,,-1909700000.0,,,,100000.0,2163300000.0,,,130300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,3500000.0,,,,,,16929000.0,37500000.0,,41487000.0,1699410000.0,-57803000.0,289733000.0,,40300000.0,7271000.0,0.0,,5500000.0,149440884.0,54913000.0,,61412000.0,36445000.0,8178000.0,,,,,2244278000.0,,,,848998000.0,7271000.0,,0.0,621360000.0,-65476000.0,,,,,-66159000.0,,,159850000.0,376680000.0,149440884.0,47650000.0,,289733000.0,,,-11572000.0,1020700000.0,,,,,28000.0,,2330080000.0,246398000,177860000.0,,,-27684000.0,,-9003772000.0,,4574358000.0,85000000.0,,289733000.0,85000000.0,1.94,,,201742000.0,8489410000.0,,13045000.0,4089447000.0,2244278000.0,291824000.0,,86933000,201742000.0,,4574358000.0,-85659000.0,7847000.0,,1020700000.0,13087000.0,86933000,-499256000.0,53374000.0,,,430054000.0,53374000.0,86933000,,,,289733000.0,-8284000.0,,53374000.0,54913000.0,376680000.0,,-98656000.0,621360000.0,28000.0,3447000.0,,,11300000.0,,-1806272000.0,,,1.94,-57875000.0,2330080000.0,4089447000.0,,177860000.0,-58003000.0,61412000.0,53374000.0,430054000.0,26678000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,,,,,,0.71,,23100000.0,,,2120600000.0,-14700000.0,,,53400000.0,7200000.0,,,-4700000.0,,,,-300000.0,,17700000.0,176835600.0,,,,2368400000.0,,,,,,,,,-55200000.0,,,,,-24500000.0,,,17900000.0,,,,,,400000.0,,,1126400000.0,,,,,-30400000.0,,,265900000,86800000.0,,,,,,,4747400000.0,,,,84600000.0,,176835600.0,,,,,40100000.0,,,,,125700000,,0.72,,,,,,15800000.0,125700000,,,,,,,125700000,101500000.0,,,,-10200000.0,,93500000.0,,,200500000.0,-22200000.0,,,1600000.0,,,,,-2130100000.0,,,,-14300000.0,2379000000.0,,,86800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
