date,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualNetIncomeCommonStockholders,annualNetPPE,trailingChangeInCashSupplementalAsReported,annualOtherIntangibleAssets,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualGrossPPE,quarterlyRepaymentOfDebt,trailingInterestExpense,quarterlyDilutedAverageShares,trailingOperatingCashFlow,annualCapitalStock,annualBasicEPS,annualInterestExpense,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyStockholdersEquity,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,quarterlyOperatingIncome,annualBasicAverageShares,trailingNetIncomeContinuousOperations,annualPurchaseOfBusiness,trailingPurchaseOfBusiness,annualStockholdersEquity,annualNetOtherFinancingCharges,trailingOperatingExpense,annualOtherNonCashItems,annualSellingGeneralAndAdministration,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,trailingTaxProvision,trailingCashDividendsPaid,annualNetIncome,annualBeginningCashPosition,trailingNetIncome,quarterlyTaxProvision,quarterlyNetPPE,annualCashDividendsPaid,trailingBeginningCashPosition,quarterlyOperatingCashFlow,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,trailingFreeCashFlow,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyCapitalExpenditure,annualTotalLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,quarterlyRetainedEarnings,annualOperatingIncome,quarterlyCashDividendsPaid,quarterlyDilutedEPS,annualChangeInWorkingCapital,annualAccountsPayable,annualEndCashPosition,annualTaxProvision,trailingPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualGoodwill,annualTotalAssets,trailingTotalRevenue,trailingNetOtherFinancingCharges,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,annualTotalRevenue,trailingSaleOfInvestment,quarterlySellingGeneralAndAdministration,annualPurchaseOfInvestment,annualRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyAccountsPayable,quarterlyInvestmentsAndAdvances,annualDilutedEPS,annualSaleOfInvestment,annualInvestmentsAndAdvances,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,trailingCapitalExpenditure,quarterlyInterestExpense,trailingInvestingCashFlow,annualPretaxIncome,trailingPretaxIncome,trailingEndCashPosition,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyFreeCashFlow,annualDilutedAverageShares,annualCashAndCashEquivalents,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,trailingCostOfRevenue,trailingNetOtherInvestingChanges,annualNonCurrentDeferredTaxesLiabilities,annualLongTermDebt,quarterlyIncomeTaxPayable,trailingOperatingIncome,trailingDeferredIncomeTax,annualDeferredIncomeTax,annualOtherNonCurrentLiabilities,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyOtherNonCurrentAssets,annualInventory,annualTotalNonCurrentAssets,annualStockBasedCompensation,annualCurrentLiabilities,annualOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,annualCurrentDebt,quarterlyOtherNonCashItems,annualChangeInInventory,trailingGrossProfit,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,quarterlyCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherCurrentAssets,annualGrossProfit,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyInventory,trailingBasicEPS,quarterlyTotalNonCurrentAssets,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualEbitda,annualAccountsReceivable,quarterlyCostOfRevenue,quarterlyLongTermDebt,annualGainsLossesNotAffectingRetainedEarnings,annualCostOfRevenue,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,trailingChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,annualOtherShortTermInvestments,quarterlyCurrentDeferredRevenue,annualCurrentAssets,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherCurrentAssets,quarterlyCurrentAccruedExpenses,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,quarterlyAccountsReceivable,annualIncomeTaxPayable,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
,,324794000000.0,856793000000.0,25265000000.0,,60465000000.0,,,,,966799000000.0,,,-112827000000.0,,326813333333.0,,,,,42601000000.0,43988000000.0,,1310436000000.0,,,,,59368000000.0,,,,,,,,,,-124759000000.0,0.0,,,,,,11341000000.0,149485000000.0,,,-25279000000.0,,149485000000.0,,125775000000.0,,,-3730000000.0,,,,487125000000.0,,-56577000000.0,0.15,,,,,,-102739000000.0,732034000000.0,,,,,,49124000000.0,49022000000.0,1381000000.0,,,41198000000.0,,,17751076000000.0,6000000.0,222906000000.0,4604516000000.0,,,,351949000000.0,-450990000000.0,,63239000000.0,,,,,0.15,49022000000.0,19064101000000.0,,326813333333.0,-29009000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,732034000000.0,25266000000.0,,34702000000.0,183941000000.0,158669000000.0,,25266000000.0,4074372000000.0,715973000000.0,158669000000.0,-150382000000.0,,,,324794000000.0,0.55,259086000000.0,58963000000.0,38654000000.0,17738000000.0,1318193000000.0,,-705293000000.0,5729000000.0,-22637000000.0,34988000000.0,334438181818.0,,,,1318193000000.0,1792000000.0,,-85147000000.0,175013000000.0,95664000000.0,882000000.0,,,183941000000.0,821969000000.0,,4817000000.0,158669000000.0,-70926000000.0,,206483000000.0,,158669000000.0,,119862000000.0,184060000000.0,194975000000.0,-13709000000.0,18248470000000.0,1843000000.0,693336000000.0,496083000000.0,224595000000.0,-6090000000.0,,601155000000.0,229115000000.0,827698000000.0,42564000000.0,,-83211000000.0,827698000000.0,1381000000.0,19570061000000.0,,,-643737000000.0,29885000000.0,29771000000.0,1381000000.0,506025000000.0,,55621000000.0,-2039374000000.0,496083000000.0,18248470000000.0,831000000.0,229115000000.0,4740661000000.0,0.55,1415987000000.0,4740661000000.0,367232000000.0,-438713000000.0,,65044000000.0,,226624000000.0,,,,29771000000.0,19570061000000.0,154753000000.0,,192774000000.0,334438181818.0,4074372000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,827698000000.0,25028000000.0,,68944000000.0,,,,,1042341000000.0,,,-134831000000.0,,348187500000.0,,,,,56971000000.0,43332000000.0,,1362744000000.0,,,,,67788000000.0,,,,,,,,,,126664000000.0,,,,,,,13165000000.0,155622000000.0,,,294126000000.0,,155622000000.0,,148386000000.0,,,-2342000000.0,,,,549383000000.0,,-3072000000.0,0.16,,,,,,-224948000000.0,954362000000.0,,,,,,55779000000.0,55710000000.0,1381000000.0,,,38409000000.0,,,18957939000000.0,0.0,214881000000.0,5044206000000.0,,,,412409000000.0,-635389000000.0,,65885000000.0,,,,,0.16,55710000000.0,20323984000000.0,,348187500000.0,291784000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,954362000000.0,24913000000.0,,64266000000.0,,,,,3573963000000.0,,,-173334000000.0,,,,,,,43234000000.0,44266000000.0,,1355200000000.0,,,,,64263000000.0,,,,,,,,,,-84006000000.0,,,,,,,11375000000.0,153226000000.0,,,48747000000.0,,153226000000.0,,128565000000.0,,,-2476000000.0,,,,515102000000.0,,-5245000000.0,,,,,,,-122019000000.0,870356000000.0,,,,,,52891000000.0,52883000000.0,1381000000.0,,,39998000000.0,,,19215145000000.0,-1000000.0,218217000000.0,5231424000000.0,,,,509648000000.0,-629348000000.0,,67392000000.0,,,,,,52883000000.0,20573586000000.0,,,46271000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,870356000000.0,24574000000.0,,61960000000.0,,,,,696324000000.0,,,-125888000000.0,,321356250000.0,,,,,44284000000.0,52204000000.0,,1405981000000.0,,,,,60227000000.0,,,,,,,,,,122786000000.0,,,,,,,10488000000.0,152189000000.0,,,253261000000.0,,152189000000.0,,131431000000.0,,,-3882000000.0,,,,566666000000.0,,-58378000000.0,0.16,,,,,,-85477000000.0,993142000000.0,,,,,,51472000000.0,51417000000.0,1381000000.0,,,41786000000.0,,,19513757000000.0,1000000.0,225884000000.0,5348955000000.0,,,,564578000000.0,-646873000000.0,,68571000000.0,,,,,0.16,51417000000.0,20923117000000.0,,321356250000.0,249379000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,404693000000.0,993142000000.0,24535000000.0,,44308000000.0,192962000000.0,155258000000.0,,24535000000.0,3564141000000.0,633417000000.0,155258000000.0,-145738000000.0,,,,404693000000.0,0.58,271769000000.0,59028000000.0,49582000000.0,17021000000.0,1426415000000.0,,-579791000000.0,173548000000.0,-16011000000.0,43080000000.0,332693103448.0,,,,1426415000000.0,-35000000.0,,-96908000000.0,177010000000.0,8104000000.0,,,,192962000000.0,827698000000.0,,11317000000.0,155258000000.0,-70379000000.0,,37283000000.0,,155258000000.0,,128645000000.0,193133000000.0,203517000000.0,-7311000000.0,19623985000000.0,,617406000000.0,577573000000.0,,-3684000000.0,,492155000000.0,228805000000.0,1001246000000.0,46345000000.0,,-48617000000.0,1001246000000.0,1381000000.0,21053382000000.0,,,-481061000000.0,32991000000.0,32952000000.0,1381000000.0,537027000000.0,,56817000000.0,-2577239000000.0,577573000000.0,19623985000000.0,-35000000.0,228805000000.0,5522031000000.0,0.58,2110051000000.0,5522031000000.0,623416000000.0,-665629000000.0,,69921000000.0,,239478000000.0,,,,32952000000.0,21053382000000.0,189384000000.0,,29972000000.0,332693103448.0,3564141000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,404693000000.0,1001246000000.0,24120000000.0,,71346000000.0,,,,,563142000000.0,,,-165425000000.0,,345505882353.0,,,,,51710000000.0,49745000000.0,,1459992000000.0,,,,,,,,,,,,,,,41169000000.0,,,,,,,12306000000.0,152946000000.0,,,-117938000000.0,,152946000000.0,,155862000000.0,,,-4888000000.0,,,,597779000000.0,,-4026000000.0,0.17,,,,,,54014000000.0,1042415000000.0,,,,,,59040000000.0,58736000000.0,1381000000.0,,,39081000000.0,,,20175420000000.0,,207028000000.0,626347000000.0,,,,624965000000.0,-566499000000.0,,70466000000.0,,,,,0.17,58736000000.0,21639047000000.0,,345505882353.0,-122826000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,429882000000.0,1042415000000.0,23985000000.0,,70206000000.0,,,,,3569037000000.0,,,-371654000000.0,,,,,,,48296000000.0,50504000000.0,,1565226000000.0,,,,,,,,,,,,,,,-174812000000.0,,,,,,,13270000000.0,150640000000.0,,,-103514000000.0,,150640000000.0,,150434000000.0,,,-331000000.0,,,,588077000000.0,,-52157000000.0,,,,,,,-202580000000.0,867603000000.0,,,,,,56936000000.0,57053000000.0,1381000000.0,,,42618000000.0,,,20351140000000.0,,202368000000.0,680766000000.0,,,,536741000000.0,-737242000000.0,,73995000000.0,,,,,,57053000000.0,21920851000000.0,,,-103845000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,429882000000.0,867603000000.0,23578000000.0,-2035000000.0,68499000000.0,,,,,701896000000.0,,,-244960000000.0,,328364705882.0,,,,,45561000000.0,61653000000.0,,1630380000000.0,,,,,,,,,,,,,,,161060000000.0,,,,,,,12671000000.0,149250000000.0,,,333839000000.0,,149250000000.0,,151123000000.0,,,-2209000000.0,,,,643980000000.0,,-4743000000.0,0.17,,,,,,-235765000000.0,1028663000000.0,,,,,,55828000000.0,55822000000.0,1381000000.0,,,43684000000.0,,,21065457000000.0,-49000000.0,213605000000.0,650758000000.0,,,,488652000000.0,-720327000000.0,,79023000000.0,,,,,0.17,55822000000.0,22700325000000.0,,328364705882.0,331630000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,429882000000.0,1028663000000.0,23575000000.0,-51000000.0,41623000000.0,202783000000.0,152452000000.0,,23575000000.0,3488116000000.0,105927000000.0,152452000000.0,-239614000000.0,,,,429882000000.0,0.59,306964000000.0,65907000000.0,37702000000.0,15610000000.0,1670294000000.0,,-1021653000000.0,-22805000000.0,-17048000000.0,,343700000000.0,,-3801000000.0,,1670294000000.0,100756000000.0,,803000000.0,187200000000.0,-50222000000.0,,,,202783000000.0,1001246000000.0,,10796000000.0,152452000000.0,-84392000000.0,,-6460000000.0,,152452000000.0,,141191000000.0,202631000000.0,211474000000.0,-9620000000.0,20934684000000.0,,88879000000.0,652944000000.0,,-23466000000.0,,-28658000000.0,,978441000000.0,49043000000.0,,-54756000000.0,978441000000.0,1381000000.0,22609471000000.0,,,-439087000000.0,30827000000.0,31172000000.0,1381000000.0,598610000000.0,,61817000000.0,-2491466000000.0,652944000000.0,20934684000000.0,42000000.0,,2422326000000.0,0.59,2067623000000.0,2422326000000.0,417265000000.0,-467398000000.0,,83480000000.0,,251674000000.0,,,,31172000000.0,22609471000000.0,199604000000.0,,-16080000000.0,343700000000.0,3488116000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,429882000000.0,979473000000.0,23225000000.0,,74664000000.0,,,,,771094000000.0,,,-238673000000.0,,360300000000.0,,,,,56277000000.0,49930000000.0,,1732411000000.0,,,,,,,,,,,,,,,176457000000.0,,,,,,,12543000000.0,149321000000.0,,,263874000000.0,,149321000000.0,,172986000000.0,,,-468000000.0,,,,711817000000.0,,-6283000000.0,0.17,,,,,,-80341000000.0,1155930000000.0,,,,,,62121000000.0,61251000000.0,1381000000.0,,,40009000000.0,,,21920411000000.0,,,1825535000000.0,,,,428176000000.0,-508249000000.0,,89350000000.0,,,,,0.17,61251000000.0,23657926000000.0,,360300000000.0,263406000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,429882000000.0,1155930000000.0,23155000000.0,,71198000000.0,,,,,3370978000000.0,,,-211157000000.0,,,,,,,48457000000.0,62885000000.0,,1732667000000.0,,,,,,,,,,,,,,,-392849000000.0,,,,,,,10947000000.0,147969000000.0,,,-274386000000.0,,147969000000.0,,150218000000.0,,,-3351000000.0,,,,673396000000.0,,-71058000000.0,,,,,,,-179635000000.0,762049000000.0,,,,,,60251000000.0,60194000000.0,1381000000.0,,,43204000000.0,,,22237018000000.0,,,720561000000.0,,,,507154000000.0,-683067000000.0,,94588000000.0,,,,,,60194000000.0,23975153000000.0,,,-277737000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,429882000000.0,762049000000.0,22842000000.0,-961000000.0,71460000000.0,,,,,839408000000.0,,,-310201000000.0,,348388235294.0,,,,,49391000000.0,,,1917649000000.0,,,,,,,,,,,,,,,324082000000.0,,,,,,,12041000000.0,146908000000.0,,,112649000000.0,,146908000000.0,,151821000000.0,,,-2697000000.0,,,,732608000000.0,,-4816000000.0,0.17,,,,,,12239000000.0,1086131000000.0,,,,,,59419000000.0,59226000000.0,1381000000.0,,,45508000000.0,,,22947501000000.0,1091351000000.0,,862281000000.0,,,,539435000000.0,-524281000000.0,,94893000000.0,,,,,0.17,59226000000.0,24870961000000.0,,348388235294.0,109952000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
