,annualPurchaseOfInvestment,annualInvestingCashFlow,trailingInvestingCashFlow,trailingPretaxIncome,trailingNetIncome,annualTotalAssets,trailingPurchaseOfBusiness,annualStockholdersEquity,annualChangeInWorkingCapital,annualDepreciationAndAmortization,annualRetainedEarnings,annualCommonStockIssuance,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,annualCapitalStock,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualTotalRevenue,annualNetPPE,annualAccountsPayable,annualBasicAverageShares,annualOperatingIncome,annualEndCashPosition,trailingTotalRevenue,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,trailingEndCashPosition,quarterlyTotalAssets,annualInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,annualBeginningCashPosition,trailingCapitalExpenditure,annualDilutedAverageShares,annualCapitalExpenditure,annualSellingGeneralAndAdministration,trailingInterestExpense,quarterlyGrossPPE,trailingBeginningCashPosition,trailingOperatingExpense,quarterlyAccountsPayable,annualDilutedEPS,trailingNetIncomeCommonStockholders,trailingNetIncomeContinuousOperations,annualRepaymentOfDebt,annualNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,annualAccumulatedDepreciation,annualNetOtherFinancingCharges,annualInterestExpense,trailingOperatingCashFlow,annualBasicEPS,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,annualTaxProvision,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualOtherNonCashItems,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,trailingTaxProvision,annualFreeCashFlow,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualNetIncome,annualCashDividendsPaid,trailingPurchaseOfInvestment,annualStockBasedCompensation,annualOtherCurrentLiabilities,quarterlyCapitalExpenditure,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,trailingRepaymentOfDebt,quarterlyCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,trailingCostOfRevenue,annualEbitda,annualCostOfRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,annualCashFlowFromContinuingFinancingActivities,annualCurrentLiabilities,annualGoodwill,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyChangeInWorkingCapital,trailingDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,trailingCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,trailingStockBasedCompensation,quarterlyCurrentDebt,trailingCashDividendsPaid,quarterlyInvestingCashFlow,trailingNetOtherFinancingCharges,annualOtherCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlyCurrentLiabilities,annualSaleOfInvestment,quarterlySaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,annualCurrentAccruedExpenses,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherNonCurrentLiabilities,quarterlyPretaxIncome,annualDeferredIncomeTax,annualOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,trailingSaleOfInvestment,quarterlyOtherIntangibleAssets,trailingOperatingIncome,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,annualCurrentDebt,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInInventory,annualNonCurrentDeferredRevenue,quarterlyCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualChangeInInventory,quarterlyTotalRevenue,annualLongTermDebt,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,annualChangesInAccountReceivables,annualGainsLossesNotAffectingRetainedEarnings,trailingBasicEPS,annualChangeInAccountPayable,annualCurrentAssets,quarterlyEndCashPosition,quarterlyOtherCurrentAssets,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyEbitda,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingChangeInAccountPayable,annualIncomeTaxPayable,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyOtherCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,annualResearchAndDevelopment,annualGrossProfit,quarterlyIncomeTaxPayable,annualCurrentDeferredRevenue,quarterlyGrossProfit,trailingBasicAverageShares,annualAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyRepaymentOfDebt,annualRepurchaseOfCapitalStock,trailingDeferredIncomeTax,trailingGrossProfit,quarterlyDilutedEPS,quarterlyCurrentAssets,trailingResearchAndDevelopment,quarterlyNetOtherInvestingChanges,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherNonCashItems,quarterlyDilutedAverageShares,trailingRepurchaseOfCapitalStock,annualInventory,annualTotalNonCurrentAssets
1293753600,,-409000000.0,,,,1661040000000.0,,115181000000.0,259504000000.0,1131000000.0,,0.0,,501116000000.0,52864000000.0,455311000000.0,275577000000.0,35811000000.0,31049000000.0,35480000000.0,10572780266.0,18239000000.0,446679000000.0,,52864000000.0,,35440000000.0,455311000000.0,0.0,,1661040000000.0,501116000000.0,1542751000000.0,19742000000.0,182708000000.0,,10572780266.0,-690000000.0,17572000000.0,,35440000000.0,,,35480000000.0,1.5319,,,-19418000000.0,16196000000.0,263971000000.0,115181000000.0,-4391000000.0,0.0,4715000000.0,,1.5319,-4391000000.0,31049000000.0,,3052000000.0,,1542751000000.0,108000000.0,17184000000.0,0.0,,,274887000000.0,17572000000.0,,16690000000.0,-10256000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,,,,,,,,,,,,,,524201000000.0,,508849000000.0,,,,,,,,,52864000000.0,,,,,,1830379000000.0,,1700756000000.0,,,,,,,,40766000000.0,,,47842000000.0,,,,,,,126163000000.0,,,,,,-4656000000.0,36110000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,,-791000000.0,,,,1738510000000.0,,129765000000.0,-113091000000.0,1277000000.0,,,,518511000000.0,52864000000.0,386705000000.0,-106244000000.0,30846000000.0,39650000000.0,41811000000.0,10572780266.0,22478000000.0,340446000000.0,,52864000000.0,,39650000000.0,386705000000.0,0.0,,1738510000000.0,518511000000.0,1605327000000.0,24680000000.0,446679000000.0,,10572780266.0,-924000000.0,1428000000.0,,39650000000.0,,,41811000000.0,1.93,,,0.0,20430000000.0,-120482000000.0,129765000000.0,,0.0,9952000000.0,,1.93,,39650000000.0,,3867000000.0,,1605327000000.0,132000000.0,20430000000.0,,,,-107168000000.0,7862000000.0,,20813000000.0,-12709000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341014400,,,,,,,,,,,,,,538652000000.0,,267590000000.0,,,,,,,,,52864000000.0,,,,,,1684722000000.0,,1540310000000.0,,,,,,,,48884000000.0,,,43119000000.0,,,,,,,140714000000.0,,,,,,-5088000000.0,43796000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,-2000000.0,-713000000.0,,,,1830763000000.0,,150969000000.0,-105675000000.0,1493000000.0,52811000000.0,,,646224000000.0,0.0,264773000000.0,-80453000000.0,46169000000.0,48743000000.0,47639000000.0,10572780266.0,23499000000.0,242955000000.0,,0.0,,53971000000.0,264773000000.0,0.0,,1830763000000.0,646224000000.0,1675689000000.0,25521000000.0,340446000000.0,,10572780266.0,-1045000000.0,798000000.0,,53971000000.0,,,47639000000.0,1.9796,,,,20930000000.0,-93739000000.0,150969000000.0,-5228000000.0,0.0,10705000000.0,,1.9796,-5228000000.0,48743000000.0,52811000000.0,3974000000.0,,1675689000000.0,0.0,21547000000.0,,,,-81498000000.0,19922000000.0,,20930000000.0,-11661000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372550400,,,,,,,,,,,,,,608016000000.0,,236961000000.0,,,,,,,,,0.0,,,,,,1834661000000.0,,1678959000000.0,,,,,,,,55100000000.0,,,47768000000.0,,,,,,,151806000000.0,,,,,,-5416000000.0,49684000000.0,56345000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,-2000000.0,-1092000000.0,,,,2046936000000.0,,158813000000.0,116120000000.0,1663000000.0,60734000000.0,,,609043000000.0,0.0,400435000000.0,141056000000.0,49850000000.0,52358000000.0,47803000000.0,10572780266.0,27493000000.0,363201000000.0,,0.0,,58066000000.0,400435000000.0,0.0,,2046936000000.0,609043000000.0,1883928000000.0,27793000000.0,242955000000.0,,10572780266.0,-1096000000.0,818000000.0,,58066000000.0,,,47803000000.0,2.1046,,,-6668000000.0,22252000000.0,119404000000.0,158813000000.0,-5708000000.0,0.0,11463000000.0,,2.1046,-5708000000.0,52358000000.0,60734000000.0,4718000000.0,,1883928000000.0,0.0,23075000000.0,,,,139960000000.0,21356000000.0,,22252000000.0,-13089000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404086400,,,,,,,,,,,,,,586886000000.0,,374013000000.0,,,,,,,,,0.0,,,,,,2085236000000.0,,1911858000000.0,,,,,,,,59593000000.0,,,46286000000.0,,,,,,,168865000000.0,,,,,,-6020000000.0,53573000000.0,67093000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,0.0,-979000000.0,,,,2189367000000.0,,176714000000.0,25935000000.0,1829000000.0,73621000000.0,,,617267000000.0,0.0,436109000000.0,61702000000.0,53843000000.0,55207000000.0,51603000000.0,10572780266.0,30260000000.0,403828000000.0,,0.0,,60947000000.0,436109000000.0,0.0,,2189367000000.0,617267000000.0,2007895000000.0,30663000000.0,363201000000.0,,10572780266.0,-1025000000.0,892000000.0,,60947000000.0,,,51603000000.0,2.3246,,,0.0,24577000000.0,49350000000.0,176714000000.0,-5740000000.0,0.0,16033000000.0,,2.3246,-5740000000.0,55207000000.0,73621000000.0,5558000000.0,,2007895000000.0,0.0,25105000000.0,,,,60677000000.0,22140000000.0,,24577000000.0,-10679000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,,,,,,,,,,,,,769711000000.0,,380141000000.0,,,,,,,,,0.0,,,,,,2367685000000.0,,2177055000000.0,,,,,,,,61916000000.0,,,90715000000.0,,,,,,,185574000000.0,,,,,,-5710000000.0,56206000000.0,80604000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,-47000000.0,-771000000.0,,,,2367864000000.0,,192578000000.0,-109368000000.0,1843000000.0,88072000000.0,,,720531000000.0,0.0,294938000000.0,-71213000000.0,54388000000.0,50433000000.0,33957000000.0,10572780266.0,28175000000.0,308456000000.0,,0.0,,55785000000.0,294938000000.0,0.0,,2367864000000.0,720531000000.0,2169871000000.0,28952000000.0,403828000000.0,,10572780266.0,-1194000000.0,844000000.0,,55785000000.0,,,33957000000.0,2.5344,,,,26796000000.0,-84243000000.0,192578000000.0,-5352000000.0,245000000.0,12335000000.0,,2.5344,-5352000000.0,50433000000.0,88072000000.0,4284000000.0,,2169871000000.0,0.0,24668000000.0,,,,-72407000000.0,24491000000.0,,26796000000.0,-11842000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,,,,,,,,,,,,,775861000000.0,,426769000000.0,,,,,,,,,0.0,,,,,,2364232000000.0,,2129617000000.0,,,,,,,,54443000000.0,,,63138000000.0,,,,,,,228586000000.0,,,,,,-5605000000.0,48838000000.0,130081000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
