,trailingCapitalExpenditure,quarterlySaleOfInvestment,trailingOperatingExpense,annualCurrentAssets,quarterlyGrossPPE,annualOtherNonCurrentAssets,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,trailingInterestExpense,quarterlyNetOtherInvestingChanges,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualEbitda,quarterlyEbitda,quarterlyStockholdersEquity,quarterlyGrossProfit,annualNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyInvestingCashFlow,annualInterestExpense,quarterlyBasicAverageShares,annualResearchAndDevelopment,annualOtherCurrentAssets,annualCostOfRevenue,trailingFreeCashFlow,annualGrossProfit,annualTotalNonCurrentAssets,quarterlySellingGeneralAndAdministration,annualBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,annualTaxProvision,quarterlyTaxProvision,quarterlyRetainedEarnings,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,trailingCostOfRevenue,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyTotalRevenue,trailingTaxProvision,quarterlyCapitalExpenditure,annualNetIncome,annualBeginningCashPosition,annualFreeCashFlow,annualCurrentDebt,annualCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,annualAccountsReceivable,quarterlyLongTermDebt,annualInvestingCashFlow,annualPurchaseOfInvestment,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualNonCurrentDeferredRevenue,trailingPretaxIncome,trailingCashDividendsPaid,annualTotalAssets,annualNonCurrentDeferredTaxesLiabilities,trailingSaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,annualLongTermDebt,annualStockholdersEquity,trailingPurchaseOfInvestment,trailingNetIncome,trailingNetOtherInvestingChanges,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyAccountsReceivable,annualDepreciationAndAmortization,quarterlyGoodwill,annualChangeInWorkingCapital,annualCurrentLiabilities,annualRetainedEarnings,annualDilutedAverageShares,annualInventory,annualGoodwill,annualSaleOfInvestment,annualOtherShortTermInvestments,quarterlyInventory,annualCommonStockIssuance,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,trailingOperatingIncome,annualAccountsPayable,quarterlyCashAndCashEquivalents,annualOperatingIncome,trailingGrossProfit,annualCapitalStock,quarterlyCashDividendsPaid,trailingResearchAndDevelopment,annualTotalRevenue,annualOtherIntangibleAssets,annualNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingRepaymentOfDebt,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualDilutedEPS,trailingTotalRevenue,annualEndCashPosition,annualBasicEPS,quarterlyDilutedAverageShares,annualNetOtherInvestingChanges,quarterlyFreeCashFlow,trailingChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualGrossPPE,annualCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,trailingEndCashPosition,annualOtherNonCurrentLiabilities,annualPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
1191110400,,0.0,,,5531469117.1,,,,,,391336.37,7731805957.01,,-25336065.38,,,,,,,,,,,801594401.61,4980454326.69,1579219856.69,,1962260905.6,751752711.94,0.058594,-360101756.63,,8034229516.0,,,,,,,729305670.39,,,,102948931.78,2845969755.31,,,745164446.49,15140822577.52,5531469117.1,13334359242.11,494340879.03,0.0,-320913960.65,,,,,827467144.75,6378058191.26,,-335565842.25,,,,,,,1364505361.04,,316835446.85,,,470755635.68,642215514.71,93036195.38,186181243.5,,,,,,,,,0.058594,,,,,,0.0,,4798838334.57,3421121153.13,,7051457.39,,,,,,,,,3779393106.15,,,,,,1962260905.6,,,,-55376467.83,,,,,1962260905.6,,,520653552.0,1776079662.1,,,,,8034229516.0,,428455537.04,,0.0,56429955.12,0.0,,,1085352369.96,470755635.68,13828700121.14,,,,360695820.14,0.0,21709168925.47,6568346347.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,0.0,,14477414548.32,6060905385.85,532498.04,,3208774104.87,3080448694.15,-1415392413.72,124297.29,7390594599.38,,-3650453.91,,,,,,1435536227.26,2019408859.91,-3065696225.06,581770543.91,4157360962.07,973458784.5,6381332780.0,1783756101.8,325465390.4,2715812762.38,875327210.44,,-316517171.51,255006992.72,,,124297.29,22352363534.96,,6908604748.85,7945248747.36,847907069.98,7017674228.0,66033666.01,479565140.33,90851062.09,3087710707.39,-1540089452.13,13015071887.7,903888809.37,14477414548.32,6060905385.85,12644342222.16,370729665.54,,-404952753.35,,2798081221.59,257168353.9,,908428891.36,7542550591.36,,-379453591.23,2019408859.91,2134042218.47,887610917.62,1157524538.38,-289368968.8,,1435536227.26,1884247357.22,241230457.12,-1379892784.65,-49479643.51,573439920.89,813037747.28,34457842.41,720904708.2,,,,,22422663295.68,66033666.01,,,,241230457.12,6381332780.0,,,,8000000.0,,5758794489.56,1884247357.22,624707607.43,538016278.33,-1576065037.47,12644342222.16,3087710707.39,7017674228.0,4323010500.34,538016278.33,8640000.0,,4323010500.34,308119886.23,370729665.54,2303003331.34,,7390594599.38,2715812762.38,3699830643.98,,520653552.0,-137077150.75,,29260968283.81,613558522.54,6060905385.85,2715812762.38,,2715812762.38,520653552.0,1962260905.6,0.28776,,2715812762.38,0.28776,,-29300.0,636557826.34,,532498.04,69569975.13,-9784296.66,6060905385.85,2715812762.38,1157524538.38,573439920.89,13015071887.7,,34457842.41,3277646361.92,613558522.54,25345504.17,22422663295.68,7945248747.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206921600,,,,,6177682659.95,,,,,,1774445.18,9032392410.17,,0.0,,,,,,,,,,,1243490859.68,7093314417.47,2230488696.05,,2754650908.97,865898071.27,0.089193,-452800581.72,,7968988154.0,,,,,,,812398544.8,,65391516.03,,246316074.12,3798486343.54,,,1165970904.13,18833659122.89,6177682659.95,16258561675.68,428068179.86,,-1780933711.1,,,,,1364590624.78,9136283711.58,,-409785182.32,,,,,,,1061973428.61,,287177693.34,,,710775636.15,919654830.01,46437060.49,38838146.59,,,,,,,,,0.089193,,,,,,,,6905795015.53,3971606356.33,,538016278.33,,,,,,,,,4848861312.28,,,,,,2754650908.97,,,,-42931131.71,,,,,2754650908.97,,,520653552.0,2715812762.38,,,,,7968988154.0,,-694243080.22,,8715.98,77519955.55,-43461419.4,,,2285428741.92,710775636.15,16686629855.54,,,,604216711.85,5034242.4,26932822344.33,8099163221.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214784000,,,,,6522415899.76,,,,,,1808032.77,10335559158.98,,0.0,,,,,,,,,,,1387354256.6,7742544278.73,2322687431.16,,4034937874.75,974397085.04,,-656198054.94,,,,,,,,,930756879.94,,71505577.42,,132540392.13,4397760765.93,,,1302420257.38,20262228907.93,6522415899.76,16492253512.69,1295808926.92,,-994617719.09,,,,,1348290346.12,11842462526.64,,-462519023.51,,,,,,,999096759.07,,909362327.0,,,950068981.1,1169879865.25,285824902.5,1280286965.78,,,,,,,,,,,,,,,,,9519775095.48,3244636746.47,,538016278.33,,,,,,,,,4800445843.15,,,,,,4044737874.75,,,,-44866757.46,,,,,4044737874.75,,,520653552.0,2754650908.97,,,,,,,1666361763.94,,771568.0,84933999.22,-203988883.6,,,1573169974.96,950068981.1,17788062439.61,,,,599550663.35,4557573.17,28904052608.8,8641823700.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222732800,,5100000.0,,,6797630797.89,,,,,,2578329.55,10845191379.19,,0.0,,,,,,,,,,,644537309.79,8068574944.16,1414572807.13,,3976211882.2,767494543.78,0.044922,-503332804.76,,7946529784.0,,,,,,,757714385.0,,68823561.25,,121720489.04,4754733783.6,,,575988162.59,21244594642.51,6797630797.89,17571376104.2,1086542739.14,,-902950916.37,,,,,647078263.35,7453331321.73,,-458221320.45,,,,,,,1861683562.61,,914977178.93,,,356973017.65,454267673.55,65701668.96,-58725992.55,,,,,,,,,0.044922,,,,,,8585300.0,,6038758514.6,4102464222.25,,538016278.33,,,,,,,,,5775544964.07,,,,,,3986011882.2,,,,-247152214.79,,,,,3986011882.2,,,520653552.0,4034937874.75,,,,,7946529784.0,,17514436.45,,175345.93,68549147.2,-52679131.42,,,843889932.89,356973017.65,18657918843.34,,,,630654832.04,40323540.51,30197291904.6,8952697262.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,3172887.79,,19945177969.92,7136431966.28,3709841.39,,3389530515.9,3255405078.92,-1682831686.26,443713.01,10627951281.69,,-9160140.9,,,,,,1770010438.55,1931346570.86,-4399438278.42,640546419.01,3831241640.67,-242180866.42,7997753842.37,731003602.64,-41196378.88,3356359181.39,781740815.81,,-327502331.4,296865198.5,,,443713.01,26429031848.53,,6698752536.98,9322557109.62,754535269.18,7991778914.0,46975983.72,328989043.06,-171587912.23,4625923673.12,-1788193304.13,17941257217.87,-303570530.76,19945177969.92,7136431966.28,16719924864.63,1221332353.24,,-720935931.86,,2411819750.29,266024213.97,,-50737213.17,4695706825.56,,-352306159.98,1931346570.86,2715812762.38,192065193.82,1246076002.01,-333303651.78,,1770010438.55,2934299119.61,772200000.0,-1939833772.82,-270129434.42,-86471064.06,-131982618.53,365278669.52,-619852700.81,,,,,29267735079.54,46975983.72,,,,772200000.0,7997753842.37,,,,11939.64,,3964703222.92,2934299119.61,793567648.82,538016278.33,654798467.41,16719924864.63,4625923673.12,7991778914.0,5850616531.58,538016278.33,17573361.37,,5850616531.58,10177239.64,1221332353.24,1874896880.08,,10627951281.69,5863946619.27,3309222021.08,,833045683.0,1646452.18,,33127784385.51,577466427.8,7136431966.28,5863946619.27,,5863946619.27,833045683.0,3976211882.2,0.241667,,3356359181.39,0.241667,,-9160140.9,-797567926.35,,3709841.39,61389664.34,30000000.0,7136431966.28,5863946619.27,1246076002.01,-86471064.06,17941257217.87,,365278669.52,2740808793.35,577466427.8,-91111734.96,29267735079.54,9322557109.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238457600,,,,,7199471684.83,,,,,,453835.22,11388721097.94,,0.0,,,,,,,,,,,519863779.28,8435976897.2,1212078966.11,,3746816805.41,580139429.71,0.044792,-376668911.96,,8065628728.0,,,,,,,555340369.43,,46240422.98,,76481295.95,4987196626.51,,,484527426.12,21492374397.88,7199471684.83,17751902077.35,1439760811.95,,-1535350000.0,,,,,631939536.4,6165982561.53,,-373663820.88,,,,,,,992100335.56,,975939237.3,,,361272953.42,408046130.17,370649241.67,390457624.02,,,,,,,,,0.044792,,,,,,,,4953903595.42,4985634984.08,,538059356.22,,,,,,,,,5653104932.97,,,,,,6245191617.08,,,,-77276242.56,,,,,6245191617.08,,,833045683.0,3356359181.39,,,,,8065628728.0,,336716441.29,,6662724.21,35336353.16,-3654800.0,,,1941340971.69,361272953.42,19191662889.3,,,,571359519.94,16713131.92,30906752309.86,9414377911.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246320000,,,,,7639301884.13,,,,,,2313289.57,13522469714.58,,7556878.33,,,,,,,,,,,1275188649.5,9259177813.23,2188039958.72,,3563364316.08,921083965.5,,-253993090.98,,,,,,,,,879353138.11,,56859856.97,,170010305.99,5739658578.08,,,1183595630.27,24339241555.27,7639301884.13,19809327549.98,1781722380.3,,-697580400.0,,,,,1266955993.22,9631283142.04,,-255679777.01,,,,,,,958415153.61,,1272200000.0,,,860757890.33,1013585324.28,415676403.33,-183452489.33,,,,,,,,,,,,,,,,,7443243183.32,4778262992.67,,538016278.33,,,,,,,,,4998606037.95,,,,,,8193763438.5,,,,-38348561.74,,,,,8193763438.5,,,833045683.0,3746816805.41,,,,,,,-136595546.71,,156474.86,91593019.23,-6260889.02,,,1688008994.71,860757890.33,21591049930.28,,,,575410714.63,3345855.04,34275060019.76,9935818464.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254268800,,0.0,,,7710558955.07,,,,,,6843232.45,13965669116.72,,-301998.87,,,,,,,,,,,1623311708.85,10443807568.97,2635083662.46,,3498489130.18,857267964.54,0.144792,-403131026.54,,8012337011.0,,,,,,,813089501.48,,61577690.99,,235026208.43,6899778207.75,,,1578236451.19,26945422512.97,7710558955.07,19566812286.04,3356226995.91,0.0,-1391435800.0,,,,,1777815697.92,9638236897.24,,-403154751.03,,,,,,,25930641.71,,2776780000.0,,,1160119629.68,1343210242.76,457828974.92,-64875185.9,,,,,,,,,0.144792,,,,,,,,7003153234.78,5547562444.55,,538016278.33,,,,,,,,,5160253847.54,,,,,,7639325730.48,,,,-234952364.07,,,,,7639325730.48,,,833045683.0,3563364316.08,,,,,8012337011.0,,-69655039.58,,12979.3,45075257.66,0.0,,,1417307029.03,1160119629.68,22923039281.95,,,,569723971.06,-68033071.16,36984812123.94,10039389610.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,,1935634.0,,25123167601.65,8225710252.36,3675715.86,,3593461647.93,3436797786.42,-1347029705.38,1990097.42,11857049359.16,,3.55,,,,,,516091464.85,3407418952.32,-4691453000.0,512699059.59,5796578947.06,1543423437.6,11754617799.84,2622504278.8,38908691.25,3869058240.98,1234970288.19,,-306430089.31,247836554.21,,,1990097.42,26867475616.3,,8657706866.1,11094983551.14,1189014777.39,7997853776.0,73816354.08,732380120.9,250862310.53,7641604533.76,-15064139.57,20556836459.02,1433530819.08,25123167601.65,8225710252.36,17672436423.94,2884400035.08,-4993376.9,-1067086800.0,,3947510205.77,264826415.09,-4993386.16,1387533990.61,10089679881.59,,-314531356.46,3407418952.32,3356359181.39,1092264562.38,1041583872.39,-342007642.41,,516091464.85,3320801077.73,2223869323.78,-1340223118.79,-9915689.02,1025268478.87,1182668508.55,504746657.22,370569110.8,,,,,36218151152.79,73816354.08,,,,2223869323.78,11754617799.84,,,,67661029.49,,7467175602.79,3320801077.73,868852066.18,538016278.33,-230098338.25,17672436423.94,7641604533.76,7997853776.0,5806642424.91,538016278.33,3535634.0,,5806642424.91,77663883.27,2884400035.08,2439294267.76,,11857049359.16,6578271206.1,5064245218.17,,833045683.0,8569525.96,,35525182482.4,911633159.24,8225710252.36,6578271206.1,,6578271206.1,833045683.0,3498489130.18,0.426042,,3869058240.98,0.426042,,-311485.04,961798707.38,,3675715.86,109892618.52,0.0,8225710252.36,6578271206.1,1041583872.39,1025268478.87,20556836459.02,,504746657.22,4679890326.67,911633159.24,86882775.45,36218151152.79,11094983551.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269993600,,,,,8519463317.96,,,,,,4907610.72,14962829222.84,,0.0,,,,,,,,,,,2305902329.14,13386812991.79,3809576103.29,,4504337744.93,1324371391.08,0.202083,-392595824.26,,8012871629.0,,,,,,,1231527039.76,,75726165.71,,336231187.99,9260872342.02,,,2264881767.83,32456455644.5,8519463317.96,23404416302.87,3161092464.15,,-386667536.12,,,,,2485204712.21,15173412696.73,,-295073843.53,,,,,,,609625370.74,,2298826316.62,,,1619267808.26,1928650579.84,704514561.82,635279503.95,,,,,,,,,0.202083,,,,,,85301887.04,,11363836593.44,6437184420.95,,538016278.33,,,,,,,,,5977154744.16,,,,,,7170632056.79,,,,-54586566.9,,,,,7170632056.79,,,833045683.0,3869058240.98,,,,,8012871629.0,,153217979.73,,1313117.28,41020561.31,-101400000.0,,,1554239793.76,1619267808.26,26565508767.02,,,,905854376.76,45640602.99,44018292486.95,11561836842.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,,,,8683707505.2,,,,,,4175815.08,16820928123.72,,3601061.44,,,,,,,,,,,2343915882.88,14725603597.72,3968732181.69,,4879117712.78,1611649884.76,,-503680724.33,,,,,,,,,1526319760.94,,67800653.69,,338486492.7,10476331410.25,,,2274679746.27,36112305499.57,8683707505.2,25753302537.2,3170051611.77,,-1416120966.09,,,,,2357082296.93,18050993753.23,,-393299286.83,,,,,,,107966892.73,,2254703309.46,,,1615320996.07,1936193253.57,765464508.62,374779967.85,,,,,,,,,,,,,,,2884700.0,,14082261571.54,4888303861.6,,538016278.33,,,,,,,,,5768571529.86,,,,,,7717021344.72,,,,-9728797.66,,,,,7717021344.72,,,833045683.0,4504337744.93,,,,,,,1647479817.66,,0.0,69236136.61,-135760650.0,,,950668270.5,1615320996.07,28923354148.97,,,,895535493.24,35943308.78,48063364994.77,11951059495.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285804800,,128639000.0,,,9144299105.39,,,,,,4956308.78,14598244101.25,,19040.0,,,,,,,,,,,2137190817.78,16353148521.94,3321960622.33,,5426204900.3,1020183312.36,0.195833,-253953785.99,,7998372767.0,,,,,,,965906307.94,,77340087.71,,300993691.88,12042679410.4,,,2119336684.81,34427537360.97,9144299105.39,22809885702.55,3191856840.22,,-552076541.0,,,,,2301777309.97,13690959343.73,,-380726574.65,,,,,,,96337319.52,,2255595793.88,,,1566348000.17,1818342992.93,776780098.63,547087187.52,,,,,,,,,0.195833,,,,,,0.0,3379000.0,10368998721.4,6557935735.45,,538016278.33,,,,,,,,,6343808585.97,,,,,,7492330701.15,,,,-469760139.46,,,,,7495709701.15,,,833045683.0,4879117712.78,,,,,7998372767.0,,1202868603.01,,11440604.63,17854132.97,-11439000.0,,,618605565.47,1566348000.17,26001742542.77,,,,894608856.15,56983915.75,47021293305.52,12593755944.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,,-36563724.11,,37688806208.62,10264388618.44,19584000.0,,5804539240.62,5509489694.15,-1812628668.8,4505306.72,17247314015.29,,103879960.0,,,,,,94667468.71,6782145439.63,-2519427770.21,5233595294.77,10796247735.41,2850107463.88,18514918995.08,4475241632.41,150891900.86,9102653535.75,1848334652.43,,-857156277.36,198047468.13,,,4505306.72,47704053850.19,,15575510539.72,14471044433.51,1785736585.52,7998599044.0,89944991.07,1397553299.1,421841926.52,13445984645.13,-3205703567.44,28789722046.6,2737759432.11,37688806208.62,10264388618.44,25359023130.92,3430698915.68,,-164562727.0,,7999104331.9,278378290.24,,2626906979.98,16364198596.22,,-743528963.79,6782145439.63,3869058240.98,6890035391.94,545176001.5,-553213814.27,,94667468.71,4577505700.52,2239966534.49,-2007386611.94,-435304650.0,1981208635.15,2315917505.59,1008819690.12,3676448635.45,,,,,52159850642.13,89944991.07,,,,2239966534.49,18514918995.08,,,,1833700.0,3672000.0,11888956963.81,4577505700.52,1201542636.28,538016278.33,1252017205.83,25359023130.92,13445984645.13,7998599044.0,8793347227.21,538016278.33,95675275.89,3672000.0,8793347227.21,90020287.04,3430698915.68,8702664060.74,,17247314015.29,11158565486.77,9770971299.1,,1666091366.0,-19138310.25,,63279564389.91,918559035.39,10264388618.44,11162237486.77,,11162237486.77,1666091366.0,5426204900.3,0.847917,,9102653535.75,0.847917,,103900061.44,3886468991.54,,19584000.0,112348031.77,-186705000.0,10264388618.44,11158565486.77,545176001.5,1981208635.15,28789722046.6,,1008819690.12,9396657631.0,918559035.39,12324073.34,52159850642.13,14471044433.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301529600,,14021000.0,,,11091868192.24,,,,,,566259.71,21378780606.84,,-175938.74,,,,,,,,,,,2621151872.14,20320931019.79,4249287780.58,,7877649034.24,1496269958.67,0.23125,-695611213.36,,7997640567.0,,,,,,,1389987227.04,,86944425.09,,392982037.68,15295439026.24,,,2616332771.92,44767367770.86,11091868192.24,30875320147.95,3550248293.08,,-263235591.83,,,,,2753017821.91,18454800917.06,,-708407910.09,,,,,,,32106357.22,,2272880001.49,,,1849454381.11,2223350734.24,1098420121.05,-1294704501.51,,,,,,,,,0.23125,,,,,,29537200.0,,14205513136.48,8462127500.75,,538016278.33,,,,,,,,,10729364509.91,,,,,,10375407193.62,,,,-21076432.63,,,,,10375407193.62,,,1666091366.0,9172353535.75,,,,,7997640567.0,,-1343417701.52,,26624000.0,4819100.22,-8829998.0,,,607244617.43,1849454381.11,34425568441.03,,,,887389557.1,38493801.8,60005147104.51,15237779333.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,,5604392.73,,,13461175324.02,,,,,,470355139.3,18116755807.4,,62258485.64,,,,,,,,,,,2304430979.46,21077253998.42,3645267113.56,,7892725276.72,1635323124.39,,-799099958.69,,,,,,,,,1576385214.0,,68118914.38,,363588732.99,16231271925.46,,,2225454480.89,41468830672.54,13461175324.02,30187887352.54,2154463017.79,,-200014000.0,,,,,2009943989.17,18172612878.4,,-443208085.94,,,,,,,1539619558.31,,1941813468.49,,,1652252186.6,1861865747.9,74660844.02,15076242.48,,,,,,,,,,,,,,,63502800.0,,14527345764.84,5985095511.29,,538016278.33,,,,,,,,,8711821008.39,,,,,,9940373874.42,,,,-41379845.91,,,,,9940373874.42,,,1666091366.0,7877649034.24,,,,,,,-155782402.82,,0.0,78976498.57,-432027100.0,,,1192420171.0,1652252186.6,32342350370.33,,,,1100533347.88,78740249.37,59014952234.79,17546121562.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317340800,,0.0,,,14081548128.23,,,,,,328490614.5,15180761565.02,,29894833.33,,,,,,,,,,,1276801563.79,22005869958.83,2354670988.31,,9949238820.37,1189627454.09,0.135417,-1449830393.06,,7972779516.0,,,,,,,1171932928.54,,60588348.39,,129585107.62,17310919151.52,,,1269059653.89,38741118097.93,14081548128.23,25853043620.48,3455935214.69,,-589127566.5,,,,,1165043534.22,10552960378.79,,-1735483454.65,,,,,,,1558699060.08,,3249446324.72,,,1079647226.06,1139474546.27,64414705.23,2056513543.65,,,,,,,,,0.135417,,,,,,55394110.0,,8198289390.48,6692303804.16,,538016278.33,,,,,,,,,8584638233.54,,,,,,12395337677.11,,,,-767694968.23,,,,,12395337677.11,,,1666091366.0,7892725276.72,,,,,7972779516.0,,1045948315.52,,0.0,7741909.9,246539433.87,,,1296625644.88,1079647226.06,29308978835.17,,,,1093205643.26,27060553.43,56997481775.6,18256363677.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,,29600000.0,,42708748577.26,14769812855.22,0.0,,6151140547.75,5929131286.92,-3421104737.38,737579223.78,19044734969.48,,-94754354.98,,,,,,1698201870.63,5596927166.88,-1375771127.3,4214706659.79,9022614614.78,1522205972.37,22903443260.09,2963432617.0,644814693.0,13317360195.54,1829920010.6,,-695777274.54,225759403.63,,,737579223.78,46806606604.13,,13212658499.45,18835798842.98,1790825917.34,7995610238.0,50837782.39,1098510615.05,212354736.76,17813666654.13,-1634822331.37,32641784608.14,1307659367.28,42708748577.26,14769812855.22,29413337259.43,3228447348.71,,-323393968.97,,6319995658.93,311300368.31,-140658508.1,1133512606.4,12838890929.33,,-534005286.7,5596927166.88,9102653535.75,2531576044.37,1541238008.87,-867073122.24,,1698201870.63,4737509830.84,3039725615.22,-3640318839.65,-167163298.41,1015573373.11,1095304630.52,78506251.1,3437821375.17,,,,,61544547420.24,50837782.39,,,,3039725615.22,22903443260.09,,,,490000000.0,,9875458312.33,4737509830.84,1378348937.17,538016278.33,-811098864.1,29413337259.43,17813666654.13,,10357553534.02,538016278.33,49225392.73,,10357553534.02,638434110.0,3228447348.71,5952680781.75,,19044734969.48,16612740784.48,7061517951.7,,1666091366.0,-36921875.47,,60019265103.58,1158484687.27,14769812855.22,16612740784.48,,16612740784.48,1666091366.0,9949238820.37,0.7,,13317360195.54,0.7,,-2776974.75,2984827833.19,,0.0,214546605.09,27154365.72,14769812855.22,16612740784.48,1541238008.87,1015573373.11,32641784608.14,,78506251.1,7418506273.98,1158484687.27,500520088.4,61544547420.24,18835798842.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333152000,,14225120.0,,,15053388903.1,,,,,,397137937.23,19264377260.11,,14225120.0,,,,,,,,,,,1387572373.92,23886401660.02,2654939301.47,,9440474446.65,1259241975.5,0.129167,-910514864.93,,7936078604.0,,,,,,,1198421827.63,,56283866.37,,230399822.16,18838743473.82,,,1384529520.95,43391582330.76,15053388903.1,29456081213.25,3207155032.01,,-430835401.79,,,,,1395697325.97,13535816783.95,,-644705115.67,,,,,,,1791643444.05,,3037140263.73,,,1025076819.69,1154129698.79,85230901.91,-3876885748.89,,,,,,,,,0.129167,,,,,,27722945.0,,10880877482.48,7205560912.8,,538016278.33,,,,,,,,,9844941191.28,,,,,,12859853682.48,,,,-41521643.15,,,,,12859853682.48,,,1666091366.0,13317360195.54,,,,,7936078604.0,,-3496483316.99,,99868.28,3042852.97,-300323000.0,,,1403669827.39,1025076819.69,32663236245.26,,,,1145165431.66,45575576.42,62573965918.46,19182383587.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
