,quarterlyInventory,annualChangeInInventory,annualDilutedAverageShares,annualStockBasedCompensation,quarterlyOtherIncomeExpense,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCurrentDebt,annualCurrentLiabilities,trailingCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,annualInventory,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,trailingOperatingCashFlow,annualPurchaseOfBusiness,quarterlyOperatingExpense,annualCapitalStock,trailingOtherNonCashItems,trailingOtherIncomeExpense,quarterlyNetOtherFinancingCharges,annualOtherIntangibleAssets,quarterlyPretaxIncome,annualGrossProfit,quarterlyPurchaseOfBusiness,annualNetPPE,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,quarterlyDilutedEPS,quarterlyOperatingCashFlow,annualOperatingCashFlow,quarterlyOtherNonCurrentAssets,annualEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,trailingCashDividendsPaid,annualDilutedEPS,quarterlyTaxProvision,quarterlyNetPPE,annualChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,annualGoodwill,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualBasicAverageShares,trailingInterestExpense,trailingPretaxIncome,annualGrossPPE,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualRepaymentOfDebt,annualInterestExpense,annualPretaxIncome,quarterlyFreeCashFlow,annualPurchaseOfInvestment,trailingChangeInWorkingCapital,quarterlyTotalAssets,annualOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,annualOtherIncomeExpense,trailingGrossProfit,trailingInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,annualAccountsPayable,annualCapitalExpenditure,annualInvestingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingPurchaseOfInvestment,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyCapitalStock,quarterlyAccountsPayable,trailingRepaymentOfDebt,annualEndCashPosition,annualOperatingIncome,annualNonCurrentDeferredRevenue,trailingTotalRevenue,quarterlyEndCashPosition,trailingEndCashPosition,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,quarterlyTotalRevenue,annualTaxProvision,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyEbitda,trailingNetOtherFinancingCharges,trailingTaxProvision,quarterlyPurchaseOfInvestment,annualTotalRevenue,trailingChangeInAccountPayable,annualNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,annualCurrentDebt,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,annualCostOfRevenue,trailingOperatingIncome,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyCurrentAssets,annualOperatingExpense,annualOtherNonCurrentAssets,annualCommonStockIssuance,quarterlyGrossPPE,trailingFreeCashFlow,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualChangeInAccountPayable,annualTotalLiabilitiesNetMinorityInterest,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,trailingCostOfRevenue,annualCurrentAssets,annualChangeInWorkingCapital,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,quarterlyOtherNonCashItems,annualRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,trailingOperatingExpense,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,annualChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,annualRetainedEarnings,trailingNetIncome,annualTotalAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingNetIncomeCommonStockholders,quarterlyGoodwill,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualBeginningCashPosition,annualAccountsReceivable,quarterlyLongTermDebt,annualNetIncome,annualCashDividendsPaid,quarterlyChangeInInventory,annualSellingGeneralAndAdministration,annualFreeCashFlow,trailingSaleOfInvestment,annualTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,annualStockholdersEquity,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,annualBasicEPS,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,trailingStockBasedCompensation,trailingDeferredIncomeTax,annualInvestmentsAndAdvances,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,trailingChangeInInventory,trailingChangesInAccountReceivables,quarterlyInvestmentsAndAdvances,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,annualOtherShortTermInvestments,annualIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
488937600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21832000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26800000.0,,,,26800000.0,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,26800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800000.0,,,,,21832000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496886400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21944000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33000000.0,,,,33000000.0,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,33000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600000.0,,,,,21944000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504835200,,,22522523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104600000.0,,,,,0.555,,,,,,,,22522523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104600000.0,,,,,,,24600000.0,,,,24600000.0,,,,104600000.0,,12500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24600000.0,,,,,,,,,,,,,,,,,,,,12500000.0,,,,,12500000.0,,,,,,,3400000.0,,,,,,,,,,,,0.555,,,,,,,,,,,,,,,,,,,,,,,
512611200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22024000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21400000.0,,,,21400000.0,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,21400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,,,22024000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520473600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22056000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28000000.0,,,,28000000.0,,,,,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,28000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,,,,22056000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528422400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22096000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34300000.0,,,,34300000.0,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,34300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200000.0,,,,,22096000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536371200,,,21983471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109500000.0,,,,,0.605,,,,,,,,21983471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109500000.0,,,,,,,25800000.0,,,,25800000.0,,,,109500000.0,,13700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25800000.0,,,,,,,,,,,,,,,,,,,,13300000.0,,,,,13700000.0,,,,,,,3700000.0,,,,,,,,,,,,0.605,,,,,,,,,,,,,,,,,,,,,,,
544147200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22144000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21600000.0,,,,21600000.0,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,21600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700000.0,,,,,22144000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552009600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22144000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,31500000.0,,,,31500000.0,,,,,,,,,,0.205,,,,,,,,,,,,,,,,,,,,,,,,,31500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600000.0,,,,,22144000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559958400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22208000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,35000000.0,,,,35000000.0,,,,,,,,,,0.265,,,,,,,,,,,,,,,,,,,,,,,,,35000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900000.0,,,,,22208000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567907200,,,22121212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112800000.0,,,,,0.66,,,,,,,,22121212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112800000.0,,,,,,,24700000.0,,,,24700000.0,,,,112800000.0,,15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24700000.0,,,,,,,,,,,,,,,,,,,,14600000.0,,,,,15000000.0,,,,,,,2800000.0,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,
575769600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22264000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24100000.0,,,,24100000.0,,,,,,,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,24100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0,,,,,22264000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583632000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22624000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000.0,,,,30000000.0,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900000.0,,,,,22624000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591580800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22656000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33900000.0,,,,33900000.0,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,33900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200000.0,,,,,22656000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599529600,,,22786885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113800000.0,,,,,0.61,,,,,,,,22786885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113800000.0,,,,,,,25800000.0,,,,25800000.0,,,,113800000.0,,14100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25800000.0,,,,,,,,,,,,,,,,,,,,13900000.0,,,,,14100000.0,,,,,,,2600000.0,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,
607305600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23000000.0,,,,23000000.0,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,23000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600000.0,,,,,22720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615168000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22285714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30900000.0,,,,30900000.0,,,,,,,,,,0.175,3900000.0,,,,,,,,,,,,,,,,,,,,,,,,30900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900000.0,3900000.0,,,,22285714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623116800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22553191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,36000000.0,,,,36000000.0,,,,,,,,,,0.235,5300000.0,,,,,,,,,,,,,,,,,,,,,,,,36000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300000.0,5300000.0,,,,22553191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631065600,,,22833333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117500000.0,,,,,0.6,,,,,,,,22833333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117500000.0,,,,,,,27600000.0,,,,27600000.0,,,,117500000.0,,13800000.0,,,,,2900000.0,,,,,,,,,,,,,,,,,,,,,,,,27600000.0,,,,,,,,,,,,,,,,,,,,13700000.0,,,,,13800000.0,,,,,,,2900000.0,2900000.0,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,
638841600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22857143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24400000.0,,,,24400000.0,,,,,,,,,,0.07,1600000.0,,,,,,,,,,,,,,,,,,,,,,,,24400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600000.0,1600000.0,,,,22857143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646704000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23030303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,31700000.0,,,,31700000.0,,,,,,,,,,0.165,3800000.0,,,,,,,,,,,,,,,,,,,,,,,,31700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800000.0,3800000.0,,,,23030303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654652800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,37800000.0,,,,37800000.0,,,,,,,,,,0.25,5700000.0,,,,,,,,,,,,,,,,,,,,,,,,37800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700000.0,5700000.0,,,,22800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662601600,,,22720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124400000.0,,,,,0.625,,,,,,,,22720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124400000.0,,,,,,,30400000.0,,,,30400000.0,,,,124400000.0,,14400000.0,,,,,3300000.0,,,,,,,,,,,,,,,,,,,,,,,,30400000.0,,,,,,,,,,,,,,,,,,,,14200000.0,,,,,14400000.0,,,,,,,3400000.0,3400000.0,,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,,,,
