,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingInvestingCashFlow,trailingSaleOfInvestment,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,annualStockholdersEquity,trailingPurchaseOfBusiness,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualLongTermDebt,trailingPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,trailingChangeInInventory,quarterlyGoodwill,annualRetainedEarnings,annualCurrentLiabilities,annualStockBasedCompensation,annualGoodwill,annualInventory,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,quarterlyAccountsReceivable,annualDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,quarterlyOtherIncomeExpense,annualCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualAccountsReceivable,trailingOperatingCashFlow,annualOperatingIncome,trailingGrossProfit,quarterlyOperatingExpense,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,annualOperatingCashFlow,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualOtherShortTermInvestments,quarterlyDilutedEPS,annualCommonStockIssuance,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,trailingRepaymentOfDebt,quarterlyCapitalStock,annualEndCashPosition,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,trailingTotalRevenue,trailingNetOtherInvestingChanges,quarterlyCashAndCashEquivalents,annualEbitda,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyCurrentDebt,quarterlyTotalNonCurrentAssets,annualGrossPPE,annualCashAndCashEquivalents,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,trailingPretaxIncome,quarterlyChangesInAccountReceivables,trailingEndCashPosition,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyTotalAssets,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,quarterlySaleOfInvestment,trailingOperatingExpense,trailingSellingGeneralAndAdministration,annualDeferredIncomeTax,annualOtherNonCurrentAssets,trailingDeferredIncomeTax,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,annualDilutedEPS,trailingCapitalExpenditure,trailingNetIncomeContinuousOperations,annualCurrentAssets,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,quarterlyEbitda,annualOtherCurrentLiabilities,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,annualBasicAverageShares,quarterlyStockholdersEquity,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualTaxProvision,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,trailingInterestExpense,quarterlyChangeInInventory,annualRepaymentOfDebt,quarterlyChangeInAccountPayable,annualInterestExpense,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,trailingChangeInAccountPayable,annualTotalRevenue,quarterlyCurrentLiabilities,annualGrossProfit,quarterlyPretaxIncome,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualOtherCurrentAssets,quarterlyTaxProvision,quarterlyNetPPE,annualChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,annualDilutedAverageShares,quarterlyCapitalExpenditure,trailingTaxProvision,trailingNetIncome,trailingDepreciationAndAmortization,quarterlyOperatingIncome,annualChangeInInventory,quarterlyTotalRevenue,annualNetIncome,annualCashDividendsPaid,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyBasicAverageShares,trailingOtherNonCashItems,annualBeginningCashPosition,annualCostOfRevenue,quarterlyBasicEPS,annualCurrentAccruedExpenses,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingResearchAndDevelopment,trailingDilutedEPS,trailingChangesInAccountReceivables,annualResearchAndDevelopment,trailingDilutedAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingBasicEPS
478396800,,,,3600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063725,,,,,,,55118760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48800000.0,,48800000.0,,,,,,,,,55118760.0,,,,0.063725,,,,,,,,,,,,,,,,
486345600,,,,2600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044118,,,,,,,55118760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49800000.0,,49800000.0,,,,,,,,,55118760.0,,,,0.044118,,,,,,,,,,,,,,,,
494294400,,,,2700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04902,,,,,,,55381920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66200000.0,,66200000.0,,,,,,,,,55381920.0,,,,0.04902,,,,,,,,,,,,,,,,
502156800,,0.0,,2900000.0,,,,,,142100000.0,,135400000.0,,,,56500000.0,,,,,,105200000.0,0.0,,,,334000000.0,,,,,,,,,,,,56500000.0,,,21600000.0,,,,,,,0.0,,191900000.0,,,,,,,,,,,,0.0,,,0.210784,,,,21600000.0,,100000.0,,,,,334000000.0,,,,,,,,,191900000.0,,21700000.0,,,334000000.0,,135400000.0,,,,,,,,,,,,,,,,,,,,0.210784,,,0.0,11700000.0,,-143300000.0,,,,,55506977.0,142100000.0,,,10000000.0,,,,,,,,,,,232000000.0,0.0,232000000.0,,334000000.0,,0.0,,0.0,,,191900000.0,,,191900000.0,,,,,,105200000.0,,55506977.0,,,,,-143300000.0,,67100000.0,11700000.0,,,,,,11700000.0,210400000.0,,,0.0,,,,,,,,,,,,,,,,,,
509932800,,,,1800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034314,,,,,,,54068160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000000.0,,44000000.0,,,,,,,,,54068160.0,,,,0.034314,,,,,,,,,,,,,,,,
517881600,,,,3400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063725,,,,,,,53725440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47400000.0,,47400000.0,,,,,,,,,53725440.0,,,,0.063725,,,,,,,,,,,,,,,,
525830400,,,,2700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053922,,,,,,,53315400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55800000.0,,55800000.0,,,,,,,,,53315400.0,,,,0.053922,,,,,,,,,,,,,,,,
533692800,,0.0,,4600000.0,,,,,,150700000.0,,166300000.0,,,,15000000.0,,,,,,115900000.0,0.0,,,,332000000.0,,,,,,,,,,,,15000000.0,,,23100000.0,,,,,,,0.0,,181300000.0,,,,,,,,,,,,0.0,,,0.235294,,,,23100000.0,,100000.0,,,,,332000000.0,,,,,,,,,181300000.0,,23200000.0,,,332000000.0,,166300000.0,,,,,,,,,,,,,,,,,,,,0.235294,,,0.0,12500000.0,,-124200000.0,,,,,53125000.0,150700000.0,,,10700000.0,,,,,,,,,,,222600000.0,0.0,222600000.0,,332000000.0,,0.0,,0.0,,,181300000.0,,,181300000.0,,,,,,115900000.0,,53125000.0,,,,,-124200000.0,,75300000.0,12500000.0,,,,,,12500000.0,199500000.0,,,0.0,,,,,,,,,,,,,,,,,,
541468800,,,,4400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083333,,,,,,,53119560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64100000.0,,64100000.0,,,,,,,,,53119560.0,,,,0.083333,,,,,,,,,,,,,,,,
549417600,,,,5600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102941,,,,,,,60765480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83500000.0,,83500000.0,,,,,,,,,60765480.0,,,,0.102941,,,,,,,,,,,,,,,,
557366400,,,,6400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112745,,,,,,,60765480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89100000.0,,89100000.0,,,,,,,,,60765480.0,,,,0.112745,,,,,,,,,,,,,,,,
565228800,,0.0,,6600000.0,,,,,,205300000.0,,158500000.0,,,,174100000.0,,,,,,136900000.0,0.0,,,,537900000.0,,,,,,,,,,,,174100000.0,,,37100000.0,,,,,,,0.0,,332600000.0,,,,,,,,,,,,0.0,,,0.406863,,,,37100000.0,,0.0,,,,,537900000.0,,,,,,,,,332600000.0,,37100000.0,,,537900000.0,,158500000.0,,,,,,,,,,,,,,,,,,,,0.406863,,,0.0,23000000.0,,-199600000.0,,,,,56530120.0,205300000.0,,,14100000.0,,,,,,,,,,,331400000.0,0.0,331400000.0,,537900000.0,,0.0,,0.0,,,332600000.0,,,332600000.0,,,,,,136900000.0,,56530120.0,,,,,-199600000.0,,94700000.0,23000000.0,,,,,,23000000.0,294300000.0,,,0.0,,,,,,,,,,,,,,,,,,
573091200,,,,6100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102941,,,,,,,60765480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76500000.0,,76500000.0,,,,,,,,,60765480.0,,,,0.102941,,,,,,,,,,,,,,,,
581040000,,,,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098039,,,,,,,60747120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000000.0,,90000000.0,,,,,,,,,60747120.0,,,,0.098039,,,,,,,,,,,,,,,,
588988800,,,,6700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112745,,,,,,,60789960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96400000.0,,96400000.0,,,,,,,,,60789960.0,,,,0.112745,,,,,,,,,,,,,,,,
596851200,,0.0,,1600000.0,,,,,,231900000.0,,145100000.0,,,,132800000.0,,,,,,162200000.0,0.0,,,,509800000.0,,,,,,,,,,,,132800000.0,,,40600000.0,,,,,,,0.0,,277900000.0,,,,,,,,,,,,0.0,,,0.455882,,,,40600000.0,,0.0,,,,,509800000.0,,,,,,,,,277900000.0,,40600000.0,,,509800000.0,,145100000.0,,,,,,,,,,,,,,,,,,,,0.455882,,,0.0,27600000.0,,-222300000.0,,,,,60541935.0,231900000.0,,,13000000.0,,,,,,,,,,,380500000.0,0.0,380500000.0,,509800000.0,,0.0,,0.0,,,277900000.0,,,277900000.0,,,,,,162200000.0,,60541935.0,,,,,-222300000.0,,117600000.0,27600000.0,,,,,,27600000.0,339900000.0,,,0.0,,,,,,,,,,,,,,,,,,
604627200,,,,5800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093137,,,,,,,60808320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73000000.0,,73000000.0,,,,,,,,,60808320.0,,,,0.093137,,,,,,,,,,,,,,,,
612576000,,,,6400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102941,,,,,,,60820560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94000000.0,,94000000.0,,,,,,,,,60820560.0,,,,0.102941,,,,,,,,,,,,,,,,
620524800,,,7000000.0,7000000.0,,,,,,,,3500000.0,,,,,,11700000.0,82500000.0,,,,,,,,,,,,,,,700000.0,,80900000.0,315900000.0,,155100000.0,,,,,6800000.0,,,,,,,,,,,,,0.112745,,,,,,,62086957.0,1600000.0,,,,1600000.0,,,,,,,,149000000.0,,,,,,,,69500000.0,302500000.0,,,7000000.0,,553200000.0,,,,,,,,,,,,,,51300000.0,,36500000.0,,,,,,,,,,,,11100000.0,,,,,,250700000.0,,,,,,,,,,,,16400000.0,,,63000000.0,,10200000.0,,,,,404200000.0,5300000.0,,,,,239500000.0,,,3200000.0,79500000.0,,179800000.0,,,,,,,9600000.0,,98900000.0,,,,,,,,,62086957.0,,,,0.112745,,,,,,,,,,,,,,,,
