,trailingNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInCashSupplementalAsReported,quarterlyOperatingExpense,trailingGrossProfit,annualRepaymentOfDebt,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingOtherIncomeExpense,annualBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,annualSellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualGrossPPE,annualTotalNonCurrentAssets,trailingRepaymentOfDebt,annualDilutedAverageShares,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,trailingNetOtherFinancingCharges,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,annualNetOtherFinancingCharges,quarterlyOperatingIncome,annualStockBasedCompensation,annualBasicAverageShares,annualCapitalExpenditure,trailingOtherNonCashItems,quarterlyAccumulatedDepreciation,annualCurrentDeferredRevenue,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualCapitalStock,annualTotalRevenue,quarterlyOtherNonCashItems,trailingCostOfRevenue,annualChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,trailingBeginningCashPosition,trailingFreeCashFlow,annualInterestExpense,trailingCashDividendsPaid,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualAccumulatedDepreciation,trailingNetIncome,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,annualGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,trailingOperatingExpense,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,annualTotalLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingPretaxIncome,annualNetIncome,annualRetainedEarnings,trailingChangeInWorkingCapital,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,annualOtherCurrentAssets,quarterlyBasicEPS,annualCostOfRevenue,trailingOperatingIncome,annualLongTermDebt,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,quarterlyNetIncomeContinuousOperations,annualPretaxIncome,annualInvestingCashFlow,annualEndCashPosition,annualCurrentDebt,trailingCommonStockIssuance,annualTaxProvision,annualTotalAssets,trailingTaxProvision,trailingEndCashPosition,quarterlyDepreciationAndAmortization,annualNonCurrentDeferredRevenue,annualOperatingIncome,trailingInvestingCashFlow,annualAccountsPayable,annualOtherNonCashItems,annualDilutedEPS,quarterlyCurrentDebt,annualCashAndCashEquivalents,annualStockholdersEquity,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,annualInvestmentsAndAdvances,annualDepreciationAndAmortization,annualSaleOfInvestment,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,trailingOperatingCashFlow,annualCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualBasicEPS,quarterlyDilutedAverageShares,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualNetPPE,annualCurrentLiabilities,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualEbitda,annualOperatingCashFlow,quarterlyOtherIntangibleAssets,annualChangeInInventory,trailingInterestExpense,annualGoodwill,trailingDilutedAverageShares,trailingBasicEPS,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,trailingChangeInAccountPayable,annualDeferredIncomeTax,trailingDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,trailingStockBasedCompensation,quarterlyAccountsReceivable,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,annualAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,annualInventory,trailingChangesInAccountReceivables,quarterlyInventory,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfInvestment,trailingDilutedEPS,annualOtherIntangibleAssets
836092800,,,282200000.0,,,,1700000.0,,,-9800000.0,,,0.2,,,,,,-48500000.0,,,,,,,,,,,,,,,,,,-97200000.0,,,85600000.0,13227000.0,,,,5000000.0,18400000.0,,28200000.0,,,,,,,,,,,-2500000.0,,,-700000.0,10800000.0,,,,,560100000.0,,,,,-18900000.0,,,,,,560100000.0,32400000.0,,,,,,,,49600000.0,-86400000.0,,,,,,,,,,571600000.0,,,,,,275500000.0,,,,0.2,,,,,,900000.0,,4100000.0,,,,,,,,,,4200000.0,,,,,,,,,,,91200000.0,3600000.0,,,,-97200000.0,,,,3600000.0,800000.0,,3600000.0,,,289400000.0,,,,,,13227000.0,,-5600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844041600,,,413800000.0,,,,-1900000.0,,,-12400000.0,,,0.31,,,,,,-103800000.0,,,,,,,,,,,,,,,,,,-94200000.0,,,82100000.0,18709677.0,,,,2800000.0,23100000.0,,35500000.0,,,,,,,,,,,-1200000.0,,,500000.0,12500000.0,,,,,684500000.0,,,,,-21700000.0,,,,,,684500000.0,40600000.0,,,,,,,,134200000.0,-81700000.0,,,,,,,,,,698200000.0,,,,,,257700000.0,,,,0.31,,,,,,1000000.0,,5800000.0,,,,,,,,,,5100000.0,,,,,,,,,,,88400000.0,3700000.0,,,,-94200000.0,,,,5800000.0,3300000.0,,5800000.0,,,277300000.0,,,,,,18709677.0,,-6300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,,,412277000.0,15362000.0,,,-600000.0,920000.0,-757000.0,93137000.0,,-156201000.0,,,920000.0,920000.0,,1677000.0,-1201000.0,,176019000.0,,3895000.0,,,5450000.0,,,750347000.0,,,18000000.0,,,217000.0,,-91023000.0,20456000.0,,7419000.0,,,,,-5004000.0,24693000.0,-200000.0,-68444000.0,,15060784.0,-289423000.0,,-52554000.0,,62137000.0,,217000.0,82593000.0,3801000.0,,-2600000.0,-57000.0,11223000.0,,,14300000.0,,750347000.0,,,-52554000.0,,-23663000.0,,,,,,697793000.0,-63055000.0,,,,,-204000.0,,,251000.0,-79800000.0,,,72424000.0,,,,292630000.0,184251000.0,-249200000.0,711909000.0,,,19626000.0,-23663000.0,,273688000.0,,,,,,,273688000.0,-26052000.0,,1195000.0,,7356000.0,,-216999000.0,920000.0,,,,711909000.0,,,5389000.0,,20456000.0,,5450000.0,1601000.0,1.02,,920000.0,412277000.0,,-100000.0,3400000.0,,18689000.0,,-18599000.0,,,,2762000.0,-800000.0,,7026000.0,,,292630000.0,,,,3600000.0,1.02,,,-8752000.0,697793000.0,,,,39145000.0,40223000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859766400,,,460700000.0,,,,-3800000.0,,,-13600000.0,,,0.33,,,,,,-45500000.0,,,,,,,,,900000.0,,,,,,,,,-38900000.0,,,31300000.0,20303030.0,,,,-11400000.0,26300000.0,,39900000.0,,,,,,,,,,,5700000.0,,,200000.0,7800000.0,,,,,731100000.0,,,,,-25400000.0,,,,,,731100000.0,45600000.0,,,,,,,,49400000.0,-31100000.0,,,,,,,,,,749200000.0,,,,,,264700000.0,,,,0.33,,,,,,1400000.0,,7800000.0,,,,,,,,,,5700000.0,,,,,,,,,,,-200000.0,3300000.0,,,,-38900000.0,,,,6700000.0,-1900000.0,,7800000.0,,,282400000.0,,,,,,20303030.0,,-8900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867628800,,,576100000.0,,,,800000.0,,,-15900000.0,,,0.33,,,,,,-114600000.0,,,,,,,,,,,,,,,,,,-124900000.0,,,105200000.0,21818182.0,,,,11200000.0,29800000.0,,45700000.0,,,,,,,,,,,-5600000.0,,,700000.0,20500000.0,,,,,862600000.0,,,,,-27400000.0,,,,,,862600000.0,52100000.0,,,,,,,,114500000.0,-104400000.0,,,,,,,,,,880700000.0,,,,,,278000000.0,,,,0.33,,,,,,1500000.0,,8500000.0,,,,,,,,,,6400000.0,,,,,,,,,,,-100000.0,3800000.0,,,,-124900000.0,,,,7200000.0,4800000.0,,8500000.0,,,301400000.0,,,,,,21818182.0,,-9600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875577600,,,672400000.0,,,,-15700000.0,,,-17100000.0,,,0.36,,,,,,-126000000.0,,,,,,,,,,,,,,,,,,-137700000.0,,,132800000.0,22777778.0,,,,-22200000.0,32700000.0,,49800000.0,,,,,,,,,,,11400000.0,,,2000000.0,6800000.0,,,,,1012400000.0,,,,,-29600000.0,,,,,,1012400000.0,56800000.0,,,,,,,,98500000.0,-130900000.0,,,,,,,,,,1047700000.0,,,,,,336600000.0,,,,0.36,,,,,,1700000.0,,10600000.0,,,,,,,,,,7000000.0,,,,,,,,,,,-100000.0,3200000.0,,,,-137700000.0,,,,8200000.0,4600000.0,,10600000.0,,,366000000.0,,,,,,22777778.0,,-11400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,,792695000.0,31461000.0,,,11400000.0,3188000.0,2268000.0,133223000.0,,-381001000.0,,,3188000.0,3188000.0,,920000.0,-94901000.0,,514588000.0,,6308000.0,,,7727000.0,,,1373515000.0,,,22472143.0,,,344000.0,,-848771000.0,38941000.0,,245288000.0,,,,,15777000.0,37234000.0,3469000.0,-95989000.0,,22472143.0,-1150271000.0,,-79031000.0,,86623000.0,,344000.0,126034000.0,-5977000.0,,-7300000.0,-632000.0,29750000.0,,,14100000.0,,1373515000.0,,,-79031000.0,,-31169000.0,,,,,,1294484000.0,-88080000.0,,,,,-6623000.0,,,117515000.0,-819021000.0,,,573101000.0,,,,515822000.0,379915000.0,-1085421000.0,1317650000.0,,,38941000.0,-31169000.0,,487484000.0,,,,,,,487484000.0,-42795000.0,,1708000.0,,12041000.0,,-577170000.0,3188000.0,,,,1317650000.0,,,7909000.0,,39411000.0,,7727000.0,5523000.0,1.4,,3188000.0,792695000.0,,3869000.0,3700000.0,,27009000.0,,-275670000.0,,,,9361000.0,-1800000.0,,12041000.0,,,515822000.0,,,,5700000.0,1.4,,,-12895000.0,1294484000.0,,,,66420000.0,64850000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891302400,,,793900000.0,,,,-7000000.0,,,-24000000.0,,,0.34,,,,,,-149400000.0,,,,,,,,,3200000.0,,,,,,,,,-122600000.0,,,95500000.0,26470588.0,,,,7600000.0,45400000.0,,69400000.0,,,,,,,,,,,-3700000.0,,,-300000.0,26800000.0,,,,,1417700000.0,,,,,-33200000.0,,,,,,1417700000.0,79300000.0,,,,,,,,400000.0,-95800000.0,,,,,,,,,,1447500000.0,,,,,,605200000.0,,,,0.34,,,,,,2000000.0,,13000000.0,,,,,,,,,,9900000.0,,,,,,,,,,,2700000.0,6200000.0,,,,-122600000.0,,,,9000000.0,10800000.0,,13000000.0,,,644500000.0,,,,,,26470588.0,,-14900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,,,2253000000.0,,,,14100000.0,,,-39600000.0,,,0.34,,,,,,-91900000.0,,,,,,,,,,,,,,,,,,-165500000.0,,,116500000.0,26470588.0,,,,28000000.0,71100000.0,,110700000.0,,,,,,,,,,,-14500000.0,,,12200000.0,46300000.0,,,,,3656000000.0,,,,,-59300000.0,,,,,,3656000000.0,125300000.0,,,,,,,,54800000.0,-119200000.0,,,,,,12600000.0,,,,3765200000.0,,,,,,957100000.0,,,,0.35,,,,,,1800000.0,,18200000.0,,,,,,,,,,14600000.0,,,,,,,374000000.0,,,,-4700000.0,11200000.0,,,,-150600000.0,,,,13700000.0,-100000.0,,18200000.0,,,1479900000.0,,,,,,26470588.0,,-16100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907113600,,,2249000000.0,,,28400000.0,-7600000.0,,,-67000000.0,,,0.37,,,,,,-312000000.0,,,,,,,,,,,,,,,,,,-244300000.0,,,162100000.0,64054054.0,,,,-16600000.0,119900000.0,,186900000.0,,,,,,,,,,,8700000.0,,,-5600000.0,47800000.0,,,,,3820300000.0,,,,,-68000000.0,,,,,,3820300000.0,211100000.0,,,,,,,,4100000.0,-196500000.0,,,,,,11900000.0,,,,3958600000.0,,,,,,1533900000.0,,,,0.37,,,,,,2600000.0,,31500000.0,,,,,,,,,,24200000.0,,,,,,,,,,,-4600000.0,18400000.0,,,,-215500000.0,,,,23700000.0,-700000.0,,31500000.0,,,1677300000.0,,,,,,64054054.0,,-40200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
