date,annualOperatingIncome,quarterlyBasicAverageShares,annualAccountsPayable,annualResearchAndDevelopment,trailingOperatingIncome,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherShortTermInvestments,annualCommonStockIssuance,annualFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,annualTotalLiabilitiesNetMinorityInterest,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,trailingTotalRevenue,quarterlyRetainedEarnings,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,annualOtherCurrentAssets,quarterlyTotalRevenue,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,annualCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,trailingTaxProvision,trailingNetIncome,trailingEndCashPosition,quarterlyOperatingIncome,annualCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncome,trailingPretaxIncome,annualPretaxIncome,annualInvestmentsAndAdvances,annualCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualOperatingExpense,annualNetIncomeContinuousOperations,annualCurrentDeferredRevenue,annualGainsLossesNotAffectingRetainedEarnings,trailingSellingGeneralAndAdministration,annualCostOfRevenue,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,annualStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualCurrentAssets,annualOtherNonCashItems,annualLongTermDebt,annualOtherNonCurrentAssets,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyGoodwill,annualCurrentAccruedExpenses,trailingNetIncomeCommonStockholders,annualCurrentLiabilities,annualRetainedEarnings,quarterlyStockholdersEquity,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualTotalAssets,annualDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,annualTaxProvision,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,quarterlyInventory,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,trailingGrossProfit,annualNetPPE,annualTotalNonCurrentAssets,annualOperatingCashFlow,annualDilutedEPS,quarterlyOperatingExpense,trailingOtherIncomeExpense,quarterlyPretaxIncome,annualGrossProfit,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyCapitalStock,trailingRepaymentOfDebt,annualInventory,quarterlyNetPPE,annualEbitda,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualBasicEPS,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyDilutedAverageShares,annualChangeInInventory,quarterlyChangesInAccountReceivables,annualBasicAverageShares,quarterlyOtherNonCurrentAssets,trailingOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,trailingInvestingCashFlow,annualDeferredIncomeTax,trailingOperatingExpense,annualInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,trailingDeferredIncomeTax,annualCapitalExpenditure,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyAccountsPayable,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,annualChangesInAccountReceivables,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualAccumulatedDepreciation,annualNonCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCommonStockIssuance,trailingCapitalExpenditure,quarterlyResearchAndDevelopment,trailingNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingChangeInInventory,quarterlyEbitda,quarterlyBasicEPS,quarterlyStockBasedCompensation,annualDilutedAverageShares,annualChangeInCashSupplementalAsReported,annualStockBasedCompensation,annualGoodwill,annualNetOtherFinancingCharges,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualInterestExpense,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualCapitalStock,annualTotalRevenue,trailingPurchaseOfBusiness,trailingBasicAverageShares,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingBasicEPS,trailingNetOtherInvestingChanges,trailingPurchaseOfInvestment,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance
1988-12-31,147500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,49700000,,,,,,,,49700000,,,30500000.0,,,,,,,,30500000.0,,,,,,,11800000,,,,,,,,,,,,,30500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,147500000.0,,,,,,,,0.12,,,,,,,,,254166667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49700000,,,254166667.0,,,,,,,,,,,,,,147500000.0,,,,,,,,,,,
1989-03-31,,235424000.0,,,,,,,,,,,,,,,,,,,,,,,,,46600000,,,,,,,,46600000,,,,,,,,,,,,,,,,,0.03,7200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235424000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46600000,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-30,,236912000.0,,,,,,,,,,,,,,,,,,,,,,,,,45600000,,,,,,,,45600000,,,,,,,,,,,,,,,,,0.03,5100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236912000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45600000,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-09-30,,242316000.0,,,,,,,,,,,,,,,,,,,,,,,,,50200000,,,,,,,,50200000,,,,,,,,,,,,,,,,,0.05,11400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242316000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50200000,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-31,206100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,63800000,,,,,,,,63800000,,,35800000.0,,,,,,,,35800000.0,,,,,,,12100000,,,,,,,,,,,,,35800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,206100000.0,,,,,,,,0.14,,,,,,,,,255714286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63800000,,,255714286.0,,,,,,,,,,,,,,206100000.0,,,,,,,,,,,
1990-03-31,,262000000.0,,,,,,,,,,,,,,,,,,,,,,,,,52900000,,,,,,,,52900000,,,,,,,,13100000.0,,,,,,,,,0.05,13100000,13100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52900000,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-30,,240000000.0,,,,,,,,,,,,,,,,,,,,,,,,,61400000,,,,,,,,61400000,,,,,,,,14400000.0,,,,,,,,,0.06,14400000,14400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61400000,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-30,,260000000.0,,,,,,,,,,,,,,,,,,,,,,,,,65400000,,,,,,,,65400000,,,,,,,,15600000.0,,,,,,,,,0.06,15600000,15600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65400000,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-31,251600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,71900000,,,,,,,,71900000,,,58200000.0,,,,,15100000.0,,,58200000.0,,,,,,,15100000,15100000.0,,,,,,,,,,,,58200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,251600000.0,,,,,,,,0.23,,,,,,,,,253043478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71900000,,,253043478.0,,,,,,,,,,,,,,251600000.0,,,,,,,,,,,
1991-03-31,,260000000.0,,,,,,,,,,,,,,,,,,,,,,,,,73000000,,,,,,,,73000000,,,,,,,,15600000.0,,,,,,,,,0.06,15600000,15600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73000000,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-30,,246000000.0,,,,,,,,,,,,,,,,,,,,,,,,,90200000,,,,,,,,90200000,,,,,,,,24600000.0,,,,,,,,,0.1,24600000,24600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200000,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-30,,282000000.0,,,,,,,,,,,,,,,,,,,,,,,,,92400000,,,,,,,,92400000,,,,,,,,28200000.0,,,,,,,,,0.1,28200000,28200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92400000,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31,344700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,89100000,,,,,,,,89100000,,,92400000.0,,,,,24000000.0,,,92400000.0,,,,,,,24000000,24000000.0,,,,,,,,,,,,92400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,344700000.0,,,,,,,,0.34,,,,,,,,,271764706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89100000,,,271764706.0,,,,,,,,,,,,,,344700000.0,,,,,,,,,,,
1992-03-31,,290000000.0,,,,,,,,,,,,,,,,,,,,,,,,,81500000,,,,,,,,81500000,,,,,,,,23200000.0,,,,,,,,,0.08,23200000,23200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81500000,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-30,,283076923.0,,,,,,,,,,,,,,,,,,,,,,,,,115500000,,,,,,,,115500000,,,,,,,,36800000.0,,,,,,,,,0.13,36800000,36800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283076923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115500000,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-30,,275000000.0,,,,,,,,,,,,,,,,,,,,,,,,,143500000,,,,,,,,143500000,,,,,,,,49500000.0,,,,,,,,,0.18,49500000,49500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143500000,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31,540400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,199900000,,,,,,,,199900000,,,174900000.0,,,,,65500000.0,,,174900000.0,,,,,,,65500000,65500000.0,,,,,,,,,,,,174900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,540400000.0,,,,,,,,0.61,,,,,,,,,286721311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900000,,,286721311.0,,,,,,,,,,,,,,540400000.0,,,,,,,,,,,
1993-03-31,,284000000.0,,,,,,,,,4900000.0,-463200000.0,18900000.0,,-180300000.0,14300000.0,,,-465400000.0,,,-454200000.0,,-81400000.0,,,-181300000,,3800000.0,,-1480300000.0,,,,-71300000,,-645700000.0,,,,,,-58000000.0,-1943500000.0,,,,,,,-45700000.0,0.16,-58000000,-58000000.0,,,,-100000.0,-73000000.0,,,,,,86200000.0,,,,,,,-1297800000.0,52300000.0,-278300000.0,,,-4200000.0,,-47800000.0,,4900000.0,,,-4900000.0,,,-68300000.0,,-55600000.0,-95100000.0,,-324100000.0,,,,,,-23800000.0,,-73200000.0,,,,,,,0.0,,,-1411900000.0,,-278300000.0,-15200000.0,-359700000.0,-284800000.0,,,,,,,,,2900000.0,284000000.0,,,,-68400000.0,,-253000000.0,-14300000.0,100000.0,,,,,-45700000.0,,,,,,,,,,,-1664900000.0,-60100000.0,,36700000.0,,-4700000.0,,,,,6500000.0,-3800000.0,-3800000.0,,,,-14300000.0,,,,-52400000,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-30,,284300000.0,,,,,,,,,5900000.0,-440600000.0,23000000.0,,-149600000.0,300000.0,,,-432200000.0,,,-525100000.0,,-77200000.0,,,-228000000,,,,-1531100000.0,,,,-93400000,,-581800000.0,,,,,,-74300000.0,-1971700000.0,,,,,,,-103600000.0,0.2,-74300000,-74300000.0,,,,0.0,-33200000.0,,,,,,105700000.0,,,,,,,-1389900000.0,53500000.0,-268200000.0,,,600000.0,,-39500000.0,,-500000.0,,,-4200000.0,,,-82200000.0,,-55700000.0,-122300000.0,,-316800000.0,,,,,,-28900000.0,,-94100000.0,,,,,,,0.0,,,-1471300000.0,,-268200000.0,-19800000.0,-345400000.0,-278300000.0,,,,,,,,,3500000.0,284300000.0,,,,-59800000.0,,-257700000.0,14300000.0,65300000.0,,,,,-103600000.0,,,,,,,,,,,-1729000000.0,-44500000.0,,10200000.0,,-15400000.0,,,,,15400000.0,-1900000.0,-7500000.0,,,,0.0,,,,-70400000,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
