date,trailingOtherIncomeExpense,quarterlyCurrentDeferredRevenue,annualDilutedEPS,trailingGrossProfit,quarterlyCashAndCashEquivalents,annualNetPPE,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualCashFlowFromContinuingFinancingActivities,annualInventory,quarterlyCapitalStock,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,annualEbitda,quarterlyNetPPE,annualOtherIncomeExpense,quarterlyTaxProvision,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyCurrentDebt,trailingChangeInCashSupplementalAsReported,quarterlyCapitalExpenditure,annualGrossPPE,annualChangeInInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualBasicAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,trailingOtherNonCashItems,annualPurchaseOfBusiness,trailingInvestingCashFlow,trailingDeferredIncomeTax,quarterlyOperatingCashFlow,trailingCapitalExpenditure,annualCapitalExpenditure,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualInvestingCashFlow,quarterlySaleOfInvestment,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,trailingInterestExpense,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,trailingNetIncome,trailingNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,trailingPurchaseOfInvestment,trailingOperatingExpense,trailingChangeInInventory,quarterlyStockBasedCompensation,annualDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualChangeInCashSupplementalAsReported,quarterlyEbitda,annualNetOtherFinancingCharges,trailingStockBasedCompensation,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualGoodwill,annualInterestExpense,annualStockBasedCompensation,annualRepaymentOfDebt,annualPurchaseOfInvestment,quarterlyBasicEPS,annualCapitalStock,annualTotalRevenue,trailingChangeInWorkingCapital,annualAccountsPayable,quarterlyBasicAverageShares,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCashDividendsPaid,trailingChangeInAccountPayable,trailingOperatingIncome,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualOtherShortTermInvestments,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyDepreciationAndAmortization,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualChangeInWorkingCapital,trailingCostOfRevenue,trailingTotalRevenue,quarterlyRetainedEarnings,annualOtherCurrentAssets,annualOperatingIncome,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,quarterlyOperatingIncome,trailingTaxProvision,trailingEndCashPosition,trailingPretaxIncome,annualNetIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,annualPretaxIncome,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualFreeCashFlow,annualOperatingExpense,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,annualCostOfRevenue,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyOtherCurrentAssets,annualTotalAssets,annualCurrentAssets,annualOtherNonCurrentAssets,annualStockholdersEquity,annualLongTermDebt,annualOtherNonCashItems,annualBasicEPS,annualRepurchaseOfCapitalStock,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,trailingNetOtherInvestingChanges,quarterlyCostOfRevenue,annualCurrentLiabilities,trailingNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,quarterlyAccountsReceivable,annualRetainedEarnings,annualNetIncomeCommonStockholders,quarterlyGoodwill,quarterlyChangeInAccountPayable,annualSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyEndCashPosition,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,annualAccountsReceivable,annualNonCurrentDeferredRevenue,trailingDilutedAverageShares,annualInvestmentsAndAdvances,annualResearchAndDevelopment,trailingBasicEPS,trailingCommonStockIssuance,annualIncomeTaxPayable,quarterlyResearchAndDevelopment,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,trailingResearchAndDevelopment,annualChangesInAccountReceivables,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192852000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445800000.0,,,,,,,,,,0.05,,,,,192852000.0,,,,,,,,,,,,,,,,,,,,,,,445800000.0,,,,,445800000.0,,,,,,,,,,,,,,,,,,,0.05,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.24,,146900000.0,107100000.0,0.0,146900000.0,146800000.0,49400000.0,146900000.0,9300000.0,,81600000.0,,,,,49400000.0,107100000.0,52600000.0,,,,200000.0,,,118400000.0,,,,,,191666667.0,,-11300000.0,9300000.0,30400000.0,0.0,0.0,,,,,,,,,,118400000.0,,-11300000.0,,0.0,,,,4200000.0,,,,,,,,138500000.0,,,,,191666667.0,,,,-1313300000.0,,,,138500000.0,,5600000.0,,,,,,1834000000.0,,,,80600000.0,,,,,,233800000.0,,,138700000.0,,,44700000.0,219300000.0,80600000.0,0.0,,,,105200000.0,200000.0,43700000.0,477000000.0,,,46000000.0,146900000.0,-1313300000.0,,,,46000000.0,219300000.0,380600000.0,90700000.0,200000.0,,0.0,5700000.0,146800000.0,,,,,,1784600000.0,,0.0,,,12900000.0,,200000.0,380600000.0,233800000.0,30400000.0,161300000.0,76400000.0,,0.24,,,,,,138700000.0,,,161300000.0,,,105200000.0,46000000.0,,,,,,,,81600000.0,4200000.0,76400000.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195202000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815600000.0,,,,,,,,,,0.1,,,,,195202000.0,,,,,,,,,,,,,,,,,,,,,,,815600000.0,,,,,815600000.0,,,,,,,,,,,,,,,,,,,0.1,,,,18400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195202000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531000000.0,,,,,,,,,,0.07,,,,,195202000.0,,,,,,,,,,,,,,,,,,,,,,,531000000.0,,,,,531000000.0,,,,,,,,,,,,,,,,,,,0.07,,,,13300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195202000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605100000.0,,,,,,,,,,0.06,,,,,195202000.0,,,,,,,,,,,,,,,,,,,,,,,605100000.0,,,,,605100000.0,,,,,,,,,,,,,,,,,,,0.06,,,,11300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.3,,135100000.0,195200000.0,0.0,135100000.0,235700000.0,294600000.0,135100000.0,10500000.0,,107200000.0,,,,,111900000.0,195200000.0,18000000.0,,,,2800000.0,,,213900000.0,,,,,,196333333.0,,-18700000.0,10500000.0,30000000.0,0.0,100000.0,,,,,,,,,,213900000.0,,-18700000.0,,0.0,,,,5400000.0,,,,,,,,180200000.0,,,,,196333333.0,,,,-1849800000.0,,,,180200000.0,,3800000.0,,,,,,2648600000.0,,,,8200000.0,,,,,,257200000.0,,,183000000.0,,,57100000.0,191200000.0,8200000.0,0.0,,,,164100000.0,3900000.0,101800000.0,697000000.0,,,58900000.0,135100000.0,-1849800000.0,,,,58900000.0,191200000.0,492900000.0,116000000.0,2800000.0,,0.0,192800000.0,235700000.0,,,,,,2354000000.0,,100000.0,182700000.0,,16000000.0,,3900000.0,492900000.0,257200000.0,30000000.0,301700000.0,2700000.0,,0.3,,,,,,183000000.0,,,301700000.0,,,164100000.0,58900000.0,,,,,,,,107200000.0,5400000.0,2700000.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199118000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032200000.0,,,,,,,,,,0.11,,,,,199118000.0,,,,,,,,,,,,,,,,,,,,,,,1032200000.0,,,,,1032200000.0,,,,,,,,,,,,,,,,,,,0.11,,,,22800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199118000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678700000.0,,,,,,,,,,0.08,,,,,199118000.0,,,,,,,,,,,,,,,,,,,,,,,678700000.0,,,,,678700000.0,,,,,,,,,,,,,,,,,,,0.08,,,,16700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208470000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738900000.0,,,,,,,,,,0.07,,,,,208470000.0,,,,,,,,,,,,,,,,,,,,,,,738900000.0,,,,,738900000.0,,,,,,,,,,,,,,,,,,,0.07,,,,14700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.35,,263600000.0,281400000.0,0.0,263600000.0,363100000.0,367100000.0,263600000.0,10200000.0,,185400000.0,,,,,137500000.0,281400000.0,17200000.0,,,,,,,308200000.0,,,,,,209428571.0,,-26800000.0,10200000.0,71500000.0,0.0,0.0,,,,,,,,,,308200000.0,,-26800000.0,,0.0,,,,8300000.0,,,,,,,,,,,,,209428571.0,,,,-2322800000.0,,,,,,4600000.0,,,,,,3305700000.0,,,,206100000.0,,,,,,469900000.0,,,247600000.0,,,66300000.0,453700000.0,206100000.0,0.0,,,,237400000.0,4600000.0,127000000.0,855900000.0,,,73300000.0,263600000.0,-2322800000.0,,,,73300000.0,453700000.0,833000000.0,139600000.0,,,0.0,240100000.0,363100000.0,,,,,,2938600000.0,,0.0,229600000.0,,19100000.0,,4600000.0,833000000.0,469900000.0,71500000.0,379300000.0,197800000.0,,0.35,,,,,,247600000.0,,,379300000.0,,,237400000.0,73300000.0,,,,,,,,185400000.0,8300000.0,197800000.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209040000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283100000.0,,,,,,,,,,0.15,,,,,209040000.0,,,,,,,,,,,,,,,,,,,,,,,1283100000.0,,,,,1283100000.0,,,,,,,,,,,,,,,,,,,0.15,,,,30900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209040000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842600000.0,,,,,,,,,,0.1,,,,,209040000.0,,,,,,,,,,,,,,,,,,,,,,,842600000.0,,,,,842600000.0,,,,,,,,,,,,,,,,,,,0.1,,,,21100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209040000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960500000.0,,,,,,,,,,0.09,,,,,209040000.0,,,,,,,,,,,,,,,,,,,,,,,960500000.0,,,,,960500000.0,,,,,,,,,,,,,,,,,,,0.09,,,,18700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.46,,290100000.0,292600000.0,0.0,290100000.0,465900000.0,363100000.0,290100000.0,9800000.0,,206100000.0,,,,,73400000.0,292600000.0,109000000.0,,,,11800000.0,,,332100000.0,,,,,,206086957.0,,-39500000.0,9800000.0,163500000.0,0.0,0.0,,,,,,,,,,332100000.0,,-39500000.0,,0.0,,,,7600000.0,,,,,,,,294300000.0,,,,,206086957.0,,,,-3075700000.0,,,,294300000.0,,10700000.0,,,,,,4053400000.0,,,,207800000.0,,,,,,527500000.0,,,306100000.0,,,61900000.0,513900000.0,207800000.0,0.0,,,,332600000.0,11000000.0,58300000.0,919400000.0,,,94800000.0,290100000.0,-3075700000.0,,,,94800000.0,513900000.0,993400000.0,156700000.0,11800000.0,,0.0,304800000.0,465900000.0,,,,,,3690300000.0,,0.0,289700000.0,,24100000.0,,11000000.0,993400000.0,527500000.0,163500000.0,479500000.0,200200000.0,,0.46,,,,,,306100000.0,,,479500000.0,,,332600000.0,94800000.0,,,,,,,,206100000.0,7600000.0,200200000.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210652000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567300000.0,,,,,,,,,,0.19,,,,,210652000.0,,,,,,,,,,,,,,,,,,,,,,,1567300000.0,,,,,1567300000.0,,,,,,,,,,,,,,,,,,,0.19,,,,38800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210652000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035200000.0,,,,,,,,,,0.12,,,,,210652000.0,,,,,,,,,,,,,,,,,,,,,,,1035200000.0,,,,,1035200000.0,,,,,,,,,,,,,,,,,,,0.12,,,,25600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
