,quarterlyGrossPPE,annualOtherNonCurrentAssets,trailingOperatingExpense,annualCapitalExpenditure,quarterlyIncomeTaxPayable,trailingSellingGeneralAndAdministration,annualOperatingExpense,trailingDeferredIncomeTax,annualSellingGeneralAndAdministration,quarterlySaleOfInvestment,annualAccumulatedDepreciation,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualCurrentAssets,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,trailingInterestExpense,trailingCapitalExpenditure,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,annualRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,annualCurrentAccruedExpenses,quarterlyBasicEPS,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,trailingNetIncomeCommonStockholders,annualTaxProvision,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyStockholdersEquity,quarterlyEbitda,annualRepaymentOfDebt,annualInterestExpense,trailingChangeInAccountPayable,quarterlyChangeInAccountPayable,annualTotalRevenue,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyChangeInInventory,annualGrossProfit,quarterlyPretaxIncome,annualTotalNonCurrentAssets,trailingFreeCashFlow,quarterlyPurchaseOfBusiness,annualFreeCashFlow,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,annualTotalLiabilitiesNetMinorityInterest,annualDilutedEPS,quarterlySellingGeneralAndAdministration,trailingCostOfRevenue,quarterlyRepaymentOfDebt,annualOtherCurrentAssets,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,annualChangeInInventory,trailingNetIncome,annualBasicEPS,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyDilutedAverageShares,trailingDepreciationAndAmortization,trailingTaxProvision,annualCashDividendsPaid,trailingOtherNonCashItems,annualCurrentDeferredRevenue,annualBeginningCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualCurrentDebt,annualPurchaseOfBusiness,annualNetIncome,annualSaleOfInvestment,annualIncomeTaxPayable,trailingInvestingCashFlow,trailingSaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,annualStockholdersEquity,annualOtherNonCashItems,trailingCashDividendsPaid,quarterlyCommonStockIssuance,annualNonCurrentDeferredTaxesLiabilities,annualLongTermDebt,quarterlyDilutedEPS,quarterlyGoodwill,annualRetainedEarnings,annualStockBasedCompensation,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyCurrentAccruedExpenses,annualGoodwill,annualTotalAssets,quarterlyCostOfRevenue,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,trailingChangeInInventory,annualInventory,quarterlyLongTermDebt,annualAccountsReceivable,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualPurchaseOfInvestment,annualDilutedAverageShares,quarterlyOtherIncomeExpense,annualCapitalStock,trailingChangeInWorkingCapital,quarterlyOperatingExpense,quarterlyInventory,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyOtherIntangibleAssets,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,trailingGrossProfit,quarterlyBasicAverageShares,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,quarterlyDepreciationAndAmortization,annualChangeInAccountPayable,quarterlyBeginningCashPosition,annualBasicAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,annualEndCashPosition,trailingNetOtherInvestingChanges,quarterlyCashAndCashEquivalents,annualEbitda,trailingRepaymentOfDebt,annualOperatingIncome,trailingTotalRevenue,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,trailingChangeInCashSupplementalAsReported,trailingPretaxIncome,trailingEndCashPosition,quarterlyCurrentDebt,annualGrossPPE,annualCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,annualNetOtherInvestingChanges,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingResearchAndDevelopment,trailingDilutedEPS,trailingChangesInAccountReceivables,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,trailingBasicEPS
468028800,544880463300.0,122957467344.0,,,,,335896998120.0,,280634938956.0,,-254244787092.0,,,,896159430756.0,-798469790976.0,,,,,,,,,96641030988.0,,,,,,,,,,,77180136876.0,71430327252.0,,484433746740.0,542226705012.0,-798469790976.0,,27471312648.0,,,1276801742232.0,,,,467675754588.0,,413593143552.0,,,0.0,896159430756.0,622453749552.0,,767525869296.0,132.687914,,,,96641030988.0,,,145072119744.0,,431702586684.0,290635676208.0,,,142.516649,,346553194788.0,,,,,,,0.0,,-254244787092.0,71430327252.0,809125987644.0,138020002812.0,,71430327252.0,,,,,,,0.0,17135569485.0,,,40224095532.0,484433746740.0,542226705012.0,,,,15676831368.0,89171192844.0,,,431702586684.0,,,622453749552.0,,,1309752574308.0,,,,,305477065152.0,89171192844.0,,,,15676831368.0,,,538333333.0,,,,,305477065152.0,,44303020308.0,219254492628.0,,,,290635676208.0,,,,,0.0,145072119744.0,,,,,501206897.0,219254492628.0,,0.0,,219254492628.0,187040815632.0,,131778756468.0,,,413593143552.0,,,,138020002812.0,544880463300.0,219254492628.0,,,,,122957467344.0,767525869296.0,,148610464128.0,,,,1309752574308.0,,,40224095532.0,,,,,,,,,,,,,
475977600,,,,,,,,,,,,,,,,433510850170.0,,,,,,,,,,,,43.315414,,,,,,,,,,,,,433510850170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433510850170.0,621788000.0,,,,,,,,,,,,,,,,,,,,,21988942265.0,,,,,,,,,,,40.767448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483667200,,,,,,,,,,,,,,,,428510265430.0,,,,,,,,,,,,42.815767,,,,,,,,,,,,,428510265430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428510265430.0,621788000.0,,,,,,,,,,,,,,,,,,,,,21735297935.0,,,,,,,,,,,40.297192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491616000,,,,,,,,,,,,,,,,402136659862.0,,,,,,,,,,,,40.180576,,,,,,,,,,,,,402136659862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402136659862.0,621788000.0,,,,,,,,,,,,,,,,,,,,,20397551279.0,,,,,,,,,,,37.817013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499564800,638148027840.0,143446353280.0,,,,,393684307520.0,,323335948480.0,,-300365919040.0,,,,966348715520.0,-1072693104706.0,,,,,,,,,91118680320.0,,,,,,,,,,,78026186560.0,73034541120.0,,521775005760.0,599293567360.0,-1072693104706.0,,22800821120.0,,,1439476329280.0,,,,527401182400.0,,481228462080.0,,,0.0,966348715520.0,647665995840.0,,848283610240.0,133.251552,,,,91118680320.0,,,200617614400.0,,18189894400.0,337782108800.0,,,143.827072,,233066349694.0,,,,,,,0.0,,-300365919040.0,73034541120.0,912075146880.0,125890990080.0,,73034541120.0,,,,,,,0.0,11841887283.0,,,42111720640.0,521775005760.0,599293567360.0,,,,24069883520.0,134436010240.0,,,18189894400.0,,,647665995840.0,,,1447577177600.0,,,,,332557801920.0,134436010240.0,,,,24069883520.0,,,548095238.0,,,,,332557801920.0,,40144673920.0,221853258560.0,,,,337782108800.0,,,,,0.0,200617614400.0,,,,,507794118.0,221853258560.0,,0.0,,221853258560.0,204065233920.0,,133716874880.0,,,481228462080.0,,,,125890990080.0,638148027840.0,221853258560.0,,,,,143446353280.0,848283610240.0,,151060727680.0,,,,1447577177600.0,,,42111720640.0,,,,,,,,,,,,,
507513600,,,,,,,,,,,,,,,,398838797739.0,,,,,,,,,,,,40.506915,,,,,,,,,,,,,398838797739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398838797739.0,621788000.0,,,,,,,,,,,,,,,,,,,,,20407769406.0,,,,,,,,,,,36.649113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515203200,,,,,,,,,,,,,,,,326610654933.0,,,,,,,,,,,,31.985993,,,,,,,,,,,,,326610654933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326610654933.0,621788000.0,,,,,,,,,,,,,,,,,,,,,16397029942.0,,,,,,,,,,,30.302519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523152000,,,,,,,,,,,,,,,,308437406689.0,,,,,,,,,,,,13.859587,,,,,,,,,,,,,308437406689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308437406689.0,621788000.0,,,,,,,,,,,,,,,,,,,,,7068389319.0,,,,,,,,,,,13.859587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544147200,,128289375550.0,,,,,341087643110.0,,270583248670.0,,-311370070060.0,,,,871447750250.0,,,,,,,,,,,,,,,,,,,,,36712520220.0,37471888180.0,,151172636960.0,,,,19831186340.0,,,1204196949030.0,,,,371301725980.0,,425844790030.0,,,0.0,,,,754811752240.0,70.095504,,,,81135545880.0,,,,,,,,,74.476473,,,,,,,,,0.0,,,37471888180.0,832895223050.0,410891082510.0,,37471888180.0,,,,,,,0.0,,,,,,542480788040.0,,,,21963257920.0,128727472450.0,,,466105895140.0,,,562063719470.0,,,1297292540280.0,,,,,280279793390.0,,,,,,,,534583333.0,,,,,,,63801511870.0,246736174080.0,,,,297555414480.0,,,,,0.0,192748032770.0,,,,,503137255.0,,,0.0,,,100718477310.0,,30214082870.0,,,,,,,,608925484540.0,246736174080.0,,,,,,,,74184408400.0,,,,,,,42057302400.0,,,,,,,,,,,,,
552009600,,,,,,,,,,,,,,,,392140444575.0,,,,,,,,,,,,10.291243,,,,,,,,,,,,,392140444575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392140444575.0,621788000.0,,,,,,,,,,,,,,,,,,,,,4572252025.0,,,,,,,,,,,10.291243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559958400,,,,,,,,,,,,,,,,420404418950.0,,,,,,,,,,,,20.454081,,,,,,,,,,,,,420404418950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420404418950.0,621788000.0,,,,,,,,,,,,,,,,,,,,,10796832862.0,,,,,,,,,,,18.993075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567907200,,,,,,,,,,,,,,,,349385014100.0,,,,,,,,,,,,16.99875,,,,,,,,,,,,,349385014100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349385014100.0,621788000.0,,,,,,,,,,,,,,,,,,,,,8972911396.0,,,,,,,,,,,15.784553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575769600,871943724630.0,239030923743.0,,,,,419423663017.0,,333730289141.0,,-448885412142.0,,,,1068648969209.0,-967058471412.0,,,,,,,,,70472503907.0,,,,,,,,,,,39658615559.0,33282472801.0,,627938417140.0,645404582516.0,-967058471412.0,,24623819795.0,,,1445796572850.0,,,,474997825577.0,,784017460294.0,,,0.0,1068648969209.0,937082101327.0,,1207261846987.0,65.746219,,,,70472503907.0,,,270179745660.0,,548633590969.0,423058312488.0,,,66.986714,,423163938878.0,,,,,,,0.0,,-448885412142.0,33282472801.0,970798747273.0,309143684187.0,,33282472801.0,,,,,,,0.0,12167597405.0,,,51232431110.0,627938417140.0,645404582516.0,,,,24487365378.0,194459949172.0,,,548633590969.0,,,937082101327.0,,,1852666429503.0,,,,,332105241084.0,194459949172.0,,,,24487365378.0,,,506226415.0,,,,,332105241084.0,121928224063.0,41990745595.0,314924389489.0,,,121928224063.0,423058312488.0,,,,,0.0,270179745660.0,,,,,496851852.0,314924389489.0,,0.0,,314924389489.0,141267536436.0,,55574162560.0,,,784017460294.0,,,,309143684187.0,871943724630.0,314924389489.0,,,,,239030923743.0,1207261846987.0,,72941088360.0,,,,1852666429503.0,,,51232431110.0,,,,,,,,,,,,,
