,quarterlyTotalRevenue,annualCashAndCashEquivalents,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualTaxProvision,quarterlyGrossProfit,annualOperatingExpense,trailingResearchAndDevelopment,quarterlySellingGeneralAndAdministration,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,trailingFreeCashFlow,trailingOperatingExpense,annualOtherShortTermInvestments,quarterlyCurrentAssets,trailingCostOfRevenue,quarterlyGrossPPE,trailingRepurchaseOfCapitalStock,annualInterestExpense,quarterlyCurrentLiabilities,annualCommonStockIssuance,annualRepurchaseOfCapitalStock,trailingBeginningCashPosition,annualAccumulatedDepreciation,quarterlyRetainedEarnings,annualCurrentAssets,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,annualResearchAndDevelopment,annualOtherNonCurrentAssets,trailingNetOtherInvestingChanges,annualNetOtherInvestingChanges,annualGrossPPE,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,trailingPretaxIncome,annualChangeInCashSupplementalAsReported,trailingGrossProfit,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualAccountsPayable,trailingInvestingCashFlow,annualCapitalExpenditure,trailingCapitalExpenditure,annualOperatingIncome,annualBasicAverageShares,annualInvestingCashFlow,trailingTotalRevenue,annualPretaxIncome,trailingOperatingIncome,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,annualEndCashPosition,quarterlyCapitalStock,quarterlyDilutedEPS,trailingEndCashPosition,trailingPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,trailingChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualDepreciationAndAmortization,quarterlyDilutedAverageShares,quarterlyInventory,quarterlyNetPPE,annualStockBasedCompensation,annualStockholdersEquity,annualChangeInInventory,annualPurchaseOfBusiness,trailingOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOperatingExpense,annualCapitalStock,annualOtherIntangibleAssets,quarterlyPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,quarterlyResearchAndDevelopment,annualInventory,quarterlyTaxProvision,annualEbitda,annualBasicEPS,annualGrossProfit,quarterlyOtherCurrentLiabilities,annualNetPPE,annualCurrentLiabilities,annualOperatingCashFlow,annualNetIncomeCommonStockholders,quarterlyAccountsReceivable,annualTotalAssets,quarterlyCostOfRevenue,trailingNetIncome,annualNetIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,annualBeginningCashPosition,annualRetainedEarnings,quarterlyStockholdersEquity,annualAccountsReceivable,quarterlyBasicEPS,quarterlyLongTermDebt,trailingNetIncomeCommonStockholders,trailingCommonStockIssuance,quarterlyNetIncome,annualCostOfRevenue,quarterlyNetIncomeContinuousOperations,annualCashDividendsPaid,annualDilutedAverageShares,annualFreeCashFlow,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTaxProvision,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualSellingGeneralAndAdministration,annualOtherCurrentAssets,annualTotalNonCurrentAssets,annualDilutedEPS,annualCurrentDeferredRevenue,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,annualGoodwill,trailingNetOtherFinancingCharges,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,trailingOtherIncomeExpense,trailingChangeInAccountPayable,trailingRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyChangeInInventory,quarterlyCommonStockIssuance,trailingOtherNonCashItems,annualInvestmentsAndAdvances,quarterlyDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalExpenditure,annualIncomeTaxPayable,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyGoodwill,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,trailingDilutedEPS,annualCashFlowFromContinuingFinancingActivities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,trailingBasicEPS,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,trailingCashDividendsPaid,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingInterestExpense,annualOtherIncomeExpense,trailingDeferredIncomeTax,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyEndCashPosition,trailingBasicAverageShares,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems
1364688000,50586000.0,,-71670000.0,,14957000.0,-76321000.0,,,,41914000.0,,,21150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019125,,,1704000.0,,,,,,4000000000.0,,,,,,,,,,26957000.0,,,-73374000.0,,,6025000.0,,3027000.0,,,,,,,,,,,8672000.0,,,,4000000000.0,,,,,-0.019125,,,,-76321000.0,,-76401000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372550400,58107000.0,,27158000.0,,12724000.0,20281000.0,294247000.0,,,48153000.0,,,27722000.0,,,,,,,,404264000.0,,63523000.0,,,91050000.0,,,,,-63388000.0,,,,,,,,,,,,135338000.0,539602000.0,,,,,,,,,,,,,,,,22290000.0,41668000.0,,32000.0,0.00075,,,2583000.0,35000000.0,,273883000.0,273883000.0,,4320000000.0,27372000.0,63523000.0,,,,,,33253000.0,,35429000.0,,,24575000.0,,,7552000.0,,4090000.0,,,,0.0,,,,,44803000.0,,9954000.0,,,,4000000000.0,,,240988000.0,,0.005125,63041000.0,,,20281000.0,,20485000.0,,,,0.0,203197000.0,,,18349000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380499200,51817000.0,,7148000.0,,12409000.0,1394000.0,,,,41508000.0,,,24306000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000375,,,3015000.0,,,,,,4000000000.0,,,,,,,,,,29099000.0,,,4133000.0,,,7454000.0,,2678000.0,,,,,,,,,,,10309000.0,,,,4000000000.0,,,,,0.000375,,,,1394000.0,,1455000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,70525000.0,225468000.0,-5684000.0,0.0,5969000.0,-11020000.0,283929000.0,,12187000.0,57061000.0,141193000.0,,42166000.0,,-65380000.0,206451000.0,231035000.0,,,,364906000.0,,95851000.0,,10145000.0,77478000.0,,,,-26007000.0,-82610000.0,364906000.0,-595000.0,,,31039000.0,33227000.0,,700000.0,95851000.0,18192000.0,0.0,155070000.0,519976000.0,,26427000.0,,-74998000.0,-35000000.0,15997000.0,,-68114000.0,,47443000.0,4000000000.0,-126398000.0,,-53193000.0,,31757000.0,15997000.0,225468000.0,32000.0,,,,2843000.0,,,225468000.0,225468000.0,6961000.0,,32559000.0,69844000.0,,231518000.0,-9865000.0,0.0,,33227000.0,-26007000.0,51092000.0,32000.0,31757000.0,-8527000.0,225468000.0,43500000.0,10008000.0,32559000.0,2392000.0,-36087000.0,-0.016375,188636000.0,0.0,69844000.0,77478000.0,34963000.0,-65666000.0,49166000.0,519976000.0,13464000.0,,-65666000.0,283929000.0,,198443000.0,-82610000.0,231518000.0,49166000.0,,67058000.0,,,-11020000.0,42399000.0,-10919000.0,,4000000000.0,-33151000.0,0.0,206451000.0,,67058000.0,18192000.0,1511000.0,115344000.0,0.0,155070000.0,-0.016375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404086400,,,,,,,527339000.0,,,,,,,,,,,,,,389521000.0,,82631000.0,,,67070000.0,,,,,-281846000.0,,,,,,,,,,,,174686000.0,564207000.0,,,,,,,,,,,,,,,,39515000.0,46862000.0,,32000.0,,,,,,,222932000.0,222932000.0,,,37015000.0,82631000.0,,,,,,32387000.0,,,,,,,,,,,,,,0.0,,,,,57342000.0,,,,,,,,,32080000.0,,,73266000.0,,,,,,,,,0.0,460269000.0,,,24933000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,,256322000.0,,,,,409986000.0,,12921000.0,,173518000.0,,,,-80732000.0,344473000.0,282679000.0,,,,387880000.0,,121756000.0,,11245000.0,65513000.0,,,,-31793000.0,-169243000.0,387880000.0,-27407000.0,,,33308000.0,18395000.0,,7500000.0,121756000.0,29395000.0,5202000.0,178411000.0,566291000.0,,29918000.0,,-80280000.0,0.0,5628000.0,,-53505000.0,,56617000.0,4000000000.0,10391000.0,,-67811000.0,,53095000.0,5628000.0,256322000.0,32000.0,,,,,,,256322000.0,256322000.0,7307000.0,,30860000.0,89963000.0,,151264000.0,-5150000.0,,,18395000.0,-31793000.0,,32000.0,53095000.0,,256322000.0,77340000.0,,30860000.0,,-49259000.0,-0.02,230135000.0,5202000.0,89963000.0,65513000.0,19527000.0,-81244000.0,64873000.0,566291000.0,,,-81244000.0,409986000.0,,225468000.0,-169243000.0,151264000.0,64873000.0,,78483000.0,,,,52544000.0,,,4000000000.0,-33978000.0,0.0,344473000.0,,78483000.0,29395000.0,5017000.0,144754000.0,0.0,178411000.0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,,,,,,704825000.0,,,,,,,,,,,,,,393267000.0,,173948000.0,,,111227000.0,,,,,-371415000.0,,,,,,,,,,,,274129000.0,667396000.0,,,,,,,,,,,,,,,,64325000.0,94339000.0,,32000.0,,,,,,,261159000.0,261159000.0,,,37240000.0,173948000.0,,,,,,20064000.0,,,,,,,,,,,,,,0.0,,,,,56195000.0,,,,,,,,,-44014000.0,,,84901000.0,,,,,,,,,10000000.0,593598000.0,,,34717000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,,255110000.0,,0.0,,,621613000.0,,22371000.0,,159689000.0,,,,4025000.0,500425000.0,311606000.0,,,,400947000.0,,325181000.0,,13251000.0,121188000.0,,,,-34882000.0,-177093000.0,400947000.0,37855000.0,,,47222000.0,15133000.0,,27750000.0,325181000.0,58429000.0,0.0,400940000.0,801887000.0,,-1284000.0,,0.0,,23739000.0,,-241735000.0,,92887000.0,4000000000.0,-191953000.0,,26396000.0,,78169000.0,23739000.0,255110000.0,32000.0,,,,,,,255110000.0,255110000.0,7772000.0,,38404000.0,290299000.0,20357000.0,180253000.0,-12951000.0,,,15133000.0,-34882000.0,,32000.0,78169000.0,,255110000.0,9440000.0,,38404000.0,,47419000.0,0.001,252576000.0,0.0,290299000.0,121188000.0,144313000.0,2359000.0,70951000.0,801887000.0,,,2359000.0,621613000.0,,256322000.0,-177093000.0,180253000.0,70951000.0,,145237000.0,,,,59030000.0,,,4000000000.0,-97422000.0,0.0,500425000.0,,145237000.0,58429000.0,4364000.0,121167000.0,0.0,400940000.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,,,,,,724910000.0,,,,,,,,,,,,,,522873000.0,,322536000.0,,,79483000.0,,,,,-125278000.0,,,,,,,,,,,,451801000.0,974674000.0,,,,,,,,,,,,,,,,91524000.0,62819000.0,,32000.0,,,,,,,367018000.0,367018000.0,,,47238000.0,322536000.0,,,,,,22365000.0,,,,,,,,,,,,,,0.0,,,,,65264000.0,,,,,,,,,247306000.0,,,307326000.0,,,,,,,,,0.0,645427000.0,,,55867000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483142400,,645208000.0,,344000.0,,,459473000.0,20000000.0,41240000.0,,175844000.0,,,,145710000.0,238356000.0,352849000.0,,,,811993000.0,,405814000.0,,16041000.0,221117000.0,344000.0,,,-39091000.0,-36511000.0,811993000.0,9199000.0,,,57525000.0,13615000.0,,4100000.0,405814000.0,58356000.0,0.0,518075000.0,1330068000.0,,390979000.0,,,,32110000.0,,-107983000.0,,100690000.0,4002689000.0,111706000.0,,186950000.0,,110693000.0,32110000.0,645208000.0,35000.0,,,,,20000000.0,,645208000.0,645208000.0,10210000.0,,40350000.0,366723000.0,22232000.0,867617000.0,-19884000.0,459000.0,,13615000.0,-39091000.0,,35000.0,110693000.0,,645208000.0,0.0,,40350000.0,,213201000.0,0.036,276534000.0,0.0,366723000.0,221117000.0,126956000.0,145652000.0,83421000.0,1330068000.0,,,145652000.0,459473000.0,,255110000.0,-36511000.0,867617000.0,83421000.0,,180000000.0,,,,76315000.0,,,4003757000.0,18973000.0,0.0,238356000.0,,180000000.0,58356000.0,6452000.0,133195000.0,0.0,518075000.0,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
